"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"16","7","Health","G170071",3.8,4.1,4.5,4.6,5,5.4,5.7,6.2,6.8,7.6,8.5,10,11,12.6,14.1,16.1,18.4,19.4,21.6,23.6,25,28.7,30.6,31.4,32.5,34.9,37.1,38.2,40.8,44.6,47.4,52.1,54.4,55.4,55.9,58.3,58.7,58.9,59.4,58.6,64.1,69.7,70.5,76.7,80.5,77.7
"17","8","Recreation and culture","G170081",0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.4,1.6,1.7,1.9,2.2,2.4,2.8,3.3,3.5,3.9,4.4,4.8,5.2,5.7,6.1,6.5,7,7.7,8.3,8.5,9.2,10,11,11.8,12.5,12.9,13.8,14.4,14.9,15.7,16.6,17.6,19.1,20.6,22.3,25.1,27
"18","9","Education","G170091",14,15.7,17.3,18.8,20.7,22.9,25.3,29,32.7,36.4,41.2,47.5,53.4,58.7,64.6,71.9,82.8,91.3,99,106.4,117,128.2,139.4,149.5,158.2,171.1,185.6,200.5,214.4,228.8,245.6,265.6,278.8,289.1,304.1,319.8,337.7,353.2,370.5,391,412.4,446.2,474.1,495,515.8,531.8
"19","10","Income security","G170101",1,1,1.2,1.3,1.4,1.5,1.9,2.2,2.6,2.7,3.2,3.9,4.6,5.5,6.3,7.9,8.6,9.8,11.3,12.1,13.4,14.8,15.9,16.7,18.5,20,21.3,22.2,23.5,25.2,27.6,30.8,33.7,37.2,39.1,42.8,44.5,45.6,48.7,52.7,56.2,60.6,65.8,74.3,79.6,85
"20","11","      Federal","A957RC1",50,49.8,51.6,57.8,60.8,62.8,65.7,75.9,87.1,95.4,98.4,98.6,102,107.7,108.9,118,129.6,137.2,150.7,163.3,179,207.5,238.3,263.3,286.5,310,338.4,358.2,374.3,382.5,399.2,419.8,439.5,445.2,441.9,440.8,440.5,446.3,457.7,454.6,475.1,499.3,531.9,591.5,661.9,725.7
"21","12","General public service","G170121",1.7,1.9,2,2.1,2.3,2.5,2.7,2.7,2.7,2.7,3.3,4.2,5.2,5.7,6,7.2,7.9,8.4,9.2,9.1,10.1,11.1,11.2,12.5,12.3,12.5,14.3,15.5,16.6,17.2,18,20.9,23.1,23.6,23.2,23.6,24.9,23.1,26,25.1,27.4,28.1,30.3,31.6,32.8,39.2
"22","13","National defense","A997RC1",40.1,41,42.7,46.6,48.3,48.8,50.6,60,70,77.2,78.2,76.6,77.1,79.5,79.4,84.5,90.9,95.8,104.2,112.7,123.8,143.7,167.3,191.2,208.8,232.9,253.7,268,283.6,293.6,299.5,308.1,319.8,315.3,307.6,300.7,297.3,302.5,304.7,300.7,312.9,321.5,342.4,381.7,436.6,484.2
"23","14","Public order and safety","G170141",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.8,2,2.3,2.4,2.7,3.1,3.2,3.4,3.9,4.3,4.7,5,5.7,6.9,7.6,8.4,9.5,10.6,11.5,12,13.3,14.5,14.6,15.7,16.9,19.9,22.2,26.2,29.1,32.5
"24","15","Economic affairs","G170151",6.1,4.6,4.4,6.2,7,8.3,8.9,8.8,9.4,10.5,11.4,11.3,12.3,13.2,13.2,14.3,17.2,18,20.6,23.5,25.5,30.2,35.9,35.3,38.9,35.7,40.4,44,41.2,35.6,42.8,48.3,50.1,54.9,55.9,58.3,57.8,58.2,61.1,59.2,63.3,69.2,71.4,79.4,83.8,87.2
"25","16","Housing and community services","G170161",0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.3,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.5,1.2,0.5,0.2,0.4,0.6,1,1.4,0.9,0.8,0.8,1,0.2
"26","17","Health","G170171",1.2,1.3,1.4,1.6,1.7,1.8,1.9,2.2,2.5,2.8,3,3.5,3.8,5,5.8,6.5,7.7,8.5,9.3,10.4,11.2,13,14,14.4,16,17.4,18.2,18.7,19.9,21.7,23.2,25.5,27.7,30,32.1,34.3,35.4,35.8,38.1,39.4,39.6,44.7,48.7,52.9,58.7,60.3
"27","18","Recreation and culture","G170181",0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2,2.1,2.1,2.2,2.4,2.6,2.5,2.9,3.2,3.3,3.4,3.7
"28","19","Education","G170191",0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.6,0.8,0.8,0.9,0.9,1,1.1,1.3,1.3,1.4,1.6,1.5,1.6,1.7,1.8,1.9,2.1,2.3,2.4,2.4,2.9,3.2,3.4,3.5,3.8,4.1,4.5,5.1,5.3,5.1,5.9
"29","20","Income security","G170201",0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.8,0.9,0.7,0.8,1,1,1.3,1.4,2.1,2,2.3,2.9,3,3.3,3.8,3.7,3.8,3.8,4,3.9,3.6,3.8,3.9,4.1,4.5,4.9,6,5.9,6.4,6.3,6.2,6.6,7.2,6.9,7.6,7.7,10.3,11.5,12.4
"30","21","      State and local","A991RC1",30.7,33.5,36.6,39,41.9,45.8,50.2,56.1,62.6,70.4,79.9,91.5,102.7,113.2,126,143.7,165.1,179.5,195.9,213.2,233.3,258.4,282.3,304.9,324.1,347.7,381.8,417.9,440.9,470.4,502.1,544.6,574.6,602.7,630.3,663.3,696.1,724.8,758.9,801.4,858.9,917.8,969.8,1025.3,1074.8,1117.7
"31","22","General public service","G170221",2.8,3.1,3.5,3.6,3.7,4.1,4.6,5.1,5.7,6.7,8,9.2,10.3,11.8,13.5,16,19.3,21,23.8,25.5,27.5,30.6,32.8,35.6,39.7,42.5,50.1,60.7,60.2,62.8,63.7,67.7,70.7,77.1,80.3,82.7,84.3,85.7,90.3,97.7,106.6,110.9,116.3,122.9,130.8,138.3
"32","23","Public order and safety","G170231",3.8,4.1,4.4,4.7,5,5.3,5.8,6.3,7,8.2,9,10.3,11.7,12.9,14.6,16.6,18.9,20.8,22.8,26.3,29.1,32.6,36.7,41.2,44.7,48.3,53.5,58.2,62.7,68.4,75.1,83.3,90.2,96.8,103.2,110.8,118.7,126,133.1,141.7,152.4,161.6,172.1,182.9,193.5,205.8
"33","24","Economic affairs","G170241",6,6.3,6.7,7,7.5,7.9,8.6,9.3,10.2,11,12.1,13.5,14.8,15.8,17.5,20.8,23.4,24.5,25.8,28.1,30.7,34.8,38.8,42.2,43.6,45.3,48.4,51.7,54.2,56.5,59.3,63.2,66.6,69.6,72.2,75.5,79.4,82.5,86.1,90,96.4,102.4,107.8,115.7,120.6,126.5
"34","25","Housing and community services","G170251",0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2.1,2.2,2.5,2.7,2.7,2.7,2.7,2.9,3.1,3.2,3.7,4.1,4.6,5,5.1,5,5.3,5.3,5.6,5.8,5.8,6.3,6.8,7.2,7.3,7.7,8.1
"35","26","Health","G170261",2.6,2.8,3,3.1,3.3,3.5,3.8,4,4.3,4.8,5.5,6.5,7.2,7.6,8.3,9.6,10.7,10.9,12.3,13.2,13.8,15.7,16.6,17,16.4,17.4,18.9,19.5,20.9,22.9,24.2,26.6,26.7,25.4,23.8,24,23.3,23.1,21.3,19.2,24.6,25,21.8,23.8,21.8,17.3
"36","27","Recreation and culture","G170271",0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.5,3.8,4.2,4.5,5,5.4,5.9,6.6,7.1,7.3,7.9,8.7,9.5,10.1,10.7,10.9,11.7,12.3,12.7,13.3,14.1,15.1,16.1,17.4,19,21.7,23.3
"37","28","Education","G170281",13.9,15.5,17.1,18.6,20.5,22.6,25,28.5,32,35.8,40.6,46.8,52.6,58,63.8,71.3,82,90.4,98.1,105.5,116,127.1,138.1,148.3,156.8,169.6,184.1,199,212.7,227,243.7,263.5,276.5,286.8,301.7,316.9,334.5,349.8,366.9,387.3,408.4,441.7,469,489.7,510.7,525.8
"38","29","Income security","G170291",0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.7,2,2.4,3,3.5,4.2,5,5.8,6.6,7.4,8.4,9.2,10.1,11,12.1,12.9,14.8,16,17.4,18.5,19.7,21.3,23.5,26.3,28.8,31.2,33.2,36.4,38.3,39.4,42.1,45.6,49.2,53.1,58.1,64,68.1,72.6
"39",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","      Government","W063RC1",22.9,24.6,28.3,29.1,30.6,31.6,34.3,37.8,46.2,53.7,59.3,72.2,85.9,95.3,109.2,129.2,163.8,178.1,189.9,204.1,228.1,271.9,308.5,343.6,371.3,381.6,403.9,429.6,448.9,477.6,521.6,574.8,650.7,731.7,777.6,814.3,860.3,904.3,933.9,954.9,990.4,1044.1,1146.6,1251.6,1316.4,1397.5
"41","31","General public service","G170311",0,0.2,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.8,0.8,0.6,0.4,0.3,0.5,0.4,0.4,0.6,0.4,0.5,0.7,0.6,0.8,0.7,0.8,1.6,2.2,1.5,1.2,1,1.4,1.2,1.3,1.5,1.8,1.6,1.6,1.4,1.5
"42","32","Public order and safety","G170321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2
"43","33","Economic affairs","G170331",0,0,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.7,1.1,1.2,2.4,2.3,2.5,2.1,1.6,1.5,1.3,1.4,1.5,1.4,1.5,1.5,1.5,1.5,1.8,1.7,1.7,1.8,1.6,1.7,1.7,1.7,1.6,2.1,2.7,2.7,2.1
"44","34","Housing and community services","G170341",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"45","35","Health","G170351",1.3,1.4,1.8,1.9,2.2,2.2,2.5,4.1,8.7,11.2,12.8,14.4,16.6,18.9,22,26.3,32,36.9,41.8,47.3,54.4,64.1,75.9,86.3,97.2,107.2,116.2,126.6,137.7,148.3,168.7,191.9,226,261.1,287,314.2,340,365.5,380.9,387.4,404.9,431.9,487.4,530.3,560.4,614.5
"46","36","Recreation and culture","G170361",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.5
"47","37","Education","G170371",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.7,1.2,1.6,1.9,2.7,3.5,4.3,4.9,5.8,8.3,8.1,7.6,7.8,8.2,9.3,10.3,9.7,10.5,10.5,11,10.9,11.2,11.8,14.1,14.4,15.1,16.7,19.1,19.8,21.8,21.8,25,25.4,26.4,27.2,31.5,34.9,36.4,39.2
"48","38","Income security","G170381",21,22.6,25.8,26.7,27.9,28.8,31,32.6,35.7,40.3,44,54.2,64.7,71.1,81.4,95.8,121.9,130.9,138.4,145.7,162.4,195.1,219.2,245.3,261.2,261.5,274.4,289.1,297.2,314.4,336,365.5,405.8,449.3,467.7,476.8,495.3,513.5,524.7,538.7,555.3,581.1,623.3,681.4,714.7,739.5
"49","39","      Federal","W015RC1",18.6,20.1,23.3,23.7,24.9,25.4,27.6,30.2,36.9,42.2,46.1,56.1,66.6,73.3,85.2,103.9,133,143.9,152.9,163.3,183.7,220.7,251.4,282.4,304.3,310.5,326.6,345.3,358.2,379.1,412.2,447.2,494.2,551.7,582.4,607.6,642.7,680,706.3,719.2,738,772.5,841.4,919.6,965,1017.1
"50","40","General public service","G170401",0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.2,0.2,0.6,0.8,0.6,0.4,0.3,0.5,0.4,0,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,1,1.6,0.9,0.6,0.3,0.7,0.4,0.3,0.4,0.5,0.4,0.6,0.7,0.9
"51","41","Public order and safety","G170411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0
"52","42","Economic affairs","G170421",0,0,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.5,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,1,1,0.8
"53","43","Housing and community services","G170431",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
"54","44","Health","G170441",0.8,0.9,1.1,0.9,1.1,1,1,2.1,6,7.1,8.1,8.9,9.7,10.6,12.3,14.7,17.6,20.9,24.3,27.8,32.4,39,46.4,54,61,68.1,73.5,79.5,86.1,91.3,103.5,113.4,123.6,139,151.5,169,184.7,201.5,212.3,211.8,215.4,226.5,252.5,271.4,285.8,314.4
"55","45","Recreation and culture","G170451",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5,0.5,0.5,0.5
"56","46","Education","G170461",0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.4,0.8,1,1.3,2,2.5,3.2,3.7,4.5,6.7,6.4,5.7,5.7,6,6.9,7.7,7,7.6,7.3,7.4,7.1,7.1,7.6,9.4,9.1,9.4,10.6,12.5,12.2,13.1,12.8,15.9,15.6,15.9,15.6,18.5,20.7,21.1,22.5
"57","47","Income security","G170471",17.3,18.7,21.8,22.5,23.5,24.1,26.1,27.4,29.7,33.6,36.2,44.6,53.3,58.6,68.4,83.8,107.7,115.4,121.7,128.5,144,173.2,195.6,220.6,234.7,233.5,244.6,257.1,263.5,278.5,298,323.2,358.9,399.2,416.4,424.7,443.5,464,476.8,490.4,505.2,528.7,568.8,625.4,656,677.8
"58","48","      State and local","B109RC1",4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.3,90.7,98.5,109.3,127.7,156.5,180,195.2,206.7,217.6,224.3,227.6,235.8,252.4,271.7,305.2,332,351.3,380.5
"59","49","General public service","G170491",0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,0,0,0,0,0.4,0.4,0.2,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.1,1,0.7,0.6
"60","50","Public order and safety","G170501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"61","51","Economic affairs","G170511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1.1,1,1.4,1.7,1.7,1.3
"62","52","Health","G170521",0.5,0.5,0.7,0.9,1.1,1.3,1.5,2,2.8,4.1,4.6,5.6,6.9,8.3,9.8,11.5,14.4,16,17.5,19.5,22,25.1,29.4,32.3,36.2,39,42.7,47.1,51.6,57,65.2,78.5,102.4,122.1,135.5,145.2,155.3,163.9,168.6,175.6,189.6,205.3,235,258.9,274.6,300.1
"63","53","Education","G170531",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.6,13.1,14.3,15.3,16.8
"64","54","Income security","G170541",3.7,3.8,4,4.2,4.4,4.7,4.9,5.3,6,6.8,7.9,9.7,11.4,12.4,13,12,14.1,15.5,16.7,17.2,18.4,21.9,23.6,24.7,26.5,28,29.8,32,33.7,35.9,38,42.4,46.9,50.1,51.4,52.1,51.8,49.5,47.9,48.2,50,52.3,54.5,56,58.7,61.6
"65",NA,"Grants-in-aid to state and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","55","      Federal \2\","B089RC1",3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,163.7,174.7,184.1,191.2,198.6,212.8,232.9,247.3,276.1,304.6,339.1,348.3
"67","56","General public service","G170561",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,2.9,7.4,6.5,6.5,7.6,8.6,8.3,7.2,7.2,4.9,5.2,5.3,5,5.1,6.5,0.8,1,0.6,0.7,0.9,0.8,0.9,1,1,2.2,2.5,2.5,3.6,2.1,1.6,2.5,12.5,3
"68","57","National defense","G170571",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.8,1,1.1,1.2,1.2,1.5,1.7,1.9,1.9,1.9,2.1,2.6,2.9,2.8,3,2.8,2.7,2.8,2.9,3.1,3.2,3.2,2.9,3.2,3.7,3.6
"69","58","Public order and safety","G170581",0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.4,0.4,0.7,1.1,1.1,1.2,1.3,1.3,2.6,3.5,4.1,4.5,5.8,3.8,2.9,3.7
"70","59","Economic affairs","G170591",0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.8,1,1.4,1.6,1.8,2.4,3.5,3.8,3.7,6.4,7.6,9.3,15.1,12.8,11.6,9.9,6.9,7,7,7.1,7.3,7.2,7.5,7.7,8.2,8.3,8.1,8,8.7,9,8.4,8.9,9.1,9.2,9.5,9.9,11.4,12.6,12.2
"71","60","  Transportation","G170641",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"72","61","  Space","G170651",0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.4,0.6,0.9,0.9,0.8,0.9,1,1,0.6
"73","62","  Other economic affairs","W695RC1",0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.8,1,1.3,1.6,1.7,2.3,3.4,3.8,3.6,6.4,7.5,9.2,15,12.6,11.4,9.7,6.7,6.9,6.8,7,7.1,6.9,7.2,7.5,8,8,7.7,7.5,8.2,8.5,8,8.3,8.2,8.3,8.7,9.1,10.4,11.7,11.6
"74","63","    General economic and labor affairs","G170601",0,0,0,0,0,0,0.2,0.3,0.5,0.7,0.8,0.9,1.4,2.3,2.3,2.2,5.1,6,7.5,13,10.3,8.6,6.7,3.8,3.8,3.3,3.4,3.4,3.4,3.3,3.4,3.4,3.5,3.8,3.8,4.3,4.2,4.1,4.3,4.3,4.4,4.6,4.7,5.9,6.4,6.1
"75","64","    Agriculture","G170611",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.9,0.8,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.9,1,1.1,1.3,1.5,1.2,1.4,1.5,1.5,1.1,1,0.9,0.9,0.8,0.8,0.9,0.9,0.9
