"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"31","26","  Miscellaneous repair services","B2620C0",43,50,52,59,62,60,71,64,73,73,74,54,55,62,62,72,69,72,74,74,86,86,92,100,102,123,133,148,136,155,184,235,263,246,367,427,635,429,562,519
"32","27","  Motion pictures","B2621C0",19,21,21,22,22,21,25,21,30,29,39,31,31,21,31,44,32,25,34,31,50,29,33,47,51,64,144,276,233,129,147,74,168,155,122,238,732,509,644,496
"33","28","  Amusement and recreation services","B2622C0",78,91,94,96,98,93,130,126,145,133,135,129,123,135,133,146,146,165,134,140,163,184,177,196,238,258,296,292,375,426,401,441,491,617,747,971,922,1231,1214,1045
"34","29","  Health services","B2623C0",152,175,178,194,206,194,249,231,265,283,335,344,342,326,343,334,357,368,389,400,417,444,449,450,479,482,480,502,579,643,712,771,883,1041,1310,1635,1810,2224,2123,2883
"35","30","  Legal services","B2624C0",25,30,34,37,39,37,49,46,50,57,67,71,71,73,81,85,91,91,102,103,106,114,133,137,145,165,204,205,197,231,285,338,386,508,654,812,1027,1248,1588,1275
"36","31","  Other \2\","B2625C0",22,25,28,32,32,28,35,34,38,43,43,99,101,99,116,118,133,140,171,201,227,273,313,344,401,467,341,391,415,542,566,736,868,1585,1117,1107,1959,1824,1798,1710
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
