"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"22","14","    Information","N5014C1",311.3,319.6,301.4,290.2,311.4,308.1,302.7,306.9,264,299.7,348.1,342.9,336.6,359.6,376.1,375,389.3,407.3,420.5,428.7,434.9,426.8,428.5,440.5,459.8,448.4,460.3,NA
"23","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1665.2,1638.9,1607.9,1662.6,1675.8,1665.3,1623.8,1613.9,1640.2,1670.7,1708.2,1743.8,1771.6,1772,1726,1852.2,1957,1953.5,1819.1,2027.5,2084.7,2138.2,2096.7,2190.8,2180.3,2237.8,2222.7,NA
"24","16","    Professional and business services \1\","N5016C1",1137,1171.4,1189.1,1187.7,1199,1210.8,1218.1,1216.8,1263,1256.1,1241.9,1252.5,1288.4,1313.2,1348.8,1395.1,1440.7,1440.2,1481.3,1505.6,1578.3,1606.5,1644.9,1691.4,1749,1751.2,1785.1,NA
"25","17","    Educational services, health care, and social assistance","N5017C1",703.3,714,724.5,735,754.2,772.3,786.2,795.3,809.6,817.5,826.8,841.2,856.7,875,888.9,900,918,931.2,930.6,943.4,970.1,991.9,995.3,1020.8,1026.6,1047.3,1066.9,NA
"26","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",314.1,318.5,318.3,316.6,322.9,329.2,332.7,336.1,338,338.7,344.1,352.8,363.3,370.5,371.9,372,392,398.9,395.3,395,421.4,429.2,428.4,424.1,440.8,452.2,450.8,NA
"27","19","    Other services, except government","N5019C1",225.8,226.4,226.9,225.6,231.6,235.4,239.7,241.8,244.6,245.9,247.3,250.7,252.4,254.9,258.6,261.2,266,269.2,272.2,275.5,279,282.7,284.2,289.3,294.3,296.9,299.7,NA
"28","20","  Government","B436RC1",1031.2,1043.4,1060.1,1076.6,1106.6,1119.7,1135,1151.4,1181.1,1196.6,1206.4,1216.8,1244.5,1257.1,1267,1277.3,1304.3,1314,1311.3,1335.7,1359.3,1372.7,1390,1404.6,1424,1442.9,1462.5,NA
"29","21","Rest of the world","A192RC1",38.7,44.5,16.7,74.6,26.2,16.6,29.6,50,39.4,56.6,53.7,77.7,96.2,72.8,83,52.7,70,67.7,86.9,49.5,62.9,64,45,60.1,63.2,70.7,101.2,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
