"","Table 7#15# Relation of Net Farm Income in the National Income a","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"11","4","      Monetary interest received by farm corporations","B1450C1",0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.8,0.9,0.4,0.3,0.4,0.3,0.3,0.3
"12","5","      Valuation adjustment, Commodity Credit Corporation loans","B2637C1",0,0,-0.1,0,0,-0.1,-0.9,-0.8,0,0.1,-0.1,-0.3,-0.4,-0.3,-0.8,-1.2,-2.2,0.2,-1.1,-0.9,0,-1.5,-0.2,-0.1,-0.1,-0.4,-0.1,-0.4,-0.9,-0.6,2.7,1.2,-1.5,-1.9,-2.2,-2.3,0.9,-4,-2.1,-1.6
"13","6","      Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2,1.3,-0.3,1.3,-1.9,0.9,0.4,0.5,-1.1,0.6,-0.6,1.2,-0.3,-0.2,0.3,0.1
"14","7","Less: Consumption of fixed capital, NIPAs","B366RC1",4.4,4.6,5,5.3,5.6,6.1,6.6,7.8,9.3,10.3,11.5,12.9,14.7,16.8,18.4,19.4,19.2,19.1,18.6,18.2,17.8,17.7,18.2,18.6,18.9,18.9,18.9,19.2,19.6,19.9,20.3,20.9,21.2,21.3,27.4,27,27.7,29.6,31.4,33.1
"15","8","      Gross rental value of farm housing, USDA","B2638C1",2.7,2.8,3,3.3,3.5,3.7,4.1,4.9,5.4,6.1,7.3,8.1,9.3,11,12.6,13.1,12.6,4.9,4.7,4.6,5,7.7,7.2,7.2,7.2,7.2,8.1,9,9.4,9.8,9.7,9.9,10.2,10.7,11.4,12,15.2,17,19,20.1
"16","9","      Patronage dividends received from cooperatives","B2639C1",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.8,0.6,0.6,0.6,0.6,0.2,0.2,0.2,0.3,0.3
"17","10","      Other \1\","B1451C1",0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.5,0.6,0.6,0.7,0.2,-1.1,-0.2,-0.4,1.7,1.6,1.5,1.4,0.8,0.7,0.8,0.8,1,1,0.8,1.1,1,1.2,0.9,1.3,1.5,1.6,1.8,1.8,2.7,1.7,1.2,1.1,0.9
"18","11","      Statistical differences \2\","W713RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7,0.4,0.6,-0.5
"19","12","Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",11.5,11.6,13.3,13.3,14,18.1,32.2,24.8,23.8,18.3,17.1,22.1,25,11.4,21.1,13.7,3.4,22.9,23.5,25.6,32.8,30.5,39.5,38.5,31.7,42.3,37.2,42.5,26.7,47.8,43.6,36.9,32.9,35.2,28.7,18.1,41.6,60.8,52.5,34.7
"20","13","          Proprietors' income","B042RC1",11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,37.3,30.8,19.4
"21","14","          Corporate profits","B1023C1",0.1,0.1,0.7,0.6,0.7,1.3,3.3,1.6,2.1,1.3,1.4,2.5,3.3,0.1,2.4,0.7,-2.6,2.3,2.7,3,4.1,3.7,6.5,6.7,4.9,7.8,6,8.5,4,10.5,9.4,7.5,4.3,12.5,9,7.5,12.4,23.4,21.7,15.4
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists largely of salaries paid to certain farm operators.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Statistical differences result from updates to the USDA farm income estimates that have not yet been incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","into the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","USDA U.S. Department of Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
