"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"28","20","    Textile product mills","PK3143",91.871,91.776,92.271,91.306,91.54,91.667,92.079,92.005,92.11,92.239,92.726,92.728,92.636,92.671,92.695,92.617,92.657,92.774,92.556,92.556,92.386,92.335,92.541,92.369,91.942,91.838,92.154,91.979,91.942,92.453,92.118,92.106,92.267,92.382,92.428,92.274,91.993,92.389,92.957,92.956,93.064,93.672,93.274,93.541,93.151,93.567,93.428,93.986,94.258,94.504,93.863,94.477,94.277,94.194,94.8,94.243,93.726,94.555,94.306,94.071,94.558,94.154,94.085,94.331,93.991,94.356,94.706,94.865,94.431,94.349,94.7,93.924,94.107,94.067,94.423,94.9,94.97,95.717,95.623,95.514,95.345,95.591,96.689,95.326,95.195,95.238,94.232,95.101,95.604,96.295,96.559,97.124,96.97,97.439,98.551,98.536,98.25,98.459,99.452,99.73,99.702,99.855,100.123,100.08,100.402,100.487,101.903,101.631,102.523,102.836,102.559,102.359,101.912,102.106,102.134,103.202,103.867,103.727,103.695,103.61,103.894,104.032,103.783,103.749,104.281,104.232,104.598,104.531,104.788,104.948,104.95,105.008,104.939,105.306,105.574,105.806,105.874,105.883,107.314,108.222,108.149,108.736,108.948,108.777,108.941,108.506,108.807,109.855,109.81,110.433,110.098,109.954,110.619,110.832,110.728,110.798,111.025,110.332,110.9,110.875,111.608,111.646,111.876,112.128,111.804,111.917,112.251,112.145,112.673,114.262,114.074,115.623,116.096,116.136,117.216,118.185,118.302,118.72,117.808,118.132,118.423,118.65,118.236,118.205,118.512,118.7,119.497,119.572,119.538,118.868
"29","21","    Apparel manufacturing","PK3153",98.925,98.999,99.153,98.897,99.286,99.367,99.358,99.49,99.628,99.391,99.734,99.677,99.845,99.815,99.754,99.804,99.841,99.924,100.043,99.977,100.153,100.35,100.204,100.196,100.257,100.275,100.333,100.367,100.519,100.098,99.913,100.424,100.463,100.419,100.482,100.544,100.401,100.463,100.645,100.67,100.586,100.664,100.873,100.791,100.894,100.93,100.868,100.931,100.923,100.986,100.799,100.846,100.757,100.646,100.675,100.841,100.732,100.783,100.777,100.461,100.415,100.322,100.148,99.947,100,100.008,99.997,99.998,100.083,100.205,100.209,100.31,99.872,99.846,100.073,99.974,99.827,99.719,99.582,99.766,99.907,99.953,99.917,99.928,99.894,99.748,99.798,99.908,100.08,99.798,99.707,99.736,100.284,100.456,100.647,100.565,100.471,100.309,99.794,99.778,99.893,100.005,99.87,99.886,100.405,99.904,99.894,99.779,99.986,100.161,100.182,100.197,100.257,100.189,100.148,100.371,100.423,100.79,100.702,100.678,101.197,101.438,101.378,101.511,101.365,101.342,101.419,101.466,101.474,101.664,101.702,101.694,101.886,101.879,102.162,102.427,102.424,102.355,102.585,102.871,103.133,103.464,103.623,103.615,103.897,103.892,103.933,103.881,103.689,103.704,103.592,103.648,103.876,104.005,103.969,103.98,103.89,103.835,103.838,104.09,104.031,104.053,104.17,104.246,103.899,103.925,103.961,104.096,104.266,104.919,104.996,105.29,106.044,106.234,106.636,106.566,106.982,106.92,107,107.055,107.413,107.616,107.542,107.634,107.62,107.659,107.633,107.831,107.824,107.892
"30","22","    Leather and allied product manufacturing","PK3163",93.253,93.589,93.493,93.716,93.035,92.604,92.704,92.549,92.595,93.3,93.823,93.352,93.19,93.049,92.991,92.603,92.723,92.706,92.943,92.684,92.746,92.618,92.226,92.453,91.783,91.976,91.898,91.943,91.801,92.124,92.254,92.312,92.468,92.683,92.712,92.747,93.118,93.25,93.145,93.324,93.042,92.936,93.131,93.468,94.076,94.099,94.743,95.084,95.23,96.017,96.419,97.718,98.2,97.515,97.449,97.717,96.793,96.449,96.021,95.586,96.056,95.647,95.695,95.787,96.209,96.713,97.066,97.873,97.783,97.616,97.978,98.112,98.147,98.253,98.275,98.672,98.098,98.448,98.542,98.406,98.897,99.258,99.459,99.39,99.578,99.738,99.824,99.516,99.426,99.559,99.719,99.563,99.487,99.45,99.667,99.728,99.747,99.833,99.904,99.868,99.905,100.079,100.206,100.057,99.994,100.149,100.186,100.146,100.25,100.445,100.767,101.245,101.384,101.349,101.47,101.635,101.607,101.88,102.025,102.19,102.88,102.909,103.294,103.546,103.499,103.345,103.345,103.784,103.807,104.159,104.29,104.643,105.245,105.513,105.61,105.675,105.446,106.179,106.366,106.663,107.037,106.86,106.679,106.635,106.449,106.633,106.524,105.748,105.72,105.626,105.264,105.605,105.578,105.128,104.853,104.859,104.967,105.183,105.31,106.237,106.635,106.821,107.081,107.475,107.563,108.686,108.727,109.043,109.869,110.614,110.783,111.322,112.131,112.93,113.793,113.889,113.736,113.482,112.828,112.24,112.623,112.584,113.972,114.989,114.778,114.703,114.976,114.931,115.714,116.286
"31","23","    Paper manufacturing","PK3223",86.652,85.978,85.246,84.735,84.695,84.845,85.055,85.617,86.639,87.064,88.027,88.99,89.252,89.415,89.264,88.835,88.807,88.553,88.44,88.117,87.578,86.934,86.479,86.156,85.73,85.581,86.078,86.663,87.07,87.483,87.992,88.837,89.745,90.525,90.714,90.894,91.339,91.636,93.039,94.452,95.36,95.59,95.583,95.647,95.885,95.86,95.831,95.769,95.665,95.651,95.631,95.703,95.294,95.154,94.911,94.23,94.094,93.664,93.319,93.433,93.052,92.608,92.328,92.385,91.957,92.004,92.171,92.638,93.01,93.406,93.572,93.484,93.388,93.478,93.246,93.392,93.559,93.414,93.258,93.401,93.117,92.947,92.932,92.98,92.361,92.497,92.517,93.262,94.163,95.319,96.206,97.348,97.812,98.338,98.562,98.854,99.14,99.51,99.952,100.189,100.335,100.315,100.168,99.748,99.553,99.585,100.599,100.89,101.476,102.927,103.749,103.83,105.021,106.052,106.253,106.564,106.993,107.168,106.968,107.312,107.533,107.487,107.417,107.651,107.623,107.702,107.87,108.012,108.482,109.526,110.219,110.518,111.278,111.859,112.261,112.812,113.244,113.794,114.699,117.268,118.769,119.36,119.235,119.205,118.487,117.827,117.238,116.135,114.778,113.994,113.193,112.817,112.692,112.626,112.896,113.032,113.115,114.539,115.887,116.783,118.96,119.988,120.721,120.813,121.502,121.654,121.903,122.198,122.534,122.611,123.297,123.482,123.811,124.141,124.462,124.369,124.322,124.135,123.683,124.207,124.144,124.641,124.676,124.505,124.41,124.403,124.41,124.095,123.612,124.139
"32","24","    Printing and related support activities","PK3233",89.264,89.282,89.214,89.378,89.341,89.434,89.661,89.845,89.905,90.776,90.885,90.939,91.184,91.215,91.381,91.659,91.607,91.504,91.713,91.756,91.817,91.987,92.022,92.07,91.767,91.824,92.013,92.065,92.157,92.173,92.269,92.421,92.41,92.677,92.862,92.937,92.989,93.143,93.562,94.086,94.183,94.939,95.12,95.226,95.293,95.682,95.662,95.842,95.949,96.106,96.224,96.638,96.402,96.294,96.364,96.195,96.162,96.134,96.188,95.96,96.147,96.247,95.891,96.066,96.067,96.109,96.194,96.061,96.098,96.094,96.1,96.169,96.259,96.49,96.496,96.52,96.604,96.674,96.488,96.628,96.639,96.698,96.721,96.68,96.837,96.842,97.088,97.535,97.525,97.622,97.989,98.072,98.575,98.656,98.915,98.976,99.346,99.227,99.407,99.452,99.534,99.747,100.099,100.272,100.569,100.703,100.779,100.906,101.361,101.738,101.987,102.12,102.249,102.439,102.533,102.777,102.896,103.292,103.367,103.389,103.38,103.237,103.492,103.681,103.83,103.88,104.156,104.381,104.59,104.808,104.912,105.19,105.639,105.945,105.99,106.577,106.765,106.93,107.385,107.914,108.254,108.267,108.118,108.134,108.027,107.48,107.515,107.3,107.149,107.047,106.165,106.021,106.143,106.334,106.484,106.474,106.177,106.31,106.376,106.401,106.512,107.008,107.212,107.039,107.11,107.397,107.908,107.9,107.808,107.852,108.028,108.361,108.462,108.552,108.702,108.838,109.305,109.38,109.152,109.148,109.039,109.115,109.153,109.079,109.506,109.465,109.56,109.617,109.593,109.699
"33","25","    Petroleum and coal product manufacturing","PK3243",48.718,47.818,46.538,43.664,41.374,40.632,39.562,41.228,40.581,40.856,40.959,41.265,38.732,36.653,34.917,34.521,33.968,32.938,32.812,30.912,30.348,31.744,31.239,29.624,30.894,29.449,31.747,37.199,36.191,35.718,38.952,41.554,42.487,42.022,44.527,49.069,49.83,54.67,58.378,52.753,51.76,57.659,56.957,54.851,59.018,59.076,61.656,61.296,59.602,58.387,55.057,56.956,57.851,55.786,50.068,51.061,54.47,45.604,44.032,41.322,40.703,41.324,45.377,49.451,47.113,48.253,50.138,50.319,52.276,56.688,55.504,56.465,61.416,72.468,73.662,57.991,52.681,56.944,58.141,60.149,58.621,58.164,60.396,64.85,69.671,69.403,67.693,68.865,71.881,70.739,73.739,74.893,76.776,86.089,89.734,82.524,83.226,88.091,92.394,91.897,86.895,91.867,96.564,103.291,117.853,128.638,110.176,114.565,117.077,112.283,113.002,120.791,122.558,127.637,123.543,128.444,111.394,107.881,112.421,118.583,101.802,106.432,119.018,130.129,137.596,134.546,142.002,129.373,134.052,133.834,153.405,144.696,147.973,149.826,169.447,174.79,193.236,204.242,216.011,191.961,192.039,149.809,109.753,81.729,87.957,86.977,82.703,92.08,102.475,118.658,112.396,125.51,120.376,120.02,129.082,127.07,138.007,130.619,139.321,144.157,146.809,140.969,140.019,142.813,141.883,148.545,152.387,156.266,161.708,168.994,187.259,198.359,206.017,199.471,199.082,190.764,193.857,185.392,187.343,182.63,187.094,190.357,206.164,207.268,199.437,190.949,185.677,197.739,208.73,203.481
"34","26","    Chemical manufacturing","PK3253",79.653,79.695,79.644,79.576,79.69,79.692,79.769,79.796,79.845,79.958,80.029,80.033,79.957,79.937,81.127,81.071,81.088,81.078,81.07,81.035,80.846,80.77,80.738,80.689,80.535,80.298,80.281,80.272,80.531,80.894,81.264,81.245,81.589,82.397,82.506,82.535,82.666,82.836,82.879,83.034,83.465,83.587,84.046,84.251,84.697,84.839,84.751,84.878,85.625,86.047,86.199,86.272,85.721,85.633,84.64,84.196,84.489,83.979,83.978,83.582,83.546,83.526,84.02,84.112,84.016,84.205,84.986,85.056,85.082,85.668,85.912,85.543,86.312,86.96,88.059,88.608,88.47,88.364,88.059,87.842,88.006,88.228,88.183,88.346,89.032,89.423,89.915,90.478,90.689,91.481,92.134,92.884,94.034,94.929,95.679,96.585,97.542,97.824,98.47,99.094,99.101,98.917,99.417,99.514,100.204,102.246,103.724,103.75,104.628,104.925,104.943,104.439,104.934,105.128,105.297,105.65,105.78,105.993,105.798,106.172,106.354,106.686,107.272,107.595,107.981,108.556,109.073,109.539,109.439,110.497,111.769,112.321,114.159,115.327,117.084,118.385,120.283,122.129,125.988,127.617,129.384,128.08,126.545,124.467,122.982,122.284,121.969,121.316,120.607,120.232,121.04,120.839,121.542,121.615,121.84,122.863,123.401,124.722,125.151,126.037,125.937,125.793,126.015,126.307,126.751,127.543,127.799,128.489,130.991,132.219,133.337,134.963,136.338,136.643,137.654,137.229,138.09,137.883,137.515,137.297,138.504,139.051,140.37,140.949,141.278,140.304,139.898,139.252,139.965,140.42
"35","27","    Plastics and rubber product manufacturing","PK3263",87.17,87.151,87.091,87.27,87.311,87.286,87.251,87.245,87.134,87.078,87.152,87.1,87.089,87.104,87.123,87.057,86.951,86.887,86.704,86.591,86.494,86.364,86.319,86.366,86.26,86.25,86.274,86.569,86.635,86.884,87.002,87.295,87.406,87.563,87.829,87.918,88.104,88.14,88.152,88.376,88.284,88.697,89.245,88.988,89.216,89.119,89.767,89.782,89.754,89.668,90.072,89.979,90.207,90.15,90.084,89.673,89.493,89.384,89.428,89.343,89.146,88.836,88.995,89.211,89.43,89.831,89.678,89.881,90.166,90.164,89.806,89.85,90.211,90.935,91.56,92.178,92.203,91.98,91.841,91.79,91.656,91.606,91.537,91.735,91.845,92.189,92.355,92.587,92.886,93.268,93.584,93.666,94.629,95.283,95.944,96.593,97.492,98.072,98.678,98.961,99.064,99.416,99.552,99.299,100.297,101.699,103.313,103.918,104.713,104.77,104.623,104.686,104.598,104.708,105.06,105.356,105.507,105.724,105.54,105.552,105.209,105.088,104.947,104.96,105.21,105.313,105.683,106.295,106.302,106.623,106.981,107.604,108.594,109.031,109.633,109.999,111.009,111.681,113.829,114.912,115.817,116.316,115.859,114.8,113.997,112.985,112.74,112.755,112.736,112.395,112.261,112.324,112.81,113.025,113.338,113.468,113.65,114.248,114.989,115.776,116.231,116.859,116.695,116.752,117.041,117.287,117.884,118.358,119.698,120.546,121.454,122.418,123.71,124.818,125.07,124.89,124.955,125.142,124.956,124.886,125.08,125.6,125.957,126.426,126.78,126.531,126.313,125.657,125.984,125.79
"36","28","Merchant wholesale industries","PK42W3",96.05,95.669,95.643,95.148,94.637,94.047,93.776,93.917,93.689,93.786,93.382,93.28,92.258,91.87,91.362,90.984,90.577,90.011,90.056,88.865,88.613,88.881,88.538,88.127,88.337,87.752,88.016,88.664,88.665,88.732,88.926,89.499,89.934,89.797,90.165,90.797,90.947,91.716,92.153,91.592,91.762,91.96,91.776,91.152,91.906,92.157,92.371,92.23,92.081,91.671,91.309,91.262,91.327,90.997,90.302,90.251,90.531,89.214,88.818,88.529,88.466,88.601,89.156,89.12,88.946,89.184,89.695,89.969,90.445,91.026,90.535,90.454,91.225,92.599,92.804,91.09,90.691,91.018,90.938,91.385,91.729,92.223,92.701,93.41,94.133,94.393,94.83,95.321,95.91,95.495,95.852,96.18,96.564,97.918,98.262,97.667,97.958,98.475,99.301,99.204,98.579,98.808,99.343,100.066,101.701,102.673,101.463,102.2,102.713,102.232,102.354,103.483,104.101,104.658,104.507,105.048,103.766,103.822,104.785,105.656,104.853,106.29,106.965,107.538,107.751,107.828,108.355,108.046,109.615,111.032,114.159,114.492,116.008,116.858,118.813,119.55,121.476,123.694,125.198,123.334,123.168,116.782,110.848,105.971,106.755,106.261,105.062,105.775,106.961,109.188,107.238,110.061,109.976,111.724,112.978,114.205,116.201,115.465,116.572,116.455,114.808,112.69,112.833,114.17,116.029,118.823,120.243,122.808,124.543,127.334,127.966,129.169,127.824,127.241,127.665,127.257,129.226,128.537,129.727,130.113,130.31,130.851,131.344,130.314,128.044,126.572,127.346,129.28,131.619,131.576
"37","29","  Durable goods merchant wholesale industries","PK42WD3",112.976,112.799,112.727,112.453,111.872,111.665,111.299,111.069,110.655,110.267,110.019,109.697,109.077,108.553,108.156,107.564,107.104,106.526,106.144,105.35,105.065,104.644,104.341,103.943,103.542,103.421,103.114,102.811,102.714,102.649,102.639,102.444,102.393,102.41,102.541,102.519,102.54,102.366,102.268,102.135,101.996,101.858,101.776,101.266,101.282,101.096,100.878,100.622,99.837,99.368,99.103,99.01,98.967,98.83,98.577,98.156,98.05,97.442,97.206,97.006,96.864,96.829,96.821,96.717,96.731,96.838,96.593,96.419,96.533,96.606,96.293,96.142,96.166,96.059,96.276,95.891,95.93,95.859,95.816,95.89,96.096,96.303,96.529,96.669,97.076,97.656,98.216,98.448,98.569,98.505,99.09,99.745,99.754,100.22,100.362,100.47,100.488,100.422,100.314,100.32,99.853,99.427,99.372,99.643,100.028,99.696,100.094,100.353,100.63,100.925,101.085,101.372,102.155,102.194,101.82,101.864,102.137,101.642,102.196,102.331,102.299,102.518,103.041,103.021,102.849,102.949,103.001,102.984,102.855,103.194,103.409,103.492,103.849,104.358,104.999,106.336,107.108,107.799,108.856,108.818,107.574,105.818,103.783,103.28,103.199,102.741,102.434,102.105,102.288,102.616,102.816,103.543,103.795,104.07,104.347,104.914,105.455,105.547,106.051,106.404,106.252,105.692,105.335,105.44,105.952,106.439,107.035,107.576,108.051,108.587,108.702,108.935,108.926,109.318,109.62,109.663,110.112,109.887,109.933,110.229,110.118,110.165,110.178,110.002,109.894,109.62,109.259,109.429,109.59,109.511
"38","30","    Motor vehicles, parts, and supplies wholesalers","PK42113",102.579,102.428,102.577,102.257,101.817,102.033,101.337,101.4,100.974,100.455,100.264,99.989,100.224,100.446,100.518,100.397,100.132,100.015,100.629,100.419,100.414,100.722,101.048,100.876,100.702,100.871,100.657,100.872,101.121,101.059,100.967,101.047,101.097,101.708,101.409,101.43,101.386,101.291,101.486,101.428,102.02,101.748,101.779,101.567,101.929,101.309,101.907,102.186,102.15,101.028,101.485,101.885,101.12,100.989,101.853,101.751,102.115,100.169,100.238,100.701,100.223,100.657,100.278,100.087,99.793,99.934,99.058,98.712,99.146,99.593,98.923,98.596,98.87,99.137,100.672,98.7,98.703,98.193,98.449,98.571,98.072,99.035,98.72,98.354,98.296,98.375,98.757,98.505,98.807,98.992,98.37,98.518,99.056,99.981,99.789,100.123,100.436,99.773,99.645,99.872,100.286,99.994,100.852,100.803,101.446,98.821,98.984,99.19,99.412,99.87,100.05,100.403,100.33,100.406,96.916,97.908,98.496,96.314,99.244,98.995,98.531,98.453,98.39,98.352,98.428,98.758,99.298,99.136,98.516,98.714,99.423,99.156,99.555,99.673,99.38,99.989,99.881,100.642,100.86,101.366,101.217,102.283,101.508,101.831,101.695,101.517,101.459,101.859,101.996,103.409,102.671,103.451,103.046,102.351,103.129,103.28,103.853,104.004,103.914,103.918,104.302,103.904,104.279,104.568,104.796,103.208,103.272,103.483,103.853,104.132,104.442,105.051,105.262,106.059,106.602,106.62,106.673,106.05,106.286,106.399,106.553,106.541,106.883,107.323,107.34,107.753,108.34,108.324,108.098,107.13
"39","31","    Furniture and home furnishings wholesalers","PK42123",90.299,90.314,90.409,90.11,90.333,90.329,90.635,90.576,90.632,90.73,90.848,90.887,90.899,91,91.101,91.02,91.221,91.07,90.904,90.93,90.884,91.031,91.13,91.164,90.995,90.887,91.127,91.057,91.145,91.412,91.309,91.375,91.402,91.592,91.623,91.602,91.69,91.938,92.158,92.238,92.239,92.522,92.461,92.821,92.662,92.938,92.885,93.16,93.056,93.308,93.059,93.42,93.256,93.09,93.339,93.015,92.899,93.305,93.194,93.157,93.464,93.365,93.29,93.367,93.168,93.459,93.781,93.777,93.917,93.975,94.184,93.845,93.986,94.018,94.143,94.362,94.46,94.837,94.855,94.828,94.57,94.813,95.332,94.692,94.619,94.862,94.556,95.114,95.658,96.056,96.339,96.877,96.85,97.228,98.187,98.378,98.371,98.664,99.234,99.54,99.794,99.933,100.245,100.17,100.367,100.591,101.414,101.519,102.229,102.498,102.48,102.438,102.368,102.548,102.862,103.316,103.744,103.847,103.891,103.84,104.581,105.007,104.858,105.005,105.38,105.385,105.494,105.464,105.64,105.881,106.2,106.206,106.357,106.887,107.031,107.686,107.805,108.281,109.145,109.774,110.163,110.805,110.921,111.006,111.491,111.473,111.421,112.134,112.034,112.011,112.142,111.922,112.451,112.456,112.501,112.509,112.45,111.661,111.676,111.731,112.228,112.514,112.415,112.793,112.744,112.851,112.794,112.759,113.321,114.397,114.894,115.41,116.062,116.492,117.056,117.271,116.864,117.927,117.955,118.355,118.488,118.92,118.444,119.075,119.408,119.44,119.795,119.867,119.69,119.542
"40","32","    Lumber and other construction materials wholesalers","PK42133",89.012,89.533,89.409,90.027,90.89,89.668,89.921,89.515,89.547,88.859,89.241,88.819,87.928,87.684,87.421,87.342,86.75,85.199,85.948,86.341,86.223,86.232,86.08,86.518,87.061,87.567,88.096,88.07,89.047,90.222,92.196,91.122,90.528,89.744,90.317,90.643,90.8,90.253,90.124,89.72,88.793,88.475,87.892,87.227,87.103,87.845,87.807,87.839,87.051,86.907,86.844,87.059,89.654,90.624,89.017,89.025,88.663,88.068,87.827,87.405,87.923,87.965,88.305,88.115,88.244,87.714,87.827,88.388,88.006,88.329,88.426,88.445,88.211,88.303,87.946,87.929,88.241,88.614,89.546,89.819,91.413,91.556,92.204,92.658,92.707,93.732,95.302,97.116,99.356,98.75,98.856,101.647,101.52,99.716,98.402,98.834,98.993,100.228,100.15,100.172,98.671,99.754,99.317,98.898,99.62,100.759,101.2,101.955,103.167,103.027,102.652,102.556,102.665,101.213,100.678,100.133,100.229,99.446,99.235,99.621,99.975,99.507,99.118,99.007,98.379,98.701,99.378,99.288,98.609,98.954,98.776,99.271,97.887,97.347,97.388,98.146,99.303,100.411,101.434,103.048,103.995,103.937,103.863,104.082,102.429,100.44,100.762,100.584,99.753,99.606,100.726,100.167,101.081,101.585,101.918,102.284,102.312,104.16,105.336,106.548,107.693,105.785,105.304,104.45,104.122,104.53,105.093,105.446,105.92,105.814,105.892,105.62,105.647,106.041,106.747,107.147,106.701,107.427,106.664,106.308,106.589,105.566,106.56,107.345,108.574,108.981,108.162,109.076,109.64,109.476
"41","33","    Professional and commercial equipment wholesalers","PK42143",238.751,236.188,234.056,232.397,226.754,224.769,222.313,218.937,216.717,214.148,211.588,210.053,205.303,200.816,198.182,193.806,190.846,189.136,186.568,181.016,179.267,176.28,174.414,171.77,168.996,166.914,165.181,162.753,161.219,159.494,158.109,156.229,155.319,153.713,153.338,152.11,151.274,150.111,149.156,148.113,147.282,146.493,146.597,144.891,144.599,143.85,142.901,141.654,136.555,134.748,132.507,132.31,131.326,130.92,129.726,127.228,126.244,124.899,123.583,122.728,122.015,121.174,120.851,119.985,119.848,119.192,118.211,117.254,116.823,115.877,115.287,114.884,114.235,112.583,112.078,112.076,111.558,111.237,110.633,110.174,110.328,109.882,109.627,109.065,109.011,108.966,108.756,108.375,108.237,107.204,106.874,106.321,105.783,105.19,104.664,104.578,103.409,103.331,102.455,101.759,100.833,100.506,99.615,99.448,98.247,97.816,97.16,96.583,96.198,95.422,95.019,94.235,93.926,93.299,92.791,92.37,91.781,91.394,91.382,91.177,90.376,90.035,89.597,89.618,89.146,88.632,88.141,87.693,87.398,87.129,86.812,86.531,85.95,85.679,85.317,85.164,85.114,84.762,84.688,84.426,83.946,83.755,83.544,83.402,83.323,82.559,82.191,81.828,81.897,81.21,80.967,80.992,80.455,80.499,79.767,79.617,79.565,79.519,79.439,79.121,79.029,78.629,78.784,78.676,78.989,78.952,78.854,78.789,78.439,78.435,77.97,77.847,77.439,77.237,77.272,76.728,77.109,76.83,76.946,76.933,77.236,77.086,76.956,76.747,76.875,76.857,76.761,76.648,76.433,76.441
"42","34","      Computers and software wholesalers","PK42433",468.836,460.436,452.236,445.205,426.833,420.388,412.807,402.21,395.16,387.019,379.185,374.041,360.885,347.223,339.788,328.13,320.282,315.69,308.908,294.119,289.559,281.66,276.395,269.753,262.78,257.585,253.149,246.774,242.907,238.806,235.376,230.654,228.689,224.99,223.827,220.938,218.928,216.122,213.837,211.309,209.293,207.278,207.255,203.288,202.077,200.187,198.593,195.526,184.115,180.404,175.306,174.584,172.18,171.191,168.457,162.651,160.208,157.101,154.311,152.224,150.72,148.529,148.069,146.543,146.122,144.572,142.418,140.188,139.21,137.126,135.67,134.741,132.681,129.541,128.23,127.992,126.993,126.149,124.849,123.821,123.987,122.39,121.7,120.568,119.832,119.624,119.164,118.276,117.941,115.81,115.084,113.922,112.522,111.602,110.316,109.975,107.419,106.653,104.852,103.704,101.799,101.02,99.2,98.705,96.414,95.489,94.263,92.928,92.199,90.69,89.909,88.294,87.556,86.342,85.246,84.393,83.308,82.557,82.234,81.893,80.954,80.271,79.233,78.635,77.736,76.713,75.814,74.896,74.322,73.838,73.175,72.647,71.517,70.871,70.006,69.619,69.477,68.899,68.591,68.081,67.227,66.922,66.683,66.298,66.048,64.835,64.006,63.33,63.343,62.381,61.99,62.144,61.255,61.156,60.292,60.074,60.019,59.922,59.704,59.289,59.214,58.64,58.526,58.354,58.909,58.768,58.521,58.297,57.576,57.449,56.98,56.635,56.116,55.768,55.653,54.977,54.967,54.648,54.629,54.74,54.946,54.727,54.343,54.085,54.315,54.134,54.148,53.894,53.67,53.578
"43","35","      Other professional and commercial equipment wholesalers","PK424X3",93.456,93.22,93.359,93.675,93.613,93.527,93.392,93.377,93.414,93.462,93.478,93.677,93.403,93.681,93.667,93.5,93.435,93.443,93.404,93.443,93.412,93.437,93.641,93.52,93.476,93.503,93.629,93.855,93.957,93.909,94.017,94.252,94.148,94.145,94.329,94.299,94.223,94.247,94.26,94.337,94.402,94.514,94.706,94.747,95.134,95.218,94.799,94.994,94.926,94.689,94.736,94.933,95.064,95.144,95.213,95.304,95.505,95.567,95.448,95.598,95.568,95.825,95.639,95.339,95.437,95.532,95.544,95.72,95.767,95.825,95.969,95.997,96.529,96.154,96.331,96.514,96.414,96.535,96.543,96.576,96.713,97.268,97.408,97.375,97.99,98.112,98.146,98.247,98.294,98.312,98.349,98.391,98.671,98.442,98.66,98.802,99.009,99.645,99.749,99.551,99.728,99.907,100.063,100.272,100.328,100.427,100.415,100.687,100.745,100.83,100.878,101.041,101.242,101.302,101.505,101.616,101.638,101.715,102.104,102.08,101.45,101.541,101.871,102.714,102.804,102.995,103.036,103.231,103.317,103.367,103.562,103.648,103.871,104.155,104.562,104.772,104.871,104.906,105.229,105.384,105.569,105.555,105.423,105.725,105.996,105.992,106.408,106.576,106.736,106.562,106.604,106.411,106.553,106.859,106.472,106.463,106.39,106.43,106.615,106.532,106.412,106.437,107.102,107.131,106.877,107.059,107.286,107.566,108.065,108.325,107.954,108.336,108.257,108.411,108.771,108.648,109.818,109.687,110.084,109.801,110.25,110.284,110.75,110.685,110.562,110.908,110.589,110.809,110.66,110.882
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",73.666,74.007,74.325,74.115,74.121,74.314,74.217,74.411,74.466,74.152,73.987,73.921,73.221,73.166,72.627,72.499,72.393,71.813,71.241,70.446,69.662,68.618,67.799,67.356,66.447,66.606,66.143,66.071,66.382,66.537,66.638,67.152,67.366,67.931,68.428,69.117,70.013,70.162,70.686,70.66,70.384,70.274,70.407,70.259,70.059,69.389,68.404,68.412,68.218,68.27,67.885,67.321,67.304,66.67,66.742,66.383,66.245,65.672,65.343,64.996,65.127,65.274,65.814,66.456,67.255,68.217,68.86,69.099,69.97,70.199,70.27,70.3,70.371,71.127,71.27,71.064,70.819,70.724,70.737,71.447,71.943,72.618,73.683,75.395,78.351,82.617,85.777,88.57,89.33,89.463,93.923,97.163,97.846,100.331,102.046,102.119,102.824,102.676,101.962,101.833,99.458,96.317,95.467,96.138,98.616,99.07,102.309,103.139,104.347,106.185,106.884,109.223,113.513,115.503,117.4,117.035,118.82,118.678,116.958,117.662,117.123,119.123,123.268,125.863,125.613,125.512,125.338,123.796,122.775,122.983,123.224,124.387,128.344,131.856,137.61,149.153,155.996,161.276,165.781,165.424,157.388,141.127,128.084,119.625,117.192,114.55,111.427,107.911,107.485,108.301,111.339,116.081,119.911,121.528,121.076,124.046,128.597,129.848,134.056,139.416,140.329,138.526,135.21,135.331,136.676,137.981,139.975,142.401,148.095,152.283,154.682,156.922,156.582,156.377,157.159,156.954,156.792,154.153,152.023,152.852,153.768,153.592,153.37,151.826,150.606,146.122,143.049,143.091,143.996,142.392
