"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193"
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",9952,10203,9816,10312,10121,10417,10308,10309,10489,10497,10522,10569,10262,10256,10564,10304,10274,10282,10351,10461,10562,10455,10496,10517,11078,10912,10949,10635,10629,10533,10545,10290,10369,10781,11003,11291,11728,11265,11373,11134,11067,11051,11010,11032,10997,10950,11286,11400,10708,10869,10513,10643,10860,10717,10559,10812,10627,10304,10290,10039,10066,10001,9899,10241,10181,10511,10311,10036,9919,9997,9496,9270,9282,9023,9291,9202,9386,9384,9627,9466,9602,9540,9770,10023,10045,10276,11331,11136,10709,11095,10900,11191,10998,10784,10908,11291,11198,11119,10950,11153,11233,11378,11118,11329,11219,11905,11674,12255,11569,11677,11646,11379,11400,11608,11315,11229,11439,11428,11871,11666,11806,11584,11433,11288,11163,10917,10797,10794,10310,10779,10845,10713,10780,10425,10361,9745,9615,9310,9211,9343,9459,10258,10352,10368,8870,8771,7967,7650,6915,6984,6866,6750,6646,6739,6882,6862,6932,6955,7034,6930,7271,7398,7533,7621,7801,7699,7762,7743,7778,7361,7754,7257,7401,7305,7600,7691,7745,8012,8241,8721,8389,8440,8333,8289,8187,8340,8275,8273,8402,8516
"45","37","    Electrical goods wholesalers","KP42160",13871,14094,14191,14249,14514,14501,14869,14922,14841,14526,14628,14877,14794,14975,15177,15242,15406,15234,15372,15276,15309,15710,15456,15466,15579,16068,16245,16433,16677,16962,17315,17516,17764,18132,18658,19360,19759,19437,19492,19811,20110,20734,20587,20993,20963,20574,20445,20791,20446,19777,19642,18777,18305,17254,17849,17696,17658,17712,18464,17696,17841,17996,17723,18109,18444,17865,18014,17866,17861,17610,17932,17879,17796,18035,18338,18063,17839,18482,18636,18358,18876,19439,19399,19142,19368,20169,20260,21022,22024,21370,21280,21514,21060,21010,21289,21649,22021,21226,21754,22473,22131,22079,22088,22212,22111,22832,22511,22660,23059,23524,23293,23028,23929,23672,24184,24818,24953,24736,25602,26048,26023,25772,25840,25479,25423,25913,25772,25956,26614,26797,28008,26624,27238,25619,26457,27419,27486,27490,27629,26469,26200,25201,23635,24133,23303,23767,21606,22960,22789,21703,22589,23087,22790,23866,24617,24107,23873,24750,24761,25555,25628,26115,26665,26843,26547,26645,26937,26630,27302,26650,27886,27846,28338,28161,27235,27790,28425,28407,28429,28641,28408,27972,27654,27646,27668,27399,27423,27456,28485,28501
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",5776,5813,5832,6044,5855,5870,6042,5938,6015,6081,6044,6067,6221,6180,6040,6081,6197,6259,6296,6186,6167,6128,6314,6361,6384,6355,6435,6408,6454,6420,6471,6498,6411,6412,6448,6490,6583,6605,6693,6691,6800,6779,6660,6642,6693,6735,6579,6667,6511,6529,6406,6049,6358,6060,6209,6261,6237,6389,6451,6457,6485,6653,6544,6572,6399,6337,6352,6514,6312,6263,6251,6162,6397,6231,6419,6319,6418,6378,6430,6408,6504,6492,6539,6457,6496,6425,6877,6819,6788,6810,6754,6723,6732,6739,6807,6869,6932,6869,6813,6748,6752,6795,6791,6808,6843,7252,7374,7377,7156,7416,7420,7501,7744,7360,7279,7269,7063,7051,6926,7167,6981,7035,6909,7316,6958,7119,7033,7174,7109,7094,7074,6889,6946,6566,6842,6744,6668,6635,6650,6189,6176,6045,5775,5728,5490,5688,5303,5154,5199,5129,5281,5140,5223,5209,5123,5117,5318,5352,5275,5520,5578,5540,5620,5600,5491,5391,5629,5683,5712,5564,5804,5662,5657,5766,5655,5696,5750,5724,5796,5881,5861,6052,5926,5966,6058,5969,6026,6029,5941,5922
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",19960,21191,20577,20820,20958,21183,21771,21225,21638,21901,21736,21925,22947,23095,22888,23285,23255,23160,22666,22778,22951,22414,22704,22847,22589,22624,23172,22777,23205,23334,23308,23397,23149,23216,23235,23231,23811,23439,23310,23773,23527,24031,24045,23959,23814,23997,24093,23171,23433,24007,23744,23089,22993,22495,22567,22991,22832,21058,21563,21235,20713,20736,20547,21180,21384,21179,20919,20393,20774,20519,20163,20224,20576,19936,20278,20399,20777,20948,21069,21231,21096,20873,20611,21102,20797,21517,22940,22433,22254,22355,22773,22874,22157,23218,23345,24418,23525,23553,22948,24119,23974,24148,24216,23788,24054,24752,24817,25249,25091,25469,25165,25458,25249,25294,25258,25656,25395,24940,25288,25142,25388,24618,25388,24971,25404,25308,25455,25526,26175,26167,26168,26330,26712,26667,26382,27115,27166,28096,26258,26498,25948,26302,25108,23456,21154,21322,21411,20695,20214,19839,19747,19695,20361,18962,19307,20045,19692,20271,20743,20466,21112,21723,22298,22675,22907,23450,24054,23976,24073,23817,23913,24943,24637,25277,25664,25985,26033,26359,26393,27891,27184,27247,27395,27146,27528,26579,26297,26319,26407,26280
"48","40","    Miscellaneous durable goods wholesalers","KP42190",13892,14248,14024,14226,13864,13567,14211,14193,14598,14006,14371,13935,13688,13711,14057,13892,13290,13471,13688,13070,12664,13121,13041,13212,13728,13852,13713,13738,14249,14174,13878,14208,14672,14383,14265,14685,14508,14434,14691,14845,15428,14603,14864,14750,14796,14992,14695,14914,14580,14486,14101,13902,13747,14077,14019,14293,13904,13274,12632,13430,13872,14214,13565,13794,13790,14095,14470,14677,13948,13683,14064,13596,13609,13601,13758,13431,13395,13611,13421,13284,13748,14233,14480,14209,14154,14252,14860,15033,15065,15054,15042,15192,15307,15607,16935,16640,16669,16844,16441,16141,15849,15655,15505,15303,15945,16112,16326,16610,16727,16478,16095,15801,16571,16474,16686,16309,16800,16839,16207,16279,16328,16497,16960,18167,17788,17062,16651,17460,16699,16526,17324,16280,17884,17709,17888,18770,18260,19036,18872,18661,16521,14067,14221,13699,12938,14445,12427,11230,12456,13419,13619,13582,14012,13934,13942,14343,14368,14334,14435,14792,15238,14325,14380,14528,14725,14889,15135,15078,15920,15866,16477,16026,16702,16100,17088,18464,16754,15612,15637,15592,15987,16077,15218,14911,15074,14886,14786,15219,15111,14671
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",115910,118072,118215,116355,118455,118549,118217,118302,119057,118369,118426,118450,120716,120666,121912,122067,123159,122400,123020,124211,126462,126268,127018,129110,125424,126926,128551,127098,130154,130930,130155,129823,129781,131181,132280,130182,131101,129371,130709,132565,132245,135021,134588,135123,135399,135174,134204,138614,137030,136289,134102,134655,135598,133906,136602,136291,137435,137782,138102,138547,139154,139210,137998,141445,141857,142339,142047,142340,141511,140755,144978,144144,145055,143313,142312,142180,142083,143369,144873,144116,142985,144913,144151,144684,143733,145361,148064,145155,144788,145433,144961,147116,147836,146188,147461,149155,151600,150435,147693,150392,150202,149984,150361,150698,151101,150936,151741,150656,151430,152869,154153,153680,153025,153828,154454,153882,154168,152780,151891,153597,152397,154714,155734,157363,160356,159219,157034,156943,157414,155755,154623,155099,154104,154081,152159,153514,154586,156189,152047,153244,147678,152475,149745,154638,151903,152595,151041,152325,151846,148129,154160,149253,150158,147479,150965,148295,145741,149437,149461,151192,152678,155670,157168,155001,152042,151777,152461,148862,151940,146233,149750,149808,152678,153538,151258,152236,149456,152592,149668,149902,149787,151079,152355,156270,157343,157295,155724,153541,153038,150908
"50","42","    Paper and paper products wholesalers","KP42210",6398,6742,6610,6830,6406,6390,6471,6547,6519,6462,6506,6255,6306,6361,6556,6570,6569,6593,6557,6600,6771,6777,6822,7005,6997,7077,6750,7011,7097,7171,7112,7080,7067,7134,7058,6751,7010,6946,6914,6734,6670,6574,6683,6720,6736,6735,6723,6802,6783,6808,6726,6772,6820,6755,6694,6773,6582,6563,6678,6590,6542,6596,6553,6647,6660,6791,6809,6680,6648,6564,6659,6635,6674,6619,6749,6589,6523,6631,6666,6480,6758,6825,6741,6890,6804,7049,7199,7183,7178,7131,7046,6964,7083,7064,7206,7161,7238,7226,6975,7095,7120,7072,7189,7487,7669,7516,7448,7582,7475,7346,7377,7271,7265,7110,7007,6940,6815,6902,6921,6881,6977,7104,7105,7077,7094,7107,7068,7039,7064,6963,7000,7016,6899,6802,6664,7058,6820,6671,6812,6634,6242,6248,6044,5960,5800,5889,5916,6009,6090,6146,6097,6232,6258,6290,6250,6268,6348,6240,6166,6110,5876,5802,5897,5852,5926,5872,5944,5894,5931,5825,5928,5957,5902,5823,5782,5856,5836,5844,5890,5943,5833,5839,5934,5763,5940,5928,5986,5955,6114,5895
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",10333,10503,10791,10835,10985,11129,11350,11400,11385,11345,11464,11514,12147,12319,12138,11671,11758,11689,12035,12062,12302,12511,12628,13041,13305,13472,13671,14167,14298,14331,14433,14643,14498,14536,15023,15472,14956,15193,15788,15871,16191,16510,16629,16801,16727,17160,17299,17603,18358,18080,17866,18103,18584,19011,19277,19655,20515,21301,20876,21195,21704,21866,22171,22278,22117,22703,21960,22080,22538,22378,23297,22999,23095,23381,23625,23948,24308,24378,24956,25117,24570,25001,24849,24984,24517,24555,25269,25125,25384,25237,25915,25770,26197,26442,26659,25906,28184,27116,26490,27515,27219,27714,27129,26743,28251,27791,27994,27804,27712,28283,28198,28285,28475,28435,28106,28188,27946,27885,27924,28166,28089,27833,27945,27953,27961,27728,27869,27999,26989,27889,28072,28344,28124,28246,28016,28046,27847,28035,28173,28079,27478,27778,26492,27039,27459,27788,27171,27452,27623,26579,27195,26921,28036,27759,27532,27044,26914,26680,27358,26894,27016,27386,27456,27787,28060,26811,27815,27839,29062,28201,28789,29086,29565,29353,29599,29629,29124,29589,29506,29421,29173,29077,29146,29088,28294,28070,28257,27286,27067,26927
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",6828,6980,6787,7001,6923,6785,7201,7031,7030,6859,6997,7072,7314,7334,7336,7137,7023,7004,7084,7146,6757,7370,7057,7105,7243,7145,7703,7479,7549,7455,7453,7457,7529,7474,7607,7584,7605,7780,7921,7994,8020,8214,7993,7954,7992,8092,8028,8311,8170,8120,7792,8001,8423,8152,8017,8158,8214,8434,8627,8385,8296,8696,8858,8919,9015,8944,9194,9270,8938,8738,9223,8499,8947,8606,8653,8539,8568,8561,8680,8724,8923,8767,8952,9087,8762,9217,9312,8973,9116,8934,8735,9021,9092,8888,8877,9466,9135,9219,9310,9592,9688,9490,9584,9092,9001,9650,9387,9843,9943,9485,9557,9626,9401,9845,9751,9666,9738,10180,10007,9866,9834,10192,9829,9854,9932,10467,10045,10247,10074,9779,10310,9888,10004,9534,9574,9760,10273,9653,10069,9920,9906,9005,8717,8514,8595,8955,9017,8713,8582,8499,8660,8720,8718,8663,8679,9050,8912,9153,9129,9443,9392,9423,9423,9399,9419,9385,9715,9163,9333,9021,9058,8993,9132,8947,8822,8886,8787,8939,8773,9117,8996,8890,8913,9224,9206,9639,9483,9301,9402,9104
"53","45","    Grocery and related products wholesalers","KP42240",31243,31384,31947,31308,31620,31929,31644,31426,31104,30637,31394,31195,31761,32359,32049,32169,32457,32723,32761,32743,32789,32775,32701,32643,32070,32668,33017,32923,33737,33094,33376,33861,34263,34423,34894,34750,34885,34860,34791,35062,34965,35572,35501,35555,35070,34906,35142,36536,34986,34798,34683,35143,34451,34460,34758,34365,34079,34129,34503,34450,34438,34680,33682,35135,35061,35459,35649,36016,36222,36159,36345,36377,36067,36748,36740,36581,36632,36973,37271,36521,36062,35646,35400,34622,35364,35419,36063,34941,34256,34618,34981,35511,35085,34577,34828,35418,35212,35279,34716,35110,35633,35936,36394,36408,36091,36183,36430,35749,36045,36567,36563,36166,36364,36624,36683,37125,36680,36743,36790,37278,37567,37698,37753,37798,38158,38536,38266,38422,38399,38177,38260,38187,37931,37863,36824,37609,37424,36853,36851,36899,36369,36514,36551,36632,36971,37227,36943,36099,36822,35959,36099,35669,35852,35524,35488,34861,35509,35427,34928,35469,36081,36858,36972,37238,37095,36845,36297,35711,35466,35391,36792,37066,37647,37504,37488,37639,37717,37935,37688,38609,38403,39064,38374,38097,38413,38814,39225,38775,38079,38534
"54","46","    Farm product raw material wholesalers","KP42250",9253,9614,8728,8785,8972,8874,8521,8734,9349,10213,9341,9221,9485,8553,8541,8618,8617,8374,8253,9098,9471,9133,9119,9780,8756,9171,9291,8860,9697,9760,10054,9027,9672,9766,9660,9293,9219,8849,8952,9434,9227,9779,10295,10450,9823,9397,9030,9445,9148,9931,10022,9604,9687,8932,9117,9227,9033,8806,8855,8601,9041,8900,8867,9471,9166,9297,8858,8321,7951,8094,9100,9451,9421,8701,8569,8439,8349,9117,8725,8989,8704,9151,9154,9130,8901,8826,8821,8904,8366,8516,8527,9385,9358,9692,9878,10060,9801,10100,9106,10062,9821,9880,9795,9557,10383,10172,10277,9854,10025,10459,11138,10783,10772,10809,10472,10309,10380,9017,7923,8479,9111,8874,9161,9690,10073,9692,9931,10545,10537,9435,9557,9092,9397,9004,9341,8791,9448,9149,9207,9577,8843,10523,10230,10433,9671,10029,9637,10285,9578,9543,10445,9845,10055,9933,12533,11353,11217,11878,11413,10871,9600,10021,9527,9646,9439,10566,10442,10087,10066,8892,9534,8786,9441,9000,8430,7813,7360,8628,8372,8602,8300,8261,8375,8827,8885,8777,7817,7616,7955,8228
"55","47","    Chemical and allied products wholesalers","KP42260",5915,6040,6151,6237,6152,6387,6450,6319,6381,6279,6234,6219,6347,6373,6179,6215,6329,6222,6239,6354,6372,6505,6522,6435,6497,6146,6467,6398,6517,6802,6584,6641,6506,6575,6647,6625,6599,6307,6605,6708,6606,6729,6607,6744,6762,6871,6741,6967,6662,6801,6750,6678,6785,6698,7030,6872,6832,6909,7046,7100,7259,7374,7028,7315,7551,7344,7236,7338,7424,7229,7089,6975,7135,6852,7001,7026,7048,6972,7060,6889,7005,7065,7072,7051,6980,6991,7149,7031,6975,7100,7109,7143,6974,6972,7147,7141,7392,7411,7186,7522,7494,7614,7456,7548,7310,7079,7192,7110,6764,6895,6934,6811,6761,6775,6792,6752,6763,6782,6834,7013,7054,7049,7275,7165,7039,6878,6922,6954,7264,7468,7197,7096,6889,7079,6916,6946,6893,7012,6812,6919,6492,6984,6898,6573,6095,5979,5636,5784,5836,5685,5784,5766,5782,5763,5829,6015,6029,6013,5955,5960,6180,6156,6203,6359,5960,6222,6125,6109,6157,5972,6218,5914,5766,5883,5936,5693,6041,6136,6266,6184,6197,6197,6126,6265,6172,6390,6447,6328,6291,6424
"56","48","    Petroleum and petroleum products wholesalers","KP42270",26076,25797,26718,25134,27233,28064,28050,28435,27715,26423,27226,27031,27340,28104,30514,30378,31379,32901,32711,32872,33999,33079,33809,35647,33344,33859,34413,30667,31650,32303,30757,30275,29038,29485,28881,26614,27385,26789,25880,27517,27824,28220,28636,28921,29742,29843,28857,30511,31076,29536,28739,29103,29564,28090,29755,29054,30193,29899,30583,31764,31501,29608,29648,31213,31995,30950,30953,31461,30782,30998,32098,32006,32432,30535,29441,29726,30636,29528,29594,29311,29177,30373,29741,30483,30132,31203,31911,30161,31031,31175,29353,29103,30178,28780,28809,29199,30124,29152,29445,29347,29057,28556,29187,30148,28718,28276,29136,29113,28868,29279,30666,30021,29858,29937,31081,30276,31058,31147,30981,31402,29651,32472,31900,33128,34590,33564,32462,31475,32162,31127,29682,31301,31295,32470,31561,32600,32484,34767,31742,32429,30441,32566,31928,36713,33506,32750,33465,34574,33764,31999,35865,32538,32155,31058,31217,30473,27860,30398,30661,31521,34863,36221,38070,35327,33145,32213,32925,31427,33177,30893,31372,32456,33339,34442,33784,35094,33510,33626,31608,30811,31433,31978,32828,35317,36576,36858,36412,36322,35548,33460
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5451,5526,5613,5398,5659,5568,5741,5743,5891,5801,5771,6086,5730,5781,5927,5975,5984,5790,6029,5950,6437,6216,6112,6216,6287,6255,6282,6389,6406,6450,6376,6526,6718,6764,6766,6607,6649,6565,6686,6715,6587,6723,6548,6697,6846,6825,6813,6734,7001,6938,6480,6795,6716,6800,6885,6754,6650,6674,6893,7064,6855,7084,7252,7116,7093,7118,7142,7111,7142,6934,7054,7327,7114,7260,7249,7178,7126,7119,7518,7425,7315,7443,7364,7274,7335,7133,7021,7195,7482,7324,7430,7261,7474,7507,7476,7637,7470,7464,7489,7541,7616,7636,7459,7650,7537,7568,7588,7383,7683,7811,7606,7780,7736,7913,7858,8169,8230,8141,8422,8171,8146,7920,8342,8115,8336,8389,8357,8315,8422,8511,8402,8459,8246,7925,8181,8116,8235,8268,8260,8224,8456,8141,8038,8046,8386,8067,7836,7997,8004,7767,8008,8029,7855,7500,7703,7699,7762,7837,8064,8085,7939,7959,7863,7831,7857,7967,7914,7923,7937,8079,7997,8019,7824,8249,8040,8186,8260,7966,8075,8135,8126,8186,8098,8118,8343,8348,8205,8244,8219,8026
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",15107,15851,16085,15355,15869,15278,14734,14748,15115,14833,14653,14961,15223,15096,15588,16193,16425,15475,15527,15330,16022,15683,16526,16351,15010,15279,15165,15320,15486,16249,15857,15957,15455,16120,16455,16413,17066,16213,16972,16783,16568,17084,16262,15940,16627,16317,16296,16678,16052,15992,15656,15132,15316,15344,15921,15970,16248,15788,15048,14990,14981,14861,14497,14364,14538,14539,15036,15121,14821,14734,15060,14817,15147,15230,14701,14623,13704,14250,14537,14687,14560,14966,14998,15494,15247,15489,15939,15881,15624,15994,16031,16854,16470,16157,16461,17054,17063,17411,17012,16602,16521,16010,16108,16009,16211,16852,16306,16210,16946,16744,16014,16887,16348,16374,16521,16432,16441,15978,16369,16471,15977,15544,16370,16292,16698,16651,15932,15762,16174,16675,16862,16076,15479,15048,14944,14660,14971,14598,14379,14219,13934,13493,13550,14023,14483,14789,14678,14610,14763,14958,15071,14674,14595,14226,14332,14560,14792,14823,14881,15937,14629,14663,14700,14586,14477,14820,14290,14011,13789,14082,13976,13607,13622,13863,13387,13692,13665,13964,14212,14153,14295,14458,14995,14981,14504,13553,13798,13583,14072,14336
"59","51","Retail trade industries","KP440",223698,225332,226282,224512,223236,226829,229689,230526,230392,230213,232259,232686,233759,234572,237099,239952,241321,242906,240849,239632,242794,246551,248659,250942,251834,254960,256007,254855,258090,258015,259118,261384,261579,261898,265059,269543,267466,270235,270739,267502,267791,268082,267618,269198,271930,271437,269704,269959,271748,271801,270119,274035,273594,272027,272785,275057,269403,290394,284162,281764,281670,283522,280990,283386,279907,282595,285714,287637,282847,283813,285998,288553,289150,283295,288427,290321,293524,296994,298919,302227,299435,299341,303309,302009,301838,302487,307366,303911,307501,302835,306989,307994,312642,312290,312350,316518,315617,316956,316410,319777,318392,326771,328845,321852,316679,318029,323970,325277,332667,330277,331442,332384,329713,330549,331837,331158,332540,334693,335469,339005,338174,337784,338075,336007,339022,335563,336113,338542,341286,339116,338733,335839,335280,331265,331315,332279,331595,329133,323704,323395,317657,309634,311134,308968,312776,308901,304797,305075,307271,305501,306987,313367,303834,305893,308498,309552,309170,309069,315715,318331,317295,316775,317048,319241,321451,324418,327291,327339,329100,329306,329248,329388,328519,329121,329809,329435,332438,336289,338206,338813,339853,341576,341684,340623,342574,340695,343452,344715,346909,345476
"60","52","  Motor vehicle and parts dealers","KP4410",56873,57350,56982,56520,54902,56840,58009,58700,58136,57464,58579,58903,58615,58042,59491,60868,61805,62689,59623,58412,60361,62641,63001,63492,63888,64577,64769,65282,66799,66314,67515,68618,67915,67563,68893,68862,71078,72157,71303,68947,68204,68821,68192,68037,69901,68948,67098,65862,67913,68345,67844,69071,68769,68705,67731,68266,66564,82844,74422,70381,69629,70654,68997,70573,67237,69656,72357,74587,70016,69354,70126,72084,72497,69557,71695,72760,72895,73964,74662,76897,75493,74378,76464,74887,74109,75165,76369,73870,76593,72748,75418,75762,78715,77667,76740,78316,76313,76530,76238,77402,75835,80942,85038,76691,73726,70955,75315,75898,79508,76241,76897,77548,75948,76684,78122,76805,77554,77277,77692,78638,77777,78214,78156,78043,78989,76974,76322,78122,80634,78499,76583,75791,75719,73895,73802,72448,71272,69447,65687,67669,65194,58872,58298,57585,59823,57514,56208,56180,57191,58621,59954,65200,55425,57782,58486,57616,57989,55955,60133,60943,61333,60623,61646,62072,62639,64615,64877,65056,66401,66465,65967,65333,63923,64213,64339,63600,66228,67325,67940,69071,68266,69089,68801,68428,68761,68463,68606,69980,71345,70048
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",8259,8450,8463,8654,8618,8684,8819,8947,8978,8989,9150,9214,9351,9412,9371,9342,9420,9630,9703,9855,9819,9898,10149,10227,10129,10332,10503,10482,10713,10876,10927,11152,11412,11420,11401,11607,11826,11978,11983,12181,12058,11956,12025,12167,12212,12186,12076,11761,12306,12178,12218,12171,12277,12458,12598,12689,12431,12732,13144,13451,13369,13599,13631,13599,13712,13661,13560,13660,13778,13831,14024,14202,14030,13705,14092,14256,14758,14936,15110,15392,15553,15668,15906,16092,15988,16110,16438,16541,16557,16851,17266,17209,17235,17465,17534,17866,17838,18232,18154,18322,18303,18699,18762,19036,19324,19530,19516,19452,20420,20043,20148,20232,20275,20655,20633,20709,21078,20888,21092,21610,21824,21449,21426,21599,21685,21493,21856,22146,22075,22287,22778,22551,22331,21927,21884,22376,22654,22332,22258,21730,21014,20898,20963,20377,20913,20793,19688,19696,19723,19876,19866,20020,20171,20179,20845,20794,20991,21698,21446,21617,21780,21989,22019,22031,22293,22140,22288,22514,22312,22674,23318,23130,22952,22901,23207,23411,23646,24326,24470,24177,24623,24660,24841,24774,25218,25135,25577,25429,25948,25833
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16554,16838,17034,16899,16919,17118,17208,17282,17524,17671,17605,17737,17908,18002,18107,18381,18599,18648,18775,18698,19116,19535,19704,20071,20009,20249,19987,20014,20052,19948,19885,20107,20129,20769,21112,21189,21496,21222,22229,20946,21155,21106,21226,21443,21417,21491,21340,22146,22016,22512,22276,23057,22786,22472,22572,22406,22057,22754,22829,22758,23318,23510,23056,23885,23646,23660,23593,23629,23791,23750,24117,23489,24366,22936,24524,24218,24552,25244,25439,25449,25222,25482,25501,25428,25177,24889,26951,26223,25898,26311,26348,26207,26553,26662,27147,27800,27817,27425,27717,28322,28217,28347,28152,28313,28697,29120,29291,29042,30848,30755,30880,30155,29076,28983,28954,29151,28637,29138,28643,28911,28827,28473,28913,27885,28581,27875,27943,28049,27906,27622,28030,27229,27225,27178,26633,27060,27025,27327,27343,26748,26459,26119,24939,24308,24443,24305,23849,23827,23881,23726,23377,23336,23187,22520,22940,22880,22552,22397,23445,25057,23112,23042,23121,23220,23522,24090,23993,24293,23563,23224,23465,23680,24033,24266,24202,24327,24391,24807,24704,25340,25593,25430,25810,24914,24319,23842,24279,24655,25291,25019
"63","55","  Food and beverage stores","KP4450",42258,42023,42257,42061,42028,42041,42199,42282,42277,42270,42256,42150,41957,41967,42186,42031,42119,42298,42276,42252,42382,42258,42401,42648,42326,42670,42629,42812,42899,42664,42752,42810,43019,42664,42779,44284,42070,42409,42729,43142,42669,43066,42735,42706,42655,42943,42844,43161,42878,42950,42889,43039,43129,43015,42965,43099,43139,43171,43192,43556,42960,42915,42901,41963,42434,42395,42487,42299,42202,42420,42706,42563,42997,42736,42631,42721,42233,42542,42842,42743,42564,42497,42281,42022,42825,42375,42712,42601,42442,42468,42418,42530,42975,42740,42831,42968,43259,43323,43396,43209,43262,43445,43319,43576,43679,43730,43703,43791,43577,44066,43847,44068,44319,44292,44262,44503,43974,44912,44659,45031,44851,44808,44403,44334,44431,44374,44617,44199,44368,44570,44540,44740,44382,44083,44162,44120,43771,43940,43627,43592,43135,43030,43057,42392,42621,42239,42418,42402,42754,42537,42536,42648,42852,42762,42948,43189,42950,43586,43244,42988,43038,42874,42589,43189,43221,43313,43610,43485,43761,43884,43580,43958,43729,43825,43872,43698,43361,43592,43601,43228,43663,43729,43857,43940,43981,43957,44123,43892,44357,44466
"64","56","  Clothing and clothing accessories stores","KP4480",10717,10728,10802,10439,10564,10767,10901,11132,11119,11161,11236,11401,11497,11608,11663,11887,11745,11922,11995,11779,11656,12026,12129,12239,12472,12534,12751,12719,12921,12933,12880,12982,12930,13017,13064,13131,12936,13236,13525,13499,13772,13639,13553,13888,14178,13962,13995,13830,13756,13815,13490,13896,13827,13631,13788,14046,13272,13893,13966,14191,14318,14475,14489,14493,14367,14565,14484,14549,14241,14973,14832,15155,15092,14712,15180,15204,15477,15672,15850,15823,15928,15828,16122,16350,16371,16526,16772,16371,16472,16258,16382,16503,16663,16903,16842,17071,17060,17564,17111,17738,17509,17902,17574,17768,17426,18311,18195,18396,18524,18701,18509,18722,18498,18656,18877,18646,19165,19190,18878,19513,19431,19077,19563,19273,19605,19463,19703,19630,19631,19534,19612,19508,19464,19176,19419,19515,19579,19719,19554,19291,18349,18162,18062,17817,18091,18142,17242,17505,17739,17447,17617,17990,17793,17903,17787,17803,18037,18093,18569,18498,18447,18335,18419,18616,18533,18954,19360,18984,18887,19099,19346,19511,19283,19320,19129,18906,19409,19091,19189,19369,19237,19878,19710,19394,19526,19568,19722,19831,19839,19774
"65","57","  General merchandise stores","KP4520",28379,28425,28520,28200,28390,28462,29092,29279,29082,29415,29413,29296,29788,30103,30161,30501,30452,30683,30483,30499,31074,31166,31517,31577,32143,32571,33076,32490,32726,33120,33091,33316,33580,33531,33748,34587,33830,34149,34531,34358,34917,34908,35028,35286,35605,35691,35783,36138,36985,35778,35384,36534,36575,36366,36931,37143,37070,37464,37945,38481,38195,38318,38469,38701,38471,38895,38657,38717,38680,39553,39491,39624,39741,40072,40533,40486,40866,41180,41659,42333,42231,41968,42250,42464,42818,42839,43316,42913,43546,43001,43518,43761,44100,44460,44559,45231,45174,45764,45676,46231,46158,47045,46854,46987,47141,47999,47997,47711,48429,48609,48273,49021,48585,48691,48753,48882,49580,49566,49642,50588,50958,50233,51080,50751,50922,51097,51554,51899,51829,51753,52016,52603,51920,52018,52339,52519,53295,53638,53162,52666,51967,51758,52645,52354,52639,52462,52174,52035,52528,52044,52194,52681,52950,53756,53233,53986,54236,55228,55078,54987,54990,55085,55252,55669,55644,55973,57017,56566,56146,57100,57097,57693,57397,57539,57642,57600,58199,58193,58396,58361,58795,58768,58813,58475,58454,58428,58620,58808,58766,58636
