"","Table 2#3#6# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"11","3","  Durable goods","DDURRX1",498.5,503.6,517.8,526.8,532.5,549.4,553.3,564.1,579.4,577.5,603.3,618.7,623.9,655.7,674.6,714.6,716.4,750.9,769.1,778.7,822.5,807.7,821.7,827.7,841.8,841.3,851.5,923.1,912.5,922.1,949.1,936.6,937.5,974.1,1013.2,1019.8,1031,1038.3,1058.7,1076.1,1083.3,1113.6,1126.7,1098.4,1142.3,1139.4,1152.1,1167.9,1181.2,1194.5,1205.7,1212.9,1178.6,1170,1133.2,1063.9,1076.6,1068.2,1118.3,1115.1,1138.9,1157.8,1179.3
"12","4","    Motor vehicles and parts","DMOTRX1",251.6,251.4,257.6,262,264.7,268.8,268.2,270.4,282.5,272.9,290.7,298.5,289.8,312.2,316.4,345.8,329.6,353.1,354.2,343.7,372.9,346.1,352.2,353.3,363.1,357,361.3,415.9,386.3,388.5,412.9,388.5,388.8,405.3,417.5,409.5,409.2,407.5,412.3,416.3,408.8,423.7,427.6,378.5,393.3,393.2,400.3,399.7,401.6,407.4,404.4,402,383,362.1,339.8,307.9,317.1,313.5,342.7,322.7,320.6,326,330.1
"13","5","    Furnishings and durable household equipment","DFDHRX1",130.8,132,133.9,135.5,134.4,139.2,139.3,142.3,142.8,143.4,146.5,148.5,152.4,154.8,158.4,163.5,168.3,172.3,178,183.6,188.2,191.8,194.3,195.5,198.4,200.2,202.1,208.2,214.8,216.7,216.3,220.1,219,227.1,236.2,240.2,243.4,246.7,252.3,254.8,257,261,265.4,272.2,279.3,276.2,277.6,278.8,282.4,280,281.3,282.1,275.7,279.1,271.4,259.1,253.6,249.3,253.5,259.3,267.9,273.7,277.5
"14","6","    Recreational goods and vehicles","DREQRX1",71.3,73.4,77.9,79.9,81.9,86.4,88.9,92.1,95,98.9,103,106.6,111.8,117.3,124.9,130.7,136.7,143.3,150.5,157.6,167.7,170.1,174.5,178.4,181.4,186.5,190.8,200.6,207.8,211.2,214,218.5,221.1,230.6,244.5,251.6,258.7,264.3,273.4,281.4,291.6,299.8,305.3,316.7,334.5,336.6,343,358.8,366.6,374.4,387.2,396.7,391.3,403,398.9,381.5,389.4,387.2,402.8,417.9,430.7,440.3,453.2
"15","7","    Other durable goods","DODGRX1",69.4,70.1,70.3,71.1,72.5,74.8,75.3,76.8,77.2,77.2,79,81.1,82.9,85.8,87.4,89.3,93.1,94.3,97.1,102.1,102.7,105.9,106.5,105.9,104.4,101.9,101.2,104.4,107.3,109.3,110.1,112.6,111.2,113.7,117.2,120,120.9,120.6,121.3,123.9,125.9,129.1,128.3,131.1,135.5,133.8,131.9,132.2,132.5,134.9,136,136.2,133.3,132.6,130.5,123.3,125.1,126.5,128.1,127.8,133.4,132.7,134.8
"16","8","  Nondurable goods","DNDGRX1",1428.1,1435.2,1440.3,1447.7,1457.1,1475.8,1486.3,1498.3,1507.4,1508.3,1532.5,1543.3,1554.7,1573.9,1585.5,1607.2,1636.9,1652.3,1660.1,1694.1,1679.5,1713.1,1724.7,1741.6,1731.4,1739.7,1748.1,1763.2,1770.4,1772.7,1777.7,1800.2,1819.5,1828,1863.8,1871.3,1888.9,1894,1907.8,1927.6,1949.6,1961.5,1971.8,1990.7,2003.7,2011.6,2024.5,2054.7,2060.2,2059,2067.7,2070.3,2054.5,2064.6,2035.6,2010.1,2012,2008.3,2016.9,2032.3,2053.5,2063.4,2076.2
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX1",549.9,547.2,547.3,549.7,552.2,554.8,553.7,555.5,559.4,556.5,559.8,559.8,559.3,563.8,567.6,571.5,578.3,584,589.1,598.1,592.2,600.9,601.7,607.6,605.4,609.4,607.3,608.3,605.8,606.8,609.2,614.4,622.6,617.2,626.5,623.3,634.5,635.7,639.1,647.6,656.6,658.6,669.9,674.9,676.7,684.2,686.6,697.5,697.3,693.5,696.4,702.7,700.3,699.8,691.2,675.1,675.2,681.2,687.8,696.3,702.7,697.6,703
"18","10","    Clothing and footwear","DCLORX1",197.6,199.7,203.3,203.5,204.9,210,213.5,214.8,214.9,213,220.1,222.9,227.6,231.5,229.8,235.1,243.6,245.7,247.4,248,252,257.5,260.3,262.5,258.3,260,259.7,264.1,267.1,267.3,265.6,273.9,274.2,281.8,288.8,288.9,296.4,292.9,296.9,303,307.4,314.7,315.1,325,329.5,327.2,331.7,337.5,341.7,342.9,345.7,345,343.1,351.6,341.4,330.8,328.2,324.6,324.9,329.5,339,344.3,343.4
"19","11","    Gasoline and other energy goods","DGOERX1",264.1,266.2,263.2,263.8,267.4,269.1,269.2,268.4,270.2,273.9,275.1,276.4,278.8,283.3,285.9,287.1,289,295.5,291.9,293.4,282.9,288.3,289.5,287.8,289.1,285.4,290.7,291.6,290.6,294.1,295.7,295.6,296.1,299.4,304.9,308.2,306.9,307.5,305.6,306.1,309.8,306.4,302.7,300.3,296.4,297.2,300,299.9,298.4,296.4,296.1,292.8,287.2,284,274.7,282.2,287,286.5,285.1,283.5,284,286.1,286.1
"20","12","    Other nondurable goods","DONGRX1",437,442.3,444.1,448.5,451.2,459.1,465.7,474.5,478.4,482.3,492.8,498.9,502.9,509.6,517.7,527.2,537.2,540.2,542.8,564.8,558.5,572.2,578.5,587.8,584,588.8,595.5,603.3,609.8,608.8,611.9,619.3,629,632,645.8,653.6,652.7,659.5,667,671.2,676.1,681.6,683.8,690.7,701.9,703.7,706.9,721.1,724.7,728.5,732.1,732.8,727.7,735.2,736.1,726.1,725.6,719.2,721.7,726,731.9,740,748
"21","13","Services","DSERRX1",4159.1,4196.7,4226.6,4250.5,4292.1,4320.6,4343.7,4369.3,4404.8,4434.7,4487.4,4533.1,4583.5,4639.4,4695.8,4728.5,4768.5,4822.4,4880.3,4940.1,5014.8,5073.1,5120.1,5165.1,5189.3,5211.4,5225.4,5248.6,5282.7,5310.5,5329.2,5350.1,5371.8,5398.7,5435.7,5467.5,5518.3,5551.7,5589.6,5650.8,5686.4,5727.9,5767.1,5798.9,5841,5884.2,5914.3,5959.4,5994.4,6018.3,6038.7,6061.7,6090.6,6090.2,6070,6078.5,6053.6,6027.7,6020.7,6028.7,6029.6,6053.4,6076.9
"22","14","  Household consumption expenditures (for services)","DHCERX1",4021.4,4057.7,4087,4108.1,4144.9,4171.6,4193.6,4223,4266.7,4297.6,4350.5,4394.2,4440,4491.2,4542,4569.2,4608,4660.8,4717.5,4775.3,4844.6,4902.2,4942.5,4982,5005.3,5023.3,5033.9,5052.9,5083.2,5106.1,5116.4,5131.8,5154.1,5178,5215.6,5248.2,5298.3,5333.6,5372.6,5432.7,5473,5514.2,5554.4,5582.5,5618.2,5652.1,5671.4,5716,5753.7,5780.8,5792.4,5805.9,5830.2,5828.5,5802.1,5803.6,5793.5,5778.4,5766.5,5769.7,5769.9,5791.7,5814.4
"23","15","    Housing and utilities","DHUTRX1",1217.4,1232.1,1244.3,1245.7,1258.4,1260.8,1258.2,1269.4,1273.7,1284.9,1292.8,1310.2,1312.3,1328.6,1339.3,1338.9,1354.2,1368.2,1382.6,1382.1,1388.1,1406.3,1418.6,1441.7,1449.5,1448.3,1454.6,1453.6,1453.7,1460,1462.6,1471.6,1475.5,1478.4,1478.5,1488.4,1496.4,1504.5,1512.7,1537.4,1556.6,1577.7,1594.3,1602.8,1598.9,1617.8,1627.6,1622.5,1625.8,1624.8,1628.6,1626.2,1636.3,1637.6,1630.9,1649.7,1650.1,1652,1659.4,1666.3,1664.3,1668.9,1683
"24","16","    Health care","DHLCRX1",940.3,944.6,950.3,954.8,955.2,964.6,968.2,980.3,985.6,990.9,1001.2,1010.7,1023.3,1028.2,1032.9,1033.6,1035.8,1039.9,1048.4,1058.3,1064.4,1078.5,1085.8,1097.3,1113.1,1125.7,1142.3,1160.6,1183.5,1200.3,1209.6,1215.9,1221.6,1224.8,1232.2,1239,1247.4,1260.9,1277.6,1288.7,1304.4,1311.1,1321.3,1327,1337.3,1339.2,1335.8,1347.7,1362.9,1368.2,1372.9,1382.3,1401.5,1411,1410.1,1417.4,1430,1442.1,1441.6,1447.9,1446.7,1457.6,1461.9
"25","17","    Transportation services","DTRSRX1",208.7,211,215.5,220.1,225.6,229.2,233,237.7,244.4,247.4,251.2,252.2,254.5,257.7,260.6,263.9,267.6,270.9,276.2,279.3,282.9,285.9,287.6,288.5,288.5,287.1,281.7,277,277.7,275.3,275.1,275.2,275.8,274.5,277.7,278.9,280.8,283.2,283.7,285.2,285.2,286.1,287.2,285.1,283.2,284.7,284.5,287.5,289.2,289.1,287.8,285.9,282.2,277.2,271.3,261.5,254.4,251.3,249.3,248.6,250.8,253.3,255.7
"26","18","    Recreation services","DRCARX1",237.8,244,247.7,251.6,252.3,254.9,258.8,259.4,261.9,263.7,264.8,267.5,270.8,271.1,274.4,276.9,279.3,283.8,290,293.4,293.2,295.8,296.3,295.6,298,295,293.4,293.2,295.2,295.6,296.4,299.7,299.1,303.2,307.6,312,317.3,320.6,322.2,322.8,326,326.2,326.5,328.4,332.4,334,338.1,345.2,346.9,350.2,353.9,354,353.7,352.6,348.5,345.4,345.8,343.3,339.5,338.6,338.5,338.2,341.8
"27","19","    Food services and accommodations","DFSARX1",415.4,416.1,416.7,415.9,416,418.1,418.7,422.4,426.6,426.5,431,428,432.8,438.2,439.8,446,444.5,447.2,449,459.5,467,471.1,472.8,471.3,474.8,470.2,467.6,467,473.8,477.5,478.4,479.2,482.6,489.9,499.2,502.5,506.1,506.2,509,513.8,516.5,524.5,527.2,533,544.7,538.7,538.7,544.4,544.1,549.1,553.1,558.4,551,552.9,548.1,538.3,532.2,527.2,525.4,526.1,535,538.3,542
"28","20","    Financial services and insurance","DIFSRX1",482,487.6,492.4,495.6,503.9,508.6,506.6,512,517.2,518.3,531.3,534.2,540.3,553,564.5,576.6,582.9,597.9,610.4,631.2,662.4,664.2,666.5,668.4,659.1,658.9,656.6,668.4,662.3,657.9,659.4,653.8,647.9,653.2,660.8,669.3,683.1,686.7,690.6,706.6,703.2,710.8,717.2,719.3,726,731.3,735.6,748.8,755.9,765.7,769.8,774.2,774.9,772.1,772.8,763.9,753.9,746.2,739.4,732.5,727.4,729.5,720.7
"29","21","    Other services","DOTSRX1",522.5,525.1,522.8,526.6,535.7,537.3,551.8,543,558.2,566.8,578.8,592.4,607,615.3,631.1,633.3,643.6,652.5,660.3,670.5,685,699.3,713.9,718.5,721.3,737.7,737.6,733.8,737.3,739.5,735.1,736.2,751.4,753.9,759.4,758.1,767.2,771.7,776.9,778.1,781,777.9,780.7,786.8,795.8,806.3,811,820.1,829.3,834.1,826.7,825.3,831.2,825.8,821.1,828.1,827.9,817.2,812.7,810.1,807.7,806.1,809.5
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1",140.3,141.6,142.2,145.1,150,151.8,152.9,149.1,140.9,139.9,139.7,141.8,146.4,151,156.5,161.8,163,164.2,165.4,167.4,172.8,173.6,179.9,185.1,186.1,189.8,192.9,196.8,200.4,205,212.8,218.1,217.6,220.5,220,219.2,220,218.1,217,218.2,213.4,213.7,212.8,216.4,222.8,232.1,243.1,243.6,240.9,237.5,246.5,256.4,261.1,262.4,269.1,276.7,260.7,249,254.6,259.9,260.6,262.9,263.5
"31","23","    Gross output of nonprofit institutions \2\","DNPERX1",632.6,634.8,636.9,641.4,644.2,651.5,655.5,662.4,657.8,659.6,665.5,672.2,684.9,691.9,701.4,708.6,713.3,717.2,722.8,730.6,736.9,744.2,752.6,762.3,770.9,779.1,789.8,801.4,815.3,828,838.4,842.8,841.9,843.3,844.4,846.4,851.5,856.3,864.1,870.5,871.6,872.2,874.5,880.3,891.5,899,903.7,909.8,919.1,919.2,921.5,930.4,940.3,943.8,946.4,956.7,952.8,951,950.3,954.1,952,959.9,962.7
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1",495.4,496.2,497.7,499.3,497.1,502.5,505.4,516.4,520.3,523.3,529.4,534.1,542.2,544.3,548,549.5,553,555.6,560,565.7,566.3,572.9,574.4,578.5,586.4,590.6,598.1,605.5,615.9,623.8,625.8,624.5,624.1,622.6,624.3,627.1,631.4,638.3,647.1,652.3,658.2,658.5,661.7,663.8,668.7,667,660.9,666.5,678.4,681.7,675.3,674.7,680,682.2,678.5,681.7,692.4,701.2,695.6,694.7,692,697.6,699.7
"33","25","Residual","D236RX1",-128.7,-127.9,-118.9,-115.8,-116.5,-107.6,-104.6,-98.9,-95.3,-96.7,-88.2,-84.9,-82,-75.4,-71,-59.4,-55.7,-50.5,-44.3,-41.3,-29.4,-33.4,-31.3,-30.4,-28.6,-27.1,-26.4,-15.9,-15.1,-15.2,-12.9,-12.2,-11.4,-7.9,-4.8,-4.8,-3.5,-3.3,-1.8,-0.9,-0.5,0,0.3,0.2,-1.6,-1.1,-1.4,-3.4,-4.8,-6.2,-8.2,-10,-8.6,-12,-11.2,1,-1.8,-0.1,-7,-9.6,-15.2,-19.2,-23.1
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  PCE excluding food and energy \4\","DPCCRX1",5059,5101.8,5150.9,5193.8,5237.4,5305.1,5350.3,5395,5456.6,5480.7,5585.4,5650.5,5720.1,5819.3,5901.7,6010.5,6066.6,6163.2,6240.4,6339.6,6464.3,6513,6582.6,6634.4,6670.7,6709.4,6740.9,6861.9,6890.5,6920.8,6969.5,6986.9,7020.4,7099.3,7203.5,7244.7,7310.9,7355.7,7431.1,7512.6,7565.8,7647.3,7699.8,7722.3,7837.8,7868,7914.3,8002.8,8053.7,8095.1,8129.8,8165.7,8152,8162.9,8113.7,8028.2,8015.2,7973.7,8007.1,8015.4,8055.2,8106.8,8144.6
"36","27","  Energy goods and services \5\","DNRGRX1",418.2,429.5,435,430.4,443.5,441.6,431.5,437.1,433.7,439.8,439.5,451.6,445.4,459.5,463.1,448.6,456.3,466.9,470.8,460.5,448.7,465,468.6,480,475.1,457.8,463,460.5,461.5,473.5,476.4,483.8,482.9,484.2,483.3,492.4,494.1,493.3,485.4,494.2,496.8,496.9,495.7,491.3,474,483.8,490.2,482.8,486,484.1,486,477.4,475.2,468.6,449.1,468.2,468.7,466.5,470.8,474.8,471.6,475.6,486.7
"37","28","  Market-based PCE \6\","DPCMRX1",5248.7,5293.9,5350.2,5387.8,5430.5,5495.8,5520.3,5584.9,5639.3,5662,5761.9,5828.5,5878.7,5982.4,6053.9,6145.2,6213.8,6309,6383.5,6473.5,6556.4,6621.5,6679.8,6744.2,6776.1,6786.8,6818.3,6930.6,6954.8,6998.1,7052.1,7075.7,7107.6,7182.7,7282.9,7323.6,7387.6,7419.4,7484.3,7574.7,7637.2,7725.5,7784.8,7796.2,7874.1,7910.2,7948.5,8025.1,8080.3,8109.1,8144.7,8169.4,8144.3,8152.9,8068.9,7979.9,7986.5,7975.3,8023,8047.2,8092,8141.2,8187.3
"38","29","  Market-based PCE excluding food and energy \6\","DPCXRX1",4306.4,4345.2,4396.1,4433.5,4463.8,4526.3,4558.3,4615.7,4667.5,4688.1,4782.7,4839.3,4893,4980.5,5044,5137.9,5193.1,5273.5,5338.7,5424.9,5520.5,5563.9,5617.6,5666.1,5703.4,5723.6,5752.4,5863.2,5888.7,5921.7,5970.1,5982.6,6006.4,6084.5,6174.7,6210.5,6261.3,6292.3,6359.9,6433.4,6484.4,6570.1,6619.4,6630.4,6725.7,6743.6,6772.5,6846.6,6899.1,6934.1,6964.7,6993.1,6972.4,6990,6939.4,6841.7,6847.8,6832.4,6869,6880.3,6922.5,6973.1,7002
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
