"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"22","15","          Compensation of general government employees","B568RA3",131.65,124.645,118.446,112.589,108.407,108.723,108.185,108.274,108.389,109.795,109.138,110.547,111.754,112.851,114.554,115.695,117.323,117.239,118.592,118.381,118.544,119.745,119.358,115.174,111.823,106.962,101.701,97.975,95.516,94.067,92.754,93.527,93.898,96.118,99.126,99.873,100,99.042,99.044,102.827,109.135
"23","16","          Consumption of general government fixed capital \2\","B995RA3",54.834,54.242,52.378,50.025,48.114,46.948,46.581,46.806,47.216,47.748,48.542,49.821,51.396,53.42,56.187,59.973,64.776,70.112,75.399,79.822,83.576,87.186,90.165,92.162,93.107,92.971,92.38,92.129,91.976,91.866,92.587,93.373,93.74,94.462,95.624,97.405,100,103.22,106.826,111.35,116.453
"24","17","        Intermediate goods and services purchased \3\","W113RA3",50.321,44.393,41.922,43.42,39.787,39.341,38.298,36.48,38.87,40.429,42.447,45.941,49.766,52.648,57,57.082,63.144,68.251,69.677,68.091,69.309,70.146,70.157,68.365,64.543,63.991,62.192,62.264,63.576,61.698,64.005,65.079,71.639,81.355,91.236,98.234,100,102.835,103.326,113.788,120.396
"25","18","          Durable goods","W114RA3",63.369,56.455,41.2,52.181,47.894,41.428,43.076,38.967,49.156,55.182,59.937,63.143,72.744,79.142,94.314,95.551,102.355,109.218,116.17,119.488,115.279,111.926,107.203,97.381,89.002,76.813,70.326,70.546,71.128,71.682,76.323,75.993,76.917,81.115,88.144,97.856,100,108.232,118.197,138.44,146.344
"26","19","          Nondurable goods","W115RA3",117.396,80.384,70.005,74.344,56.368,56.516,50.116,47.37,49.756,51.149,51.736,60.021,73.027,65.735,69.756,55.886,64.601,85.006,63.804,40.786,65.15,59.732,62.279,61.839,63.738,55.272,55.601,54.578,60.55,65.413,57.015,63.03,73.288,78.699,85.251,94.873,100,95.913,95.425,101.524,113
"27","20","          Services","W116RA3",37.661,36.623,37.679,37.103,35.721,36.172,35.633,34.352,35.442,36.28,38.113,40.702,41.518,46.099,48.672,51.35,56.889,59.119,63.202,64.121,62.93,65.37,65.763,65.047,61.16,63.461,62.104,62.298,63.103,60.004,63.321,63.937,70.763,81.772,92.46,98.765,100,103.26,102.791,112.858,118.51
"28","21","      Less: Own-account investment \4\","W117RA3",63.249,64.773,67.255,70.898,66.035,61.495,61.906,60.673,54.102,59.876,67.345,72.238,73.029,80.48,87.252,97.212,109.938,112.207,122.74,126.728,140.169,146.23,150.116,150.019,145.557,134.003,132.885,125.004,119.332,119.34,106.871,87.091,106.814,110.657,104.641,100.474,100,98.224,94.142,101.328,105.134
"29","22","            Sales to other sectors","W118RA3",52.356,49.639,47.36,87.982,100.154,114.77,90.039,75.175,97.461,106.1,117.754,109.014,100.566,94.835,88.639,94.119,93.397,97.799,106.054,116.405,112.647,118.79,129.171,119.593,106.329,138.606,98.416,103.2,71.703,86.394,64.367,85.698,64.437,60.538,65.931,70.639,100,85.835,74.526,87.389,93.613
"30","23","    Defense consumption expenditures \1\","A997RA3",96.286,87.549,80.747,75.82,70.33,68.066,66.376,65.239,65.905,66.619,67.458,70.094,74.08,79.047,83.255,85.797,90.955,95.114,98.637,99.764,99.046,98.38,98.279,93.189,89.519,85.53,82.457,81.294,80.072,77.935,79.166,78.445,81.296,86.597,94.027,98.936,100,100.823,102.554,109.175,114.933
"31","24","      Gross output of general government","W085RA3",95.61,86.956,80.176,75.805,70.676,68.697,66.627,65.031,65.802,66.515,67.343,70.061,74.091,79.082,82.999,85.641,90.746,94.884,98.457,99.64,98.906,98.483,98.339,93.426,89.821,86.335,82.629,81.546,80.154,77.928,79.095,78.372,81.267,86.644,94.014,98.841,100,100.848,102.432,109.075,114.767
"32","25","        Value added","W086RA3",131.56,124.008,115.718,107.57,102.147,100.171,98.771,97.306,96.776,97.367,96.995,97.895,100.758,103.38,105.794,108.55,112.169,114.863,117.887,118.567,119.938,120.674,121.328,116.743,113.31,108.942,104.365,100.862,97.879,95.253,93.333,92.65,92.883,94.619,97.338,99.137,100,99.505,100.016,103.976,110.345
"33","26","          Compensation of general government employees","B237RA3",167.594,155.428,143.619,132.67,125.82,123.911,122.156,119.711,118.641,119.438,118.451,119.16,122.831,125.644,127.578,129.345,131.754,132.353,133.584,131.962,131.922,131.098,130.641,122.978,117.688,111.601,105.518,101.044,97.383,94.314,92.037,91.421,92.066,94.51,97.878,99.677,100,98.458,98.106,101.892,108.625
"34","27","          Consumption of general government fixed capital \2\","B432RA3",68.755,67.676,64.87,61.399,58.527,56.672,55.912,55.96,56.231,56.475,56.992,58.069,59.501,61.608,64.519,68.614,74.109,80.408,86.644,91.67,95.759,99.535,102.389,104.146,104.576,103.721,102.203,100.72,99.215,97.578,96.473,95.629,94.865,94.776,95.681,97.48,100,102.831,106.165,110.697,115.83
"35","28","        Intermediate goods and services purchased \3\","W087RA3",60.059,51.364,46.256,45.285,40.591,38.702,36.201,34.595,36.39,37.159,38.899,42.812,47.396,53.861,58.688,61.065,67.213,72.451,76.357,77.945,75.285,73.806,72.925,67.865,64.203,61.682,58.936,60.308,60.568,58.789,63.179,62.422,68.132,77.476,90.124,98.486,100,102.483,105.396,115.371,120.216
"36","29","          Durable goods","A998RA3",69.064,61.841,44.517,56.879,52.563,45.454,47.208,42.383,53.68,59.958,64.805,67.925,79.181,86.846,102.684,103.786,111.351,119.028,126.409,129.95,124.758,120.274,114.787,103.275,93.897,80.523,73.364,72.798,73.086,73.692,78.292,77.517,78.062,81.275,89.159,98.911,100,108.359,119.152,139.876,147.306
"37","30","          Nondurable goods","A725RA3",284.493,198.038,161.904,164.971,122.572,105.923,87.737,71.597,66.888,67.417,69.452,75.938,80.313,79.948,83.729,79.257,77.89,98.255,96.277,92.807,89.88,80.23,81.698,75.571,69.297,63.051,51.642,57.018,57.425,59.326,66.303,69.562,71.548,81.729,86.269,99.367,100,96.362,99.922,101.779,106.644
"38","31","          Services","A489RA3",39.475,36.018,36.04,32.011,29.985,30.388,28.497,28.981,29.365,28.976,30.011,33.817,37.158,44.566,47.188,50.817,57.748,61.034,64.771,66.43,64.301,64.276,64.092,60.415,58.133,58.132,56.995,58.401,58.643,56.103,60.259,59.157,66.133,76.469,90.633,98.325,100,102.261,103.867,113.289,117.746
"39","32","      Less: Own-account investment \4\","W088RA3",30.356,31.947,29.09,32.534,35.221,35.654,41.886,44.83,41.301,43.841,49.908,50.02,54.825,65.486,73.458,84.632,98.143,102.834,112.155,113.407,128.597,125.941,132.282,131.028,127.075,114.455,111.605,103.493,98.69,93.884,84.19,69.686,88.882,118.968,114.699,105.696,100,97.858,93.233,97.563,101.581
"40","33","            Sales to other sectors","W089RA3",26.282,24.495,19.578,97.402,155.282,204.391,128.554,42.456,65.282,64.42,59.708,78.929,90.582,96.239,44.906,60.313,50.383,50.333,59.115,70.263,56.344,98.415,87.036,108.276,114.803,193.135,91.111,106.55,81.232,66.817,64.898,72.057,71.926,73.867,79.189,79.922,100,106.665,88.886,100.585,96.885
"41","34","    Nondefense consumption expenditures \1\","A542RA3",46.77,46.631,48.822,52.549,51.941,54.832,56.663,56.604,58.962,61.396,62.453,65.701,66.78,63.853,66.223,63.815,67.476,69.933,68.552,65.055,70.701,76.394,77.236,81.762,80.635,81.377,80.157,78.179,80.937,80.174,80.825,84.638,89.317,95.495,98.458,99.664,100,102.578,101.475,108.284,115.768
"42","35","      Gross output of general government","W128RA3",47.752,47.553,49.723,53.945,53.118,55.871,57.506,57.802,60.613,63.387,65.014,67.61,68.114,65.031,67.69,65.483,69.208,71.748,70.691,67.596,73.195,78.531,79.887,83.657,81.942,82.725,81.394,79.384,81.164,81.177,80.907,85.027,88.992,94.642,97.556,98.875,100,101.899,100.627,107.611,115.155
"43","36","        Value added","W129RA3",60.322,61.199,63.019,64.669,64.909,67.854,69.073,72.264,73.942,76.038,76.458,78.871,77.513,76.883,78.649,79.693,80.852,80.808,82.903,85.52,86.759,91.216,91.907,93.957,94.453,92.634,89.973,88.639,88.919,90.583,91.858,95.203,95.816,97.871,100.194,99.696,100,100.727,101.939,105.832,111.319
"44","37","          Compensation of general government employees","W130RA3",73.965,74.933,77.403,79.674,79.87,83.862,85.33,89.559,91.57,93.936,93.813,96.357,93.517,91.752,93.073,93.122,93.334,91.972,93.585,95.95,96.478,101.277,101.007,102.832,102.752,99.855,95.876,93.314,92.741,93.819,93.999,96.914,96.861,98.731,101.159,100.197,100,100.029,100.638,104.414,109.985
"45","38","          Consumption of general government fixed capital \2\","B546RA3",21.64,22.126,22.377,22.54,22.801,23.182,23.664,24.246,24.937,26.091,27.491,29.179,31.014,32.776,35.132,38.105,41.154,44.083,47.004,49.89,52.745,55.855,59.033,61.548,63.716,65.359,67.102,69.979,73.299,77.087,82.514,87.519,90.814,93.639,95.473,97.202,100,104.267,108.615,113.118,118.132
"46","39","        Intermediate goods and services purchased \3\","W131RA3",32.98,32.003,34.242,40.249,38.57,40.934,42.799,40.543,44.154,47.356,49.961,52.528,54.652,49.581,52.851,47.839,53.668,58.439,54.464,45.945,55.832,61.872,63.897,69.446,65.266,69.105,69.411,66.598,70.241,68.142,65.851,70.984,79.43,89.973,93.718,97.667,100,103.629,98.649,110.222,120.804
"47","40","          Durable goods","A543RA3",16.214,12.947,12.405,13.325,10.507,9.152,9.786,10.505,12.11,15.259,18.446,21.524,19.135,16.423,25.012,27.133,27.736,27.988,31.273,32.686,35.949,40.969,42.19,45.671,45.453,43.197,42.358,48.874,51.926,52.002,56.912,60.738,65.28,79.13,77.479,86.759,100,106.846,107.564,122.313,135.906
"48","41","          Nondurable goods","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",35.27,36.153,34.402,38.675,33.394,36.737,27.805,35.164,40.225,47.019,47.071,46.448,77.011,54.898,57.468,60.074,52.685,46.536,53.012,52.186,46.323,49.394,42.1,51.561,57.935,49.585,57.399,51.454,60.706,66.449,47.231,51.072,67.998,72.99,82.201,93.012,100,93.233,88.158,99.96,119.071
"51","44","          Services","A544RA3",33.354,37.908,41.323,48.907,49.085,49.649,52.283,46.929,49.659,53.405,57.126,56.791,51.655,49.714,52.182,52.69,55.102,54.993,59.853,59.123,59.999,67.885,69.564,75.42,67.977,75.362,73.516,71.034,73.085,68.744,70.192,74.642,81.144,93.66,96.575,99.754,100,105.506,100.364,111.883,120.21
"52","45","      Less: Own-account investment \4\","W136RA3",92.151,93.646,100.661,104.51,93.016,84.076,79.181,74.144,64.894,73.555,82.171,91.445,88.444,92.738,98.276,106.958,118.756,118.819,130.267,136.599,148.355,161.75,163.53,164.396,159.552,148.925,149.209,141.556,135.219,139.065,124.442,100.566,120.682,104.107,96.738,96.352,100,98.517,94.87,104.353,107.988
"53","46","            Sales to other sectors","W137RA3",64.736,61.606,60.883,84.023,78.642,79.937,76.18,91.768,114.788,127.575,146.078,126.648,110.5,100.086,111.93,113.443,116.861,123.609,131.684,141.83,143.046,131.098,152.993,126.163,101.733,108.689,102.178,101.174,66.438,97.082,63.835,93.069,60.057,52.798,58.233,65.259,100,73.961,66.359,79.934,92.136
"54","47","State and local consumption expenditures \1\","A991RA3",40.299,42.714,44.816,46.515,48.127,50.32,52.81,53.54,54.56,55.659,56.025,55.905,55.684,56.506,57.146,58.217,61.25,65.137,65.913,68.142,70.358,72.605,74.067,75.803,77.334,79.292,81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.293,102.328,101.655
"55","48","      Gross output of general government","W138RA3",39.167,41.424,43.631,45.418,47.005,48.902,51.037,51.906,52.911,54.169,54.858,54.89,54.982,55.899,56.709,57.65,60.516,64.089,64.898,66.958,69.161,71.241,72.843,74.782,76.63,78.688,80.689,82.169,84.541,87.882,90.876,93.364,96.949,99.725,99.453,99.619,100,100.777,102.462,103.017,103.077
"56","49","        Value added","W139RA3",49.108,51.285,53.374,55.218,57.153,59.228,61.031,61.834,62.782,64.246,65.393,66.275,66.243,66.668,66.4,66.796,68.713,70.704,72.064,74.53,76.817,79.103,80.121,81.482,82.604,84.037,85.707,87.035,88.759,90.665,92.162,94.111,96.351,98.313,98.892,99.324,100,100.882,102.307,104.016,103.762
"57","50","          Compensation of general government employees","B251RA3",52.558,54.864,57.095,59.056,61.123,63.349,65.26,65.994,66.941,68.514,69.684,70.52,70.286,70.632,70.139,70.382,72.35,74.354,75.611,78.139,80.372,82.545,83.273,84.439,85.362,86.66,88.211,89.354,90.905,92.573,93.741,95.425,97.472,99.25,99.52,99.57,100,100.639,101.849,103.361,102.687
"58","51","          Consumption of general government fixed capital \2\","B986RA3",28.053,29.404,30.617,31.729,32.852,34.018,35.123,36.112,36.956,37.761,38.684,39.675,40.537,41.257,42.034,43.127,44.64,46.412,48.233,50.206,52.659,55.481,58.178,60.696,63.051,65.329,67.745,70.251,73.088,76.565,80.306,84.101,87.703,91.02,93.957,97.402,100,102.749,105.798,108.966,111.821
"59","52","        Intermediate goods and services purchased \3\","W140RA3",22.679,24.965,27.283,28.937,29.94,31.512,34.072,35.012,36.071,36.974,36.948,35.74,36.003,37.575,39.937,41.674,45.934,52.009,51.88,53.223,55.256,56.957,59.554,62.499,65.64,68.829,71.432,73.184,76.724,82.701,88.515,92.017,98.149,102.512,100.552,100.191,100,100.576,102.753,101.186,101.831
"60","53","          Durable goods","B989RA3",17.941,20.293,23.455,26.11,28.174,29.616,30.375,31.696,32.839,33.667,34.417,34.073,35.351,36.539,38.231,40.499,42.572,45.978,47.646,48.959,51.22,52.509,54.424,56.062,57.805,60.387,64.455,66.267,70.924,78.915,86.186,92.401,99.391,100.744,99.076,99.583,100,101.616,104.55,104.85,105.84
"61","54","          Nondurable goods","B337RA3",23.153,25.64,28.21,29.259,29.676,30.368,33.268,36.09,38.487,39.471,39.167,37.477,37.323,38.203,40.126,42.256,45.186,49.246,50.75,52.307,54.394,56.149,58.835,61.549,64.332,68.103,71.175,73.126,76.518,82.066,87.937,91.622,97.919,101.545,99.741,99.921,100,100.851,103.63,102.304,102.317
"62","55","          Services","A988RA3",22.918,25.067,27.121,28.986,30.195,32.344,34.891,34.489,34.637,35.491,35.553,34.583,35.02,37.116,39.834,41.256,46.543,54.004,52.821,54.051,56.026,57.738,60.358,63.553,67.014,69.978,72.204,73.85,77.356,83.348,89.008,92.194,98.178,103.124,101.067,100.375,100,100.353,102.14,100.31,101.286
"63","56","      Less: Own-account investment \4\","W144RA3",45.821,46.34,46.374,45.204,43.88,46.71,44.027,38.912,35.486,38.199,44.176,46.041,43.994,44.318,43.999,48.851,52.741,56.46,57.678,60.308,67.361,70.524,73.626,72.884,72.45,73.107,74.149,75.036,82.065,83.766,86.962,91.927,100.019,99.994,97.342,99.09,100,102.994,104.634,108.601,108.177
"64","57","            Sales to other sectors","W145RA3",32.472,33.982,37.103,39.785,41.541,41.518,41.933,44.309,45.687,47.844,50.045,50.847,53.09,54.665,56.593,56.461,58.356,60.258,61.229,62.393,64.167,65.372,67.526,70.569,73.951,76.526,79.379,80.869,83.625,86.212,88.367,92.735,97.586,98.822,98.864,99.667,100,100.88,103.033,105.585,108.762
"65","58","              Tuition and related educational charges","B1065A3",42.494,49.489,55.733,59.173,63.819,63.611,63.7,65.758,68.442,72.165,74.213,76.687,78.344,78.21,80.735,80.623,80.574,81.249,81.783,84.323,86.89,88.834,90.265,91.984,90.86,90.947,91.269,91.537,93.627,96.172,99.005,102.395,102.943,103.015,103.063,99.906,100,100.89,102.159,103.501,104.76
"66","59","              Health and hospital charges","B1066A3",28.357,28.873,33.652,38.573,42.798,44.114,45.319,48.174,49.07,52.5,56.922,57.396,61.01,62.826,64.423,62.888,64.347,66.028,66.066,66.085,66.621,67.318,70.159,74.225,78.611,81.717,85.383,85.026,87.1,89.637,91.126,95.583,103.617,104.1,102.183,102.528,100,99.98,102.417,106.245,109.652
"67","60","              Other sales","W146RA3",28.133,28.742,29.505,30.091,29.214,28.358,28.266,30.046,31.252,31.812,32.128,32.665,33.678,35.301,37.164,38.364,41.132,43.515,45.513,47.335,50.082,51.543,53.05,55.231,59.091,61.997,64.867,69.34,73.274,75.918,78.582,83.28,86.175,89.027,91.722,95.539,100,102.124,104.474,106.105,110.296
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
