"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","3","  Goods","DGDSRD3",23.501,23.727,24.09,24.725,25.081,25.351,25.744,25.556,25.244,24.959,24.67,24.521,24.383,24.515,25.117,25.65,26.699,26.931,26.896,27.218,27.282,27.123,27.223,27.151,27.128,27.05,27.047,27.055,27.18,27.077,26.884,26.747,26.783,26.758,26.846,26.854,26.929,27.13,27.425,27.58,27.826,28.038,28.257,28.356,28.821,28.835,28.762,28.626,28.816,28.851,28.941,29.017,28.976,29.121,29.163,29.273,29.309,29.188,29.263,29.212,29.299,29.366,29.412,29.493,29.527,29.53,29.71,29.78,29.921,29.912,29.968,30.039,30.105,30.279,30.354,30.355,30.632,30.854,31.049,31.229,31.204,31.278,31.61,31.852,32.144,32.417,32.715,33.045,33.277,33.678,34.058
"12","4","    Durable goods","DDURRD3",41.268,41.651,41.882,42.427,42.755,43.317,44.831,44.919,44.778,44.5,43.962,43.895,43.734,44.054,44.642,45.4,47.114,47.44,47.462,47.925,48.259,47.689,48.18,47.035,47.477,47.526,47.222,47.325,47.726,46.535,45.772,45.493,45.759,45.969,46.401,46.525,46.707,46.812,47.493,48.115,48.504,49.174,49.169,49.265,50.141,49.936,49.885,49.706,50.573,50.764,50.755,50.733,50.661,50.6,50.447,50.354,50.362,50.599,50.83,50.767,50.777,50.845,51.012,50.81,50.824,50.98,51.122,51.283,51.358,51.331,51.276,51.179,51.19,51.031,50.777,50.497,50.424,50.638,50.86,51.093,50.987,51.208,51.772,52.292,52.628,52.948,53.388,53.879,54.197,54.608,54.874
"13","5","    Nondurable goods","DNDGRD3",17.641,17.814,18.135,18.684,18.991,19.181,19.369,19.17,18.88,18.637,18.427,18.288,18.172,18.256,18.779,19.21,20.019,20.201,20.158,20.412,20.434,20.357,20.394,20.478,20.389,20.304,20.347,20.341,20.41,20.478,20.397,20.302,20.301,20.242,20.262,20.25,20.299,20.488,20.684,20.746,20.937,21.051,21.275,21.361,21.701,21.743,21.678,21.567,21.632,21.638,21.732,21.812,21.782,21.939,22.003,22.128,22.161,22.007,22.048,22.005,22.092,22.149,22.171,22.286,22.318,22.297,22.46,22.506,22.641,22.636,22.704,22.795,22.863,23.079,23.205,23.258,23.571,23.771,23.939,24.089,24.083,24.121,24.373,24.536,24.789,25.024,25.263,25.527,25.718,26.077,26.442
"14","6","  Services","DSERRD3",9.016,9.066,9.283,9.492,9.547,9.641,9.787,9.823,9.817,9.838,9.869,9.939,9.98,10.017,10.17,10.301,10.49,10.567,10.624,10.785,10.86,10.946,11.062,11.147,11.265,11.351,11.5,11.614,11.68,11.703,11.723,11.775,11.843,11.886,11.944,12.016,12.086,12.156,12.258,12.333,12.446,12.504,12.61,12.702,12.795,12.838,12.899,12.963,13.057,13.152,13.276,13.393,13.454,13.528,13.617,13.689,13.724,13.784,13.85,13.909,13.992,14.06,14.112,14.157,14.223,14.264,14.311,14.385,14.455,14.528,14.601,14.666,14.728,14.79,14.865,14.959,15.053,15.193,15.332,15.484,15.591,15.704,15.826,15.975,16.165,16.358,16.546,16.748,16.962,17.194,17.424
"15","7","Gross private domestic investment","A006RD3",17.805,18.592,19.413,20.165,19.943,20.011,20.683,21.265,20.999,20.305,20.472,20.391,20.576,20.79,21.476,22.255,23.427,23.891,23.71,23.724,23.54,23.196,23.794,23.546,23.382,23.41,23.659,23.426,23.265,23.206,23.568,23.806,23.91,23.836,24.151,24.951,25.513,25.258,25.938,25.782,26.416,26.501,26.361,25.49,25.675,25.515,26.281,26.97,26.555,26.451,26.43,26.483,26.854,26.726,26.552,26.22,26.386,26.466,26.545,26.703,26.738,26.554,26.498,26.396,26.323,26.429,26.377,26.718,26.521,26.62,26.49,26.818,26.957,26.996,26.922,27.276,27.203,27.488,27.652,28.047,28.112,28.084,28.364,28.713,29.012,29.15,29.35,30.011,30.372,30.605,30.813
"16","8","  Fixed investment","A007RD3",16.779,17.438,17.883,18.251,18.448,18.864,19.455,19.681,19.641,19.608,19.378,19.295,19.281,19.59,20.144,20.532,21.247,21.578,21.751,21.978,22.081,22.183,22.212,22.163,22.177,22.293,22.475,22.431,22.438,22.532,22.529,22.548,22.539,22.695,22.978,23.286,23.777,24.035,24.456,24.64,24.875,24.987,25.158,25.26,25.028,25.131,25.159,25.214,25.259,25.355,25.424,25.462,25.493,25.543,25.53,25.48,25.426,25.444,25.427,25.426,25.443,25.463,25.456,25.426,25.44,25.395,25.303,25.361,25.274,25.498,25.526,25.806,25.819,25.873,25.915,26.227,26.091,26.547,26.542,26.873,26.985,27.108,27.278,27.612,27.894,28.163,28.332,28.973,29.282,29.601,29.854
"17","9","    Nonresidential","A008RD3",21.388,22.071,22.666,23.063,23.194,23.864,24.719,25.088,24.902,24.857,24.743,24.578,24.595,24.825,25.346,26.218,27.145,27.62,27.875,28.188,28.327,28.4,28.305,28.308,28.32,28.535,28.759,28.739,28.848,28.996,28.787,28.831,28.716,28.883,29.354,29.983,30.842,31.108,31.921,32.357,32.862,33.041,33.269,33.527,33.153,33.339,33.396,33.491,33.552,33.743,33.894,33.958,33.966,33.997,33.966,33.845,33.792,33.758,33.718,33.733,33.735,33.779,33.77,33.733,33.756,33.735,33.76,33.752,33.75,33.907,33.915,34.099,34.148,34.235,34.33,34.5,34.447,34.786,34.858,35.179,35.363,35.547,35.782,36.126,36.391,36.746,37.054,37.632,37.897,38.249,38.652
"18","10","      Structures","A009RD3",7.5,7.596,7.861,8.122,8.335,8.563,8.784,8.867,8.72,8.6,8.555,8.568,8.547,8.519,8.703,9.075,9.445,9.679,9.842,9.934,10.014,9.981,9.959,9.98,10.01,10.151,10.281,10.266,10.126,10.025,10.029,10.042,10.066,10.146,10.282,10.511,10.979,10.946,11.245,11.358,11.48,11.624,11.685,11.657,11.341,11.413,11.457,11.493,11.413,11.478,11.521,11.531,11.572,11.502,11.45,11.372,11.372,11.393,11.404,11.445,11.462,11.5,11.489,11.523,11.558,11.581,11.61,11.62,11.602,11.733,11.748,11.931,11.952,12.039,12.069,12.309,12.282,12.554,12.571,12.732,12.784,12.853,12.941,13.121,13.306,13.473,13.58,13.921,14.116,14.348,14.546
"19","11","      Equipment and software","A010RD3",33.446,34.855,35.642,35.966,35.785,36.841,38.373,39.062,38.977,39.177,39.011,38.56,38.66,39.3,40.108,41.313,42.648,43.205,43.409,43.943,44.077,44.346,44.171,44.122,44.074,44.228,44.43,44.411,45.093,45.789,45.226,45.304,44.936,45.134,45.951,46.911,47.778,48.561,49.785,50.583,51.546,51.585,51.997,52.753,52.755,53.028,53.04,53.183,53.593,53.901,54.164,54.305,54.203,54.498,54.58,54.506,54.365,54.206,54.063,53.974,53.925,53.923,53.933,53.733,53.691,53.577,53.557,53.512,53.556,53.59,53.567,53.529,53.594,53.577,53.736,53.524,53.47,53.617,53.755,54.137,54.454,54.728,55.083,55.48,55.677,56.132,56.613,57.196,57.375,57.679,58.18
"20","12","    Residential","A011RD3",9.19,9.703,9.923,10.18,10.376,10.5,10.749,10.811,10.896,10.882,10.623,10.621,10.595,10.862,11.276,11.262,11.644,11.786,11.852,11.958,12.012,12.112,12.225,12.151,12.162,12.177,12.283,12.232,12.161,12.194,12.336,12.333,12.393,12.499,12.585,12.592,12.694,12.888,12.909,12.852,12.814,12.846,12.933,12.884,12.823,12.837,12.837,12.847,12.867,12.877,12.873,12.883,12.922,12.971,12.973,12.988,12.946,12.996,13,12.988,13.011,13.009,13.005,12.987,12.991,12.941,12.797,12.883,12.765,12.972,13.008,13.29,13.272,13.288,13.278,13.655,13.473,13.968,13.883,14.183,14.194,14.233,14.309,14.58,14.836,14.978,14.986,15.581,15.882,16.118,16.18
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","A020RD3",21.561,23.146,24.303,24.874,25,24.846,24.537,24.145,23.713,23.271,22.906,22.667,22.309,22.359,22.567,22.978,24.329,25.209,25.942,26.374,25.729,25.659,25.616,25.58,25.679,25.635,25.554,25.447,25.328,25.239,25.188,25.182,25.256,25.364,25.492,25.663,25.857,26.122,26.419,26.728,27.106,27.317,27.401,27.37,27.102,26.99,26.969,27.011,26.861,26.897,27.12,27.405,27.444,27.4,27.53,27.441,27.57,27.935,27.886,28.093,28.14,27.875,27.857,27.895,27.935,27.894,27.828,27.855,27.923,27.914,28.137,28.444,29.089,28.993,29.023,28.916,29.391,29.634,29.978,30.492,31.022,30.983,30.953,31.126,31.353,31.998,31.607,31.827,32.301,32.351,32.793
"24","16","    Goods","A253RD3",24.712,27.046,28.729,29.549,29.684,29.442,28.975,28.397,27.779,27.14,26.617,26.266,25.782,25.828,26.095,26.64,28.448,29.595,30.508,30.994,30.048,29.835,29.676,29.553,29.654,29.559,29.443,29.312,29.171,29.078,29.027,29.021,29.102,29.237,29.402,29.626,29.924,30.26,30.614,30.955,31.316,31.495,31.533,31.464,31.152,31.035,31.059,31.18,31.433,31.263,31.302,31.634,31.604,31.559,31.717,31.594,31.869,32.358,32.204,32.46,32.329,31.875,31.83,31.858,31.996,31.925,31.791,31.772,31.939,31.817,32.079,32.474,33.355,33.224,33.228,33.021,33.715,33.998,34.452,35.153,35.935,35.769,35.619,35.759,35.931,36.839,36.158,36.376,36.993,36.88,37.395
"25","17","    Services","A646RD3",16.218,15.509,15.145,15.021,15.142,15.235,15.359,15.471,15.536,15.623,15.675,15.731,15.684,15.752,15.819,15.904,16.153,16.414,16.753,17.094,17.188,17.493,17.749,17.941,18.046,18.13,18.129,18.071,18.001,17.909,17.855,17.846,17.913,17.958,18.001,18.052,17.986,18.09,18.257,18.513,18.98,19.31,19.534,19.599,19.42,19.306,19.172,19.028,18.203,18.582,19.104,19.301,19.442,19.394,19.467,19.451,19.297,19.437,19.584,19.699,20.086,20.161,20.196,20.256,20.122,20.133,20.195,20.324,20.182,20.395,20.544,20.673,20.868,20.841,20.921,21.013,21.053,21.221,21.365,21.529,21.604,21.787,21.97,22.197,22.512,22.678,22.804,23.022,23.239,23.569,23.876
"26","18","  Imports","A021RD3",14.737,15.774,16.615,17.172,17.558,17.611,17.438,17.163,16.785,16.607,16.522,16.561,16.836,17.177,17.735,18.588,20.191,21.322,21.962,22.047,21.122,20.766,20.399,20.061,19.879,19.679,19.586,19.589,19.815,19.907,20.032,20.046,19.796,19.809,19.85,19.913,19.972,20.127,20.248,20.437,20.523,20.537,20.415,20.214,19.736,19.53,19.499,19.547,19.58,19.679,19.776,19.969,19.91,19.903,20.003,19.95,19.97,19.949,19.929,19.92,19.691,19.722,19.653,19.755,19.934,20.021,20.139,20.251,20.432,20.536,20.507,20.568,20.733,20.644,20.787,21.007,21.107,21.33,21.275,21.402,21.397,21.345,21.351,21.364,21.505,21.666,21.709,21.862,21.95,22.045,22.204
"27","19","    Goods","A255RD3",14.436,15.823,16.933,17.661,18.011,18.049,17.816,17.474,17.069,16.868,16.766,16.82,17.234,17.66,18.354,19.41,21.414,22.907,23.807,23.981,22.448,22.024,21.585,21.205,21.022,20.826,20.771,20.832,21.093,21.241,21.443,21.472,21.18,21.212,21.269,21.34,21.408,21.595,21.719,21.968,22,22.016,21.855,21.591,20.962,20.675,20.621,20.647,20.573,20.767,20.929,21.21,21.144,21.104,21.135,20.986,20.954,20.883,20.877,20.865,20.518,20.475,20.309,20.282,20.411,20.498,20.641,20.765,21.078,21.194,21.112,21.161,21.234,21.055,21.214,21.449,21.471,21.791,21.71,21.892,21.812,21.729,21.729,21.735,21.883,22.048,22.026,22.206,22.336,22.421,22.549
"28","20","    Services","A656RD3",15.826,15.725,15.716,15.793,16.269,16.367,16.375,16.279,15.991,15.874,15.815,15.8,15.653,15.767,15.951,16.192,16.654,16.841,16.933,16.913,17.208,17.018,16.808,16.564,16.395,16.204,16.06,15.974,16.118,16.11,16.106,16.093,15.931,15.915,15.925,15.967,16.009,16.103,16.205,16.287,16.45,16.459,16.411,16.329,16.128,16.051,16.034,16.092,16.303,16.26,16.257,16.285,16.236,16.28,16.483,16.584,16.688,16.746,16.707,16.7,16.68,16.83,16.934,17.254,17.511,17.592,17.657,17.736,17.663,17.735,17.805,17.888,18.221,18.321,18.422,18.593,18.853,18.855,18.855,18.857,19.011,19.026,19.045,19.07,19.185,19.327,19.52,19.596,19.583,19.693,19.92
"29","21","Government consumption expenditures and gross investment","A822RD3",8.905,8.923,8.783,8.883,9.031,9.11,9.317,9.389,9.569,9.501,9.384,9.474,9.416,9.367,9.511,9.645,10.103,10.022,10.097,10.225,10.116,10.264,10.386,10.5,10.425,10.444,10.396,10.445,10.512,10.61,10.697,10.783,10.849,11.038,11.176,11.309,11.503,11.684,11.803,11.862,12.089,12.2,12.282,12.355,12.44,12.565,12.666,12.722,12.705,12.668,12.604,12.628,12.677,12.723,12.858,12.965,12.974,13.044,13.071,13.159,13.298,13.347,13.406,13.527,13.608,13.651,13.636,13.854,13.944,14.005,14.146,14.174,14.267,14.33,14.473,14.68,14.784,14.909,15.175,15.279,15.383,15.556,15.74,15.99,16.185,16.384,16.614,16.884,17.024,17.32,17.727
"30","22","  Federal","A823RD3",10.406,10.339,9.956,9.941,9.982,9.993,10.133,10.155,10.554,10.542,10.336,10.56,10.523,10.372,10.415,10.436,11.031,10.789,10.815,10.953,10.778,10.946,11.037,11.213,11.055,11.099,11.028,11.113,11.231,11.263,11.371,11.475,11.631,11.922,12.04,12.182,12.352,12.562,12.639,12.662,12.973,13.049,13.154,13.291,13.462,13.61,13.738,13.802,13.67,13.588,13.472,13.499,13.495,13.532,13.739,13.9,13.865,13.899,13.877,13.955,14.075,14.119,14.209,14.367,14.429,14.449,14.397,14.717,14.835,14.894,15.11,15.111,15.164,15.214,15.385,15.693,15.714,15.732,16.063,16.092,16.07,16.261,16.427,16.749,16.902,17.112,17.429,17.674,17.704,17.966,18.493
"31","23","    National defense","A824RD3",10.47,10.467,9.608,9.621,9.8,9.897,10.09,10.154,10.394,10.336,10.224,10.338,10.295,10.156,10.307,10.464,10.848,10.633,10.663,10.816,10.564,10.73,10.814,10.989,10.808,10.851,10.781,10.86,11.019,11.029,11.161,11.268,11.387,11.688,11.857,12.015,12.202,12.408,12.463,12.507,12.837,12.886,12.994,13.11,13.27,13.386,13.539,13.602,13.433,13.362,13.266,13.301,13.284,13.325,13.489,13.66,13.589,13.642,13.607,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.083,14.441,14.511,14.518,14.727,14.729,14.784,14.86,15.051,15.373,15.34,15.343,15.716,15.709,15.668,15.865,16.042,16.394,16.478,16.677,16.984,17.21,17.238,17.524,18.038
"32","24","    Nondefense","A825RD3",9.724,9.375,10.665,10.564,10.041,9.782,9.775,9.684,10.482,10.583,10.142,10.623,10.592,10.427,10.141,9.662,11.145,10.723,10.668,10.646,11.115,11.287,11.432,11.589,11.625,11.663,11.601,11.711,11.545,11.72,11.65,11.732,12.097,12.3,12.103,12.135,12.167,12.384,12.597,12.472,12.637,12.887,12.956,13.207,13.433,13.784,13.749,13.839,13.959,13.832,13.632,13.617,13.671,13.682,14.094,14.196,14.347,14.288,14.329,14.374,14.65,14.639,14.67,15.039,14.884,14.955,15.014,15.176,15.475,15.715,15.948,15.944,15.989,15.949,16.052,16.304,16.509,16.576,16.741,16.91,16.968,17.128,17.244,17.416,17.856,18.102,18.451,18.764,18.799,18.952,19.505
"33","25","  State and local","A829RD3",7.23,7.354,7.512,7.754,8.032,8.2,8.497,8.633,8.543,8.408,8.395,8.34,8.263,8.323,8.569,8.821,9.129,9.288,9.46,9.582,9.589,9.704,9.899,9.885,9.989,9.957,9.955,9.936,9.908,10.136,10.193,10.25,10.173,10.212,10.385,10.511,10.75,10.897,11.082,11.194,11.309,11.475,11.525,11.514,11.486,11.587,11.655,11.702,11.833,11.852,11.853,11.873,11.985,12.042,12.096,12.142,12.202,12.317,12.403,12.504,12.67,12.727,12.75,12.828,12.934,13.006,13.034,13.139,13.199,13.263,13.325,13.383,13.517,13.595,13.71,13.819,14.007,14.244,14.444,14.632,14.873,15.029,15.235,15.411,15.655,15.845,15.985,16.285,16.538,16.87,17.165
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross national product","A001RD3",13.364,13.57,13.814,14.154,14.261,14.378,14.648,14.696,14.622,14.472,14.389,14.391,14.357,14.404,14.709,15,15.55,15.653,15.662,15.837,15.826,15.851,16.029,16.074,16.076,16.107,16.17,16.205,16.255,16.266,16.292,16.334,16.414,16.48,16.603,16.768,16.935,17.033,17.252,17.318,17.561,17.68,17.788,17.789,17.984,18.036,18.149,18.235,18.261,18.279,18.331,18.408,18.486,18.544,18.613,18.665,18.707,18.749,18.808,18.874,18.985,19.012,19.058,19.119,19.163,19.2,19.238,19.385,19.443,19.496,19.573,19.669,19.769,19.854,19.927,20.055,20.186,20.358,20.568,20.757,20.852,20.963,21.169,21.403,21.638,21.864,22.08,22.39,22.623,22.914,23.242
