"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","Domestic corporate business","A2201C1",-0.4,-0.2,0.1,0.2,0.1,-0.1,-0.1,-0.1,-0.6,-0.6,-0.5,-0.6,-0.6,-0.4,0,0.6,0.7,-1.7,-2.6,-2.8,-2.8,-2.6,-2.8,-2.4,-1.6,-0.7,0.9,0.2,0.1,-0.3,0.3,1.6,2.3,5.3,6.2,6.9,7.6,8,8.2,8.5,9
"12","5","    For consistent accounting at historical cost","A1402C1",0.1,0.1,0.1,-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,0.2,1,1.4,2.1,2.2,0,0.3,0.6,0.7,0.8,1.5,2,2.7,3.4,4.9,5.3,5.9,5.5,6.3,7.1,7.4,10.1,10.7,11.3,12.1,12.7,13.5,14.8,16.4
"13","6","    For current-cost valuation","A1403C1",-0.6,-0.3,-0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.4,-1.4,-1.5,-1.5,-1.7,-2.9,-3.5,-3.5,-3.5,-4.3,-4.3,-4.3,-4.1,-4.1,-5.1,-5.8,-5.8,-5.9,-5.5,-5,-4.7,-4.5,-4.4,-4.5,-4.7,-5.4,-6.3,-7.4
"14","7","  Financial","B393RC1",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1
"15","8","    For consistent accounting at historical cost","B1404C1",-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,-0.1,0,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.1,0,-0.1,0,0,-0.1,-0.1,0,0
"16","9","    For current-cost valuation","B1405C1",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2
"17","10","  Nonfinancial","A2203C1",-0.3,-0.1,0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.5,-0.3,0.1,0.8,0.9,-1.6,-2.3,-2.6,-2.5,-2.4,-2.5,-2.1,-1.3,-0.4,1.1,0.5,0.4,0.1,0.7,1.9,2.5,5.4,6.4,7,7.8,8.1,8.3,8.6,9.1
"18","11","    For consistent accounting at historical cost","B1406C1",0.2,0.2,0.2,0,0,0,0,0,0,-0.1,0,0,0.3,1,1.5,2.2,2.3,0.1,0.4,0.7,0.8,1,1.7,2.1,2.9,3.6,5.1,5.5,6.1,5.7,6.4,7.2,7.4,10.1,10.7,11.3,12.1,12.8,13.6,14.8,16.4
"19","12","    For current-cost valuation","B1407C1",-0.6,-0.3,-0.1,0.2,0.2,0,-0.1,-0.1,-0.5,-0.5,-0.4,-0.5,-0.8,-1.3,-1.4,-1.4,-1.4,-1.7,-2.8,-3.3,-3.4,-3.4,-4.2,-4.2,-4.2,-4,-4,-5,-5.7,-5.6,-5.7,-5.3,-4.9,-4.6,-4.4,-4.3,-4.4,-4.7,-5.3,-6.2,-7.3
"20","13","Domestic noncorporate business","W282RC1",-0.9,-0.9,-0.7,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.8,-0.7,-0.7,-0.7,-0.7,-1.1,-1.2,-1,-1,-1.3,-1.2,-1.1,-1,-1,-1,-1.1,-1.3,-1.3,-1.1,-1.2,-1,-0.9,-0.9,-1.2,-1.4,-1.6,-2,-2.1
"21","14","  Sole proprietorships and partnerships","A2204C1",-0.8,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.5,-0.5,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.4,-0.6,-0.7,-0.5,-0.4,-0.7,-0.6,-0.5,-0.4,-0.4,-0.3,-0.4,-0.6,-0.6,-0.5,-0.6,-0.5,-0.4,-0.3,-0.6,-0.8,-0.9,-1.1,-1.1
"22","15","    Farm \1\","B044RC1",-0.1,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.4,-0.5,-0.6,-0.5,-0.5,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8
"23","16","    Nonfarm","A2205C1",-0.7,-0.7,-0.6,-0.4,-0.4,-0.4,-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.2,-0.2,-0.2,-0.3,0,0,-0.1,0,0.1,0.1,0.1,0.2,0.2,0,0,0.1,0,0,0.1,0.2,-0.1,-0.2,-0.2,-0.4,-0.3
"24","17","      For consistent accounting at historical cost","B1409C1",-0.6,-0.7,-0.6,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.3,-0.4,-0.3,-0.2,-0.1,0.1,0.1,0.2,0.3,0.6,0.7,0.9,0.9,1,1.1,1.1,1.1,1,1.4,1.4,1.2,1.3,1.2,1,1,1,1.1,0.8,0.7,0.9,0.9,1.2
"25","18","      For current-cost valuation","B1410C1",0,0,0.1,0.2,0.2,0.1,0.1,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.4,-0.4,-0.4,-0.4,-0.4,-0.8,-1,-1,-0.9,-1.1,-1.1,-1.1,-1,-0.9,-1.1,-1.3,-1.2,-1.2,-1.1,-1,-0.9,-0.9,-0.9,-0.9,-1,-1.1,-1.3,-1.6
"26","19","  Other private business \1\","A2206C1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.7,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.7,-0.7,-0.9,-1
"27","20","    Rental income of persons","B050RC1",-0.1,-0.1,-0.1,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9
"28","21","      Nonfarm tenant-occupied housing","B2611C1",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.9
"29","22","      Farm tenant-occupied housing","W283RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","23","      Farms owned by nonoperator landlords","B2614C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","24","      Nonfarm nonresidential properties","B2615C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","25","    Proprietors' income","B1411C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,-0.1,-0.1
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
