"","Table 2#3#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","  Durable goods","DDURRG3",54.264,54.671,54.932,55.271,55.366,55.584,55.992,56.924,57.73,58.14,58.011,57.713,58.211,58.509,58.808,58.619,58.862,59.325,59.618,59.809,60.471,62.002,64.364,66.377,67.417,68.629,69.382,70.448,71.4,72.193,73.067,74.303,75.067,75.449,76.233,77.253,78.36,79.555,80.844,82.259,83.595,85.066,86.042,87.592,90.16,92.288,93.971,95.581,96.796,98.621,100.079,101.381,102.232,103.028,103.397,103.7,104.432,104.823,105.398,106.054,106.084,106.742,106.953,107.15,107.695,107.946,107.763,108.042,108.066,108.564,109.47,110.09,111.018,111.888,112.688,113.147,112.95,113.576,114.384,115.234,115.818,115.912,116.173,116.554,117.174,117.186,117.237,117.474,118.479,118.777,119.217,119.473,119.468,119.793,119.892,120.08,120.019,120.652,121.239,122.04,122.322,123.052,123.919,124.13,124.627,124.491,124.09,123.813,123.907,123.09,122.769,122.237,121.765,120.592,119.783,119.114,118.238,117.355,116.456,115.587,114.611,114.036,113.501,112.815,112.283,112.048,111.362,111.081,110.573,109.786,109.055,108.501,107.535,106.978,106.455,105.721,104.446,103.367,102.358,101.458,101.419,101.344,100.598,100.657,100.548,100.385,99.623,99.444,99.141,98.742,98.281,97.789,97.339,96.995,96.474,96.138,95.981,95.503,95.345,94.532,94.028,94.046,93.45,93.603,93.121,92.755,92.235
"12","4","    Motor vehicles and parts","DMOTRG3",34.013,34.199,34.288,34.57,34.615,34.824,35.336,36.432,37.274,37.461,36.921,36.379,36.923,37.213,37.411,36.859,37.01,37.332,37.405,37.336,37.377,38.466,40.485,41.935,42.357,43.136,43.768,44.642,45.481,46.203,47.09,48.425,48.876,49.064,49.548,50.649,51.634,52.331,53.44,54.465,55.541,56.794,57.346,58.164,59.646,60.575,61.612,62.898,63.594,65.403,66.822,67.844,68.28,68.979,69.42,69.485,70.355,70.736,71.4,72.258,72.343,73.097,73.652,73.795,74.488,74.769,75.031,75.383,75.721,76.414,77.51,78.291,78.811,80.179,81.296,81.739,80.851,81.186,82.222,82.824,83.828,84.247,84.136,84.536,84.642,84.19,84.208,84.794,86.078,86.51,87.178,87.572,87.502,88.183,88.825,89.381,90.108,91.331,92.593,93.796,94.346,95.392,96.842,98.324,99.425,100.115,100.009,100.603,101.685,101.731,102.082,102.676,103.019,102.418,102.12,102.156,101.519,100.918,101.346,101.472,101.219,101.207,101.944,102.102,101.708,102.155,101.849,102.263,102.578,102.423,102.128,102.448,101.939,101.758,102.051,101.675,100.148,99.543,98.85,97.754,97.931,98.332,98.053,99.279,99.929,100.338,99.494,100.24,100.57,100.313,100.022,99.598,99.369,99.476,99.738,100.073,99.668,99.072,98.659,96.901,96.614,97.796,98.961,101.333,102.384,103.041,103.637
"13","5","    Furnishings and durable household equipment","DFDHRG3",50.226,50.724,51.12,51.461,51.689,51.919,52.02,52.332,52.604,52.858,53.094,53.165,53.323,53.504,53.776,54.128,54.415,54.737,55.132,55.508,56.54,58.195,60.419,62.55,63.973,65.052,65.684,66.628,67.426,67.934,68.368,68.853,69.704,70.215,71.023,71.691,72.295,73.676,74.758,76.204,77.395,78.367,79.152,80.541,82.688,84.602,86.237,87.556,89.274,90.895,92.449,93.674,95.037,96.358,96.542,97.233,97.81,98.341,98.805,99.188,99.203,99.715,99.719,100.284,100.499,101.15,100.382,101.265,101.184,101.663,102.175,102.522,103.068,103.426,103.836,103.654,104.062,104.976,105.183,105.665,105.198,104.643,105.543,105.754,106.207,106.316,106.555,106.321,106.533,106.806,107.438,107.047,108.096,108.318,108.122,108.357,107.922,108.705,108.861,109.701,109.981,110.707,111.077,110.144,110.231,109.883,110.614,110.49,110.719,110.523,110.841,110.387,110.536,110.834,110.344,110.103,110.312,110.847,110.441,109.847,109.67,109.186,108.757,108.094,108.494,108.297,108.122,107.641,107.175,106.491,106.086,105.389,104.638,104.546,103.924,103.299,102.635,101.527,100.462,100.082,100.282,100.054,99.486,99.929,100.153,100.554,99.733,99.559,99.564,99.566,99.443,99.358,99.15,99.202,98.489,97.797,98.154,97.716,98.213,98.08,98.515,98.837,97.357,96.127,95.304,94.31,93.01
"14","6","    Recreational goods and vehicles","DREQRG3",167.952,169.072,169.674,169.668,169.132,168.633,168.774,170.741,172.846,175.297,176.572,176.653,177.191,177.57,178.136,178.638,179.308,180.197,180.948,181.979,184.043,186.517,190.263,193.619,196.636,201.037,202.198,204.505,205.894,207.598,208.358,210.221,212.063,213.109,214.959,215.876,218.321,221.427,222.393,224.579,227.329,230.736,232.752,235.374,239.291,242.786,246.146,249.436,252.022,254.87,255.917,258.689,260.626,261.736,261.534,261.186,260.088,258.592,257.09,256.805,255.814,255.201,253.717,253.227,253.434,250.995,248.825,246.815,244.648,242.602,241.045,240.038,241.573,239.587,237.09,237.845,237.722,237.716,236.779,237.75,238.103,236.669,235.85,236.817,236.111,235.305,234.641,233.695,234.24,233.358,230.318,229.908,227.721,226.495,223.34,221.764,219.263,217.175,215.879,214.738,213.552,213.175,212.199,210.066,208.73,205.801,201.257,197.521,194.838,190.447,186.927,183.45,179.432,174.089,170.917,167.976,164.401,160.962,156.276,152.333,149.069,146.435,142.967,140.159,137.93,136.821,134.83,132.686,129.789,127.35,125.134,122.999,120.721,118.999,117.203,115.675,113.771,111.458,109.493,108.499,107.482,106.554,104.828,103.22,101.727,100.81,99.595,97.868,96.425,95.103,93.513,91.879,90.24,89.022,87.415,86.298,85.538,84.508,83.857,83.029,81.58,80.365,78.653,77.455,76.282,75.327,74.277
"15","7","    Other durable goods","DODGRG3",34.982,35.334,35.579,35.861,36.036,36.275,36.478,36.648,36.919,37.154,37.558,37.8,38.178,38.377,38.708,39.003,39.065,39.678,40.145,40.411,41.369,42.305,43.267,44.615,45.293,45.866,46.467,46.971,47.531,47.927,48.709,49.424,49.97,50.175,50.789,51.146,51.935,52.665,53.806,54.893,55.554,56.546,58.085,60.71,65.093,69.378,71.219,72.429,72.814,73.043,73.454,74.112,74.204,73.557,73.99,74.501,75.303,76.102,77.082,77.32,77.687,78.29,78.209,78.151,78.354,79.04,79.214,79.135,79.318,80.089,81.479,82.317,84.366,85.449,87.153,88.238,89.806,91.02,92.573,94.35,94.917,95.897,97.04,96.993,100.371,102.574,102.867,103.293,104.445,105.015,106.719,108.067,108.096,108.343,109.482,109.528,109.295,109.479,109.719,110.308,110.798,111.045,112.068,111.898,112.583,112.803,113.806,114.035,113.435,112.716,112.682,111.692,111.608,111.173,111.17,110.252,110.3,109.476,108.374,107.931,106.403,106.844,106.06,105.794,105.886,104.705,104.004,104.883,105.566,105.335,105.21,104.701,104.182,103.672,102.892,102.284,102.009,101.847,101.816,100.745,101.519,101.968,101.458,100.589,100.52,99.132,99.845,100.504,100.494,101.135,102.328,103.797,105.416,105.335,105.988,106.77,108.177,109.711,110.415,110.677,110.613,110.888,110.981,112.456,111.179,111.571,111.758
"16","8","  Nondurable goods","DNDGRG3",25.72,26.079,26.443,26.724,27.069,27.335,27.52,27.765,27.81,28.1,28.346,28.527,28.838,28.905,29.161,29.496,30.126,31.035,31.824,32.802,34.493,35.753,36.76,37.803,38.341,38.479,39.337,39.843,39.893,39.89,40.386,40.91,41.659,42.423,42.863,43.365,43.942,44.997,45.737,46.519,47.818,49.44,51.042,52.425,54.442,55.772,56.954,58.185,59.905,60.498,60.975,61.377,61.662,61.658,62.454,62.489,62.315,63.096,63.572,63.542,64.282,64.322,64.468,64.702,65.154,65.554,65.686,66.204,65.872,64.3,64.466,64.607,66.048,66.774,67.409,67.831,68.051,68.735,69.643,70.155,71.116,72.991,72.929,73.268,75.121,75.55,77.138,79.136,78.744,78.874,78.946,79.344,79.482,79.877,80.453,80.686,80.927,80.823,80.488,80.866,80.636,80.811,81.647,81.731,81.706,82.011,82.186,82.316,83.129,83.998,83.873,84.651,84.987,84.729,84.674,84.764,84.084,83.916,84.254,84.385,84.669,85.906,86.834,87.626,88.987,89.776,90.486,90.776,91.014,91.649,91.245,89.898,89.713,90.985,91.223,91.592,93.196,91.627,92.95,93.392,94.724,95.601,96.16,97.994,97.886,98.375,101.542,102.197,102.229,103.472,104.621,102.539,104.064,106.107,106.718,109.061,111.196,113.427,116.433,108.882,106.676,108.097,110.624,111.651,112.949,111.638,112.315
"17","9","    Food and beverages purchased for off-premises consumption","DFXARG3",23.335,23.698,24.175,24.52,25,25.21,25.372,25.486,25.349,25.808,26.02,26.195,26.755,26.841,27.162,27.542,28.584,29.902,31.25,32.271,33.804,34.599,35.334,36.821,37.348,37.128,38.035,38.616,38.381,38.109,38.545,38.902,39.606,40.734,41.142,41.523,42.596,44.485,45.418,46.102,47.842,48.836,49.288,50.175,50.953,52.015,53.948,55.717,56.447,56.586,57.332,57.417,57.999,58.528,58.761,58.487,58.502,59.166,59.284,59.508,60.699,60.683,61.061,61.122,61.509,61.404,61.392,61.911,62.286,62.466,63.423,63.835,64.446,64.958,65.189,65.369,65.75,66.292,67.571,68.101,69.08,70.319,70.951,71.483,73.116,73.315,74.349,74.82,75.867,76.623,76.229,76.163,76.433,76.587,77.065,77.137,77.274,77.789,77.927,78.529,78.584,78.822,79.624,79.705,80.163,80.856,81.095,81.485,82.111,82.941,83.852,84.569,84.647,84.783,85.105,85.289,85.575,85.789,86.117,86.615,86.973,87.206,87.532,88.022,88.518,89.127,89.972,90.327,91.182,91.779,92.55,92.954,93.469,93.528,93.445,93.669,94.186,94.782,95.549,96.666,97.095,98.123,98.564,99.287,99.012,100.055,100.166,100.767,101.227,101.201,101.927,102.482,103.842,105.299,106.347,107.425,108.887,111.096,113.558,114.817,114.594,113.643,112.967,112.95,113.466,113.916,113.989
"18","10","    Clothing and footwear","DCLORG3",64.884,65.648,66.466,67.153,67.663,68.082,68.682,69.55,70.19,70.861,71.217,71.45,71.86,72.046,72.093,72.868,73.469,74.526,74.921,75.54,76.899,79.191,81.655,82.853,83.18,83.419,84.021,84.357,85.079,85.802,87.02,87.82,89.099,89.365,90.753,91.26,90.757,92.005,92.08,92.447,92.638,93.536,93.74,94.561,95.801,96.617,97.32,98.471,99.18,100.04,100.833,100.975,101.187,101.893,102.104,101.718,102.309,102.974,103.841,103.347,103.52,102.936,103.796,104.358,105.285,105.704,106.005,106.516,105.747,104.744,105.476,105.796,107.128,108.307,108.449,110.031,109.926,112.039,112.215,113.695,113.578,114.126,112.752,113.975,115.726,117.528,117.941,118.048,118.298,119.026,120.002,120.846,120.306,120.211,120.4,120.814,120.456,119.579,119.609,119.515,117.926,118.464,117.86,116.846,115.614,114.995,114.812,114.671,114.675,114.187,112.603,113.086,113.37,114.728,113.529,113.065,111.848,111.317,112.038,111.213,109.808,110.476,110.034,110.191,109.484,108.77,108.53,108.479,108.644,107.076,106.005,104.912,104.502,104.262,103.711,102.927,101.81,100.759,101.273,101.238,100.776,101.28,100.928,100.718,100.719,100.304,99.62,99.357,99.04,100.004,99.696,99.553,99.558,98.56,97.829,98.35,98.034,97.265,98.294,97.423,98.053,98.322,99.207,98.77,98.452,97.439,98.323
"19","11","    Gasoline and other energy goods","DGOERG3",12.851,13.091,13.062,13.028,12.986,13.229,13.146,13.4,13.408,13.184,13.431,13.599,13.424,13.327,13.611,13.895,14.091,14.592,14.869,16.367,19.447,21.214,21.497,21.17,21.233,21.629,22.94,23.378,23.169,22.946,23.355,23.979,24.633,24.995,24.963,25.529,25.633,25.595,26.12,27.381,28.686,32.807,38.199,41.376,47.244,49.522,49.412,49.981,55.156,55.766,54.968,55.363,54.087,51.145,53.284,52.461,49.531,50.872,51.703,50.718,50.966,50.888,49.357,49.512,49.467,50.755,50.358,50.574,47.346,38.876,36.275,35.428,39.35,40.258,42.007,42.145,41.206,41.112,41.646,41.017,42.184,47.626,45.432,44.363,47.761,46.906,51.245,59.763,52.91,49.866,49.366,50.088,49.166,49.685,50.647,51.195,51.164,49.742,48.348,49.465,48.831,48.142,50.826,51.411,50.945,50.998,50.381,49.554,52.027,54.944,53.3,55.359,56.315,52.678,53.226,53.404,48.962,46.809,46.612,45.6,44.271,49.501,53.416,56.345,63.102,65.129,67.009,67.83,66.078,68.688,63.837,55.318,53.026,59.445,61.029,64.013,73.984,64.068,69.314,70.114,76.568,78.395,81.112,90.073,89.268,89.909,109.543,111.279,109.418,115.501,121.13,105.653,111.477,123.149,124.71,136.197,146.008,156.325,169.826,111.322,92.211,97.643,114.356,121.338,128.166,118.788,121.632
"20","12","    Other nondurable goods","DONGRG3",22.476,22.709,22.977,23.218,23.514,23.78,24.066,24.285,24.507,24.754,24.955,25.092,25.278,25.405,25.513,25.583,25.735,26.026,26.26,26.533,27.008,27.982,29.332,30.521,31.442,31.901,32.155,32.534,33.063,33.481,33.803,34.309,34.867,35.354,35.851,36.386,36.804,37.163,37.859,38.38,39.116,39.614,40.25,41.047,42.162,43.262,44.232,44.987,45.952,47.022,47.778,48.696,49.586,50.531,51.376,52.618,53.753,54.284,54.854,55.278,55.829,56.278,56.883,57.265,57.899,58.408,59.016,59.685,60.423,60.78,61.413,61.752,62.643,63.298,63.929,64.338,65.221,65.945,66.82,67.6,68.803,69.664,70.618,71.176,72.228,73.154,74.166,74.892,76.282,77.278,77.973,78.592,79.493,80.325,80.917,81.067,81.873,82.137,81.705,81.512,81.793,82.241,82.6,82.886,83.07,83.447,84.174,84.664,85.057,85.347,85.536,85.763,86.063,86.551,86.237,86.42,87.009,87.689,88.149,88.923,90.744,91.125,91.691,91.949,92.372,93.403,93.814,93.932,94.547,95.226,96.078,96.341,96.56,97.225,97.478,97.238,97.146,97.169,97.537,97.376,97.971,98.422,98.493,99.032,99.325,99.613,100.184,100.877,101.528,102.116,102.468,102.533,103.098,103.156,103.581,104.312,105.215,105.752,106.238,106.922,108.291,110.902,111.605,111.966,112.594,112.604,112.917
