"","Table 1#5#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"13","3","  Goods","DGDSRY2",NA,2.95,1.21,0.84,0.5,1.66,-0.1,0.94,-0.39,3.18,0.46,3.11,2.73,1.44,12.1,-8.46,3.81,-7.65,1.75,1.16,-0.87,3.07,-0.22,7.35,1.87,0.16,-1.33,-1.02,-0.28,1.22,1.4,3.92,4.41,3.99,1.94,0.99,-0.68,-0.26,-0.63,1.98,1.26,-0.49,1.23,-1.01,-3.14,0.48,2.64,2.6,3.04,2.11,1.03,-1.1,1.45,1.9,-0.84,-0.78,-1.28,2.03,0.87,2.93,1.54,1.28,0.99,2.01,1.22,1.08,1.31,0.43,2.98,2.68,3,-0.94,4.22,0.95,2.65,4.97,2.47,-0.63,1.83,-0.26,0.33,2.16,-0.37,0.5,3.97,1.89,3.05,-0.2,1.69,0.09,0.22
"14","4","    Durable goods","DDURRY2",NA,0.75,0.54,2.4,-0.09,0.35,0.69,-0.48,-0.63,3.05,1.71,1.3,1.24,0.13,10.09,-5.9,1.75,-6.02,-0.58,-0.14,0.03,0.54,-2.16,5.7,1.2,-0.29,-0.33,-1.13,-1.25,1.57,0.08,2.14,3.33,2.1,1.29,-1.03,-1.76,0.06,-0.66,1.17,0.65,-0.89,-0.23,-0.39,-2.29,-0.51,0.7,1.19,1.76,1.29,0.66,-1.73,1.16,0.8,-0.27,-0.86,-1.88,0.67,0.79,1.59,0.72,0.89,0.25,1.48,0.7,0.75,0.44,0.55,1.38,0.93,1.2,-1.11,3.32,0.07,1.26,1.57,1.77,-1.5,1.17,-0.01,-0.68,1.5,-0.29,0.09,2.22,0.79,1.65,-0.22,0.71,-0.1,-0.11
"15","5","      Motor vehicles and parts","DMOTRY2",NA,0.2,-0.56,1.44,0.78,-0.64,0.34,0.69,0.51,2.82,0.56,0.08,1.31,0.85,4.12,-1.5,-0.73,-2.79,-1.13,-0.82,0.22,0.58,-2.34,4.62,1.28,-0.37,-0.17,-1.05,-0.89,1.4,-0.45,1.34,2.6,1.65,0.65,-1.23,-1.86,-0.54,-0.47,1.02,1,-0.65,-0.44,0.06,-2.25,-0.16,0.02,0.82,1.33,0.9,0.59,-1.87,1.47,0.56,0.28,-0.84,-1.87,0.35,0.38,1.15,0.65,0.56,-0.2,1.21,0.46,0.42,0.03,0.31,0.39,0.17,0.75,-1.46,3.08,-0.33,0.55,0.19,1,-1.62,0.44,-0.08,-0.72,1.22,-0.43,-0.41,1.82,0.26,0.92,-0.2,0.4,-0.3,0.18
"16","6","      Furnishings and durable household equipment","DFDHRY2",NA,0.45,0.74,0.82,-0.64,0.88,0.34,-0.97,-1.15,0.35,1.17,1.14,-0.47,-0.63,4.51,-3.63,1.92,-2.82,0.31,0.46,-0.13,-0.03,0.14,0.73,-0.32,0.15,-0.03,0.02,-0.29,-0.04,0.18,0.56,0.73,0.15,0.47,-0.06,0.11,0.38,-0.29,0,-0.15,-0.04,-0.08,-0.3,0,-0.21,0.43,0.19,0.24,0.27,0.06,0.07,-0.2,0.11,-0.36,-0.06,-0.02,0.16,0.21,0.24,0.04,0.14,0.28,0.08,0.2,0.12,0.3,0.18,0.54,0.39,0.13,0.18,0.01,0.15,0.34,0.6,0.19,-0.02,0.35,-0.09,0.04,0.12,0.01,0.11,0.19,0.27,0.37,-0.09,0.09,0.12,-0.21
"17","7","      Recreational goods and vehicles","DREQRY2",NA,0.12,0.21,0.13,-0.21,0.1,-0.02,-0.24,0.09,-0.11,0.02,0,0.4,-0.17,1.19,-0.67,0.42,-0.38,0.19,0.13,-0.03,-0.07,-0.02,0.21,0.21,-0.04,-0.07,-0.05,0,0.08,0.17,0.18,0.11,0.17,0.16,0.11,0.03,0.16,0.03,0.08,-0.09,-0.1,0.1,-0.12,0.02,-0.11,0.16,0.12,0.25,0.06,0,0.02,-0.06,0.08,-0.14,0.04,0.02,0.13,0.13,0.08,-0.02,0.09,0.15,0.11,0.06,0.17,0.07,0.08,0.33,0.3,0.17,0.16,0.12,0.28,0.23,0.51,0.3,0.22,0.35,0.21,0.01,0.07,0.16,0.33,0.13,0.07,0.31,0.04,0.16,0.09,-0.02
"18","8","      Other durable goods","DODGRY2",NA,-0.02,0.15,0.01,-0.02,0.01,0.03,0.03,-0.08,0,-0.03,0.08,0.01,0.07,0.27,-0.11,0.14,-0.04,0.06,0.09,-0.03,0.05,0.06,0.14,0.03,-0.03,-0.05,-0.04,-0.08,0.14,0.18,0.06,-0.11,0.13,0.02,0.15,-0.04,0.07,0.08,0.07,-0.11,-0.1,0.19,-0.04,-0.07,-0.03,0.09,0.06,-0.06,0.06,0.01,0.06,-0.05,0.06,-0.05,0,-0.01,0.04,0.06,0.11,0.05,0.11,0.02,0.08,-0.03,0.05,0.05,-0.02,0.12,0.08,0.14,0.01,0.12,-0.03,0.14,0.27,0.28,-0.06,0.03,-0.05,-0.01,0.1,-0.03,0.07,0.08,0.2,0.05,0.03,0.06,0,-0.05
"19","9","    Nondurable goods","DNDGRY2",NA,2.21,0.67,-1.55,0.59,1.31,-0.79,1.42,0.24,0.13,-1.25,1.81,1.49,1.31,2.01,-2.56,2.06,-1.63,2.33,1.3,-0.9,2.53,1.93,1.65,0.68,0.46,-1,0.11,0.97,-0.35,1.32,1.79,1.08,1.89,0.64,2.02,1.08,-0.32,0.02,0.81,0.61,0.4,1.46,-0.62,-0.85,0.99,1.94,1.41,1.28,0.82,0.36,0.63,0.29,1.1,-0.57,0.08,0.6,1.35,0.08,1.34,0.81,0.39,0.74,0.53,0.53,0.33,0.87,-0.12,1.6,1.75,1.8,0.18,0.9,0.88,1.39,3.4,0.69,0.86,0.66,-0.25,1.01,0.67,-0.08,0.41,1.75,1.1,1.39,0.02,0.98,0.19,0.33
"20","10","      Food and beverages purchased for off-premises consumption","DFXARY2",NA,1.36,-0.17,-1.48,0.31,1.28,-1.32,1.16,0.1,0.01,-0.27,-0.05,1.37,0.24,0.13,-0.53,0.36,-0.08,1.02,-0.32,-0.25,1.52,0.78,0.46,1.16,0.09,-0.33,0.05,0.96,-0.13,1.21,0.91,0.35,0.81,0.42,0.77,0.77,-0.21,0.04,0.45,0.41,0.51,0.5,-0.11,-0.39,-0.07,0.5,0.64,0.94,0.33,0.3,0.32,-0.16,0.3,-0.28,-0.09,0.4,0.53,-0.09,0.23,-0.03,-0.05,0.37,-0.21,0.01,0.25,0.28,0.1,0.26,0.73,0.62,0.15,0.47,0.32,0.58,1.86,-0.18,0.1,0.12,-0.19,0.8,0.22,-0.21,0.52,0.48,0.71,0.69,0.13,0.49,-0.17,-0.03
"21","11","      Clothing and footwear","DCLORY2",NA,-0.37,0.45,-0.08,-0.33,0.14,0.25,0.63,0.07,-0.33,-0.98,1.1,0.01,0.5,0.97,-1.2,0.46,-0.98,0.46,0.28,-0.23,0.79,0.7,0.53,-0.82,0.55,-0.44,-0.33,0.22,-0.02,-0.09,0.52,0.29,0.62,-0.17,0.45,-0.01,0.06,0.19,-0.04,-0.27,-0.08,0.45,-0.5,-0.16,0.41,0.47,0.34,0.05,0.5,-0.15,0.19,0.07,0.14,-0.32,-0.07,0.18,0.2,0.16,0.53,0.1,0.21,0.09,0.15,-0.08,0.12,0.33,-0.17,0.76,0.49,0.28,0.19,0.02,-0.03,0.38,0.7,0.39,0.07,0.21,-0.16,0.01,0.14,0.08,-0.11,0.51,0.13,0.31,-0.13,0.18,0.07,0.1
"22","12","      Gasoline and other energy goods","DGOERY2",NA,0.37,0.12,-0.03,0.28,-0.02,0.04,-0.28,-0.29,0.08,-0.04,0.16,0.16,0.53,0.25,-0.32,0.39,-0.14,0.24,0.19,-0.09,0.09,0.13,0.1,-0.01,-0.07,0.11,-0.03,0.07,0.04,0.24,0.31,0.19,0.28,0.11,0.31,0.09,0,-0.17,0.24,0.14,-0.16,0.24,-0.03,0.08,0.37,0.21,0.08,-0.02,-0.01,-0.06,0,0.11,0.29,-0.21,0,-0.15,0.3,-0.26,0.03,0.32,0.03,-0.01,0.26,0.28,-0.12,-0.04,0.09,0.19,0.26,0.32,-0.04,-0.05,0.27,0.25,0.12,0.01,0.26,0.14,0.05,-0.02,0.1,-0.02,0.19,0.22,0.02,0.11,-0.02,0.22,0.13,0.03
"23","13","      Other nondurable goods","DONGRY2",NA,0.85,0.27,0.04,0.32,-0.09,0.24,-0.1,0.36,0.38,0.05,0.6,-0.05,0.05,0.65,-0.52,0.86,-0.42,0.62,1.15,-0.33,0.13,0.33,0.56,0.35,-0.12,-0.34,0.42,-0.29,-0.24,-0.04,0.04,0.26,0.17,0.28,0.5,0.23,-0.17,-0.03,0.16,0.33,0.14,0.27,0.02,-0.38,0.27,0.77,0.35,0.32,0,0.27,0.12,0.26,0.38,0.24,0.24,0.16,0.31,0.27,0.55,0.43,0.2,0.3,0.33,0.32,0.08,0.29,-0.14,0.38,0.27,0.59,-0.12,0.46,0.32,0.17,0.73,0.47,0.44,0.19,0.06,0.22,0.21,0.08,-0.2,0.55,0.25,0.29,0.04,0.08,0.16,0.22
"24","14","  Services","DSERRY2",NA,1.45,-0.25,-0.59,1.05,1.53,0.48,0.93,0.55,0.46,-0.3,0.23,1.38,2.66,1.59,0.58,2.64,0.62,1.19,0.18,1.2,1.52,1.32,1.49,1.06,1.21,0.61,-0.8,0.95,1.83,1.88,1.32,1.29,0.77,1.11,2.17,1.07,1.07,1.16,1.46,0.42,0.92,0.78,1.15,-0.16,1.7,1.73,0.96,1.82,1.97,1.66,1.43,1,1.23,-0.16,1.14,1.23,1.8,0.39,2.12,1.13,1.77,1.03,1.5,0.49,1.32,2.11,1.62,1.96,1.67,1.58,1.64,1.41,1.82,1.67,2.06,1.25,1.27,0.96,1.28,1.09,1.14,1.64,1.02,1.92,1.91,1.55,1.33,1.08,1.47,0.96
"25","15","    Household consumption expenditures (for services)","DHCERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,1.49,1.28,0.86,1.18,-0.17,1.18,1.28,1.65,0.33,2.01,1.08,1.82,1.08,1.55,0.48,1.21,1.97,1.49,1.76,1.63,1.58,1.64,1.43,1.71,1.51,1.93,1.2,1.32,1.02,1.33,1.01,1.03,1.46,0.87,1.87,1.92,1.54,1.32,1.09,1.45,0.91
"26","16","      Housing and utilities","DHUTRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.74,0.6,0.59,0.42,0.44,0.72,0.36,0.68,0.38,0.82,0.56,0.64,0.56,0.84,0.41,0.1,0.78,0.41,0.61,0.42,0.55,0.69,0.45,0.66,0.57,0.53,0.36,0.45,0.49,0.44,0.28,0.62,0.45,0.69,0.54,0.19,0.63,0.62,0.63,0.4,0.64
"27","17","      Health care","DHLCRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.05,-0.03,0.16,0.09,-0.32,0.25,0.14,0.36,0.1,0.2,0.3,0.34,0.36,0.31,0.18,0.12,0.09,0.23,0.54,0.54,0.49,0.28,0.25,-0.05,-0.27,-0.01,0.24,0.49,0.4,0.39,0.05,0.02,-0.02,0.04,0.41,0.6,0.38,0.41,0.28,0.21,0.1
"28","18","      Transportation services","DTRSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.14,0.09,0.04,0.02,0.02,0.01,-0.01,0.04,0.03,0.1,0.06,0.09,0.02,0.08,0.08,0.08,0.09,0.1,0.09,0.09,0.1,0.08,0.05,0.11,0.12,0.1,0.07,0.14,-0.01,0.19,0.08,0.02,0.1,0.08,0.13,0.11,0.13,0.11,0.12,0.11,0.11
"29","19","      Recreation services","DRCARY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,0.03,0.06,0.11,0.05,0.02,0.05,0.05,0.06,0.06,0.13,0,0.19,-0.11,0.07,0.07,0.02,0.24,-0.2,0.2,-0.05,0.04,0.18,0.03,-0.01,0.01,0.09,0.03,0.13,0.11,0.15,0.04,-0.12,0.21,-0.31,0.28,0.17,0.07,0.12,0.08,0.09,-0.06
"30","20","      Food services and accommodations","DFSARY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.33,0.18,-0.26,0.23,-0.21,0.02,0.12,-0.12,-0.03,0.26,0.15,0.15,0.17,0.18,0.03,0.05,0.03,0.2,0.35,0.19,0.12,0.12,0.35,0.43,0.22,0.3,0.28,0.03,0.09,-0.14,-0.12,-0.13,0.16,0.15,0.57,0.13,0.17,0.02,-0.01,0.33,-0.11
"31","21","      Financial services and insurance","DIFSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.16,0.18,0.01,0.15,0.03,-0.05,0.48,0.26,-0.29,0.12,-0.15,0.22,-0.09,0.05,-0.14,0.26,0.36,0.37,-0.06,0.16,0.27,0.01,0.17,0.18,0.2,0.4,0.08,-0.07,-0.12,-0.18,0.41,0.18,0.37,-0.04,-0.15,0.63,0.08,0.06,-0.29,0.14,0.07
"32","22","      Other services","DOTSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.04,0.21,0.21,0.23,-0.15,0.18,0.14,0.38,0.07,0.38,0.16,0.2,0.17,0.03,-0.14,0.58,0.38,0.38,0.03,0.27,-0.01,0.28,0.13,0.39,0.66,0.51,0.14,0.14,0.05,0.48,0.27,0.43,0.2,0.26,0.08,0.08,0.08,-0.02,0.28,0.17,0.15
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.17,0.15,0.14,0.05,0.01,-0.03,-0.06,0.14,0.05,0.11,0.05,-0.05,-0.05,-0.05,0.01,0.11,0.14,0.14,0.2,0.04,-0.01,0,-0.02,0.11,0.16,0.13,0.05,-0.05,-0.06,-0.05,0.07,0.11,0.17,0.15,0.05,0,0.01,0.01,-0.01,0.02,0.05
"34","24","      Gross output of nonprofit institutions \2\","DNPERY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.21,0.09,0.23,0.07,-0.29,0.14,0.01,0.58,0.07,0.23,0.17,0.05,0.08,0.07,0.16,0.27,0.24,0.26,0.42,0.14,0.07,0,0.21,0.27,0.3,0.27,0.24,0.17,0.04,0.08,0.17,0.31,0.34,0.29,0.19,0.28,0.08,0.21,0.18,0.19,0.13
"35","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRY2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.04,-0.05,0.09,0.02,-0.31,0.17,0.06,0.44,0.01,0.11,0.12,0.1,0.13,0.12,0.15,0.16,0.09,0.12,0.22,0.1,0.07,0,0.23,0.16,0.13,0.14,0.2,0.23,0.1,0.13,0.09,0.2,0.17,0.14,0.14,0.29,0.07,0.2,0.19,0.17,0.08
"36","26","Gross private domestic investment","A006RY2",NA,-4.78,-1.9,10.97,6.45,4.49,0.93,-3.09,-10.06,-8,5.04,-2.72,14.27,7.7,6.55,9.83,-9.01,1.74,-5.75,-5.67,1.49,-5.06,3.13,4.49,1.2,0.25,-1.3,-4.44,-0.21,0.02,3.04,2.89,6.51,4.05,0.94,1.37,-2.4,-0.79,-0.77,-0.68,-0.94,-0.08,1.41,-5.35,-4.27,-1.35,4.43,5.24,3.78,5.47,-4.52,2.06,6.67,-6.86,-0.4,-7.26,1.4,4.12,4.83,1.17,3.67,-0.54,1.11,-2.04,3.26,0.92,2.08,0.79,2.68,-0.24,1.48,0.47,6.32,-0.02,2.41,0.45,5.68,-1.22,-0.63,0.35,-1.77,-2.68,1.74,1.32,1.44,2.57,-2.06,0.63,4.13,-0.5,1.5
"37","27","  Fixed investment","A007RY2",NA,-1.44,2.04,5.47,2.36,0.18,-0.56,-0.74,-3.66,-1.91,-0.06,2.21,4.21,6.02,5.15,-1.44,-2.55,-2.93,-0.9,-0.51,0.82,0.91,-3.46,4.3,2.28,0.34,0.09,-0.53,-0.81,1.02,2.42,1.44,2.54,2.6,1.35,0,-1.47,0.41,-0.18,-0.46,-0.02,-0.59,0.64,-1.06,-3.54,-1.59,0.81,3.33,3.4,1.89,0.7,-0.79,2.09,-1.16,-1.53,-0.2,-0.69,0.83,1.33,1.87,1.18,1.67,0.45,-0.28,0.67,2.58,1.49,1.82,2.24,-0.16,0.95,0.44,2.75,1.7,1.67,1.39,2.28,-0.82,-0.03,-1.81,-1.34,1.43,0.56,1.78,1.43,-0.29,0.82,1.39,1.85,0.24,0.99
