"","Table 1#5#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","      Food services and accommodations","DFSARL1",1.9,4.6,-2.2,-9.8,13.6,7.5,13.7,13.4,0.8,8.9,5.8,11.2,10.1,18.5,14.2,12.5,-9.9,-12,-3.3,1.1,1,9.2,4.8,3.7,-0.3,2.5,2.9,1.2,-1.5,2.1,1,0.3,3.6,2.5,5.1,7.1,5,-1,6.2,2.2
"28","21","      Financial services and insurance","DIFSRL1",-8.6,-6.6,-4.3,7.3,-8.2,8.6,3.9,1.6,-3.2,2.7,0.3,2.1,-3.2,5.9,0.5,3.3,7.2,7.8,4.9,2.7,11.8,11.7,0.2,3.9,6.9,8.1,5.1,2.9,3.1,2,4,5.4,-0.2,3.5,7,6.6,3.4,5,5.2,1.4
"29","22","      Other services","DOTSRL1",-2.6,-6.4,-12.3,-7.6,7.2,5.4,8,6.5,-3.8,2,2.4,4.6,3.4,3.3,0.6,2.8,3.5,3.5,2.4,1.1,3.6,1.9,2.1,3.1,2.4,7.2,4.3,3.6,3.3,4.4,3.2,3.2,4,3.7,4.5,5.7,5.9,5.9,2.8,2.9
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRL1",4.7,2.3,-7.7,-8.7,-5.8,-1.4,1.5,-3.2,5.2,1.2,6.7,0.7,4.4,9.3,7.8,0.6,3.2,-7.7,1.4,0.7,1.1,-1.4,11.2,3.1,4.3,2.1,7.5,2,5.4,10.6,11.4,2.5,3,3.5,11.1,4.5,4,5.2,6.9,1.6
"31","24","      Gross output of nonprofit institutions \2\","DNPERL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,4.4,5.3,5.7,7.8,5.7,6.7,6.2,7.3,5.3
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,5.4,6.4,6.8,6.3,6.3,8,6.6,7.5,6.9
"33","26","Gross private domestic investment","A006RL1",-33.3,-37.2,-69.8,47.3,80.6,85.2,28.2,24.9,-33.9,28.6,39.3,22.1,-47.2,-41,23.5,32,156.4,-3.9,27.7,-23.7,41.2,0.3,-9.6,4.7,-4.6,24.3,-1.4,-4.4,-8.3,20.2,0,-0.7,12.7,6.7,8.2,14,8.8,-4.6,5.8,5.8
"34","27","  Fixed investment","A007RL1",-23.4,-30.7,-41.9,-11.6,29.3,29.6,33.2,17.2,-20.8,20,20.1,14.1,-43.6,-22.8,22.8,36.9,84.4,20.3,10.1,-8.6,19.4,-4.2,-1.9,7,1.6,13,0.4,-1.1,-7.2,14,0.9,-0.3,9,7.7,9.7,10.2,5.7,-1.8,7,6.2
"35","28","    Nonresidential","A008RL1",-17.6,-34.5,-40.1,-9.9,27.4,26.7,35.2,19.8,-26.7,11.6,23.8,17.7,-41.1,-16.4,32.8,40.5,47.5,16.4,5.2,-9.2,9.2,4.6,-1.9,9,-2.1,11.1,5.7,1.5,-11,8,5.7,-0.6,8.7,5.6,11.9,17.4,12.5,-1.3,4.5,7.6
"36","29","      Structures","A009RL1",-14.4,-35.6,-38.8,-22.4,12.7,10.9,31.3,26.8,-20,5.5,13.5,18.8,-38.2,-27.3,30.9,34.8,97.5,-9.1,5.2,-3.3,7.2,7.7,-0.4,8.9,3.4,7.2,10.5,-0.1,-5.5,2.4,8,1.4,4.6,1.2,10.4,15.9,6.8,-2.5,1.4,5.4
"37","30","      Equipment and software","A010RL1",-20.7,-33.3,-41.5,2.4,38.2,36.3,37.2,16.2,-30.4,15.4,29.6,17.3,-42.6,-10.2,33.7,43.2,24.7,35.9,5.3,-12.4,10.4,2.9,-2.9,9,-5.6,13.7,2.7,2.6,-14.6,11.9,4.2,-1.9,11.6,8.4,12.8,18.3,16,-0.7,6.2,8.8
"38","31","        Information processing equipment and software","A679RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,2.8,-10.9,11.5,9.6,15.6,9.7,-9.9,14.8,15.7,13.6,-10.9,9.3,22.7,9.7,11,18.4,14.7,18.7,31.8,7.3,6.4,21.6
"39","32","          Computers and peripheral equipment","B935RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,25,60
"40","33","          Software \4\","B985RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,38.5,102.8,24,28.2,54.7,17.3,12.4,34.5
"41","34","          Other","A937RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,2.8,-10.6,10.7,10.1,15.1,10.1,-10,14.9,15.8,13.2,-10.7,8.8,15,6.1,6.7,3.7,9.3,13.1,17.8,0.5,2.6,15.8
"42","35","        Industrial equipment","A680RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,-7.5,-22.9,15.5,12.3,3.9,10.1,3.1,-0.8,10.4,1.3,-16.7,1.5,7.8,-5.3,5.1,8,13,17.9,15,0.4,-2,6.6
"43","36","        Transportation equipment","A681RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,4.1,-0.6,10.7,-3.9,-17.4,19,-12.4,27.3,-10.1,6.9,-27.1,32.5,3,-5.5,23.3,-3.2,13.1,25.3,10,-3.3,20.2,4
"44","37","        Other equipment","A862RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,22.1,-15.8,5.7,0.5,1,-2.4,-5.9,17.4,3.2,-5.5,1.4,7.4,-8.2,-1,6.7,16.2,10.8,11.1,12.4,-5.5,1.2,6.8
"45","38","    Residential","A011RL1",-39.2,-16.4,-47.2,-18.3,36.8,39.9,26.6,8.7,0.5,41.7,12.8,6.3,-49.4,-40.6,-13.9,17.6,319.7,28.9,19.7,-7.6,36.8,-16.3,-1.8,3.5,8.3,16.2,-8.1,-6.1,1.1,25.4,-7.1,0.3,9.6,11.8,5.8,-2.9,-8.9,-3.1,13.6,3
"46","39","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","Net exports of goods and services","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","  Exports","A020RL1",-17.3,-16.9,-21.7,0.6,11.2,5.4,5,25.9,-1.1,5.6,13.8,2.5,-33.9,-15.7,7.4,40.1,116,14,-21.2,-0.9,-12.4,22.5,-4.3,-6.7,4.8,10.7,16.5,8.7,-13.5,10.3,17.4,0.5,5,7.2,11.8,2.8,6.9,2.3,7.9,4.8
"51","44","    Goods","A253RL1",-17.8,-17.3,-22.5,-0.4,10.2,4.8,5.2,25.7,1.6,5.5,14.9,2.6,-38.6,-21.9,7.3,50.1,131.1,15,-22.6,-0.6,-13.6,21.8,-5.2,-6.8,5.7,10.5,17.3,7.9,-15.2,-0.7,23.4,0.5,4.4,7.9,13.7,0.5,6.9,0.5,7.9,5.2
"52","45","    Services","A646RL1",-13,-14.1,-16.7,7.5,18,9.5,4.1,27.4,-15,5.8,7.9,2.4,-11.6,5.6,7.6,12.3,62.4,8.7,-12.7,-2.6,-6.4,26.4,-0.3,-6.4,1.3,11.4,13.1,12.4,-6.3,54.8,1.6,0.6,6.9,5.1,6,10.2,6.9,7.9,7.7,3.7
"53","46","  Imports","A021RL1",-13,-12.8,-17,4.2,2.1,31.1,-1.2,12.6,-22.3,5,2.4,23,-9.2,26.1,4.7,6.3,-17.1,-5.1,16.7,-3.6,18.2,3.9,8.8,9.4,-4.9,12,8.1,4.2,4.8,10.5,1.3,-0.7,11.4,2.7,5.3,10.6,14.9,7.3,14.9,5.7
"54","47","    Goods","A255RL1",-15.7,-12.7,-19.1,12.3,2.2,37.4,-3.7,11.8,-23.8,8.9,4.9,18.1,-30.6,15.7,3.7,-0.4,15.6,-4,14.6,-3.9,22.1,-2,2,5.8,-7.7,11.7,8.9,2.9,2.8,17.4,-1.7,-0.1,14.8,4,6.6,14.1,15.8,5.3,20.6,5.5
"55","48","    Services","A656RL1",-2.8,-13.1,-11.5,-15.9,1.8,7.4,10.9,15.6,-16.6,-6.7,-5.9,41.9,63,41.4,5.8,14.5,-52.2,-8,23.4,-2.4,6.3,27.2,30.4,18.2,1.1,12.9,6.5,6.9,8.6,-2,7.8,-1.7,4.7,-0.1,2.6,2.9,12.7,12.2,1.8,6.3
"56","49","Government consumption expenditures and gross investment","A822RL1",10.2,4.2,-3.3,-3.3,12.8,2.7,16.7,-4.2,7.7,8.8,2.8,66.2,135.3,48.8,12.5,-12.7,-65.6,-15.1,7.3,11.9,0.1,36.6,20.4,7.2,-6.8,-3.7,0.1,4.5,3.2,3.4,0.2,5,6.2,2.6,2.2,3,8.8,7.7,3.1,-0.2
"57","50","  Federal","A823RL1",10.8,3.4,2.3,23.7,34.2,1.8,51,-10,10.4,7.2,12,163.9,207.2,58.2,14.1,-14.1,-73.1,-26.1,7.9,9.7,-5.5,66,30.1,8.1,-13.1,-9,-1.7,3.6,0,3.1,-2.7,4.2,8.5,0.1,-1.3,0,11.1,10,0.8,-3.4
"58","51","    National defense","A824RL1",7.3,0.3,0.4,-3.1,-11.5,22.1,19.1,0.7,4.4,10.1,74.9,440.8,265.3,62.9,14.1,-13.9,-76.1,-32.6,0.9,5,-1.3,93.1,32.9,6.4,-14.3,-9.6,-0.7,4.2,-0.5,-2,-1.6,4.4,6,-2.4,-4,-2.1,14.3,13.1,1.6,-4.9
"59","52","      Consumption expenditures","A997RL1",4.3,-3.1,1.5,-6,-14.5,27.5,4.7,-2.8,6.5,12.2,55.2,306.2,264.5,84,23.6,-4.3,-69.8,-31.7,-4.4,0.1,2.2,70.2,29.3,4.5,-12.9,-6.5,0.2,6.8,-2.2,-7.6,1.2,2.5,6.9,1.1,-2.6,0.3,14.1,13.1,4.3,-3.9
"60","53","      Gross investment","A788RL1",81.3,54.3,-11.6,33,14,-11.5,147.8,13.6,-1.8,3.3,141.9,712.9,266,42.6,1.9,-30.8,-94,-46.1,94.3,46.2,-21.3,255.2,44.7,12.1,-18.5,-19.2,-4.3,-5.2,6.6,19.2,-9.9,10.9,3.5,-13.7,-9.2,-12.6,15.5,12.9,-12.3,-11.4
"61","54","    Nondefense","A825RL1",14.7,6.7,4.2,50.2,62.1,-5,64.5,-13.1,12.5,6.3,-8.5,-11,-20.2,-21.3,13.5,-23.1,43.8,17,37,24,-16,-15,12.1,20.8,-4.8,-5.7,-7.8,-0.8,3.1,36,-7.9,3,20.7,10.7,8.7,6.8,1,-0.9,-2.4,2.7
"62","55","      Consumption expenditures","A542RL1",9.6,-1.9,-10.6,50.3,76.6,-23.6,126.3,-14.3,16.1,10.9,-10.3,-28.5,-14,-26.8,48.4,-37,76.1,7.8,40.5,21.9,-22.4,-16.5,17.5,30.4,-3.8,-1.8,-12.2,-3.1,-0.1,44.6,-12.3,-1,21.8,8.9,7,4.6,0.5,4.6,0.1,5.2
"63","56","      Gross investment","A798RL1",36.3,37.6,46.8,50,37.4,34.8,-13,-9.1,0.5,-11,-0.2,55.8,-30.2,-9,-44.3,36.4,-38.7,98.9,21.9,34.2,13.6,-10.3,-2.9,-12.3,-9.8,-28.4,27.6,11.6,18.6,0.1,17.9,21,16.7,17.6,14.7,14.2,2.8,-18.8,-12.5,-9.2
"64","57","  State and local","A829RL1",10.1,4.3,-4.7,-10.4,5.1,3.2,0.6,0,5.9,9.9,-3.3,-6.3,-9.3,-9.1,-3.6,3.5,10,13.8,6.4,15.2,8.2,0.8,1.7,4.9,8.7,7.2,3.2,5.9,8.5,3.8,4.4,6.2,3.1,6,6.8,6.7,6.3,5.1,5.9,3.4
"65","58","    Consumption expenditures","A991RL1",6.5,5.8,1.5,-1.6,2.5,6.1,-18.6,8.4,0.6,6.2,5.8,3.6,2.4,-0.9,-2,2.4,3.1,6.7,1.1,8.9,6.2,-0.3,1.4,3.4,4.2,6.6,3.6,5.3,7.8,4.2,5.7,5.5,2.9,4.9,6.6,6.6,6.1,4.6,6.5,6.3
"66","59","    Gross investment","A799RL1",17,1.7,-18,-34.3,14.8,-5.9,67.4,-13.5,16.5,16.3,-18,-26.7,-41.2,-47,-17.8,15.9,79.2,53.6,26.7,35.1,13.5,3.5,2.4,8.7,19.4,8.6,2.4,7.2,9.9,2.9,1.3,7.8,3.6,8.8,7.2,7.1,6.7,6.2,4.5,-4.2
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
