"","Table 1#9#5# Net Value Added by Sector                          ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","A365RC1",8.2,6.2,5,3.4,3.6,3.6,5.9,5.3,7.1,5.3,5.1,5.2,7.6,11.6,13.8,13.7,14.3,16.9,17.8,20.5,15.7,16.7,19.3,18.3,16.1,15.5,14.6,14.2,14,16,14.2,15.1,15.2,15.3,15.2,14,16.3,16.9,15.9,16,18.1
"12","5","Households and institutions","W503RC1",7.9,7.4,6.6,5.7,5,4.8,4.9,5.1,5.4,5.5,5.6,5.8,6.1,6.9,7.6,8.5,9.3,9.8,10.6,11.7,12.8,14.3,15.9,17.8,20,21.9,24.2,26.2,28.6,31.2,34,37.6,40.1,43.6,46.4,49.4,52.9,57,61.4,66.2,72.8
"13","6","  Households","W504RC1",6.6,6.1,5.3,4.5,3.9,3.7,3.8,3.9,4.2,4.2,4.3,4.4,4.7,5.3,5.8,6.5,7.1,7.2,7.7,8.3,9,10.2,11.5,13,14.7,16.1,17.9,19.4,21,22.8,24.8,27.1,29,31.3,33.1,34.8,36.8,39,41.3,43.4,46.5
"14","7","  Nonprofit institutions serving households \3\","W505RC1",1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.8,2,2.1,2.5,3,3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18,20.2,22.8,26.3
"15","8","General government \4\","A194RC1",4.4,4.6,4.7,4.5,4.7,5.6,6,7.3,6.9,7.7,7.6,7.8,9.5,15.2,25.6,32.3,35.3,22.4,17.6,18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5
"16","9","  Federal","B568RC1",0.9,0.9,1,0.9,1.2,1.7,1.8,3.6,3.1,3.6,3.5,3.5,5.1,10.7,21,27.3,30,16.2,10.3,9.6,10.7,11.1,16.6,19.3,19.1,18.3,19,19.6,20.2,21.3,21.7,22.6,23.7,25.2,26.5,28.5,30,34.3,37.9,41.9,44.9
"17","10","  State and local","B251RC1",3.5,3.6,3.7,3.6,3.5,3.9,4.2,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.7,4.9,5.4,6.2,7.3,8.5,9.4,10.1,11.2,12.3,13.3,14.7,15.8,17.6,19.6,21.6,23.1,25.5,27.9,30.2,32.9,35.9,39.3,44.1,49.5,55.9,62.6
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1. Equals net domestic product excluding net value added of households",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","and institutions and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2. Equals net domestic business value added excluding net farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","3. Equals gross value added of nonprofit institutions excluding consumption of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","fixed capital on fixed assets owned and used by nonprofit instututions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","4. Equals compensation of general government employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
