"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RC1",8.9,7,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8
"12","5","Households and institutions","A193RC1",9,8.5,7.6,6.6,5.8,5.7,5.8,6,6.5,6.6,6.7,7,7.4,8.3,9.2,10.2,11,11.7,13.2,14.7,16,17.8,19.9,22.1,24.6,26.8,29.4,32,34.6,37.5,40.7,44.5,47.3,51,54.3,57.7,61.8,66.6,71.8,77.5,85.4
"13","6","  Households","B701RC1",7.4,6.9,6.1,5.2,4.5,4.4,4.5,4.7,5,5,5.2,5.4,5.7,6.5,7.1,7.9,8.6,8.8,9.7,10.6,11.6,13,14.6,16.4,18.3,20,22,23.9,25.8,27.8,30.1,32.6,34.6,37,39.1,41.2,43.6,46.2,49.1,51.9,56
"14","7","  Nonprofit institutions serving households \3\","B702RC1",1.5,1.6,1.5,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.3,2.5,2.9,3.5,4,4.4,4.8,5.3,5.7,6.3,6.8,7.4,8.1,8.9,9.7,10.6,12,12.8,14,15.2,16.5,18.2,20.4,22.7,25.6,29.4
"15","8","General government \4\","A765RC1",5.2,5.4,5.5,5.2,5.5,6.5,6.9,8.4,8.1,8.8,8.9,9.1,11.2,18.4,31.6,40.8,45.1,32.8,27.8,27.2,28.3,28.6,35.8,40.4,42.2,43.5,45.8,49.1,52.4,55.8,58.3,62,66,70.7,75.5,81.1,86.6,96.8,107,118.8,130
"16","9","  Federal","A766RC1",1.1,1.1,1.1,1.1,1.4,2,2.1,3.9,3.4,3.9,3.9,4,5.9,12.8,25.7,34.8,38.6,25.4,19,17,17.2,16.8,22.6,26,26.6,26.5,27.5,28.7,29.9,31.1,31.8,33,34.4,36.5,38.4,40.7,42.4,47.2,51.5,56.3,59.9
"17","10","  State and local","A767RC1",4.1,4.2,4.3,4.1,4.1,4.6,4.8,4.4,4.7,4.9,5,5.1,5.3,5.6,5.9,6.1,6.5,7.4,8.8,10.2,11.1,11.8,13.2,14.4,15.5,16.9,18.2,20.4,22.6,24.7,26.5,28.9,31.6,34.2,37.1,40.4,44.2,49.6,55.5,62.5,70
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009C1",9.7,9.4,8.8,7.8,6.8,6.4,6.5,6.6,7,7.5,7.6,7.8,8.3,9.2,9.7,10.2,10.6,11.1,12.1,13.5,14.9,16.5,18.5,20.8,23.2,25.3,27.1,29.1,31.5,33.9,37,39.9,42.8,46,48.9,51.6,54.9,58.2,62.1,65.9,71.3
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
