"","Table 2#4#3# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.836,0.885,0.922,1.054,1.199,1.262,1.359,1.484,1.568,1.69,1.837,1.9,1.998,2.098,2.718,3.224,3.824,4.756,5.439,6.204,6.561,6.907,7.513,8.287,9.951,12.078,14.535,17.955,22.124,28.828,37.254,45.724,52.879,62.632,71.51,84.487,100,119.087,138.408,152.283,161.635
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",7.345,7.341,7.577,9.399,9.862,10.637,11.855,13.991,15.024,16.344,16.786,17.263,17.377,16.98,17.594,20.189,21.781,23.769,27.391,29.494,31.651,32.437,32.024,33.834,37.098,40.114,42.33,44.91,46.86,51.919,60.121,69.12,74.549,79.895,84.989,92.446,100,110.201,118.493,117.373,114.218
"23","16","      Sports and recreational vehicles (79)","DWHLRA3",20.969,23.164,24.803,31.399,35.145,30.543,33.285,36.506,39.979,40.915,41.357,31.723,31.661,30.224,31.007,38.366,39.646,42.619,44.353,44.525,43.95,41.179,38.772,37.739,42.323,46.877,50.327,53.425,58.169,63.9,69.36,74.703,74.626,77.465,86.82,95.805,100,101.631,103.582,91.293,84.09
"24","17","      Recreational books (part of 90)","DRBKRA3",28.977,34.725,33.371,31.469,31.603,32.237,30.201,26.599,27.628,30.931,32.854,33.716,34.677,34.083,35.265,37.569,36.467,36.89,40.715,43.105,43.965,44.679,43.963,44.725,48.482,54.395,59.978,63.87,68.622,70.822,78.337,84.419,84.569,85.943,90.805,95.449,100,106.003,111.349,110.855,110.195
"25","18","      Musical instruments (part of 80)","DMSCRA3",18.424,18.502,18.129,19.927,21.959,22.282,22.816,24.229,24.577,25.278,25.881,24.419,23.326,21.082,23.463,25.381,28.02,30.208,31.99,33.435,33.206,34.705,36.766,36.5,39.487,44.339,48.804,51.003,53.58,58.323,66.68,80.758,83.096,87.357,88.173,96.505,100,108.947,115.43,109.62,96.838
"26","19","    Other durable goods","DODGRA3",19.12,20.049,20.966,22.11,25.114,26.353,27.881,30.701,32.449,34.225,33.78,30.897,31.359,31.414,34.236,38.129,40.985,45.664,47.306,48.894,49.515,49.771,47.608,48.572,51.02,53.358,54.604,58.232,61.147,67.153,75.167,81.846,80.088,85.383,89.825,94.638,100,103.712,104.899,101.041,98.669
"27","20","      Jewelry and watches (part of 119)","DJRYRA3",14.113,14.15,14.957,15.829,19.212,21.139,22.83,26.871,29.563,31.473,30.522,28.069,28.888,28.833,31.568,35.617,38.339,43.895,44.026,45.029,44.756,43.832,42.382,43.897,47.305,50.006,53.139,58.098,60.475,66.949,74.996,81.394,78.827,83.622,89.68,94.906,100,103.592,102.068,93.128,88.925
"28","21","      Therapeutic appliances and equipment (42)","DTAERA3",16.675,18.287,17.861,19.488,21.169,22.471,23.344,23.601,24.009,25.498,27.668,28.534,29.527,30.508,33.245,37.508,41.501,45.708,49.883,56.065,57.872,64.257,58.771,58.399,59.255,62.735,62.801,67.687,73.289,79.375,83.963,89.055,86.439,92.24,94.54,96.822,100,102.781,108.801,110.27,108.308
"29","22","      Educational books (96)","DEBKRA3",52.831,64.417,61.495,57.073,57.86,59.427,63.431,60.491,65.375,74.138,80.045,83.375,84.543,81.962,85.791,92.163,94.398,98.346,106.547,108.919,108.454,107.916,104.647,103.532,107.371,110.978,112.137,109.3,109.105,111.595,116.907,115.419,111.417,109.178,108.064,105.517,100,93.913,89.04,81.621,74.987
"30","23","      Luggage and similar personal items (part of 119)","DLUGRA3",35.522,37.303,41.25,43.637,47.218,45.545,46.95,49.674,49.467,49.29,44.36,32.803,29.914,29.081,33.072,36.622,39.83,43.913,46.189,43.394,45.173,41.412,40.942,42.361,43.696,42.798,39.915,40.395,42.293,48.075,60.561,71.064,68.657,75.464,78.906,86.285,100,105.611,102.867,102.506,101.905
"31","24","      Telephone and facsimile equipment (67)","DTCERA3",0.772,0.768,0.758,0.785,0.876,0.937,0.962,1.02,1.085,3.464,8.129,12.976,17.379,18.856,17.498,16.438,14.871,14.153,13.681,14.056,14.938,15.156,15.147,15.698,17.037,19.114,20.708,22.057,23.196,26.711,34.676,44.053,51.967,60.973,70.866,86.477,100,119.646,136.856,147.197,166.445
"32","25","  Nondurable goods","DNDGRA3",41.466,42.388,43.183,44.931,46.221,45.096,45.483,47.646,48.731,50.491,51.793,51.706,52.354,52.898,54.62,56.881,58.598,60.685,61.727,63.351,65.062,65.821,65.628,66.903,68.604,71.279,73.044,75.155,77.366,80.285,84.375,87.111,88.681,90.44,93.763,96.756,100,102.805,104.872,103.698,102.487
"33","26","    Food and beverages purchased for off-premises consumption","DFXARA3",59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,104.88,103.997,103.023
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRA3",64.294,65.624,65.767,66.666,64.816,62.847,64.025,67.243,67.831,67.38,68.082,68.596,68.179,69.477,71.267,72.993,75.056,76.606,76.28,78.518,79.447,80.837,81.652,81.967,82.467,84.443,84.606,85.091,85.532,86.272,89.538,91.152,92.089,92.291,94.286,96.455,100,102.527,103.961,103.002,102.178
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRA3",35.3,38.217,41.548,44.171,46.684,48.516,49.436,51.509,54.673,55.908,58.382,60.286,61.229,62.834,64.299,64.037,66.554,67.919,66.877,67.389,68.694,71.833,66.365,62.601,64.115,67.721,69.679,72.557,75.027,77.593,81.014,85.263,87.062,87.306,89.47,94.156,100,107.108,110.428,109.946,107.985
"36","29","      Food produced and consumed on farms (6)","DFFDRA3",609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,120.775,134.455
"37","30","    Clothing and footwear","DCLORA3",21.274,21.029,21.914,23.474,25.163,24.682,25.305,26.47,27.889,30.827,32.623,33.634,35.776,36.371,38.861,42.078,43.954,47.248,49.001,50.441,53.112,52.745,52.782,55.585,57.953,61.2,63.714,66.804,69.001,73.207,78.014,81.789,82.563,85.091,89.82,94.21,100,105.05,108.959,108.304,103.57
"38","31","      Garments","DGARRA3",19.718,19.681,20.562,22.041,23.666,23.351,24.128,25.241,26.616,29.422,31.214,32.303,34.44,35.315,37.826,41.217,43.02,46.227,47.868,49.404,51.972,51.451,51.766,54.825,57.25,60.383,62.958,65.913,68.098,72.138,76.62,80.339,81.212,83.97,88.922,93.61,100,105.112,109.211,108.761,104.237
"39","32","        Women's and girls' clothing (10)","DWGCRA3",17.633,17.625,18.528,19.532,20.872,20.612,21.377,22.342,23.463,26.157,27.95,29.264,31.724,32.931,35.79,39.492,41.575,45.432,46.703,47.873,50.572,49.617,49.938,53.23,55.3,57.571,60.052,62.968,64.464,69.119,74.838,79.628,80.789,83.942,88.648,93.293,100,104.645,108.655,109.089,104.417
"40","33","        Men's and boys' clothing (11)","DMBCRA3",23.598,23.239,24.281,26.543,28.505,28.075,29.093,30.351,32.243,34.971,36.452,36.982,38.353,38.313,40.325,43.162,44.589,46.933,49.14,51.217,53.691,54.188,54.625,57.59,60.602,65.28,68.11,71.493,74.767,77.551,80.118,82.147,82.133,84.025,89.475,94.087,100,105.893,109.903,107.985,103.764
"41","34","        Children's and infants' clothing (12)","DCICRA3",16.594,19.714,17.618,21.16,25.274,25.082,23.499,25.724,26.768,31.408,35.293,37.047,39.921,42.859,44.057,47.089,47.785,48.59,50.846,53.164,54.594,52.39,51.76,52.447,55.031,57.834,59.633,59.987,62.514,68.324,72.243,75.816,79.616,83.908,88.193,93.9,100,104.99,110.718,110.363,105.402
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRA3",29.693,28.212,29.087,31.063,33.067,31.628,31.308,32.742,34.362,37.975,39.749,40.325,42.471,41.622,43.99,46.279,48.526,52.255,54.584,55.51,58.698,59.133,57.721,59.186,61.25,65.056,67.259,71.003,73.256,78.27,84.67,88.711,88.986,90.39,94.049,97.011,100,104.768,107.816,106.244,100.593
"43","36","    Gasoline and other energy goods","DGOERA3",62.97,65.375,67.657,71.087,75.172,69.053,70.659,74.442,75.778,77,74.777,68.166,67.282,67.392,68.875,70.737,72.106,75.773,77.221,79.419,80.689,79.241,78.598,81.737,83.786,85.127,86.714,88.086,89.863,93.093,95.943,94.194,94.874,96.444,99.124,100.559,100,97.885,97.075,92.523,93.66
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRA3",50.227,53.336,55.919,58.198,61.224,58.209,59.942,62.34,64.25,65.731,64.85,61.148,62.074,62.848,64.251,66.27,67.572,70.855,72.752,74.71,76.382,75.742,74.968,78.035,79.99,80.985,82.399,84.145,86.7,90.242,92.844,92.087,92.866,94.257,97.35,99.398,100,98.258,97.523,93.499,93.477
"45","38","      Fuel oil and other fuels (29)","DFULRA3",284.105,264.827,256.569,282.755,306.41,240.295,238.605,266.582,257.235,253.75,229.356,175.621,146.523,136.912,139.63,139.215,141.619,151.172,145.69,151.596,146.422,132.333,133.739,137.902,141.384,148.365,152.77,147.819,137.042,135.181,141.946,124.651,123.886,128.1,124.57,116.951,100,92.878,91.067,79.92,94.962
"46","39","    Other nondurable goods","DONGRA3",31.739,32.796,32.935,34.531,36.869,36.741,35.547,37.044,37.625,40.288,42.622,43.369,44.349,44.191,45.314,47.785,49.069,50.177,52.032,53.225,55.007,56.406,56.096,57.229,59.309,62.309,64.855,67.732,71.457,75.305,79.975,84.071,86.802,89.666,93.711,97.012,100,103.714,106.806,107.058,105.867
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRA3",14.346,16.267,17.028,18.543,20.023,21.07,21.168,21.813,21.787,23.364,25.4,26.491,27.114,27.08,28.462,29.886,30.841,32.213,33.755,35.474,37.575,39.755,40.65,41.089,42.445,44.313,47.351,50.687,55.463,62.523,70.067,76.668,83.338,88.288,94.159,97.717,100,103.853,107.715,109.099,111.018
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRA3",13.188,13.681,14.058,15.079,16.786,17.91,18.091,19.586,20.429,22.054,23.373,23.45,24.425,25.031,26.66,28.734,30.329,31.455,33.767,35.472,37.866,39.873,41.056,43.342,46.003,49.042,51.597,54.013,56.925,61.907,69.056,75.028,78.525,83.937,88.521,92.816,100,105.971,112.307,113.547,113.369
"49","42","      Household supplies (parts of 32 and 36)","DHOURA3",37.1,37.241,36.387,38.044,41.546,39.597,35.845,36.147,36.477,39.329,42.387,43.55,44.547,44.588,46.022,48.986,50.075,52.302,52.941,54.992,55.737,56.759,56.994,59.845,63.513,68.23,70.662,73.845,77.31,78.753,82.183,82.923,83.426,85.371,91.031,95.756,100,104.336,107.918,106.612,102.045
"50","43","      Personal care products (part of 118)","DOPCRA3",28.098,29.138,29.55,30.973,33.646,33.883,33.249,34.636,37.159,39.416,41.207,41.534,41.632,40.665,42.411,45.523,47.604,49.677,52.394,53.847,55.382,56.798,56.383,56.672,59.315,62.701,66.282,70.394,74.122,77.564,82.254,86.295,88.627,91.434,94.163,96.307,100,104.151,106.667,107.871,104.864
"51","44","      Tobacco (127)","DTOBRA3",138.868,141.207,142.335,145.131,153.354,155.714,155.339,166.019,160.217,163.466,162.151,163.822,166.255,159.454,151.267,151.087,150.558,147.268,147.975,136.663,134.841,129.96,120.577,125.862,123.26,124.803,126.624,128.414,128.775,124.12,115.807,113.047,110.989,107.063,105.168,104.292,100,98.366,94.093,90.985,85.425
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRA3",47.614,48.085,46.266,49.352,52.456,49.214,47.316,49.396,51.548,58.605,64.456,65.009,65.187,64.45,64.966,68.925,68.977,70.305,74.121,78.92,81.569,84.602,82.42,80.385,82.208,85.327,85.104,85.244,86.923,87.859,90.947,94.301,90.641,89.161,91.185,96.063,100,104.132,107.586,107.219,102.936
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRA3",30.204,31.385,32.469,34.346,35.974,36.664,38.04,39.672,41.312,43.234,44.555,45.241,46.053,46.95,49.407,51.341,53.996,55.602,57.818,60.272,62.098,63.942,64.899,67.212,69.363,71.433,73.249,75.394,77.719,81.145,84.469,88.654,90.837,92.568,94.314,97.084,100,102.692,104.929,105.87,105.006
"55","48","  Household consumption expenditures (for services)","DHCERA3",31.638,32.858,33.97,35.931,37.683,38.456,39.944,41.64,43.397,45.405,46.787,47.457,48.21,48.929,51.333,53.153,55.854,57.332,59.552,61.875,63.526,65.06,65.771,67.766,69.828,71.786,73.559,75.633,78.236,81.552,84.802,88.914,90.921,92.376,93.997,96.896,100,102.412,104.559,105.155,104.448
"56","49","    Housing and utilities","DHUTRA3",35.085,36.432,38.001,40.033,41.905,43.886,45.291,46.573,47.87,50.148,51.929,53.611,54.498,54.861,56.08,58.067,60.266,61.552,63.423,65.557,67.238,68.444,69.974,71.374,73.265,75.977,78.016,79.71,81.524,84.011,86.665,89.312,91.702,92.366,93.515,95.573,100,102.14,102.749,103.524,104.682
"57","50","      Housing","DHSGRA3",33.069,34.287,35.89,37.77,39.647,41.766,42.96,44.176,45.265,47.526,49.457,51.091,52.386,52.697,53.765,55.989,58.177,59.732,61.464,63.359,65.007,66.64,68.15,69.943,71.458,74.371,76.556,78.044,80.22,82.822,85.687,88.356,91.334,91.757,92.787,95.127,100,102.873,103.324,104.585,105.941
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRA3",48.106,49.854,52.149,54.64,57.28,58.715,59.897,61.311,62.414,63.51,64.184,65.227,67.811,69.37,71.063,74.414,79.892,82.831,84.264,85.388,86.028,88.644,89.436,90.535,90.995,93.038,95.789,95.872,97.225,98.901,100.567,101.231,102.993,102.177,98.595,98.72,100,103.391,108.878,110.231,114.362
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRA3",28.475,29.593,31.079,32.865,34.61,36.933,38.145,39.347,40.48,43.115,45.432,47.271,48.29,48.308,49.266,51.25,52.658,53.901,55.739,57.859,59.78,61.182,62.895,64.91,66.722,69.91,71.992,73.848,76.237,79.076,82.256,85.271,88.623,89.377,91.552,94.283,100,102.799,102.138,103.406,104.078
"60","53","        Rental value of farm dwellings (22)","DFARRA3",59.023,59.158,59.297,59.547,59.581,60.308,60.635,60.924,61.573,62.06,61.991,62.214,62.058,61.704,61.41,61.17,60.915,60.776,60.897,60.633,60.782,61.047,61.067,60.981,60.764,61.039,61.107,61.411,63.256,65.236,67.088,78.406,77.88,77.661,79.388,91.235,100,99.909,91.356,91.08,90.726
"61","54","        Group housing (23)","DGRHRA3",294.158,293.633,281.515,272.044,271.399,288.022,302.103,292.663,251.604,211.89,191.1,165.785,147.847,141.305,115.594,117.399,106.319,93.916,89.857,97.549,105.505,113.924,119.197,104.497,108.924,107.448,112.16,120.443,118.247,124.15,124.892,124.051,118.906,108.004,107.702,103.687,100,100.388,104.001,105.302,106.49
"62","55","      Household utilities","DUTLRA3",45.851,47.965,49.167,52.059,53.757,54.761,57.349,58.969,61.361,63.722,64.718,66.66,65.613,66.223,68.155,69.158,71.468,71.521,74.11,77.492,79.361,78.32,79.964,79.294,83.169,84.841,86.11,88.921,88.773,90.614,92.048,94.556,93.631,95.671,97.51,97.976,100,98.384,99.786,98.172,98.359
"63","56","        Water supply and sanitation (25)","DWRSRA3",39.32,41.769,42.494,46.181,48.489,50.675,51.26,50.702,50.806,51.403,54.817,57.318,57.004,56.624,58.711,62.688,67.116,71.281,74.337,76.197,79.039,79.349,78.203,76.733,80.41,84.038,87.185,90.021,92.006,93.483,96.456,97.428,98.337,99.32,100.533,99.654,100,103.157,103.465,103.097,101.483
"64","57","        Electricity and gas","DELGRA3",47.281,49.309,50.624,53.302,54.839,55.557,58.587,60.681,63.573,66.326,66.777,68.602,67.41,68.212,70.119,70.541,72.426,71.605,74.088,77.84,79.465,78.067,80.483,80.045,83.979,85.041,85.705,88.507,87.653,89.618,90.5,93.558,92.009,94.412,96.47,97.402,100,96.819,98.576,96.559,97.351
"65","58","          Electricity (27)","DELCRA3",33.326,35.343,36.664,38.842,41.223,42.23,45.055,47.168,51.473,53.961,54.965,57.4,57.023,57.433,61.003,61.503,63.597,64.226,67.215,70.063,71.055,71.561,73.626,72.353,76.485,78.078,79.136,80.431,80.192,85.904,86.74,89.719,88.047,92.126,93.717,95.59,100,97.716,98.994,97.571,95.797
"66","59","          Natural gas (28)","DGHERA3",98.405,99.751,100.598,104.769,101.709,100.708,103.618,105.012,101.479,104.862,103.227,102.78,98.847,100.921,97.84,98.042,99.293,93.834,94.514,101.243,105.012,96.903,100.448,103.124,106.106,105.247,104.442,112.665,109.662,98.722,99.727,102.944,101.751,99.461,102.768,101.413,100,94.861,97.737,94.349,101.689
"67","60","    Health care","DHLCRA3",29.284,30.856,33.076,35.341,37.883,39.185,41.203,43.007,45.092,47.159,48.747,50.149,52.567,52.694,54.268,55.147,56.831,58.605,61.042,63.442,64.167,66.327,67.598,69.639,69.992,70.54,72.001,73.49,75.771,78.233,79.455,82.186,86.283,91.365,93.424,96.405,100,101.828,104.227,107.148,109.457
"68","61","      Outpatient services","DOUTRA3",23.061,24.105,24.417,25.792,28.35,28.924,30.022,30.656,32.153,32.968,34.126,35.3,37.85,37.839,40.18,42.23,44.48,46.238,49.913,52.946,54.564,58.074,59.98,63.245,63.555,64.245,66.468,68.298,69.912,72.156,73.553,77.024,81.385,86.792,91.175,95.61,100,102.574,104.994,108.427,109.854
"69","62","        Physician services (44)","DPHYRA3",28.5,29.939,30.718,32.316,34.707,35.1,36.16,35.669,37.491,38.13,39.646,41.738,44.338,44.37,46.335,48.196,50.475,51.841,56.072,59.361,59.942,61.827,62.772,64.673,62.571,61.868,62.92,64.434,66.168,68.564,70.422,74.815,79.11,85.464,91.037,95.349,100,103.343,104.441,108.349,109.59
"70","63","        Dental services (45)","DDENRA3",42.082,44.886,44.477,46.947,53.096,54.377,55.786,58.931,60.952,62.878,62.849,62.787,67.3,67.304,68.517,69.194,71.298,72.482,75.023,74.632,75.062,75.326,73.747,76.376,76.372,77.836,79.824,80.356,81.828,84.185,86.114,89.516,93.81,97.894,97.221,99.559,100,99.901,101.083,100.88,98.445
"71","64","        Paramedical services (46)","DPMSRA3",9.292,9.257,9.17,9.866,11.435,11.997,12.986,14.295,15.125,15.799,16.729,16.966,18.735,18.664,21.689,24.284,26.431,28.815,31.883,35.463,38.946,45.834,50.256,55.807,60.081,62.783,66.993,69.767,71.22,73.161,73.611,75.601,80.076,84.47,88.952,94.405,100,102.516,107.51,111.822,115.273
"72","65","      Hospital and nursing home services","DHPNRA3",35.534,37.709,42.405,45.724,48.047,50.239,53.353,56.617,59.347,62.971,65.027,66.642,68.752,69.047,69.642,69.108,70.084,71.836,72.735,74.332,74.023,74.661,75.243,75.999,76.395,76.796,77.472,78.611,81.565,84.243,85.28,87.24,91.056,95.799,95.568,97.155,100,101.136,103.516,105.969,109.076
"73","66","        Hospitals (51)","DHSPRA3",37.502,39.646,44.428,47.979,50.268,52.719,56.141,59.768,62.599,66.355,68.695,70.258,72.673,73.287,72.851,71.471,72.115,73.494,74.595,75.372,74.385,73.882,74.269,74.607,74.683,74.939,75.016,75.923,78.816,81.543,83.085,85.419,89.956,95.396,94.807,96.81,100,101.553,104.168,106.838,110.579
"74","67","        Nursing homes (52)","DNRSRA3",25.895,27.983,31.982,34.24,36.47,37.614,39.439,41.205,43.367,46.246,47.15,48.828,49.675,48.729,53.483,56.562,58.956,62.327,62.274,67.727,70.781,77.323,78.948,82.055,84.326,85.582,89.785,92.239,95.482,97.864,96.248,96.281,96.515,97.852,99.394,98.893,100,99.023,100.206,101.571,101.507
