"","Table 3#9#6# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"15","8","    Gross investment","A787RX1",79.9,81.7,75.8,79.5,84.1,82,84.1,93.8,99.9,105.5,110.5,118.5,123.6,138.5,145.9
"16","9","      Structures","A801RX1",25.8,25.1,22.5,22.6,21.2,17.2,16.4,18.7,20.4,17.7,15.7,16.3,18.6,19.1,23.6
"17","10","      Equipment and software","A872RX1",57.1,59.1,55.4,58.9,64.3,65.2,68,75.5,80,87.9,94.7,102.2,104.9,119.4,121.9
"18","11","  National defense","A824RX1",476.8,470.4,457.2,447.5,455.8,453.5,470.7,505.3,549.2,580.4,589,598.4,611.8,657.7,693
"19","12","    Consumption expenditures","A997RX1",424.5,418.5,412.2,401.2,407.6,403.9,418.5,445.8,484.1,509.4,514.8,519.1,528,562.1,591.7
"20","13","    Gross investment","A788RX1",52.8,52.3,46.8,47.5,49.3,50.3,52.7,59.6,65.3,71.1,74.2,79.4,84,96.1,101.9
"21","14","      Structures","A808RX1",10.1,9.2,8.7,8.1,7.2,6.9,6.5,7,8.5,7.8,7.5,7.5,8.8,9.6,13.5
"22","15","      Equipment and software","A873RX1",43.7,43.8,38.9,40.1,42.4,43.6,46.3,52.7,57,63.3,66.8,71.9,75.1,86.5,87.9
"23","16","  Nondefense","A825RX1",227.5,225.7,231.9,233.7,238.7,244.4,255.5,273.9,281.7,284.6,287.3,296.6,294.2,314,334.6
"24","17","    Consumption expenditures","A542RX1",201.2,196.2,203.2,201.2,202.9,212.4,224.2,239.7,247.1,250.2,251,257.5,254.7,271.8,290.6
"25","18","    Gross investment","A798RX1",27.1,29.3,29,32,34.8,31.6,31.3,34.2,34.6,34.4,36.3,39.1,39.5,42.3,44
"26","19","      Structures","A830RX1",15.7,15.9,13.8,14.5,14,10.4,9.8,11.8,11.9,9.9,8.3,8.8,9.8,9.5,10.1
"27","20","      Equipment and software","B880RX1",13.7,15.5,16.6,18.7,21.7,21.5,21.6,22.7,23,24.6,28,30.3,29.7,32.9,33.9
"28","21","State and local","A829RX1",1183.6,1211.1,1254.3,1303.8,1361.8,1400.1,1452.3,1500.6,1499.7,1497.1,1493.6,1507.2,1528.1,1532.6,1518.8
"29","22","  Consumption expenditures","A991RX1",983,1001,1027.7,1070.8,1109.5,1133.7,1172.6,1211.3,1207.5,1207.4,1212,1220.7,1239.8,1240.2,1232.1
"30","23","  Gross investment","A799RX1",201.9,211.1,227.1,233.7,252.7,266.6,279.7,289.4,292.2,289.8,281.6,286.4,288.3,292.3,286.8
"31","24","    Structures","A842RX1",175.4,184.3,196.7,196.5,210.9,222.2,234.8,244.2,245.5,241.3,230.8,231.4,227.6,229.3,225.4
"32","25","    Equipment and software","B881RX1",29.1,29.9,33.1,37.7,41.8,44.3,45.3,45.8,47.2,48.6,50.8,55.2,61.6,64.2,62.5
"33","26","Residual","A979RX1",-7.5,-6.4,-7.1,-3.8,-1.9,-1.1,-1.3,-1.4,-1.3,-0.5,-0.1,-0.3,-0.9,-3.4,-5.1
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index and the 2005 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
