"","Table 1#1#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"13","3","  Goods","DGDSRY2",NA,2.95,1.21,0.84,0.5,1.66,-0.1,0.94,-0.39,3.18,0.46,3.11,2.73,1.44,12.1,-8.46,3.81,-7.65,1.75,1.16,-0.87,3.07,-0.22,7.35,1.87,0.16,-1.33,-1.02,-0.28,1.22,1.4,3.92,4.41,3.99,1.94,0.99,-0.68,-0.26,-0.63,1.98,1.26,-0.49,1.23,-1.01,-3.14,0.48,2.64,2.6,3.04,2.11,1.03,-1.1,1.45,1.9,-0.84,-0.78,-1.28,2.03,0.87,2.93,1.54,1.28,0.99,2.01,1.22,1.08,1.31,0.43,2.98,2.68,3,-0.94,4.22,0.95,2.65,4.97,2.47,-0.63,1.83,-0.26,0.33,2.16,-0.37,0.5,3.97,1.89,3.05,-0.2,1.69,0.09,0.22
"14","4","    Durable goods","DDURRY2",NA,0.75,0.54,2.4,-0.09,0.35,0.69,-0.48,-0.63,3.05,1.71,1.3,1.24,0.13,10.09,-5.9,1.75,-6.02,-0.58,-0.14,0.03,0.54,-2.16,5.7,1.2,-0.29,-0.33,-1.13,-1.25,1.57,0.08,2.14,3.33,2.1,1.29,-1.03,-1.76,0.06,-0.66,1.17,0.65,-0.89,-0.23,-0.39,-2.29,-0.51,0.7,1.19,1.76,1.29,0.66,-1.73,1.16,0.8,-0.27,-0.86,-1.88,0.67,0.79,1.59,0.72,0.89,0.25,1.48,0.7,0.75,0.44,0.55,1.38,0.93,1.2,-1.11,3.32,0.07,1.26,1.57,1.77,-1.5,1.17,-0.01,-0.68,1.5,-0.29,0.09,2.22,0.79,1.65,-0.22,0.71,-0.1,-0.11
"15","5","    Nondurable goods","DNDGRY2",NA,2.21,0.67,-1.55,0.59,1.31,-0.79,1.42,0.24,0.13,-1.25,1.81,1.49,1.31,2.01,-2.56,2.06,-1.63,2.33,1.3,-0.9,2.53,1.93,1.65,0.68,0.46,-1,0.11,0.97,-0.35,1.32,1.79,1.08,1.89,0.64,2.02,1.08,-0.32,0.02,0.81,0.61,0.4,1.46,-0.62,-0.85,0.99,1.94,1.41,1.28,0.82,0.36,0.63,0.29,1.1,-0.57,0.08,0.6,1.35,0.08,1.34,0.81,0.39,0.74,0.53,0.53,0.33,0.87,-0.12,1.6,1.75,1.8,0.18,0.9,0.88,1.39,3.4,0.69,0.86,0.66,-0.25,1.01,0.67,-0.08,0.41,1.75,1.1,1.39,0.02,0.98,0.19,0.33
"16","6","  Services","DSERRY2",NA,1.45,-0.25,-0.59,1.05,1.53,0.48,0.93,0.55,0.46,-0.3,0.23,1.38,2.66,1.59,0.58,2.64,0.62,1.19,0.18,1.2,1.52,1.32,1.49,1.06,1.21,0.61,-0.8,0.95,1.83,1.88,1.32,1.29,0.77,1.11,2.17,1.07,1.07,1.16,1.46,0.42,0.92,0.78,1.15,-0.16,1.7,1.73,0.96,1.82,1.97,1.66,1.43,1,1.23,-0.16,1.14,1.23,1.8,0.39,2.12,1.13,1.77,1.03,1.5,0.49,1.32,2.11,1.62,1.96,1.67,1.58,1.64,1.41,1.82,1.67,2.06,1.25,1.27,0.96,1.28,1.09,1.14,1.64,1.02,1.92,1.91,1.55,1.33,1.08,1.47,0.96
"17","7","Gross private domestic investment","A006RY2",NA,-4.78,-1.9,10.97,6.45,4.49,0.93,-3.09,-10.06,-8,5.04,-2.72,14.27,7.7,6.55,9.83,-9.01,1.74,-5.75,-5.67,1.49,-5.06,3.13,4.49,1.2,0.25,-1.3,-4.44,-0.21,0.02,3.04,2.89,6.51,4.05,0.94,1.37,-2.4,-0.79,-0.77,-0.68,-0.94,-0.08,1.41,-5.35,-4.27,-1.35,4.43,5.24,3.78,5.47,-4.52,2.06,6.67,-6.86,-0.4,-7.26,1.4,4.12,4.83,1.17,3.67,-0.54,1.11,-2.04,3.26,0.92,2.08,0.79,2.68,-0.24,1.48,0.47,6.32,-0.02,2.41,0.45,5.68,-1.22,-0.63,0.35,-1.77,-2.68,1.74,1.32,1.44,2.57,-2.06,0.63,4.13,-0.5,1.5
"18","8","  Fixed investment","A007RY2",NA,-1.44,2.04,5.47,2.36,0.18,-0.56,-0.74,-3.66,-1.91,-0.06,2.21,4.21,6.02,5.15,-1.44,-2.55,-2.93,-0.9,-0.51,0.82,0.91,-3.46,4.3,2.28,0.34,0.09,-0.53,-0.81,1.02,2.42,1.44,2.54,2.6,1.35,0,-1.47,0.41,-0.18,-0.46,-0.02,-0.59,0.64,-1.06,-3.54,-1.59,0.81,3.33,3.4,1.89,0.7,-0.79,2.09,-1.16,-1.53,-0.2,-0.69,0.83,1.33,1.87,1.18,1.67,0.45,-0.28,0.67,2.58,1.49,1.82,2.24,-0.16,0.95,0.44,2.75,1.7,1.67,1.39,2.28,-0.82,-0.03,-1.81,-1.34,1.43,0.56,1.78,1.43,-0.29,0.82,1.39,1.85,0.24,0.99
"19","9","    Nonresidential","A008RY2",NA,-0.56,-0.67,1.44,2.65,-1.23,0.2,1.04,-1.98,-1.56,-1.82,-0.5,1.26,3.34,3.51,-0.06,-1.1,0.51,0.48,-0.68,0.3,0.54,-3.24,3.16,1.94,0.27,0.87,-0.37,-1.02,-0.3,1.08,-0.02,0.74,2.26,1.9,1.03,-0.84,0.57,0.27,-0.11,0.28,-0.1,0.9,-1.03,-2.82,-1.63,-0.53,1.3,1.07,1.09,1.13,-0.15,1.46,0.6,-0.94,-0.18,-0.76,0.76,0.3,1.2,0.82,1.06,0.46,-0.25,-0.04,1.14,1.1,1.19,0.93,0.94,1.28,0.81,2.68,1.54,1.58,1.8,1.86,0.65,0.52,-0.11,-0.91,-0.15,-0.21,0.84,1.32,-0.72,0.52,1.18,1.22,0.44,1.13
"20","10","      Structures","A009RY2",NA,-0.05,0.14,-0.12,0.39,0.49,0.51,0.28,-0.22,-0.27,-0.54,-0.28,0.75,0.74,0.81,0.33,-0.02,0.46,-0.07,-0.48,0.12,0.17,0.15,0.54,0.39,0.27,0.1,0.31,0.24,0.17,0.02,-0.03,0.46,0.34,0.43,0.28,0.35,0.47,0.02,-0.09,-0.16,-0.02,0,-0.08,-0.28,-0.51,-0.34,0.23,-0.06,0.43,0.42,-0.11,0.61,0.18,0.03,0.56,-0.07,-0.25,0.01,-0.07,0.26,0.51,0.38,-0.35,-0.48,0.64,0.1,0.28,0.36,0.47,0.47,0.12,0.77,1.06,0.18,0.74,0.4,-0.31,0.35,-0.55,0.16,-0.44,0.16,0.02,0.3,-0.12,-0.1,0.3,0.23,0.12,0.71
"21","11","      Equipment and software","A010RY2",NA,-0.51,-0.81,1.56,2.26,-1.72,-0.31,0.76,-1.76,-1.29,-1.27,-0.22,0.51,2.59,2.7,-0.39,-1.07,0.06,0.55,-0.2,0.18,0.37,-3.39,2.62,1.55,0.01,0.77,-0.68,-1.26,-0.48,1.07,0.01,0.28,1.92,1.47,0.76,-1.19,0.1,0.25,-0.02,0.45,-0.08,0.89,-0.95,-2.55,-1.12,-0.19,1.08,1.13,0.66,0.71,-0.04,0.85,0.42,-0.97,-0.74,-0.69,1.01,0.29,1.27,0.55,0.55,0.09,0.1,0.44,0.5,1,0.91,0.57,0.47,0.81,0.69,1.91,0.48,1.41,1.06,1.46,0.96,0.16,0.43,-1.07,0.29,-0.37,0.82,1.02,-0.6,0.62,0.88,0.98,0.32,0.43
"22","12","    Residential","A011RY2",NA,-0.88,2.71,4.03,-0.29,1.41,-0.76,-1.77,-1.68,-0.34,1.76,2.71,2.95,2.68,1.63,-1.38,-1.45,-3.44,-1.39,0.17,0.52,0.37,-0.22,1.14,0.34,0.06,-0.78,-0.17,0.22,1.33,1.34,1.46,1.8,0.35,-0.56,-1.03,-0.63,-0.16,-0.45,-0.35,-0.3,-0.48,-0.26,-0.03,-0.72,0.05,1.34,2.03,2.33,0.8,-0.43,-0.64,0.63,-1.76,-0.6,-0.02,0.07,0.07,1.02,0.66,0.36,0.62,-0.02,-0.03,0.71,1.44,0.39,0.63,1.31,-1.1,-0.34,-0.37,0.08,0.15,0.08,-0.41,0.42,-1.47,-0.55,-1.7,-0.43,1.57,0.77,0.93,0.11,0.43,0.3,0.21,0.64,-0.19,-0.14
"23","13","  Change in private inventories","A014RY2",NA,-3.34,-3.94,5.5,4.08,4.31,1.49,-2.35,-6.4,-6.1,5.1,-4.92,10.06,1.69,1.41,11.27,-6.46,4.66,-4.85,-5.16,0.67,-5.97,6.59,0.19,-1.08,-0.09,-1.39,-3.9,0.6,-1.01,0.62,1.45,3.97,1.45,-0.41,1.37,-0.93,-1.2,-0.59,-0.22,-0.92,0.51,0.77,-4.28,-0.72,0.24,3.62,1.9,0.38,3.59,-5.22,2.85,4.58,-5.7,1.14,-7.06,2.08,3.29,3.5,-0.69,2.49,-2.22,0.66,-1.76,2.59,-1.66,0.58,-1.03,0.44,-0.08,0.54,0.03,3.57,-1.72,0.74,-0.94,3.4,-0.4,-0.6,2.16,-0.43,-4.11,1.18,-0.45,0.01,2.87,-2.88,-0.76,2.28,-0.75,0.51
"24","14","Net exports of goods and services","A019RY2",NA,-0.71,-0.17,-4.33,-3.06,-3.07,-0.33,-0.6,2.91,0.03,-1.34,-2.92,-0.58,-0.5,-2.83,1.27,0.82,2.38,2,0.15,-0.78,-2.28,-2.47,-1.31,0.25,-0.72,0.69,0.25,0.14,0.69,0.37,0.49,-0.41,-1.42,0.71,-0.58,0.07,1.28,0.44,1.68,-0.01,-0.82,-0.26,-0.63,-2.11,-0.65,0.29,-1,0.55,-0.32,0.35,-0.03,1.69,1.17,0.02,1.25,-0.07,-0.48,-1.18,0.22,-0.56,1.51,-1.39,-0.63,0.86,1.88,-1.53,1.04,1.29,-0.02,-0.6,0.17,-1.65,1.67,-1.31,0.64,-0.82,0.44,-1.82,0.48,0.13,-0.03,-0.75,-0.41,-0.54,0.12,0.01,-0.1,-0.57,0.5,-0.25
"25","15","  Exports","A020RY2",NA,-0.44,-1.73,-3.62,-1.36,-2.43,0.49,-0.81,2.49,-0.16,-1.9,-2.71,-0.21,0.24,0.45,1.31,0.84,1.82,0.51,-0.18,1.16,-2.25,-1.39,0.2,-0.18,0.16,0.67,-0.54,-0.75,2.17,-0.6,0.72,0.58,-0.45,1.06,0.05,0.82,1.23,0.64,0.91,1.36,-0.63,-0.57,-0.57,-1.89,0.12,0.1,-0.01,1.16,0.63,0.58,-0.48,2.29,1.26,-0.53,0.43,-0.14,-0.28,-0.1,0.62,-0.05,1.87,-1.17,-0.42,0.45,2.26,-1.11,0.98,1.26,0.35,-0.16,0.62,-2.29,3.58,-1.25,1.49,-0.36,0.89,-0.8,0.67,0.41,-0.2,-0.51,0.58,0.6,0.42,1.22,-0.27,-2.52,4.08,-0.53
"26","16","    Goods","A253RY2",NA,-0.82,-1.65,-3.45,-1.11,-2.28,0.44,-0.8,2.3,-0.27,-1.53,-2.34,-0.42,0.19,0.48,1.14,0.59,1.55,0.41,-0.31,0.98,-2.09,-1.06,0.26,-0.44,0.25,0.65,-0.49,-0.75,2.19,-0.77,0.71,0.5,-0.48,0.85,0.02,0.76,1.05,0.59,0.75,1.18,-0.58,-0.58,-1.06,-1.13,-0.13,0.11,-0.15,-0.74,0.36,1.24,-0.63,2.12,0.73,0.28,0.03,0.1,-1.1,0.77,0.28,-0.18,0.95,0.03,-0.78,0.06,1.47,0.28,0.72,0.72,-0.02,0.44,0.33,-2.41,2.63,-0.51,1.3,-0.17,-0.27,0.05,0.33,-0.06,-0.03,-0.24,0.26,0.51,0.23,1.05,-0.39,-2.06,3.48,-0.41
"27","17","    Services","A646RY2",NA,0.38,-0.08,-0.17,-0.24,-0.15,0.05,-0.01,0.19,0.1,-0.36,-0.38,0.21,0.05,-0.03,0.18,0.24,0.26,0.1,0.13,0.19,-0.16,-0.33,-0.05,0.26,-0.09,0.02,-0.05,0.01,-0.02,0.17,0.01,0.07,0.03,0.2,0.03,0.06,0.19,0.05,0.16,0.17,-0.05,0.01,0.49,-0.75,0.25,-0.01,0.15,1.9,0.27,-0.65,0.15,0.17,0.52,-0.8,0.4,-0.25,0.82,-0.88,0.34,0.14,0.92,-1.2,0.36,0.4,0.79,-1.39,0.27,0.54,0.37,-0.59,0.3,0.12,0.95,-0.74,0.19,-0.19,1.16,-0.85,0.34,0.47,-0.16,-0.28,0.32,0.09,0.19,0.17,0.12,-0.46,0.6,-0.12
"28","18","  Imports","A021RY2",NA,-0.27,1.56,-0.72,-1.7,-0.64,-0.82,0.21,0.42,0.19,0.56,-0.2,-0.37,-0.75,-3.29,-0.04,-0.01,0.57,1.49,0.33,-1.94,-0.03,-1.08,-1.52,0.43,-0.88,0.03,0.79,0.88,-1.49,0.97,-0.23,-0.98,-0.97,-0.34,-0.63,-0.75,0.05,-0.2,0.77,-1.36,-0.19,0.31,-0.07,-0.22,-0.77,0.19,-0.99,-0.61,-0.94,-0.23,0.45,-0.6,-0.09,0.55,0.82,0.07,-0.2,-1.07,-0.4,-0.51,-0.37,-0.21,-0.21,0.4,-0.39,-0.42,0.06,0.03,-0.37,-0.44,-0.45,0.65,-1.91,-0.07,-0.85,-0.45,-0.45,-1.02,-0.2,-0.28,0.17,-0.24,-0.99,-1.14,-0.31,-1.21,0.17,1.95,-3.58,0.28
"29","19","    Goods","A255RY2",NA,-0.23,1.46,-0.14,-1.6,-0.47,-0.29,-0.03,0.21,0.27,0.23,-0.37,-0.26,-0.64,-3.12,0.26,0.29,0.63,1.95,0.83,-1.6,-0.23,-0.48,-0.78,0.25,-0.66,0.32,0.93,0.33,-1.14,0.91,0,-1.16,-0.18,-0.1,-1.13,-0.53,0.35,0.07,-0.16,-0.31,-0.2,0.17,-0.55,0.52,-0.26,-0.21,-0.98,-0.84,-0.88,-0.2,0.44,-0.18,-0.12,0.67,0.55,0.1,-0.19,-1.12,-0.28,-0.41,-0.35,-0.21,0.02,0.15,-0.38,-0.29,0.03,0.1,-0.38,-0.43,-0.39,0.57,-1.75,-0.11,-0.61,-0.33,-0.2,-0.83,-0.14,-0.02,0.41,-0.09,-1.19,-1.1,-0.36,-1.01,0.25,1.94,-3.4,0.33
"30","20","    Services","A656RY2",NA,-0.04,0.1,-0.57,-0.1,-0.17,-0.53,0.24,0.2,-0.08,0.33,0.16,-0.12,-0.11,-0.17,-0.3,-0.31,-0.06,-0.45,-0.5,-0.34,0.2,-0.59,-0.73,0.18,-0.22,-0.29,-0.14,0.55,-0.34,0.06,-0.23,0.18,-0.79,-0.24,0.5,-0.22,-0.3,-0.28,0.93,-1.05,0.01,0.14,0.48,-0.75,-0.5,0.4,-0.02,0.23,-0.06,-0.03,0.01,-0.42,0.03,-0.13,0.28,-0.03,-0.01,0.05,-0.13,-0.1,-0.01,-0.01,-0.23,0.25,-0.01,-0.13,0.03,-0.07,0.02,-0.02,-0.07,0.08,-0.16,0.04,-0.24,-0.13,-0.25,-0.2,-0.05,-0.25,-0.24,-0.14,0.2,-0.04,0.05,-0.2,-0.08,0.01,-0.19,-0.05
"31","21","Government consumption expenditures and gross investment","A822RY2",NA,0.47,0.78,-0.68,1.57,2.96,1.19,2.44,1.55,2.88,0.7,-1.41,-0.62,1.43,-0.83,4.01,6.88,9.72,9.02,4.85,3.04,3.19,0.94,1.86,3.32,2.16,-1.09,-0.18,-2.48,-3.25,-2.1,-0.36,0.22,-0.61,0.76,-1.7,0.12,1.88,-0.7,2.27,1.74,-0.49,0.77,1.69,-0.71,2.3,0.63,1.86,-0.84,1.25,1,-0.95,-1.53,0.7,2.04,0.62,1.12,0.23,1.72,1.95,1.59,0.48,2.01,0.13,-0.5,-0.09,3.78,-0.81,0.38,0.58,0.08,-0.23,-0.12,1.12,2.95,1.88,1.61,1.49,2.33,1.43,3.78,-0.51,0.97,0.65,1.7,0.48,0.21,0.09,0.12,-0.38,0.12
"32","22","  Federal","A823RY2",NA,0.16,0.25,-1.07,1.56,2.25,0.76,1.86,0.55,1.41,-0.46,-1.98,-1.43,1.15,-0.87,3.99,7.16,9.25,8.88,4.89,2.93,2.59,1.69,1.19,2.72,2.2,-1.81,-0.87,-3.52,-3.38,-2.96,-0.52,-1.11,-1.03,0.79,-1.89,-0.23,1.48,-0.86,1.93,0.93,-0.77,0.29,0.86,-1.7,1.78,-0.18,1.19,-1.14,1.15,0.97,-0.77,-2.15,-0.15,1.5,0.2,-0.09,0.49,1.39,0.89,1.86,0.21,1.53,-0.28,-1.23,-0.44,2.75,-1.35,-0.21,-0.31,-0.35,-0.65,-0.51,0.12,1.82,1.29,1.1,1.18,1.86,0.39,3.27,-0.74,0.8,-0.09,0.94,-0.36,-0.41,-0.29,-0.24,-0.74,0.03
"33","23","    National defense","A824RY2",NA,-2.08,1.56,0.32,0.15,-0.14,-0.37,1.28,0.65,0.48,-0.09,-1.86,-0.93,0.3,1.75,3.62,7.7,8.59,8.95,4.62,2.08,3.06,1.33,1.14,1.89,0.51,-0.73,-1.04,-3.86,-2.27,-2.7,-1.66,-0.1,-1.62,0.58,-1.47,-0.07,1.27,-0.08,1.52,0.26,0.4,0.43,-0.52,-0.42,0.48,0,0.31,-1.42,-0.57,1.01,-0.57,-0.73,-0.59,1.27,-0.49,1.07,-0.27,1.18,0.72,1.55,-0.46,0.66,-0.5,-0.97,-0.41,1.42,-1,-0.53,-0.71,-0.1,-0.73,-0.74,-0.14,1.18,1.29,1.29,0.7,2.29,0.93,2.26,0.01,0.99,-0.44,1.02,-0.02,-0.78,-0.34,-0.39,-0.83,-0.06
"34","24","    Nondefense","A825RY2",NA,2.24,-1.31,-1.39,1.41,2.39,1.13,0.58,-0.1,0.94,-0.37,-0.12,-0.5,0.85,-2.62,0.38,-0.54,0.66,-0.08,0.27,0.85,-0.47,0.36,0.05,0.83,1.69,-1.08,0.17,0.35,-1.1,-0.26,1.14,-1.01,0.59,0.21,-0.42,-0.16,0.21,-0.78,0.41,0.66,-1.17,-0.14,1.37,-1.28,1.3,-0.18,0.87,0.28,1.72,-0.04,-0.2,-1.42,0.44,0.23,0.69,-1.16,0.75,0.22,0.17,0.3,0.67,0.87,0.22,-0.25,-0.04,1.33,-0.35,0.32,0.4,-0.25,0.08,0.23,0.26,0.64,0,-0.18,0.48,-0.43,-0.55,1.01,-0.75,-0.19,0.35,-0.08,-0.34,0.37,0.06,0.14,0.09,0.09
"35","25","  State and local","A829RY2",NA,0.31,0.53,0.39,0.01,0.71,0.43,0.58,1,1.47,1.17,0.57,0.81,0.28,0.04,0.02,-0.28,0.46,0.14,-0.04,0.11,0.6,-0.74,0.67,0.59,-0.04,0.73,0.69,1.03,0.12,0.86,0.16,1.32,0.41,-0.03,0.19,0.35,0.4,0.16,0.34,0.81,0.28,0.48,0.84,0.99,0.52,0.8,0.67,0.3,0.11,0.03,-0.18,0.62,0.86,0.54,0.42,1.21,-0.25,0.32,1.05,-0.27,0.27,0.48,0.41,0.72,0.35,1.03,0.54,0.59,0.89,0.43,0.42,0.39,1,1.13,0.59,0.51,0.31,0.46,1.04,0.52,0.23,0.17,0.74,0.76,0.84,0.62,0.37,0.36,0.36,0.09
