"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"27","20","      Food services and accommodations","DFSARV1",-6.1,-13.7,-15.6,-3.3,7.6,7.5,0.2,3.6,-4.7,-2,1.2,9,16.9,12.2,4.3,3.3,11.2,11.6,4.5,-2.7,1.8,7.5,2.2,-0.9,1.1,-0.2,1.1,3.3,2.5,3.6,2.7,2,2.5,2.2,1.6,2,3.9,5.5,5.2,6
"28","21","      Financial services and insurance","DIFSRV1",-2.3,-9.1,-11,-4.6,3.6,4.3,4.5,4.4,-2.4,-0.7,2.8,2.6,6.8,4.5,4.1,3.8,10.6,4.3,5.2,1.8,1.9,1.2,6.1,11.4,3.6,3,3.2,3.3,1.6,5.7,4.4,3.4,4.1,0.1,4.2,2.5,6,2.3,7.4,8.9
"29","22","      Other services","DOTSRV1",-3.5,-7.3,-8,-4.5,1.5,1.1,1.6,5,-0.7,1.2,0.8,4.6,8.9,11.6,10.5,6.3,4.6,6.9,5,2.2,2.4,5.1,3.7,3.7,1.7,1.6,3.5,3.4,2.7,2.9,2.8,1.1,1.6,2.2,2.2,2.6,2.9,3.2,4.4,4.8
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRV1",-3.8,-8.6,-7.1,-3.8,5.5,0.8,2.7,5.2,-2.6,0.2,-0.1,4.8,8.5,7.3,4.6,3.5,10.3,16.3,7.7,0.9,4,8.4,0.2,1.8,2.5,2.6,4.6,4.5,2.6,1.8,-6.4,1,1.4,1.6,0.5,2.8,3.7,3.2,3.8,6.2
"31","24","Gross private domestic investment","A006RV1",-4.3,-8.6,-16.5,-9.2,-0.4,-1.6,1,7.6,-3.2,-0.8,2.5,7.3,10.7,4,3,2.6,9.5,18.9,8.3,1.3,2,9,1.8,0.2,0.7,1.5,5.9,3.4,0.2,0.9,0.5,-0.3,0.1,-0.3,0.6,1.6,2.1,2.6,3.7,4.7
"32","25","  Fixed investment","A007RV1",-4.1,-7.5,-11.7,-1.6,5,0.5,1,8.7,1.4,-0.5,2.5,7.4,9.6,4.4,3.4,3.2,10.3,17.4,8.5,2,2.2,8.6,2.4,0.8,0.8,1.6,5.9,3.5,0.2,0.9,0.5,-0.3,0.1,-0.3,0.6,1.7,2.1,2.8,4,4.9
"33","26","    Nonresidential","A008RV1",-4.7,-6.9,-9.5,-1.7,3.5,1,-0.2,8.4,0.8,-1.1,2.3,6.6,10.5,3.2,2,2.6,10.6,16.3,8.6,2.3,2,9.6,2.3,0.9,1,1.4,7.9,5.1,0.5,1.3,0.5,-0.6,0,0,0.5,1.1,1.5,2.5,3.5,4.1
"34","27","      Structures","A009RV1",-5.3,-8.5,-13.2,1,0.3,4.7,-0.2,13.6,-1.9,-1.1,1.6,7,11.6,8.7,2.2,4.4,12,21.2,11.2,-0.3,1.2,11.5,2.7,2,-1.2,2,8.6,4.3,-1.6,0.5,-0.1,-0.6,0.8,0.9,1.4,2.9,3.6,3.1,5,6.6
"35","28","      Equipment and software","A010RV1",-4,-5.2,-5.7,-3.9,5.6,-0.9,-0.2,5.7,2.4,-1.1,2.7,6.4,10,0.5,1.9,1.7,9.5,13.3,7.2,3.9,2.5,8.5,2,0.2,2.4,0.9,7.4,5.7,2,1.8,0.8,-0.5,-0.5,-0.6,0,0.1,0.3,2.2,2.7,2.8
"36","29","        Information processing equipment and software","A679RV1",-7,-6.8,-3.3,-7.1,7.8,-0.5,0.3,0.8,-0.2,-0.8,1.3,3.2,4.6,-1.4,-1.3,0.4,24.5,13.9,2.2,0.7,2.2,6,-1.8,-0.3,1,1.2,2.8,4.8,1.2,0.9,-0.5,-1.4,-2.4,-3.6,-1.5,-2.6,-5,-1.4,-0.7,0.8
"37","30","          Computers and peripheral equipment","B935RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.5,-26.1,-29.1,-34.3,-16.3,-17.4,-29.9,-18.8,-14.7,-9.5
"38","31","          Software \1\","B985RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2,-1.8,-3.8,-3.8,0.8,-2.5,-3.2,-1.3,0.1,0.9
"39","32","          Other","A937RV1",-7,-6.8,-3.3,-7.1,7.8,-0.5,0.3,0.8,-0.2,-0.8,1.3,3.2,4.6,-1.4,-1.3,0.4,24.5,13.9,2.2,0.7,2.2,6,-1.8,-0.3,1,1.2,2.8,4.8,1.2,1,0.1,0.1,-0.3,0.6,0.7,0.1,1.2,3,2.6,3.3
"40","33","        Industrial equipment","A680RV1",-6,-7,-6.8,-0.1,13,1,0.2,10.3,1.3,-0.2,4.5,5.4,3.1,-0.2,0.9,0.7,7.7,8.4,8.4,4.8,4.1,12.8,0.6,2.8,1.8,3.7,10.4,7.5,2.4,2.3,2,-0.8,0,0.3,0.9,1.5,2.6,4.3,4.2,3.4
"41","34","        Transportation equipment","A681RV1",-4.5,-4.5,-5.2,-8.4,3.3,-1.1,0.3,3.5,5.4,-0.8,2.4,8.8,20.9,2.1,6.6,4.6,5.4,15.9,7.1,4.6,1.8,6.3,6,-3.8,4.4,-2,9.8,4.5,1.4,2.1,-0.2,-0.2,-1.1,-0.5,-0.9,-0.3,-0.1,1.6,2.8,3
"42","35","        Other equipment","A862RV1",0,-3.7,-6.5,0.2,1.1,-2.6,-1.5,7.1,1,-2.3,1.9,5.4,6.7,1,1.2,1.3,8.1,15.8,8.1,3.3,2.2,8.1,0.8,2.1,1.5,1,3.5,5,2.4,1.6,1.4,0,1.1,0.7,0.9,0.9,2.3,3.4,3.7,3.6
"43","36","    Residential","A011RV1",-2.2,-9.5,-18.5,-1.4,11,-1.4,4.9,9.7,3.2,0.7,3,9.2,7.4,8.2,9.7,6.8,8.6,19.8,8.4,1.3,2.5,7.2,2.7,0.7,0.4,2.1,2.5,0.3,-0.2,0.3,0.7,0.2,0.2,-0.8,0.8,2.8,3.6,3.5,5.3,6.9
"44","37","  Change in private inventories","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","    Farm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","Government consumption expenditures and gross investment","A822RV1",-3.1,-5,-9,3,7.6,0.8,3,2.1,0.2,-1.6,-1.2,6.2,0.5,1.6,-1.3,1.1,23.8,8.1,3.9,2.9,0.1,6.6,2,1,2.1,4.2,5.6,4.4,3,0.4,1.2,2,2.5,2.2,2.8,2.7,4.2,4.2,5.4,6
"48","41","  Federal","A823RV1",-4.4,-0.8,-4.8,1.1,6.9,1.2,9.2,1.6,1.7,-1.9,-3.9,5.2,-1.9,0.9,-1.8,0.9,27.6,6.1,-0.9,4.3,-0.6,4.4,1,0.7,2.3,5.4,5.1,4.5,4.1,-0.7,0.8,1.7,2.1,2.1,3.4,2.6,3.5,3,5.5,5.4
"49","42","    National defense","A824RV1",-3.4,-1.3,-2.1,-2.3,5.4,3,2.3,3.3,0.4,-0.7,-4.9,6.8,-2.1,1,-1.6,0.6,28.3,7.2,-0.5,3.4,-0.1,4.1,0.4,0.4,2.7,5.6,5.7,4.5,3.8,-0.8,0.7,1.4,1.9,2.2,2.9,2.8,3.4,3,5.3,5.5
"50","43","      Consumption expenditures","A997RV1",-3.2,-0.6,-1.4,-2.4,4.6,3,2.4,1.4,0.6,-0.7,-7.4,4.5,-3,1.1,2.2,4.8,31.9,6.7,-1.1,3.5,-0.5,3.1,0,1.4,3.2,6.3,4.8,4.3,4.4,-1.5,1,1.5,2.1,2.7,3.6,3.3,3.8,3.2,5.7,5.5
"51","44","      Gross investment","A788RV1",-7.9,-9.3,-9.7,-0.2,11.5,3,1.4,10.2,-0.1,-1,2.2,10.3,-1.3,0.7,-6.9,-7.5,11.7,16.2,6.1,2.4,2.4,9.1,1.6,-2.3,1.1,3,8.7,5.5,1.3,1.6,0,1.2,1.3,0.8,-0.1,0.3,1.4,1.7,2.6,5.4
"52","45","    Nondefense","A825RV1",-5.5,-0.2,-7.4,3.8,7.6,0.5,11.7,1.1,2.1,-2.2,-3.6,3,2.9,-2.7,-6.3,11.6,22.1,2.7,-2.4,6.7,-2,5.3,5.3,2.6,0.1,4.3,2,4.2,6.2,0.3,1.2,3,3,1.7,5.1,1.9,3.8,3,6.5,5.2
"53","46","      Consumption expenditures","A542RV1",-5.9,2.5,-3.7,1.4,6.1,-0.7,15.7,0.7,2.8,-2.5,-4.9,1.2,1,-0.3,-10.5,19.8,28.1,2.1,-4.1,7.8,-2,4.6,5.2,3.1,0.6,5,1.5,3.8,7.7,-0.2,1.3,3.6,3.1,1.6,5.3,3.2,4.2,2.6,6.8,5.4
"54","47","      Gross investment","A798RV1",-4.1,-8,-15.2,8.4,10.6,2.1,4.2,2.4,-0.3,-1.1,2.2,7.5,6.1,-7.8,8.7,-8.1,0.7,2.5,6.1,1.8,-2.5,7.4,5.5,0.9,-2.7,-0.5,5.4,6.1,-0.3,2.7,1.1,0.5,2.4,2.2,4.4,-2.1,2.4,4.4,4.9,4.5
"55","48","  State and local","A829RV1",-2.8,-6,-10,3.5,7.9,0.7,-0.4,2.5,-0.8,-1.4,0.9,6.7,10.5,7.4,3.9,3.3,9.3,12.2,11.8,0.9,0.9,10.3,4.3,1.9,1.7,1.9,6.4,4.3,1.3,2.1,1.8,2.4,3.1,2.2,2,2.8,4.9,5.6,5.3,6.7
"56","49","      Consumption expenditures","A991RV1",-1,-3.6,-6.1,0.5,5.5,2.1,-3.8,2.6,-0.9,-0.8,1.4,5.2,8.8,7.5,4.5,3.7,9.3,11.2,11.8,1.8,2.6,8.4,5,3.1,3.7,2.6,4.9,4.6,2.8,3.1,3.2,3.3,3.7,2.6,2.4,2.9,5.3,6.6,5.6,6.7
"57","50","      Gross investment","A799RV1",-5.9,-10.4,-18.7,14.2,16.4,-3.8,8.1,2.2,-0.6,-2.4,-0.2,10.7,16.7,6.8,-2,-0.6,9.4,17,11.6,-1.6,-3.3,14.9,2.7,-0.6,-2.7,0.5,9.6,3.7,-1.7,-0.1,-1.3,0.2,1.8,1.4,1.1,2.5,4,3.1,4.6,6.7
"58",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","51","  Final sales of computers to domestic purchasers \2\","W489RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","52","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","53","  Food \3\","B981RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","54","  Energy goods and services","B982RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","55","  Gross domestic purchases excluding food and energy","B983RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","56","  Gross domestic product","A191RV1",-3.9,-9.9,-11.4,-2.6,4.9,2,1.1,3.7,-1.9,-1.3,0.9,6.5,8.2,5.6,2.4,2.6,11.5,11.1,5.7,-0.1,0.8,6.9,2.2,1.3,1,1.4,3.4,3.5,2.3,1.1,1.4,1.1,1.4,1.1,1.6,1.8,2.8,3.1,4.3,4.9
"65","57","      Gross domestic product excluding final sales of computers","BB00RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","58","      Food \3\","BB10RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","59","      Energy goods and services","BB11RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","60","      Gross domestic product excluding food and energy","BB03RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","61","  Final sales of domestic product","A190RV1",-3.8,-9.8,-11.2,-2.4,5.1,2.1,1.1,3.7,-1.4,-1.2,0.8,6.5,8.2,5.6,2.4,2.6,11.5,10.8,5.7,0.1,0.8,6.8,2.3,1.4,1,1.5,3.4,3.5,2.3,1.1,1.4,1.1,1.4,1.1,1.6,1.8,2.9,3.1,4.3,5
"70","62","  Final sales to domestic purchasers","A713RV1",-4.1,-9.7,-11.4,-2.5,5,2,1.2,3.9,-1.5,-1,0.7,6.3,7.9,5.6,2.3,2.7,12.3,10.7,5.8,0.2,1.2,7.1,2.1,1.2,1.1,1.4,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.8,2.8,2.9,4.3,4.9
"71","63","  Implicit price deflator for gross domestic purchases \4\","A712RI1",-3.9,-10.2,-11.9,-2.8,5.4,2,1.2,4.5,-3,-0.8,1,6.6,7.6,5.4,2.3,2.7,12.6,10.7,5.7,0,1.5,7.5,1.5,1,1,1.7,3.4,3.2,2.1,1.2,1.4,1.1,1.3,1.2,1.6,1.7,2.8,2.9,4.2,4.9
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Food excludes personal consumption expenditures for purchased meals and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","beverages, which are classified in food services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. The percent change for this series is calculated from the implicit price",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","deflator in NIPA table 1.6.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
