"","Table 1#3#1# Percent Change From Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RL1",3.5,2.8,5.3,0,-1.1,-2.2,19.1,-4.6,5.4,-3.5,9.1,-3.1,32.1,4.9,-34.7,35.7,22.2,-4.1,1,-11,14.6,7.1,1.6,16.3,-12.7,21.9,-20,15.8,11.1,-4.3,4.9,14.8,-7,4.4,12.8,7,4.2,-2.8,-8.9,13.3,6.1
"12","5","Households and institutions","A193RL1",4.4,1.8,4.2,4.3,3.6,4,3.4,1.7,1.5,4.5,4.3,5.1,3.2,3.3,2.8,3.2,1.7,2.6,3.8,4.6,4,3.6,2.9,3.2,3.3,3,3.1,2.1,3.4,3.2,3.5,3.8,2.2,0.7,0,2.8,3.4,2.2,2.1,3.7,-0.5
"13","6","  Households","B701RL1",4.1,2.3,4.5,4.3,3.6,4.4,2.7,1.9,1.1,6.1,4.6,6.3,3.1,1.8,1.9,3.4,2.3,1.3,2.7,3.7,3.1,2.5,2.9,3,2.5,4.7,3.1,2.2,3.3,2.4,5.2,4.6,2.4,-0.4,-0.4,4.4,5.2,3.9,1.8,4.9,-0.7
"14","7","  Nonprofit institutions serving households \3\","B702RL1",4.9,0.8,3.6,4.4,3.5,3.5,4.6,1.3,2,2,4,3.2,3.3,5.7,4.4,2.9,0.8,4.8,5.4,5.9,5.3,5.1,2.8,3.4,4.4,0.7,3.2,1.9,3.5,4.4,1.3,2.8,1.9,2.3,0.6,0.7,1,0,2.5,2,-0.2
"15","8","General government \4\","A765RL1",2.5,0.4,0.2,-0.2,0.4,2,1.6,0.9,1,1.9,1.1,1.4,0.6,1,0.6,1.2,2.9,2.5,2.2,2.6,2.4,2.6,1,0.3,0.2,0,0.1,0.2,0.8,1.1,0.9,1.7,1.8,2,1.2,0.6,0.7,0.6,1.2,2.3,1.6
"16","9","  Federal","A766RL1",0.3,-4.3,-4.6,-4.8,-3.7,-0.3,-0.6,0.2,0.3,1.3,-0.1,1.6,1.5,1.6,2.3,2.3,2.8,1.8,2.6,1.2,1.2,1.8,0.6,-2.1,-1.9,-3.3,-3.8,-2.7,-1.9,-1.1,-0.8,0.8,0.4,2,2.7,1,0.7,-0.1,0.8,3.9,5.8
"17","10","  State and local","A767RL1",4.6,4.4,4.1,3.5,3.5,3.6,3,1.3,1.5,2.3,1.8,1.3,0,0.6,-0.4,0.6,2.9,2.9,1.9,3.4,3.1,3,1.3,1.7,1.4,1.7,2,1.5,2,2.1,1.7,2.1,2.4,2,0.6,0.4,0.7,0.9,1.4,1.7,-0.2
"18",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross housing value added","A2009L1",4.7,3.3,4.5,4.8,3.7,4.8,3.1,1.5,2.5,4.6,3.9,6.1,3.9,2.7,2.2,3.2,3.9,1.9,2.4,2.9,2.3,2.5,3.3,2.9,1.6,4.1,3.1,1.6,2.9,1.7,4.6,3.8,2,-0.9,-1.9,4,4.5,4.2,3.1,4.7,0.4
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
