"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"27","8","  Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,068.0","1,320,269.0","1,335,085.0","1,355,273.0","1,384,849.0","1,417,903.0","1,439,734.0","1,482,311.0","1,491,846.0","1,534,849.0","1,557,165.0","1,577,265.0","1,572,072.0","1,590,207.0","1,591,002.0","1,581,609.0","1,584,605.0","1,608,168.0","1,616,618.0","1,643,456.0","1,682,501.0","1,668,468.0","1,722,882.0","1,742,262.0","1,779,210.0","1,801,589.0","1,825,949.0","1,874,982.0","1,895,879.0","1,916,792.0","1,980,036.0","2,019,484.0","2,038,595.0","2,075,303.0","2,109,542.0","2,095,290.0","2,128,754.0","2,166,140.0","2,184,306.0","2,228,567.0","2,253,949.0","2,318,911.0","2,348,409.0","2,172,404.0","2,124,938.0","2,143,627.0","2,199,098.0","2,232,841.0","2,264,663.0","2,260,937.0","2,287,313.0","2,355,568.0","2,418,690.0","2,475,609.0","2,489,180.0","2,501,055.0","2,532,266.0","2,537,809.0","2,556,489.0","2,572,751.0","2,594,424.0","2,575,648.0","2,612,895.0","2,624,599.0","2,628,351.0","2,666,107.0","2,682,147.0"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARC1","93,066.0","94,114.0","95,928.0","98,376.0","101,637.0","102,599.0","104,057.0","105,730.0","105,682.0","107,247.0","107,132.0","108,438.0","109,715.0","113,835.0","115,772.0","118,566.0","121,140.0","124,031.0","129,669.0","132,017.0","137,625.0","139,639.0","145,762.0","149,127.0","151,462.0","154,809.0","159,768.0","160,228.0","163,337.0","165,833.0","168,542.0","171,476.0","175,037.0","178,888.0","180,281.0","184,875.0","188,634.0","193,791.0","198,479.0","203,545.0","210,921.0","215,700.0","220,077.0","226,781.0","232,794.0","235,963.0","241,285.0","246,626.0","250,608.0","253,984.0","256,698.0","260,062.0","262,258.0","265,873.0","268,587.0","271,846.0","270,915.0","275,722.0","279,786.0","281,721.0","285,441.0","290,612.0","293,517.0","294,838.0","297,823.0","300,540.0","303,773.0","309,677.0","314,516.0","314,120.0","316,276.0","320,746.0","321,893.0","323,996.0","325,238.0","326,124.0","332,985.0","339,885.0","347,087.0","351,271.0","357,772.0","361,995.0","367,828.0","373,958.0","382,993.0","390,002.0","395,755.0","395,953.0","400,563.0","406,296.0","405,069.0","399,885.0","402,724.0","402,249.0","404,850.0","408,032.0","408,289.0","411,418.0","414,433.0","419,748.0","423,942.0","430,151.0","435,240.0","439,104.0","440,815.0","442,461.0","443,819.0","447,897.0","453,374.0","460,108.0","464,283.0","469,750.0","473,505.0","471,791.0","476,392.0","477,422.0","478,924.0","484,447.0","489,935.0","496,443.0","504,530.0","511,115.0","517,650.0","528,825.0","526,783.0","538,526.0","544,627.0","552,377.0","555,858.0","563,455.0","566,480.0","570,217.0","571,347.0","572,909.0","574,793.0","581,159.0","588,901.0","591,881.0","605,797.0","611,741.0","620,473.0","627,762.0","635,537.0","646,644.0","655,170.0","664,268.0","670,852.0","682,575.0","688,841.0","695,608.0","701,743.0","714,849.0","725,539.0","731,768.0","740,538.0","751,484.0","757,862.0","776,548.0","783,739.0","773,389.0","768,932.0","767,413.0","767,959.0","775,529.0","785,360.0","781,984.0","786,619.0","801,637.0","815,363.0","827,808.0","834,764.0","838,653.0","847,563.0","853,223.0","856,769.0","862,080.0","870,706.0","866,283.0","873,058.0","878,588.0","879,416.0","886,017.0","890,289.0"
"29","10","    Clothing and footwear","DCLORC1","43,367.0","44,046.0","44,841.0","45,073.0","44,879.0","45,017.0","45,288.0","46,616.0","47,357.0","48,986.0","49,500.0","50,344.0","51,049.0","52,479.0","54,150.0","56,287.0","58,311.0","58,964.0","59,392.0","60,305.0","61,630.0","62,714.0","63,568.0","61,777.0","64,118.0","66,474.0","68,077.0","68,801.0","70,258.0","71,015.0","73,007.0","74,484.0","75,696.0","77,390.0","79,847.0","84,288.0","84,709.0","89,074.0","90,498.0","92,989.0","93,176.0","94,669.0","98,109.0","99,530.0","100,218.0","100,590.0","103,933.0","107,268.0","110,921.0","112,453.0","114,727.0","114,610.0","116,065.0","114,873.0","117,179.0","118,863.0","120,499.0","125,300.0","127,905.0","132,079.0","134,380.0","138,195.0","137,287.0","140,626.0","143,070.0","145,660.0","148,005.0","150,646.0","153,434.0","156,979.0","158,876.0","159,512.0","164,184.0","166,687.0","169,457.0","170,581.0","172,747.0","175,026.0","179,295.0","185,788.0","186,202.0","189,582.0","191,482.0","194,322.0","195,670.0","195,682.0","195,928.0","193,698.0","196,226.0","200,294.0","201,335.0","198,537.0","205,755.0","208,875.0","213,453.0","216,853.0","215,434.0","217,917.0","220,185.0","222,674.0","224,881.0","225,452.0","227,681.0","231,727.0","228,497.0","229,680.0","233,430.0","233,373.0","234,990.0","239,775.0","240,423.0","242,979.0","243,688.0","244,403.0","249,883.0","252,009.0","254,621.0","257,668.0","257,448.0","261,484.0","267,506.0","271,455.0","272,167.0","273,260.0","275,940.0","280,083.0","282,522.0","284,781.0","280,641.0","278,398.0","275,289.0","277,146.0","279,184.0","278,670.0","275,506.0","281,979.0","278,018.0","282,496.0","290,193.0","290,685.0","296,658.0","294,612.0","296,610.0","302,057.0","306,182.0","311,233.0","308,387.0","316,834.0","317,585.0","318,542.0","320,821.0","323,902.0","326,104.0","323,116.0","322,592.0","322,960.0","319,712.0","327,399.0","322,662.0","308,253.0","306,840.0","302,882.0","306,999.0","309,273.0","316,095.0","318,916.0","319,489.0","327,729.0","331,931.0","337,999.0","340,358.0","345,492.0","352,680.0","351,026.0","355,534.0","355,703.0","360,625.0","360,700.0","360,570.0","360,994.0","357,833.0","364,980.0","367,038.0"
"30","11","    Gasoline and other energy goods","DGOERC1","24,261.0","25,029.0","25,057.0","25,525.0","25,858.0","26,098.0","26,333.0","26,854.0","27,385.0","27,354.0","27,742.0","28,106.0","28,337.0","28,366.0","29,506.0","31,364.0","32,524.0","33,454.0","34,235.0","37,087.0","39,208.0","44,174.0","45,647.0","46,369.0","45,652.0","46,948.0","49,400.0","50,079.0","51,134.0","51,593.0","53,228.0","56,097.0","56,562.0","57,323.0","57,900.0","59,482.0","60,205.0","60,596.0","61,166.0","63,846.0","68,799.0","75,076.0","86,106.0","91,569.0","101,649.0","102,881.0","100,975.0","102,086.0","113,447.0","114,406.0","112,599.0","113,319.0","111,964.0","106,083.0","108,679.0","106,674.0","102,964.0","105,309.0","109,281.0","108,270.0","108,041.0","109,584.0","106,991.0","108,186.0","108,140.0","111,509.0","111,049.0","111,428.0","106,606.0","89,533.0","84,804.0","83,822.0","91,653.0","96,230.0","97,925.0","99,667.0","98,420.0","99,618.0","100,873.0","100,492.0","103,503.0","116,218.0","110,673.0","111,361.0","116,415.0","113,800.0","125,454.0","141,128.0","124,728.0","119,582.0","119,775.0","120,428.0","120,106.0","124,100.0","126,849.0","128,976.0","128,645.0","126,443.0","125,055.0","127,385.0","127,371.0","124,823.0","132,233.0","132,495.0","134,528.0","135,756.0","132,615.0","130,719.0","139,096.0","147,835.0","143,460.0","148,590.0","152,162.0","144,325.0","146,479.0","147,678.0","136,162.0","131,763.0","132,056.0","129,438.0","126,320.0","144,155.0","153,402.0","162,302.0","174,890.0","183,586.0","189,354.0","190,232.0","185,857.0","190,330.0","179,817.0","155,939.0","148,530.0","168,102.0","173,329.0","181,638.0","207,879.0","180,005.0","196,829.0","200,933.0","218,625.0","224,600.0","231,159.0","256,546.0","257,393.0","256,443.0","308,413.0","312,830.0","305,918.0","325,877.0","345,764.0","301,039.0","314,476.0","344,062.0","348,024.0","375,624.0","395,482.0","420,806.0","442,393.0","297,910.0","249,448.0","262,380.0","304,834.0","321,338.0","328,462.0","317,612.0","326,921.0","360,665.0","392,703.0","418,258.0","416,920.0","410,352.0","412,955.0","411,746.0","417,084.0","420,140.0","415,950.0","397,596.0","412,578.0","407,122.0","407,129.0","410,080.0","402,976.0"
"31","12","    Other nondurable goods","DONGRC1","48,141.0","49,027.0","50,162.0","50,770.0","52,108.0","52,835.0","54,036.0","55,276.0","55,404.0","55,246.0","56,049.0","56,707.0","57,937.0","59,624.0","60,657.0","61,839.0","63,479.0","64,937.0","66,621.0","68,266.0","70,390.0","71,489.0","72,690.0","73,635.0","74,974.0","76,618.0","78,719.0","80,551.0","82,707.0","84,630.0","85,829.0","87,549.0","89,171.0","90,103.0","91,880.0","94,958.0","97,527.0","101,352.0","105,479.0","108,985.0","111,695.0","114,621.0","118,056.0","121,508.0","125,285.0","126,479.0","130,307.0","135,271.0","139,069.0","142,006.0","145,102.0","147,709.0","149,566.0","151,893.0","155,274.0","159,356.0","162,625.0","166,718.0","171,464.0","174,451.0","178,595.0","183,981.0","186,773.0","189,132.0","193,352.0","195,051.0","197,657.0","201,595.0","204,696.0","206,822.0","211,085.0","214,927.0","219,653.0","225,369.0","228,037.0","230,409.0","234,235.0","239,011.0","243,523.0","248,771.0","255,051.0","259,953.0","266,306.0","271,699.0","279,092.0","281,369.0","285,970.0","287,977.0","292,631.0","295,593.0","298,214.0","301,849.0","309,083.0","311,994.0","315,898.0","320,949.0","326,761.0","330,548.0","332,854.0","335,467.0","340,652.0","347,670.0","354,425.0","359,686.0","363,013.0","369,087.0","373,825.0","379,662.0","383,712.0","391,824.0","398,338.0","406,966.0","411,750.0","417,421.0","424,936.0","431,099.0","437,361.0","446,391.0","455,646.0","467,908.0","486,493.0","491,178.0","496,515.0","517,924.0","514,233.0","532,654.0","540,662.0","549,875.0","549,716.0","558,024.0","569,416.0","578,307.0","585,544.0","588,487.0","592,990.0","598,680.0","607,703.0","614,086.0","630,063.0","638,903.0","643,454.0","654,615.0","662,643.0","669,735.0","677,134.0","684,848.0","692,384.0","707,245.0","726,251.0","735,276.0","741,214.0","755,500.0","762,635.0","767,194.0","773,152.0","778,499.0","780,893.0","794,158.0","799,615.0","792,852.0","799,718.0","810,952.0","819,306.0","826,701.0","834,746.0","842,425.0","854,284.0","865,537.0","878,693.0","891,544.0","897,138.0","906,558.0","919,068.0","921,814.0","927,102.0","934,828.0","947,143.0","951,069.0","966,689.0","977,895.0","983,973.0","1,005,030.0","1,021,844.0"
"32","13","Services","DSERRC1","288,967.0","296,506.0","302,870.0","310,900.0","318,483.0","324,975.0","332,755.0","339,376.0","346,322.0","354,429.0","362,789.0","371,956.0","382,377.0","390,246.0","399,444.0","410,404.0","419,184.0","429,361.0","439,760.0","449,702.0","458,254.0","473,689.0","487,070.0","502,812.0","519,085.0","534,280.0","546,838.0","565,472.0","581,567.0","592,995.0","610,893.0","630,019.0","650,172.0","665,616.0","685,809.0","703,566.0","728,515.0","754,292.0","773,882.0","793,732.0","813,115.0","839,381.0","862,705.0","891,026.0","914,519.0","931,087.0","965,815.0","1,007,873.0","1,030,620.0","1,058,139.0","1,080,192.0","1,103,597.0","1,128,104.0","1,153,144.0","1,187,399.0","1,229,832.0","1,264,650.0","1,291,879.0","1,333,507.0","1,360,905.0","1,384,858.0","1,417,580.0","1,453,069.0","1,482,315.0","1,533,501.0","1,565,190.0","1,607,809.0","1,633,778.0","1,663,851.0","1,688,292.0","1,712,984.0","1,745,990.0","1,782,373.0","1,817,420.0","1,852,330.0","1,890,890.0","1,940,170.0","1,982,207.0","2,037,165.0","2,078,782.0","2,117,100.0","2,148,428.0","2,183,631.0","2,226,884.0","2,264,933.0","2,320,900.0","2,366,723.0","2,384,747.0","2,404,380.0","2,446,678.0","2,480,910.0","2,518,916.0","2,583,817.0","2,625,152.0","2,672,268.0","2,728,313.0","2,761,502.0","2,803,286.0","2,856,865.0","2,892,951.0","2,935,188.0","2,976,068.0","3,014,224.0","3,052,386.0","3,095,245.0","3,151,061.0","3,194,231.0","3,234,043.0","3,282,792.0","3,328,259.0","3,372,400.0","3,418,141.0","3,470,035.0","3,520,553.0","3,582,990.0","3,642,244.0","3,701,155.0","3,768,324.0","3,832,687.0","3,875,083.0","3,924,205.0","3,980,271.0","4,046,297.0","4,130,250.0","4,230,022.0","4,300,493.0","4,376,314.0","4,451,316.0","4,521,500.0","4,562,416.0","4,588,468.0","4,639,101.0","4,691,811.0","4,756,664.0","4,812,962.0","4,880,448.0","4,937,015.0","5,008,268.0","5,080,404.0","5,150,206.0","5,235,303.0","5,313,097.0","5,402,484.0","5,488,168.0","5,566,726.0","5,666,544.0","5,762,606.0","5,859,444.0","5,942,362.0","6,031,426.0","6,106,807.0","6,192,195.0","6,289,749.0","6,349,837.0","6,424,735.0","6,491,409.0","6,568,106.0","6,637,009.0","6,674,599.0","6,672,073.0","6,633,264.0","6,621,365.0","6,645,889.0","6,693,583.0","6,739,663.0","6,812,025.0","6,871,015.0","6,934,820.0","6,989,569.0","7,063,403.0","7,141,438.0","7,176,958.0","7,250,061.0","7,313,347.0","7,367,876.0","7,433,751.0","7,518,921.0","7,593,224.0","7,653,371.0","7,767,182.0","7,837,846.0","7,906,181.0","7,962,739.0"
"33","14","  Household consumption expenditures (for services)","DHCERC1","279,906.0","287,227.0","293,308.0","301,027.0","308,366.0","314,644.0","322,063.0","328,622.0","335,236.0","343,000.0","350,903.0","359,542.0","369,965.0","377,639.0","386,789.0","396,821.0","405,958.0","415,596.0","425,916.0","435,520.0","443,464.0","458,137.0","471,447.0","486,791.0","502,823.0","517,713.0","529,474.0","547,615.0","562,729.0","574,171.0","592,017.0","610,626.0","630,195.0","645,678.0","665,052.0","681,698.0","706,347.0","731,604.0","750,606.0","769,789.0","787,782.0","813,459.0","836,801.0","863,705.0","886,195.0","901,606.0","935,318.0","976,042.0","998,112.0","1,024,641.0","1,045,679.0","1,067,554.0","1,091,270.0","1,115,730.0","1,148,934.0","1,190,691.0","1,225,107.0","1,251,797.0","1,292,477.0","1,318,535.0","1,341,724.0","1,372,689.0","1,407,075.0","1,434,798.0","1,486,670.0","1,517,740.0","1,559,539.0","1,584,699.0","1,613,069.0","1,635,546.0","1,659,734.0","1,692,328.0","1,728,051.0","1,762,673.0","1,795,912.0","1,833,585.0","1,879,828.0","1,919,827.0","1,972,664.0","2,012,832.0","2,051,428.0","2,080,965.0","2,114,611.0","2,156,891.0","2,193,508.0","2,246,219.0","2,288,599.0","2,305,537.0","2,325,784.0","2,367,192.0","2,400,297.0","2,437,104.0","2,499,301.0","2,538,074.0","2,582,729.0","2,637,708.0","2,672,671.0","2,714,079.0","2,766,383.0","2,801,210.0","2,841,402.0","2,879,726.0","2,914,766.0","2,950,924.0","2,994,792.0","3,049,324.0","3,091,502.0","3,129,652.0","3,174,725.0","3,217,653.0","3,260,538.0","3,308,499.0","3,365,549.0","3,417,036.0","3,477,823.0","3,533,062.0","3,586,160.0","3,647,109.0","3,705,562.0","3,743,191.0","3,790,980.0","3,844,085.0","3,906,732.0","3,986,309.0","4,080,644.0","4,146,242.0","4,215,829.0","4,283,269.0","4,348,984.0","4,384,696.0","4,406,633.0","4,454,841.0","4,502,350.0","4,560,549.0","4,610,787.0","4,674,828.0","4,732,256.0","4,802,807.0","4,874,372.0","4,944,413.0","5,029,205.0","5,106,311.0","5,195,568.0","5,282,482.0","5,365,816.0","5,459,225.0","5,552,132.0","5,637,077.0","5,710,740.0","5,791,404.0","5,863,577.0","5,950,333.0","6,043,675.0","6,106,875.0","6,176,380.0","6,233,680.0","6,301,354.0","6,358,223.0","6,386,414.0","6,377,222.0","6,352,259.0","6,348,052.0","6,372,524.0","6,417,201.0","6,463,784.0","6,534,696.0","6,596,308.0","6,661,336.0","6,717,732.0","6,790,370.0","6,861,712.0","6,901,554.0","6,971,775.0","7,025,748.0","7,081,099.0","7,132,610.0","7,223,006.0","7,289,945.0","7,345,476.0","7,451,705.0","7,518,440.0","7,581,884.0","7,631,746.0"
"34","15","    Housing and utilities","DHUTRC1","97,712.0","99,524.0","102,197.0","104,494.0","106,212.0","107,939.0","110,471.0","113,065.0","115,841.0","118,633.0","121,302.0","124,148.0","126,807.0","129,575.0","132,238.0","136,119.0","138,559.0","141,794.0","145,318.0","148,269.0","151,488.0","156,434.0","160,795.0","165,599.0","169,970.0","174,897.0","178,722.0","182,518.0","186,962.0","190,900.0","196,503.0","204,286.0","210,162.0","213,282.0","221,138.0","226,642.0","234,466.0","241,253.0","246,733.0","254,664.0","262,397.0","268,138.0","275,988.0","287,089.0","296,450.0","306,344.0","317,754.0","329,268.0","334,179.0","347,936.0","357,638.0","368,530.0","378,474.0","382,215.0","389,515.0","399,790.0","405,991.0","415,878.0","426,532.0","436,509.0","440,691.0","453,368.0","463,056.0","472,927.0","487,034.0","491,708.0","505,289.0","518,408.0","522,927.0","533,162.0","542,013.0","549,802.0","555,621.0","566,766.0","576,545.0","587,305.0","599,844.0","607,057.0","620,142.0","630,707.0","639,750.0","646,722.0","657,842.0","676,359.0","675,224.0","692,414.0","706,359.0","712,161.0","719,676.0","733,639.0","739,971.0","747,707.0","754,675.0","766,639.0","774,463.0","788,670.0","797,978.0","806,842.0","822,360.0","832,576.0","847,156.0","860,521.0","868,107.0","877,591.0","889,706.0","907,768.0","924,108.0","933,142.0","950,211.0","959,069.0","963,165.0","977,316.0","988,129.0","1,001,145.0","1,014,416.0","1,035,599.0","1,041,348.0","1,061,777.0","1,076,618.0","1,082,147.0","1,099,538.0","1,115,971.0","1,134,673.0","1,142,352.0","1,158,804.0","1,184,352.0","1,208,496.0","1,242,569.0","1,271,349.0","1,281,212.0","1,295,333.0","1,302,079.0","1,312,078.0","1,327,299.0","1,337,922.0","1,357,033.0","1,373,939.0","1,388,754.0","1,397,876.0","1,415,908.0","1,434,673.0","1,457,013.0","1,478,203.0","1,506,441.0","1,534,466.0","1,566,820.0","1,600,353.0","1,632,843.0","1,643,795.0","1,673,871.0","1,702,478.0","1,709,353.0","1,736,647.0","1,752,148.0","1,766,806.0","1,777,129.0","1,805,094.0","1,834,637.0","1,849,331.0","1,867,231.0","1,875,183.0","1,877,733.0","1,880,376.0","1,890,677.0","1,898,449.0","1,899,782.0","1,912,405.0","1,925,328.0","1,934,848.0","1,950,628.0","1,975,230.0","1,978,720.0","1,977,578.0","2,004,564.0","2,023,888.0","2,029,959.0","2,066,958.0","2,082,624.0","2,085,644.0","2,110,137.0","2,160,316.0","2,157,748.0","2,161,316.0"
"35","16","    Health care","DHLCRC1","40,259.0","41,601.0","42,540.0","43,831.0","45,474.0","46,654.0","48,272.0","50,256.0","51,257.0","52,882.0","54,632.0","56,129.0","57,619.0","59,037.0","60,637.0","62,079.0","64,445.0","66,479.0","68,055.0","69,722.0","71,857.0","74,612.0","77,426.0","80,434.0","84,534.0","87,718.0","89,522.0","94,225.0","97,328.0","100,338.0","103,356.0","106,376.0","109,719.0","114,804.0","117,979.0","120,260.0","125,249.0","129,524.0","132,784.0","137,249.0","141,661.0","146,077.0","151,006.0","156,614.0","162,440.0","165,681.0","174,674.0","183,848.0","191,413.0","199,026.0","206,166.0","211,047.0","215,362.0","221,097.0","228,279.0","235,991.0","243,577.0","250,173.0","256,245.0","262,505.0","269,178.0","273,638.0","278,739.0","284,352.0","290,984.0","297,707.0","306,086.0","314,004.0","320,589.0","325,844.0","332,633.0","341,572.0","350,593.0","360,978.0","371,927.0","380,547.0","392,680.0","404,418.0","416,734.0","426,373.0","437,112.0","444,815.0","454,494.0","468,414.0","483,084.0","499,376.0","515,239.0","527,102.0","536,322.0","548,092.0","561,328.0","577,295.0","593,101.0","607,776.0","620,468.0","629,794.0","638,783.0","644,977.0","652,806.0","658,668.0","667,116.0","675,466.0","684,685.0","694,578.0","707,806.0","715,580.0","723,568.0","732,589.0","736,339.0","748,009.0","754,783.0","769,130.0","776,346.0","785,383.0","796,489.0","805,572.0","820,166.0","829,312.0","836,745.0","841,958.0","848,876.0","856,132.0","867,806.0","881,541.0","893,835.0","910,022.0","926,690.0","943,151.0","966,200.0","985,031.0","1,006,119.0","1,028,907.0","1,052,407.0","1,074,898.0","1,094,207.0","1,109,978.0","1,126,163.0","1,145,030.0","1,163,923.0","1,183,469.0","1,204,374.0","1,228,310.0","1,253,648.0","1,274,127.0","1,292,886.0","1,310,534.0","1,335,621.0","1,350,097.0","1,364,740.0","1,383,716.0","1,403,945.0","1,424,507.0","1,453,437.0","1,468,169.0","1,491,919.0","1,513,620.0","1,537,714.0","1,549,507.0","1,562,858.0","1,575,870.0","1,599,116.0","1,621,986.0","1,639,411.0","1,649,011.0","1,654,451.0","1,678,842.0","1,703,079.0","1,726,435.0","1,739,660.0","1,759,614.0","1,766,608.0","1,792,964.0","1,827,769.0","1,843,083.0","1,868,814.0","1,879,075.0","1,890,900.0","1,907,376.0","1,926,805.0","1,956,219.0","1,951,684.0","1,979,314.0","1,994,105.0"
"36","17","    Transportation services","DTRSRC1","17,128.0","17,726.0","18,232.0","18,823.0","19,400.0","19,706.0","20,344.0","20,725.0","21,189.0","22,047.0","22,846.0","23,356.0","23,990.0","24,286.0","24,709.0","25,192.0","25,570.0","25,918.0","26,225.0","26,598.0","27,365.0","28,079.0","28,827.0","29,615.0","30,457.0","31,418.0","32,607.0","33,695.0","34,892.0","35,730.0","36,442.0","37,557.0","39,437.0","40,832.0","42,313.0","42,998.0","43,720.0","44,991.0","45,830.0","46,257.0","48,139.0","49,916.0","51,311.0","53,454.0","54,188.0","53,833.0","56,035.0","57,412.0","59,299.0","58,834.0","60,497.0","60,528.0","60,037.0","60,918.0","62,396.0","63,564.0","64,970.0","67,107.0","70,341.0","73,178.0","76,751.0","79,170.0","80,359.0","83,783.0","87,355.0","89,632.0","91,044.0","92,549.0","93,374.0","94,046.0","95,436.0","97,178.0","99,500.0","101,803.0","104,447.0","106,637.0","109,379.0","112,617.0","115,904.0","118,700.0","121,107.0","121,817.0","121,993.0","122,471.0","124,655.0","126,738.0","126,862.0","127,233.0","122,886.0","122,767.0","123,874.0","125,166.0","129,306.0","130,819.0","135,354.0","139,007.0","141,730.0","144,101.0","147,303.0","151,260.0","155,542.0","160,091.0","164,175.0","167,780.0","170,627.0","175,502.0","180,763.0","184,891.0","187,512.0","192,201.0","196,996.0","203,112.0","208,366.0","212,699.0","216,598.0","219,568.0","222,576.0","225,370.0","229,625.0","232,954.0","236,710.0","241,375.0","246,952.0","251,330.0","256,565.0","261,924.0","266,047.0","269,656.0","270,071.0","268,406.0","262,557.0","257,786.0","258,231.0","258,234.0","257,485.0","258,692.0","261,534.0","262,552.0","267,403.0","270,367.0","273,375.0","274,923.0","277,184.0","280,761.0","283,938.0","287,389.0","291,326.0","294,888.0","297,310.0","301,568.0","302,907.0","306,441.0","310,083.0","311,135.0","313,127.0","314,522.0","314,813.0","315,147.0","313,020.0","303,880.0","295,413.0","288,940.0","287,174.0","287,254.0","288,965.0","291,650.0","293,951.0","297,120.0","300,988.0","306,763.0","310,813.0","313,932.0","316,292.0","319,101.0","321,284.0","322,877.0","329,215.0","330,195.0","333,701.0","337,376.0","339,151.0","343,607.0","346,131.0"
"37","18","    Recreation services","DRCARC1","12,577.0","12,950.0","12,949.0","13,226.0","13,676.0","13,864.0","14,123.0","14,346.0","14,598.0","14,927.0","15,190.0","15,753.0","15,857.0","16,111.0","16,450.0","16,899.0","17,593.0","18,205.0","18,501.0","19,093.0","19,589.0","20,416.0","21,372.0","22,413.0","23,056.0","23,159.0","23,800.0","24,596.0","25,174.0","25,892.0","27,097.0","27,976.0","28,178.0","29,022.0","30,024.0","31,025.0","31,663.0","32,280.0","33,380.0","34,077.0","35,263.0","36,345.0","37,281.0","38,012.0","39,066.0","39,898.0","41,256.0","43,129.0","44,683.0","46,548.0","48,199.0","49,075.0","50,677.0","51,654.0","53,142.0","54,426.0","56,375.0","58,815.0","60,331.0","62,195.0","63,641.0","65,115.0","66,968.0","68,745.0","70,987.0","73,147.0","74,788.0","76,908.0","78,432.0","79,267.0","80,644.0","83,134.0","84,578.0","86,126.0","87,961.0","90,443.0","93,812.0","97,619.0","100,942.0","104,564.0","107,777.0","109,733.0","112,027.0","113,124.0","117,217.0","120,886.0","123,463.0","125,507.0","124,856.0","125,994.0","127,706.0","130,172.0","135,071.0","138,345.0","141,052.0","144,734.0","147,895.0","151,516.0","156,124.0","157,966.0","160,563.0","163,111.0","166,417.0","168,547.0","173,687.0","179,596.0","183,293.0","187,792.0","189,806.0","193,615.0","198,350.0","200,560.0","204,157.0","207,328.0","209,507.0","212,279.0","216,329.0","217,703.0","221,584.0","225,203.0","228,994.0","234,766.0","241,689.0","246,770.0","249,239.0","253,151.0","257,016.0","258,153.0","262,216.0","261,955.0","261,703.0","263,286.0","266,507.0","269,611.0","272,110.0","277,383.0","279,941.0","285,824.0","292,558.0","298,395.0","305,447.0","310,595.0","314,785.0","317,589.0","323,031.0","326,595.0","329,870.0","336,098.0","342,897.0","347,972.0","353,487.0","363,426.0","368,802.0","373,826.0","378,381.0","382,372.0","384,647.0","387,165.0","386,184.0","379,969.0","377,269.0","373,420.0","375,331.0","377,979.0","380,510.0","380,881.0","387,857.0","390,961.0","391,608.0","400,253.0","403,935.0","406,445.0","413,392.0","416,530.0","420,320.0","423,528.0","431,522.0","431,957.0","438,461.0","441,961.0","442,664.0","442,870.0","440,534.0"
