"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"34","15","    Domestic business","W276RC1","13,578.0","14,400.0","15,175.0","15,902.0","16,582.0","17,180.0","17,696.0","18,130.0","18,483.0","18,804.0","19,094.0","19,352.0","19,580.0","19,982.0","20,559.0","21,311.0","22,239.0","22,985.0","23,551.0","23,937.0","24,142.0","24,401.0","24,715.0","25,083.0","25,506.0","25,900.0","26,267.0","26,607.0","26,918.0","27,222.0","27,520.0","27,811.0","28,096.0","28,544.0","29,155.0","29,930.0","30,868.0","31,760.0","32,606.0","33,406.0","34,160.0","34,875.0","35,550.0","36,187.0","36,784.0","37,322.0","37,801.0","38,220.0","38,581.0","38,904.0","39,191.0","39,441.0","39,654.0","39,891.0","40,153.0","40,438.0","40,748.0","41,087.0","41,456.0","41,854.0","42,283.0","42,719.0","43,164.0","43,618.0","44,080.0","44,581.0","45,120.0","45,699.0","46,317.0","46,995.0","47,732.0","48,528.0","49,384.0","50,334.0","51,379.0","52,519.0","53,753.0","55,000.0","56,261.0","57,534.0","58,820.0","60,159.0","61,550.0","62,994.0","64,490.0","66,078.0","67,756.0","69,524.0","71,384.0","73,254.0"
"35","16","    Households and institutions","W279RC1","2,713.0","2,904.0","3,067.0","3,200.0","3,304.0","3,394.0","3,470.0","3,531.0","3,578.0","3,629.0","3,683.0","3,742.0","3,805.0","3,898.0","4,020.0","4,174.0","4,356.0","4,515.0","4,647.0","4,753.0","4,835.0","4,916.0","4,997.0","5,079.0","5,162.0","5,240.0","5,315.0","5,387.0","5,456.0","5,537.0","5,631.0","5,736.0","5,855.0","5,985.0","6,126.0","6,279.0","6,443.0","6,592.0","6,723.0","6,838.0","6,936.0","7,027.0","7,109.0","7,184.0","7,250.0","7,329.0","7,418.0","7,518.0","7,630.0","7,739.0","7,843.0","7,944.0","8,042.0","8,133.0","8,220.0","8,301.0","8,377.0","8,455.0","8,535.0","8,618.0","8,703.0","8,795.0","8,892.0","8,994.0","9,102.0","9,220.0","9,347.0","9,484.0","9,629.0","9,789.0","9,961.0","10,148.0","10,348.0","10,553.0","10,765.0","10,981.0","11,203.0","11,424.0","11,644.0","11,862.0","12,079.0","12,313.0","12,562.0","12,826.0","13,106.0","13,431.0","13,803.0","14,220.0","14,683.0","15,089.0"
"36","17","  Government","A264RC1","11,457.0","11,452.0","11,560.0","11,393.0","10,899.0","10,585.0","10,507.0","10,292.0","10,229.0","9,872.0","9,543.0","9,339.0","9,080.0","8,918.0","9,015.0","9,383.0","9,683.0","9,862.0","10,110.0","10,392.0","10,577.0","10,892.0","11,290.0","11,542.0","11,824.0","12,107.0","12,224.0","12,382.0","12,599.0","12,948.0","13,133.0","13,412.0","13,501.0","13,662.0","14,043.0","14,365.0","14,828.0","15,149.0","15,495.0","15,791.0","16,213.0","16,514.0","16,829.0","17,068.0","17,027.0","17,311.0","17,697.0","18,022.0","18,259.0","18,483.0","18,738.0","19,002.0","19,278.0","19,535.0","19,826.0","20,102.0","20,381.0","20,654.0","20,958.0","21,306.0","21,728.0","22,004.0","22,504.0","22,998.0","23,329.0","23,707.0","23,998.0","24,343.0","24,655.0","24,966.0","25,257.0","25,535.0","25,854.0","26,228.0","26,613.0","26,963.0","27,341.0","27,888.0","28,363.0","28,898.0","29,345.0","29,849.0","30,471.0","31,108.0","31,842.0","32,404.0","32,966.0","33,676.0","34,389.0","35,120.0"
"37","18","    Federal","A918RC1","9,668.0","9,620.0","9,656.0","9,420.0","8,852.0","8,476.0","8,324.0","8,080.0","8,020.0","7,696.0","7,380.0","7,184.0","6,992.0","6,820.0","6,820.0","7,048.0","7,184.0","7,264.0","7,440.0","7,676.0","7,876.0","8,120.0","8,420.0","8,704.0","8,924.0","9,224.0","9,312.0","9,508.0","9,756.0","9,980.0","10,156.0","10,372.0","10,492.0","10,600.0","10,812.0","11,040.0","11,368.0","11,572.0","11,800.0","12,016.0","12,376.0","12,568.0","12,836.0","13,068.0","13,056.0","13,240.0","13,528.0","13,784.0","13,952.0","14,152.0","14,372.0","14,600.0","14,824.0","15,020.0","15,248.0","15,460.0","15,672.0","15,876.0","16,112.0","16,384.0","16,704.0","16,884.0","17,304.0","17,700.0","17,948.0","18,228.0","18,428.0","18,660.0","18,876.0","19,088.0","19,280.0","19,452.0","19,624.0","19,848.0","20,100.0","20,308.0","20,540.0","20,856.0","21,164.0","21,512.0","21,812.0","22,196.0","22,612.0","23,052.0","23,508.0","23,888.0","24,328.0","24,728.0","25,172.0","25,572.0"
"38","19","    State and local","A919RC1","1,789.0","1,832.0","1,904.0","1,973.0","2,047.0","2,109.0","2,183.0","2,212.0","2,209.0","2,176.0","2,163.0","2,155.0","2,088.0","2,098.0","2,195.0","2,335.0","2,499.0","2,598.0","2,670.0","2,716.0","2,701.0","2,772.0","2,870.0","2,838.0","2,900.0","2,883.0","2,912.0","2,874.0","2,843.0","2,968.0","2,977.0","3,040.0","3,009.0","3,062.0","3,231.0","3,325.0","3,460.0","3,577.0","3,695.0","3,775.0","3,837.0","3,946.0","3,993.0","4,000.0","3,971.0","4,071.0","4,169.0","4,238.0","4,307.0","4,331.0","4,366.0","4,402.0","4,454.0","4,515.0","4,578.0","4,642.0","4,709.0","4,778.0","4,846.0","4,922.0","5,024.0","5,120.0","5,200.0","5,298.0","5,381.0","5,479.0","5,570.0","5,683.0","5,779.0","5,878.0","5,977.0","6,083.0","6,230.0","6,380.0","6,513.0","6,655.0","6,801.0","7,032.0","7,199.0","7,386.0","7,533.0","7,653.0","7,859.0","8,056.0","8,334.0","8,516.0","8,638.0","8,948.0","9,217.0","9,548.0"
"39","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","50,215.0","49,495.0","51,071.0","57,625.0","59,665.0","61,609.0","62,230.0","61,495.0","55,571.0","49,235.0","52,116.0","48,216.0","56,469.0","62,132.0","67,685.0","78,266.0","77,752.0","85,922.0","85,292.0","83,847.0","85,734.0","78,389.0","81,000.0","84,798.0","86,849.0","87,438.0","87,270.0","81,431.0","81,639.0","81,728.0","83,611.0","87,530.0","93,340.0","97,206.0","99,814.0","103,582.0","104,824.0","105,822.0","109,035.0","110,323.0","113,048.0","112,447.0","114,844.0","105,470.0","99,479.0","97,866.0","105,960.0","114,175.0","117,861.0","123,418.0","119,146.0","120,587.0","133,295.0","124,777.0","126,900.0","117,611.0","123,329.0","126,634.0","134,525.0","138,292.0","143,079.0","143,333.0","145,397.0","141,692.0","146,819.0","150,522.0","155,041.0","158,289.0","164,483.0","163,768.0","166,755.0","169,027.0","178,495.0","180,986.0","186,055.0","189,118.0","200,802.0","199,351.0","200,092.0","205,999.0","205,074.0","197,605.0","203,927.0","208,761.0","212,298.0","220,677.0","216,686.0","221,075.0","235,510.0","233,079.0"
"40","21","Gross domestic investment","W170RC1","40,810.0","39,622.0","40,990.0","49,828.0","54,749.0","58,585.0","61,298.0","60,699.0","53,379.0","47,527.0","51,468.0","49,248.0","57,426.0","63,377.0","70,366.0","80,755.0","79,462.0","85,572.0","83,102.0","81,169.0","82,212.0","77,263.0","82,054.0","86,032.0","88,196.0","89,265.0","88,449.0","82,362.0","82,127.0","81,392.0","83,687.0","86,622.0","92,857.0","97,435.0","99,007.0","103,155.0","103,881.0","103,591.0","106,012.0","105,792.0","107,492.0","107,641.0","109,930.0","101,876.0","98,002.0","97,045.0","104,911.0","114,318.0","119,385.0","125,526.0","119,726.0","121,463.0","131,571.0","122,290.0","123,203.0","112,833.0","117,996.0","122,617.0","130,766.0","134,547.0","140,028.0","138,565.0","141,267.0","138,444.0","142,941.0","145,204.0","150,416.0","152,325.0","156,242.0","157,027.0","159,194.0","161,701.0","172,747.0","173,948.0","180,105.0","183,223.0","196,119.0","195,435.0","197,372.0","202,084.0","200,702.0","194,049.0","200,750.0","205,934.0","210,642.0","218,459.0","215,214.0","220,293.0","233,905.0","232,434.0"
"41","22","  Gross private domestic investment","A006RC1","35,856.0","34,504.0","34,909.0","43,249.0","47,200.0","50,333.0","52,513.0","51,332.0","43,137.0","36,239.0","39,547.0","37,462.0","46,747.0","52,288.0","58,643.0","68,438.0","64,583.0","67,379.0","61,976.0","57,081.0","58,130.0","53,000.0","57,216.0","60,738.0","61,659.0","62,117.0","61,433.0","56,445.0","55,712.0","55,446.0","58,967.0","62,138.0","68,720.0","72,685.0","74,746.0","78,881.0","78,303.0","77,018.0","78,264.0","77,146.0","77,728.0","77,906.0","79,337.0","71,046.0","66,731.0","65,062.0","71,998.0","80,002.0","83,165.0","89,380.0","83,606.0","86,525.0","96,473.0","87,094.0","86,373.0","75,963.0","78,377.0","84,108.0","90,914.0","92,931.0","98,075.0","96,704.0","98,160.0","94,970.0","99,686.0","101,648.0","104,607.0","107,188.0","110,473.0","110,522.0","112,631.0","114,982.0","126,538.0","127,048.0","131,236.0","133,750.0","144,197.0","143,500.0","143,191.0","145,855.0","142,809.0","137,493.0","142,836.0","147,654.0","152,288.0","158,942.0","155,684.0","160,757.0","172,388.0","172,720.0"
"42","23","    Domestic business","W987RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","68,840.0","61,365.0","61,508.0","51,271.0","53,951.0","59,662.0","65,511.0","66,871.0","71,666.0","69,667.0","71,268.0","68,321.0","72,373.0","72,787.0","75,573.0","77,209.0","79,226.0","80,098.0","82,319.0","84,283.0","95,169.0","95,063.0","98,884.0","101,063.0","111,185.0","111,646.0","112,301.0","116,955.0","114,399.0","106,315.0","110,236.0","113,108.0","117,392.0","123,510.0","119,905.0","123,421.0","133,407.0","133,713.0"
"43","24","    Households and institutions","W988RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","27,633.0","25,729.0","24,865.0","24,692.0","24,426.0","24,446.0","25,403.0","26,060.0","26,409.0","27,037.0","26,892.0","26,649.0","27,313.0","28,861.0","29,034.0","29,979.0","31,247.0","30,424.0","30,312.0","30,699.0","31,369.0","31,985.0","32,352.0","32,687.0","33,012.0","31,854.0","30,890.0","28,900.0","28,410.0","31,178.0","32,600.0","34,546.0","34,896.0","35,432.0","35,779.0","37,336.0","38,981.0","39,007.0"
"44","25","  Gross government investment","A782RC1","4,954.0","5,118.0","6,081.0","6,579.0","7,549.0","8,252.0","8,785.0","9,367.0","10,242.0","11,288.0","11,921.0","11,786.0","10,679.0","11,089.0","11,723.0","12,317.0","14,879.0","18,193.0","21,126.0","24,088.0","24,082.0","24,263.0","24,838.0","25,294.0","26,537.0","27,148.0","27,016.0","25,917.0","26,415.0","25,946.0","24,720.0","24,484.0","24,137.0","24,750.0","24,261.0","24,274.0","25,578.0","26,573.0","27,748.0","28,646.0","29,764.0","29,735.0","30,593.0","30,830.0","31,271.0","31,983.0","32,913.0","34,316.0","36,220.0","36,146.0","36,120.0","34,938.0","35,098.0","35,196.0","36,830.0","36,870.0","39,619.0","38,509.0","39,852.0","41,616.0","41,953.0","41,861.0","43,107.0","43,474.0","43,255.0","43,556.0","45,809.0","45,137.0","45,769.0","46,505.0","46,563.0","46,719.0","46,209.0","46,900.0","48,869.0","49,473.0","51,922.0","51,935.0","54,181.0","56,229.0","57,893.0","56,556.0","57,914.0","58,280.0","58,354.0","59,517.0","59,530.0","59,536.0","61,517.0","59,714.0"
"45","26","    Federal","A787RC1","2,264.0","2,388.0","3,140.0","3,380.0","4,088.0","4,316.0","4,472.0","4,800.0","5,444.0","5,920.0","6,220.0","6,064.0","5,072.0","5,352.0","5,704.0","5,980.0","8,304.0","11,068.0","13,856.0","16,904.0","16,732.0","16,912.0","17,472.0","17,768.0","18,736.0","19,436.0","19,004.0","17,460.0","17,472.0","16,736.0","15,228.0","14,952.0","14,312.0","14,640.0","14,000.0","13,892.0","14,528.0","15,188.0","16,256.0","17,036.0","17,308.0","17,120.0","17,976.0","17,896.0","18,100.0","18,672.0","19,016.0","19,960.0","21,564.0","21,732.0","22,124.0","21,660.0","21,564.0","21,244.0","22,392.0","22,368.0","24,264.0","24,008.0","24,848.0","25,468.0","26,120.0","26,004.0","26,888.0","26,996.0","26,032.0","26,292.0","27,692.0","26,664.0","27,152.0","27,084.0","27,012.0","27,212.0","26,488.0","26,224.0","26,960.0","27,120.0","29,216.0","28,860.0","30,796.0","31,480.0","32,056.0","30,868.0","32,664.0","32,168.0","31,344.0","31,280.0","31,116.0","30,684.0","32,480.0","30,252.0"
"46","27","    State and local","A799RC1","2,690.0","2,730.0","2,941.0","3,199.0","3,461.0","3,936.0","4,313.0","4,567.0","4,798.0","5,368.0","5,701.0","5,722.0","5,607.0","5,737.0","6,019.0","6,337.0","6,575.0","7,125.0","7,270.0","7,184.0","7,350.0","7,351.0","7,366.0","7,526.0","7,801.0","7,712.0","8,012.0","8,457.0","8,943.0","9,210.0","9,492.0","9,532.0","9,825.0","10,110.0","10,261.0","10,382.0","11,050.0","11,385.0","11,492.0","11,610.0","12,456.0","12,615.0","12,617.0","12,934.0","13,171.0","13,311.0","13,897.0","14,356.0","14,656.0","14,414.0","13,996.0","13,278.0","13,534.0","13,952.0","14,438.0","14,502.0","15,355.0","14,501.0","15,004.0","16,148.0","15,833.0","15,857.0","16,219.0","16,478.0","17,223.0","17,264.0","18,117.0","18,473.0","18,617.0","19,421.0","19,551.0","19,507.0","19,721.0","20,676.0","21,909.0","22,353.0","22,706.0","23,075.0","23,385.0","24,749.0","25,837.0","25,688.0","25,250.0","26,112.0","27,010.0","28,237.0","28,414.0","28,852.0","29,037.0","29,462.0"
"47","28","Capital account transactions (net) \1\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4.0","0.0"
"48","29","  Private","W999RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","804.0","779.0","639.0","1,109.0","1,114.0","736.0","823.0","936.0","690.0","853.0","924.0","973.0","1,189.0","987.0","1,084.0","1,222.0","906.0","1,087.0","1,102.0","2,262.0","1,640.0","1,888.0","1,737.0","1,783.0","1,500.0","1,955.0","1,668.0","2,040.0","2,485.0","2,945.0","1,734.0","3,803.0","4,211.0","3,353.0","3,566.0","2,777.0","3,350.0","3,556.0"
"49","30","    Domestic business","W989RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-568.0","-816.0","-835.0","-762.0","-707.0","-901.0","-975.0","-800.0","-937.0","-1,069.0","-906.0","-951.0","-756.0","-1,047.0","-1,061.0","-661.0","-1,101.0","-1,302.0","-1,351.0","-248.0","-975.0","-548.0","-880.0","-1,008.0","-1,408.0","-962.0","-1,118.0","-683.0","-456.0","127.0","-1,365.0","991.0","1,665.0","441.0","425.0","-636.0","-375.0","-484.0"
"50","31","    Households and institutions","W990RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,372.0","1,595.0","1,474.0","1,871.0","1,821.0","1,637.0","1,798.0","1,736.0","1,627.0","1,922.0","1,830.0","1,924.0","1,945.0","2,034.0","2,145.0","1,883.0","2,007.0","2,389.0","2,453.0","2,510.0","2,615.0","2,436.0","2,617.0","2,791.0","2,908.0","2,917.0","2,786.0","2,723.0","2,941.0","2,818.0","3,099.0","2,812.0","2,546.0","2,912.0","3,141.0","3,413.0","3,725.0","4,040.0"
"51","32","  Government","W991RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-805.0","-779.0","-639.0","-1,109.0","-1,112.0","-735.0","-822.0","-934.0","-690.0","-854.0","-926.0","-974.0","-1,189.0","-987.0","-1,084.0","-1,224.0","-907.0","-1,087.0","-1,104.0","-2,262.0","-1,641.0","-1,887.0","-1,737.0","-1,783.0","-1,500.0","-1,953.0","-1,668.0","-2,039.0","-2,487.0","-2,946.0","-1,735.0","-3,804.0","-4,210.0","-3,353.0","-3,566.0","-2,777.0","-3,346.0","-3,556.0"
"52","33","    Federal","W992RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,131.0","1,459.0","1,719.0","923.0","1,443.0","1,454.0","1,370.0","1,322.0","1,726.0","1,710.0","1,350.0","1,642.0","1,558.0","1,858.0","1,982.0","2,082.0","2,142.0","2,306.0","2,710.0","1,334.0","1,874.0","1,546.0","1,626.0","1,718.0","2,206.0","1,794.0","2,190.0","1,742.0","1,262.0","-74.0","2,210.0","458.0","1,014.0","1,478.0","2,197.0","3,113.0","2,481.0","2,325.0"
"53","34","    State and local","W993RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-1,936.0","-2,238.0","-2,358.0","-2,032.0","-2,555.0","-2,189.0","-2,192.0","-2,256.0","-2,416.0","-2,564.0","-2,276.0","-2,616.0","-2,747.0","-2,845.0","-3,066.0","-3,306.0","-3,049.0","-3,393.0","-3,814.0","-3,596.0","-3,515.0","-3,433.0","-3,363.0","-3,501.0","-3,706.0","-3,747.0","-3,858.0","-3,781.0","-3,749.0","-2,872.0","-3,945.0","-4,262.0","-5,224.0","-4,831.0","-5,763.0","-5,890.0","-5,827.0","-5,881.0"
"54","35","Net lending or net borrowing (-), NIPAs","W162RC1","9,405.0","9,873.0","10,081.0","7,797.0","4,916.0","3,024.0","932.0","796.0","2,192.0","1,708.0","648.0","-1,032.0","-957.0","-1,245.0","-2,681.0","-2,489.0","-1,710.0","350.0","2,190.0","2,678.0","3,522.0","1,126.0","-1,054.0","-1,234.0","-1,347.0","-1,827.0","-1,179.0","-931.0","-488.0","336.0","-76.0","908.0","483.0","-229.0","807.0","427.0","943.0","2,231.0","3,023.0","4,531.0","5,556.0","4,806.0","4,914.0","3,594.0","1,477.0","821.0","1,049.0","-143.0","-1,524.0","-2,108.0","-580.0","-876.0","1,724.0","2,487.0","3,697.0","4,778.0","5,333.0","4,017.0","3,759.0","3,745.0","3,051.0","4,768.0","4,130.0","3,248.0","3,878.0","5,318.0","4,625.0","5,964.0","8,241.0","6,741.0","7,561.0","7,326.0","5,748.0","7,038.0","5,950.0","5,895.0","4,683.0","3,916.0","2,720.0","3,915.0","4,372.0","3,556.0","3,177.0","2,827.0","1,656.0","2,218.0","1,472.0","782.0","1,601.0","645.0"
"55","36","  Private","W994RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,320.0","13,525.0","17,905.0","22,835.0","26,067.0","25,596.0","24,313.0","23,420.0","24,981.0","26,251.0","24,850.0","24,562.0","22,606.0","21,679.0","22,961.0","24,044.0","29,507.0","33,086.0","30,105.0","27,183.0","21,472.0","23,712.0","31,765.0","31,975.0","26,671.0","26,231.0","29,324.0","34,748.0","44,464.0","43,107.0","43,470.0","40,858.0","36,618.0","39,514.0","30,526.0","29,517.0","19,468.0","19,276.0"
"56","37","    Domestic business","W995RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8,046.0","-3,804.0","-2,478.0","3,144.0","2,195.0","622.0","-3,243.0","-4,317.0","-2,917.0","-738.0","-1,611.0","-646.0","-3,011.0","-2,673.0","-721.0","-3,008.0","2,469.0","283.0","-1,390.0","-8,339.0","-9,973.0","-8,220.0","-6,151.0","-3,637.0","-7,602.0","-9,874.0","-9,701.0","-11,421.0","-7,828.0","-4,356.0","-6,544.0","-9,637.0","-12,721.0","-11,953.0","-12,262.0","-14,289.0","-18,026.0","-22,260.0"
"57","38","    Households and institutions","W996RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17,367.0","17,328.0","20,383.0","19,690.0","23,873.0","24,976.0","27,556.0","27,736.0","27,898.0","26,988.0","26,462.0","25,208.0","25,617.0","24,352.0","23,683.0","27,053.0","27,037.0","32,803.0","31,494.0","35,522.0","31,444.0","31,932.0","37,917.0","35,612.0","34,272.0","36,105.0","39,025.0","46,169.0","52,292.0","47,463.0","50,013.0","50,493.0","49,339.0","51,466.0","42,789.0","43,806.0","37,493.0","41,537.0"
"58","39","  Government","AD01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-7,595.0","-11,038.0","-14,208.0","-18,057.0","-20,736.0","-21,580.0","-20,555.0","-19,677.0","-21,930.0","-21,481.0","-20,718.0","-21,313.0","-18,728.0","-16,361.0","-18,336.0","-18,078.0","-21,265.0","-26,345.0","-22,541.0","-19,856.0","-15,723.0","-16,676.0","-25,815.0","-26,079.0","-21,988.0","-22,316.0","-26,604.0","-30,834.0","-40,089.0","-39,549.0","-40,292.0","-38,031.0","-34,963.0","-37,296.0","-29,054.0","-28,735.0","-17,867.0","-18,631.0"
"59","40","    Federal","AD02RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-3,146.0","-6,377.0","-9,241.0","-12,741.0","-14,710.0","-15,969.0","-14,977.0","-13,296.0","-16,513.0","-16,474.0","-15,798.0","-16,429.0","-13,068.0","-10,992.0","-12,883.0","-12,428.0","-15,936.0","-20,457.0","-17,156.0","-14,154.0","-9,645.0","-9,918.0","-17,866.0","-18,124.0","-14,949.0","-15,421.0","-19,641.0","-22,024.0","-30,769.0","-29,069.0","-31,067.0","-29,000.0","-25,794.0","-27,489.0","-19,074.0","-18,364.0","-7,550.0","-8,497.0"
"60","41","    State and local","AD03RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-4,449.0","-4,661.0","-4,967.0","-5,316.0","-6,026.0","-5,611.0","-5,578.0","-6,380.0","-5,417.0","-5,007.0","-4,920.0","-4,885.0","-5,660.0","-5,368.0","-5,453.0","-5,651.0","-5,329.0","-5,888.0","-5,386.0","-5,701.0","-6,078.0","-6,758.0","-7,949.0","-7,956.0","-7,040.0","-6,895.0","-6,962.0","-8,811.0","-9,320.0","-10,480.0","-9,225.0","-9,031.0","-9,168.0","-9,807.0","-9,980.0","-10,370.0","-10,317.0","-10,133.0"
"61","42","    Statistical discrepancy","A030RC1","2,758.0","2,717.0","2,122.0","3,814.0","674.0","-1,125.0","227.0","-866.0","827.0","664.0","2,014.0","3,381.0","3,297.0","425.0","621.0","632.0","3,444.0","3,414.0","4,543.0","2,297.0","3,731.0","2,369.0","1,672.0","2,537.0","2,873.0","3,218.0","3,536.0","5,421.0","2,731.0","2,477.0","3,424.0","2,880.0","3,415.0","1,759.0","1,962.0","1,292.0","-859.0","-1,752.0","-2,614.0","-3,048.0","-1,219.0","-1,869.0","623.0","907.0","-1,221.0","527.0","1,024.0","2,115.0","26.0","-1,450.0","1,797.0","222.0","238.0","-1,630.0","-205.0","-3,847.0","-1,331.0","-453.0","-82.0","-2,028.0","1,445.0","1,273.0","888.0","-3,928.0","-2,354.0","-3,387.0","350.0","-689.0","2,584.0","748.0","402.0","-3,795.0","-2,242.0","-1,692.0","2,837.0","4,193.0","6,487.0","4,527.0","4,797.0","4,676.0","7,514.0","3,642.0","2,119.0","366.0","5,055.0","6,675.0","1,302.0","-318.0","5,570.0","1,935.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
