"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"54","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1","29,677.0","24,035.0","32,914.0","42,067.0","58,153.0","67,819.0","62,092.0","84,323.0","101,249.0","123,073.0","135,036.0","112,774.0","104,296.0","71,910.0","76,864.0","85,626.0","66,436.0","28,748.0","56,733.0","91,717.0","49,831.0","38,452.0","58,069.0","79,300.0","73,242.0","132,790.0","148,288.0","142,165.0","151,669.0","62,148.0","78,989.0","-19,628.0","-12,967.0","85,568.0","157,169.0","241,713.0","682,196.0","473,795.0","271,024.0","38,546.0","389,425.0","632,403.0","457,043.0","599,221.0","531,306.0"
"55","35","    Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","6,136.0","-9,558.0","-39,453.0","-32,132.0","-35,675.0","-39,523.0","-36,958.0","6,660.0","-41,007.0","-68,289.0","-9,499.0","3,332.0"
"56","36","    Capital consumption adjustment","A059RC1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-103,820.0","-131,797.0"
"57",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Profits before tax (without IVA and CCAdj)","A464RC1","76,421.0","63,672.0","73,533.0","86,899.0","110,136.0","123,275.0","119,716.0","154,066.0","176,780.0","206,780.0","224,767.0","212,037.0","216,645.0","172,540.0","192,632.0","226,972.0","205,045.0","170,364.0","222,478.0","264,470.0","243,981.0","238,347.0","232,413.0","257,057.0","309,099.0","397,865.0","452,021.0","488,920.0","527,104.0","486,404.0","489,553.0","451,200.0","325,254.0","359,490.0","496,280.0","700,167.0","1,004,570.0","1,180,114.0","1,093,518.0","880,310.0","752,499.0","1,039,175.0","1,008,950.0","1,245,423.0","1,298,807.0"
"59","38","    Profits after tax (without IVA and CCAdj)","A466RC1","43,077.0","36,386.0","43,538.0","53,104.0","69,727.0","80,426.0","77,808.0","100,571.0","116,202.0","139,224.0","154,148.0","143,834.0","150,651.0","123,777.0","130,911.0","151,032.0","133,962.0","94,126.0","128,248.0","160,517.0","142,773.0","139,894.0","143,815.0","162,628.0","201,058.0","265,509.0","311,698.0","335,992.0","365,745.0","327,736.0","318,182.0","281,007.0","214,009.0","262,384.0","363,391.0","513,178.0","732,704.0","872,412.0","799,698.0","652,875.0","574,655.0","818,591.0","780,152.0","974,052.0","969,462.0"
"60","39","    Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","6,136.0","-9,558.0","-39,453.0","-32,132.0","-35,675.0","-39,523.0","-36,958.0","6,660.0","-41,007.0","-68,289.0","-9,499.0","3,332.0"
"61","40","    Capital consumption adjustment","B470RC1","7,755.0","6,743.0","6,203.0","8,022.0","6,679.0","2,359.0","-4,902.0","-6,908.0","-5,945.0","-7,319.0","-10,597.0","-14,246.0","-2,109.0","8,238.0","25,360.0","45,920.0","66,001.0","52,779.0","53,117.0","52,173.0","46,501.0","36,693.0","29,813.0","31,322.0","34,519.0","45,329.0","44,204.0","50,319.0","51,864.0","55,689.0","60,817.0","45,685.0","48,662.0","102,763.0","96,698.0","81,466.0","-101,519.0","-129,420.0","-139,361.0","-29,055.0","-41,070.0","-15,153.0","98,335.0","-66,485.0","-88,340.0"
"62",NA,"  Value added, in millions of chained (2009) dollars:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","41","    Gross value added of nonfinancial corporate business \2\","B455RX1","2,028,374.0","2,010,766.0","2,089,989.0","2,248,437.0","2,385,045.0","2,348,768.0","2,315,536.0","2,504,978.0","2,689,460.0","2,864,157.0","2,956,011.0","2,927,072.0","3,045,880.0","2,979,440.0","3,125,157.0","3,403,574.0","3,561,340.0","3,654,194.0","3,848,009.0","4,084,433.0","4,162,039.0","4,222,222.0","4,200,448.0","4,328,488.0","4,435,186.0","4,708,080.0","4,935,444.0","5,224,693.0","5,573,366.0","5,889,780.0","6,210,295.0","6,550,581.0","6,411,500.0","6,466,314.0","6,606,790.0","6,904,122.0","7,131,656.0","7,406,269.0","7,480,474.0","7,383,897.0","6,859,798.0","7,240,048.0","7,421,528.0","7,742,643.0","7,922,114.0"
"64","42","      Consumption of fixed capital \3\","N456RX1","187,038.0","197,672.0","206,502.0","216,658.0","231,875.0","244,733.0","253,906.0","262,136.0","273,987.0","288,498.0","305,333.0","321,306.0","336,024.0","351,673.0","364,159.0","380,116.0","402,346.0","421,347.0","438,731.0","454,259.0","470,576.0","488,017.0","503,545.0","518,465.0","538,263.0","563,354.0","596,186.0","634,002.0","679,569.0","730,133.0","783,878.0","841,520.0","888,611.0","912,762.0","927,718.0","948,329.0","977,458.0","1,015,147.0","1,053,608.0","1,083,357.0","1,091,971.0","1,093,471.0","1,117,059.0","1,143,311.0","1,173,744.0"
"65","43","      Net value added \4\","A457RX1","1,841,336.0","1,813,094.0","1,883,487.0","2,031,779.0","2,153,170.0","2,104,035.0","2,061,630.0","2,242,842.0","2,415,473.0","2,575,659.0","2,650,678.0","2,605,766.0","2,709,856.0","2,627,767.0","2,760,998.0","3,023,458.0","3,158,994.0","3,232,847.0","3,409,278.0","3,630,174.0","3,691,463.0","3,734,205.0","3,696,903.0","3,810,023.0","3,896,923.0","4,144,726.0","4,339,258.0","4,590,691.0","4,893,797.0","5,159,647.0","5,426,417.0","5,709,061.0","5,522,889.0","5,553,552.0","5,679,072.0","5,955,793.0","6,154,198.0","6,391,122.0","6,426,866.0","6,300,540.0","5,767,827.0","6,146,577.0","6,304,469.0","6,599,332.0","6,748,370.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Estimates for financial corporate business and nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","corporate business for 2000 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1987 Standard Industrial Classification (SIC); later estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","3. Chained-dollar consumption of fixed capital of nonfinancial corporate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","business is calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","the 2009 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","4. Chained-dollar net value added of nonfinancial corporate business is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","difference between the gross product and the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
