"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"52","33","          Other","A937RC1","9,419.0","10,084.0","10,778.0","11,243.0","11,324.0","11,672.0","11,564.0","11,818.0","11,656.0","12,164.0","12,231.0","12,554.0","12,711.0","12,862.0","13,160.0","14,077.0","15,158.0","15,935.0","16,666.0","17,522.0","18,111.0","18,746.0","19,458.0","20,492.0","20,199.0","20,091.0","20,201.0","20,185.0","20,928.0","22,134.0","23,815.0","25,562.0","26,163.0","27,465.0","28,430.0","30,039.0","31,697.0","34,331.0","35,890.0","37,195.0","38,790.0","38,980.0","40,596.0","42,379.0","45,313.0","45,325.0","47,140.0","47,868.0","50,035.0","52,119.0","53,637.0","54,171.0","55,685.0","55,275.0","55,825.0","54,605.0","55,970.0","58,305.0","59,120.0","65,775.0","65,641.0","69,427.0","70,341.0","72,863.0","72,537.0","72,607.0","72,427.0","73,840.0","74,581.0","76,631.0","78,124.0","81,614.0","75,345.0","75,464.0","77,696.0","77,214.0","80,306.0","83,188.0","83,370.0","84,336.0","85,430.0","87,281.0","88,866.0","88,921.0","91,162.0","90,572.0","91,069.0","90,890.0","89,261.0","91,252.0","92,913.0","92,573.0","94,361.0","95,870.0","101,343.0","100,641.0","101,121.0","102,936.0","107,814.0","109,701.0","111,921.0","113,298.0","115,256.0","117,826.0","122,192.0","123,299.0","120,894.0","122,645.0","127,995.0","130,702.0","134,193.0","134,608.0","135,392.0","138,312.0","145,560.0","146,414.0","150,849.0","151,672.0","151,126.0","155,226.0","156,271.0","162,282.0","166,652.0","164,905.0","181,895.0","188,623.0","192,593.0","199,358.0","191,682.0","179,753.0","173,901.0","168,158.0","159,278.0","158,462.0","157,340.0","152,964.0","156,467.0","158,774.0","165,312.0","170,465.0","169,587.0","173,259.0","172,201.0","171,472.0","179,472.0","180,748.0","186,329.0","184,522.0","196,084.0","193,585.0","196,806.0","197,270.0","210,887.0","215,265.0","214,582.0","221,323.0","217,322.0","215,571.0","208,652.0","188,264.0","176,555.0","172,555.0","184,230.0","183,879.0","187,084.0","190,051.0","197,580.0","207,020.0","202,986.0","201,868.0","199,984.0","200,363.0","204,482.0","201,571.0","200,751.0","203,170.0","205,755.0","211,463.0","213,185.0","205,228.0","208,963.0","221,939.0","211,379.0"
"53","34","        Industrial equipment","A680RC1","18,349.0","18,799.0","19,511.0","19,545.0","20,296.0","20,281.0","20,523.0","20,035.0","19,235.0","19,126.0","19,401.0","20,072.0","20,009.0","21,019.0","21,930.0","22,681.0","23,671.0","25,444.0","26,661.0","28,318.0","29,323.0","30,405.0","31,232.0","31,674.0","30,544.0","30,935.0","31,726.0","32,110.0","33,291.0","33,805.0","34,262.0","35,124.0","36,848.0","37,775.0","40,415.0","42,733.0","44,284.0","46,855.0","49,293.0","50,488.0","54,135.0","54,875.0","56,195.0","59,415.0","60,259.0","59,837.0","60,107.0","62,765.0","63,986.0","65,062.0","66,247.0","66,645.0","64,590.0","63,914.0","62,375.0","59,799.0","56,892.0","57,264.0","59,828.0","61,535.0","65,361.0","67,301.0","68,943.0","70,949.0","70,446.0","72,612.0","71,896.0","74,919.0","74,659.0","74,397.0","76,304.0","76,301.0","75,889.0","75,644.0","77,336.0","77,977.0","79,058.0","83,443.0","86,210.0","88,016.0","91,709.0","92,828.0","95,235.0","93,529.0","94,326.0","90,976.0","92,417.0","90,852.0","90,594.0","88,940.0","89,238.0","88,484.0","88,758.0","91,020.0","94,282.0","97,784.0","98,896.0","99,970.0","101,685.0","108,375.0","109,448.0","110,993.0","114,864.0","119,171.0","125,276.0","129,099.0","130,964.0","130,502.0","134,310.0","137,112.0","136,303.0","138,358.0","137,861.0","140,475.0","141,406.0","141,931.0","149,316.0","148,249.0","145,543.0","146,315.0","146,403.0","148,352.0","150,518.0","151,231.0","158,626.0","163,002.0","166,242.0","163,774.0","164,713.0","153,332.0","146,776.0","142,696.0","143,609.0","139,871.0","142,039.0","141,411.0","141,157.0","147,126.0","144,069.0","141,136.0","136,799.0","141,419.0","147,090.0","151,531.0","156,762.0","156,677.0","164,116.0","172,102.0","171,661.0","183,695.0","184,618.0","186,332.0","184,775.0","198,516.0","200,797.0","192,351.0","193,936.0","195,861.0","195,663.0","186,137.0","160,856.0","152,196.0","148,511.0","146,706.0","143,678.0","152,451.0","154,589.0","160,918.0","176,504.0","180,648.0","196,623.0","208,143.0","198,934.0","201,023.0","200,916.0","204,598.0","205,714.0","205,374.0","213,577.0","214,522.0","222,711.0","237,189.0","251,299.0"
"54","35","        Transportation equipment","A681RC1","19,393.0","19,136.0","18,969.0","18,058.0","16,758.0","16,535.0","17,081.0","14,603.0","17,653.0","18,280.0","18,169.0","19,549.0","20,961.0","21,248.0","21,023.0","24,165.0","25,197.0","26,928.0","27,079.0","27,036.0","26,758.0","26,786.0","27,409.0","24,164.0","23,963.0","23,856.0","25,849.0","27,003.0","28,346.0","29,007.0","30,168.0","32,435.0","36,855.0","38,357.0","39,283.0","42,613.0","43,087.0","48,364.0","48,262.0","49,574.0","54,114.0","52,482.0","55,354.0","52,606.0","51,703.0","45,633.0","48,128.0","48,075.0","50,469.0","49,995.0","51,999.0","49,761.0","49,515.0","46,818.0","43,885.0","47,066.0","47,193.0","49,349.0","54,767.0","62,734.0","60,397.0","64,428.0","66,083.0","66,724.0","66,421.0","68,924.0","70,504.0","69,967.0","67,352.0","70,913.0","72,222.0","71,392.0","65,569.0","71,215.0","69,966.0","65,511.0","71,850.0","72,439.0","71,507.0","75,647.0","68,937.0","68,895.0","69,437.0","64,402.0","68,716.0","65,852.0","73,212.0","72,055.0","72,990.0","70,311.0","72,862.0","69,958.0","66,806.0","78,142.0","72,759.0","81,151.0","80,893.0","92,476.0","85,913.0","98,421.0","105,236.0","102,381.0","105,123.0","118,190.0","124,631.0","112,905.0","111,593.0","115,183.0","113,499.0","118,243.0","130,353.0","130,509.0","130,799.0","134,352.0","143,068.0","133,906.0","135,148.0","140,692.0","148,530.0","164,214.0","167,660.0","173,079.0","181,472.0","175,227.0","174,617.0","177,059.0","170,879.0","160,585.0","154,051.0","154,925.0","151,077.0","156,814.0","150,103.0","142,613.0","138,178.0","135,369.0","123,081.0","132,453.0","137,747.0","143,144.0","140,610.0","154,497.0","164,875.0","176,655.0","172,643.0","179,443.0","186,223.0","179,925.0","200,043.0","191,403.0","191,115.0","194,482.0","196,836.0","187,590.0","185,380.0","185,567.0","182,296.0","162,347.0","139,008.0","100,966.0","68,573.0","69,121.0","71,032.0","73,540.0","101,455.0","121,406.0","141,616.0","145,498.0","158,224.0","158,868.0","179,281.0","199,217.0","209,798.0","212,907.0","208,472.0","214,604.0","218,031.0","222,941.0","226,473.0","245,209.0","245,340.0","247,770.0","266,603.0"
"55","36","        Other equipment","A862RC1","14,433.0","14,264.0","14,301.0","14,608.0","14,910.0","15,310.0","16,064.0","15,982.0","15,827.0","16,326.0","16,546.0","16,347.0","17,483.0","18,370.0","19,327.0","20,626.0","22,352.0","22,924.0","23,046.0","22,155.0","22,386.0","23,251.0","24,561.0","27,037.0","25,723.0","27,165.0","27,477.0","29,089.0","28,784.0","28,978.0","30,342.0","30,376.0","33,924.0","35,414.0","36,730.0","38,954.0","39,271.0","42,789.0","44,077.0","46,827.0","47,091.0","48,021.0","49,561.0","46,974.0","51,399.0","46,435.0","46,390.0","49,078.0","52,073.0","55,284.0","57,476.0","55,938.0","52,233.0","51,310.0","51,869.0","49,200.0","45,724.0","49,370.0","50,929.0","55,555.0","56,518.0","57,668.0","59,033.0","59,388.0","59,895.0","60,356.0","58,861.0","60,479.0","60,523.0","61,235.0","59,626.0","61,265.0","60,834.0","62,779.0","65,753.0","66,439.0","67,780.0","68,034.0","69,477.0","70,782.0","76,284.0","78,880.0","83,236.0","82,402.0","81,254.0","79,717.0","80,372.0","79,552.0","72,096.0","71,135.0","69,996.0","69,979.0","69,986.0","70,004.0","73,309.0","74,523.0","77,980.0","79,413.0","80,333.0","82,895.0","85,121.0","87,333.0","88,882.0","90,936.0","94,106.0","94,255.0","94,342.0","96,185.0","97,747.0","99,312.0","102,625.0","104,193.0","106,912.0","108,814.0","115,508.0","117,225.0","122,719.0","126,654.0","126,783.0","125,472.0","130,247.0","128,543.0","130,002.0","132,734.0","136,702.0","140,386.0","138,505.0","138,790.0","141,576.0","138,044.0","140,820.0","137,527.0","135,948.0","140,510.0","140,839.0","141,127.0","144,771.0","146,813.0","153,943.0","156,349.0","154,056.0","159,841.0","166,008.0","170,985.0","176,955.0","186,935.0","188,943.0","190,987.0","198,433.0","198,186.0","196,301.0","198,910.0","194,929.0","201,352.0","200,730.0","201,313.0","194,916.0","193,363.0","196,930.0","194,195.0","180,790.0","166,781.0","158,606.0","156,193.0","165,747.0","171,922.0","177,895.0","183,285.0","188,512.0","190,910.0","206,511.0","198,832.0","201,240.0","202,905.0","217,711.0","219,923.0","225,794.0","221,773.0","219,121.0","234,331.0","231,079.0","225,793.0","222,585.0"
"56","37","      Intellectual property products","Y001RC1","16,509.0","17,006.0","17,356.0","17,738.0","17,906.0","17,946.0","18,014.0","17,917.0","18,135.0","18,457.0","18,810.0","19,315.0","19,922.0","20,425.0","20,763.0","21,196.0","21,704.0","22,327.0","22,964.0","23,735.0","24,389.0","25,111.0","25,983.0","26,583.0","26,943.0","27,285.0","28,006.0","29,009.0","30,381.0","31,638.0","32,846.0","33,897.0","34,544.0","35,478.0","36,247.0","36,997.0","37,792.0","39,408.0","41,062.0","43,166.0","45,388.0","47,239.0","49,077.0","50,575.0","52,314.0","53,275.0","54,707.0","57,119.0","61,050.0","63,533.0","65,759.0","68,744.0","70,635.0","72,185.0","73,505.0","74,378.0","76,433.0","79,362.0","82,912.0","86,656.0","90,132.0","93,519.0","96,774.0","99,770.0","101,932.0","104,309.0","106,125.0","108,941.0","111,074.0","112,985.0","114,325.0","115,781.0","117,025.0","118,610.0","120,812.0","124,016.0","127,274.0","130,383.0","133,732.0","139,305.0","143,479.0","147,743.0","152,392.0","156,855.0","160,338.0","163,856.0","165,147.0","168,366.0","173,631.0","178,749.0","180,091.0","184,057.0","184,177.0","186,512.0","187,906.0","192,098.0","194,361.0","196,693.0","197,453.0","199,143.0","200,803.0","203,235.0","207,396.0","211,380.0","217,837.0","223,841.0","230,356.0","235,331.0","243,299.0","249,989.0","256,759.0","263,176.0","276,668.0","284,245.0","292,319.0","298,606.0","305,262.0","312,072.0","321,630.0","331,662.0","342,271.0","357,861.0","372,404.0","383,620.0","397,935.0","407,279.0","413,551.0","419,441.0","421,496.0","416,427.0","409,394.0","403,126.0","401,895.0","405,628.0","410,587.0","407,314.0","410,839.0","416,120.0","425,857.0","430,859.0","432,628.0","435,446.0","445,675.0","454,847.0","464,814.0","474,689.0","480,256.0","480,757.0","489,064.0","497,747.0","510,457.0","521,004.0","529,746.0","534,080.0","537,643.0","550,174.0","562,493.0","568,047.0","565,521.0","557,624.0","545,298.0","547,971.0","548,485.0","561,939.0","559,238.0","558,260.0","565,118.0","574,799.0","580,926.0","587,530.0","595,709.0","604,632.0","610,103.0","619,217.0","624,666.0","629,970.0","641,790.0","641,350.0","648,380.0","656,951.0","667,196.0","678,162.0","685,785.0"
"57","38","        Software \4\","B985RC1","1,516.0","1,679.0","1,885.0","2,080.0","2,257.0","2,369.0","2,366.0","2,292.0","2,245.0","2,342.0","2,451.0","2,602.0","2,683.0","2,759.0","2,840.0","2,831.0","2,979.0","3,130.0","3,294.0","3,478.0","3,578.0","3,695.0","4,001.0","4,374.0","4,803.0","4,827.0","4,749.0","4,741.0","4,818.0","5,088.0","5,330.0","5,580.0","5,454.0","5,483.0","5,454.0","5,512.0","5,726.0","6,103.0","6,520.0","7,032.0","7,452.0","7,906.0","8,351.0","8,831.0","9,142.0","9,544.0","10,055.0","10,603.0","11,087.0","11,485.0","12,038.0","12,770.0","13,739.0","14,136.0","14,193.0","14,091.0","14,828.0","15,770.0","17,018.0","17,920.0","18,726.0","19,658.0","20,872.0","22,192.0","23,002.0","23,742.0","23,850.0","24,453.0","24,755.0","25,488.0","25,821.0","26,393.0","27,307.0","28,403.0","29,579.0","30,690.0","31,949.0","33,346.0","34,902.0","36,515.0","38,445.0","40,710.0","43,158.0","45,164.0","46,331.0","47,559.0","46,978.0","49,660.0","51,999.0","53,318.0","54,040.0","55,522.0","55,652.0","56,931.0","58,356.0","60,482.0","62,500.0","63,671.0","65,050.0","65,875.0","66,800.0","67,710.0","68,828.0","69,710.0","71,038.0","73,329.0","75,794.0","78,379.0","80,997.0","83,675.0","86,495.0","90,728.0","99,544.0","104,523.0","110,069.0","115,796.0","118,546.0","122,250.0","128,105.0","135,071.0","142,821.0","154,028.0","163,396.0","169,083.0","176,293.0","183,119.0","186,223.0","192,185.0","192,984.0","189,342.0","184,662.0","179,372.0","180,319.0","182,761.0","187,109.0","181,983.0","184,299.0","186,099.0","194,759.0","198,903.0","200,663.0","201,211.0","207,370.0","211,058.0","212,692.0","218,005.0","218,869.0","219,105.0","222,563.0","226,736.0","231,118.0","235,213.0","241,191.0","242,161.0","244,715.0","248,662.0","256,909.0","259,603.0","261,064.0","256,592.0","254,326.0","255,543.0","256,400.0","260,836.0","254,432.0","248,857.0","250,688.0","253,884.0","260,165.0","266,480.0","273,393.0","279,094.0","279,966.0","284,415.0","285,032.0","287,020.0","294,924.0","290,066.0","295,213.0","297,831.0","298,855.0","302,386.0","305,484.0"
"58","39","        Research and development \5\","Y006RC1","10,574.0","10,870.0","11,140.0","11,349.0","11,429.0","11,447.0","11,540.0","11,490.0","11,694.0","11,859.0","11,967.0","12,131.0","12,484.0","12,725.0","12,964.0","13,413.0","13,915.0","14,367.0","14,812.0","15,313.0","15,712.0","16,213.0","16,710.0","16,927.0","16,935.0","17,151.0","17,689.0","18,276.0","18,923.0","19,368.0","19,830.0","20,274.0","20,721.0","21,460.0","22,081.0","22,767.0","23,435.0","24,544.0","25,387.0","26,396.0","27,382.0","28,337.0","29,584.0","30,919.0","32,440.0","33,390.0","34,544.0","36,335.0","37,667.0","38,897.0","40,434.0","41,727.0","43,115.0","44,337.0","45,462.0","46,197.0","47,155.0","48,624.0","50,271.0","52,402.0","54,216.0","56,108.0","57,826.0","59,405.0","60,953.0","62,337.0","63,627.0","65,098.0","65,903.0","66,202.0","66,722.0","67,365.0","67,858.0","68,437.0","69,430.0","71,241.0","72,436.0","74,576.0","76,434.0","78,566.0","80,535.0","81,973.0","83,470.0","85,374.0","87,227.0","89,060.0","90,313.0","90,407.0","92,959.0","96,318.0","96,360.0","98,420.0","98,049.0","98,567.0","98,223.0","99,643.0","99,234.0","99,870.0","98,772.0","99,088.0","99,080.0","99,909.0","102,131.0","104,226.0","108,236.0","110,690.0","113,614.0","115,550.0","119,340.0","122,155.0","125,155.0","127,578.0","132,060.0","133,925.0","136,029.0","135,495.0","138,889.0","141,863.0","145,171.0","147,361.0","149,489.0","153,752.0","157,737.0","161,815.0","167,231.0","168,347.0","171,304.0","171,289.0","173,385.0","172,696.0","170,364.0","168,885.0","165,638.0","165,886.0","165,113.0","166,173.0","165,534.0","167,062.0","167,768.0","168,598.0","168,994.0","171,035.0","174,130.0","177,684.0","184,047.0","187,237.0","190,950.0","190,270.0","195,274.0","199,832.0","208,390.0","214,359.0","217,187.0","221,055.0","222,827.0","232,208.0","237,046.0","240,865.0","237,896.0","235,103.0","226,094.0","227,870.0","227,115.0","234,999.0","236,553.0","237,527.0","240,552.0","246,051.0","247,938.0","249,065.0","250,262.0","252,710.0","255,878.0","259,397.0","263,228.0","265,967.0","269,651.0","273,885.0","275,493.0","280,751.0","289,062.0","295,861.0","299,411.0"
"59","40","        Entertainment, literary, and artistic originals","Y020RC1","4,419.0","4,457.0","4,331.0","4,309.0","4,220.0","4,130.0","4,108.0","4,135.0","4,196.0","4,256.0","4,392.0","4,582.0","4,755.0","4,941.0","4,959.0","4,952.0","4,810.0","4,830.0","4,858.0","4,944.0","5,099.0","5,203.0","5,272.0","5,282.0","5,205.0","5,307.0","5,568.0","5,992.0","6,640.0","7,182.0","7,686.0","8,043.0","8,369.0","8,535.0","8,712.0","8,718.0","8,631.0","8,761.0","9,155.0","9,738.0","10,554.0","10,996.0","11,142.0","10,825.0","10,732.0","10,341.0","10,108.0","10,181.0","12,296.0","13,151.0","13,287.0","14,247.0","13,781.0","13,712.0","13,850.0","14,090.0","14,450.0","14,968.0","15,623.0","16,334.0","17,190.0","17,753.0","18,076.0","18,173.0","17,977.0","18,230.0","18,648.0","19,390.0","20,416.0","21,295.0","21,782.0","22,023.0","21,860.0","21,770.0","21,803.0","22,085.0","22,889.0","22,461.0","22,396.0","24,224.0","24,499.0","25,060.0","25,764.0","26,317.0","26,780.0","27,237.0","27,856.0","28,299.0","28,673.0","29,113.0","29,691.0","30,115.0","30,476.0","31,014.0","31,327.0","31,973.0","32,627.0","33,152.0","33,631.0","34,180.0","34,923.0","35,616.0","36,437.0","37,444.0","38,563.0","39,822.0","40,948.0","41,402.0","42,962.0","44,159.0","45,109.0","44,870.0","45,064.0","45,797.0","46,221.0","47,315.0","47,827.0","47,959.0","48,354.0","49,230.0","49,961.0","50,081.0","51,271.0","52,722.0","54,411.0","55,813.0","56,024.0","55,967.0","55,127.0","54,389.0","54,368.0","54,869.0","55,938.0","56,981.0","58,365.0","59,158.0","61,006.0","62,959.0","63,330.0","63,358.0","62,971.0","63,200.0","64,175.0","66,105.0","68,075.0","69,447.0","70,437.0","71,382.0","71,227.0","71,179.0","70,949.0","71,432.0","71,368.0","70,864.0","70,101.0","69,304.0","68,538.0","67,579.0","66,561.0","65,929.0","64,878.0","64,558.0","64,970.0","66,104.0","68,253.0","71,876.0","73,878.0","74,864.0","72,823.0","71,985.0","72,054.0","72,828.0","74,259.0","75,405.0","76,406.0","76,983.0","77,215.0","77,399.0","77,674.0","78,369.0","79,279.0","79,915.0","80,890.0"
"60","41","    Residential","A011RC1","44,906.0","45,130.0","44,962.0","42,503.0","42,493.0","41,365.0","42,566.0","47,218.0","50,960.0","56,974.0","60,680.0","63,995.0","69,155.0","70,824.0","72,360.0","77,256.0","80,925.0","78,708.0","77,931.0","75,722.0","72,438.0","71,157.0","70,948.0","63,324.0","61,197.0","63,959.0","68,772.0","73,005.0","80,441.0","84,846.0","84,874.0","96,888.0","102,214.0","116,485.0","119,983.0","122,236.0","126,921.0","136,977.0","142,301.0","145,840.0","145,261.0","147,624.0","150,488.0","147,991.0","140,171.0","116,864.0","123,210.0","137,835.0","137,601.0","135,265.0","126,228.0","114,834.0","109,701.0","107,718.0","108,433.0","117,540.0","138,474.0","155,000.0","171,101.0","179,877.0","186,425.0","191,299.0","190,872.0","192,860.0","194,219.0","196,306.0","201,422.0","208,359.0","219,534.0","234,558.0","240,887.0","244,268.0","246,671.0","249,693.0","249,970.0","252,825.0","250,115.0","255,511.0","257,496.0","261,681.0","260,884.0","255,792.0","255,498.0","251,883.0","256,004.0","246,895.0","234,507.0","221,269.0","210,289.0","217,788.0","226,483.0","230,055.0","242,362.0","253,158.0","255,114.0","268,331.0","271,401.0","278,005.0","290,939.0","306,888.0","315,597.0","327,929.0","326,427.0","325,435.0","321,786.0","313,451.0","326,393.0","334,646.0","344,725.0","361,399.0","364,315.0","361,807.0","365,360.0","372,277.0","378,952.0","385,753.0","394,846.0","411,331.0","427,551.0","441,502.0","447,363.0","459,271.0","466,625.0","473,805.0","484,243.0","486,613.0","483,080.0","487,792.0","496,707.0","510,994.0","522,430.0","522,050.0","538,333.0","554,846.0","558,883.0","578,317.0","601,373.0","611,873.0","651,610.0","682,921.0","706,034.0","743,065.0","763,428.0","786,155.0","815,133.0","843,708.0","875,541.0","889,858.0","895,856.0","858,701.0","813,742.0","781,256.0","749,332.0","717,309.0","671,721.0","616,353.0","565,534.0","538,432.0","507,364.0","452,078.0","405,463.0","376,306.0","392,014.0","395,188.0","383,090.0","400,804.0","365,618.0","374,741.0","374,822.0","381,127.0","388,623.0","399,587.0","422,267.0","428,294.0","446,425.0","472,325.0","488,869.0","516,935.0","537,982.0","535,900.0","539,733.0","552,194.0","563,504.0"
"61","42","  Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","26,273.0","63,038.0","-14,912.0","92,649.0","81,091.0","92,171.0","75,744.0","10,447.0","44,186.0","50,786.0","110,746.0","90,524.0","40,110.0","100,263.0","71,797.0"
"62","43","    Farm","B018RC1","1,753.0","1,378.0","-1,166.0","-1,893.0","1,607.0","377.0","-1,849.0","-3,488.0","2,530.0","4,155.0","2,268.0","-2,311.0","-457.0","2,042.0","991.0","-1,417.0","-4,230.0","4,986.0","2,569.0","2,781.0","-3,337.0","1,032.0","-98.0","-8,722.0","7,096.0","3,118.0","768.0","2,460.0","-503.0","-1,840.0","2,027.0","-3,034.0","-1,310.0","5,313.0","4,372.0","9,757.0","-599.0","373.0","7,194.0","-1,485.0","4,232.0","3,129.0","6,627.0","285.0","-601.0","-5,230.0","-12,495.0","-6,130.0","6,823.0","9,865.0","11,824.0","6,527.0","5,054.0","4,330.0","9,018.0","4,616.0","-7,308.0","-12,952.0","-32,384.0","-8,776.0","5,502.0","5,573.0","6,822.0","5,015.0","7,898.0","4,214.0","6,563.0","4,343.0","2,589.0","-3,469.0","-3,127.0","-1,795.0","-7,655.0","-10,708.0","-3,971.0","-3,338.0","-4,448.0","-12,216.0","-11,235.0","-19,609.0","7,187.0","3,089.0","-5,652.0","-4,679.0","1,832.0","-1,555.0","4,005.0","5,237.0","50.0","-697.0","-10,862.0","6,409.0","8,021.0","9,423.0","5,131.0","2,473.0","-5,610.0","-4,865.0","-12,510.0","-1,719.0","16,562.0","17,138.0","10,758.0","3,675.0","-5,808.0","-13,627.0","-20,338.0","-4,413.0","1,097.0","11,901.0","17,068.0","4,556.0","-591.0","760.0","8,300.0","4,613.0","5,622.0","-4,906.0","528.0","3,820.0","4,109.0","-196.0","-9,100.0","-5,733.0","-17,740.0","5,943.0","-1,128.0","7,331.0","5,614.0","-2,995.0","1,806.0","-4,278.0","4,061.0","-10,343.0","-2,872.0","-836.0","2,847.0","-1,379.0","870.0","-2,070.0","4,422.0","18,443.0","7,701.0","4,662.0","-6,685.0","932.0","4,340.0","2,315.0","3,739.0","-8,124.0","-6,337.0","-3,586.0","5,308.0","-4,954.0","-2,334.0","-845.0","-6,869.0","3,895.0","6,649.0","2,755.0","-296.0","-1,046.0","-5,041.0","-25.0","-1,271.0","-5,946.0","-11,623.0","-10,450.0","524.0","-1,259.0","3,819.0","5,272.0","2,830.0","-4,534.0","-20,723.0","-12,177.0","9,899.0","10,535.0","16,729.0","12,353.0","3,133.0","8,448.0","11,782.0"
