"","Table 7#7# Business Current Transfer Payments by Type           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","114,370.0","124,876.0","128,464.0","131,524.0","106,665.0","120,581.0"
"20","2","Payments to persons (net)","B931RC1","3,331.0","2,926.0","2,696.0","3,112.0","3,940.0","4,738.0","6,844.0","6,694.0","5,090.0","6,463.0","8,225.0","8,630.0","11,175.0","12,386.0","13,796.0","19,727.0","22,260.0","22,948.0","20,228.0","20,596.0","23,171.0","22,193.0","17,636.0","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","50,241.0","43,107.0","42,345.0"
"21","3","  Insurance payments to persons by business","A1870C1","2,102.0","1,936.0","1,629.0","1,883.0","2,527.0","3,267.0","5,339.0","4,868.0","2,917.0","3,817.0","5,099.0","5,134.0","7,172.0","7,584.0","8,310.0","13,718.0","15,497.0","15,306.0","12,724.0","13,020.0","14,853.0","14,072.0","9,286.0","6,902.0","4,174.0","1,929.0","6,326.0","10,690.0","6,448.0","12,940.0","19,046.0","27,259.0","30,508.0","18,973.0","10,174.0","-792.0","2,493.0","-239.0","9,178.0","16,642.0","17,814.0","17,899.0","26,380.0","17,623.0","16,894.0"
"22","4","    Automobile insurance","B1871C1","1,504.0","1,695.0","1,805.0","1,944.0","2,058.0","2,110.0","2,483.0","2,797.0","3,119.0","3,508.0","3,989.0","4,403.0","5,098.0","5,624.0","5,861.0","7,211.0","8,291.0","9,903.0","10,217.0","10,345.0","11,011.0","11,104.0","10,392.0","10,125.0","9,737.0","10,119.0","11,146.0","11,585.0","12,247.0","12,752.0","12,825.0","13,778.0","15,281.0","14,609.0","14,030.0","14,075.0","14,184.0","14,000.0","13,683.0","13,448.0","12,471.0","11,546.0","14,120.0","15,537.0","17,197.0"
"23","5","    Medical liability insurance","B1872C1","50.0","100.0","150.0","200.0","300.0","400.0","508.0","845.0","564.0","671.0","740.0","923.0","1,141.0","1,398.0","1,486.0","1,914.0","2,779.0","3,116.0","3,094.0","2,881.0","1,807.0","2,081.0","2,106.0","3,017.0","2,524.0","2,302.0","2,266.0","2,609.0","2,618.0","2,972.0","3,569.0","4,084.0","5,608.0","5,890.0","6,641.0","5,182.0","4,857.0","4,228.0","3,534.0","3,016.0","3,149.0","2,747.0","3,534.0","3,850.0","4,217.0"
"24","6","    Net insurance settlements","W238RC1","548.0","141.0","-326.0","-261.0","169.0","757.0","2,348.0","1,226.0","-766.0","-362.0","370.0","-192.0","933.0","562.0","963.0","4,593.0","4,427.0","2,287.0","-587.0","-206.0","2,035.0","887.0","-3,212.0","-6,240.0","-8,087.0","-10,492.0","-7,086.0","-3,504.0","-8,417.0","-2,784.0","2,652.0","9,397.0","9,619.0","-1,526.0","-10,497.0","-20,049.0","-16,548.0","-18,467.0","-8,039.0","178.0","2,194.0","3,606.0","8,726.0","-1,764.0","-4,520.0"
"25","7","  Donations by corporate business to nonprofit institutions serving households","B1873C1","1,055.0","797.0","865.0","1,009.0","1,174.0","1,200.0","1,202.0","1,477.0","1,790.0","2,084.0","2,288.0","2,359.0","2,514.0","2,906.0","3,627.0","4,059.0","4,472.0","5,179.0","4,980.0","4,893.0","4,893.0","4,752.0","4,763.0","5,521.0","6,305.0","7,103.0","7,426.0","7,822.0","8,375.0","8,669.0","10,730.0","10,663.0","11,417.0","10,332.0","10,821.0","11,597.0","16,594.0","14,786.0","14,248.0","12,448.0","13,067.0","16,324.0","14,773.0","16,536.0","16,222.0"
"26","8","  Defined benefit and defined contribution pension plans (net)","Y660RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"27","9","    Benefit payments and withdrawals","Y235RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","141,975.0","170,681.0","203,652.0","201,055.0","203,857.0","223,124.0","227,746.0","241,578.0","265,185.0","277,888.0","294,083.0","324,204.0","363,630.0","395,804.0","447,093.0","501,290.0","542,893.0","525,064.0","541,609.0","541,948.0","590,760.0","628,527.0","706,902.0","772,861.0","766,448.0","762,201.0","831,748.0","864,692.0","923,538.0","960,388.0"
"28","10","    Net change in benefit entitlements for defined benefit plans \1\","Y632RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","134,440.0","131,241.0","130,308.0","139,821.0","152,668.0","170,142.0","181,595.0","181,951.0","199,444.0","190,959.0","194,736.0","197,739.0","181,373.0","184,378.0","165,645.0","154,483.0","139,517.0","153,318.0","169,457.0","191,201.0","201,166.0","200,533.0","186,805.0","187,098.0","211,914.0","231,420.0","221,651.0","207,151.0","176,627.0","140,949.0"
"29","11","    Net change in assets from current transactions for defined contribution plans","Y905RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","31,322.0","32,220.0","32,728.0","50,599.0","51,805.0","60,179.0","70,541.0","78,583.0","78,942.0","86,185.0","89,620.0","87,619.0","88,403.0","87,713.0","74,648.0","65,681.0","63,004.0","103,122.0","113,054.0","125,945.0","121,863.0","126,242.0","124,949.0","127,306.0","184,108.0","189,615.0","152,702.0","155,116.0","159,170.0","173,971.0"
"30","12","    Less: Total contributions and contribution supplements \2\","Y202RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","307,737.0","334,142.0","366,688.0","391,475.0","408,330.0","453,445.0","479,882.0","502,112.0","543,571.0","555,032.0","578,439.0","609,562.0","633,406.0","667,895.0","687,386.0","721,454.0","745,414.0","781,504.0","824,120.0","859,094.0","913,789.0","955,302.0","1,018,656.0","1,087,265.0","1,162,470.0","1,183,236.0","1,206,101.0","1,226,959.0","1,259,335.0","1,275,308.0"
"31","13","  Other \3\","B1874C1","174.0","193.0","202.0","220.0","239.0","271.0","303.0","349.0","383.0","562.0","838.0","1,137.0","1,489.0","1,896.0","1,859.0","1,950.0","2,291.0","2,463.0","2,524.0","2,683.0","3,425.0","3,369.0","3,587.0","3,864.0","3,575.0","4,223.0","4,976.0","4,366.0","4,623.0","4,386.0","4,196.0","4,512.0","4,843.0","4,890.0","5,265.0","5,967.0","6,625.0","6,928.0","7,181.0","7,533.0","7,813.0","8,727.0","9,088.0","8,948.0","9,229.0"
"32","14","Payments to government (net) \4\","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","70,569.0","88,455.0","87,193.0","89,230.0","71,857.0","89,001.0"
"33","15","Payments to the rest of the world (net) \5\","W237RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-121.0","-304.0","-444.0","1,380.0","-955.0","784.0","3,784.0","-2,610.0","962.0","8,495.0","240.0","1,693.0","12,210.0","14,799.0","2,826.0","5,972.0","7,178.0","-2,273.0","-1,679.0","-7,947.0","-8,299.0","-10,765.0"
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Equals total household contributions and contribution supplements less benefit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","payments and withdrawals; that is, net business current transfer payments for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","defined benefit pension plans always equal zero.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Equals actual employer contributions plus imputed employer contributions plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","actual household contributions less pension service charges",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","plus household pension contribution supplements; see table 7.20.  All contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to defined benefit and defined contribution plans are considered to be from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","3. Consists largely of losses by business due to fraud and unrecovered thefts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","corporate cash prizes, and payments from personal injury trust funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","4. For detail, see table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists of net insurance settlements paid to the rest of the world less net",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","insurance settlements received from the rest of the world.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
