"","Table 1#16# Gross Product of Corporate Business in Current Dolla","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"13","5","  Domestic income","A441RC",45.9,39.4,29.6,19.9,18.7,24.5,28,33.3,38.1,32.6,36.7,42.8,56.9,73.2,88.8,91.6,84.1,86.3,104.7,120.4,115.9,132.4,152.7,158.9,170.5,167.9,190.5,202.4,210.1,204,230.8,239.4,245.6,268.9,286.1,309.7,341.6,377.6,396.2,435,471.7,484,521.3,581,653,700.6,750.2,850.6,971,1116.9,1243.1,1334.1,1494.8,1537.3,1658.4,1876.3,2002.2,2079.3,2264.5,2456.3,2570.2,2687.7,2731.4,2860,3018.6,3234.9,3445.6,3658.2,3952.1,4215.1,4454.3,4778.4,4762.7,4909.8
"14","6","    Compensation of employees","A442RC",34.2,30.8,25.4,19,18,21,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123.1,134,132.3,144.7,158.2,166.5,164,180.3,190.7,195.6,211,222.7,239.2,259.8,288.5,308.4,341.3,378.6,400.2,425.2,472.5,533.9,587.4,614.8,695.1,784.6,901.7,1023.1,1122.3,1243.5,1299.4,1373.3,1523,1634.7,1732.7,1858.8,1995.4,2101.4,2217.6,2259.7,2385.5,2500.4,2646,2776.5,2912.2,3098.1,3358,3594.1,3893.9,3945.6,3986.6
"15","7","      Wage and salary accruals","A443RC",33.8,30.4,25,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78,86.9,84.4,93,107.5,115.5,125.8,123.6,134.8,147,154,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338,356,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.3,857,938.1,1037.3,1078.7,1139.2,1266.2,1363.8,1444.7,1551.2,1667.1,1756,1847.9,1871.9,1964.8,2048.7,2165.8,2300.1,2442.8,2636.8,2870.3,3082.2,3343.9,3378.6,3388
"16","8","      Supplements to wages and salaries","A444RC",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7.1,7.6,8.2,8.7,9.9,11.2,12.5,12.6,14.7,16.3,16.9,19.2,20.8,22.4,24.7,29.2,31.3,35.9,40.6,44.2,49,57.8,69.3,78.5,86.4,103.9,121.9,145.4,166.2,184.2,206.3,220.6,234.1,256.8,270.9,288,307.6,328.3,345.4,369.7,387.7,420.7,451.7,480.2,476.4,469.4,461.3,487.6,511.9,549.9,567,598.6
"17","9","    Corporate profits with inventory valuation and capital consumption adjustments","A445RC",10.4,7.1,2.8,-0.4,-0.3,2.2,3.6,5.8,6.5,4.3,5.9,9.2,14.6,19.7,24.1,24.2,19.8,16.7,22.5,29.6,27.5,34.1,38.6,36.5,36.9,35.9,46.1,44.5,43.9,39.9,51,49.2,50.1,57.8,63.6,70.4,81.2,87.4,84.8,90.9,87.1,74.5,87.3,100.2,109.1,97,118.4,144,171.8,194.4,187.9,163,189.3,168.5,218.6,272.8,284,261,298.6,348.3,331.4,335.9,356.9,384.4,433.7,496,576.8,653.2,723.1,675.2,685.5,644.8,580.9,668.1
"18","10","      Profits before tax","A446RC",10.4,4.2,0.4,-1.4,1.7,3,4.1,6.8,7.2,4.1,7.3,10.2,18,21.7,25.2,24,19.7,24.2,31,34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.4,48.1,53.1,57.9,64.5,75.3,81.9,78.5,86.5,84.5,73.5,84.6,97.8,119.3,129.3,130.2,162.1,189.9,222.1,235.5,215.9,211.2,162.7,195.9,229,216.8,203.7,266.6,325.3,312.5,328.8,341.8,382.9,433.6,496.2,576.4,625.5,681.7,618.8,641.9,639,519.4,545.9
"19","11","        Profits tax liability","A447RC",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.2,238.8,247.8,259.4,199.3,213.3
"20","12","        Profits after tax","A448RC",9,3.3,-0.1,-1.8,1.2,2.3,3.1,5.4,5.7,3.1,5.9,7.3,10.3,10.3,11.1,11.1,9,15.1,19.7,22.2,18.3,24,20.5,18.9,19.6,19.8,25.5,25.6,24.6,21.5,27.3,25.7,25.4,29.1,31.6,36.5,44.4,48.3,45.9,47.2,44.8,39.1,46.8,55.9,70,77.5,79.3,97.9,116.9,138.6,147.5,131.2,130.1,99.7,118.7,135,120.3,97.2,139.5,188.1,171,188.2,208.2,239.7,268.3,309.5,365.5,401.8,444.5,380,394.1,379.6,320.1,332.6
"21","13","          Dividends","A449RC",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,59.8,71.2,78.4,85.6,88.3,95.7,98.2,126.5,144.2,156.4,161.5,182.3,197,221.6,257.3,283.9,309.2,299.6,349.5,383.1,392.9
"22","14","          Undistributed profits","A450RC",3.4,-2,-4.2,-4.4,-0.8,-0.2,0.4,1,1.1,0.2,2.3,3.6,6.1,6.2,6.9,6.8,4.6,10,14.1,16,11.9,16.2,13.1,11.5,11.8,11.9,16.6,16.2,14.7,11.6,16.6,14.3,13.9,16.8,18.1,21.5,27.5,30.5,27.5,27,24.4,18.8,26.5,34,46.9,54.1,52.9,67.8,83.2,99,106,83.8,71.8,39.8,47.4,56.6,34.6,8.9,43.8,89.9,44.5,44,51.8,78.2,85.9,112.5,143.8,144.5,160.6,70.8,94.5,30.1,-63,-60.3
"23","15","      Inventory valuation adjustment","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5,-6.9
"24","16","      Capital consumption adjustment","A059RC",-0.5,-0.3,0,0,0.1,-0.2,-0.2,-0.3,-0.7,-0.8,-0.7,-0.8,-0.9,-0.8,-0.3,0.4,0.7,-2.3,-2.5,-2.9,-2.9,-2.9,-3.2,-2.8,-2,-1.1,0.3,-0.4,-0.5,-0.3,0.3,1,1.7,4.6,5.6,6.4,7.2,7.6,7.9,8,8.5,7.6,7.3,9,9.4,5.9,-1.2,-4,-2.4,-4,-7.4,-10.8,2.7,13.3,30.2,47.7,67.2,50.3,48.2,45.3,35.3,19.9,10.2,4.3,4.1,12.2,18.6,24.6,32.9,38,47.9,20.8,56.5,129.1
"25","17","    Net interest","A453RC",1.3,1.4,1.4,1.3,1,1.3,1.3,1.1,1.1,1.1,1,0.8,0.7,0.7,0.5,0.3,0.2,-0.2,0,-0.3,-0.3,-0.4,-0.5,-0.6,-0.4,-0.2,-0.3,-0.4,-0.4,0.2,-0.5,-0.5,-0.1,0.1,-0.1,0.1,0.6,1.6,3,2.8,6,9.2,8.8,8.2,10,16.2,17,11.5,14.5,20.9,32,48.7,62,69.4,66.4,80.5,83.4,85.6,107,112.5,137.4,134.3,114.8,90.1,84.4,92.9,92.4,92.8,130.8,182,174.7,239.7,236.3,255.1
"26","18","    Gross product of financial corporate business","A454RC",3.6,2.6,2.1,1.8,1.6,1.9,2,2.3,2.4,2.4,2.4,2.5,2.7,2.8,3,3.3,3.5,4.3,4.5,5.5,6.2,6.6,7.2,8.2,9.4,10.1,10.7,11.4,12.1,13.4,14.5,15.8,16.5,17.1,17.3,18.8,20.1,22.7,25.1,27.6,31.3,34.6,38.2,41.6,45.5,49.1,54.2,59.5,72,88.1,99,107,113,120.4,147.5,161.4,189.5,217.2,252.9,264.6,279.9,299.5,335.7,364.7,393.2,397.8,444.1,489.3,566.8,622.6,656.4,754.4,763.3,830.9
"27","19","    Gross product of nonfinancial corporate business","A455RC",50.8,45.2,35.4,25.7,25,31.2,34.6,39.8,45.4,39.9,44.2,50.8,66.2,83.5,99.3,102.7,95.9,99.9,121.3,138.9,135.3,153.7,176.5,184.2,196.8,193.7,218.7,233.8,244.3,238.3,267.3,278,285.5,311.7,331.8,358.2,393.7,431.4,453.9,501,543.9,562,606.9,673.9,755.6,816.7,883,997.1,1127.8,1285,1431.5,1556.6,1770.1,1831.4,1953.3,2194.8,2329.3,2414.4,2595.3,2814.5,2961.4,3096.2,3150.6,3288,3457.6,3737.2,3945.9,4159.5,4435.1,4707.1,4981,5295,5354.2,5498.9
"28","20","Consumption of fixed capital","B456RC",4.9,4.8,4.4,4,3.7,3.9,3.9,4,4.4,4.6,4.5,4.7,5.3,6,5.9,6,6.1,7.3,8.7,10.2,11.1,11.9,13.7,14.6,15.5,16.2,17.2,19.3,21.3,22.2,23.1,24,24.6,25.5,26.5,27.9,29.9,32.7,35.9,39.7,43.9,48.5,53.1,58.4,63.8,74.7,89.2,98.9,111,126.8,147,169.4,195.9,216.8,225.1,237.3,253.9,270.3,283.8,302,322.8,338.4,354.9,369.6,386.4,414.5,437.5,462.7,493,523.1,556.2,599.4,652.8,686.6
"29","21","Net product","A457RC",45.9,40.4,31,21.7,21.2,27.3,30.7,35.9,41,35.4,39.7,46.1,61,77.5,93.4,96.8,89.9,92.6,112.7,128.7,124.2,141.8,162.7,169.6,181.3,177.5,201.5,214.5,223,216.1,244.2,254,260.9,286.2,305.4,330.3,363.8,398.7,418,461.4,500,513.5,553.8,615.6,691.8,742,793.8,898.2,1016.9,1158.2,1284.6,1387.2,1574.2,1614.6,1728.2,1957.5,2075.4,2144.1,2311.6,2512.5,2638.6,2757.9,2795.7,2918.5,3071.3,3322.7,3508.4,3696.9,3942.1,4183.9,4424.9,4695.6,4701.4,4812.3
"30","22","  Indirect business tax and nontax liability plus business transfer payments less subsidies","B458RC",3.4,3.4,3.2,3.4,3.8,4.4,4.5,4.7,5,4.9,5.1,5.5,6.4,6.8,7.3,8.1,8.9,10.1,11.9,13.1,13.7,15.2,16.4,17.9,19.1,18.5,20.5,22.3,23.6,23.9,26.1,28.4,29.6,32.1,34.1,36.7,39.3,40.5,43.2,49.8,54.8,59,64.6,69.4,76.6,81.9,88,95.9,104.9,114.4,123.3,139.5,168.1,169.7,185.3,205.4,219,231.2,241.9,256.3,275.9,290.6,313.1,332,349.3,382.1,397.3,411.9,431.4,457.4,478.4,508.9,523.7,549.1
"31","23","  Domestic income","A459RC",42.5,37,27.7,18.4,17.4,22.9,26.2,31.2,36,30.5,34.6,40.7,54.6,70.7,86.1,88.7,81,82.5,100.8,115.6,110.5,126.6,146.4,151.7,162.2,159,181,192.3,199.4,192.2,218.2,225.6,231.3,254.1,271.2,293.7,324.6,358.2,374.9,411.5,445.2,454.6,489.1,546.2,615.2,660.1,705.8,802.4,912,1043.8,1161.3,1247.8,1406.1,1444.9,1542.9,1752.1,1856.4,1912.9,2069.7,2256.2,2362.7,2467.3,2482.6,2586.5,2721.9,2940.6,3111,3284.9,3510.7,3726.5,3946.5,4186.6,4177.7,4263.3
"32","24","    Compensation of employees","A460RC",32.3,29,23.7,17.6,16.7,19.7,21.7,24.8,28.9,25.7,28.2,31.2,39.8,51,62.2,65.1,61.9,67.2,79.1,87.7,85.2,94.7,110.1,118.1,128.6,126.4,138.3,151.3,158.9,155.7,171.3,181,185.2,200,210.9,226.5,246.3,273.8,292.2,323.1,358.5,378.1,401.2,445.9,504.5,555.1,578.6,655,740,851,966.2,1056.9,1169.9,1216.1,1279.9,1421.4,1522.3,1603.8,1716.3,1844.1,1946.6,2052.7,2086.9,2194.2,2290.7,2430.2,2552.7,2667.1,2835.1,3058,3272,3542.1,3573.5,3610.8
"33","25","      Wage and salary accruals","B461RC",31.9,28.6,23.3,17.3,16.4,19.4,21.3,24.2,27.7,24.3,26.8,29.6,37.9,48.8,59.5,62,58.8,63.9,75.1,83.6,80.9,89.2,103.3,110.8,120.7,118.1,128.9,140.5,146.9,143.8,157.4,165.6,169.2,181.8,191.3,205.4,223,246.2,262.7,289.3,320.2,336.4,355.1,391.7,439.4,481.1,498,557.8,625.7,714.2,809.5,883.6,975.6,1009.3,1060.4,1180,1267.5,1333.8,1428.3,1536.9,1623.5,1707.8,1726.1,1804.7,1872.4,1984.7,2111.7,2234.1,2409.7,2612.6,2804.7,3040.1,3056.4,3064.9
"34","26","      Supplements to wages and salaries","B462RC",0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.6,1.2,1.3,1.4,1.6,1.9,2.2,2.7,3.1,3.1,3.3,4,4.1,4.3,5.5,6.8,7.3,7.9,8.3,9.5,10.8,12,12,13.9,15.4,16,18.1,19.6,21.2,23.3,27.6,29.5,33.8,38.4,41.6,46.1,54.2,65.1,73.9,80.6,97.1,114.2,136.8,156.7,173.3,194.4,206.8,219.5,241.4,254.8,270,288,307.2,323.1,344.9,360.7,389.5,418.3,445.5,441,433,425.4,445.4,467.2,502,517.1,545.9
"35","27","    Corporate profits with inventory valuation and capital consumption adjustments","A463RC",8.8,6.5,2.3,-0.9,-1,1.5,2.9,4.8,5.5,3.3,4.9,8.1,13.4,18.5,22.8,22.6,18.1,14.6,20.9,27,24.3,31,35.2,32.3,32.3,31.1,41,39.2,38.3,33.7,43.7,41.1,42.1,49.6,55.5,61.9,72.2,77,73.9,78.3,73.5,59.4,69.8,81.1,88.2,76.7,98.5,119.9,141.3,156.5,150.1,132.7,164.4,146.3,186.4,242.9,243.7,210.7,248.3,288.6,264.2,258.5,252.8,278.9,325.3,402.5,442.5,509.1,555.6,530.7,518.5,461.8,407.4,458.4
"36","28","      Profits before tax","A464RC",8.8,3.5,-0.1,-2,1,2.3,3.3,5.8,6.2,3.1,6.3,9,16.7,20.3,23.7,22.3,17.9,22.1,29.2,31.9,25.2,38.7,39.4,34,35.1,32.4,42.3,42.2,40.2,34.2,43.6,40.3,40.1,44.9,49.8,56.1,66.3,71.6,67.7,74.1,71.1,58.5,67.3,79,99,109.6,110.5,137.9,159.2,184.4,197.1,183.6,184.2,136.9,160.7,195.3,172.3,147.9,209.5,257.3,235.6,237.2,221.6,258,305.8,381.4,422.1,460.2,496.1,460.4,460.1,437.9,328.8,328.6
"37","29","        Profits tax liability","B465RC",1.2,0.7,0.5,0.3,0.5,0.7,0.9,1.3,1.4,0.9,1.4,2.7,7.5,11.2,13.8,12.6,10.2,8.6,10.8,11.8,9.3,16.9,21.2,17.8,18.5,15.6,20.2,20.1,19.1,16.2,20.7,19.2,19.5,20.6,22.8,24,27.2,29.5,27.8,33.6,33.3,27.2,29.9,33.8,40.2,42.2,41.5,53,59.9,67.1,69.6,67,63.9,46.3,59.4,73.7,69.9,75.6,93.5,101.9,98.9,95.8,85.5,91.2,105.2,128.9,136.7,150.1,158.3,154.6,166.9,172.4,123.5,131.5
"38","30","        Profits after tax","A466RC",7.6,2.7,-0.6,-2.4,0.5,1.6,2.4,4.4,4.7,2.2,4.9,6.3,9.3,9.2,10,9.7,7.7,13.5,18.4,20.1,15.9,21.8,18.2,16.2,16.7,16.7,22.1,22.1,21.1,18,22.9,21.1,20.6,24.3,27.1,32.1,39.1,42.1,39.9,40.6,37.8,31.4,37.4,45.3,58.8,67.4,69,84.9,99.3,117.3,127.5,116.6,120.3,90.7,101.3,121.6,102.3,72.3,116,155.5,136.7,141.4,136.1,166.8,200.5,252.6,285.4,310.1,337.7,305.8,293.2,265.5,205.3,197
"39","31","          Dividends","B467RC",5.1,5,3.8,2.4,2,2.3,2.4,4.1,4.2,2.6,3.3,3.5,3.9,3.7,3.9,4.1,4.1,4.8,5.5,6,6,7.5,7.1,7.1,7.3,7.4,8.5,9,9.3,9.3,10,10.6,10.6,11.4,12.6,13.7,15.6,16.8,17.5,19.1,19.1,18.5,18.5,20.1,21.1,21.7,24.8,28,31.5,36.4,38.1,45.3,53.3,53.3,64.2,67.8,72.3,73.9,75.9,79.8,104.2,119.2,125.8,135,149.3,158.6,179.3,201.9,218.1,242.2,239.2,259.6,278.5,285.8
"40","32","          Undistributed profits","B468RC",2.5,-2.3,-4.4,-4.8,-1.5,-0.7,0.1,0.3,0.5,-0.5,1.6,2.8,5.4,5.4,6,5.7,3.6,8.7,12.9,14.2,9.9,14.4,11.1,9.1,9.4,9.3,13.7,13.1,11.8,8.7,12.9,10.5,10.1,12.9,14.4,18.4,23.5,25.3,22.4,21.4,18.7,12.8,18.9,25.2,37.8,45.7,44.2,56.9,67.8,80.9,89.4,71.3,67,37.4,37.1,53.8,30.1,-1.6,40.1,75.7,32.6,22.2,10.3,31.9,51.2,94,106,108.2,119.6,63.6,54,5.9,-73.2,-88.8
"41","33","      Inventory valuation adjustment","B058RC",0.5,3.3,2.4,1,-2.1,-0.6,-0.2,-0.7,0,1,-0.7,-0.2,-2.5,-1.2,-0.8,-0.3,-0.6,-5.3,-5.9,-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,8.4,18.3,-4.2,-15,5,-6.9
"42","34","      Capital consumption adjustment","B470RC",-0.4,-0.3,0,0.1,0.1,-0.2,-0.2,-0.2,-0.7,-0.8,-0.7,-0.8,-0.9,-0.7,-0.2,0.5,0.7,-2.3,-2.4,-2.8,-2.8,-2.8,-3.1,-2.7,-1.9,-1,0.4,-0.3,-0.4,-0.2,0.4,1,1.8,4.6,5.6,6.2,7.1,7.5,7.8,7.8,8.2,7.4,7.1,8.7,8.8,5.3,-1.4,-3.8,-2.3,-4.2,-6.9,-8.8,4.8,16.9,33.1,51.7,71.4,55.8,55,53.4,45,34.3,26.3,23.7,23.6,33.5,38.7,45.8,51.1,52,62.6,38.8,73.6,136.7
"43","35","    Net interest","B471RC",1.4,1.6,1.8,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.1,1,1,0.7,0.8,0.9,1,0.9,1.1,1.2,1.3,1.6,1.6,1.8,2.2,2.7,3.1,3.5,4,4.5,4.8,5.3,6.1,7.4,8.8,10.1,13.2,17.1,18.1,19.2,22.5,28.3,28.7,27.5,30.7,36.3,45,58.1,71.8,82.5,76.6,87.7,90.4,98.4,105.1,123.6,151.8,156,143,113.3,105.9,107.9,115.8,108.7,120,137.7,156.1,182.7,196.8,194.1
"44",NA,"    Billions of chained (1996) dollars"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
