"","Table 6#13C# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"30","23","  Personal services","B2617C0C",1374,1503,1685,1490,1403,1560,1620,1740,1532,1658,1586,1980,1794,1989,NA
"31","24","  Business services","B2618C0C",6489,7004,6742,6470,6867,7588,8197,8674,9320,9106,10797,10650,12317,14394,NA
"32","25","  Auto repair, services, and parking","B2619C0C",1688,1502,1514,1648,1876,2073,2023,2325,2479,2304,3141,4269,7719,8474,NA
"33","26","  Miscellaneous repair services","B2620C0C",529,533,368,354,454,409,552,636,512,543,490,570,897,923,NA
"34","27","  Motion pictures","B2621C0C",491,533,694,484,809,690,880,578,852,432,430,1611,1062,249,NA
"35","28","  Amusement and recreation services","B2622C0C",1031,1113,920,963,1210,1946,776,1156,1145,1418,1577,1709,1642,2417,NA
"36","29","  Health services","B2623C0C",2940,3188,6031,3385,3499,3693,4028,4024,4110,4605,4797,5025,5563,5806,NA
"37","30","  Legal services","B2624C0C",1367,1454,1720,1764,1657,1758,1823,1852,1732,1962,1925,1901,1988,2021,NA
"38","31","  Other \1\","B2625C0C",1810,2033,3233,2961,2898,3146,3598,3947,4176,4231,4714,4546,5376,5349,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," 1. Consists of educational services; social services; museums,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","botanical and zoological gardens; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
