"","Table 9#3# Federal Government Current Receipts and Expenditures,","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227"
"11","3","Corporate profits tax accruals","B075RU",1.3,1.9,2.5,3,2.6,2.5,2.6,3,2.7,2.9,3,3.1,2.4,2.3,2.4,2.5,3,3.9,4.9,5.3,5.9,5.5,4.9,5.4,4.6,4.6,4.5,4.9,5,5.3,5.1,4,3.9,4.2,4.2,4.6,4.8,5.4,5.3,5.6,5.2,5.4,4.9,5.4,5.3,5.3,5.1,4.8,3.9,4.1,4.6,5.3,5.2,6.2,5.5,5.5,5.6,5.6,5.2,5,4.5,5.4,5.4,6.1,5.2,5.8,5.6,5.9,5.4,6.4,6.2,6.6,6,6.8,6.6,6.7,6.6,7.4,7.1,7.8,7.5,8.2,7.7,8,7.1,7.7,7.2,8,8.2,9.4,8.9,9.6,8.8,9.6,8.7,9.1,7.2,8.1,7.7,7.7,7.7,8.9,8.2,8.6,8.2,9.4,9,10.1,9.9,11.4,10.7,11.2,9.7,11.8,12.5,11,8.3,10.6,12.2,12.5,12.3,14.5,14.1,13.6,12.6,16.9,16.8,15.4,14.5,19.1,18.4,19.3,17.2,19.6,19,18.7,18.3,16.2,17.3,18.5,16.6,16.5,17.2,15.5,10.6,12.8,13.3,12.4,10.6,15.1,17.2,18.4,17.8,20.7,18.6,18.1,16.8,19.2,21.3,18.9,19.1,21.3,21.5,21.9,22.3,26.7,28.4,25.9,24.5,27.8,29.5,29.4,30.3,30.1,29,27.7,26.6,30.2,32.7,28.6,25.8,27.8,29.2,27.1,28.9,31.7,28,30.2,29.8,35.4,35.6,37.7,32.7,39.4,42.7,42,41,46.2,48.6,43.5,44.1,50.2,50,46.4,46,51.1,55.1,50.8,48.5,52.8,54.3,48.6,49.6,54.7,55,53.8,56.4,59.6,56.7,51.1,44.2,46.9,43.2,35.9
"12","4","Indirect business tax and nontax accruals","B076RU",1.8,1.9,2.1,2.1,1.9,1.9,2,2.2,1.9,2,2.1,2.2,1.9,2,2.2,2.1,1.9,2.1,2.6,2.3,2.4,2.2,2.3,2.5,2.4,2.6,2.6,2.8,2.6,2.8,2.8,2.8,2.4,2.5,2.4,2.5,2.4,2.7,2.7,2.8,2.6,2.8,2.8,3.1,2.8,3,3,3,2.7,3,2.8,3.1,2.9,3.2,3.1,3.3,3.2,3.6,3.2,3.5,3.1,3.6,3.3,3.7,3.4,3.9,3.5,3.9,3.5,4.1,3.7,4.1,3.6,4.4,3.9,4.4,4.2,4.5,3.7,4.2,3.4,4.4,3.8,4.2,3.7,4.2,4.1,4.5,4.2,4.6,4.6,4.9,4.4,5,4.8,5,4.6,5,4.8,5,5,5.2,5.1,5.1,4.7,5.1,5,5.2,5.2,5.5,5.4,5.5,5.2,5.6,5.7,5.6,5.2,6.1,6.3,6.6,5.6,6.1,6.1,6,5.9,6.3,6.8,6.6,6.5,7.4,7.5,7.5,7.3,7.5,7.6,7.8,7.8,9.9,10.8,11.2,14,15,14.2,14.2,12.6,12.5,12.3,12.4,12,13.7,13.8,14,14,14.5,14.6,14.6,13.9,15.1,14.6,13.8,13.4,13.2,13.7,13.5,13.1,14.7,14.5,14.5,14.4,14.7,14.8,15,16,15.4,15.2,15.6,15.5,15.7,15.5,17.3,18.5,19.4,20.2,20.4,19.7,19.5,20.4,21.8,20.1,20.8,21.4,23,23.2,23.3,24.7,24,23.1,23.7,23,23.2,22,22,23,28,21.8,23.4,24.7,23.8,23.8,23.6,26.2,23.9,23.6,23.7,27.1,25.7,26.1,26.6,29.3,27,28.2,27.5,28.7,25.8
"13","5","Contributions for social insurance","B077RU",1.7,1.8,1.6,1.4,1.6,1.5,1.2,1,1.2,1.2,1.1,0.9,1.3,1.3,1.2,1,1.4,1.4,1.3,1.1,1.7,1.8,1.5,1.3,2,1.7,1.6,1.4,2,1.8,1.6,1.3,2.3,2.1,1.8,1.5,2.3,2.7,2.1,1.7,2.6,3,2.2,1.8,3.1,3.5,2.5,1.9,3,3.5,2.5,2,3.7,4.2,3.1,2.5,4.6,5.1,3.6,2.7,4.8,5.2,3.7,2.8,5.6,5.9,4.1,3,6.4,6.7,4.6,3.4,6.6,6.9,4.7,3.5,6.8,7.2,4.9,3.8,8.4,9,7.3,5.8,9.5,10.4,7.8,6.2,10.4,11.1,8.8,7.4,12.1,12.5,10.2,8.3,13.3,13.2,10.5,8.3,14.8,14.6,11.5,9,17,16.7,13.5,10.6,21.3,20.8,17.5,14.4,23.2,23.2,20.1,17,24.2,24.2,20.8,18.2,27.4,27.6,23.4,20.8,30.5,30.7,26.6,22.6,35.7,35.7,30.2,26.2,40.6,40.5,35.4,32.3,44.3,43.8,38.4,36.1,51.9,51.5,45.6,42.8,56.1,55.4,48.5,44.9,59.7,59.3,53.1,49.6,70.7,67.4,59.8,54.9,76.9,75.4,64.6,59.5,81.8,80.4,69.8,65.5,85.6,86,73.3,71,96.3,95.6,83.6,77.5,102.4,102.6,87.7,83.5,109.8,108.7,93.1,88.5,112.5,114.6,97.5,93.9,118.6,121,101.3,100.9,121.7,127.8,108.1,106.2,130.9,134.5,116.3,112.2,142.1,142,119.5,116,147.5,148.3,124.1,123.5,154.6,155.6,132.5,134.3,163.3,167.1,139.4,143.3,170.8,176.4,150.7,152.8,188.8,188,158.2,157,198.5,196.9,160.3,161.1
"14","6","      Current expenditures","A956RU",12.4,12.3,9.9,9.9,9.2,9.6,9.7,9.1,8.8,9.5,9.8,10.8,11,11,10.7,10.8,12.6,10.5,9.2,11,11.6,13,13.9,14.8,14.2,15.3,15.8,16.9,16.2,17.1,15.7,17.8,15.8,16.3,15.1,16.9,15.8,15.8,16.6,17.1,16,17.4,16.1,18.8,18.1,19,18.7,20.2,18.9,20.4,20.5,21.7,19.7,21.4,21.2,21.5,20.5,21.5,21.5,22.3,22.1,23.7,22.3,23.8,24.1,25.3,24.7,25.9,25.6,26,27,26.4,26.5,27.8,27.9,27,26.8,28.6,30.3,30.4,30.5,32.8,35.6,34.7,36.9,38,39.2,39.2,39.8,43.3,43.1,43.6,42.2,45.7,47.2,45.4,45.1,51.5,51.9,50.2,51,55.8,55.3,54.5,56.6,61.3,59.6,62.5,63,66.5,65.2,65.1,68.1,74.1,72.4,76.5,81,90.7,84.8,88.9,90.3,95.7,90.9,95,95.9,98.6,106.4,104.1,106,108.7,116,113.5,114.8,119.1,129.1,126.7,133,139.1,153.6,150.8,156.6,159.8,174.1,168.9,170.9,176.8,192.5,191.9,189.6,197.9,208.3,202,202.3,206.7,218.3,228.8,217.8,226.7,236.1,244,227.4,244.4,251.6,255.2,241.8,250.1,255.4,271.1,252.5,263.3,264.1,286.3,269.2,283.4,282.9,304.9,292.7,306.4,308.9,320.7,289.2,321.6,324.8,351.9,335.3,351.2,355.7,376.7,350.2,366.6,366.2,388.4,361,369.5,377.1,398.4,377.9,398.6,393.7,405.5,393.4,404.9,407.8,429.8,403.2,415.1,414.8,445.7,409.7,421,420.8,454.4,420.7,431,429.3,474.3,442.2,454.1,446.9,483.9,469.3,479.5,477.5,510.1
"15","7","Consumption expenditures","B957RU",7.5,7.5,6,6.1,5.2,5.5,5.1,5.1,4.6,5.1,5.3,6.2,6,5.7,5.7,5.9,5.6,5,5,6.4,7,8,9.5,9.9,9.9,10.7,11.2,12.5,11.6,12.3,11.2,13.2,11,11.1,10.2,11.7,10.4,10.4,11.3,11.8,10.4,11.6,10.4,12.6,11.9,12.1,11.9,13.5,11.9,12.8,12.3,14,11.8,13.7,13.2,13.3,12,13,13,13.5,12.5,13.9,12.8,14,13.8,15.6,14.6,15.4,14.8,15.8,16,15.9,15.1,16.9,16.3,15.8,15.2,17,17,18.2,17.2,19.5,20.4,20.1,21.1,22.5,21.7,23.1,23.1,25.1,23.4,25.5,23.5,25.8,25.4,25.3,24.4,25.8,24.7,25.4,24.9,26.9,25.6,26.2,27.2,28.3,27.2,27.2,27.5,29,27.4,27.8,28.7,30.7,29.8,31.1,31.2,34.9,32.1,32.9,32.8,37.2,33.3,34.6,34.7,36.5,42.2,37.9,38,39.6,45.7,41.1,41.6,43.3,49.7,45.4,47,50.2,58.7,53.1,54.8,57.3,67.7,60.1,61.4,61.9,75.3,66.7,67.5,69.1,83.3,68.2,69.8,73.1,84.8,84.3,76,77.3,92.8,92.8,81,83.9,97.4,96,86.2,88.3,99,101.1,88.8,90.7,100,103.4,90.6,96.4,106.1,106.5,97.4,99.4,110,113,103.1,105.5,115.8,114.7,102,104.2,121.1,118.5,102,103.6,120.8,116.2,103.5,100.7,121.3,114.3,103.5,103.4,120.3,112,101.8,102.4,119.5,121.5,104,107.4,120.8,124.6,101.2,105.4,120.8,125.8,105.1,109.2,126.8,130.5,110.1,117.8,131.8,133.5,119.4,124.3,139,145.6
"16","8","Transfer payments (net)","A086RU",3.2,2.9,2.5,2.3,2.5,2.4,3.1,2.4,2.7,2.7,2.8,2.8,3.3,3.6,3.3,3.1,5.2,3.5,2.4,2.7,2.7,2.8,2.7,2.8,2.4,2.6,2.7,2.5,2.7,2.7,2.5,2.7,3,3.1,3,3.3,3.6,3.5,3.2,3.3,3.5,3.6,3.4,3.6,3.9,4.3,3.9,4.3,4.9,5.3,5,4.9,5.3,5.1,4.9,5.1,5.4,5.4,5.4,5.6,6.5,6.4,6.2,6.1,6.7,6.3,6.2,6.4,7.1,6.6,6.5,6.6,7.2,6.8,6.6,6.6,7.2,7.1,7.7,7.3,8,7.7,7.8,8.5,9.6,9.5,9.6,9.6,10.4,10.9,11,11.2,11.8,12,11.6,11.9,12.9,15,14.3,15.2,16.2,17.7,16.9,17.4,18.8,18.4,17.5,20.5,21.4,21.7,21.2,22.1,24.7,26.2,26.8,28.4,32.1,34.4,34,35,37.1,35.5,36.7,36.9,39.3,38,38.3,39.3,41.4,40.5,41.2,42.2,45.1,44.9,47.4,48.5,53.2,52.7,58.3,59.6,62.6,61.3,64.6,66.2,69.3,69.4,71.7,76.8,78.5,78.5,75.3,77.2,78.7,78.2,78,81.3,83.8,84,83.8,85.2,87.6,88.4,89.8,90.2,91.1,91.7,91.9,92.5,97.4,97.2,95.6,97.6,104.6,104.5,103.6,107.5,115.4,114.6,114.2,111.1,102.2,114.9,119.9,126.3,142,140.3,139.8,143.2,151.1,149,146.9,150.8,159.4,152.4,152.2,154.6,165.7,166.2,160,160.2,180.7,172,167.5,171.4,186.7,178.9,174,177.9,192.8,180.7,176.5,180.6,196.3,184.1,180.2,185.1,207.9,192.1,185.2,194.3,221.6,205.4,204.7,210.5
"17","9","  To persons","B087RU",2.5,2.2,2,1.9,2,1.9,2.5,2,1.9,1.8,1.7,1.8,2,2.1,2,2.1,4.3,2.4,1.7,1.9,1.9,2,2,2,2,1.9,2.1,2.1,2.2,2.1,2.1,2.3,2.6,2.7,2.6,2.8,3,2.9,2.8,2.8,3.1,3.1,3,3.1,3.5,3.7,3.5,3.8,4.5,4.8,4.5,4.4,4.8,4.6,4.5,4.6,5,4.9,4.9,5.1,6,5.9,5.7,5.6,6.1,5.8,5.7,5.9,6.6,6.1,5.9,6,6.6,6.3,6.1,6.2,6.8,6.5,7.2,6.9,7.4,7.1,7.3,8.1,9,9,9,9.1,10,10.5,10.5,10.7,11.4,11.5,11.2,11.5,12.4,14.5,13.8,14.7,15.7,17.1,16.3,16.7,18.1,17.7,16.8,19.9,21,20.9,20.5,21.6,24.1,25.3,26,27.7,31.3,33.5,33.3,34.1,36.5,34.9,35.1,36.3,38.5,37.1,37.4,38.7,40.6,39.6,40.3,41.2,44.2,44,46.3,47.6,51.8,51.9,57.4,57.9,61.5,60.3,63.4,64.7,67.7,68.3,70.4,74.7,77.3,77.2,73.8,74.2,77.1,76.7,75.7,77.6,81.5,81.5,81,81.8,85.5,85,86.5,87,89,89.5,89.7,88.8,95.3,95.4,93.4,93.5,102.5,102.7,101.3,103.3,112.1,111.2,110.7,111.3,122.2,123.1,121.5,125.6,138.7,136.7,136,137.6,147.7,145.3,142.8,145.4,156.3,149.3,148.3,149.3,163.2,163.9,157.4,157.8,176.8,168.9,165,167.3,184.6,176.3,171.6,174.3,190.6,178.1,173.9,177.1,194.1,181.6,177.7,181,205,188.9,181.8,190.1,220,203.4,202.7,206.4
"18","10","  To the rest of the world (net)","B088RU",0.7,0.7,0.5,0.4,0.5,0.5,0.5,0.4,0.8,0.8,1.2,1,1.3,1.5,1.3,1,1,1.1,0.7,0.8,0.8,0.9,0.7,0.8,0.4,0.7,0.6,0.4,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.6,0.5,0.4,0.5,0.5,0.6,0.4,0.4,0.5,0.5,0.5,0.4,0.6,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.8,0.6,0.6,0.6,1,0.8,0.7,0.8,0.9,0.7,0.9,0.6,0.7,1.6,0.6,0.8,0.9,0.9,0.7,0.9,0.9,0.8,0.9,0.9,0.9,1.1,1,1.3,0.8,0.9,1.7,1,1,1.2,1.5,1.5,1.2,1.3,2.1,1.2,1.4,1.5,2.9,1.5,1.6,2.3,3.7,2.3,2.6,2.8,3.4,2.1,3.4,3.3,3.2,2.1,2.2,2.2,3.7,2.1,1.8,2.3,4.1,2.1,1.8,2.3,4.2,3.3,3.4,3.5,-0.2,-20,-8.2,-1.6,0.7,3.2,3.6,3.8,5.5,3.4,3.8,4.1,5.5,3.1,3,3.9,5.3,2.6,2.3,2.6,2.3,3.9,3.1,2.5,4.1,2.1,2.6,2.4,3.5,2.3,2.6,2.6,3.5,2.2,2.6,2.5,4.1,2.9,3.1,3.3,4.2,1.5,2,2,4.1
"19","11","Grants-in-aid to State and local governments","B089RU",0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.6,0.7,0.9,1.1,0.9,0.8,1.1,0.9,0.9,1,1.1,1,1.1,1.1,1.2,1.1,1.3,1.2,1.4,1.2,1.4,1.3,1.5,1.4,1.6,1.6,1.7,1.6,1.6,1.9,1.8,1.8,2.3,2.7,2.6,2.5,2.8,2.8,3.1,3,2.9,3.7,3,3.1,3.2,3.9,3.7,3.9,4.3,5.2,4.9,4.9,5.3,6.4,5.6,6,6.3,9.1,6.5,9.8,8.7,9.2,8.4,8.4,8.5,9.3,9.1,9.3,10,12,11.4,11.8,12.2,12.4,12.6,13.5,13,14,14.7,15,15.8,16.6,16.1,17,15.9,16.4,16.6,17.4,17.8,17.9,17.9,18.9,19.4,18.4,17.2,17.5,17.5,17.7,16.3,18.1,17.9,18.2,17,18.5,19.3,19.1,17.8,20.5,20.1,19.7,19.4,21.6,21.8,22,22.1,21.7,21.3,21.3,20.2,21.2,23.2,22.8,22.1,23.5,24.6,24.2,24,25.5,27.4,27.9,26.8,29.3,31.5,32.5,32.1,35.5,36.5,37.2,36.4,39.1,39.3,40.2,39.1,44,43.3,43.7,41.8,45.7,46.7,47.6,44.2,46,46.9,49.5,46,48,48.4,49,46.5,52.8,52,52.1,50.3,55.9,57,56.5,56.1,61.5,60.6,61.4,60.6,64.9,67.6,71.4,64.9,73.5
"20","12","Net interest paid","A090RU",0.9,1,1,1.1,1,1.1,1,1.1,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.2,1.3,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.4,1.3,1.4,1.4,1.5,1.4,1.5,1.3,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.9,1.7,1.7,1.6,1.7,1.6,1.6,1.7,1.8,1.8,1.9,1.8,2,1.9,2,2,2.2,2,2.2,2.1,2.3,2.2,2.4,2.3,2.5,2.4,2.6,2.6,2.7,2.5,2.8,2.8,3.1,2.9,3.3,3.2,3.5,3.3,3.8,3.6,4.1,3.7,3.9,3.7,3.9,3.6,4.1,3.7,4.2,3.8,4.4,4.2,5.1,4.9,5.8,5.1,5.9,5.5,6.4,5.6,6.6,5.9,7.4,6.7,7.9,6.8,8.6,7.3,8.5,7.4,9.3,8.5,9.9,9,11.1,10.3,12.6,10.7,13.5,12.8,16,13.2,16.5,17.1,20.6,18.5,22.9,20.2,25.1,22.1,26.5,22.2,27.7,24.3,30.3,26.7,32.9,29.9,38,31.6,39.6,32.1,41.1,33.4,41.7,33.1,42.4,34.7,42.8,35.1,47.2,36,48,37.7,50.4,41,54.5,41.7,56.4,44.6,58.3,48.2,59.5,47.4,63.8,48.2,65.8,49.2,65.4,49.4,65.2,47.9,66.5,48.8,67,47.8,68,51.2,72.6,55.1,76.4,57.8,78.2,58.2,77.7,58.6,79.1,58.2,78.5,59.7,79.8,59.4,79.4,59.6,80,55.5,76.5,55.2,76.7,55.1,77,54.1,76.7,51.9,72.3,47,66.9
"21","13","  Interest paid","A091RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.2,2,2.1,1.9,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.5,2.7,2.6,2.8,2.7,3,2.8,3.2,3,3.2,3,3.4,3.4,3.7,3.5,4,3.6,4,3.8,4.4,4.1,4.7,4.3,4.6,4.2,4.5,4.2,4.9,4.3,4.9,4.4,5.2,4.9,5.8,5.5,6.6,5.8,6.7,6.2,7.3,6.4,7.4,6.8,8.4,7.6,8.8,7.9,9.6,8.3,9.7,8.5,10.6,9.9,11.6,10.8,13.1,12.2,14.6,12.9,16,15.2,18.6,16.1,19.8,20.4,24,22.3,27.1,24.5,29.4,26.7,31.1,27,32.6,29.4,35.6,32.1,38.7,35.6,43.8,37.5,45.6,38.6,47.7,40.3,48.4,40.4,49.1,41.2,49.2,41.3,52.9,43.7,54.4,44,57.2,47.4,60.9,48.6,62.5,50.7,64.2,54.2,68.4,54.4,70.2,54.7,71.5,54.8,70.9,54.8,70.8,53.1,71.8,54.2,72.2,53,73.3,56.6,78.3,60.9,82.2,63.1,83.3,63.5,83.2,64.5,85,64,84.4,65.2,84.9,64.2,84,64.2,84.4,59.9,80.7,59.6,81.2,60,81.9,58.9,81.4,56.9,77,52,72
"22","14","    To persons and business","B092RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2.1,1.9,2,1.9,1.9,1.8,2,1.9,2.1,2,2.2,2.1,2.3,2.2,2.4,2.3,2.4,2.3,2.5,2.4,2.6,2.4,2.6,2.6,2.8,2.7,3,2.9,3.1,2.8,3.3,3.2,3.6,3.4,3.8,3.5,3.8,3.6,4.2,3.9,4.5,4,4.3,3.9,4.1,3.7,4.3,3.7,4.2,3.7,4.5,4.1,4.9,4.5,5.5,4.8,5.6,5.1,6.1,5.2,6.3,5.6,7.3,6.5,7.7,6.7,8.4,7.1,8.4,7.2,8.9,7.9,9.5,8.7,10.6,9.4,11.9,10.2,13.1,12.1,15.7,13.1,16.2,16.4,19.7,17.9,22.7,19.8,24.8,21.7,26.1,22.3,27.9,24.6,30.8,27.1,33.7,30.2,38.1,31.8,39.9,32.7,41.8,34.2,42.4,34.2,42.8,34.7,42.7,34.8,46.2,36.5,46.6,35.8,48.7,38.2,51.4,38.8,52.6,40.7,54.1,43.9,58,44,60,44.5,61.6,45,61.1,45,61.1,43.4,62.2,44.2,62.2,42.8,62.7,45.4,66,47.6,68.1,48.3,68.2,48.4,67.4,46.8,66,43.7,62.4,42.4,62.1,41.5,61,41.4,61.7,41.4,62.5,40.8,62,40.1,61.4,38,59.8,35.5,56.4,32.2,53
"23","15","    To the rest of the world","B093RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1,1,1,1,1,1.1,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.7,1.9,2.1,2.1,2.5,2.8,2.7,2.8,2.9,3.1,3,3,3.6,4,4.4,4.4,4.5,4.7,4.6,5,5,4.7,4.7,4.7,4.9,4.9,5.1,5.4,5.7,5.8,5.7,5.8,5.8,6.1,6.1,6.2,6.3,6.5,6.5,6.5,6.7,7.2,7.7,8.2,8.5,9.2,9.5,9.8,9.8,10,10.1,10.2,10.4,10.5,10.2,10.3,9.9,9.8,9.8,9.8,9.7,9.7,9.7,10,10,10.2,10.6,11.1,12.3,13.3,14.1,14.9,15.1,15.2,15.8,17.7,19,20.3,22,22.9,22.9,22.7,23,22.8,22.7,18.4,18.2,18.7,19.1,19.9,20.6,21,21.5,21.3,20.6,19.8,19
"24","16","  Less: Interest received by government","B094RU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.6,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.5,0.7,0.6,0.8,0.6,0.7,0.6,0.8,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.9,0.9,0.9,1,1,1,1.2,1.2,1.3,1.4,1.7,1.8,2,1.9,2,2.2,2.5,2.4,2.6,2.9,3.3,3.3,3.5,3.8,4.2,4.3,4.4,4.6,4.6,4.8,4.9,5.1,5.3,5.4,5.8,5.8,5.8,5.9,6.1,6.5,6.6,6.9,6.8,7.3,6.7,6.5,6.4,6.2,5.7,7.7,6.4,6.3,6.8,6.4,6.4,6.9,6.1,6.1,5.9,6,8.9,7.1,6.4,6.5,5.8,5.6,5.5,5.4,5.5,5.2,5.3,5.4,5.2,5.2,5.3,5.4,5.7,5.8,5.8,5.3,5.1,5.3,5.5,5.9,5.9,5.9,5.9,5.5,5.1,4.8,4.6,4.6,4.4,4.4,4.2,4.4,4.4,4.9,4.9,4.8,4.7,5,4.7,5,5
"25","17","Subsidies less current surplus of government enterprises","A095RU",0.6,0.7,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.2,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.5,0.3,0.6,0.6,0.1,0.4,0.4,0.7,0.3,0.2,0.2,0.4,0.4,0.3,0.2,0.4,0.6,0.3,0.7,0.6,1,0.6,0.4,0.8,1,0.5,0.3,1.1,0.6,0.6,0.4,1.3,0.7,0.7,0.4,1.6,0.7,0.7,0.5,2.4,0.9,0.9,0.5,2.3,0.8,0.7,0.4,2.9,0.5,0.7,0.5,3.2,0.6,0.5,0.9,4.1,0.7,0.9,1,3.6,0.8,0.7,1.2,4.6,1.1,1.1,1.6,3.3,1,1.1,1.7,0.9,1.2,2,2.8,1.5,1.7,1.5,2.8,1.5,1.4,1.7,1.7,3.9,2.6,2.3,2.1,4,2.3,1.9,2,4.7,1.8,2.2,2.3,5.6,2.8,2.7,2.3,6.2,2.1,2.5,2.7,7.1,3.8,3.5,4.1,8.3,7.7,7.9,3.4,7.8,4.9,6.2,5.7,8,3.4,3.6,8.4,9.2,4.8,8.6,6,9.2,9.1,7.2,4.6,8.6,11.4,8.4,3.9,7.5,9,7.9,6.2,9.7,7.9,5.1,4.8,8.7,9.6,5.6,4.2,9,10.8,9.9,7.2,10.7,10.4,7,4.8,10.6,11.1,6.8,4.9,11.5,9.2,5.8,3.3,16.1,9.8,5.9,1.3,13.7,10.6,4.3,3.4,13.5,12.2,6.9,4.7,11,20.5,8.5,5.8,15.2,14.4,8.8,6.1,21.8,13.5
