"","Table 8#2# Contributions to Percent Change in Real Gross Domesti","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","2","  Personal consumption expenditures","A002RY",-3.98,-2.33,-7.07,-1.88,5.69,4.82,7.76,2.78,-1.2,4.47,3.78,5.04,-1.53,1.52,1.48,3.1,6.42,1.32,1.48,1.77,4.28,0.98,1.97,2.94,1.26,4.54,1.82,1.52,0.5,3.55,1.71,1.27,3.1,2.55,3.71,3.91,3.52,1.83,3.48,2.26,1.43,2.35,3.74,3.05,-0.51,1.33,3.67,2.71,2.79,1.57,-0.2,0.85,0.76,3.49,3.49,3.15,2.71,2.17,2.65,1.76,1.21,-0.12,1.9,2.24,2.53,2,2.14,2.39,3.18,3.3,2.94,1.67,2.15
"12","3","    Durable goods","A003RY",-1.55,-1.14,-1.79,-0.12,0.95,1.4,1.59,0.41,-1.41,1.27,1.1,1.24,-3.08,-0.54,-0.3,0.4,3.07,1.33,0.55,0.7,2.06,-0.93,-0.24,1,-0.03,1.84,-0.38,0.08,-0.7,0.97,0.17,-0.31,0.89,0.77,0.77,1.06,0.73,0.13,0.92,0.31,-0.28,0.81,1.07,0.9,-0.61,0,1.04,0.8,0.47,-0.03,-0.66,0.1,0,1.09,1.15,0.81,0.78,0.16,0.51,0.18,-0.08,-0.53,0.39,0.61,0.59,0.37,0.44,0.51,0.8,0.92,0.65,0.48,0.59
"13","4","      Motor vehicles and parts","A165RY",-0.98,-0.55,-0.79,0.31,0.47,0.82,0.62,0.05,-1,0.72,0.63,0.39,-2.45,0.01,-0.03,0.08,1.13,0.79,0.35,0.84,1.15,-0.72,-0.37,0.76,-0.17,1.25,-0.64,0.17,-0.66,0.63,0.23,-0.37,0.61,0.46,0.23,0.62,0.08,-0.09,0.58,0.16,-0.38,0.66,0.55,0.37,-0.68,0.02,0.71,0.42,0.18,-0.27,-0.49,0.08,0.08,0.62,0.61,0.48,0.27,-0.17,0.21,-0.02,-0.12,-0.49,0.2,0.23,0.18,-0.02,0.04,0.11,0.32,0.34,0.17,0.24,0.2
"14","5","      Furniture and household equipment","A166RY",-0.45,-0.35,-0.72,-0.29,0.3,0.45,0.84,0.17,-0.38,0.48,0.4,0.66,-0.68,-0.71,-0.29,0.19,1.63,0.61,0.19,-0.07,0.84,-0.24,0.07,0.2,0.08,0.48,0.18,-0.11,-0.06,0.27,-0.04,0.06,0.21,0.25,0.42,0.33,0.44,0.17,0.23,0.09,0.04,0.13,0.35,0.37,0.04,-0.08,0.22,0.28,0.19,0.18,-0.06,0,-0.06,0.38,0.35,0.26,0.38,0.23,0.22,0.17,0.02,0.03,0.16,0.27,0.3,0.28,0.3,0.31,0.35,0.42,0.35,0.19,0.3
"15","6","      Other","A167RY",-0.12,-0.23,-0.28,-0.14,0.18,0.13,0.13,0.19,-0.03,0.07,0.08,0.19,0.05,0.16,0.02,0.13,0.31,-0.07,0.01,-0.07,0.07,0.03,0.06,0.05,0.05,0.11,0.08,0.02,0.02,0.06,-0.01,0,0.07,0.07,0.12,0.12,0.21,0.06,0.11,0.06,0.06,0.02,0.16,0.16,0.04,0.06,0.11,0.11,0.1,0.06,-0.11,0.02,-0.02,0.08,0.19,0.07,0.14,0.1,0.08,0.03,0.02,-0.07,0.02,0.1,0.1,0.1,0.11,0.09,0.13,0.16,0.13,0.06,0.1
"16","7","    Nondurable goods","A004RY",-1.69,-0.18,-3.03,-0.58,3.45,2.45,4.69,1.41,0.53,2.19,1.7,2.49,0.61,1.07,1.19,2.12,1.73,-1.02,0.12,0.54,1.11,0.89,1.28,1,0.39,1.51,1.02,0.55,0.28,1.25,0.44,0.53,0.9,0.59,1.33,1.43,1.46,0.42,1.18,0.69,0.61,0.47,1.11,0.82,-0.51,0.37,1.25,0.6,0.91,0.65,-0.04,0.29,0.23,0.8,0.93,0.61,0.78,0.52,0.68,0.58,0.3,-0.09,0.4,0.61,0.79,0.6,0.6,0.58,0.81,0.91,0.77,0.39,0.64
"17","8","      Food","A168RY",-0.32,0.09,-1.15,0.3,2.17,1.25,3.03,1.04,0.41,0.7,0.95,1.05,0.43,0.48,1.21,1.26,0.84,-0.79,-0.27,0.14,0.37,0.51,0.59,0.66,0.33,0.73,0.52,0.33,0,0.59,0.12,0.18,0.2,0.17,0.57,0.78,0.58,0.18,0.65,0.34,0.41,0.13,0.42,0.04,-0.21,0.33,0.7,0.26,0.13,0.25,0.11,0.01,0.2,0.35,0.26,0.28,0.25,0.15,0.43,0.2,0.29,-0.02,0.06,0.28,0.28,0.16,0.12,0.11,0.31,0.33,0.37,0.09,0.17
"18","9","      Clothing and shoes","A169RY",-0.91,-0.13,-0.97,-0.9,0.47,0.7,0.73,-0.07,0.11,0.65,0.25,0.57,0.31,0.64,-0.23,0.23,0.18,-0.36,0.07,0.03,0.18,-0.03,0.34,0.07,0.01,0.29,0.15,-0.04,0.05,0.27,0.05,0.1,0.23,0.09,0.38,0.2,0.32,0.03,0.2,0.09,-0.06,0.22,0.3,0.32,-0.06,0.15,0.2,0.23,0.4,0.21,0.09,0.23,0.06,0.27,0.31,0.17,0.29,0.13,0.11,0.21,-0.02,0.01,0.19,0.16,0.2,0.18,0.19,0.17,0.22,0.24,0.18,0.08,0.17
"19","10","      Gasoline, fuel oil, and other energy goods","A173RY",-0.02,-0.08,-0.25,0.1,0.24,0.22,0.34,0.16,-0.05,0.3,0.26,0.3,-0.47,-0.44,0.01,0.26,0.7,0.16,0.11,0.01,0.16,0.16,0.12,0.07,0.08,0.24,0.13,0.08,0.14,0.08,0.04,-0.01,0.09,0.1,0.14,0.13,0.15,0.07,0.11,0.11,0.09,0.09,0.12,0.14,-0.23,0.06,0.16,0.05,0.05,-0.07,-0.31,-0.05,0,0.06,0.08,0.05,0.11,0.05,0.04,0.02,-0.07,-0.06,0.05,0.05,0.04,0.05,0.05,0.04,0.03,0.05,-0.02,0.02,0.07
"20","11","      Other","A172RY",-0.45,-0.06,-0.67,-0.09,0.57,0.28,0.59,0.28,0.06,0.53,0.24,0.57,0.33,0.39,0.2,0.37,0.01,-0.03,0.21,0.37,0.4,0.24,0.23,0.2,-0.03,0.25,0.22,0.18,0.1,0.32,0.23,0.27,0.38,0.23,0.24,0.32,0.41,0.15,0.22,0.15,0.16,0.04,0.26,0.32,-0.01,-0.16,0.18,0.07,0.33,0.26,0.08,0.1,-0.02,0.11,0.28,0.12,0.13,0.19,0.1,0.16,0.1,-0.02,0.09,0.11,0.26,0.21,0.24,0.27,0.24,0.3,0.25,0.21,0.23
"21","12","    Services","A005RY",-0.73,-1,-2.24,-1.18,1.29,0.98,1.49,0.96,-0.31,1,0.98,1.3,0.94,0.99,0.59,0.59,1.62,1,0.81,0.53,1.11,1.02,0.92,0.94,0.9,1.2,1.18,0.89,0.92,1.33,1.1,1.05,1.31,1.2,1.61,1.42,1.33,1.28,1.37,1.26,1.09,1.07,1.56,1.33,0.6,0.96,1.38,1.3,1.41,0.95,0.49,0.46,0.53,1.61,1.41,1.73,1.14,1.49,1.46,1,0.99,0.5,1.11,1.02,1.16,1.04,1.1,1.29,1.57,1.47,1.51,0.8,0.92
"22","13","      Housing","A174RY",-0.14,-0.14,-0.28,-0.29,0.73,0.1,0.19,0.17,0.16,0.3,0.32,0.53,0.39,0.26,0.23,0.12,0.46,0.54,0.36,0.43,0.52,0.54,0.48,0.42,0.39,0.43,0.41,0.43,0.4,0.48,0.46,0.44,0.53,0.43,0.44,0.5,0.41,0.39,0.43,0.46,0.34,0.39,0.48,0.45,0.45,0.26,0.27,0.22,0.43,0.35,0.26,0.2,0.03,0.2,0.37,0.34,0.26,0.3,0.29,0.25,0.24,0.2,0.14,0.12,0.29,0.2,0.12,0.19,0.27,0.32,0.19,0.17,0.17
"23","14","      Household operation","A186RY",0.01,-0.15,-0.36,-0.22,0.34,0.21,0.29,0.23,-0.05,0.26,0.23,0.11,0.21,-0.03,0.09,0.12,0.09,0.21,0.15,0.12,0.28,0.2,0.09,0.15,0.12,0.33,0.24,0.14,0.12,0.16,0.18,0.14,0.19,0.16,0.19,0.19,0.19,0.18,0.15,0.18,0.13,0.06,0.19,0.19,0.04,0.18,0.18,0.22,0.21,0.11,0.09,-0.04,0.03,0.14,0.11,0.17,0.09,0.2,0.18,0.15,0.04,0.05,0.07,0.22,0.15,0.15,0.18,0.13,0.19,0.17,0.21,0.05,0.02
"24","15","        Electricity and gas","A175RY",0.09,0.05,0,-0.07,0.08,0.09,0.09,0.09,0.05,0.08,0.12,0.07,0.08,0.04,0.05,0.05,0.1,0.11,0.1,0.08,0.15,0.13,0.1,0.09,0.12,0.1,0.12,0.09,0.08,0.09,0.08,0.08,0.11,0.08,0.09,0.07,0.08,0.08,0.08,0.08,0.07,0.05,0.09,0.04,0.02,0.09,0.06,0.09,0.08,0.01,0.05,-0.04,0.03,0.07,0.01,0.06,-0.02,0.07,0.1,0.04,-0.03,0.05,-0.01,0.1,0.01,0.03,0.05,-0.02,0.04,0.02,0.05,-0.03,0.02
"25","16","        Other household operation","A176RY",-0.08,-0.21,-0.37,-0.15,0.25,0.12,0.2,0.14,-0.1,0.18,0.11,0.05,0.13,-0.06,0.04,0.06,-0.02,0.1,0.05,0.03,0.13,0.07,0,0.06,0.01,0.23,0.12,0.05,0.05,0.07,0.1,0.06,0.08,0.09,0.1,0.11,0.11,0.1,0.07,0.1,0.06,0.02,0.11,0.14,0.02,0.09,0.11,0.13,0.13,0.1,0.04,0,0,0.07,0.1,0.11,0.11,0.13,0.08,0.11,0.07,-0.01,0.08,0.12,0.14,0.12,0.13,0.15,0.15,0.16,0.16,0.08,0
"26","17","      Transportation","A177RY",-0.28,-0.28,-0.29,-0.01,0.15,0.05,0.28,0.12,-0.11,0.17,0.15,0.24,0.12,0.37,0.15,0.13,0.33,-0.02,0,-0.09,-0.02,0.1,0.02,0.07,-0.02,0.06,0.11,0.04,-0.04,0.08,0.07,0.02,0.08,0.08,0.11,0.09,0.13,0.12,0.13,0.12,0.07,0.08,0.15,0.06,0.01,0.04,0.09,0.16,0.07,0.08,-0.12,-0.07,-0.03,0.15,0.22,0.21,0.09,0.09,0.12,0.03,-0.02,-0.12,0.09,0.08,0.18,0.16,0.17,0.16,0.1,0.14,0.08,-0.02,-0.01
"27","18","      Medical care","A494RY",-0.05,-0.04,-0.16,-0.22,0.07,0.02,0.16,0.07,-0.04,0.15,0.07,0.1,0.09,0.02,0.12,0.04,0.26,0.25,0.22,0.09,0.15,0.13,0.12,0.13,0.16,0.1,0.17,0.16,0.19,0.24,0.1,0.12,0.28,0.22,0.4,0.18,0.19,0.14,0.33,0.32,0.26,0.34,0.34,0.37,0.21,0.29,0.28,0.29,0.26,0.25,0.22,0.33,0.09,0.3,0.22,0.3,0.31,0.41,0.38,0.24,0.43,0.31,0.42,0.14,0.11,0.2,0.22,0.27,0.28,0.21,0.28,0.43,0.46
"28","19","      Recreation","A490RY",-0.01,-0.05,-0.38,-0.09,0.15,0.11,0.17,0.11,-0.09,0.06,0.14,0.09,0.12,0.09,-0.02,0.07,0.2,-0.08,-0.04,-0.02,0,0.01,0.02,0.01,0.03,0.06,0.06,-0.03,-0.01,0.08,0.07,0.07,0.07,0.06,0.05,0.04,0.06,0.04,0.08,0.08,0.06,0.05,0.07,0.12,0.1,0.08,0.11,0.1,0.06,0.06,0.06,0.12,0.09,0.13,0.1,0.12,0.07,0.07,0.16,0.13,0.08,-0.01,0.15,0.12,0.09,0.17,0.12,0.11,0.11,0.11,0.1,0.08,0.05
"29","20","      Other","A178RY",-0.26,-0.34,-0.77,-0.34,-0.15,0.5,0.4,0.26,-0.18,0.06,0.07,0.23,0.01,0.28,0.03,0.1,0.28,0.1,0.11,0.01,0.19,0.04,0.19,0.16,0.23,0.22,0.19,0.17,0.25,0.29,0.22,0.27,0.16,0.25,0.42,0.42,0.35,0.4,0.25,0.1,0.24,0.14,0.33,0.16,-0.2,0.11,0.46,0.31,0.38,0.11,-0.02,-0.09,0.31,0.68,0.38,0.58,0.32,0.42,0.33,0.2,0.22,0.08,0.24,0.34,0.35,0.16,0.29,0.43,0.62,0.51,0.65,0.09,0.23
"30","21","  Gross private domestic investment","A006RY",-5.23,-4.32,-5.33,1.15,2.78,4.51,2.53,2.58,-4.24,2.48,4,2.94,-6.55,-2.59,0.75,1.16,7.33,-0.53,3.99,-4.22,5.77,0.06,-1.63,0.7,-0.68,3.45,-0.22,-0.71,-1.27,2.82,0,-0.1,1.8,1,1.25,2.15,1.44,-0.76,0.89,0.9,-1.04,1.66,1.86,1.96,-1.31,-2.98,2.84,2.43,2.06,0.6,-2.09,1.58,-2.54,1.48,4.62,-0.17,-0.11,0.42,0.44,0.6,-0.49,-1.26,1.12,1.18,1.89,0.47,1.37,1.91,1.96,1.15,1.08,-1.9,0.15
"31","22","    Fixed investment","A007RY",-3.37,-3.75,-3.84,-0.71,1.63,1.9,2.52,1.59,-2.2,1.83,2.01,1.58,-4.76,-1.19,0.8,1.47,4.49,2.38,1.49,-1.37,2.89,-0.7,-0.28,0.98,0.23,1.91,0.07,-0.17,-1.09,1.94,0.13,-0.05,1.23,1.07,1.37,1.49,0.86,-0.28,0.99,0.9,-0.31,1.09,1.8,1.46,-1.04,-1.71,1.42,2.18,1.94,1.01,-1.18,0.38,-1.21,1.19,2.67,0.89,0.2,0,0.58,0.42,-0.28,-1,0.86,1.09,1.28,0.88,1.39,1.47,1.8,1.29,1.03,-0.65,-0.5
"32","23","      Nonresidential","A008RY",-1.86,-3.33,-2.79,-0.47,1.21,1.35,2.04,1.4,-2.22,0.77,1.59,1.36,-3.18,-0.63,0.9,1.36,2.1,1.32,0.51,-0.93,0.86,0.44,-0.18,0.8,-0.19,1.01,0.55,0.16,-1.14,0.73,0.52,-0.06,0.77,0.5,1.07,1.64,1.29,-0.15,0.46,0.77,-0.06,-0.01,0.92,1.5,0.09,-1.14,0.52,1.19,1.59,1.22,-0.01,0.73,-0.5,-0.13,2.04,0.83,-0.34,-0.01,0.6,0.61,0.08,-0.53,0.34,0.83,0.91,1.03,1.1,1.39,1.49,1.01,0.98,-0.66,-0.68
"33","24","        Structures","A009RY",-0.76,-1.76,-1.31,-0.53,0.24,0.21,0.61,0.63,-0.59,0.15,0.33,0.48,-0.99,-0.38,0.28,0.38,1.43,-0.32,0.18,-0.12,0.25,0.26,-0.01,0.3,0.12,0.26,0.39,0,-0.24,0.09,0.28,0.05,0.16,0.04,0.36,0.57,0.27,-0.1,0.05,0.2,0.01,-0.06,0.12,0.31,-0.08,-0.43,0.09,0.15,0.44,0.51,0.3,0.39,-0.08,-0.54,0.61,0.33,-0.49,-0.14,0.05,0.09,0.05,-0.38,-0.18,0.02,0.02,0.13,0.2,0.26,0.21,-0.04,0.2,-0.05,-0.52
"34","25","        Equipment and software","A010RY",-1.1,-1.57,-1.48,0.06,0.97,1.14,1.43,0.77,-1.62,0.63,1.26,0.88,-2.2,-0.25,0.62,0.98,0.67,1.64,0.33,-0.81,0.61,0.18,-0.17,0.49,-0.32,0.75,0.16,0.16,-0.9,0.64,0.24,-0.11,0.61,0.46,0.71,1.07,1.02,-0.05,0.4,0.57,-0.07,0.06,0.8,1.18,0.17,-0.71,0.42,1.04,1.15,0.71,-0.3,0.34,-0.42,0.41,1.43,0.5,0.16,0.13,0.56,0.52,0.03,-0.15,0.52,0.8,0.89,0.9,0.91,1.13,1.27,1.05,0.78,-0.61,-0.15
"35","26","          Information processing equipment and software","A679RY",-0.13,-0.16,-0.22,-0.03,0.09,0.15,0.12,0.24,-0.2,0.11,0.18,0.07,-0.22,-0.02,0.21,0.12,-0.15,0.16,0.02,-0.07,0.06,0.06,0.1,0.07,-0.07,0.09,0.11,0.1,-0.08,0.07,0.17,0.08,0.1,0.18,0.15,0.2,0.36,0.09,0.09,0.28,0.18,0.09,0.21,0.28,0.22,-0.01,0.23,0.35,0.55,0.45,0.39,0.37,0.17,0.43,0.7,0.34,0.24,0.18,0.32,0.38,0.12,0.14,0.42,0.38,0.4,0.56,0.62,0.77,0.85,0.73,0.63,-0.26,0.1
"36","27","            Computers and peripheral equipment","B935RY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.03,0.04,0.11,0.06,0.07,0.15,0.07,0.04,0.08,0.06,0.08,0.12,0.02,0.08,0,0.09,0.11,0.23,0.18,0.2,0.23,0.12,0.27,0.38,0.19,0.11,0.18,0.1,0.15,-0.01,0.05,0.2,0.17,0.15,0.34,0.34,0.36,0.36,0.34,0.17,-0.02,0.12
"37","28","            Software \1\","B985RY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.01,0.01,0.04,0.02,0.02,0.04,0.02,0.01,0.05,0.05,0.01,0.03,0.03,0.03,0.04,0.02,0.01,0.05,0.07,0.05,0.05,0.06,0.07,0.11,0.09,0.06,0.08,0.1,0.17,0.11,0.1,0.13,0.13,0.12,0.11,0.18,0.3,0.32,0.24,0.16,-0.02,0.03
"38","29","            Other","A937RY",-0.13,-0.16,-0.22,-0.03,0.09,0.15,0.12,0.24,-0.2,0.11,0.18,0.07,-0.22,-0.02,0.21,0.12,-0.15,0.16,0.02,-0.07,0.06,0.06,0.1,0.07,-0.07,0.09,0.11,0.1,-0.08,0.06,0.11,0.05,0.06,0.03,0.08,0.12,0.16,0,0.03,0.16,0.08,0.01,0.05,0.23,0.12,-0.05,0.12,0.24,0.26,0.2,0.14,0.09,0,0.09,0.21,0.06,0.07,-0.07,0.11,0.06,0.01,-0.02,0.09,0.08,0.13,0.12,0.11,0.11,0.16,0.15,0.3,-0.22,-0.05
"39","30","          Industrial equipment","A680RY",-0.29,-0.26,-0.32,0.01,0.14,0.26,0.37,0.16,-0.41,0.16,0.32,0.17,-0.22,0,0.15,0.29,0.17,0.49,-0.14,-0.4,0.22,0.19,0.06,0.17,0.06,-0.01,0.19,0.03,-0.35,0.03,0.13,-0.09,0.08,0.12,0.21,0.31,0.28,0.01,-0.04,0.12,0.03,-0.16,0.13,0.31,0.14,-0.33,0.01,0.11,0.22,0.15,-0.09,-0.03,-0.18,-0.15,0.24,0.08,-0.01,-0.04,0.08,0.12,-0.1,-0.1,0.03,0.13,0.14,0.16,0.07,0.05,0.07,0.02,0.15,-0.07,-0.07
"40","31","          Transportation equipment","A681RY",-0.45,-0.69,-0.56,0.18,0.47,0.39,0.57,0.19,-0.77,0.34,0.54,0.29,-1.35,-0.06,0.02,0.28,0.52,0.57,0.08,-0.01,0.23,-0.09,-0.35,0.29,-0.22,0.42,-0.19,0.12,-0.48,0.43,0.05,-0.09,0.34,-0.05,0.2,0.4,0.18,-0.06,0.34,0.08,-0.34,0.13,0.26,0.35,-0.18,-0.25,0.17,0.36,0.2,0.09,-0.39,-0.05,-0.18,0.18,0.29,0.07,-0.05,-0.06,0.09,-0.14,0.04,0.01,0.07,0.16,0.24,0.11,0.14,0.15,0.21,0.28,-0.07,-0.23,-0.17
"41","32","          Other","A862RY",-0.23,-0.47,-0.38,-0.1,0.26,0.33,0.38,0.18,-0.24,0.03,0.21,0.36,-0.4,-0.16,0.25,0.29,0.12,0.42,0.37,-0.33,0.1,0.01,0.02,-0.05,-0.08,0.25,0.05,-0.09,0.02,0.11,-0.12,-0.01,0.09,0.21,0.16,0.16,0.19,-0.09,0.01,0.09,0.06,0,0.2,0.25,-0.01,-0.12,0.01,0.22,0.18,0.02,-0.21,0.05,-0.22,-0.05,0.21,0.01,-0.03,0.04,0.07,0.17,-0.03,-0.19,0.01,0.13,0.1,0.08,0.07,0.16,0.14,0.01,0.08,-0.04,-0.01
"42","33","      Residential","A011RY",-1.51,-0.42,-1.05,-0.24,0.41,0.56,0.48,0.19,0.01,1.05,0.42,0.22,-1.58,-0.56,-0.1,0.11,2.39,1.06,0.98,-0.44,2.03,-1.14,-0.1,0.18,0.42,0.9,-0.49,-0.32,0.05,1.21,-0.39,0.01,0.46,0.58,0.3,-0.15,-0.43,-0.13,0.53,0.13,-0.26,1.1,0.89,-0.04,-1.13,-0.57,0.91,0.99,0.35,-0.21,-1.17,-0.35,-0.71,1.32,0.63,0.06,0.54,0.01,-0.02,-0.19,-0.36,-0.47,0.52,0.26,0.37,-0.15,0.28,0.08,0.32,0.28,0.05,0.01,0.18
"43","34","    Change in private inventories","A014RY",-1.86,-0.57,-1.49,1.86,1.15,2.61,0.01,1,-2.04,0.66,1.99,1.36,-1.78,-1.39,-0.05,-0.3,2.84,-2.9,2.5,-2.85,2.88,0.75,-1.36,-0.28,-0.91,1.54,-0.29,-0.54,-0.18,0.88,-0.13,-0.05,0.57,-0.08,-0.12,0.66,0.58,-0.48,-0.1,0,-0.72,0.58,0.06,0.5,-0.27,-1.27,1.42,0.25,0.12,-0.41,-0.91,1.2,-1.34,0.29,1.95,-1.06,-0.32,0.42,-0.14,0.17,-0.21,-0.26,0.26,0.1,0.61,-0.41,-0.02,0.44,0.15,-0.15,0.06,-1.24,0.65
"44","35","      Farm","B018RY",-0.15,0.95,-0.31,-0.31,-0.91,2.35,-2.18,2.13,-0.07,-0.64,0.66,-0.16,0.51,-0.93,-0.03,-0.23,0.32,-0.6,1.8,-1.12,0.22,0.32,0.16,-0.08,-0.13,-0.18,-0.1,0.25,0.41,-0.74,0.42,0.06,-0.06,-0.01,-0.26,0.31,-0.19,0.18,0.07,-0.14,-0.08,0.23,-0.12,0.09,-0.23,0.41,-0.23,0.31,-0.13,0.1,-0.35,0.51,-0.05,-0.61,0.59,0.04,-0.15,-0.11,-0.05,0.24,0.05,-0.06,0.11,-0.17,0.25,-0.28,0.24,-0.05,-0.02,-0.03,-0.01,0.04,-0.01
