"","Table 7#15# Price, Costs, and Profit Per Unit of Real Gross Prod","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228"
"11","3","Unit nonlabor cost","A467RD",0.038,0.037,0.039,0.039,0.039,0.039,0.04,0.041,0.042,0.043,0.043,0.044,0.043,0.04,0.041,0.041,0.043,0.042,0.043,0.044,0.045,0.046,0.047,0.045,0.045,0.045,0.045,0.047,0.047,0.047,0.046,0.045,0.045,0.044,0.044,0.045,0.046,0.047,0.049,0.049,0.049,0.05,0.051,0.053,0.055,0.056,0.055,0.054,0.053,0.051,0.054,0.054,0.053,0.054,0.055,0.057,0.057,0.056,0.055,0.055,0.055,0.055,0.056,0.054,0.055,0.054,0.055,0.055,0.054,0.054,0.055,0.055,0.055,0.055,0.054,0.054,0.054,0.054,0.054,0.056,0.057,0.058,0.059,0.059,0.06,0.061,0.062,0.062,0.064,0.066,0.067,0.069,0.071,0.074,0.076,0.078,0.078,0.079,0.079,0.079,0.078,0.079,0.078,0.079,0.079,0.082,0.084,0.086,0.088,0.092,0.097,0.103,0.107,0.108,0.108,0.108,0.105,0.107,0.108,0.11,0.112,0.111,0.11,0.113,0.116,0.117,0.117,0.12,0.123,0.128,0.132,0.136,0.143,0.152,0.157,0.161,0.169,0.173,0.178,0.184,0.189,0.192,0.194,0.198,0.194,0.192,0.191,0.189,0.188,0.19,0.192,0.192,0.194,0.194,0.192,0.194,0.2,0.201,0.203,0.203,0.2,0.2,0.199,0.201,0.202,0.204,0.206,0.209,0.216,0.22,0.226,0.226,0.227,0.227,0.232,0.236,0.24,0.24,0.241,0.239,0.236,0.233,0.239,0.233,0.236,0.234,0.236,0.235,0.242,0.235,0.238,0.237,0.24,0.241,0.239,0.24,0.238,0.236,0.235,0.235,0.237,0.238,0.237,0.237,0.238,0.239,0.239,0.243,0.239,0.241,0.246,0.246,0.245,0.25,0.252,0.256,0.262,0.266,0.272,0.268,0.268,0.269,0.271,0.27,NA
"12","4","  Consumption of fixed capital","A456RD",0.015,0.015,0.016,0.016,0.016,0.016,0.017,0.018,0.018,0.018,0.018,0.019,0.018,0.017,0.017,0.018,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.02,0.021,0.021,0.021,0.02,0.02,0.019,0.019,0.02,0.02,0.021,0.022,0.022,0.022,0.023,0.023,0.024,0.025,0.026,0.025,0.024,0.024,0.023,0.024,0.024,0.023,0.023,0.024,0.024,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.023,0.023,0.024,0.024,0.024,0.024,0.024,0.025,0.025,0.025,0.026,0.026,0.027,0.028,0.029,0.029,0.03,0.03,0.031,0.031,0.031,0.031,0.032,0.031,0.031,0.031,0.032,0.033,0.034,0.035,0.037,0.039,0.043,0.046,0.047,0.047,0.047,0.047,0.048,0.048,0.049,0.05,0.05,0.049,0.051,0.053,0.053,0.054,0.055,0.057,0.06,0.062,0.063,0.066,0.07,0.073,0.074,0.076,0.078,0.079,0.083,0.086,0.088,0.09,0.093,0.091,0.089,0.088,0.086,0.085,0.085,0.085,0.086,0.087,0.087,0.087,0.088,0.089,0.091,0.092,0.092,0.091,0.09,0.089,0.09,0.09,0.091,0.091,0.091,0.093,0.094,0.097,0.098,0.097,0.098,0.1,0.102,0.105,0.105,0.105,0.105,0.105,0.105,0.111,0.106,0.108,0.107,0.109,0.107,0.115,0.107,0.108,0.107,0.109,0.11,0.111,0.112,0.112,0.111,0.111,0.111,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.113,0.115,0.114,0.114,0.116,0.117,0.119,0.122,0.125,0.134,0.127,0.128,0.129,0.13,0.13,NA
"13","5","  Indirect business tax and nontax liability plus business transfer payments less subsidies","A458RD",0.021,0.021,0.021,0.022,0.021,0.022,0.022,0.022,0.022,0.023,0.023,0.023,0.023,0.022,0.023,0.022,0.023,0.022,0.022,0.023,0.023,0.024,0.025,0.024,0.024,0.024,0.024,0.025,0.024,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.024,0.024,0.025,0.025,0.025,0.025,0.026,0.026,0.027,0.027,0.027,0.027,0.026,0.025,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.028,0.028,0.028,0.028,0.028,0.029,0.028,0.029,0.028,0.029,0.029,0.028,0.028,0.029,0.029,0.029,0.029,0.028,0.028,0.027,0.027,0.027,0.028,0.028,0.028,0.029,0.029,0.03,0.031,0.031,0.031,0.032,0.032,0.033,0.033,0.034,0.035,0.036,0.037,0.037,0.037,0.038,0.038,0.037,0.037,0.037,0.037,0.038,0.039,0.039,0.04,0.04,0.041,0.043,0.044,0.045,0.046,0.046,0.047,0.045,0.046,0.047,0.048,0.048,0.047,0.047,0.048,0.048,0.049,0.048,0.049,0.049,0.05,0.051,0.052,0.054,0.058,0.06,0.061,0.067,0.068,0.068,0.069,0.069,0.069,0.07,0.072,0.072,0.073,0.073,0.073,0.073,0.074,0.074,0.074,0.075,0.076,0.075,0.075,0.078,0.077,0.078,0.078,0.077,0.077,0.077,0.076,0.077,0.077,0.077,0.078,0.08,0.081,0.083,0.083,0.084,0.083,0.086,0.088,0.09,0.092,0.094,0.095,0.095,0.095,0.096,0.097,0.097,0.097,0.098,0.1,0.1,0.1,0.101,0.1,0.101,0.101,0.099,0.1,0.1,0.099,0.098,0.098,0.098,0.099,0.098,0.097,0.098,0.098,0.097,0.1,0.097,0.097,0.098,0.098,0.098,0.099,0.099,0.1,0.102,0.103,0.099,0.103,0.103,0.103,0.104,0.104,NA
"14","6","  Net interest","A471RD",0.002,0.001,0.002,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.008,0.008,0.009,0.009,0.01,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.01,0.011,0.01,0.011,0.012,0.012,0.013,0.014,0.015,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0.016,0.017,0.018,0.019,0.021,0.023,0.024,0.024,0.026,0.026,0.027,0.031,0.032,0.034,0.035,0.034,0.033,0.031,0.03,0.03,0.03,0.03,0.031,0.033,0.032,0.032,0.031,0.03,0.031,0.033,0.033,0.033,0.033,0.032,0.033,0.033,0.035,0.035,0.036,0.038,0.04,0.043,0.045,0.046,0.045,0.046,0.046,0.046,0.046,0.045,0.043,0.042,0.039,0.036,0.033,0.032,0.03,0.031,0.03,0.029,0.028,0.027,0.028,0.029,0.03,0.03,0.03,0.029,0.028,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.03,0.031,0.03,0.031,0.033,0.034,0.033,0.035,0.036,0.037,0.038,0.038,0.039,0.038,0.037,0.037,0.037,0.036,NA
"15","7","Corporate profits with inventory valuation and capital consumption adjustments (unit profits from current production)","A463RD",0.033,0.038,0.038,0.039,0.044,0.045,0.044,0.045,0.043,0.04,0.041,0.037,0.04,0.044,0.047,0.05,0.049,0.049,0.048,0.049,0.045,0.042,0.042,0.044,0.044,0.042,0.041,0.034,0.037,0.038,0.04,0.043,0.047,0.047,0.046,0.047,0.044,0.043,0.042,0.042,0.044,0.042,0.042,0.038,0.034,0.035,0.039,0.043,0.045,0.048,0.042,0.042,0.044,0.04,0.04,0.038,0.037,0.04,0.041,0.043,0.045,0.043,0.043,0.045,0.045,0.047,0.047,0.048,0.049,0.049,0.048,0.047,0.052,0.052,0.052,0.053,0.054,0.052,0.051,0.051,0.049,0.048,0.048,0.049,0.048,0.049,0.048,0.048,0.047,0.045,0.043,0.04,0.036,0.037,0.036,0.034,0.04,0.04,0.04,0.041,0.043,0.042,0.044,0.046,0.047,0.044,0.043,0.045,0.041,0.04,0.039,0.039,0.041,0.048,0.057,0.058,0.062,0.058,0.057,0.056,0.057,0.064,0.068,0.065,0.06,0.069,0.068,0.069,0.065,0.063,0.06,0.059,0.058,0.049,0.054,0.06,0.065,0.064,0.072,0.064,0.06,0.063,0.062,0.056,0.063,0.072,0.078,0.08,0.088,0.089,0.086,0.086,0.085,0.082,0.088,0.08,0.075,0.071,0.069,0.068,0.072,0.078,0.084,0.081,0.085,0.086,0.086,0.09,0.081,0.079,0.078,0.074,0.076,0.081,0.074,0.072,0.075,0.075,0.075,0.074,0.078,0.081,0.076,0.086,0.082,0.09,0.09,0.101,0.096,0.106,0.108,0.113,0.108,0.108,0.115,0.115,0.121,0.122,0.122,0.124,0.124,0.125,0.129,0.126,0.116,0.113,0.117,0.111,0.11,0.109,0.103,0.101,0.096,0.096,0.088,0.079,0.075,0.077,0.079,0.087,0.086,0.087,0.084,0.088,NA
"16","8","  Profits tax liability","A465RD",0.02,0.019,0.018,0.02,0.019,0.02,0.02,0.019,0.017,0.015,0.015,0.015,0.02,0.023,0.027,0.029,0.035,0.029,0.026,0.028,0.025,0.023,0.023,0.024,0.025,0.025,0.024,0.019,0.019,0.019,0.02,0.021,0.023,0.023,0.023,0.023,0.022,0.023,0.021,0.022,0.022,0.021,0.021,0.019,0.016,0.017,0.019,0.021,0.022,0.023,0.02,0.019,0.021,0.019,0.018,0.017,0.017,0.018,0.019,0.02,0.019,0.018,0.018,0.018,0.018,0.019,0.019,0.02,0.019,0.019,0.019,0.018,0.019,0.02,0.02,0.02,0.021,0.02,0.02,0.019,0.018,0.018,0.018,0.019,0.021,0.021,0.021,0.021,0.021,0.02,0.019,0.019,0.016,0.016,0.017,0.016,0.017,0.018,0.017,0.017,0.018,0.017,0.018,0.019,0.021,0.021,0.02,0.021,0.02,0.021,0.024,0.021,0.018,0.02,0.024,0.024,0.027,0.026,0.025,0.025,0.026,0.027,0.028,0.027,0.025,0.029,0.029,0.03,0.029,0.029,0.029,0.027,0.031,0.024,0.027,0.029,0.029,0.025,0.026,0.023,0.02,0.02,0.02,0.017,0.017,0.023,0.026,0.026,0.03,0.028,0.024,0.024,0.024,0.023,0.025,0.024,0.024,0.024,0.025,0.028,0.026,0.03,0.032,0.031,0.029,0.03,0.031,0.032,0.033,0.03,0.027,0.027,0.027,0.028,0.03,0.028,0.025,0.025,0.026,0.026,0.025,0.027,0.026,0.028,0.027,0.029,0.029,0.033,0.032,0.033,0.034,0.036,0.034,0.034,0.035,0.035,0.036,0.036,0.036,0.036,0.035,0.035,0.037,0.036,0.033,0.033,0.034,0.032,0.034,0.035,0.034,0.033,0.036,0.036,0.033,0.03,0.026,0.027,0.025,0.018,0.023,0.025,0.025,0.026,NA
"17","9","  Profits after tax with inventory valuation and capital consumption adjustments","A466RD",0.012,0.019,0.019,0.02,0.024,0.025,0.024,0.026,0.026,0.025,0.026,0.022,0.02,0.021,0.021,0.022,0.014,0.019,0.023,0.022,0.02,0.019,0.018,0.02,0.019,0.018,0.017,0.015,0.018,0.019,0.02,0.021,0.024,0.024,0.024,0.023,0.022,0.021,0.021,0.02,0.021,0.021,0.021,0.019,0.018,0.018,0.02,0.022,0.024,0.025,0.022,0.022,0.023,0.021,0.021,0.02,0.019,0.022,0.022,0.023,0.026,0.025,0.025,0.026,0.026,0.028,0.028,0.028,0.03,0.03,0.03,0.029,0.032,0.033,0.032,0.033,0.033,0.032,0.031,0.032,0.031,0.03,0.03,0.03,0.027,0.028,0.028,0.027,0.026,0.025,0.024,0.021,0.019,0.021,0.02,0.018,0.022,0.022,0.023,0.024,0.025,0.024,0.026,0.026,0.026,0.023,0.024,0.024,0.02,0.019,0.015,0.017,0.023,0.029,0.033,0.034,0.035,0.032,0.032,0.031,0.031,0.037,0.041,0.038,0.035,0.039,0.039,0.039,0.036,0.034,0.031,0.032,0.027,0.025,0.026,0.031,0.036,0.039,0.045,0.041,0.04,0.043,0.043,0.039,0.046,0.049,0.051,0.053,0.058,0.061,0.062,0.062,0.06,0.059,0.063,0.056,0.05,0.047,0.044,0.04,0.046,0.048,0.052,0.05,0.056,0.055,0.055,0.058,0.049,0.049,0.051,0.047,0.049,0.052,0.045,0.044,0.051,0.05,0.049,0.049,0.054,0.054,0.05,0.058,0.056,0.061,0.061,0.068,0.064,0.073,0.074,0.077,0.073,0.074,0.081,0.081,0.085,0.086,0.086,0.088,0.089,0.09,0.092,0.09,0.082,0.079,0.082,0.079,0.076,0.074,0.069,0.068,0.06,0.06,0.055,0.05,0.049,0.05,0.053,0.068,0.064,0.062,0.059,0.062,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19"," 1. The implicit price deflator for gross product of nonfinancial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20"," corporate business divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Note. Effective November 26, 2002, the estimates beginning with 1999 have been revised to reflect the 2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","annual revision to the industry-based price index for the gross product of nonfinancial corporate business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
