"","Table 7#19# Chain-Type Quantity Indexes for Gross and Net Invest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","13","      Equipment and software","B010RA",4.28,3.39,2.26,1.33,1.36,1.88,2.56,3.51,4.09,2.85,3.29,4.26,5,2.87,2.58,3.45,4.94,5.95,8.11,8.53,7.47,8.25,8.49,8.25,9,8.5,9.67,9.93,10.19,8.71,9.74,10.16,9.96,11.11,12.04,13.58,16.06,18.61,18.48,19.62,21.34,21.12,21.31,24.04,28.44,29.13,26.35,27.98,32.18,37.09,40.33,38.88,40.52,38.42,40.5,48.4,51.48,52.51,53.37,57.37,61.39,61.63,60.38,64.86,72.22,80.79,90.08,100,113.3,129.8,144.69,156.58,146.51
"21","14","      Less: Consumption of fixed capital","B189RA",5.36,5.51,5.39,5.17,4.72,4.6,4.48,4.57,4.82,5.03,4.97,5.14,5.55,5.68,5.32,5.18,5.4,6.04,6.61,7.49,8.27,8.97,9.6,9.97,10.43,10.9,11.47,12,12.45,12.66,12.8,13.2,13.51,13.93,14.51,15.24,16.34,17.78,19.13,20.49,22.01,23.4,24.67,26.23,28.3,30.52,32.16,33.63,35.59,38.19,41.1,43.65,45.99,47.98,50,53.09,56.84,60.29,63.2,66.13,69.75,72.5,75.25,78.47,82.04,87.06,92.94,100,108.63,119.74,131.46,143.85,156.32
"22","15","      Equals: Net equipment and software","A747RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.34,16.79,19.15,13.7,10.37,16.89,28.89,24.62,7.43,9.57,21.08,33.49,37.82,23.37,22.7,7.26,9.55,33.14,34.03,27.17,21.38,28.87,34.16,26.24,11.95,20.54,40.24,60.35,80.79,100,128.52,162.55,187.78,198.02,114.58
"23","16","    Residential","A011RA",16.34,9.94,8.31,4.39,3.59,4.91,6.87,8.69,9.45,9.51,13.47,15.19,16.14,8.16,4.85,4.18,4.91,20.68,26.65,31.89,29.48,40.33,33.76,33.16,34.33,37.18,43.2,39.69,37.26,37.65,47.26,43.89,44.02,48.24,53.92,57.05,55.39,50.43,48.84,55.5,57.14,53.73,68.46,80.63,80.11,63.57,55.32,68.34,83.02,88.26,85.03,67.05,61.68,50.45,71.19,81.56,82.67,92.58,92.79,92.32,88.53,80.92,70.57,82.09,88.09,96.64,93.13,100,102.04,110.17,117.58,118.88,119.22
"24","17","    Less: Consumption of fixed capital","A754RA",15.23,15.48,15.59,15.59,15.52,15.48,15.5,15.6,15.74,15.88,16.07,16.34,16.66,16.86,16.86,16.8,16.73,17.01,17.75,18.67,19.6,20.62,21.68,22.62,23.57,24.57,25.7,26.89,28,29.08,30.31,31.65,32.93,34.25,35.72,37.32,38.93,40.43,41.81,43.28,44.92,46.55,48.58,53.03,53.6,55.5,56.73,58.49,60.53,62.71,65.69,67.36,68.81,70.6,72.23,73.47,77.46,78.06,80.61,83.08,89.33,87.67,90.82,102.82,94.71,106.54,98.99,100,102.65,105.32,110.57,111.16,117.25
"25","18","    Equals: Net residential","A748RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.61,40.74,36.09,53.53,41.85,40.22,41.54,45.62,54.92,48.25,43.45,43.39,58.6,52.09,51.44,57.6,66.11,70.27,66.4,57.13,53.55,63.68,65.32,58.53,81.76,99.09,97.85,68.97,54.37,74.94,98.06,105.35,97.97,66.84,56.91,36.97,70.49,86.98,86.16,102.3,100.95,98.51,87.99,76.41,57.02,68.22,83.66,90.01,89.21,100,101.64,113.42,122.27,124.06,120.54
"26","19","  Change in private inventories"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","20","Gross government investment \1\","A782RA",7.44,8.84,9.27,8.14,6.49,7.83,8.25,11.51,10.28,11.4,12.44,12.05,27.08,71.13,97.09,97.56,69.01,9,10.37,14.45,19.93,20.51,32.93,41,44.58,42,38.45,38.54,39.21,42.72,47.09,45.71,50.47,52.57,52.29,53.2,53.99,59.44,62.5,60.92,57.17,53.41,48.93,48.8,48.8,49.53,50.49,50.06,48.58,52.5,55.79,57.38,55.59,54.9,59.03,66.2,75.21,82.06,86.75,86.25,89.58,95.49,95.85,96.76,93.94,93.73,96.28,100,105.02,109.67,118.66,121.44,125.43
"28","21","Less: Consumption of fixed capital","A264RA",4.18,4.4,4.64,4.85,4.99,5.17,5.41,5.71,5.99,6.33,6.69,7.07,8.61,14.21,25.01,37.39,44.58,42.52,36.12,30.97,27.62,25.41,25.25,27.38,29.79,31.6,32.41,32.99,33.58,34.16,35.21,36.49,37.67,39.21,40.68,41.93,43.04,44.43,46.31,48.05,49.26,49.96,50.02,49.82,49.73,49.85,50.35,51.01,51.54,52.35,53.36,54.72,56.24,57.8,59.79,62.49,65.99,69.92,73.84,77.38,80.98,84.51,87.82,90.59,92.99,95.35,97.36,100,103.19,106.98,111.58,116.19,121.02
"29","22","Equals: Net government investment","A889RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.25,57.29,74.74,96.39,109.95,116.42,106.64,109.32,120.71,114.3,110.94,96.11,90.02,93.81,100,109.23,115.85,134.93,133.49,135.56
"30","23","          Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","24","            National defense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","25","            Nondefense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","          State and local","B893RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.22,15.43,25.83,30.82,31.74,32.19,35.81,45.58,50.14,50.76,54.75,61.15,62.24,61.95,67.44,69.34,76.4,82.3,88.45,94.54,100.4,104.36,95.87,84.7,78.8,72.65,71.53,70.6,67.52,63.74,54.89,64.42,69.05,67.84,54.64,45.43,45.25,57.39,68.8,75.63,76.55,81.59,86.57,96.39,96.57,95.26,90.26,92.13,97.76,100,116.47,117.78,131.84,131.87,132.13
"34","27","  Structures","A760RA",23.42,28.42,29.56,25.91,20.03,22.86,23.92,35.74,31.12,34.07,37.17,35.48,54.54,91.03,48.78,23.42,17.79,10.45,15.99,22.17,30.65,35.3,41.91,47.23,49.75,53.23,52.77,53.75,57.05,63.91,65.08,64.84,70.24,71.25,75.09,78.32,82.85,87.38,89.26,91.89,86.9,80.41,79.56,75.89,75.8,75.1,74.68,73.66,69.86,77.03,78.6,78.92,72.1,66.16,66.06,72.11,79.15,84.22,87.02,87.51,87.59,93.64,95.79,97.35,95.66,95.72,98.69,100,106.68,106.65,113.51,113.59,115.55
"35","28","  Less: Consumption of fixed capital","B894RA",13.13,13.85,14.68,15.42,16,16.5,17.03,17.83,18.76,19.69,20.63,21.62,22.97,25.57,28,28.99,29.31,29.28,29.1,29.19,29.57,30.23,31.12,32.23,33.52,34.93,36.29,37.63,39.01,40.54,42.16,43.82,45.44,47.24,49.1,51.01,52.93,55.08,57.21,59.41,61.5,63.39,65.1,66.68,68.2,69.62,70.94,72.23,73.39,74.61,75.93,77.28,78.5,79.52,80.38,81.35,82.54,83.93,85.41,86.89,88.68,89.9,91.59,93.29,94.97,97.06,98.2,100,101.9,103.83,105.85,107.98,111.82
"36","29","  Equals: Net structures","A895RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.13,51.02,62.4,75.59,84.53,88.72,88.16,86.44,97.57,100.2,101.62,96.39,94.31,99.2,100,111.69,109.62,121.55,119.47,119.47
"37","30","            Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","31","              National defense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","32","              Nondefense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","33","            State and local","B899RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.96,17.22,30.54,37.1,38.31,38.71,43.25,55.4,61.74,61.92,65.81,74.42,75.6,74.56,81.75,83.92,91.92,98.55,106.18,113.26,120.9,125.98,114.7,100.6,93.72,84.8,82.13,80.31,77.76,74.15,64.19,75.45,79.95,77.85,62.65,50.92,48.6,60.42,71.61,78.97,80.79,86.13,87.57,98.53,102.47,101.33,95.51,94.56,99.39,100,116.78,113.51,126.32,126.14,127.09
"41","34","  Equipment and software","A871RA",0.84,0.79,0.91,0.81,0.84,1.44,1.58,1.42,1.55,1.88,2.05,2.18,13.77,56.6,113.72,127.59,89.56,6.74,5.33,7.51,10.3,8.3,22.33,30.97,34.71,28.62,23.73,23.27,22.23,23.16,28.73,26.9,30.51,32.89,30.24,29.64,28.07,33.27,36.62,32.63,30.19,28.71,22.29,24.63,24.69,26.5,28.6,28.69,29.15,30.29,34.81,37.45,40.19,44.3,52.27,60.41,71.17,79.67,86.28,84.72,91.62,97.36,95.71,95.87,91.75,91.24,93.28,100,102.85,114.02,126.14,133.06,140.27
"42","35","  Less: Consumption of fixed capital","B900RA",1.23,1.28,1.33,1.37,1.39,1.45,1.59,1.7,1.77,1.92,2.07,2.24,3.63,9.62,22.88,39.01,48.56,45.78,37.08,29.89,25.06,21.74,21.13,23.62,26.42,28.3,28.83,29.05,29.27,29.4,30.16,31.2,32.12,33.45,34.68,35.58,36.27,37.27,38.93,40.37,41.11,41.23,40.49,39.45,38.6,38.03,38.07,38.35,38.54,39.12,39.92,41.28,42.96,44.82,47.41,51,55.74,61.08,66.44,71.25,75.99,80.99,85.34,88.79,91.66,94.19,96.78,100,104.12,109.31,115.9,122.52,128.16
"43","36","  Equals: Net equipment and software","A901RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.23,119.1,190.05,283.77,335.8,359.68,270.27,306.99,322.91,238.56,193.46,93.08,50.61,45.04,100,85.32,178.99,267.16,278.2,307.14
"44","37","            Federal"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","38","              National defense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","39","              Nondefense"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","40","            State and local","B907RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.62,4.8,4.54,3.83,3.51,3.92,4.01,5.02,3.37,4.86,8.44,6.72,7.02,8.88,7.93,8.35,11.34,13.87,13.99,15.74,14.41,13.58,14.97,14.48,11.8,16.66,21.9,24.64,18.04,12.64,7.61,9.94,15.28,17.72,12.3,14.3,24.74,39.66,53.15,57.4,52.89,56.3,80.81,84.58,62.59,59.51,58.26,76.71,87.25,100,113.97,149.9,172.76,176.7,173.47
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," 1. Gross government investment consists of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
