"","Table 7#1# Quantity and Price Indexes for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"47","32","      Implicit price deflator","A008RD",14.12,13.46,12.53,11.34,11.14,11.53,11.65,11.63,12.59,12.69,12.55,12.83,13.67,15.11,15.59,15.9,16.3,18.4,21.38,23.22,23.77,24.26,26.58,27.17,27.43,27.68,28.04,30.24,31.78,32.02,32.44,32.59,32.41,32.42,32.44,32.6,32.99,33.49,34.36,35.58,37.06,38.82,40.67,42.08,43.71,47.94,54.55,57.59,61.54,65.69,71.07,77.39,84.93,89.69,88.93,88.83,89.57,91.16,92.01,94.17,96.29,98.23,99.8,99.29,99.81,100.54,100.93,100,99.02,96.95,95.53,95.59,95.73,94.42
"48",NA,"      Structures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","33","        Current dollars","A009RT",2.44,1.98,1.16,0.62,0.48,0.55,0.64,0.83,1.2,0.94,0.99,1.14,1.44,1,0.79,1.05,1.48,3.28,3.62,4.23,4.08,4.43,5.31,5.43,6.03,6.16,6.74,8.08,8.42,7.84,8.07,8.7,8.76,9.24,9.42,10.55,12.59,13.93,14.01,14.92,16.76,17.91,18.97,20.97,24.44,27.22,27.27,29.3,33.15,40.62,51.07,59.51,73.15,77.79,67.89,78.23,85.91,78.13,76.48,80.74,85.94,90.01,81.54,76.55,79.74,83.34,90.95,100,113.68,125.52,126.1,139.66,144.22,119.68
"50","34","        Chain-type quantity index","B009RA",32.96,28.2,18.15,11.13,8.65,9.74,10.79,14.15,17.95,14.36,15.15,17.2,20.43,12.63,9.18,12.02,16.2,32.01,29.12,30.64,29.62,31.75,34.15,34.04,37.06,38.33,41.09,45.39,45.37,42.64,43.65,47.12,47.76,49.91,50.46,55.71,64.59,69.02,67.26,68.21,71.89,72.12,70.94,73.12,79.08,77.43,69.32,71.02,73.97,82.66,93.08,99.23,107.09,105.47,94.53,108.03,115.92,103.43,99.69,100.95,103.42,104.95,93.38,87.7,88.39,89.14,93.39,100,109.07,116.53,114.96,122.47,120.43,100.62
"51","35","        Chain-type price index","B009RG",7.41,7.01,6.41,5.56,5.61,5.63,5.9,5.9,6.7,6.58,6.51,6.61,7.07,7.89,8.57,8.76,9.15,10.25,12.42,13.82,13.77,13.94,15.56,15.96,16.27,16.08,16.4,17.8,18.56,18.38,18.48,18.46,18.35,18.5,18.67,18.94,19.49,20.19,20.82,21.87,23.31,24.83,26.74,28.68,30.91,35.15,39.34,41.25,44.81,49.15,54.87,59.97,68.31,73.76,71.82,72.42,74.11,75.54,76.72,79.98,83.1,85.77,87.32,87.29,90.22,93.5,97.39,100,104.23,107.72,109.69,114.04,119.76,118.95
"52","36","        Implicit price deflator","A009RD",7.41,7.01,6.41,5.56,5.61,5.63,5.9,5.9,6.7,6.58,6.51,6.61,7.07,7.89,8.57,8.76,9.15,10.25,12.42,13.82,13.77,13.94,15.56,15.96,16.27,16.08,16.4,17.8,18.56,18.38,18.48,18.46,18.35,18.5,18.67,18.94,19.49,20.19,20.82,21.87,23.31,24.83,26.74,28.68,30.91,35.15,39.34,41.25,44.81,49.15,54.87,59.97,68.31,73.76,71.82,72.42,74.11,75.54,76.72,79.98,83.1,85.77,87.32,87.29,90.22,93.5,97.39,100,104.23,107.72,109.69,114.04,119.76,118.94
"53",NA,"      Equipment and software:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","37","        Current dollars","A010RT",0.81,0.62,0.39,0.22,0.21,0.31,0.42,0.58,0.71,0.5,0.58,0.77,0.96,0.6,0.54,0.74,1.08,1.47,2.27,2.56,2.33,2.64,2.95,2.92,3.19,3.09,3.54,3.91,4.23,3.69,4.2,4.42,4.31,4.79,5.16,5.82,6.89,8.01,8.13,8.87,9.93,10.19,10.6,12.11,14.57,16.05,16.66,18.75,22.85,27.76,32.13,33.66,37.63,37.11,39.24,46.61,49.57,51.41,52.59,57.35,62.27,63.43,63.08,67.29,74.56,83.19,91.99,100,110.26,121.41,131.94,141.09,130.05,125.75
"55","38","        Chain-type quantity index","B010RA",4.28,3.39,2.26,1.33,1.36,1.88,2.56,3.51,4.09,2.85,3.29,4.26,5,2.87,2.58,3.45,4.94,5.95,8.11,8.53,7.47,8.25,8.49,8.25,9,8.5,9.67,9.93,10.19,8.71,9.74,10.16,9.96,11.11,12.04,13.58,16.06,18.61,18.48,19.62,21.34,21.12,21.31,24.04,28.44,29.13,26.35,27.98,32.18,37.09,40.33,38.88,40.52,38.42,40.5,48.4,51.48,52.51,53.37,57.37,61.39,61.63,60.38,64.86,72.22,80.79,90.08,100,113.3,129.8,144.69,156.58,146.51,143.98
"56","39","        Chain-type price index","B010RG",19.03,18.27,17.32,16.34,15.69,16.57,16.42,16.39,17.31,17.72,17.52,17.98,19.11,21.01,21.12,21.51,21.87,24.77,28,30.03,31.22,32,34.69,35.38,35.49,36.31,36.64,39.33,41.56,42.37,43.15,43.51,43.28,43.08,42.86,42.84,42.91,43.05,44.03,45.24,46.52,48.25,49.73,50.37,51.25,55.08,63.24,67.02,71.02,74.84,79.67,86.58,92.86,96.6,96.91,96.29,96.28,97.92,98.53,99.95,101.45,102.93,104.48,103.75,103.24,102.98,102.12,100,97.32,93.54,91.18,90.11,88.76,87.36
"57","40","        Implicit price deflator","A010RD",19.03,18.27,17.32,16.34,15.69,16.57,16.43,16.39,17.31,17.72,17.52,17.98,19.11,21.02,21.11,21.52,21.87,24.77,28,30.04,31.22,32,34.7,35.38,35.49,36.31,36.64,39.33,41.57,42.37,43.15,43.51,43.28,43.08,42.86,42.84,42.9,43.05,44.03,45.24,46.52,48.25,49.73,50.37,51.25,55.08,63.24,67.02,71.02,74.84,79.67,86.58,92.86,96.6,96.91,96.29,96.28,97.92,98.53,99.95,101.45,102.92,104.48,103.75,103.24,102.98,102.12,100,97.32,93.54,91.18,90.11,88.76,87.34
"58",NA,"    Residential:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","41","      Current dollars","A011RT",1.26,0.75,0.57,0.24,0.2,0.3,0.41,0.55,0.66,0.68,0.97,1.13,1.31,0.71,0.46,0.43,0.54,2.49,3.85,4.99,4.68,6.56,5.88,5.93,6.19,6.73,7.98,7.52,7.08,7.13,8.97,8.39,8.43,9.25,10.26,10.94,10.92,10.31,10.33,12.36,13.61,13.2,17.8,22.24,24.05,21.06,20.02,26.33,35.21,42.02,45.02,39.34,39.15,33.74,48.69,57.39,59.68,69.63,72.65,74.77,74.01,69.22,61.14,71.98,80.37,91.3,91.18,100,104.78,116.31,128.86,136,141.98,150.65
"60","42","      Chain-type quantity index","B011RA",16.34,9.94,8.31,4.39,3.59,4.91,6.87,8.69,9.45,9.51,13.47,15.19,16.14,8.16,4.85,4.18,4.91,20.68,26.65,31.89,29.48,40.33,33.76,33.16,34.33,37.18,43.2,39.69,37.26,37.65,47.26,43.89,44.02,48.24,53.92,57.05,55.39,50.43,48.84,55.5,57.14,53.73,68.46,80.63,80.11,63.57,55.32,68.34,83.02,88.26,85.03,67.05,61.68,50.45,71.19,81.56,82.67,92.58,92.79,92.32,88.53,80.92,70.57,82.09,88.09,96.64,93.13,100,102.04,110.17,117.58,118.88,119.22,123.92
"61","43","      Chain-type price index","B011RG",7.73,7.56,6.85,5.58,5.5,6.11,6.02,6.32,6.93,7.15,7.2,7.41,8.1,8.7,9.41,10.33,11.03,12.06,14.44,15.65,15.86,16.25,17.42,17.9,18.03,18.1,18.47,18.95,18.99,18.95,18.99,19.12,19.15,19.18,19.02,19.18,19.72,20.44,21.15,22.27,23.81,24.58,26,27.58,30.03,33.12,36.2,38.53,42.41,47.61,52.95,58.68,63.47,66.87,68.4,70.37,72.18,75.21,78.29,80.99,83.59,85.54,86.64,87.69,91.24,94.48,97.91,100,102.68,105.58,109.59,114.4,119.09,121.57
"62","44","      Implicit price deflator","A011RD",7.73,7.56,6.85,5.58,5.5,6.11,6.02,6.32,6.93,7.15,7.2,7.41,8.1,8.7,9.41,10.33,11.03,12.06,14.44,15.65,15.86,16.25,17.42,17.9,18.03,18.1,18.47,18.94,18.99,18.95,18.99,19.12,19.15,19.18,19.03,19.18,19.72,20.44,21.15,22.27,23.81,24.58,26,27.58,30.02,33.12,36.2,38.53,42.41,47.61,52.95,58.68,63.47,66.87,68.4,70.37,72.18,75.21,78.29,80.99,83.59,85.54,86.64,87.69,91.23,94.48,97.91,100,102.68,105.58,109.59,114.4,119.09,121.58
"63",NA,"Exports of goods and services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","45","  Current dollars","A020RT",0.68,0.51,0.33,0.23,0.23,0.29,0.32,0.34,0.46,0.43,0.45,0.55,0.62,0.49,0.45,0.54,0.76,1.61,2.14,1.77,1.65,1.4,1.95,1.87,1.74,1.8,2.01,2.42,2.73,2.34,2.36,2.89,2.98,3.14,3.37,3.84,4.05,4.45,4.73,5.18,5.64,6.52,6.79,7.58,10.5,14.22,15.59,17.03,18.16,21.29,26.16,31.91,34.64,32.33,31.69,34.67,34.66,36.64,41.82,51.13,58.23,63.74,68.82,72.84,75.28,82.94,93.64,100,110.55,110.38,113.18,125.97,118.3,116.1
"65","46","  Chain-type quantity index","B020RA",4.1,3.39,2.82,2.21,2.22,2.46,2.6,2.73,3.44,3.41,3.6,4.08,4.19,2.75,2.3,2.47,3.49,7.61,8.69,6.84,6.78,5.93,7.27,6.93,6.47,6.78,7.5,8.75,9.51,8.21,8.28,10,10.17,10.72,11.52,13.06,13.33,14.22,14.53,15.59,16.44,18.22,18.35,19.84,24.19,26.49,26.32,27.87,28.57,31.56,34.59,38.3,38.74,35.99,35.11,38.05,39.08,41.96,46.67,54.17,60.56,65.85,70.15,74.47,76.95,83.83,92.45,100,112.27,114.67,118.55,130.09,123.1,121.13
"66","47","  Chain-type price index","B020RG",16.6,15.02,11.82,10.25,10.26,11.89,12.18,12.55,13.3,12.68,12.46,13.49,14.75,17.86,19.56,22.02,21.88,21.17,24.61,25.91,24.34,23.7,26.78,26.98,26.9,26.56,26.81,27.71,28.76,28.5,28.53,28.88,29.29,29.27,29.22,29.42,30.38,31.32,32.56,33.23,34.29,35.77,36.98,38.17,43.4,53.68,59.24,61.11,63.58,67.48,75.63,83.32,89.41,89.83,90.24,91.13,88.7,87.33,89.62,94.39,96.15,96.79,98.1,97.82,97.82,98.94,101.29,100,98.47,96.26,95.47,96.83,96.1,95.87
"67","48","  Implicit price deflator","A020RD",16.6,15.02,11.82,10.25,10.26,11.89,12.17,12.55,13.3,12.68,12.45,13.49,14.75,17.86,19.56,22.02,21.88,21.17,24.61,25.91,24.34,23.7,26.78,26.98,26.9,26.56,26.81,27.71,28.76,28.5,28.53,28.88,29.29,29.27,29.22,29.42,30.38,31.32,32.56,33.23,34.29,35.77,36.98,38.18,43.4,53.68,59.24,61.11,63.58,67.48,75.63,83.32,89.41,89.83,90.24,91.13,88.7,87.33,89.62,94.39,96.15,96.79,98.1,97.82,97.82,98.94,101.28,100,98.47,96.26,95.47,96.83,96.1,95.85
"68",NA,"  Exports of goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","49","    Current dollars","A253RT",0.86,0.64,0.4,0.27,0.28,0.36,0.39,0.42,0.56,0.52,0.54,0.67,0.73,0.55,0.47,0.58,0.87,1.9,2.6,2.15,1.97,1.65,2.3,2.17,2.01,2.09,2.33,2.84,3.16,2.65,2.66,3.31,3.39,3.51,3.77,4.32,4.49,4.97,5.2,5.7,6.19,7.2,7.37,8.38,11.95,16.33,17.73,19.04,20,23.51,29.76,36.51,38.66,34.77,33.52,36.49,35.94,36.55,41.65,52.68,60.1,64.45,68.95,72.55,74.34,82.41,94.41,100,111.41,110.17,112.76,126.94,118.62,113.77
"70","50","    Chain-type quantity index","B253RA",4.54,3.73,3.08,2.39,2.38,2.62,2.75,2.89,3.64,3.69,3.9,4.48,4.59,2.82,2.2,2.37,3.55,8.2,9.43,7.3,7.26,6.27,7.64,7.24,6.75,7.14,7.89,9.25,9.98,8.47,8.41,10.38,10.43,10.89,11.75,13.36,13.43,14.36,14.43,15.57,16.39,18.26,18.18,20.14,24.77,26.73,26.11,27.35,27.71,30.81,34.45,38.55,38.14,34.7,33.7,36.36,37.58,39.51,43.89,52.16,58.74,63.58,68.09,72.73,74.93,82.18,91.97,100,114.51,116.9,121.29,134.98,126.97,122.4
"71","51","    Chain-type price index","B253RG",19.05,17.04,13.08,11.28,11.8,13.8,14.14,14.48,15.35,14.2,13.89,14.89,15.96,19.43,21.43,24.54,24.44,23.19,27.6,29.38,27.22,26.31,30.16,30.03,29.73,29.3,29.58,30.7,31.7,31.36,31.66,31.87,32.48,32.23,32.12,32.34,33.46,34.61,36.06,36.62,37.75,39.46,40.51,41.59,48.27,61.08,67.89,69.63,72.16,76.32,86.4,94.71,101.38,100.21,99.48,100.34,95.62,92.49,94.89,101,102.33,101.36,101.26,99.75,99.21,100.27,102.65,100,97.29,94.25,92.98,94.05,93.42,92.98
"72","52","    Implicit price deflator","A253RD",19.05,17.04,13.08,11.28,11.8,13.8,14.14,14.48,15.35,14.2,13.89,14.89,15.96,19.43,21.42,24.54,24.44,23.19,27.6,29.38,27.21,26.31,30.16,30.03,29.73,29.3,29.58,30.7,31.7,31.36,31.66,31.87,32.48,32.23,32.12,32.34,33.46,34.61,36.06,36.62,37.75,39.46,40.51,41.59,48.27,61.08,67.89,69.63,72.16,76.32,86.4,94.71,101.38,100.21,99.47,100.34,95.62,92.49,94.89,101,102.32,101.36,101.26,99.75,99.22,100.27,102.65,100,97.29,94.25,92.98,94.05,93.42,92.95
"73",NA,"  Exports of services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","53","    Current dollars","A646RT",0.23,0.2,0.16,0.12,0.1,0.13,0.14,0.16,0.22,0.21,0.22,0.27,0.34,0.36,0.39,0.46,0.52,0.9,1.01,0.87,0.86,0.81,1.08,1.13,1.09,1.1,1.23,1.42,1.7,1.58,1.64,1.88,1.99,2.23,2.38,2.69,2.97,3.2,3.59,3.92,4.31,4.86,5.38,5.64,6.98,9.12,10.42,12.16,13.73,15.93,17.46,20.78,24.9,26.45,27.25,30.29,31.58,36.87,42.25,47.36,53.69,62.02,68.51,73.55,77.53,84.24,91.77,100,108.5,110.88,114.17,123.6,117.53,121.72
"75","54","    Chain-type quantity index","B646RA",2.39,2.08,1.79,1.49,1.58,1.87,2.06,2.14,2.74,2.31,2.45,2.6,2.68,2.36,2.44,2.63,3.03,5.05,5.55,4.85,4.71,4.39,5.57,5.46,5.12,5.19,5.77,6.54,7.35,6.84,7.35,8.13,8.67,9.46,10.06,11.26,12.15,12.85,13.97,14.69,15.59,16.97,17.77,17.7,20.85,24.29,25.91,28.65,30.67,33.1,33.64,35.59,39.32,39.29,38.86,42.62,43.01,48.73,54.38,59.45,65.18,71.73,75.4,78.86,82.07,88.01,93.65,100,106.98,109.39,112.13,118.91,114.18,117.87
"76","55","    Chain-type price index","B646RG",9.79,9.77,9.05,8.15,6.23,6.75,6.89,7.39,7.86,9.01,9.07,10.43,12.71,15.09,16.17,17.32,17.03,17.89,18.24,17.98,18.3,18.47,19.4,20.71,21.36,21.23,21.42,21.73,23.09,23.05,22.3,23.11,22.98,23.59,23.71,23.87,24.46,24.93,25.68,26.69,27.62,28.64,30.31,31.88,33.47,37.57,40.22,42.44,44.77,48.12,51.91,58.4,63.32,67.31,70.12,71.06,73.43,75.66,77.7,79.67,82.37,86.47,90.85,93.26,94.47,95.72,97.99,100,101.42,101.37,101.82,103.94,102.94,103.27
"77","56","    Implicit price deflator","A646RD",9.79,9.77,9.05,8.16,6.23,6.75,6.89,7.39,7.86,9.01,9.07,10.43,12.71,15.09,16.17,17.32,17.02,17.89,18.24,17.98,18.3,18.47,19.4,20.71,21.36,21.23,21.42,21.72,23.09,23.05,22.3,23.11,22.98,23.59,23.71,23.87,24.46,24.93,25.68,26.69,27.62,28.64,30.31,31.88,33.47,37.57,40.22,42.44,44.77,48.11,51.91,58.4,63.32,67.31,70.12,71.06,73.43,75.66,77.7,79.67,82.37,86.46,90.85,93.26,94.47,95.72,97.99,100,101.41,101.37,101.82,103.94,102.94,103.27
"78",NA,"Imports of goods and services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","57","  Current dollars","A021RT",0.58,0.43,0.3,0.2,0.2,0.23,0.31,0.33,0.41,0.3,0.33,0.36,0.46,0.48,0.65,0.72,0.78,0.72,0.82,1.04,0.96,1.21,1.51,1.59,1.66,1.6,1.79,1.96,2.07,2.08,2.32,2.37,2.36,2.59,2.71,2.92,3.27,3.85,4.14,4.83,5.24,5.79,6.47,7.71,9.46,13.23,12.74,15.69,18.94,22.04,26.23,30.51,32.99,31.48,34.12,42.06,43.32,46.95,52.73,57.44,61.23,65.27,64.61,69.01,74.6,84.32,93.74,100,109.62,115.94,128.67,152.28,143.6,149.36
"80","58","  Chain-type quantity index","B021RA",4.81,4.18,3.65,3.03,3.15,3.22,4.22,4.17,4.7,3.65,3.83,3.93,4.83,4.38,5.53,5.78,6.15,5.1,4.84,5.65,5.45,6.44,6.69,7.28,7.97,7.57,8.49,9.17,9.56,10.01,11.07,11.21,11.14,12.4,12.74,13.41,14.84,17.05,18.29,21.02,22.21,23.16,24.4,27.13,28.39,27.75,24.66,29.49,32.7,35.54,36.13,33.73,34.61,34.18,38.49,47.86,50.95,55.23,58.58,60.81,63.21,65.64,65.31,69.64,75.98,85.08,92.05,100,113.67,127.03,140.88,159.48,154.91,160.66
"81","59","  Chain-type price index","B021RG",12,10.23,8.27,6.63,6.35,7.21,7.33,7.85,8.76,8.09,8.49,9.06,9.57,10.96,11.8,12.39,12.74,14.21,17.02,18.5,17.63,18.73,22.63,21.81,20.88,21.16,21.05,21.42,21.66,20.76,20.95,21.15,21.15,20.9,21.3,21.75,22.06,22.57,22.66,23,23.6,25,26.53,28.4,33.34,47.7,51.67,53.22,57.92,62.01,72.62,90.45,95.32,92.1,88.65,87.89,85.02,85.01,90.02,94.46,96.87,99.43,98.93,99.09,98.18,99.12,101.83,100,96.44,91.27,91.34,95.49,92.7,92.99
"82","60","  Implicit price deflator","A021RD",12,10.23,8.27,6.63,6.35,7.22,7.33,7.85,8.76,8.09,8.49,9.06,9.57,10.96,11.8,12.39,12.74,14.21,17.02,18.5,17.63,18.72,22.63,21.81,20.88,21.16,21.05,21.42,21.66,20.76,20.95,21.15,21.15,20.9,21.3,21.75,22.06,22.57,22.66,23,23.6,25,26.53,28.4,33.34,47.7,51.67,53.22,57.92,62.01,72.62,90.45,95.32,92.1,88.65,87.88,85.02,85.01,90.02,94.46,96.87,99.43,98.93,99.09,98.18,99.12,101.83,100,96.44,91.27,91.33,95.49,92.7,92.97
"83",NA,"  Imports of goods:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","61","    Current dollars","A255RT",0.55,0.38,0.26,0.17,0.19,0.22,0.3,0.31,0.39,0.27,0.3,0.33,0.42,0.34,0.43,0.47,0.48,0.63,0.74,0.93,0.85,1.12,1.38,1.34,1.36,1.28,1.43,1.58,1.64,1.6,1.89,1.88,1.86,2.09,2.19,2.4,2.75,3.26,3.43,4.2,4.55,5.05,5.76,7.04,8.89,12.93,12.25,15.42,18.88,21.95,26.32,30.75,33.13,30.99,33.73,41.61,42.47,45.77,51.31,55.93,59.93,62.84,61.94,67.4,73.34,83.72,93.73,100,109.49,115.05,129.32,153.78,144.39,147.48
"85","62","    Chain-type quantity index","B255RA",4.65,3.92,3.42,2.77,3.11,3.18,4.37,4.21,4.7,3.58,3.9,4.09,4.83,3.35,3.88,4.02,4.01,4.63,4.45,5.09,4.89,5.98,5.86,5.98,6.32,5.84,6.52,7.1,7.31,7.51,8.82,8.67,8.66,9.94,10.34,11.03,12.59,14.57,15.34,18.51,19.52,20.29,21.99,24.98,26.74,26,22.72,27.86,31.25,34.05,34.64,32.06,32.72,31.9,36.24,45,47.8,52.7,55.15,57.38,59.8,61.6,61.56,67.26,74.03,83.86,91.43,100,114.2,127.59,143.19,162.51,157.18,163.31
"86","63","    Chain-type price index","B255RG",11.88,9.8,7.67,6.01,6.01,6.87,6.98,7.49,8.37,7.5,7.64,8.15,8.74,10.13,10.98,11.73,12.02,13.54,16.62,18.36,17.38,18.8,23.6,22.43,21.47,21.93,21.87,22.3,22.5,21.33,21.48,21.71,21.5,20.99,21.18,21.76,21.86,22.36,22.39,22.69,23.33,24.91,26.19,28.2,33.23,49.73,53.9,55.34,60.42,64.45,76,95.9,101.25,97.16,93.1,92.46,88.84,86.85,93.04,97.47,100.23,102.02,100.62,100.21,99.06,99.83,102.51,100,95.88,90.17,90.31,94.63,91.87,90.32
"87","64","    Implicit price deflator","A255RD",11.88,9.8,7.67,6.01,6.01,6.86,6.98,7.49,8.37,7.5,7.64,8.15,8.74,10.13,10.98,11.73,12.02,13.54,16.62,18.36,17.38,18.8,23.6,22.43,21.47,21.93,21.87,22.3,22.5,21.33,21.48,21.71,21.5,20.99,21.18,21.75,21.86,22.35,22.39,22.69,23.33,24.91,26.19,28.2,33.23,49.73,53.9,55.34,60.42,64.45,76,95.9,101.25,97.16,93.09,92.45,88.84,86.85,93.04,97.47,100.23,102.02,100.62,100.21,99.06,99.83,102.51,100,95.88,90.17,90.31,94.63,91.87,90.31
"88",NA,"  Imports of services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","65","    Current dollars","A656RT",0.71,0.66,0.51,0.38,0.27,0.31,0.34,0.39,0.5,0.43,0.47,0.47,0.67,1.22,1.83,2,2.36,1.23,1.27,1.62,1.53,1.64,2.2,2.88,3.26,3.28,3.66,3.95,4.3,4.57,4.53,4.92,4.93,5.23,5.44,5.63,6,6.93,7.85,8.15,8.84,9.63,10.2,11.17,12.48,14.82,15.33,17.13,19.26,22.51,25.77,29.24,32.27,34.01,36.15,44.44,47.77,53.09,60.15,65.31,67.99,77.91,78.55,77.38,81.22,87.5,93.79,100,110.28,120.61,125.27,144.42,139.44,159.17
"90","66","    Chain-type quantity index","B656RA",5.8,5.64,4.9,4.34,3.65,3.71,3.99,4.42,5.1,4.26,3.97,3.74,5.31,8.66,12.24,12.95,14.83,7.09,6.52,8.04,7.85,8.35,10.62,13.85,16.36,16.54,18.67,19.87,21.24,23.06,22.61,24.38,23.96,25.08,25.06,25.71,26.47,29.83,33.47,34.08,36.22,38.11,37.03,38.54,37.24,37.2,35.59,38.04,39.94,42.78,43.37,42.4,44.85,47.24,51.06,63.86,68.71,68.94,77.64,79.75,81.98,88.23,86.18,82.69,86.6,91.65,95.4,100,110.94,124.16,129.42,144.47,143.71,146.79
"91","67","    Chain-type price index","B656RG",12.18,11.66,10.35,8.77,7.43,8.29,8.43,8.89,9.87,10.19,11.82,12.57,12.57,14.05,14.98,15.42,15.92,17.39,19.43,20.11,19.56,19.6,20.75,20.8,19.9,19.85,19.63,19.9,20.23,19.81,20.05,20.2,20.58,20.85,21.71,21.89,22.66,23.23,23.45,23.91,24.4,25.27,27.55,28.97,33.51,39.85,43.08,45.03,48.23,52.61,59.42,68.95,71.94,71.99,70.81,69.6,69.51,77.02,77.48,81.89,82.94,88.31,91.15,93.58,93.78,95.47,98.31,100,99.41,97.14,96.8,99.97,97.03,108.47
"92","68","    Implicit price deflator","A656RD",12.18,11.66,10.35,8.77,7.43,8.28,8.43,8.89,9.87,10.19,11.82,12.57,12.57,14.05,14.98,15.42,15.92,17.39,19.43,20.11,19.56,19.59,20.75,20.8,19.9,19.84,19.63,19.9,20.23,19.81,20.05,20.2,20.58,20.85,21.71,21.89,22.66,23.23,23.45,23.91,24.4,25.27,27.55,28.97,33.51,39.85,43.08,45.03,48.23,52.61,59.41,68.95,71.94,71.99,70.81,69.6,69.51,77.02,77.48,81.89,82.94,88.31,91.15,93.58,93.78,95.47,98.31,100,99.41,97.14,96.8,99.97,97.03,108.43
