"","Table 7#3#5# Farm Sector Output, Gross Value Added, and Net Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Livestock","B1006C1",6.2,5.2,3.8,2.8,2.8,3.3,4.1,4.7,4.9,4.5,4.5,4.9,6.5,9,11.5,11.4,12,13.8,16.5,17.1,15.4,16.1,19.6,18.2,16.9,16.3,16,16.4,17.4,19.2,18.9,19,19.5,20.2,20,19.9,21.9,25,24.4,25.5,28.6
"12","5","  Farm products consumed on farms","B1008C1",1.7,1.6,1.3,1,1,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1,0.9,0.8,0.8,0.8,0.7,0.7,0.7
"13","6","  Other farm income","B1009C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6
"14","7","  Change in farm finished goods inventories","W248RC1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1,1.4,0.7,0.2,-0.6,-1,0.1,2,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0
"15","8","    Crops","B1010C1",-0.2,-0.3,0.4,0,-0.1,-0.5,0.7,-0.8,1,0.4,-0.3,0.4,0.1,0.7,-0.7,0.3,-0.6,0.3,-1.2,2.7,-0.8,-0.7,0,0.8,0.8,-0.1,-0.6,-0.6,0.3,1.4,-2,0.5,0.5,0,0.1,-1.1,1,-0.7,0.8,1.2,-0.2
"16","9","    Livestock","B1011C1",0.1,0,0.1,0.1,0,-0.2,0,-0.1,-0.1,0.1,0.2,0.1,0.3,0.6,0.4,-0.6,-0.2,-0.5,-0.6,-0.1,0.2,0.6,1,0.6,-0.1,0.3,0,-0.3,-0.2,0.6,0.4,0.1,0.4,0.6,0.4,0,-0.2,0.2,0.1,0.2,0.2
"17","10","Less: Intermediate goods and services consumed","A2003C1",4,3.4,2.4,1.9,2.1,2.4,2.7,3.1,3.5,3.1,3.5,4,4.6,6,7.2,7.7,8.4,9.7,11.5,12.5,11.5,12.5,14.8,15,13.5,14,14.3,14.5,14.9,16.7,17.7,17.5,18.4,19.7,20.7,20.3,21.6,23.8,24.6,25,26.7
"18","11","      Other than rent","W249RC1",3.3,2.9,2.1,1.7,1.8,2.1,2.3,2.7,3,2.8,3.1,3.6,4,5.1,6.2,6.7,7.4,8.3,10,11.1,10.3,11.2,13.3,13.4,12.2,12.6,13.1,13.2,13.7,15.3,16.4,16.1,16.8,18,18.8,18.4,19.5,21.6,22.5,22.8,24.4
"19","12","        Intermediate goods and services purchased, other than rent","B1012C1",3.3,2.9,2.1,1.7,1.8,2.1,2.3,2.7,3,2.8,3.1,3.6,4,5.1,6.2,6.7,7.4,8.3,10,11.1,10.3,11.2,13.3,13.4,12.2,12.6,13.1,13.2,13.7,15.3,16.4,16.1,16.8,18,18.8,18.4,19.5,21.6,22.5,22.8,24.4
"20","13","        Less: Change in farm materials and supplies inventories","W250RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","      Rent paid to nonoperator landlords","B1013C1",0.7,0.5,0.3,0.2,0.3,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.7,0.9,1,1,1,1.4,1.5,1.4,1.2,1.3,1.5,1.5,1.4,1.3,1.3,1.3,1.2,1.3,1.3,1.4,1.6,1.7,1.9,1.9,2.2,2.2,2.1,2.2,2.3
"22","15","Equals: Gross farm value added","B359RC1",8.9,7,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8
"23","16","Less: Consumption of fixed capital","B366RC1",0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.3,1.6,1.8,2.1,2.3,2.5,2.6,2.7,2.7,2.8,2.9,3.1,3.2,3.1,3.1,3.2,3.3,3.4,3.6,3.9,4.2,4.5,4.8
"24","17","Equals: Net farm value added","A365RC1",8.2,6.2,5,3.4,3.6,3.6,5.9,5.3,7.1,5.3,5.1,5.2,7.6,11.6,13.8,13.7,14.3,16.9,17.8,20.5,15.7,16.7,19.3,18.3,16.1,15.5,14.6,14.2,14,16,14.2,15.1,15.2,15.3,15.2,14,16.3,16.9,15.9,16,18.1
"25","18","          Compensation of employees","A2006C1",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.3,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.9,2.7,2.6,2.6,2.6,2.7,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.6,3.6,3.8,4
"26","19","            Wage and salary accruals","B1019C1",1.3,1.2,0.9,0.7,0.6,0.7,0.8,0.9,1,1,1,1,1.2,1.6,2,2.2,2.3,2.5,2.8,3,2.8,2.8,2.9,2.8,2.7,2.6,2.6,2.6,2.7,2.8,2.8,3,3.1,3.2,3.2,3.3,3.4,3.4,3.4,3.5,3.8
"27","20","            Supplements to wages and salaries","B1020C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3
"28","21","          Taxes on production and imports","B1017C1",0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7
"29","22","          Less: Subsidies to operators","B1018C1",0,0,0,0,0.1,0.4,0.5,0.2,0.3,0.4,0.7,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.5,0.9,1,0.6,0.6,1.3,1.5,1.5,1.9,2.1,2.9,2.7,3,3.3
"30","23","          Net operating surplus","W251RC1",6.5,4.6,3.7,2.3,2.8,3.1,5.3,4.4,6,4.4,4.5,4.5,6.5,10.2,12,11.8,12.2,14.6,14.7,17.1,12.4,13.4,15.9,14.9,12.7,12.3,11.3,11.2,11.2,13.2,10.8,11.5,12.2,12.3,12.1,11.1,13.6,14.8,13.5,13.7,15.7
"31","24","            Net interest","B1021C1",0.8,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1,1,1.3,1.4,1.6,1.8,1.9,2.1
"32","25","            Current transfer payments","W252RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","26","            Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments","A1024C1",5.7,3.9,3,1.7,2.2,2.6,4.9,4,5.7,4,4,4.1,6.1,9.8,11.7,11.5,11.9,14.3,14.5,16.9,12.1,13,15.4,14.4,12.2,11.8,10.7,10.6,10.6,12.4,10,10.6,11.3,11.3,11,9.8,12.2,13.2,11.7,11.8,13.6
"34","27","              Proprietors' income","B042RC1",5.7,3.9,3,1.8,2.2,2.6,4.9,3.9,5.6,4,4,4.1,6,9.7,11.5,11.4,11.8,14.2,14.3,16.7,12,12.9,15.3,14.3,12.2,11.7,10.7,10.6,10.6,12.4,10,10.6,11.2,11.2,11,9.8,12,13,11.6,11.7,12.8
"35","28","              Corporate profits","B1023C1",0,0,-0.1,-0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.7
"36",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","29","  Change in farm inventories \1\","B018RC1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1,1.4,0.7,0.2,-0.6,-1,0.1,2,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
