"","Table 2#5#3 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"33","26","      Electricity, gas, and other fuels","DEGFRA3",13.744,13.973,13.44,13.084,13.118,13.593,14.171,15.148,15.455,15.163,16.179,17.418,18.057,18.915,19.402,19.827,21.131,23.206,25.258,26.623,26.024,28.772,30.426,31.511,32.535,34.753,37.553,39.709,41.234,43.832,45.107,46.176,46.918,49.202,51.578,54.281,56.892,59.587,61.987,63.387,65.139
"34","27","        Electricity","DELCRA3",1.922,2.127,2.258,2.287,2.254,2.412,2.583,2.78,2.996,3.217,3.427,3.714,3.963,4.202,4.324,4.666,4.977,5.763,6.47,7.259,8.103,9.207,10.219,11.214,12.243,13.347,14.343,15.559,16.683,17.618,18.709,19.793,20.756,22.123,23.27,24.697,26.023,27.74,29.437,31.415,33.321
"35","28","        Natural gas","DGHERA3",11.778,12.145,12.016,11.578,10.693,10.694,10.888,11.189,11.444,11.317,11.651,12.421,12.488,13.538,14.096,14.507,15.339,16.434,18.873,21.044,22.551,25.722,29.129,31.74,34.273,38.749,43.599,48.53,51.608,57.587,62.701,65.775,69.3,74.41,77.652,80.978,84.12,87.361,91.512,94.341,98.926
"36","29","        Fuel oil and other fuels","DFULRA3",227.243,222.03,201.496,192.848,202.855,209.635,217.486,235.228,232.871,216.085,234.105,252.03,259.781,266.998,271.997,269.252,287.567,309.297,325.769,327.35,288.777,310.315,309.625,300.904,290.81,296.479,315.082,315.717,313.045,324.956,310.42,299.039,281.453,281.506,294.938,309.264,324.403,333.587,334.221,315.811,299.422
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRA3",9.573,8.354,8.017,6.792,6.472,7.093,7.775,9.19,9.596,8.879,9.882,10.664,11.706,10.541,9.043,8.436,8.689,11.924,13.208,13.778,13.887,15.739,15.203,15.048,15.461,15.352,17.221,18.04,17.911,17.872,18.609,18.68,19.044,20.072,21.051,22.957,24.276,26.042,26.634,27.777,28.134
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRA3",8.121,6.662,6.56,5.29,4.501,4.758,5.742,7.288,7.119,6.595,7.601,8.126,9.124,8.056,7.185,6.438,6.55,9.217,9.817,10.442,10.398,11.597,11.054,11.362,11.853,11.888,13.633,14.197,13.895,13.88,14.365,14.239,14.244,15.202,16.513,18.571,19.726,20.879,20.996,22.143,22.318
"39","32","    Household textiles","DTEXRA3",7.305,6.421,6.649,6.062,5.823,5.944,6.276,7.85,8.19,8.05,9.944,10.562,11.197,10.487,10.7,10.449,10.153,12.631,10.715,11.533,13.168,14.813,14.641,14.736,14.548,13.954,14.987,15.374,15.374,14.944,15.725,15.506,15.867,17.103,17.53,19.325,20.654,22.405,22.948,23.643,22.723
"40","33","    Household appliances \6\","DHAPRA3",2.875,2.641,2.414,1.719,2.123,2.645,3.171,3.718,4.129,3.493,3.841,4.51,5.61,3.49,1.28,0.825,1.44,6.158,9.679,10.015,9.338,11.883,10.964,10.847,11.435,11.778,13.411,14.898,15.062,14.849,15.988,15.851,16.177,16.684,17.689,19.265,19.881,22.06,22.961,24.965,26.465
"41","34","    Glassware, tableware, and household utensils \7\","DUTERA3",11.041,8.045,8.574,8.668,7.945,7.963,7.365,8.783,9.766,8.963,9.031,9.693,11.568,10.854,9.007,8.396,10.021,15.776,16.41,17.363,16.23,16.896,16.437,15.666,15.808,15.694,16.399,15.665,14.354,13.727,14.1,13.668,13.649,14.095,13.961,15.329,17.103,19.325,20.205,20.704,20.878
"42","35","    Tools and equipment for house and garden","DTOORA3",2.822,2.518,2.12,1.734,1.644,1.79,1.87,2.292,2.469,2.272,2.561,2.82,3.228,3.235,3.17,3.266,3.574,4.859,5.076,5.511,5.656,6.353,6.485,5.798,5.285,4.591,4.87,4.989,4.981,4.95,5.266,5.528,5.638,6.147,6.507,7.217,8.301,9.743,10.445,11.036,11.261
"43","36","    Other household goods and services \8\","DOGSRA3",25.558,24.135,22.109,19.1,18.537,21.049,22.048,23.868,25.319,23.867,25.518,26.955,26.771,27.745,25.057,24.352,23.757,23.598,26.419,26.434,27.303,29.933,29.726,28.581,29.46,28.999,32.825,34.5,35.049,35.948,36.824,38.132,39.719,41.553,42.636,44.705,46.481,48.477,49.502,50.294,50.97
"44","37","  Health","DHLTRA3",4.479,4.36,4.212,3.925,3.713,3.948,4.006,4.275,4.466,4.408,4.657,4.807,5.107,5.472,5.743,6.1,6.28,7.23,7.396,7.988,8.195,8.658,9.064,9.517,9.956,10.523,10.907,11.663,12.344,13.165,14.119,14.498,15.329,16.831,17.928,19.708,20.629,21.747,22.7,24.58,26.455
"45","38","    Medical products, appliances, and equipment","DMPARA3",1.541,1.479,1.358,1.208,1.218,1.434,1.496,1.606,1.776,1.793,1.915,2.003,2.3,2.617,3.083,3.245,3.405,3.743,3.596,3.776,3.918,4.249,4.68,4.853,5.032,5.045,5.341,5.87,6.262,6.425,6.817,7.367,8.147,9.185,9.752,10.184,10.709,11.275,11.62,12.887,14.015
"46","39","      Pharmaceutical and other medical products \9\","DPHMRA3",1.407,1.331,1.233,1.113,1.118,1.275,1.326,1.423,1.548,1.592,1.694,1.759,1.985,2.266,2.695,2.827,2.98,3.262,3.117,3.285,3.43,3.745,4.161,4.299,4.435,4.453,4.819,5.309,5.771,5.986,6.472,7.112,8.019,8.926,9.643,9.943,10.384,10.81,11.626,12.833,13.905
"47","40","        Pharmaceutical products","DPNPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.366,6.972,7.873,8.764,9.586,9.842,10.266,10.663,11.576,12.763,13.816
"48","41","        Other medical products","DOMPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.819,15.404,16.77,18.564,13.438,16.237,17.64,19.755,15.188,17.623,19.79
"49","42","      Therapeutic appliances and equipment","DTAERA3",2.294,2.309,2.057,1.743,1.782,2.316,2.436,2.616,3.024,2.905,3.133,3.343,4.007,4.522,5.209,5.524,5.734,6.37,6.202,6.445,6.588,7.015,7.546,7.902,8.309,8.298,8.254,9.004,9.061,8.957,8.881,8.99,9.17,10.897,10.787,11.854,12.799,14.026,12.315,13.915,15.35
"50","43","    Outpatient services","DOUTRA3",6.21,5.811,5.536,5.104,4.668,4.908,4.885,5.322,5.438,5.158,5.47,5.597,5.826,6.04,5.855,6.374,6.534,8.042,8.579,9.483,9.466,9.809,10.143,10.548,11.021,11.888,11.974,12.577,13.225,14.182,15.091,15.599,16.073,17.394,18.249,20.902,21.621,21.799,21.659,22.449,23.45
"51","44","      Physician services \10\","DPHYRA3",7.065,6.656,6.369,5.973,5.55,5.909,5.995,6.587,6.748,6.352,6.655,6.776,6.971,7.229,6.921,7.861,7.958,10.017,11.145,12.339,12.392,12.855,13.397,13.845,14.403,15.507,15.396,16.185,16.985,18.396,19.201,19.542,19.679,21.005,21.877,25.079,25.384,25.376,26.3,27.099,28.66
"52","45","      Dental services","DDENRA3",13.977,13.059,12.442,11.295,10.08,10.495,10.015,10.801,11.039,10.778,11.811,12.327,13.359,13.78,13.758,13.547,14.058,16.521,15.663,17.253,16.939,17.523,17.806,19.085,20.277,22.216,23.352,24.455,25.692,26.584,26.652,27.179,28.189,29.435,29.101,32.971,33.878,34.579,37.148,38.688,42.015
"53","46","      Paramedical services","DPMSRA3",2.302,2.099,1.964,1.734,1.555,1.568,1.551,1.652,1.662,1.539,1.613,1.614,1.615,1.693,1.625,1.809,1.929,2.346,2.574,2.839,2.835,2.932,3.005,3.036,3.135,3.297,3.271,3.444,3.674,4.028,5.331,6.036,6.756,8.043,9.226,10.657,11.829,12.076,9.692,10.199,9.689
"54","47","        Home health care","DHHCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","48","        Medical laboratories","DMLBRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","49","        Other professional medical services \11\","DOMDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","50","    Hospital and nursing home services","DHPNRA3",4.501,4.981,5.264,5.254,5.002,4.9,5.027,5.097,5.252,5.514,5.708,5.91,5.987,6.378,6.749,6.914,7.007,7.46,7.5,7.958,8.498,9.066,9.254,9.972,10.53,11.227,11.979,12.898,13.703,14.896,16.269,16.024,17.036,18.742,20.385,21.905,23.217,25.837,28.633,32.072,35.351
"58","51","      Hospitals \12\","DHSPRA3",5.5,6.085,6.431,6.419,6.111,5.986,6.142,6.227,6.417,6.736,6.974,7.221,7.315,7.793,8.246,8.448,8.561,9.114,9.163,9.723,10.383,11.077,11.306,12.183,12.865,13.717,14.635,15.758,16.742,18.2,19.861,18.796,19.664,21.47,22.982,23.962,25.623,28.205,30.99,34.447,37.439
"59","52","      Nursing homes","DNRSRA3",0.874,0.967,1.022,1.02,0.971,0.951,0.976,0.99,1.02,1.071,1.108,1.148,1.163,1.239,1.311,1.343,1.361,1.449,1.457,1.546,1.65,1.761,1.797,1.936,2.045,2.18,2.326,2.505,2.661,2.893,3.207,5.551,6.938,8.165,10.087,13.216,13.277,15.78,18.354,21.414,25.321
"60","53","  Transportation","DTRNRA3",6.668,5.538,4.922,4.004,4.201,4.681,5.382,6.185,6.469,5.541,6.426,7.289,8.193,4.785,4.675,4.902,5.667,9.682,11.247,12.037,13.636,15.636,14.702,14.314,16.225,15.872,19.131,18.031,18.712,17.313,19.243,20.15,19.299,21.358,23.053,24.325,26.858,27.863,28.1,31.205,32.819
"61","54","    Motor vehicles","DMTRRA3",10.648,6.978,5.064,2.97,4.016,5.058,7.554,9.589,9.731,5.725,8.032,10.342,11.493,1.213,1.117,0.814,0.772,4.135,6.997,8.27,11.173,14.53,12.223,10.692,13.9,13.309,18.483,15.319,15.883,12.667,15.219,16.132,14.14,17.005,19.325,20.348,23.966,24.19,23.389,27.213,27.805
"62","55","      New motor vehicles","DNMVRA3",5.847,3.816,2.769,1.615,2.201,2.773,4.154,5.269,5.343,3.124,4.402,5.701,6.342,0.255,0.257,0.084,0.08,4.118,7.016,7.948,10.844,14.345,11.631,9.792,13.381,12.85,18.152,14.525,14.905,11.158,14.44,15.536,13.367,16.773,19.399,20.658,24.709,24.981,23.67,28.379,28.858
"63","56","      Net purchases of used motor vehicles","DNPVRA3",9.194,7.459,5.426,3.733,4.149,5.169,6.923,9.112,9.514,7.01,8.566,9.256,10.099,9.377,8.284,7.732,7.332,5.919,9.679,14.005,18.011,20.898,22.269,24.185,21.054,18.328,21.623,22.696,24.93,26.109,23,22.568,21.719,21.23,22.007,21.82,23.626,23.635,25.286,25.306,26.522
"64","57","    Motor vehicle operation","DMVORA3",5.532,5.194,5.14,4.571,4.602,5.01,5.248,5.728,6.088,6.106,6.735,7.27,8.293,5.683,4.264,4.685,6.332,11.611,12.109,12.58,13.257,14.12,14.832,15.845,16.482,16.659,18.235,19.307,20.254,21.114,22.422,23.402,23.956,25.203,26.243,27.777,29.027,30.832,31.958,34.185,36.66
"65","58","      Motor vehicle parts and accessories","DMVPRA3",3.714,3.221,3.12,2.456,2.147,2.577,2.719,2.956,3.025,2.837,3.495,4.041,5.059,1.988,2.332,2.674,3.876,8.08,7.765,7.229,6.701,8.284,7.152,7.764,7.047,6.494,7.775,8.415,9.498,10.181,11.507,12.387,13.181,14.463,15.174,16.297,16.734,17.889,18.556,20.637,23.414
"66","59","      Motor vehicle fuels, lubricants, and fluids","DMFLRA3",7.694,7.768,8.089,7.454,7.467,7.958,8.44,9.119,9.814,10.097,10.76,11.405,12.723,9.59,6.084,6.276,8.268,15.006,15.967,16.983,18.467,19.15,20.817,22.533,23.778,24.533,26.669,28.282,29.371,30.766,32.346,33.454,33.799,35.232,36.314,38.302,40.111,42.614,43.999,47.063,50.227
"67","60","      Motor vehicle maintenance and repair","DVMRRA3",5.232,4.351,3.781,3.288,3.75,4.12,4.085,4.647,4.838,4.607,5.327,5.802,6.63,4.69,4.359,5.355,7.316,12.619,13.409,14.216,15.003,15.519,16.571,17.13,18.424,18.394,19.755,20.628,21.519,22.023,23.372,24.509,25.266,26.528,28.035,29.578,30.908,32.689,34.044,35.61,37.354
"68","61","      Other motor vehicle services","DOVSRA3",0.87,0.762,0.691,0.62,0.682,0.727,0.76,0.847,0.91,0.891,1.01,1.093,1.224,0.978,0.924,1.07,1.355,2.07,2.259,2.411,2.554,2.787,3.536,3.595,3.806,3.944,4.263,4.529,4.645,4.632,4.709,4.968,5.251,5.6,5.977,6.483,6.979,7.455,7.896,8.64,9.436
"69","62","    Public transportation","DPUBRA3",22.655,20.49,18.198,15.945,15.162,15.856,16.424,18.269,19.322,18.399,19.175,20.261,22.314,29.654,39.744,41.999,42.09,41.917,38.81,36.921,32.326,29.503,29.074,28.839,28.093,26.057,25.497,25.533,25.144,23.446,23.738,23.835,23.232,23.496,23.886,25.016,26.391,27.854,29.853,32.451,35.39
"70","63","      Ground transportation \13\","DGRDRA3",110.141,99.631,88.478,77.39,73.6,76.845,79.477,88.298,93.431,88.866,92.39,97.144,106.755,142.699,191.86,202.309,200.905,197.819,182.601,173.602,150.499,135.385,131.079,128.294,122.917,111.633,106.674,105.035,101.251,93.145,91.378,90.315,86.142,84.805,83.201,83.507,84.173,85.252,84.941,86.419,88.85
"71","64","      Air transportation","DAITRA3",0.02,0.02,0.02,0.032,0.032,0.049,0.069,0.092,0.092,0.104,0.144,0.229,0.288,0.264,0.263,0.342,0.61,0.969,0.989,0.959,1.082,1.337,1.764,2.095,2.468,2.806,3.332,3.765,4.252,4.282,5.059,5.427,5.729,6.321,7.138,8.386,9.853,11.339,13.908,16.803,19.877
"72","65","      Water transportation","DWATRA3",0.321,0.216,0.176,0.191,0.143,0.165,0.162,0.183,0.183,0.162,0.165,0.156,0.17,0.124,0.143,0.138,0.165,0.151,0.156,0.143,0.135,0.124,0.124,0.124,0.135,0.13,0.135,0.143,0.143,0.143,0.151,0.145,0.159,0.177,0.172,0.186,0.202,0.264,0.375,0.429,0.493
"73","66","  Communication","DCMCRA3",1.217,1.225,1.179,1.027,0.936,0.965,1.03,1.124,1.204,1.215,1.289,1.362,1.521,1.702,1.933,2.094,2.277,2.438,2.54,2.729,2.852,2.982,3.24,3.457,3.693,3.874,4.268,4.585,4.886,5.051,5.25,5.552,5.903,6.267,6.693,7.182,7.888,8.655,9.316,9.99,10.905
"74","67","    Telephone and facsimile equipment","DTCERA3",0.242,0.228,0.205,0.182,0.152,0.155,0.154,0.194,0.197,0.194,0.209,0.22,0.233,0.218,0.205,0.186,0.186,0.239,0.235,0.275,0.308,0.351,0.366,0.339,0.317,0.289,0.322,0.331,0.337,0.33,0.347,0.36,0.383,0.424,0.46,0.511,0.535,0.571,0.589,0.623,0.621
"75","68","    Postal and delivery services","DPSSRA3",25.937,26.112,26.003,23.129,21.37,22.041,23.083,25.457,26.721,28.317,29.539,29.856,32.211,35.148,38.935,43.857,48.056,48.496,48.234,49.453,48.512,51.456,53.815,55.026,58.214,58.855,62.192,65.502,67.692,69.115,67.132,69.056,72.238,78.18,77.458,81.737,85.771,90.355,95.192,93.533,98.252
