"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","11","      Glassware, tableware, and household utensils (34)","DUTERC1",3.5,3.6,3.7,4.1,4.7,5.2,5.7,6.5,7.3,8.6,9.5,10.6,11.8,12.8,13.4,14.1,14.4,15.1,15.1,16.3,17.5,18.4,18.5,20.1,21.1,22.8,23.7,24.8,25.7,28.3,31.9,35.3,37.1,40,40.6,41.7,42.7,43.3,42.6,41.6,39.3,41.5
"19","12","      Tools and equipment for house and garden (35)","DTOORC1",1.5,1.6,1.7,1.8,2.2,2.5,2.8,3.2,3.7,4.2,4.9,5.3,5.7,6,6.5,7,7.3,7.7,8.1,8.7,9.2,9.7,9.9,10.7,11.5,12.5,13,13.6,14.5,15.4,16.4,17.1,17.6,18.1,19.1,20.9,22.3,23.3,23,22.2,20.2,20.7
"20","13","    Recreational goods and vehicles","DREQRC1",16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83,91.8,99.9,103.9,105.6,107.7,111,123.5,140.3,153.7,164.9,174.6,192.1,212.7,234.1,239.8,251.5,265.7,290.5,312.8,334.1,349.4,344,316.6,329.8
"21","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1",8.3,8.8,9.2,10.6,12.1,13,14.3,15.9,17,18.6,20.7,21.9,23.5,24.5,30.2,34.2,38.5,44.8,49.5,54.2,55.8,56.1,58.1,59.7,66.7,76.7,84.7,91.1,96.2,107,119,130.9,133.4,140.8,148.8,166.3,182.9,198.2,211.2,210.7,197.7,207.4
"22","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1",2.9,2.9,3,3.6,3.8,4.3,5.1,6.2,6.8,7.6,8.1,8.9,9.5,9.5,10,11.4,12.2,13.1,15.4,17.1,18.8,19.9,20.5,21.7,23.6,25.9,27.2,28.5,29.5,32.1,35.3,39.1,41.3,43.1,45,47.8,50.7,54.4,55.8,55.7,51.6,53.3
"23","16","      Sports and recreational vehicles (79)","DWHLRC1",3.3,3.5,4.2,5.5,6.4,6.2,7.5,8.6,10,10.8,11.7,9.8,10.4,10.3,10.7,13.8,14.6,15.7,16.4,17,17.3,16.6,16,15.9,18,20.4,22.5,24.1,26,28.7,31.8,34.9,35.4,36.5,40,43.6,45.7,47,47.3,42.7,33.5,33.7
"24","17","      Recreational books (part of 90)","DRBKRC1",1.7,2.2,2.2,2.2,2.3,2.4,2.6,2.6,3,3.6,4.2,4.7,5.3,5.9,6.5,7.1,7.3,7.8,8.8,9.6,10.1,10.9,11,11.5,12.8,14.6,16.4,18.1,19.7,20.9,22.7,24.4,24.7,25.9,26.8,27.5,28.1,28.9,29.5,29.6,29,30.4
"25","18","      Musical instruments (part of 80)","DMSCRC1",0.6,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1,1.1,1.1,1.2,1.1,1.2,1.4,1.5,1.6,1.7,1.9,1.9,2.1,2.2,2.2,2.4,2.7,2.9,3.1,3.2,3.5,3.9,4.7,4.9,5.2,5.1,5.3,5.4,5.6,5.6,5.3,4.7,4.9
"26","19","    Other durable goods","DODGRC1",8.7,9.4,10.1,11,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68,72,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.4,131.5,141.1,154.6,167.8,167.7,161.2,171.8
"27","20","      Jewelry and watches (part of 119)","DJRYRC1",4,4.1,4.4,4.8,6,7,8.1,9.8,11,12.3,13,15,16,15.6,17.4,19.8,21.1,24.3,26.2,28.3,29.2,30.3,30.2,31.6,33.9,36,37.8,39.9,39.9,42.6,46.5,49.1,47.6,49.1,51.4,55.3,58.1,62.3,65.3,63.4,58.1,61.5
"28","21","      Therapeutic appliances and equipment (42)","DTAERC1",1.7,1.9,1.9,2.2,2.4,2.7,3,3.3,3.5,3.9,4.5,5.1,5.7,6.2,7.1,8.4,9.6,11,12.6,14.8,15.9,18.4,17.5,18.1,18.9,20.4,21,23,25.3,27.8,29.7,32.2,31.8,34,36,38.6,41.5,44.7,49,49.8,50.2,54.9
"29","22","      Educational books (96)","DEBKRC1",0.6,0.7,0.8,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,2,2.2,2.5,2.9,3.2,3.6,4.2,4.6,4.9,5.3,5.4,5.6,6.1,6.5,6.8,7,7.3,7.9,8.6,9,9.2,9.7,10.4,10.9,11.5,12.2,12.9,13,12.7,13.3
"30","23","      Luggage and similar personal items (part of 119)","DLUGRC1",2.4,2.6,2.9,3.2,3.6,4,4.4,5,5.4,5.7,5.6,5.2,4.9,4.7,5.4,6,6.5,7.2,8.1,8.7,9.7,9.7,10,10.6,10.9,10.9,10.9,11.1,11.1,11.7,13.1,14.6,13.9,14.3,16.1,17.9,20.5,23.8,26.8,27.3,26.7,28.1
"31","24","      Telephone and facsimile equipment (67)","DTCERC1",0,0,0,0,0,0,0,0,0,0.2,0.4,0.7,1,1.2,1.2,1.2,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2,2.3,2.7,3,3.4,3.7,4.2,4.8,5.5,5.8,6.2,7.6,8.7,9.4,11.6,13.8,14.1,13.5,14
"32","25","  Nondurable goods","DNDGRC1",214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1708.1,1819.3,1953.4,2069.8,2175.5,2272.8,2167.8,2301.5
"33","26","    Food and beverages purchased for off-premises consumption","DFXARC1",95.4,103.5,107.1,114.5,126.7,143,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277,291.1,303,316.4,324.3,342.8,365.4,391.2,403,404.5,413.5,432.1,443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,587.5,613,644.5,674.2,711.2,746.4,746,766.4
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1",83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,507.3,529.8,558.2,582.2,614.9,647.4,645.3,659.4
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",11,12.3,13.8,14.9,16,17.7,19.2,20.5,22.1,23.8,26.8,30,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55,58.7,61.6,64,68.3,74,77.2,78.9,79.9,82.8,86,91.6,96,98.7,100.4,106.6
"36","29","      Food produced and consumed on farms (6)","DFFDRC1",0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1,1,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3
"37","30","    Clothing and footwear","DCLORC1",44.3,45.5,49,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,286.2,298.7,314,327.3,335.4,330.9,318.2,334.3
"38","31","      Garments","DGARRC1",35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121,129.5,138.2,146.9,156.2,160,164,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230,227.2,228,234,244.7,256.3,266,272.5,268.1,257.9,270.4
"39","32","        Women's and girls' clothing (10)","DWGCRC1",21.3,21.9,24,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119,126.5,132.7,132.1,133.3,137.5,145,152.5,158.9,164,160.1,153.7,161.2
"40","33","        Men's and boys' clothing (11)","DMBCRC1",13.4,13.7,14.7,16.3,18.2,19.3,20.9,22.5,25.1,27.6,29.2,30.9,33.5,34.5,37.1,40.2,42.5,44.9,48,51.7,55.6,57.4,59.4,63,66.1,70.1,72.2,75.8,80,82.2,84.6,85.9,83.2,82.4,84.2,87.3,91,93.9,95.2,94.5,91.1,95.5
"41","34","        Children's and infants' clothing (12)","DCICRC1",0.8,1,0.9,1.1,1.3,1.7,1.9,2.2,2.5,3,3.4,3.9,4.6,5.1,5.5,6,6.3,6.7,7,7.6,8,8.1,8.1,8.2,8.4,8.8,9,9.1,9.4,10,10.8,11.4,11.9,12.3,12.2,12.4,12.9,13.2,13.3,13.5,13.1,13.7
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1",8.9,8.8,9.4,10.3,11.4,11.6,12,13,14.2,16.2,18.1,19.7,21.8,21.8,23.1,24.5,25.9,27.7,29.6,31.3,34.2,35.3,35.1,36.8,38.2,40.2,41.2,43.2,44.3,46.7,49.2,50.8,50.7,50.8,52.2,54,57.7,61.3,63,62.8,60.3,63.9
"43","36","    Gasoline and other energy goods","DGOERC1",25,26.3,27.6,29.4,34.3,43.8,48,53,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125,126.9,129.2,133.4,144.7,147.7,133.4,148.8,188.8,183.6,174.6,209.5,249.4,303.8,335.2,364.8,410.5,299.4,354.1
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1",20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.4,98.7,111.4,108.9,112.9,114.5,116.5,120.4,130.5,134.4,121.8,136.5,172.9,168.1,160.3,192.8,231.6,283.8,314.7,343,384.5,279.1,331.4
"45","38","      Fuel oil and other fuels (29)","DFULRC1",4.5,4.4,4.5,5,6.2,7.7,8.3,10,10.9,11.4,14.1,15.2,15.5,14.2,13.4,13.6,13.3,11.1,11,11.5,11.7,12.8,12.3,12.1,12.4,12.7,13,14.3,13.2,11.6,12.4,15.9,15.5,14.3,16.7,17.9,20,20.6,21.8,25.9,20.3,22.7
"46","39","    Other nondurable goods","DONGRC1",49.5,53.6,55.9,60,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.3,452.3,499.2,536.2,566.5,594.9,625,658.2,691.1,733,764.1,785.1,804.1,846.7
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1",6.3,7.3,7.7,8.4,9.1,9.9,10.7,11.7,12.4,14.2,16.5,18.7,21.3,23.5,26.9,30.3,33.5,37.2,41.3,45.9,51.9,59.1,65.1,69.6,74,79.1,85.1,93.2,103.7,119.8,140,159,181,200.2,221.6,240.4,254.7,276.2,291.7,302.5,316.8,330.6
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1",7.6,8.2,8.7,9.6,10.9,12.2,13.1,14.7,15.7,17.7,19.9,22,24.8,26.6,28.9,31.5,33.8,35.4,39.1,42.6,47.2,50.9,53.6,57.3,60.7,65.2,68.9,72.8,76.3,81.4,87.8,93.7,97.3,101.8,104.8,110.5,119.1,127.6,135.8,138.7,132.8,141.4
"49","42","      Household supplies (parts of 32 and 36)","DHOURC1",11,11.5,11.7,12.4,13.8,15.4,16.8,18.1,19.7,22.5,25.9,29.1,32.2,34.3,36.8,40,42.1,44.7,46.4,49.4,51.9,54.2,55.6,58.5,62.1,66.8,70.4,74.4,77.9,79.7,83.9,86.7,89,90.8,93.8,97.2,102.2,107.4,110,112,110.1,114.1
"50","43","      Personal care products (part of 118)","DOPCRC1",6.7,7.1,7.5,8,9,10,11.1,12.2,13.8,15.4,17.1,18.7,20.5,21.6,23.7,26.3,28.3,30.4,32.6,34.6,36.9,39.3,40.2,41.4,43.9,47.1,50.2,53.4,56.4,59.9,64.4,68.5,71,73.2,75.4,78.4,81.5,85.4,88.7,90.8,89.9,95.2
"51","44","      Tobacco (127)","DTOBRC1",9.8,10.8,11.3,12.2,13.2,14.1,15.1,16.8,17,18.3,19.2,20.9,22.8,24.3,27.5,29.2,30.8,32.2,34.5,34.7,38.6,41,42.4,48,48.7,47.3,49.2,51.4,53.8,56.4,65.5,68.5,69.7,70.1,69.7,70.4,71.1,72.3,73.7,75.7,87.9,94.4
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRC1",6.4,6.9,7.1,7.7,8.4,9.2,9.9,10.8,11.9,14.1,16.4,18.1,19.8,21,22.4,24.5,25.4,26.6,28.8,31.7,34,36.5,37.8,38.8,40.9,43.8,46.1,48.2,50.2,51.9,54.3,56.6,55,54.8,54.9,56.2,57.5,58.9,58.1,58.9,58.8,64.6
"53","46","      Net expenditures abroad by U.S. residents (131)","DNFRRC1",1.7,1.8,1.9,1.7,1.4,1.2,1.1,0.9,1,1.2,1.4,1.8,2.1,2.7,2.7,2.8,3.2,3,3.1,2.5,2.7,2.6,2.3,1,1.1,1.3,1.6,1.7,3,3.2,3.1,3.2,3.4,4,4.8,5,5,5.3,6.1,6.5,7.8,6.5
"54","47","Services","DSERRC1",300.4,329.5,359.5,396.4,435.4,481.4,542.5,604.9,677.4,764.1,853.2,956,1070.1,1176.2,1314.8,1437.4,1580,1701.1,1840.7,2012.7,2170.7,2344.2,2482.6,2673.6,2841.2,3004.3,3171.7,3355.9,3563.9,3808.5,4052.8,4371.2,4614.8,4829.2,5076.1,5378.5,5726.8,6076.3,6408.3,6653.8,6668.7,6858.5
"55","48","  Household consumption expenditures (for services)","DHCERC1",290.4,318.4,347.2,382.8,420.7,465,524.4,584.9,655.6,739.6,825.4,924.1,1033.9,1136.1,1271.9,1389.8,1529.7,1645.8,1782.1,1946,2099,2264.5,2398.4,2581.3,2746.6,2901.9,3064.6,3240.2,3451.6,3677.5,3907.4,4205.9,4428.6,4624.2,4864.8,5169.1,5515.1,5836.3,6154.4,6369.3,6388.4,6578.3
"56","49","    Housing and utilities","DHUTRC1",101,109.4,120,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,311.8,352,387,421.2,458.3,500.7,535.7,571.8,614.5,655.6,696.4,735.5,771.2,814.5,866.5,913.8,961.2,1009.9,1065.2,1125,1198.6,1287.7,1334.8,1393.9,1462.4,1582.6,1686.2,1756.2,1831,1871.6,1893.2
"57","50","      Housing","DHSGRC1",84.2,91,99.7,108.7,119,130,142.4,156,173.4,194.5,218,245.9,277.8,302.5,327.2,358.4,394.7,429.2,461.8,497.3,531.5,570.4,601.8,634.5,665.9,712.6,756.2,794.2,839.3,893.9,950.5,1010.5,1085.8,1134.5,1176.1,1233.9,1328.9,1416.3,1472.9,1529.9,1574.9,1583.8
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRC1",24,26,28.4,30.8,33.7,35.8,39,42.6,47,51.1,55.7,61.8,71,78.6,85.5,94.6,108.3,119.3,126.8,133.8,140.1,150.7,157.6,163.9,168.8,176.7,186.2,191.2,199.4,209,218.7,227.9,241.9,249.2,247.1,253.7,264.7,283.4,311.1,330.3,353.2,359.4
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRC1",56.6,61.3,67.3,73.7,81,89.7,98.8,108.7,121.3,138.1,156.9,178.4,201,218.2,236,258.1,280.8,304.5,329.4,357.6,384.9,412.8,436.7,462.8,488.5,526.2,559.8,592.5,629.5,674.1,720.3,768.9,829.8,870.9,913.8,962.5,1044.5,1111,1141.3,1179.1,1201,1203.1
"60","53","        Rental value of farm dwellings (22)","DFARRC1",3,3.3,3.5,3.7,3.8,4,4,4.1,4.4,4.7,4.9,5.2,5.3,5.1,5.2,5.2,5.1,5,5,5.5,5.9,6.3,6.8,7.2,8.1,9,9.4,9.8,9.6,10,10.6,12.7,13.1,13.6,14.3,16.8,18.8,20.9,19.5,19.5,19.6,20.2
"61","54","        Group housing (23)","DGRHRC1",0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1.1
"62","55","      Household utilities","DUTLRC1",16.8,18.4,20.3,22.5,24.5,28.5,34.1,38.6,44.5,49.8,55.4,65.9,74.1,84.5,94,99.8,106,106.5,110.1,117.1,124.1,125.9,133.8,136.7,148.6,153.9,157.6,167,170.6,171.3,174.6,188.1,202,200.2,217.8,228.5,253.7,269.9,283.3,301.1,296.7,309.4
"63","56","        Water supply and sanitation (25)","DWRSRC1",2.8,3.2,3.6,4,4.4,4.9,5.5,6,6.7,7.5,8.4,9.4,10.5,11.7,13.1,14.9,17,19.1,21.1,22.9,25.3,27.1,28.8,30.3,33.5,36.7,39.3,42.1,44.1,46.2,48.7,50.4,52.4,54.6,57.4,60.3,63.7,69,72.9,77.4,81.3,85.7
"64","57","        Electricity and gas","DELGRC1",14,15.2,16.7,18.4,20.1,23.6,28.6,32.6,37.8,42.3,47,56.5,63.6,72.8,80.9,84.9,89,87.4,89,94.2,98.9,98.8,104.9,106.4,115.1,117.2,118.3,124.9,126.6,125.1,125.8,137.6,149.6,145.6,160.4,168.2,190,200.9,210.4,223.7,215.4,223.7
"65","58","          Electricity (27)","DELCRC1",8.8,9.6,10.6,11.8,13.3,16.1,19.4,21.6,25.2,28,30.7,37.2,42.5,47,51.6,55.3,59.3,60.6,63.3,66.8,69.7,71.8,76.6,76.8,82.7,84.5,87.6,90.5,90.7,93.4,93.6,98.4,103.4,107.1,111.5,115.9,128.7,140.9,148.7,155.8,157.4,168.4
"66","59","          Natural gas (28)","DGHERC1",5.2,5.6,6.1,6.6,6.8,7.5,9.3,11,12.6,14.2,16.2,19.3,21.2,25.8,29.3,29.6,29.8,26.8,25.7,27.4,29.2,27,28.3,29.6,32.3,32.6,30.7,34.5,35.9,31.7,32.2,39.3,46.2,38.5,48.9,52.3,61.2,59.9,61.7,67.9,58,55.4
"67","60","    Health care","DHLCRC1",42.1,47.7,53.7,59.8,67.2,76.1,89,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832,863.6,918.4,996.6,1082.9,1148.2,1228.5,1308.9,1373.7,1457.7,1532.6,1604.2,1667.4
"68","61","      Outpatient services","DOUTRC1",19.9,22.3,24.1,26.3,29.9,33.2,38.5,43.4,49.5,54.7,61.5,70.6,83.6,90.7,103.3,115.8,129.4,143.4,164.4,186.2,204.6,232.1,253.8,282.6,297.5,314.6,336.6,351.3,369.1,390.4,407.1,436.6,475.8,514.7,549.6,590.1,625.9,652.9,690.3,728.5,750.2,767
"69","62","        Physician services (44)","DPHYRC1",12.4,14,15.3,16.7,18.5,20.4,23.6,25.9,29.7,32.7,37.2,43.3,51,55.8,62.9,69.9,77.5,85.4,99.1,112.5,121.9,134.8,144.9,158.7,162.1,168.3,177.8,183.4,190.9,202,212.1,229.2,249.3,269.3,290.4,312.1,330.5,343.7,360.2,377.9,387.8,391.9
"70","63","        Dental services (45)","DDENRC1",4.3,4.9,5.1,5.6,6.6,7.3,8.2,9.3,10.3,11.3,12.3,13.7,16.1,17.4,18.9,20.6,22.6,24.2,26.8,28.4,30.3,32.4,34.1,37.6,39.6,42.2,45.4,47.8,50.9,54.6,58.5,63.6,69.3,75.6,78.2,84.1,89.1,93.3,99.3,104.4,104.4,106
"71","64","        Paramedical services (46)","DPMSRC1",3.2,3.4,3.6,4,4.8,5.5,6.7,8.2,9.5,10.7,12.1,13.6,16.5,17.5,21.6,25.2,29.4,33.8,38.5,45.3,52.4,64.9,74.8,86.3,95.8,104.1,113.4,120.1,127.3,133.8,136.5,143.8,157.2,169.8,181,193.9,206.3,215.9,230.8,246.2,258,269.1
"72","65","      Hospital and nursing home services","DHPNRC1",22.1,25.4,29.6,33.5,37.3,42.9,50.5,58.5,66.2,76.5,87.3,101,118.3,134.5,149.8,160.7,172.8,186.8,201.6,223.9,246.6,274.1,302,330.1,351.4,365.9,383.3,400.8,421.8,441.6,456.5,481.8,520.8,568.2,598.5,638.4,683,720.7,767.4,804.1,854,900.4
"73","66","        Hospitals (51)","DHSPRC1",18.3,20.9,24.3,27.6,30.6,35.3,41.7,48.6,55.1,63.6,72.9,84.7,100,115.2,127.4,135.8,145.8,157.4,170.9,188.8,207.7,228.8,253.3,277.6,295.5,307.2,318.4,330.1,345.5,360.1,373.2,393.9,427.1,469.5,494.1,529.3,567.9,601.9,640.2,670.2,714.6,756.4
