"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"38","30","  Petroleum and products","B648RA3",17.237,17.555,14.42,16.986,18.175,18.097,20.213,19.748,19.722,21.538,21.086
"39","31","  Capital goods, except automotive","B650RA3",0.645,0.623,0.642,0.642,0.687,0.694,0.752,0.788,0.698,0.905,0.913
"40","32","    Civilian aircraft, engines, and parts","B932RA3",3.469,2.585,3.045,3.308,4.214,4.36,3.593,5.207,4.163,3.761,3.805
"41","33","    Computers, peripherals, and parts","B852RA3",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
"42","34","    Other","B853RA3",1.368,1.34,1.372,1.365,1.438,1.451,1.598,1.64,1.464,1.93,1.931
"43","35","  Automotive vehicles, engines, and parts","B651RA3",6.442,6.409,7.622,7.978,9.452,10.326,11.874,12.601,11.096,14.123,15.248
"44","36","  Consumer goods, except automotive","B652RA3",3.933,3.885,3.999,4.33,4.771,4.89,5.265,5.456,5.272,6.434,6.167
"45","37","    Durable goods","B697RA3",3.634,3.581,3.739,3.814,4.393,4.422,4.914,4.952,4.847,5.598,5.476
"46","38","    Nondurable goods","B698RA3",4.434,4.399,4.419,5.271,5.413,5.712,5.835,6.334,5.994,7.98,7.409
"47","39","  Other","B653RA3",8.996,9.622,9.82,10.694,9.154,10.055,11.387,9.976,9.746,11.522,11.715
"48","40","Imports of services \1\","B656RA3",19.289,20.09,20.573,19.874,20.02,19.841,20.557,20.843,20.807,21.523,21.706
"49","41","  Direct defense expenditures","B752RA3",144.851,143.529,147.575,148.499,147.288,147.877,152.445,155.278,158.531,157.106,159.065
"50","42","  Travel","B768RA3",17.696,21.101,22.878,18.598,18.674,17.891,18.607,17.568,19.222,19.526,19.85
"51","43","  Passenger fares","B769RA3",13.477,13.239,13.009,13.616,13.012,13.54,14.38,14.469,15.82,16.371,17.169
"52","44","  Other transportation","B770RA3",24.401,23.811,22.032,23.787,25.904,25.319,26.538,25.892,23.138,27.473,26.963
"53","45","  Royalties and license fees","B908RA3",3.656,3.631,3.598,3.819,4.189,3.81,3.761,3.879,4.492,4.278,4.3
"54","46","  Other private services","B909RA3",1.123,1.205,1.328,1.301,1.267,1.405,1.435,1.504,1.545,1.578,1.556
"55","47","  Other","B910RA3",46.711,47.933,49.294,50.786,48.597,48.213,48.911,62.365,49.465,49.905,50.048
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RA3",7.014,7.07,6.882,6.955,7.234,7.517,7.955,7.849,7.233,8.52,8.584
"58","49","  Exports of nondurable goods","B339RA3",19.123,18.833,18.848,19.339,19.826,19.436,21.101,20.229,15.756,22.502,20.828
"59","50","  Exports of agricultural goods \2\","B181RA3",31.328,30.895,29.88,31.36,32.726,29.325,31.061,29.945,19.703,34.097,30.21
"60","51","  Exports of nonagricultural goods","B182RA3",10.993,11.017,10.905,11.002,11.391,11.951,12.89,12.516,11.174,13.526,13.383
"61","52","  Imports of durable goods","B333RA3",3.954,3.889,4.01,4.369,4.957,5.043,5.305,5.355,4.68,5.945,5.832
"62","53","  Imports of nondurable goods","B340RA3",16.714,16.002,15.733,17.26,17.579,18.171,19.81,18.867,16.382,20.662,20.197
"63","54","  Imports of nonpetroleum goods","B187RA3",5.75,5.56,5.699,6.193,6.694,6.873,7.324,7.207,6.21,7.959,7.797
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
