"","Table 2#4#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"32","25","  Nondurable goods","DNDGRG3",12.226,11.593,9.914,8.502,8.46,9.357,9.663,9.696,10.033,9.542,9.393,9.473,10.269,11.952,13.372,14.15,14.771,16.004,18.071,19.18,18.559,18.607,20.201,20.418,20.348,20.398,20.266,20.557,21.159,21.674,21.706,21.965,22.057,22.177,22.398,22.697,23.107,23.846,24.281,25.157,26.245
"33","26","    Food and beverages purchased for off-premises consumption","DFXARG3",11.475,10.738,8.673,7.094,7.133,8.019,8.642,8.656,8.921,8.247,8.166,8.213,9.079,10.857,12.504,12.838,13.229,14.603,16.817,17.649,16.941,17.027,18.817,19.274,18.9,18.889,18.544,18.679,19.245,20.047,19.841,20.007,20.108,20.26,20.473,20.886,21.308,22.207,22.235,22.909,23.936
"34","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRG3",10.138,9.522,7.741,6.371,6.439,7.329,7.878,7.877,8.151,7.466,7.398,7.398,8.151,9.796,11.303,11.371,11.714,13.152,15.481,16.44,15.823,16.029,17.81,18.152,17.81,17.81,17.468,17.604,18.153,18.974,18.759,18.915,19.015,19.162,19.378,19.821,20.235,21.151,21.154,21.809,22.842
"35","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRG3",NA,NA,NA,NA,16.503,15.698,15.359,15.17,15.324,15.472,15.623,16.005,16.999,19.372,21.513,24.218,24.715,25.638,26.378,26.005,25.657,25.049,25.975,27.957,27.497,28.105,27.95,28.218,28.832,28.992,29.256,29.717,29.818,29.958,30.25,30.426,30.606,30.954,31.401,32.111,32.812
"36","29","      Food produced and consumed on farms (6)","DFFDRG3",18.713,16.931,12.88,9.964,9.558,11.017,14.094,14.661,15.147,12.799,12.07,12.394,15.552,19.684,23.979,24.384,25.76,27.623,31.997,33.051,28.678,27.135,31.995,31.755,30.541,28.026,27.054,26.571,27.543,29.407,27.772,27.026,27.063,27.538,26.739,25.862,28.526,31.447,30.219,31.931,35.031
"37","30","    Clothing and footwear","DCLORG3",27.515,26.263,22.944,18.846,19.206,22.266,21.874,21.901,23.052,22.49,21.967,22.216,24.396,29.227,32.663,36.888,40.103,43.426,46.888,49.769,47.625,47.245,51.373,50.504,50.385,50.51,50.373,51.33,52.094,52.316,52.763,53.471,53.779,53.94,54.414,54.926,55.405,56.936,59.283,62.633,66.021
"38","31","      Garments","DGARRG3",29.004,27.756,24.33,19.888,20.545,24.192,23.796,23.785,25.054,24.35,23.732,23.989,26.543,31.985,36.155,41.58,45.666,49.252,52.344,55.371,52.701,52.03,56.182,55.308,55.231,55.14,54.833,55.554,56.227,56.352,56.448,56.969,57.251,57.292,57.782,58.386,58.792,60.062,62.437,66.009,69.473
"39","32","        Women's and girls' clothing (10)","DWGCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.08,66.375,66.491,66.389,66.813,67.375,67.647,68.941,71.879,76.022,79.506
"40","33","        Men's and boys' clothing (11)","DMBCRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.082,47.921,48.496,48.76,49.378,50.084,50.688,52.027,53.896,56.979,60.646
"41","34","        Children's and infants' clothing (12)","DCICRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.804,33.675,32.479,31.839,31.829,31.941,32.104,32.358,32.711,34.109,35.202
"42","35","      Other clothing materials and footwear (13 and 17)","DOCCRG3",20.673,19.542,16.859,14.079,13.724,15.088,14.756,14.868,15.607,15.433,15.192,15.393,16.446,19.347,20.919,22.361,23.548,25.852,29.64,31.883,31.156,31.454,35.076,34.298,34.081,34.764,35.09,36.613,37.574,38.041,39.393,40.566,40.932,41.423,41.822,42.042,42.715,44.98,47.142,49.671,52.684
"43","36","    Gasoline and other energy goods","DGOERG3",6.778,6.556,5.827,5.688,5.567,5.871,5.821,5.977,6.096,5.987,5.781,5.788,6.055,6.413,6.638,6.779,6.768,7.036,7.907,9.001,9.134,9.236,9.492,9.664,10.034,10.197,10.305,10.627,11.116,10.992,11.147,11.345,11.359,11.416,11.445,11.338,11.725,12.004,12.396,12.622,13.009
"44","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRG3",8.308,7.934,6.709,6.978,6.918,7.262,7.277,7.515,7.694,7.485,7.142,7.022,7.336,7.68,7.755,7.77,7.71,7.904,8.86,9.936,10.145,10.16,10.369,10.579,11.027,11.266,11.385,11.729,12.237,12.117,12.289,12.644,12.52,12.598,12.568,12.486,12.958,13.256,13.694,13.896,14.354
"45","38","      Fuel oil and other fuels (29)","DFULRG3",3.506,3.442,3.241,2.924,2.814,2.986,2.919,2.972,3.015,3.006,2.959,3.046,3.193,3.435,3.635,3.76,3.772,3.98,4.487,5.217,5.242,5.388,5.605,5.685,5.853,5.878,5.942,6.142,6.465,6.371,6.46,6.365,6.601,6.609,6.734,6.611,6.755,6.934,7.149,7.377,7.532
"46","39","    Other nondurable goods","DONGRG3",11.316,10.916,10.4,9.824,9.332,9.568,9.557,9.511,9.847,9.687,9.594,9.77,10.072,11.01,11.753,12.434,12.858,13.453,15.306,16.157,15.804,15.874,16.908,16.973,17.225,17.271,17.45,17.749,18.317,18.76,19.065,19.361,19.408,19.472,19.742,20.035,20.314,20.719,21.226,22.039,22.855
"47","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRG3",15.058,14.977,14.705,14.147,13.399,12.88,12.542,12.549,12.644,12.736,12.676,12.662,12.814,13.127,13.203,13.304,13.399,13.671,14.779,15.655,15.907,16.104,16.684,16.901,17.032,17.19,17.365,17.756,18.3,18.924,19.207,19.166,18.694,18.15,17.835,17.746,17.682,17.72,17.593,17.572,17.769
"48","41","      Recreational items (parts of 80, 92, and 93)","DREIRG3",22.724,22.168,19.245,15.672,15.941,18.74,20.234,19.712,22.719,19.906,18.272,19.152,19.226,23.492,26.299,29.712,30.985,32.024,35.016,38.587,37.565,37.106,39.417,40.719,39.944,38.963,39.888,39.764,40.588,41.101,41.167,41.916,42.588,43.294,43.919,44.837,44.887,45.219,46.226,48.356,50.649
"49","42","      Household supplies (parts of 32 and 36)","DHOURG3",15.784,15.065,13.009,11.189,11.4,12.038,12.003,11.925,12.192,11.596,11.233,11.376,12.377,14.864,16.338,17.884,18.867,20.149,25.659,26.791,23.711,23.618,26.056,24.284,24.238,24.439,24.487,24.7,25.351,25.765,25.961,26.242,26.176,26.095,26.199,26.191,26.295,26.693,27.395,28.186,28.809
"50","43","      Personal care products (part of 118)","DOPCRG3",18.649,18.3,17.676,17.255,17.172,15.734,15.498,15.528,15.791,15.831,15.736,15.584,16.097,17.483,17.782,18.575,18.898,19.716,23.556,24.243,23.441,22.829,25.256,24.491,24.597,24.515,24.716,25.485,26.298,27.394,27.59,27.569,27.506,27.763,27.852,27.887,27.778,27.43,27.908,28.757,30.054
"51","44","      Tobacco (127)","DTOBRG3",4.028,3.798,3.867,3.867,3.43,3.544,3.51,3.487,3.579,3.602,3.66,3.763,3.855,3.97,4.223,4.362,4.557,4.707,5.064,5.259,5.374,5.478,5.651,5.904,6.191,6.238,6.295,6.422,6.629,6.756,7.023,7.257,7.315,7.373,7.597,7.777,8.107,8.545,8.865,9.423,9.926
"52","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRG3",7.294,7.186,6.955,6.819,6.549,6.604,6.588,6.652,6.82,7.013,7.07,7.158,7.162,7.584,8.16,8.559,8.683,8.969,9.8,10.658,11.118,11.377,11.877,12.416,12.792,12.893,13.255,13.591,14.381,15.048,15.27,15.528,15.76,16.021,16.706,17.615,18.151,18.782,19.517,20.568,21.391
"53","46","      Net expenditures abroad by U.S. residents (131)","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","47","Services","DSERRG3",7.786,7.563,7.031,6.352,5.953,5.876,6.006,6.103,6.33,6.336,6.319,6.369,6.594,7.059,7.5,7.845,8.101,8.593,9.22,9.706,9.872,10.125,10.624,11.012,11.44,11.728,11.93,12.217,12.574,12.882,13.229,13.58,13.826,14.089,14.305,14.572,14.845,15.276,15.785,16.467,17.324
"55","48","  Household consumption expenditures (for services)","DHCERG3",7.513,7.301,6.792,6.128,5.737,5.647,5.775,5.866,6.081,6.093,6.076,6.125,6.339,6.783,7.205,7.536,7.781,8.243,8.819,9.277,9.437,9.675,10.141,10.523,10.939,11.214,11.405,11.67,12.006,12.299,12.635,13.012,13.251,13.506,13.712,13.976,14.233,14.642,15.13,15.787,16.603
"56","49","    Housing and utilities","DHUTRG3",13.078,12.729,12.069,10.94,9.942,9.184,9.214,9.364,9.713,9.958,9.937,9.963,10.097,10.311,10.366,10.446,10.555,10.732,11.076,11.667,12.005,12.369,12.845,13.342,13.948,14.327,14.548,14.768,15.031,15.319,15.567,15.86,16.072,16.244,16.417,16.563,16.704,16.935,17.226,17.62,18.185
"57","50","      Housing","DHSGRG3",13.121,12.748,12.023,10.765,9.661,8.81,8.851,9.051,9.474,9.773,9.767,9.799,9.966,10.22,10.285,10.374,10.499,10.743,11.15,11.837,12.229,12.647,13.201,13.764,14.467,14.906,15.122,15.38,15.668,15.982,16.252,16.511,16.739,16.944,17.152,17.327,17.499,17.764,18.105,18.549,19.162
"58","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRG3",13.581,13.22,12.516,11.239,10.495,9.047,9.047,9.26,9.686,10.005,10.005,10.047,10.217,10.43,10.452,10.473,10.516,10.58,10.92,11.644,12.155,12.581,13.092,13.624,14.347,14.857,15.071,15.347,15.624,15.922,16.141,16.38,16.592,16.797,16.984,17.134,17.31,17.556,17.859,18.299,18.882
"59","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRG3",13.698,13.332,12.624,11.334,9.768,9.145,9.124,9.339,9.768,10.09,10.091,10.133,10.304,10.542,10.541,10.562,10.605,10.67,11.013,11.742,12.258,12.687,13.203,13.739,14.49,14.984,15.199,15.478,15.757,16.058,16.276,16.526,16.731,16.926,17.114,17.279,17.445,17.69,18.016,18.456,19.039
"60","53","        Rental value of farm dwellings (22)","DFARRG3",10.106,9.613,8.651,7.463,6.944,7.287,7.781,7.889,8.316,8.458,8.383,8.341,8.5,9.052,9.68,10.525,11.629,14.072,15.36,15.62,14.331,14.674,15.896,17.017,17.159,16.532,16.791,16.649,17.1,17.77,19.292,19.883,20.726,21.153,21.999,22.627,22.89,23.828,25,25.665,27.409
"61","54","        Group housing (23)","DGRHRG3",10.579,10.371,9.816,8.962,8.049,7.584,7.578,7.726,8.095,8.31,8.386,8.282,8.408,8.874,9.246,9.384,9.502,9.717,10.23,10.838,11.307,11.679,12.448,12.989,13.576,14,14.373,14.818,15.379,15.795,16.17,16.418,16.531,16.712,16.952,17.108,17.361,17.614,17.888,18.184,18.924
"62","55","      Household utilities","DUTLRG3",12.953,12.777,12.564,12.316,12.034,11.91,11.864,11.687,11.573,11.49,11.372,11.364,11.304,11.294,11.285,11.321,11.338,11.15,11.164,11.276,11.349,11.46,11.581,11.787,11.967,12.094,12.336,12.4,12.565,12.751,12.909,13.337,13.485,13.534,13.57,13.603,13.629,13.731,13.83,14.032,14.414
"63","56","        Water supply and sanitation (25)","DWRSRG3",4.059,4.06,4.06,3.927,3.573,3.618,3.795,3.794,3.794,3.795,3.75,3.838,3.794,3.839,3.838,3.927,4.015,4.103,4.28,4.412,4.456,4.72,4.897,5.339,5.648,5.956,6.53,6.706,7.235,7.677,7.989,8.242,8.458,8.676,8.941,9.073,9.297,9.641,9.864,10.334,11.033
"64","57","        Electricity and gas","DELGRG3",16.575,16.295,15.957,15.693,15.593,15.347,15.082,14.799,14.617,14.486,14.342,14.248,14.194,14.139,14.127,14.108,14.063,13.713,13.61,13.689,13.768,13.78,13.861,13.941,14.054,14.1,14.212,14.235,14.279,14.39,14.507,14.992,15.12,15.121,15.087,15.09,15.056,15.086,15.151,15.282,15.583
"65","58","          Electricity (27)","DELCRG3",24.898,24.11,23.188,22.49,22.232,21.614,20.967,20.29,19.863,19.564,19.244,19.036,18.918,18.801,18.774,18.732,18.636,17.902,17.687,17.852,18.016,18.039,18.208,18.372,18.606,18.701,18.936,18.984,19.079,19.319,19.575,19.865,19.939,19.939,19.865,19.798,19.724,19.724,19.865,20.014,20.452
"66","59","          Natural gas (28)","DGHERG3",7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,7.726,8.213,8.344,8.344,8.344,8.391,8.391,8.433,8.433,8.522,8.658
"67","60","    Health care","DHLCRG3",2.939,2.946,2.74,2.414,2.378,2.465,2.608,2.661,2.733,2.788,2.769,2.856,2.927,3.114,3.362,3.61,3.772,4.092,4.533,4.788,4.855,4.958,5.185,5.44,5.699,5.896,6.104,6.321,6.583,6.839,7.035,7.508,7.677,7.872,8.094,8.37,8.631,9.015,9.589,10.194,10.913
"68","61","      Outpatient services","DOUTRG3",4.317,4.421,4.092,3.505,3.506,3.617,3.849,3.927,4.008,4.164,4.122,4.273,4.351,4.602,4.986,5.332,5.485,5.761,6.102,6.366,6.438,6.482,6.646,6.974,7.344,7.656,7.954,8.274,8.578,8.867,9.16,9.376,9.56,9.839,10.073,10.34,10.677,11.283,12.007,12.677,13.589
"69","62","        Physician services (44)","DPHYRG3",4.118,4.211,3.9,3.357,3.372,3.48,3.699,3.776,3.839,3.978,3.947,4.087,4.164,4.397,4.786,5.097,5.222,5.469,5.764,5.998,6.029,6.06,6.215,6.557,6.899,7.179,7.505,7.832,8.158,8.437,8.717,8.93,9.139,9.404,9.617,9.883,10.2,10.843,11.579,12.222,13.122
"70","63","        Dental services (45)","DDENRG3",3.869,3.977,3.679,3.099,3.072,3.153,3.383,3.438,3.557,3.705,3.666,3.813,3.854,4.111,4.395,4.745,4.948,5.242,5.623,5.917,6.093,6.159,6.319,6.525,6.899,7.211,7.36,7.588,7.777,8.005,8.208,8.371,8.417,8.659,8.894,9.136,9.434,9.74,10.229,10.784,11.551
"71","64","        Paramedical services (46)","DPMSRG3",4.938,5.049,4.66,4.05,4.051,4.217,4.439,4.551,4.607,4.828,4.718,4.885,5.049,5.272,5.772,6.159,6.27,6.547,6.935,7.213,7.27,7.325,7.492,7.88,8.266,8.658,9.044,9.433,9.767,10.155,10.641,10.914,11.18,11.522,11.795,12.056,12.467,13.241,14.132,14.957,15.957
"72","65","      Hospital and nursing home services","DHPNRG3",1.859,1.756,1.653,1.549,1.48,1.549,1.618,1.652,1.721,1.687,1.687,1.721,1.79,1.928,2.066,2.238,2.41,2.789,3.374,3.649,3.718,3.89,4.2,4.407,4.579,4.682,4.82,4.957,5.198,5.439,5.561,6.283,6.449,6.581,6.803,7.1,7.308,7.528,8.003,8.566,9.159
"73","66","        Hospitals (51)","DHSPRG3",1.738,1.641,1.545,1.448,1.384,1.448,1.512,1.545,1.609,1.577,1.577,1.609,1.673,1.802,1.931,2.092,2.253,2.607,3.154,3.411,3.476,3.636,3.926,4.119,4.28,4.377,4.505,4.634,4.859,5.085,5.198,5.905,6.062,6.188,6.391,6.672,6.869,7.073,7.519,8.043,8.608
