"","Table 6#21B# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"13","6","  Mining","A3406C0",-189,14,-27,-765,-672,-2185,3799,1587,-175,-1243,-1211,959,-1078,-5804,-6368,-5264,-7352,-7727,-4750
"14","7","    Metal mining","B3407C0",-94,-18,-168,-130,137,183,-104,81,-83,-239,155,-119,-215,-668,-468,-615,-1137,-975,-1411
"15","8","    Coal mining","B3408C0",76,268,143,101,194,1179,960,627,352,10,-33,149,330,181,-61,1,-238,-196,2
"16","9","    Oil and gas extraction","B3409C0",-308,-313,-136,-866,-1273,-3887,2685,604,-697,-1496,-1926,323,-1549,-5335,-5898,-5007,-6116,-6667,-3428
"17","10","    Nonmetallic minerals, except fuels","B3410C0",137,77,134,130,270,340,258,275,253,482,593,606,356,18,59,357,139,111,87
"18","11","  Construction","B3411C0",1003,992,1192,1118,1116,1076,1267,1703,2844,3722,3868,3206,1663,1033,156,1481,2558,4182,7455
"19","12","  Manufacturing","A3412C0",10793,6309,11023,15759,24441,31979,23039,33065,38684,45668,53875,40548,42527,24139,23019,29210,23784,-5426,20778
"20","13","    Durable goods","A3413C0",5128,1067,4397,7937,10854,10055,8832,12894,19550,23632,22647,6591,4438,-3816,2637,11855,6214,2658,14603
"21","14","      Lumber and wood products","B3414C0",752,288,568,828,1443,961,570,1373,1823,2460,2540,688,-924,-751,1072,1340,318,1232,2950
"22","15","      Furniture and fixtures","B3415C0",188,128,146,225,211,171,176,272,374,445,438,368,412,353,573,518,704,544,807
"23","16","      Stone, clay, and glass products","B3416C0",319,203,403,540,633,534,507,890,1203,1402,1618,724,-153,-1756,184,1035,1239,1956,1154
"24","17","      Primary metal industries","B3417C0",490,-107,227,614,1291,3535,1054,894,49,1824,2714,1185,511,-5387,-5131,-2138,-2856,-269,2170
"25","18","      Fabricated metal products","B3418C0",711,340,478,962,1499,1810,1564,1994,2504,2813,3391,2345,2280,584,760,1586,1986,1948,3363
"26","19","      Machinery, except electrical","B3419C0",1127,807,802,1620,2309,2327,2668,2742,4522,5715,6413,4198,4291,404,-34,736,547,-3391,982
"27","20","      Electric and electronic equipment","B3420C0",333,-275,-22,744,1069,301,870,1251,3228,3349,2508,2822,2178,-1120,-29,944,-1218,-2223,236
"28","21","      Motor vehicles and equipment","B3421C0",802,-321,1645,1738,1412,-509,122,2260,4275,4183,2687,-4407,-286,1102,3249,4709,4172,1057,-1055
"29","22","      Other transportation equipment","B3422C0",-241,-435,-273,-8,110,218,341,17,-66,-387,-1197,-2567,-5464,2301,2244,2392,1900,3094,3839
"30","23","      Instruments and related products","B3423C0",487,305,301,386,465,380,507,685,1033,1212,887,912,1112,234,148,416,-866,-1166,-241
"31","24","      Miscellaneous manufacturing industries","B3424C0",160,134,122,287,412,327,453,516,604,616,648,323,481,220,-399,317,288,-124,397
"32","25","    Nondurable goods","A3425C0",5665,5242,6626,7821,13586,21924,14207,20171,19134,22036,31228,33957,38089,27955,20382,17355,17570,-8084,6175
"33","26","      Food and kindred products","B3426C0",851,912,1132,969,1604,1761,2942,2645,2610,2740,2745,2286,2611,2065,1560,1779,1396,926,1828
"34","27","      Tobacco manufactures","B3427C0",141,188,249,211,187,231,326,357,400,713,612,739,440,335,285,-41,1078,219,727
"35","28","      Textile mill products","B3428C0",289,219,310,377,510,220,171,497,561,890,571,654,464,301,741,459,323,788,1072
"36","29","      Apparel and other textile products","B3429C0",296,286,370,559,524,347,620,631,766,829,776,740,850,901,1223,689,375,503,857
"37","30","      Paper and allied products","B3430C0",558,336,315,652,1134,1472,985,1244,1422,1625,2466,1512,1397,1196,916,1607,1051,1782,3038
"38","31","      Printing and publishing","B3431C0",690,627,728,858,1055,1046,1310,1478,1871,2254,2515,2444,1972,1572,2321,3121,3017,2630,2459
"39","32","      Chemicals and allied products","B3432C0",795,672,837,1360,2117,2549,1988,2598,2050,1798,2056,424,1206,-2252,-563,-172,-2389,-2584,1833
"40","33","      Petroleum and coal products","B3433C0",1648,1872,2324,2357,5848,13793,5348,10026,8535,10030,18432,24438,28045,22760,12570,8564,10961,-13466,-7060
"41","34","      Rubber and miscellaneous plastics products","B3434C0",345,112,311,423,569,456,391,452,774,935,798,388,797,876,1155,1168,1658,1013,1138
"42","35","      Leather and leather products","B3435C0",52,18,50,55,38,49,126,243,145,222,257,332,307,201,174,181,100,105,284
"43","36","  Transportation and public utilities","A3436C0",523,-693,-389,-167,-863,-800,151,2518,4141,4419,2021,1432,665,-88,423,4412,-3825,-6350,-2731
"44","37","    Transportation","A3437C0",-613,-1173,-477,-52,-19,840,-381,1072,1776,1842,1418,372,-1221,-3097,-833,1714,-2066,-2363,-231
"45","38","      Railroad transportation","B3438C0",-418,-748,-592,-522,-503,38,-529,-348,0,-453,188,468,-729,-1114,-730,698,-290,-445,-395
"46","39","      Local and interurban passenger transit","B3439C0",3,-27,-44,-4,4,21,29,58,72,79,119,143,103,94,171,58,50,-5,-58
"47","40","      Trucking and warehousing","B3440C0",232,182,418,512,459,440,356,738,819,961,763,385,559,158,945,1104,833,1207,758
"48","41","      Water transportation","B3441C0",-16,-36,-83,-63,-42,165,69,113,125,119,29,13,-234,-485,-629,-683,-840,-723,-240
"49","42","      Transportation by air","B3442C0",-354,-512,-193,4,77,96,-392,398,708,934,-257,-1075,-1467,-2082,-882,458,-1838,-2192,-521
"50","43","      Pipelines, except natural gas","B3443C0",-33,-29,3,3,-7,75,70,39,-16,135,399,403,500,414,244,69,119,-45,145
"51","44","      Transportation services","B3444C0",-27,-3,14,18,-7,5,16,74,68,67,177,35,47,-82,48,10,-100,-160,79
"52","45","    Communication","A3445C0",969,696,377,344,446,196,636,1012,1265,1986,1203,1101,1301,589,776,398,244,1391,1143
"53","46","      Telephone and telegraph","B3446C0",925,665,330,165,292,32,436,571,701,1329,600,696,946,560,1102,356,636,3002,2127
"54","47","      Radio and television","B3447C0",44,31,47,179,154,164,200,441,564,657,603,405,355,29,-326,42,-392,-1611,-983
"55","48","    Electric, gas, and sanitary services","B3448C0",167,-216,-289,-459,-1290,-1836,-104,434,1100,591,-600,-41,585,2420,480,2300,-2003,-5378,-3643
"56","49","  Wholesale trade","B3449C0",2750,2804,3043,5227,8230,10675,8628,8533,9288,11666,14968,13304,13595,8761,10309,14684,6265,7266,9528
"57","50","  Retail trade","B3450C0",3174,3112,3656,3751,4452,4158,5376,6454,8308,9448,8806,6505,5817,7194,8917,10540,10956,10320,11649
"58","51","  Finance, insurance, and real estate","A3451C0",5644,5717,7216,7988,7958,7450,7921,10575,15517,19003,17495,11489,1929,-2904,4927,-4415,-3102,315,1893
"59","52","    Banking","J3452C0",4072,3870,3585,4027,4468,4849,5575,6028,5377,6148,6232,4804,4876,5647,8912,8848,13771,16807,16393
"60","53","      Federal Reserve banks","B3453C0",17,-9,-89,67,86,78,173,-55,112,576,87,22,294,-39,272,286,-1553,-2398,-1609
"61","54","      Commercial and mutual banks","J3454C0",4055,3879,3674,3960,4382,4771,5402,6083,5265,5572,6145,4782,4582,5686,8640,8562,15324,19205,18002
"62","55","    Credit agencies other than banks","J3455C0",975,954,1612,1981,2370,2031,1840,2715,3818,4492,3594,-981,-7912,-7866,-1083,-1654,-826,-772,3362
"63","56","    Security and commodity brokers","B3456C0",-93,-320,-65,-92,55,-29,135,-422,-338,36,-283,-74,-712,-1420,-355,-1584,-670,-1759,-337
"64","57","    Insurance carriers","B3457C0",671,1519,2604,3081,2721,1827,1286,2987,6822,7492,7480,8484,7430,4584,2027,-3386,-8061,-8089,-8371
"65","58","    Insurance agents, brokers, and service","B3458C0",155,182,246,217,89,245,249,249,681,651,565,477,504,380,251,96,524,640,1682
"66","59","    Real estate","B3459C0",64,-113,-47,-349,-651,-848,-711,-309,235,440,376,-839,-3021,-3946,-3613,-5918,-6968,-7567,-4099
"67","60","    Holding and other investment offices","B3460C0",-200,-375,-719,-877,-1094,-625,-453,-673,-1078,-256,-469,-382,764,-283,-1212,-817,-872,1055,-6738
"68","61","  Services","A3461C0",643,562,801,1272,1852,1663,2355,3144,4653,5434,5675,6137,6733,6250,6192,5810,5794,5454,4136
"69","62","    Hotels and other lodging places","B3462C0",55,-64,-114,-17,-110,-175,-63,85,147,394,395,313,33,-148,-305,-491,-713,-1148,-2368
"70","63","    Personal services","B3463C0",142,119,130,160,153,222,244,237,299,333,320,367,396,503,383,511,260,281,388
"71","64","    Business services","B3464C0",78,11,203,403,682,300,617,813,1501,1581,1464,1255,1416,1557,1128,1574,1200,1576,965
"72","65","    Auto repair, services, and parking","B3465C0",87,34,39,63,126,94,134,248,302,236,177,91,149,96,29,-120,-511,-344,-559
"73","66","    Miscellaneous repair services","B3466C0",45,40,33,48,59,103,102,110,159,183,155,199,216,133,176,127,152,260,385
"74","67","    Motion pictures","B3467C0",-21,91,47,75,114,164,206,309,323,571,581,442,447,440,245,-185,-39,-378,-1062
"75","68","    Amusement and recreation services","B3468C0",23,41,82,-19,10,85,123,192,228,257,275,250,202,95,-197,-814,-458,-662,-982
"76","69","    Other services","A3469C0",234,290,381,559,818,870,992,1150,1694,1879,2308,3220,3874,3574,4733,5208,5903,5869,7370
"77","70","      Health services","B3470C0",119,218,267,403,518,660,828,848,1151,1298,1596,2176,2573,2672,3494,3576,3830,3804,4333
"78","71","      Legal services","B3471C0",5,18,38,34,57,62,85,101,137,156,214,233,358,543,733,818,860,1207,1409
"79","72","      Educational services","B3472C0",-12,-42,-26,-15,17,14,65,56,93,125,51,185,91,85,128,170,157,48,266
"80","73","      Other \1\","B3473C0",122,96,102,137,226,134,14,145,313,300,447,626,852,274,378,644,1056,810,1361
"81","74","Rest of the world","A3474C0",2759,3164,3165,4640,8098,7704,8075,7589,8034,11685,18570,18723,14234,16198,22914,24274,26262,21591,31307
"82","75","  Receipts from the rest of the world \2\","B3475C0",3198,3610,3716,5220,9019,8780,9284,9262,9641,14280,22652,22353,17346,12816,21577,26453,25810,20845,31011
"83","76","  Less: Payments to the rest of the world \3\","B3476C0",439,446,551,580,921,1076,1209,1673,1607,2595,4082,3630,3112,-3382,-1337,2179,-452,-746,-296
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of social services, membership organizations, and miscellaneous professional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","2. Consists of receipts by all U.S. residents of their share of the reinvested earnings of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","their incorporated foreign affiliates and reinvested earnings of their unincorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","affiliates.  Prior to 1982, reinvested earnings of unincorporated foreign affiliates were",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","3. Consists of payments to foreign residents of their share of the reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated U.S. affiliates and reinvested earnings of their unincorporated U.S. affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Prior to 1980, reinvested earnings of unincorporated  U.S. affiliates were treated as dividends.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
