"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"38","20","Equals: Personal saving","A071RC1","348,067.0","285,386.0","270,683.0","286,257.0","281,141.0","280,424.0","341,478.0","207,780.0","213,096.0","204,916.0","282,200.0","289,755.0","303,731.0","127,692.0","234,952.0"
"39","21","    Personal saving as a percentage of disposable personal income","A072RC1","7.3","5.8","5.2","5.2","4.9","4.6","5.3","3.1","2.9","2.7","3.5","3.5","3.4","1.4","2.4"
"40","22","Household income","W380RC1","5,321,108.0","5,542,895.0","5,847,613.0","6,166,966.0","6,558,241.0","6,965,950.0","7,499,810.0","7,883,680.0","8,530,854.0","8,865,167.0","9,050,270.0","9,371,205.0","9,929,826.0","10,470,729.0","11,252,436.0"
"41","23","  Compensation of employees, received","W209RC1","3,647,184.0","3,790,648.0","3,980,915.0","4,178,809.0","4,387,716.0","4,668,553.0","5,023,947.0","5,348,788.0","5,788,849.0","5,979,318.0","6,110,816.0","6,367,589.0","6,708,407.0","7,060,041.0","7,475,746.0"
"42","24","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","414,921.0","449,616.0","485,105.0","516,025.0","583,683.0","628,233.0","687,531.0","746,802.0","817,458.0","870,725.0","890,292.0","930,646.0","1,033,756.0","1,069,782.0","1,132,961.0"
"43","25","  Rental income of households with capital consumption adjustment","W381RC1","83,066.0","112,346.0","140,828.0","152,003.0","167,645.0","173,413.0","187,997.0","204,515.0","211,689.0","228,388.0","214,585.0","200,329.0","194,575.0","174,568.0","142,735.0"
"44","26","  Household income receipts on assets","W382RC1","877,923.0","868,424.0","912,706.0","965,127.0","1,038,040.0","1,119,661.0","1,229,705.0","1,204,496.0","1,314,987.0","1,307,405.0","1,276,067.0","1,279,369.0","1,371,000.0","1,496,813.0","1,778,841.0"
"45","27","    Household interest income","W383RC1","700,642.0","677,550.0","690,164.0","726,416.0","757,915.0","804,890.0","892,840.0","880,292.0","948,443.0","947,655.0","888,537.0","869,225.0","837,797.0","960,511.0","1,097,160.0"
"46","28","    Household dividend income","W384RC1","177,281.0","190,874.0","222,543.0","238,710.0","280,125.0","314,771.0","336,864.0","324,204.0","366,544.0","359,750.0","387,530.0","410,144.0","533,203.0","536,302.0","681,681.0"
"47","29","  Household current transfer receipts","W385RC1","752,965.0","799,286.0","836,238.0","887,802.0","936,235.0","963,331.0","995,281.0","1,040,364.0","1,103,711.0","1,212,527.0","1,309,963.0","1,372,188.0","1,449,396.0","1,542,243.0","1,643,982.0"
"48","30","    Government social benefits","W401RC1","721,307.0","767,536.0","803,610.0","850,299.0","890,991.0","919,562.0","940,990.0","975,992.0","1,028,325.0","1,127,306.0","1,232,428.0","1,299,432.0","1,381,181.0","1,465,303.0","1,566,026.0"
"49","31","    From business (net)","W379RC1","10,438.0","7,957.0","6,657.0","11,653.0","15,202.0","11,506.0","17,080.0","22,848.0","31,268.0","34,022.0","23,327.0","15,541.0","6,714.0","10,808.0","8,785.0"
"50","32","    From nonprofit institutions \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,132.0","69,171.0"
"51","33","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,453.0","778,917.0","827,308.0","872,717.0","921,829.0"
"52","34","Less: Household current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,418.0","1,000,347.0","1,047,821.0","1,208,589.0","1,352,402.0"
"53","35","Equals: Disposable household income","W388RC1","4,710,577.0","4,896,362.0","5,157,109.0","5,423,068.0","5,726,286.0","6,039,799.0","6,473,383.0","6,776,154.0","7,298,595.0","7,630,335.0","7,999,852.0","8,370,858.0","8,882,005.0","9,262,140.0","9,900,034.0"
"54","36","Less: Household outlays","W389RC1","4,378,762.0","4,625,455.0","4,898,344.0","5,152,262.0","5,466,789.0","5,799,241.0","6,153,952.0","6,596,006.0","7,117,223.0","7,421,469.0","7,691,562.0","8,046,685.0","8,569,120.0","9,138,493.0","9,650,897.0"
"55","37","        Household consumption expenditures","W390RC1","4,144,548.0","4,388,967.0","4,648,436.0","4,880,109.0","5,157,890.0","5,458,375.0","5,787,490.0","6,197,380.0","6,665,004.0","6,962,605.0","7,234,185.0","7,592,197.0","8,075,063.0","8,604,923.0","9,082,314.0"
"56","38","          Purchases from business and government","W391RC1","3,836,092.0","4,060,286.0","4,306,121.0","4,523,893.0","4,784,799.0","5,061,339.0","5,367,938.0","5,757,510.0","6,198,393.0","6,460,797.0","6,689,506.0","7,018,169.0","7,457,360.0","7,944,366.0","8,389,056.0"
"57","39","          Purchases from nonprofit institutions \3\","W392RC1","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0"
"58","40","        Household interest payments \1\","B069RC1","111,286.0","106,996.0","113,001.0","130,573.0","147,308.0","159,679.0","169,454.0","176,504.0","200,308.0","203,735.0","191,274.0","182,669.0","190,289.0","210,834.0","230,082.0"
"59","41","        Household transfer payments","W394RC1","122,928.0","129,492.0","136,908.0","141,581.0","161,591.0","181,187.0","197,008.0","222,122.0","251,911.0","255,130.0","266,103.0","271,819.0","303,769.0","322,735.0","338,500.0"
"60","42","          To government","W395RC1","25,808.0","28,366.0","30,704.0","32,369.0","34,562.0","37,697.0","39,340.0","43,332.0","48,125.0","52,616.0","56,146.0","59,823.0","66,248.0","70,787.0","75,586.0"
"61","43","          To the rest of the world (net)","W396RC1","12,747.0","14,829.0","16,523.0","17,713.0","19,559.0","21,711.0","23,745.0","25,666.0","27,740.0","30,870.0","33,174.0","33,139.0","35,793.0","38,556.0","41,849.0"
"62","44","          To nonprofit institutions \4\","W397RC1","84,373.0","86,297.0","89,681.0","91,499.0","107,470.0","121,779.0","133,924.0","153,124.0","176,045.0","171,644.0","176,783.0","178,857.0","201,728.0","213,392.0","221,065.0"
"63","45","Equals: Household saving","W398RC1","331,815.0","270,907.0","258,764.0","270,806.0","259,498.0","240,558.0","319,431.0","180,148.0","181,372.0","208,865.0","308,290.0","324,173.0","312,884.0","123,648.0","249,138.0"
"64","46","    Household saving as a percentage of household disposable income","W399RC1","7.0","5.5","5.0","5.0","4.5","4.0","4.9","2.7","2.5","2.7","3.9","3.9","3.5","1.3","2.5"
"65","47","Nonprofit institution income","W400RC1","131,746.0","135,343.0","142,856.0","151,294.0","170,850.0","188,832.0","196,701.0","221,802.0","248,743.0","240,968.0","240,819.0","242,993.0","270,641.0","294,675.0","305,877.0"
"66","48","  Rental income of nonprofit institutions with capital consumption adjustment","W159RC1","1,553.0","1,743.0","2,086.0","2,564.0","2,795.0","3,135.0","3,471.0","3,641.0","3,586.0","3,983.0","4,153.0","3,834.0","3,808.0","3,642.0","3,785.0"
"67","49","  Nonprofit institution income receipts on assets","W402RC1","31,799.0","32,029.0","34,961.0","40,236.0","42,701.0","45,790.0","39,459.0","42,293.0","45,692.0","38,563.0","33,495.0","33,527.0","37,483.0","45,173.0","50,835.0"
"68","50","    Nonprofit institution interest income","W403RC1","21,518.0","20,559.0","22,536.0","25,506.0","26,457.0","30,881.0","26,505.0","30,597.0","35,725.0","28,817.0","23,320.0","20,550.0","22,402.0","26,463.0","30,322.0"
"69","51","    Nonprofit institution dividend income","W404RC1","10,281.0","11,470.0","12,424.0","14,731.0","16,244.0","14,909.0","12,955.0","11,696.0","9,967.0","9,746.0","10,175.0","12,977.0","15,081.0","18,710.0","20,513.0"
"70","52","  Nonprofit institution transfer receipts","W405RC1","98,394.0","101,571.0","105,810.0","108,494.0","125,354.0","139,907.0","153,770.0","175,868.0","199,464.0","198,422.0","203,171.0","205,632.0","229,349.0","245,859.0","251,257.0"
"71","53","    From government","W406RC1","8,172.0","9,177.0","9,530.0","9,920.0","10,207.0","10,188.0","10,932.0","11,620.0","12,253.0","14,031.0","15,521.0","16,615.0","17,394.0","17,439.0","17,604.0"
"72","54","    From business (net)","W407RC1","5,849.0","6,097.0","6,598.0","7,075.0","7,676.0","7,940.0","8,915.0","11,124.0","11,166.0","12,746.0","10,867.0","10,160.0","10,228.0","15,028.0","12,588.0"
"73","55","    From households \4\","W397RC1","84,373.0","86,297.0","89,681.0","91,499.0","107,470.0","121,779.0","133,924.0","153,124.0","176,045.0","171,644.0","176,783.0","178,857.0","201,728.0","213,392.0","221,065.0"
"74","56","Less: Nonprofit institution outlays","W412RC1","115,496.0","120,859.0","130,936.0","135,841.0","149,203.0","148,965.0","174,650.0","194,172.0","217,020.0","244,920.0","266,907.0","277,409.0","279,790.0","290,629.0","320,065.0"
"75","57","      Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRC1","92,343.0","94,622.0","102,369.0","107,170.0","115,715.0","112,248.0","130,995.0","145,407.0","165,368.0","186,204.0","205,005.0","211,815.0","210,013.0","214,075.0","240,350.0"
"76","58","        Gross output of nonprofit institutions \5\","DNPERC1","400,799.0","423,303.0","444,684.0","463,386.0","488,806.0","509,284.0","550,547.0","585,277.0","631,979.0","688,012.0","749,684.0","785,843.0","827,716.0","874,632.0","933,608.0"
"77","59","          Health","DHLGRC1","228,995.0","243,883.0","253,730.0","263,358.0","273,952.0","287,730.0","308,350.0","324,629.0","342,344.0","369,032.0","403,445.0","427,648.0","453,710.0","484,086.0","515,085.0"
"78","60","          Recreation","DRCGRC1","14,575.0","15,563.0","16,154.0","16,823.0","17,220.0","17,968.0","19,024.0","20,921.0","23,079.0","25,072.0","26,548.0","27,644.0","27,709.0","29,671.0","31,815.0"
"79","61","          Education","DEDGRC1","56,504.0","59,792.0","63,065.0","66,967.0","71,775.0","74,673.0","80,831.0","86,252.0","93,750.0","102,993.0","110,449.0","115,469.0","120,919.0","129,406.0","140,283.0"
"80","62","          Social services","DSSGRC1","31,032.0","33,384.0","35,334.0","38,283.0","40,715.0","44,591.0","50,028.0","56,507.0","65,411.0","75,469.0","82,548.0","86,933.0","87,982.0","92,018.0","95,166.0"
"81","63","          Religious organizations","DREORC1","31,372.0","33,017.0","36,624.0","38,628.0","42,630.0","44,223.0","47,751.0","49,766.0","53,557.0","58,066.0","61,716.0","62,825.0","66,763.0","69,634.0","72,176.0"
"82","64","          Foundations and grantmaking and giving establishments","DFXORC1","9,343.0","9,766.0","9,189.0","9,084.0","8,812.0","8,177.0","9,366.0","11,383.0","13,454.0","16,736.0","18,115.0","18,621.0","19,652.0","20,484.0","22,674.0"
"83","65","          Social advocacy establishments","DSAORC1","3,823.0","4,124.0","4,349.0","4,702.0","4,972.0","5,268.0","5,527.0","6,046.0","6,757.0","7,554.0","9,405.0","10,393.0","10,287.0","10,749.0","11,762.0"
"84","66","          Civic and social organizations","DCIORC1","5,233.0","5,494.0","5,605.0","5,811.0","5,871.0","5,898.0","6,529.0","7,037.0","7,797.0","8,487.0","9,260.0","9,886.0","9,944.0","10,291.0","11,221.0"
"85","67","          Professional advocacy","DSNGRC1","19,921.0","18,279.0","20,634.0","19,731.0","22,860.0","20,756.0","23,142.0","22,736.0","25,831.0","24,603.0","28,198.0","26,424.0","30,751.0","28,292.0","33,427.0"
"86","68","        Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","308,456.0","328,681.0","342,315.0","356,216.0","373,091.0","397,036.0","419,552.0","439,870.0","466,611.0","501,808.0","544,679.0","574,028.0","617,703.0","660,557.0","693,258.0"
"87","69","          Health","DHLRRC1","228,609.0","243,504.0","252,105.0","259,939.0","270,103.0","287,104.0","301,962.0","314,873.0","331,743.0","355,999.0","392,928.0","414,180.0","449,321.0","484,815.0","507,906.0"
"88","70","          Recreation","DRCRRC1","7,420.0","8,089.0","8,554.0","9,064.0","9,358.0","9,812.0","10,176.0","10,955.0","11,529.0","12,148.0","12,180.0","12,560.0","13,076.0","13,788.0","14,541.0"
"89","71","          Education","DEDRRC1","32,079.0","34,100.0","36,168.0","38,469.0","41,888.0","44,634.0","47,579.0","50,412.0","54,181.0","58,526.0","59,625.0","63,170.0","67,358.0","72,102.0","76,740.0"
"90","72","          Social services","DSSRRC1","14,321.0","15,757.0","17,207.0","19,101.0","20,858.0","23,352.0","26,628.0","29,886.0","34,835.0","40,425.0","45,110.0","47,560.0","49,989.0","50,728.0","52,367.0"
"91","73","          Religious organizations","DRELRC1","3,356.0","3,490.0","3,801.0","3,968.0","4,364.0","4,569.0","4,711.0","4,776.0","4,906.0","4,965.0","4,931.0","5,025.0","5,263.0","5,418.0","5,615.0"
"92","74","          Foundations and grantmaking and giving establishments","DGIVRC1","830.0","868.0","817.0","808.0","783.0","917.0","859.0","785.0","702.0","554.0","434.0","448.0","497.0","519.0","608.0"
"93","75","          Social advocacy establishments","DSASRC1","922.0","1,011.0","1,098.0","1,214.0","1,288.0","1,278.0","1,400.0","1,530.0","1,592.0","1,603.0","1,654.0","1,854.0","1,821.0","1,907.0","2,121.0"
"94","76","          Civic and social organizations","DCISRC1","3,881.0","4,173.0","4,394.0","4,692.0","4,881.0","4,917.0","5,365.0","5,557.0","5,866.0","5,960.0","6,120.0","6,651.0","6,960.0","7,135.0","7,729.0"
"95","77","          Professional advocacy","DSNRRC1","17,038.0","17,689.0","18,171.0","18,963.0","19,568.0","20,453.0","20,872.0","21,097.0","21,259.0","21,627.0","21,696.0","22,582.0","23,419.0","24,145.0","25,631.0"
"96","78","      Nonprofit institution current transfer payments","W419RC1","23,153.0","26,237.0","28,567.0","28,671.0","33,488.0","36,717.0","43,655.0","48,765.0","51,652.0","58,716.0","61,902.0","65,594.0","69,777.0","76,554.0","79,715.0"
"97","79","        To government \6\","W420RC1","187.0","203.0","188.0","279.0","369.0","502.0","523.0","730.0","625.0","305.0","234.0","328.0","469.0","624.0","796.0"
"98","80","        To the rest of the world (net)","W421RC1","1,746.0","2,241.0","2,407.0","2,542.0","3,076.0","3,952.0","5,921.0","6,511.0","6,909.0","7,211.0","7,461.0","8,051.0","7,807.0","9,798.0","9,748.0"
"99","81","        To households \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,132.0","69,171.0"
"100","82","Equals: Nonprofit institution saving","W422RC1","16,251.0","14,483.0","11,920.0","15,453.0","21,647.0","39,867.0","22,050.0","27,630.0","31,723.0","-3,952.0","-26,088.0","-34,417.0","-9,149.0","4,046.0","-14,188.0"
"101","83","    Nonprofit institution saving as a percentage of nonprofit income and receipts from sales","W423RC1","3.7","3.1","2.5","3.0","4.0","6.8","3.6","4.2","4.4","-0.5","-3.3","-4.2","-1.0","0.4","-1.4"
"102",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","84","  Nonprofit institution income included in personal income \7\","W424RC1","47,373.0","49,046.0","53,175.0","59,795.0","63,380.0","67,053.0","62,777.0","68,678.0","72,697.0","69,324.0","64,036.0","64,136.0","68,913.0","81,283.0","84,812.0"
"104","85","  Transfer payments between nonprofit institutions \8\","W426RC1","25,439.0","26,898.0","26,315.0","27,970.0","32,466.0","34,264.0","42,169.0","47,494.0","55,075.0","59,263.0","60,290.0","62,598.0","63,894.0","68,837.0","78,521.0"
"105","86","  Nonprofit institution income and receipts from sales","W442RC1","440,202.0","464,024.0","485,171.0","507,510.0","543,941.0","585,868.0","616,253.0","661,672.0","715,354.0","742,776.0","785,498.0","817,021.0","888,344.0","955,232.0","999,135.0"
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","1. Consists of nonmortgage interest paid by households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","2. Includes benefits paid to members, specific assistance to individuals,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","and grants and allocations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","3. Excludes unrelated sales, secondary sales, and sales to business, government, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4. Includes individual contributions and bequests from households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","5. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","government, and the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","6. Consists of excise taxes paid by nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","7. Consists of rental income of nonprofit institutions (line 48), income receipts on assets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","(line 49), transfer receipts from government (line 53), and transfer receipts from business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","(line 54).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","8. Includes grants and allocations made by nonprofit institutions that indirectly support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","households through the support of other nonprofit institutions, plus their payments to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","affiliates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Note. Estimates in this table exclude nonprofit institutions serving business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
