"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169"
"22","3","Plus: Imports of goods and services","A021RX1","199,557.0","238,927.0","235,831.0","233,240.0","232,476.0","237,071.0","236,527.0","240,195.0","237,364.0","255,270.0","260,913.0","243,228.0","278,775.0","268,870.0","274,466.0","286,830.0","300,085.0","291,435.0","283,384.0","285,499.0","275,816.0","290,427.0","285,351.0","282,519.0","254,171.0","233,832.0","253,272.0","266,791.0","283,505.0","295,783.0","307,851.0","318,040.0","333,096.0","336,167.0","331,482.0","336,185.0","358,739.0","359,875.0","364,574.0","369,574.0","368,562.0","370,552.0","364,901.0","372,874.0","373,150.0","346,071.0","321,182.0","338,417.0","352,872.0","353,406.0","349,375.0","359,396.0","349,154.0","343,449.0","359,383.0","345,276.0","353,182.0","380,333.0","409,957.0","430,067.0","464,643.0","484,108.0","496,636.0","511,188.0","499,909.0","524,468.0","519,408.0","539,764.0","539,272.0","562,239.0","577,818.0","582,268.0","578,785.0","593,219.0","604,757.0","618,659.0","615,767.0","608,688.0","623,058.0","642,039.0","645,019.0","648,074.0","647,192.0","658,904.0","679,801.0","678,664.0","675,927.0","657,802.0","650,309.0","661,865.0","680,494.0","695,528.0","700,585.0","712,105.0","723,336.0","740,646.0","756,683.0","772,320.0","782,488.0","813,928.0","832,894.0","863,924.0","888,226.0","913,220.0","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,192,720.0","2,217,475.0","2,244,568.0","2,182,397.0","2,174,606.0","2,190,400.0","2,189,780.0","2,052,211.0","1,840,835.0","1,789,850.0","1,880,823.0","1,903,558.0","1,954,800.0","2,097,027.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,345,850.0","4,353,119.0","4,383,454.0","4,352,135.0","4,342,453.0","4,344,137.0","4,383,298.0","4,338,017.0","4,454,227.0","4,498,069.0","4,529,250.0","4,545,908.0","4,637,448.0","4,744,808.0","4,780,410.0","4,860,395.0","4,977,481.0","5,010,174.0","4,972,639.0","5,004,451.0","4,941,339.0","4,954,785.0","4,921,299.0","4,887,411.0","4,782,894.0","4,802,488.0","4,920,493.0","4,982,266.0","5,123,007.0","5,174,905.0","5,205,359.0","5,253,379.0","5,342,833.0","5,440,996.0","5,527,130.0","5,546,563.0","5,588,192.0","5,761,699.0","5,819,223.0","5,883,691.0","5,891,309.0","5,898,455.0","5,913,492.0","5,909,882.0","5,914,261.0","5,736,953.0","5,683,868.0","5,823,406.0","5,958,433.0","5,908,782.0","5,985,920.0","5,925,524.0","5,836,374.0","5,855,741.0","5,881,549.0","5,887,776.0","5,965,184.0","6,136,811.0","6,292,129.0","6,438,960.0","6,599,965.0","6,726,058.0","6,795,976.0","6,859,467.0","6,907,358.0","6,998,459.0","7,105,471.0","7,170,011.0","7,220,698.0","7,272,996.0","7,349,245.0","7,370,303.0","7,405,038.0","7,479,215.0","7,533,616.0","7,655,856.0","7,657,390.0","7,726,331.0","7,772,424.0","7,878,855.0","7,935,232.0","7,967,092.0","8,020,236.0","8,041,177.0","8,118,999.0","8,139,154.0","8,130,166.0","8,030,123.0","7,976,796.0","8,017,477.0","8,056,204.0","8,087,823.0","8,167,913.0","8,268,366.0","8,349,064.0","8,453,152.0","8,485,841.0","8,548,111.0","8,607,443.0","8,730,231.0","8,828,242.0","8,955,209.0","9,006,597.0","9,114,150.0","9,142,223.0","9,158,735.0","9,196,054.0","9,259,136.0","9,345,167.0","9,513,167.0","9,623,747.0","9,686,077.0","9,789,662.0","9,930,360.0","10,072,690.0","10,178,312.0","10,315,208.0","10,449,116.0","10,607,226.0","10,788,180.0","10,925,454.0","11,039,882.0","11,198,669.0","11,400,535.0","11,471,251.0","11,701,802.0","11,738,601.0","11,813,906.0","11,767,823.0","11,832,962.0","11,824,073.0","11,877,911.0","11,996,470.0","12,079,660.0","12,156,039.0","12,198,452.0","12,236,095.0","12,356,082.0","12,543,756.0","12,660,810.0","12,762,294.0","12,901,398.0","13,009,482.0","13,136,809.0","13,248,954.0","13,296,841.0","13,404,421.0","13,494,217.0","13,648,718.0","13,695,519.0","13,722,810.0","13,755,717.0","13,786,222.0","13,891,161.0","13,935,764.0","13,922,415.0","13,866,902.0","13,850,132.0","13,737,248.0","13,463,342.0","13,212,630.0","13,143,675.0","13,239,758.0","13,338,234.0","13,467,600.0","13,630,234.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","198,895.0","240,614.0","234,731.0","245,343.0","243,779.0","255,971.0","252,274.0","252,263.0","256,784.0","253,489.0","259,851.0","237,536.0","266,295.0","258,756.0","272,649.0","287,127.0","312,553.0","335,878.0","350,090.0","379,061.0","400,438.0","422,490.0","409,785.0","429,437.0","434,969.0","414,741.0","399,546.0","417,439.0","415,826.0","420,056.0","428,659.0","433,675.0","423,683.0","434,121.0","428,707.0","409,711.0","420,489.0","466,701.0","471,275.0","496,539.0","501,957.0","510,844.0","528,303.0","558,374.0","575,231.0","579,985.0","581,982.0","582,579.0","592,736.0","587,967.0","567,538.0","562,231.0","533,993.0","531,090.0","497,283.0","466,976.0","473,598.0","473,511.0","478,682.0","490,328.0","495,111.0","506,195.0","508,606.0","510,660.0","500,594.0","494,047.0","479,195.0","488,965.0","499,076.0","501,612.0","507,536.0","527,048.0","524,473.0","549,135.0","569,988.0","596,679.0","631,757.0","656,560.0","670,818.0","683,871.0","703,139.0","726,996.0","726,376.0","730,363.0","752,892.0","758,148.0","762,453.0","770,694.0","773,433.0","793,554.0","801,437.0","816,508.0","824,871.0","820,508.0","833,347.0","831,537.0","829,323.0","836,627.0","829,766.0","851,578.0","859,360.0","886,249.0","918,531.0","940,242.0","962,514.0","978,349.0","1,014,753.0","1,020,119.0","1,025,657.0","1,035,924.0","1,032,227.0","1,079,779.0","1,092,663.0","1,133,215.0","1,153,959.0","1,143,426.0","1,138,000.0","1,117,592.0","1,100,479.0","1,134,689.0","1,119,494.0","1,128,025.0","1,154,586.0","1,182,570.0","1,199,426.0","1,235,608.0","1,261,413.0","1,246,374.0","1,222,529.0","1,172,103.0","1,104,573.0","1,062,821.0","1,073,934.0","1,102,722.0","1,113,889.0","1,097,802.0","1,087,523.0","1,085,671.0","1,111,243.0","1,166,208.0","1,196,819.0","1,219,564.0","1,225,025.0","1,254,994.0","1,280,785.0","1,307,173.0","1,301,117.0","1,330,441.0","1,382,545.0","1,411,229.0","1,420,419.0","1,476,696.0","1,496,269.0","1,525,783.0","1,584,826.0","1,636,744.0","1,674,376.0","1,752,083.0","1,737,004.0","1,550,247.0","1,393,518.0","1,390,481.0","1,442,218.0","1,532,586.0","1,585,893.0","1,639,622.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","198,124.0","235,063.0","230,439.0","230,859.0","229,234.0","233,221.0","236,190.0","239,166.0","238,778.0","254,263.0","260,203.0","244,068.0","280,006.0","275,162.0","282,714.0","298,672.0","317,766.0","326,909.0","326,994.0","347,531.0","378,499.0","431,542.0","432,346.0","429,334.0","384,260.0","349,324.0","363,663.0","377,019.0","402,360.0","421,476.0","440,163.0","452,023.0","481,170.0","490,792.0","483,058.0","486,513.0","519,304.0","523,403.0","529,808.0","536,182.0","545,019.0","562,156.0","580,234.0","617,372.0","651,933.0","611,790.0","570,797.0","595,887.0","620,417.0","613,727.0","581,743.0","589,462.0","563,652.0","539,005.0","550,017.0","519,070.0","516,558.0","552,470.0","590,889.0","612,473.0","655,679.0","680,923.0","681,374.0","688,984.0","651,229.0","682,199.0","671,493.0","705,924.0","702,948.0","708,827.0","728,326.0","737,278.0","744,167.0","777,072.0","793,545.0","818,535.0","819,558.0","816,855.0","819,291.0","843,571.0","851,531.0","855,681.0","835,397.0","849,034.0","877,763.0","853,005.0","864,522.0","877,062.0","834,788.0","822,460.0","827,400.0","844,507.0","849,199.0","861,091.0","880,707.0","890,123.0","899,171.0","915,910.0","916,221.0","944,583.0","961,122.0","1,000,780.0","1,039,007.0","1,067,087.0","1,093,455.0","1,113,991.0","1,106,853.0","1,105,982.0","1,133,487.0","1,148,998.0","1,169,154.0","1,185,185.0","1,221,153.0","1,233,664.0","1,267,879.0","1,280,872.0","1,296,794.0","1,308,362.0","1,304,935.0","1,342,365.0","1,367,014.0","1,419,478.0","1,481,618.0","1,530,371.0","1,607,150.0","1,648,979.0","1,707,722.0","1,705,968.0","1,663,152.0","1,575,638.0","1,511,144.0","1,458,855.0","1,487,523.0","1,561,027.0","1,589,596.0","1,618,284.0","1,628,369.0","1,626,899.0","1,644,244.0","1,706,651.0","1,770,937.0","1,850,886.0","1,882,182.0","1,957,790.0","1,968,115.0","2,002,004.0","2,031,146.0","2,107,599.0","2,141,088.0","2,168,613.0","2,195,827.0","2,162,471.0","2,184,863.0","2,214,341.0","2,245,324.0","2,283,018.0","2,353,798.0","2,436,294.0","2,424,793.0","2,086,475.0","1,737,675.0","1,697,041.0","1,814,423.0","1,919,318.0","2,018,822.0","2,123,085.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,346,051.0","4,356,157.0","4,384,354.0","4,364,874.0","4,356,685.0","4,364,350.0","4,396,808.0","4,349,146.0","4,470,360.0","4,494,127.0","4,526,252.0","4,536,981.0","4,617,332.0","4,722,418.0","4,766,951.0","4,852,523.0","4,970,141.0","5,011,179.0","4,989,658.0","5,043,088.0","4,963,106.0","4,952,573.0","4,898,032.0","4,882,068.0","4,828,903.0","4,864,946.0","4,953,252.0","5,019,659.0","5,131,374.0","5,168,988.0","5,190,228.0","5,236,275.0","5,286,690.0","5,376,630.0","5,456,312.0","5,480,222.0","5,489,989.0","5,700,980.0","5,752,857.0","5,840,186.0","5,841,536.0","5,842,354.0","5,862,495.0","5,853,949.0","5,835,852.0","5,703,938.0","5,693,994.0","5,806,128.0","5,921,069.0","5,879,246.0","5,963,909.0","5,895,036.0","5,800,692.0","5,840,182.0","5,823,055.0","5,831,340.0","5,915,188.0","6,050,759.0","6,172,665.0","6,310,228.0","6,434,424.0","6,543,348.0","6,614,188.0","6,675,318.0","6,748,508.0","6,805,623.0","6,904,053.0","6,946,706.0","7,010,671.0","7,061,667.0","7,119,964.0","7,147,789.0","7,183,432.0","7,249,951.0","7,308,561.0","7,436,113.0","7,472,963.0","7,567,662.0","7,621,368.0","7,712,855.0","7,787,178.0","7,837,787.0","7,908,926.0","7,922,880.0","7,994,024.0","8,044,109.0","8,027,261.0","7,921,230.0","7,913,230.0","7,987,223.0","8,030,415.0","8,061,124.0","8,140,267.0","8,226,300.0","8,301,867.0","8,394,782.0","8,414,879.0","8,468,511.0","8,519,951.0","8,638,666.0","8,725,648.0","8,839,160.0","8,887,559.0","8,987,744.0","9,009,635.0","9,021,197.0","9,106,269.0","9,174,997.0","9,242,499.0","9,406,587.0","9,476,481.0","9,579,415.0","9,673,242.0","9,821,352.0","9,956,920.0","10,038,051.0","10,155,547.0","10,256,582.0","10,401,897.0","10,583,620.0","10,683,300.0","10,746,342.0","10,871,827.0","11,046,617.0","11,061,431.0","11,286,239.0","11,291,553.0","11,355,798.0","11,327,519.0","11,427,864.0","11,415,411.0","11,482,710.0","11,582,664.0","11,621,997.0","11,680,349.0","11,677,772.0","11,694,674.0","11,814,483.0","12,010,949.0","12,118,540.0","12,188,172.0","12,268,895.0","12,349,904.0","12,433,199.0","12,560,228.0","12,600,856.0","12,673,040.0","12,716,589.0","12,890,151.0","12,937,317.0","12,946,674.0","13,067,677.0","13,095,789.0","13,200,504.0","13,274,979.0","13,276,548.0","13,182,475.0","13,169,751.0","13,055,015.0","12,933,954.0","12,870,434.0","12,837,277.0","12,866,390.0","12,948,204.0","13,033,789.0","13,147,451.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","50,133.0","51,474.0","53,072.0","54,049.0","55,136.0","55,660.0","54,512.0","50,656.0","54,085.0","56,536.0","55,441.0","58,054.0","58,940.0","60,674.0","63,663.0","65,965.0","75,500.0","81,928.0","90,533.0","92,380.0","101,800.0","101,156.0","98,572.0","90,613.0","82,844.0","80,413.0","83,688.0","89,485.0","90,887.0","92,405.0","91,943.0","92,417.0","97,580.0","99,083.0","100,703.0","98,494.0","108,499.0","106,726.0","113,910.0","129,835.0","136,636.0","148,244.0","165,549.0","172,020.0","179,043.0","166,482.0","153,061.0","155,947.0","166,376.0","171,074.0","180,038.0","178,441.0","179,078.0","193,144.0","180,416.0","170,786.0","164,115.0","171,662.0","181,098.0","187,675.0","194,070.0","206,383.0","211,755.0","202,090.0","184,045.0","186,146.0","178,042.0","182,494.0","185,872.0","178,513.0","172,589.0","168,516.0","174,458.0","187,057.0","192,356.0","202,457.0","218,975.0","218,372.0","226,655.0","238,757.0","248,213.0","257,521.0","254,660.0","256,178.0","256,809.0","255,566.0","253,009.0","273,810.0","251,053.0","224,747.0","214,674.0","207,669.0","203,268.0","204,952.0","193,132.0","190,184.0","194,935.0","196,974.0","199,998.0","200,574.0","208,125.0","220,442.0","237,432.0","254,458.0","272,127.0","283,460.0","280,168.0","286,989.0","290,326.0","287,818.0","294,376.0","309,910.0","320,546.0","335,152.0","338,068.0","330,895.0","341,622.0","345,061.0","331,043.0","329,879.0","342,390.0","358,979.0","379,835.0","398,962.0","411,843.0","435,632.0","425,388.0","447,386.0","399,946.0","372,265.0","341,270.0","320,523.0","328,416.0","341,629.0","357,859.0","343,624.0","355,906.0","367,702.0","378,486.0","408,265.0","439,487.0","452,486.0","471,525.0","496,945.0","543,357.0","555,004.0","579,294.0","613,282.0","644,348.0","694,386.0","713,698.0","736,522.0","757,512.0","812,845.0","849,097.0","852,816.0","818,812.0","801,733.0","771,350.0","665,303.0","563,954.0","559,535.0","571,881.0","602,784.0","625,911.0","639,739.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","21,484.0","23,979.0","26,897.0","27,902.0","28,206.0","27,621.0","26,955.0","25,603.0","23,902.0","24,500.0","26,592.0","27,603.0","27,224.0","29,401.0","29,630.0","31,934.0","35,779.0","39,448.0","40,744.0","42,006.0","43,242.0","46,466.0","49,137.0","48,674.0","47,780.0","45,082.0","44,961.0","42,725.0","45,287.0","44,719.0","43,593.0","42,743.0","40,949.0","43,448.0","45,545.0","49,765.0","52,060.0","59,736.0","62,448.0","70,393.0","75,738.0","80,139.0","84,156.0","91,679.0","97,658.0","91,605.0","82,706.0","99,134.0","105,439.0","113,863.0","118,665.0","109,006.0","113,525.0","119,391.0","118,125.0","110,769.0","104,541.0","107,820.0","115,937.0","119,784.0","131,473.0","143,502.0","149,611.0","147,112.0","140,965.0","139,440.0","138,808.0","138,990.0","148,148.0","152,323.0","143,289.0","149,671.0","152,433.0","158,445.0","164,696.0","172,073.0","180,678.0","183,464.0","195,425.0","203,979.0","213,969.0","224,421.0","218,254.0","211,290.0","214,620.0","212,370.0","216,565.0","206,234.0","200,050.0","188,681.0","183,376.0","166,247.0","162,940.0","165,365.0","157,861.0","153,405.0","147,878.0","158,273.0","153,503.0","173,488.0","172,426.0","189,764.0","210,054.0","227,687.0","233,295.0","241,143.0","255,075.0","247,957.0","243,807.0","251,703.0","262,466.0","272,045.0","293,023.0","298,504.0","310,590.0","311,358.0","311,621.0","318,235.0","319,732.0","316,409.0","315,747.0","326,480.0","350,976.0","358,209.0","376,554.0","396,616.0","390,961.0","385,654.0","354,105.0","317,241.0","311,389.0","220,979.0","272,130.0","305,696.0","306,122.0","272,866.0","300,246.0","297,347.0","308,512.0","310,803.0","323,254.0","363,094.0","371,495.0","423,619.0","434,973.0","458,131.0","472,758.0","536,062.0","565,629.0","621,191.0","654,099.0","667,683.0","690,781.0","737,956.0","713,375.0","668,323.0","641,832.0","642,024.0","587,209.0","550,450.0","451,697.0","440,880.0","419,437.0","452,658.0","453,414.0","465,016.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,374,700.0","4,383,652.0","4,410,529.0","4,391,021.0","4,383,615.0","4,392,389.0","4,424,365.0","4,374,200.0","4,500,544.0","4,526,163.0","4,555,101.0","4,567,433.0","4,649,048.0","4,753,692.0","4,800,984.0","4,886,554.0","5,009,862.0","5,053,659.0","5,039,447.0","5,093,462.0","5,021,664.0","5,007,263.0","4,947,467.0","4,924,007.0","4,863,966.0","4,900,277.0","4,991,980.0","5,066,420.0","5,176,973.0","5,216,675.0","5,238,577.0","5,285,948.0","5,343,320.0","5,432,265.0","5,511,470.0","5,528,951.0","5,546,427.0","5,747,969.0","5,804,319.0","5,899,628.0","5,902,434.0","5,910,458.0","5,943,888.0","5,934,289.0","5,917,237.0","5,778,815.0","5,764,349.0","5,862,940.0","5,982,005.0","5,936,457.0","6,025,282.0","5,964,471.0","5,866,244.0","5,913,935.0","5,885,346.0","5,891,357.0","5,974,763.0","6,114,601.0","6,237,827.0","6,378,118.0","6,497,021.0","6,606,228.0","6,676,331.0","6,730,297.0","6,791,589.0","6,852,329.0","6,943,287.0","6,990,210.0","7,048,395.0","7,087,857.0","7,149,265.0","7,166,634.0","7,205,457.0","7,278,563.0","7,336,221.0","7,466,497.0","7,511,260.0","7,602,571.0","7,652,598.0","7,747,633.0","7,821,422.0","7,870,887.0","7,945,332.0","7,967,768.0","8,036,213.0","8,087,305.0","8,063,706.0","7,988,806.0","7,964,233.0","8,023,289.0","8,061,713.0","8,102,546.0","8,180,596.0","8,265,887.0","8,337,138.0","8,431,562.0","8,461,935.0","8,507,212.0","8,566,446.0","8,665,753.0","8,761,348.0","8,869,839.0","8,914,936.0","9,014,514.0","9,048,467.0","9,063,514.0","9,131,362.0","9,214,028.0","9,289,019.0","9,442,701.0","9,508,390.0","9,617,280.0","9,700,765.0","9,858,001.0","9,984,397.0","10,057,588.0","10,185,548.0","10,283,407.0","10,413,208.0","10,597,090.0","10,709,944.0","10,778,841.0","10,900,686.0","11,087,371.0","11,096,720.0","11,325,255.0","11,325,981.0","11,417,530.0","11,373,360.0","11,482,888.0","11,445,292.0","11,582,254.0","11,638,950.0","11,657,930.0","11,732,087.0","11,748,530.0","11,750,334.0","11,884,837.0","12,080,922.0","12,216,001.0","12,304,406.0","12,358,287.0","12,449,934.0","12,506,526.0","12,668,611.0","12,697,729.0","12,779,576.0","12,793,809.0","12,968,869.0","13,010,511.0","13,006,274.0","13,136,517.0","13,162,521.0","13,275,393.0","13,410,702.0","13,461,042.0","13,359,454.0","13,329,460.0","13,239,156.0","13,048,808.0","12,982,690.0","12,955,932.0","13,018,834.0","13,098,329.0","13,206,286.0","13,322,174.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","4,062,093.0","4,067,299.0","4,091,169.0","4,065,520.0","4,051,661.0","4,055,330.0","4,085,915.0","4,034,755.0","4,155,368.0","4,175,454.0","4,204,376.0","4,211,781.0","4,291,227.0","4,395,490.0","4,435,862.0","4,517,975.0","4,632,567.0","4,668,005.0","4,639,067.0","4,688,004.0","4,599,143.0","4,582,543.0","4,520,479.0","4,498,816.0","4,438,781.0","4,471,639.0","4,559,010.0","4,623,513.0","4,735,345.0","4,769,664.0","4,786,481.0","4,828,758.0","4,875,082.0","4,962,280.0","5,038,537.0","5,056,436.0","5,059,463.0","5,271,670.0","5,317,594.0","5,400,105.0","5,392,486.0","5,384,436.0","5,396,677.0","5,379,285.0","5,352,077.0","5,206,601.0","5,188,595.0","5,298,162.0","5,410,929.0","5,359,930.0","5,440,356.0","5,360,184.0","5,252,964.0","5,286,179.0","5,261,088.0","5,263,248.0","5,344,811.0","5,479,515.0","5,599,446.0","5,734,812.0","5,855,740.0","5,959,652.0","6,022,943.0","6,075,114.0","6,138,712.0","6,186,231.0","6,276,967.0","6,310,709.0","6,367,215.0","6,409,934.0","6,460,081.0","6,478,559.0","6,504,982.0","6,563,550.0","6,614,218.0","6,736,054.0","6,764,844.0","6,852,983.0","6,898,740.0","6,983,095.0","7,049,640.0","7,091,792.0","7,154,888.0","7,159,414.0","7,222,636.0","7,264,886.0","7,239,292.0","7,123,219.0","7,108,065.0","7,176,606.0","7,213,561.0","7,237,641.0","7,310,998.0","7,392,270.0","7,463,686.0","7,553,607.0","7,563,836.0","7,608,453.0","7,651,025.0","7,762,237.0","7,841,349.0","7,946,773.0","7,985,486.0","8,076,178.0","8,086,770.0","8,086,409.0","8,160,234.0","8,217,038.0","8,272,123.0","8,424,622.0","8,481,012.0","8,570,352.0","8,649,308.0","8,782,746.0","8,902,582.0","8,966,553.0","9,066,333.0","9,148,773.0","9,275,263.0","9,437,754.0","9,516,829.0","9,558,904.0","9,663,858.0","9,818,346.0","9,811,871.0","10,014,366.0","9,997,813.0","10,043,053.0","9,996,683.0","10,081,816.0","10,055,838.0","10,111,132.0","10,198,133.0","10,226,584.0","10,273,671.0","10,260,660.0","10,267,968.0","10,378,552.0","10,565,056.0","10,660,924.0","10,718,184.0","10,787,531.0","10,856,152.0","10,926,197.0","11,039,841.0","11,067,051.0","11,125,083.0","11,153,982.0","11,314,612.0","11,346,123.0","11,340,135.0","11,445,582.0","11,456,959.0","11,546,327.0","11,606,351.0","11,594,451.0","11,488,726.0","11,463,278.0","11,336,434.0","11,203,522.0","11,132,804.0","11,097,712.0","11,125,331.0","11,204,106.0","11,284,109.0","11,389,327.0"
"32","12","  Net domestic product","A362RX1","3,959,305.0","3,966,954.0","3,989,583.0","3,963,459.0","3,951,322.0","3,955,151.0","3,991,464.0","3,942,543.0","4,059,075.0","4,080,300.0","4,112,362.0","4,121,487.0","4,200,023.0","4,306,552.0","4,346,836.0","4,420,118.0","4,538,821.0","4,590,225.0","4,556,443.0","4,598,533.0","4,547,651.0","4,555,062.0","4,499,165.0","4,474,245.0","4,408,104.0","4,441,542.0","4,521,740.0","4,583,999.0","4,697,386.0","4,732,445.0","4,753,339.0","4,786,660.0","4,843,255.0","4,945,537.0","5,038,649.0","5,030,471.0","5,042,775.0","5,259,479.0","5,309,467.0","5,380,118.0","5,381,247.0","5,378,035.0","5,412,999.0","5,421,353.0","5,432,737.0","5,298,151.0","5,279,191.0","5,383,453.0","5,504,097.0","5,446,509.0","5,514,229.0","5,427,229.0","5,316,134.0","5,341,276.0","5,310,283.0","5,308,620.0","5,379,052.0","5,511,833.0","5,629,629.0","5,755,187.0","5,874,421.0","5,980,758.0","6,036,616.0","6,081,275.0","6,134,201.0","6,181,608.0","6,280,366.0","6,324,087.0","6,383,558.0","6,402,851.0","6,462,940.0","6,488,092.0","6,518,442.0","6,587,186.0","6,642,336.0","6,762,061.0","6,792,610.0","6,882,369.0","6,913,149.0","7,008,228.0","7,072,949.0","7,123,027.0","7,177,125.0","7,185,006.0","7,260,234.0","7,283,768.0","7,275,205.0","7,195,169.0","7,148,576.0","7,196,391.0","7,223,691.0","7,248,602.0","7,331,611.0","7,413,561.0","7,494,647.0","7,579,194.0","7,584,646.0","7,629,547.0","7,665,216.0","7,770,284.0","7,846,523.0","7,957,945.0","8,005,362.0","8,094,782.0","8,105,554.0","8,113,113.0","8,177,727.0","8,229,272.0","8,279,626.0","8,427,847.0","8,496,289.0","8,586,246.0","8,645,561.0","8,774,178.0","8,881,400.0","8,940,316.0","9,016,868.0","9,089,046.0","9,204,698.0","9,364,371.0","9,437,581.0","9,499,491.0","9,614,352.0","9,787,550.0","9,795,568.0","9,988,923.0","9,976,533.0","10,024,124.0","9,968,298.0","10,026,885.0","9,982,199.0","10,010,229.0","10,094,831.0","10,144,648.0","10,190,847.0","10,182,558.0","10,219,444.0","10,303,248.0","10,489,791.0","10,585,292.0","10,657,397.0","10,732,156.0","10,809,553.0","10,902,984.0","11,013,323.0","11,053,555.0","11,134,991.0","11,186,128.0","11,340,813.0","11,371,652.0","11,359,597.0","11,438,956.0","11,450,728.0","11,539,938.0","11,599,671.0","11,680,787.0","11,643,813.0","11,650,236.0","11,501,943.0","11,261,300.0","11,093,310.0","11,068,106.0","11,116,679.0","11,271,194.0","11,384,768.0","11,429,358.0"
