"","Table 5#6#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"28","9","    Nondurable goods","A664RX1","4,255.0","2,483.0","3,430.0","1,217.0","4,172.0","6,341.0","2,728.0","8,409.0","-1,546.0","4,664.0","1,075.0","2,559.0","-2,328.0","877.0","8,273.0","-5,347.0","2,810.0","-8,551.0","-4,811.0","6,046.0","9,415.0","10,492.0","-9,797.0","8,844.0","-11,108.0","-7,033.0","8,036.0","-5,640.0","1,452.0","7,689.0","7,410.0","147.0","7,575.0","4,236.0","7,853.0","4,324.0","4,480.0","-1,105.0","-403.0","7,032.0","2,919.0","5,545.0","853.0","4,192.0","7,414.0","5,238.0","2,285.0","-10,996.0","12,124.0","-14,123.0","1,681.0","4,573.0","-6,511.0","-210.0","2,551.0","7,972.0","3,927.0","-7,378.0","9,471.0","1,772.0","5,434.0","5,172.0","11,716.0","-627.0","7,921.0","4,732.0","4,684.0","7,196.0","6,130.0","3,841.0","11,857.0","394.0","-646.0","-1,112.0","6,666.0","9,697.0","5,800.0","18,384.0","-6,765.0","-1,279.0","-3,028.0","4,876.0","3,605.0","3,942.0","4,238.0","10,402.0","2,215.0","6,876.0","5,244.0","1,708.0","6,892.0","6,586.0","8,799.0","515.0","989.0","14,783.0","3,733.0","5,118.0","3,909.0","-1,773.0","-603.0","293.0","6,900.0","12,741.0","3,620.0","3,996.0","6,162.0","-9,629.0","-1,220.0","2,908.0","-15,999.0","10,705.0","4,893.0","7,582.0","10,953.0","13,396.0"
"29","10","      Merchant wholesalers","A151RX1","8,181.0","8,786.0","6,949.0","2,809.0","9,355.0","5,296.0","9,444.0","9,936.0","5.0","9,828.0","7,563.0","11,707.0","-653.0","8,948.0","10,726.0","3,969.0","7,189.0","-3,726.0","-1,297.0","8,202.0","16,393.0","15,464.0","-3,760.0","16,274.0","-14,445.0","-11,295.0","1,832.0","-4,864.0","3,144.0","16,473.0","11,542.0","2,522.0","11,089.0","9,627.0","17,484.0","14,421.0","25,834.0","13,858.0","3,203.0","17,345.0","18,438.0","4,870.0","8,126.0","1,850.0","5,757.0","9,236.0","10,220.0","3,298.0","10,818.0","-6,614.0","2,780.0","8,983.0","-6,781.0","12,505.0","-5,830.0","-8,017.0","-6,925.0","-14,980.0","9,991.0","10,025.0","14,312.0","9,432.0","26,216.0","8,148.0","10,141.0","6,936.0","7,177.0","6,152.0","10,455.0","8,648.0","21,015.0","-6,866.0","3,074.0","9,916.0","-2,655.0","23,319.0","18,559.0","11,669.0","9,565.0","-7,203.0","-4,289.0","13,422.0","-35.0","1,754.0","4,486.0","14,029.0","10,727.0","1,792.0","8,032.0","-10,488.0","3,114.0","16,670.0","4,109.0","9,783.0","2,259.0","19,723.0","4,886.0","5,260.0","10,163.0","4,262.0","-3,296.0","18,738.0","16,687.0","24,502.0","17,160.0","10,856.0","10,864.0","2,623.0","-230.0","6,159.0","-8,274.0","10,105.0","22,937.0","34,031.0","17,610.0","27,461.0"
"30","11","        Durable goods","C626RX1","4,578.0","6,856.0","4,145.0","1,669.0","5,243.0","872.0","6,769.0","3,249.0","2,284.0","5,356.0","6,070.0","8,810.0","631.0","7,551.0","3,946.0","7,716.0","4,223.0","4,547.0","2,254.0","4,691.0","7,170.0","7,756.0","6,275.0","9,803.0","-1,481.0","-8,230.0","-5,271.0","2,012.0","2,131.0","10,414.0","5,987.0","-1,941.0","6,878.0","6,465.0","9,327.0","9,743.0","16,801.0","10,229.0","3,954.0","11,589.0","9,319.0","1,551.0","8,481.0","985.0","4,506.0","7,290.0","-183.0","8,477.0","5,440.0","5,726.0","-2,174.0","4,592.0","927.0","4,804.0","-5,752.0","-12,341.0","-12,577.0","-9,401.0","5,383.0","7,387.0","9,966.0","6,792.0","15,757.0","6,541.0","2,265.0","1,637.0","56.0","1,381.0","4,078.0","6,703.0","8,970.0","-5,202.0","2,237.0","8,013.0","-7,342.0","14,847.0","12,957.0","-3,087.0","13,692.0","-5,207.0","-1,080.0","10,492.0","-2,444.0","-3,262.0","2,851.0","4,700.0","8,000.0","-3,656.0","3,996.0","-12,205.0","-3,019.0","11,333.0","-3,144.0","8,920.0","2,740.0","6,763.0","1,952.0","617.0","5,855.0","4,521.0","-2,304.0","16,584.0","10,154.0","13,531.0","13,629.0","8,186.0","5,244.0","10,376.0","1,752.0","2,657.0","5,209.0","861.0","15,571.0","25,033.0","8,534.0","14,817.0"
"31","12","        Nondurable goods","C627RX1","3,542.0","1,711.0","2,731.0","1,110.0","4,047.0","4,573.0","2,484.0","6,794.0","-2,448.0","4,406.0","1,276.0","2,582.0","-1,385.0","1,081.0","6,904.0","-4,168.0","3,006.0","-8,004.0","-3,133.0","3,445.0","8,566.0","7,318.0","-8,874.0","6,313.0","-12,278.0","-3,032.0","6,713.0","-6,548.0","984.0","5,904.0","5,400.0","4,396.0","4,113.0","3,077.0","8,085.0","4,515.0","8,797.0","3,452.0","-877.0","5,573.0","9,079.0","3,311.0","-522.0","826.0","1,181.0","1,849.0","10,241.0","-5,108.0","5,211.0","-12,195.0","4,882.0","4,291.0","-7,978.0","7,731.0","67.0","5,005.0","6,524.0","-5,493.0","4,602.0","2,457.0","4,149.0","2,477.0","10,368.0","1,325.0","8,515.0","5,756.0","7,991.0","5,262.0","6,863.0","1,456.0","13,217.0","-1,329.0","726.0","1,272.0","6,472.0","8,228.0","5,003.0","17,608.0","-6,236.0","-1,803.0","-3,594.0","2,319.0","3,021.0","6,123.0","1,592.0","10,270.0","2,340.0","6,605.0","4,206.0","3,240.0","7,367.0","4,966.0","8,663.0","105.0","-828.0","14,247.0","3,184.0","5,319.0","4,363.0","-785.0","-895.0","739.0","6,495.0","11,279.0","2,670.0","2,259.0","5,876.0","-9,511.0","-2,360.0","3,650.0","-15,351.0","10,207.0","7,026.0","8,120.0","9,486.0","12,979.0"
"32","13","      Nonmerchant wholesalers","A152RX1","2,021.0","1,730.0","1,445.0","794.0","-525.0","1,459.0","359.0","893.0","386.0","-754.0","-1,034.0","-564.0","-649.0","206.0","1,901.0","-168.0","622.0","2,297.0","146.0","1,954.0","948.0","1,288.0","1,425.0","5,712.0","3,602.0","-3,011.0","877.0","-59.0","251.0","3,250.0","4,088.0","-1,019.0","1,993.0","218.0","-1,771.0","-410.0","-3,007.0","-3,921.0","203.0","3,119.0","-2,361.0","3,309.0","1,079.0","2,312.0","5,350.0","3,683.0","-8,662.0","-6,089.0","7,369.0","-1,844.0","-557.0","1,815.0","1,681.0","-6,521.0","2,734.0","-59.0","-4,319.0","-1,542.0","4,387.0","-92.0","640.0","4,343.0","3,611.0","-363.0","-95.0","20.0","-4,137.0","-206.0","-672.0","1,280.0","-1,151.0","1,727.0","-1,650.0","-3,111.0","-581.0","2,736.0","1,397.0","479.0","275.0","3,323.0","699.0","3,193.0","2,373.0","-2,840.0","3,731.0","1,711.0","-1,341.0","-120.0","96.0","-2,943.0","1,636.0","798.0","-1,688.0","150.0","3,379.0","-2,595.0","-244.0","-674.0","35.0","1,317.0","2,382.0","-546.0","2,083.0","4,275.0","3,103.0","4,289.0","2,354.0","2,943.0","3,751.0","-1,179.0","910.0","-360.0","1,307.0","3,310.0","1,429.0","5,930.0"
"33","14","        Durable goods","C628RX1","1,124.0","826.0","690.0","549.0","-350.0","63.0","189.0","-156.0","-401.0","-548.0","-573.0","-300.0","89.0","324.0","753.0","497.0","732.0","1,759.0","1,233.0","-360.0","616.0","-1,220.0","1,398.0","2,788.0","1,452.0","625.0","-103.0","-977.0","-126.0","1,420.0","1,892.0","2,554.0","-898.0","-598.0","-1,085.0","-85.0","912.0","269.0","-214.0","1,490.0","2,711.0","1,055.0","-152.0","-667.0","-253.0","534.0","-1,872.0","-502.0","833.0","617.0","1,823.0","1,207.0","514.0","284.0","440.0","-2,478.0","-1,889.0","183.0","42.0","415.0","-440.0","1,642.0","1,930.0","1,069.0","232.0","645.0","-1,226.0","-1,539.0","-116.0","-556.0","6.0","220.0","-390.0","-868.0","-555.0","1,185.0","580.0","-46.0","517.0","2,183.0","145.0","775.0","1,471.0","-724.0","1,132.0","1,288.0","-979.0","-334.0","-678.0","-1,278.0","1,613.0","-505.0","-1,400.0","-168.0","1,415.0","-2,426.0","-559.0","-373.0","369.0","1,729.0","1,647.0","-105.0","1,393.0","2,402.0","1,790.0","2,157.0","1,711.0","2,350.0","2,138.0","-336.0","1,156.0","-630.0","906.0","1,867.0","619.0","4,112.0"
"34","15","        Nondurable goods","C629RX1","763.0","915.0","764.0","77.0","-76.0","2,053.0","152.0","1,669.0","1,416.0","0.0","-370.0","-223.0","-1,178.0","-365.0","1,321.0","-1,278.0","-514.0","-23.0","-2,059.0","3,423.0","235.0","3,804.0","-428.0","3,012.0","2,420.0","-5,100.0","1,351.0","1,552.0","569.0","2,008.0","2,341.0","-5,740.0","4,223.0","1,307.0","-546.0","-399.0","-5,637.0","-5,744.0","630.0","1,692.0","-7,391.0","2,849.0","1,763.0","3,852.0","6,409.0","3,416.0","-7,526.0","-6,228.0","6,986.0","-2,681.0","-2,625.0","524.0","1,292.0","-8,220.0","2,675.0","3,341.0","-2,634.0","-2,228.0","5,494.0","-759.0","1,513.0","3,074.0","1,681.0","-2,168.0","-504.0","-1,031.0","-3,516.0","2,263.0","-761.0","2,921.0","-1,822.0","2,139.0","-1,695.0","-2,889.0","210.0","1,735.0","935.0","792.0","-588.0","683.0","731.0","3,111.0","683.0","-2,703.0","3,200.0","85.0","-146.0","383.0","1,273.0","-1,833.0","-566.0","1,990.0","123.0","503.0","2,197.0","622.0","643.0","-268.0","-590.0","-1,244.0","377.0","-579.0","439.0","1,710.0","1,159.0","2,157.0","282.0","0.0","1,482.0","-1,010.0","-664.0","539.0","272.0","1,353.0","887.0","1,206.0"
"35","16","  Retail trade","A153RX1","4,833.0","4,720.0","12,619.0","6,987.0","-3,202.0","6,639.0","5,363.0","-8,510.0","25,420.0","12,696.0","23,249.0","-446.0","6,938.0","10,353.0","7,350.0","14,894.0","12,351.0","15,948.0","106.0","15,834.0","-3,974.0","-2,504.0","-7,435.0","5,100.0","-24,053.0","-7,432.0","5,864.0","-3,778.0","20,559.0","10,387.0","7,414.0","4,463.0","8,187.0","7,619.0","10,033.0","8,589.0","16,564.0","9,274.0","3,131.0","13,223.0","821.0","14,690.0","-11,166.0","-4,797.0","-7,827.0","-4,513.0","-3,322.0","-3,518.0","3,273.0","14,184.0","12,033.0","6,852.0","-17,527.0","1,362.0","12,913.0","-12,517.0","7,849.0","17,329.0","13,735.0","16,164.0","37,891.0","14,254.0","2,846.0","34,219.0","5,392.0","11,734.0","14,165.0","31,970.0","27,211.0","2,401.0","-14,022.0","-1,526.0","41,254.0","20,255.0","-4,311.0","29,954.0","-8,657.0","11,284.0","11,909.0","16,871.0","31,273.0","2,584.0","-824.0","26,517.0","-15,438.0","14,835.0","1,215.0","-7,300.0","-22,762.0","4,856.0","13,050.0","7,090.0","-4,511.0","10,351.0","2,976.0","10,192.0","39,720.0","8,391.0","2,913.0","12,373.0","16,315.0","30,633.0","15,559.0","21,828.0","23,015.0","18,299.0","5,287.0","3,473.0","-15,013.0","16,109.0","23,732.0","5,631.0","3,286.0","21,030.0","15,906.0","11,322.0"
"36","17","    Durable goods","C630RX1","1,861.0","-384.0","8,374.0","4,488.0","-3,196.0","2,651.0","2,282.0","-12,632.0","17,677.0","10,374.0","17,557.0","-6,432.0","3,423.0","3,953.0","3,332.0","11,024.0","7,777.0","13,092.0","4,891.0","5,845.0","347.0","-4,068.0","-4,865.0","12,260.0","-17,454.0","1,510.0","7,941.0","-4,722.0","7,875.0","5,734.0","8,819.0","4,197.0","6,473.0","4,390.0","7,774.0","6,053.0","9,533.0","964.0","-42.0","11,992.0","5,504.0","11,409.0","-11,039.0","-7,272.0","-9,860.0","-10,849.0","-7,691.0","-2,114.0","-2,698.0","11,021.0","1,883.0","1,152.0","-12,597.0","-524.0","12,252.0","-12,937.0","5,203.0","7,963.0","6,896.0","9,296.0","18,008.0","3,587.0","-3,249.0","23,798.0","4,016.0","7,501.0","4,347.0","24,592.0","18,507.0","2,421.0","-18,320.0","-2,233.0","32,995.0","12,589.0","-6,729.0","22,353.0","-14,178.0","10,324.0","8,448.0","16,090.0","21,770.0","-7,453.0","-6,671.0","19,915.0","-15,198.0","11,454.0","3,988.0","-5,173.0","-24,994.0","2,016.0","8,438.0","-4,485.0","-2,314.0","5,980.0","-2,625.0","3,835.0","23,885.0","5,849.0","-2,702.0","8,760.0","14,440.0","12,399.0","10,940.0","14,393.0","16,132.0","11,505.0","2,978.0","4,542.0","-11,334.0","14,279.0","15,610.0","255.0","1,062.0","11,006.0","10,419.0","9,786.0"
"37","18","      Motor vehicle dealers \2\","C631RX1","688.0","-1,607.0","6,361.0","3,998.0","-4,207.0","2,962.0","2,137.0","-16,463.0","17,916.0","10,508.0","17,690.0","-10,308.0","-289.0","-147.0","-975.0","5,343.0","6,600.0","9,246.0","4,246.0","6,913.0","-3,018.0","-5,567.0","-3,451.0","12,893.0","-15,982.0","2,770.0","7,633.0","-8,673.0","6,837.0","1,510.0","5,999.0","1,660.0","6,269.0","4,432.0","6,261.0","7,129.0","5,553.0","-3,632.0","-1,985.0","13,388.0","6,823.0","12,833.0","-12,817.0","-6,468.0","-11,467.0","-12,165.0","-6,919.0","-508.0","-8,971.0","11,712.0","143.0","-1,635.0","-9,579.0","2,311.0","12,754.0","-15,786.0","2,450.0","4,078.0","4,440.0","6,966.0","13,566.0","-1,558.0","-4,446.0","19,594.0","260.0","6,236.0","-552.0","25,110.0","13,192.0","870.0","-23,429.0","3,128.0","34,018.0","3,985.0","-8,885.0","16,108.0","-19,096.0","9,012.0","3,822.0","14,438.0","21,696.0","-10,574.0","-12,626.0","20,650.0","-20,465.0","9,334.0","6,876.0","-2,073.0","-21,693.0","3,162.0","7,089.0","-4,553.0","1,607.0","4,005.0","-1,734.0","1,708.0","21,167.0","3,684.0","-8,177.0","-855.0","11,756.0","2,912.0","6,029.0","8,967.0","13,872.0","6,912.0","-4,841.0","6,331.0","-15,208.0","12,181.0","14,515.0","-1,465.0","-4,626.0","2,988.0","6,875.0","11,976.0"
"38","19","      Other \2\","A632RX1","1,075.0","829.0","2,499.0","912.0","329.0","88.0","366.0","1,432.0","1,746.0","1,035.0","1,839.0","2,167.0","3,167.0","3,515.0","3,604.0","5,484.0","1,750.0","4,348.0","1,038.0","-111.0","2,519.0","600.0","-1,573.0","965.0","-3,074.0","-758.0","1,119.0","2,500.0","1,618.0","3,827.0","3,060.0","2,388.0","763.0","377.0","1,921.0","-278.0","4,038.0","3,643.0","1,492.0","135.0","-445.0","82.0","228.0","-1,365.0","191.0","-185.0","-1,361.0","-1,366.0","4,538.0","621.0","1,596.0","2,401.0","-3,557.0","-2,401.0","510.0","1,437.0","2,706.0","3,868.0","2,587.0","2,648.0","5,051.0","4,656.0","821.0","5,189.0","3,499.0","1,566.0","4,491.0","1,186.0","5,804.0","1,524.0","3,196.0","-4,750.0","1,027.0","8,278.0","1,532.0","6,745.0","3,486.0","1,765.0","4,553.0","2,371.0","1,311.0","2,294.0","4,773.0","603.0","3,578.0","2,579.0","-2,234.0","-3,012.0","-4,399.0","-868.0","1,682.0","-180.0","-3,594.0","2,062.0","-938.0","2,083.0","3,567.0","2,185.0","4,829.0","9,090.0","3,054.0","9,171.0","4,922.0","5,505.0","2,580.0","4,639.0","7,435.0","-1,569.0","3,391.0","2,337.0","1,437.0","1,621.0","1,160.0","5,417.0","5,425.0","3,115.0"
"39","20","    Nondurable goods","C633RX1","2,930.0","5,230.0","3,904.0","2,314.0","145.0","3,933.0","3,032.0","4,947.0","6,864.0","1,742.0","4,774.0","6,547.0","3,394.0","6,322.0","3,916.0","3,395.0","4,325.0","2,639.0","-4,733.0","9,716.0","-4,174.0","1,638.0","-2,412.0","-7,433.0","-6,019.0","-9,099.0","-2,365.0","1,125.0","12,535.0","4,487.0","-1,800.0","75.0","1,433.0","3,076.0","1,914.0","2,262.0","6,716.0","8,511.0","3,297.0","534.0","-5,148.0","2,745.0","497.0","2,968.0","2,746.0","7,185.0","4,996.0","-1,217.0","6,405.0","2,555.0","10,467.0","5,895.0","-4,198.0","2,022.0","-286.0","1,523.0","2,353.0","9,222.0","6,640.0","6,464.0","19,485.0","10,998.0","6,777.0","8,896.0","1,093.0","3,800.0","10,050.0","5,576.0","7,490.0","-276.0","6,388.0","968.0","5,605.0","6,980.0","3,194.0","6,023.0","7,161.0","64.0","2,906.0","-626.0","8,150.0","11,231.0","6,720.0","5,335.0","913.0","2,674.0","-3,184.0","-1,870.0","4,118.0","2,819.0","4,184.0","12,481.0","-2,123.0","4,121.0","6,080.0","6,373.0","14,675.0","2,157.0","6,209.0","2,958.0","510.0","18,261.0","3,774.0","6,407.0","5,608.0","6,043.0","2,159.0","-1,658.0","-2,738.0","464.0","7,080.0","5,716.0","2,700.0","9,605.0","5,633.0","1,045.0"
"40","21","  Other","A154RX1","2,699.0","4,552.0","3,400.0","757.0","-428.0","-1,016.0","424.0","3,614.0","2,605.0","3,934.0","-871.0","2,841.0","3,310.0","4,321.0","1,933.0","2,463.0","2,860.0","1,424.0","3,704.0","5,128.0","12,150.0","-1,650.0","461.0","6,524.0","-4,088.0","1,749.0","3,416.0","6,548.0","4,554.0","4,198.0","-4,602.0","-1,045.0","10,848.0","-382.0","11,861.0","-42.0","6,050.0","4,460.0","9,399.0","-793.0","2,348.0","814.0","-1,308.0","-2,099.0","-11,580.0","4,781.0","-3,443.0","4,613.0","7,059.0","-3,247.0","18,203.0","15,317.0","3,235.0","1,548.0","-5,542.0","-10,656.0","8,574.0","-1,767.0","-6,570.0","-4,458.0","-24.0","-1,935.0","1,844.0","5,398.0","5,491.0","4,164.0","6,641.0","4,179.0","6,512.0","10,138.0","2,582.0","-5,193.0","2,514.0","1,656.0","-454.0","6,327.0","-2,007.0","-1,841.0","-2,005.0","-256.0","-3,548.0","-9,056.0","10.0","-5,273.0","2,222.0","907.0","-4,255.0","-13,494.0","2,723.0","8,426.0","412.0","3,117.0","6,754.0","30.0","-96.0","4,828.0","-2,861.0","9,346.0","1,577.0","5,809.0","4,284.0","6,716.0","-757.0","9,464.0","4,022.0","-1,042.0","109.0","6,964.0","-211.0","1,559.0","3,283.0","2,532.0","8,753.0","8,491.0","6,914.0","4,709.0"
"41","22","    Durable goods","C636RX1","-1,797.0","-77.0","2,228.0","-403.0","-174.0","-787.0","-781.0","822.0","190.0","-564.0","-2,031.0","-1,297.0","1,705.0","455.0","-536.0","223.0","3,037.0","-998.0","2,352.0","1,186.0","982.0","-1,877.0","1,138.0","37.0","-1,968.0","-915.0","1,447.0","262.0","1,264.0","-242.0","-1,847.0","211.0","226.0","2,467.0","-118.0","-1,481.0","2,077.0","2,200.0","1,178.0","-1,206.0","1,358.0","766.0","-70.0","-2,202.0","-606.0","-3,751.0","64.0","2,868.0","1,654.0","-304.0","466.0","-770.0","1,960.0","1,046.0","-74.0","1,482.0","735.0","-653.0","439.0","-4,252.0","3,871.0","497.0","-1,645.0","-2,139.0","234.0","-1,591.0","-1,379.0","637.0","-856.0","-1,152.0","-1,688.0","-207.0","-245.0","587.0","450.0","477.0","-600.0","-1,294.0","-1,179.0","1,545.0","354.0","244.0","328.0","1,600.0","1,813.0","17.0","-571.0","-1,465.0","-3,319.0","-823.0","2,436.0","-96.0","2,969.0","518.0","-1,801.0","757.0","-2,625.0","1,058.0","418.0","2,452.0","2,003.0","89.0","673.0","15.0","741.0","-939.0","-73.0","473.0","2,130.0","-1,779.0","927.0","438.0","994.0","1,244.0","1,393.0","829.0"
"42","23","    Nondurable goods","C637RX1","4,912.0","4,702.0","846.0","1,183.0","-237.0","-171.0","1,265.0","2,770.0","2,410.0","4,584.0","1,383.0","4,351.0","1,397.0","3,856.0","2,576.0","2,237.0","-652.0","2,658.0","1,007.0","3,852.0","11,191.0","354.0","-730.0","6,509.0","-2,093.0","2,706.0","1,938.0","6,314.0","3,251.0","4,482.0","-2,687.0","-1,273.0","10,656.0","-2,925.0","12,031.0","1,509.0","3,879.0","2,130.0","8,206.0","501.0","953.0","60.0","-1,198.0","87.0","-10,982.0","8,091.0","-3,485.0","2,071.0","5,613.0","-2,942.0","17,617.0","15,761.0","1,617.0","692.0","-5,408.0","-11,666.0","7,855.0","-1,230.0","-6,874.0","-899.0","-3,251.0","-2,328.0","3,183.0","7,133.0","5,231.0","5,482.0","7,769.0","3,586.0","7,196.0","11,114.0","4,137.0","-4,994.0","2,727.0","1,101.0","-873.0","5,849.0","-1,421.0","-567.0","-833.0","-1,788.0","-3,895.0","-9,276.0","-311.0","-6,794.0","502.0","899.0","-3,689.0","-12,065.0","5,777.0","9,191.0","-1,906.0","3,208.0","3,868.0","-466.0","1,645.0","4,097.0","-250.0","8,300.0","1,178.0","3,336.0","2,217.0","6,627.0","-1,470.0","9,467.0","3,246.0","-52.0","187.0","6,485.0","-2,394.0","3,386.0","2,339.0","2,095.0","7,823.0","7,228.0","5,458.0","3,947.0"
"43","24","Residual","A969RX1","1,000.0","-400.0","-1,200.0","1,600.0","-1,200.0","-2,900.0","100.0","-5,400.0","0.0","-2,200.0","-200.0","-5,500.0","1,100.0","300.0","300.0","200.0","-6,200.0","6,800.0","5,100.0","-5,600.0","-9,900.0","-3,700.0","1,500.0","-10,700.0","9,000.0","4,200.0","-4,400.0","-3,900.0","-4,200.0","-3,500.0","1,000.0","3,200.0","-6,100.0","-800.0","-1,900.0","400.0","-500.0","2,100.0","2,200.0","-1,900.0","4,400.0","500.0","3,400.0","1,600.0","400.0","-1,600.0","-3,500.0","-2,100.0","1,600.0","-200.0","500.0","-2,900.0","-1,700.0","400.0","-2,500.0","-4,400.0","-5,700.0","800.0","-5,600.0","1,700.0","-2,300.0","2,300.0","3,100.0","3,700.0","-1,500.0","-900.0","-2,500.0","-7,600.0","-1,600.0","-2,600.0","-1,800.0","-4,100.0","1,500.0","4,000.0","-1,200.0","2,000.0","1,200.0","-1,700.0","4,400.0","2,800.0","4,000.0","1,400.0","-400.0","500.0","0.0","-800.0","700.0","200.0","-3,800.0","-4,600.0","-1,300.0","-4,000.0","-5,800.0","-300.0","-2,600.0","-4,200.0","1,500.0","-1,500.0","1,300.0","3,300.0","1,600.0","3,000.0","1,500.0","1,200.0","3,000.0","3,200.0","3,700.0","2,700.0","-100.0","2,200.0","3,300.0","-1,700.0","4,300.0","5,800.0","-2,200.0","-4,500.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Prior to 1981, inventories of auto and home supply stores are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","motor vehicle dealers. Beginning with 1981, these inventories are included in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates for nonfarm industries other than manufacturing and trade for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
