"","Table 4#2#3U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"50","42","    Maintenance and repair services","Y992RA3",43.45,45.433,45.311,45.8,48.468,51.814,57.527,60.881,62.045,62.484,66.207,68.438,67.124,69.682,65.132,67.477,62.434,66.767,60.808,60.132,58.958,58.084,53.783,55.315,64.733,70.056,67.85,77.803,59.677,67.99,71.495,77.016,79.394,82.459,75.457,77.311,70.569,77.321,81.284,87.619,94.497,95.206,104.249,106.048,92.969,109.44,109.881,115.645,96.81,100.562,102.442,105.988,118.946,121.217,116.382,130.207,118.442,120.967,140.863,145.502,140.213,154.889,156.656,173.209,176.136,177.325
"51","43","    Insurance services","Y993RA3",31.176,31.499,32.783,35.076,37.103,38.053,41.065,45.651,36.608,38.014,38.849,41.725,47.916,51.965,56.198,60.317,65.146,69.107,72.826,76.511,80.628,79.708,90.613,90.284,78.546,75.272,94.649,89.436,88.903,95.736,84.181,91.38,82.006,88.66,95.08,94.817,87.668,100.78,100.297,97.793,100.032,103.057,98.207,98.703,91.824,92.998,100.613,109.716,102.6,99.768,103.333,105.925,107.095,113.089,115.914,116.11,113.416,112.634,111.819,117.225,111.171,116.743,114.369,117.045,118.825,119.871
"52","44","    Financial services","Y994RA3",22.433,25.975,27.74,29.179,30.7,32.254,31.878,32.32,34.873,36.642,34.329,37.055,42.42,44.582,42.224,43.092,47.997,45.917,47.714,51.98,60.199,60.954,55.958,67.835,61.975,59.942,62.564,69.196,72.605,69.723,67.854,82.723,83.412,89.002,92.432,91.527,94.084,93.813,87.482,91.795,100.117,102.448,96.605,100.83,99.415,98.623,108.691,114.359,108.945,108.328,110.688,104.914,106.007,99.631,101.98,106.503,106.509,105.35,103.422,108.039,101.316,107.742,100.437,104.429,103.403,101.582
"53","45","    Telecommunications, computer, and information services","Y995RA3",9.476,9.23,11.006,13.425,12.038,13.166,12.223,14.366,14.592,15.577,15.844,16.211,16.319,13.553,16.153,20.465,21.73,23.836,23.375,28.278,30.541,32.689,31.332,36.468,38.198,39.93,43.888,49.875,47.836,54.774,55.921,66.873,75.331,87.753,86.252,101.912,103.264,107.859,101.317,96.701,97.565,100.762,95.668,106.004,108.126,115.742,135.315,147.296,152.001,159.915,163.92,166.959,172.935,182.988,186.952,190.337,190.592,203.692,200.586,202.046,202.682,219.195,213.677,213.386,214.251,216.451
"54","46","    Other other business services","Y996RA3",55.514,53.807,53.869,54.223,51.534,51.251,52.397,54.336,54.712,55.144,55.794,58.165,59.566,59.193,60.257,60.691,58.265,58.731,59.054,62.066,63.633,64.414,64.567,65.173,67.664,63.397,65.459,69.801,71.637,74.924,74.63,82.026,84.2,88.505,90.085,90.827,88.026,97.645,96.101,103.746,100.134,98.179,99.298,102.39,97.76,100.262,106.095,110.439,107.946,111.406,115.222,116.02,117.692,119.999,117.198,118.883,119.281,116.957,117.851,119.399,122.687,121.424,122.895,129.086,132.692,135.321
"55","47","  Government goods and services n.e.c.","Y803RA3",53.401,57.44,62.344,56.738,54.715,64.833,68.852,65.29,54.96,58.039,62.484,50.559,52.166,48.752,55.66,47.81,47.102,46.971,60.97,64.671,72.896,68.803,71.677,63.361,83.315,86.304,87.849,75.807,90.787,110.537,99.798,105.22,113.391,83.147,92.235,140.55,92.237,103.384,86.53,85.753,85.537,100.662,124.434,89.367,91.461,93.26,97.281,88.993,107.345,116.67,113.934,106.86,102.172,100.791,103.56,113.439,107.83,106.249,109.92,96.83,105.043,89.109,91.093,79.288,88.456,88.371
"56","48","  Other","B980RA3",86.933,84.874,86.265,88.257,88.368,88.271,85.657,83.387,81.518,80.416,79.879,79.072,78.257,79.974,80.506,82.199,81.828,81.592,80.352,79.24,79.372,80.183,82.253,83.162,81.943,81.498,81.71,81.52,82.687,81.752,79.972,79.032,79.763,77.674,81.429,78.691,79.363,82.443,83.344,88.988,96.406,101.854,100.165,101.575,93.919,93.025,92.065,94.745,102.402,106.842,111.122,111.563,123.088,130.747,133.753,130.201,119.916,113.28,108.006,104.795,101.414,100.023,99.338,99.995,100.207,101.753
"57","49","    Imports of goods and services","B021RA3",73.966,76.091,78.926,80.869,84.115,86.71,89.706,89.658,88.165,85.56,83.845,82.685,85.061,87.728,89.028,90.91,89.648,91.062,92.231,95.534,98.466,102.514,103.55,105.991,107.242,108.471,108.759,112.043,114.46,115.855,116.743,117.054,118.935,119.474,119.44,117.956,119.083,118.013,115.624,110.909,100.176,96.094,99.688,104.043,106.745,111.829,115.771,116.517,117.412,118.292,119.249,120.582,121.285,121.877,122.069,120.906,121.147,122.766,123.507,123.828,124.682,127.579,127.327,130.473,132.742,133.73
"58","50","Imports of goods \1\","B255RA3",76.87,79.543,82.636,84.645,87.99,90.511,93.615,93.956,92.253,88.694,87.008,86.297,87.914,91.654,93.303,94.631,93.54,96.005,96.252,99.792,102.561,106.785,108.306,110.983,112.402,113.549,113.815,117.48,119.479,121.019,122.298,121.479,123.569,123.921,123.775,121.945,122.624,121.511,118.458,112.253,100.241,95.302,99.674,104.783,108.121,114.077,118.241,119.036,120.587,120.814,121.477,123.106,123.872,124.388,124.582,123.211,123.541,125.157,125.968,126.192,127.64,130.693,130.422,133.545,135.894,136.979
"59","51","  Foods, feeds, and beverages","B647RA3",69.351,72.11,72.69,73.791,74.5,75.959,77.897,78.383,77.2,78.564,83.133,81.62,82.405,84.043,85.33,85.837,88.377,89.918,91.302,94.007,95.818,97.386,95.363,97.078,97.291,99.1,100.695,101.982,106.444,105.344,105.129,106.818,110.007,107.732,106.867,104.36,107.82,106.483,104.664,105.131,101.73,100.177,99.421,98.672,101.928,103.059,103.786,100.357,101.727,102.648,103.15,109.33,107.948,105.999,108.224,110.706,113.12,113.198,111.137,112.361,114.061,121.088,119.189,118.267,121.671,124.886
"60","52","  Industrial supplies and materials","IB0000043",98,99.183,101.12,101.929,105.221,104.381,105.843,106.619,109.138,103.796,101.79,103.202,102.141,104.494,105.293,109.581,105.104,109.964,111.669,110.082,116.785,120.104,123.09,126.63,126.562,125.849,124.539,130.75,128.05,128.819,132.539,124.061,124.435,126.957,124.744,121.454,120.479,117.616,116.467,117.36,107.984,96.235,97.231,98.55,102.741,107.829,109.226,104.854,108.702,108.294,106.784,106.56,103.432,103.453,103.81,101.189,99.018,99.209,100.261,99.03,100.405,99.336,98.344,101.747,102.357,100.591
"61","53","    Durable goods","B820RA3",111.902,113.439,114.311,121.665,124.405,122.919,122.475,122.227,120.269,114.433,114.632,113.679,119.375,120.121,122.644,125.466,122.277,120.48,121.806,127.479,132.683,144.562,154.195,159.09,157.893,158.74,152.377,162.311,176.07,173.963,176.147,165.03,161.467,162.2,156.32,145.167,149.826,145.51,144.913,131.958,109.309,93.168,95.016,102.508,109.012,116.958,117.9,115.751,122.228,125.798,125.516,123.498,133.132,131.265,129.793,129.85,134.327,132.788,134.882,135.41,142.938,151.357,150.983,159.612,159.435,153.515
"62","54","    Nondurable goods","IB0000073",96.044,97.043,99.577,97.625,101.316,100.748,102.99,104.168,108.273,102.992,100.144,102.636,98.75,101.891,102.134,107.098,102.123,109.172,111.067,107.012,114.411,115.028,115.96,119.239,119.623,118.483,118.48,123.74,116.971,118.33,122.373,114.476,115.929,118.948,117.643,116.177,114.015,111.389,110.047,113.683,107.687,97.045,97.739,97.529,101.163,105.566,107.072,102.178,105.44,104.204,102.443,102.566,96.96,97.322,98.03,94.9,91.463,91.997,92.833,91.253,91.405,88.498,87.374,89.679,90.492,89.802
"63","55","      Petroleum and products","B648RA3",100.798,97.369,97.766,93.236,99.822,98.842,100.862,103.841,109.153,103.741,99.018,103.338,98.28,100.547,100.352,106.381,102.017,110.828,112.031,107.757,115.698,112.657,113.618,119.262,117.031,116.33,116.302,120.853,114.016,115.408,121.318,110.924,112.574,114.143,111.798,112.198,110.098,106.737,105.076,113.325,109.85,98.574,96.876,94.7,97.914,102.669,103.829,97.527,101.37,99.191,96.833,96.973,91.324,91.567,90.728,88.212,84.227,84.987,84.68,82.756,83.536,79.291,77.504,80.737,81.546,80.875
"64","56","      Nondurable goods, excluding petroleum and products","B696RA3",94.537,98.991,103.852,105.474,105.524,106.169,109.125,107.658,110.005,104.656,104.217,104.423,101.947,106.424,107.399,110.913,104.874,109.403,112.388,108.582,115.277,122.326,123.211,121.921,127.695,125.606,125.693,132.722,126.092,127.436,126.362,125.174,126.309,133.339,135.073,127.812,125.544,125.528,125.105,113.98,102.086,92.627,99.685,105.603,110.588,113.819,116.421,116.142,117.279,119.754,120.413,120.443,115.296,116.133,122.986,117.603,116.498,116.173,121.359,121.179,118.94,120.944,122.297,121.369,122.263,121.445
"65","57","  Capital goods, except automotive","B650RA3",63.061,67.196,70.364,73.058,75.381,81.702,85.837,85.869,81.611,73.011,68.888,67.923,69.821,72.099,72.286,72.736,73.084,74.84,75.421,80.399,83.819,88.501,91.383,94.159,94.921,99.557,100.388,103.67,107.698,110.087,112.499,113.416,116.151,117.788,119.53,120.109,122.925,124.527,121.67,112.208,99.018,94.258,99.316,107.408,110.413,119.187,125.774,129.929,132.239,136.335,139.924,143.495,147.841,149.192,147.471,146.998,148.558,148.896,152.081,154.246,155.468,161.25,163.893,165.66,166.261,167.372
"66","58","    Civilian aircraft, engines, and parts","B932RA3",108.182,111.205,123.307,115.24,110.602,116.69,123.753,139.901,140.901,139.365,137.071,143.905,125.829,108.687,97.787,114.158,101.089,102.868,97.709,110.708,88.843,102.179,99.039,112.838,103.735,112.97,95.697,99.314,110.119,106.479,104.433,115.75,123.124,128.222,126.615,125.52,131.436,132.318,117.407,107.886,99.881,103.904,96.492,99.723,95.602,97.504,100.896,103.413,105.85,105.423,105.729,117.392,105.68,111.435,116.829,124.609,126.164,128.012,135.056,137.789,142.004,147.542,155.465,142.965,149.242,155.449
"67","59","    Computers, peripherals, and parts","B852RA3",38.806,42.494,43.963,45.406,45.194,49.581,53.42,51.509,48.322,45.212,43.565,44.479,49.433,50.083,50.382,50.352,51.814,53.136,54.463,58.979,62.081,66.065,69.876,72.678,73.396,75.369,78.83,81.871,86.742,89.459,93.11,93.815,101.614,98.87,98.235,100.207,104.463,107.77,104.382,89.185,85.627,89.99,103.892,120.491,122.183,128.972,129.622,126.999,126.176,136.223,142.928,140.075,145.999,144.538,136.198,139.905,141.633,137.267,142.012,144.351,137.057,140.088,143.516,150.63,140.527,142.95
"68","60","    Other","B853RA3",70.606,74.683,78.051,82.302,86.871,93.994,97.679,97.677,92.554,80.196,74.529,71.665,73.367,78.385,79.545,78.722,79.674,81.605,82.284,86.541,92.526,96.572,99.459,101.015,102.787,108.2,109.568,112.874,115.729,118.573,120.872,120.774,120.775,123.916,127.042,127.234,129.109,130.1,128.813,121.528,103.998,94.68,97.912,103.41,107.844,118.252,127.463,134.306,137.668,140.191,143.099,147.817,153.816,155.549,155.125,152.069,153.556,155.284,157.358,159.368,163.078,169.815,171.411,173.433,176.861,176.766
"69","61","  Automotive vehicles, engines, and parts","B651RA3",117.537,120.515,126.083,128.186,135.269,132.628,133.521,131.13,128.174,129.355,130.126,127.455,131.108,137.919,141.356,141.306,138.552,142.751,138.095,146.638,148.279,152.588,152.345,152.568,152.329,153.987,157.312,164.894,168.416,168.003,164.23,170.601,166.261,168.011,172.653,164.3,165.173,160.052,144.641,121.769,81.846,81.622,109.474,127.058,127.193,141.298,146.181,148.799,155.324,140.193,157.658,164.488,177.424,176.236,177.84,177.622,174.996,182.748,189.718,190.88,187.037,198.157,200.689,202.277,204.522,215.763
"70","62","  Consumer goods, except food and automotive","B652RA3",54.847,56.277,59.275,61.792,64.402,67.875,69.579,71.543,70.786,69.838,69.071,68.138,70.73,75.756,78.606,79.481,80.948,81.434,83,86.42,87.837,92.926,92.232,95.873,99.018,100.168,99.146,100.635,104.322,106.138,108.447,112.141,115.567,113.619,112.405,114.298,114.8,115.337,114.665,105.566,98.589,97.611,99.26,104.54,105.918,111.226,117.228,117.325,118.3,119.366,117.412,117.075,115.728,116.694,117.837,117.754,119.295,120.351,121.062,121.869,123.089,126.139,125.095,129.457,133.921,135.11
"71","63","    Durable goods","B697RA3",51.341,54.522,57.308,59.444,63.761,66.099,67.473,69.936,67.97,65.866,65.655,65.465,68.891,74.769,76.453,76.104,75.968,77.256,80.828,85.395,86.744,92.63,92.835,97.776,100.584,101.334,103.79,104.396,108.374,108.142,111.007,116.381,119.003,116.515,118.099,120.928,119.452,120.621,120.779,107.949,98.214,98.572,99.111,104.102,107.614,114.604,122.411,122.003,122.693,121.499,119.593,120.765,120.306,121.398,123.067,125.635,126.94,129.493,130.71,132.244,132.591,136.175,134.527,143.097,145.133,141.788
"72","64","    Nondurable goods","B698RA3",59.045,58.354,61.608,64.581,65.138,69.974,72.072,73.434,74.123,74.559,73.128,71.315,72.924,76.945,81.168,83.474,86.806,86.354,85.59,87.683,89.183,93.368,91.647,93.806,97.336,98.938,94.004,96.485,99.849,103.979,105.658,107.45,111.787,110.442,106.086,106.933,109.651,109.489,107.891,102.94,98.997,96.554,99.424,105.025,104.067,107.552,111.623,112.263,113.546,117.01,115.007,113.081,110.799,111.627,112.223,109.412,111.196,110.733,110.933,111.005,113.087,115.591,115.146,115.38,122.158,127.692
"73","65","  Other","B653RA3",99.948,102.535,104.264,102.237,109.059,106.214,122.979,119.288,112.537,118.821,118.009,118.092,116.988,120.122,122.133,122.636,112.53,116.662,110.43,116.988,109.366,111.552,118.403,116.303,123.737,114.066,119.806,115.764,121.421,128.409,114.011,111.457,126.653,119.259,120.22,109.346,109.152,110.518,102.868,99.929,103.013,102.504,98.767,95.716,110.696,101.981,106.649,133.428,109.072,122.867,110.158,112.729,119.499,123.831,120.603,112.029,124.505,135.519,116.141,113.375,127.057,129.959,123.439,131.5,141.047,136.49
"74","66","Imports of services \1\","B656RA3",61.356,61.157,62.867,64.506,67.33,70.254,72.791,71.035,70.453,71.961,70.112,67.073,72.541,70.772,70.635,74.783,72.854,70.006,74.823,77.157,80.709,84.014,83.067,84.523,85.061,86.615,86.981,88.628,92.825,93.601,92.823,97.938,98.939,100.275,100.709,100.701,103.794,102.88,103.535,105.429,99.934,99.277,99.76,101.029,101.097,102.511,105.522,106.029,104.015,107.781,110.057,110.051,110.494,111.455,111.648,111.405,111.244,112.887,113.319,114.067,112.327,114.558,114.385,117.644,119.575,120.167
"75","67","  Transport","Y804RA3",105.113,100.917,103.556,105.475,108.662,111.852,117.046,111.954,109.368,107.904,100.733,93.541,95.172,99.348,98.722,104.059,103.829,99.454,102.253,102.912,111.496,113.881,115.421,116.964,122.896,119.803,117.226,120.848,119.627,123.832,125.765,126.849,122.811,128.211,128.131,124.67,125.926,122.606,119.636,116.05,101.895,98.162,100.16,99.783,103.069,106.743,110.247,105.848,108.943,108.581,110.397,111.833,112.921,113.487,113.454,112.605,118.998,119.094,119.308,118.945,117.844,118.784,118.21,122.662,125.884,123.504
"76","68","    Sea Transport","Y997RA3",91.954,84.544,86.79,87.505,92.813,97.214,108.662,108.509,105.417,101.147,91.452,97.392,94.889,102.704,104.217,108.545,117.27,111.969,109.045,107.547,121.319,120.299,124.982,132.81,141.394,134.199,127.507,136.354,133.791,140.689,149.399,146.513,143.578,150.557,146.834,138.16,135.134,133.812,129.717,125.511,106.171,97.804,95.019,101.007,113.494,119.282,124.234,112.921,114.838,116.005,120.235,124.834,126.919,128.265,128.665,128.481,136.759,141.039,143.058,139.217,133.562,131.396,131.749,137.236,139.529,136.188
"77","69","      Freight","Y998RA3",88.021,80.321,82.8,83.846,89.846,94.433,107.859,107.537,105.919,100.54,89.803,95.682,93.977,101.99,102.396,107.447,117.963,111.729,108.968,107.917,122.629,121.562,127.097,134.798,144.177,136.063,129.642,138.484,135.104,142.144,150.792,148.377,145.615,151.631,147.884,139.404,135.901,133.533,129.717,126.388,106.898,97.319,94.602,101.181,114.724,120.613,125.648,113.656,116.043,117.059,121.54,126.49,128.795,129.988,130.239,129.75,138.475,142.752,144.621,140.581,134.345,131.769,132.005,137.758,140.133,136.356
"78","70","      Port","Y999RA3",160.662,158.167,156.124,150.788,144.081,145.489,125.345,127.544,100.445,114.066,121.201,128.398,113.078,118.027,136.624,129.232,109.739,119.187,113.043,103.47,101.177,101.426,91.359,101.808,96.443,105.229,93.187,102.195,113.971,118.375,128.148,117.897,112.482,134.114,130.886,119.437,123.555,138.313,130.151,111.979,95.544,104.677,100.963,98.817,96.373,100.317,103.792,102.537,97.528,101.123,101.654,101.227,100.212,103.688,106.191,110.276,112.298,116.581,120.642,119.558,122.045,125.755,127.792,129.479,130.593,133.596
"79","71","    Air Transport","Y810RA3",119.734,116.71,119.028,122.541,123.821,126.224,127.041,118.247,115.991,116.483,111.274,91.897,98.186,99.32,97.431,104.105,97.548,91.414,100.293,102.392,107.426,112.494,112.063,108.4,112.044,112.111,111.744,111.154,111.437,114.028,111.416,113.728,110.848,114.52,117.131,116.919,121.704,116.613,113.629,111.36,100.323,99.332,101.395,98.95,96.677,99.21,101.959,101.62,104.919,103.883,104.35,103.97,104.22,104.552,103.589,102.837,108.452,106.811,106.242,107.531,109.28,111.91,110.752,114.269,119.28,116.714
"80","72","      Passenger","Y811RA3",130.099,124.589,127.649,132.59,136.289,138.332,143.274,130.078,123.195,128.252,123.594,90.196,96.061,95.266,92.996,100.125,94.391,89.714,106.018,104.988,114.726,120.262,118.382,117.691,117.577,118.356,121.084,122.445,120.068,120.828,118.325,120.803,110.614,113.974,118.428,122.476,124.366,116.454,112.081,116.468,99.481,98.091,103.94,98.489,93.652,93.098,96.85,100.055,101.357,100.522,102.373,103.877,105.929,107.613,106.386,102.857,112.627,111.064,109.67,111.118,114.645,117.19,115.11,117.395,118.558,121.391
"81","73","      Freight","Y812RA3",110.519,120.202,126.918,129.651,138.338,140.801,142.291,138.617,132.559,120.206,111.242,120.186,128.259,143.805,145.659,158.553,135.857,133.878,126.994,131.576,141.435,149.626,150.649,151.87,145.533,139.743,139.337,138.527,144.244,139.795,141.702,140.269,141.369,145.831,139.182,138.848,137.08,127.359,117.231,103.289,94.627,97.558,101.75,106.064,108.334,122.473,125.86,112.96,119.155,115.263,104.848,99.532,108.406,101.007,102.578,106.718,104.069,105.52,110.36,110.783,111.349,122.376,121.1,134.986,159.261,130.223
"82","74","      Port","Y813RA3",102.724,98.485,97.25,98.333,91.878,94.854,88.056,85.332,93.125,89.92,85.174,83.127,89.431,88.587,85.903,88.917,87.468,76.528,77.006,84.444,78.753,81.667,83.141,72.305,86.624,87.88,82.101,78.2,80.879,89.613,84.919,88.501,97.639,101.559,104.555,96.236,109.575,112.33,115.721,103.82,104.285,102.316,96.529,96.87,97.691,101.231,101.556,99.588,105.798,105.716,108.78,106.618,98.285,99.229,97.584,100.933,100.803,97.454,96.231,97.573,95.533,94.275,95.442,97.089,102.66,99.463
"83","75","    Other modes of transport","Y814RA3",83.424,85.03,91.076,88.741,94.426,97.231,97.499,90.193,87.511,87.723,79.906,93.01,81.246,89.991,86.766,85.184,84.491,99.141,87.755,91.489,96.231,101.016,97.795,100.337,108.449,105.997,113.592,116.652,111.152,111.312,108.985,126.318,104.152,116.53,114.654,113.727,108.084,109.372,114.363,100.906,90.479,88.941,120.393,100.187,104.083,105.195,106.307,104.113,113.29,109.685,110.08,111.202,115.542,113.585,121.843,115.261,117.73,110.571,108.163,111.214,106.181,108.04,108.294,116.882,104.126,110.998
"84","76","  Travel","Y805RA3",104.659,102.458,105.048,108.482,113.357,121.669,122.955,116.641,114.889,118.642,112.571,95.059,111.411,105.194,96.289,106.965,100.088,89.659,105.946,103.972,110.512,119.503,113.326,108.13,115.757,117.089,113.802,114.017,115.365,115.364,113.425,117.201,117.164,112.755,111.479,110.242,115.324,108.859,107.531,107.906,101.679,96.065,101.803,100.454,102.75,103.876,105.19,104.762,100.218,105.699,105.315,108.599,114.718,116.386,117.2,116.8,117.711,120.38,121.225,123.078,121.822,128.871,129.378,135.342,137.891,141.335
"85","77","    Business","Y815RA3",155.186,153.908,158.415,157.486,165.562,173.582,181.172,160.698,162.094,165.447,157.134,123.878,144.656,139.418,128.834,135.32,127.138,107.595,135.43,129.97,141.994,146.108,138.228,132.073,141.108,140.699,135.135,134.454,132.219,133.923,131.122,133.598,132.492,128.197,125.773,123.984,124.774,115.873,111.917,109.491,101.176,96.811,102.501,99.512,106.336,106.093,108.628,112.336,103.531,102.239,101.846,102.938,101.64,100.713,100.55,93.924,103.061,106.462,105.208,101.272,89.472,91.027,88.861,92.088,87.079,92.089
"86","78","      Expenditure of seasonal, border, and other short-term workers","Y816RA3",46.923,47.985,48.084,48.467,50.372,52.154,52.678,54.281,53.917,56.639,56.553,57.556,46.914,45.051,44.163,44.287,65.618,64.692,64.778,63.416,71.949,74.062,70.455,67.696,72.553,73.602,71.239,71.004,90.227,89.036,89.809,89.899,94.467,92.373,91.969,88.95,91.774,89.879,92.925,97.475,98.409,99.632,101.312,100.647,102.551,103.921,104.027,102.284,104.979,104.93,106.258,105.336,107.826,111.526,113.263,112.509,112.57,112.608,113.826,114.152,116.414,117.582,119.619,121.132,124.03,124.554
"87","79","      Other business travel","Y817RA3",161.192,159.784,164.536,163.534,171.952,180.319,188.301,166.601,168.095,171.483,162.714,127.557,150.079,144.653,133.531,140.37,130.551,109.974,139.35,133.662,145.88,150.105,141.987,135.644,144.911,144.421,138.68,137.974,134.548,136.412,133.414,136.022,134.601,130.184,127.648,125.928,126.605,117.314,112.97,110.158,101.33,96.655,102.567,99.449,106.547,106.213,108.883,112.894,103.451,102.089,101.601,102.805,101.297,100.113,99.844,92.892,102.533,106.121,104.73,100.558,87.977,89.554,87.154,90.476,85.028,90.287
"88","80","    Personal","Y818RA3",88.82,86.326,88.313,93.131,96.998,105.412,104.709,102.855,100.112,103.994,98.624,86.05,101.016,94.49,86.111,98.104,91.635,84.059,96.729,95.849,100.673,111.19,105.547,100.651,107.837,109.714,107.139,107.633,110.101,109.568,107.897,112.079,112.376,107.931,107.013,105.949,112.375,106.672,106.166,107.416,101.836,95.834,101.585,100.744,101.638,103.188,104.125,102.421,99.192,106.764,106.382,110.342,118.745,121.212,122.327,123.843,122.223,124.667,126.157,129.79,131.776,140.514,141.843,148.65,153.52,156.483
"89","81","      Education related","Y819RA3",47.031,66.772,67.454,67.358,70.751,73.971,73.477,75.506,73.664,77.02,76.024,82.853,82.302,81.445,83.239,90.92,91.918,88.692,92.191,88.443,90.34,97.32,94.581,90.883,96.531,99.019,97.557,105.697,103.824,103.563,105.242,98.1,100.812,100.665,103.609,98.443,102.84,102.672,109.522,112.693,105.012,99.367,98.74,96.881,99.088,101.104,100.624,101.381,102.743,100.834,102.409,101.928,102.513,104.82,104.921,106.106,108.597,111.2,113.617,113.266,114.536,116.169,119.808,121.394,125.784,128.058
"90","82","      Health-related","Y820RA3",30.771,30.502,30.141,29.181,32.518,31.973,31.339,30.243,30.803,30.277,29.797,28.669,27.8,27.103,26.592,25.546,28.253,27.97,27.38,26.556,66.476,65.675,64.816,63.367,76.373,75.46,74.77,73.022,81.449,80.547,80.312,80.452,81.262,87.562,86.772,86.004,89.67,90.431,91.832,94.311,98.211,99.511,99.949,102.329,106.177,107.573,108.676,110.936,112.023,113.536,115.859,117.451,120.064,121.863,124.236,126.674,128.879,132.299,133.721,136.645,138.823,141.044,144.394,147.51,150.963,152.482
"91","83","      Other personal travel","Y821RA3",92.984,88.675,90.795,96.057,100,108.939,108.232,106.089,103.234,107.224,101.441,87.169,103.602,96.531,87.216,99.747,92.545,84.508,98.111,97.461,102.035,113.013,107.058,102.013,109.249,111.113,108.414,108.305,111.051,110.495,108.515,113.727,113.813,108.844,107.595,106.874,113.508,107.252,106.11,107.172,101.611,95.451,101.868,101.071,101.801,103.313,104.385,102.378,98.632,107.215,106.6,111.035,120.303,122.795,123.986,125.518,123.426,125.837,127.237,131.274,133.327,142.886,143.948,151.339,156.284,159.345
"92","84","  Charges for the use of intellectual property n.e.c.","B908RA3",51.604,53.517,54.361,56.96,60.701,61.673,73.836,67.268,64.854,63.704,63.82,66.683,76.107,73.389,77.305,71.818,68.328,70.175,74.497,75.348,78.485,82.494,92.56,90.649,85.219,90.415,94.337,88.369,85.379,79.615,77.335,97.061,87.022,86.602,85.82,89.218,92.991,90.343,101.791,92.567,97.187,98.602,97.805,106.407,107.527,95.072,100.9,106.208,108.098,104.226,113.426,117.274,112.101,116.581,118.462,119.467,116.84,114.906,111.192,121.737,123.968,121.495,123.805,125.618,127.807,129.039
"93","85","  Other business services","Y806RA3",27.769,28.594,29.814,30.889,32.437,33.413,33.881,35.541,36.307,38.133,38.693,39.112,41.166,39.472,41.513,44.299,44.105,43.911,44.638,48.83,50.975,52.236,51.142,56.414,53.634,56.009,58.718,61.871,70.798,73.293,72.466,78.202,83.416,86.655,89.114,91.069,94.924,98.425,99.347,103.793,98.387,100.79,99.295,101.528,98.76,101.428,104.599,108.081,104.366,112.07,114.945,112.12,111.256,112.069,112.287,112.496,110.272,113.16,114.36,114.299,111.458,113.267,112.145,114.567,115.251,115.87
"94","86","    Maintenance and repair services","Y822RA3",22.214,26.616,32.055,41.771,53.186,61.181,66.593,62.735,50.095,47.15,45.426,46.21,49.834,51.33,53.93,55.334,54.245,51.194,52.036,51.741,50.197,51.502,49.137,54.932,52.014,61.184,59.998,64.833,80.905,80.309,79.832,94.691,90.031,102.46,86.68,88.417,83.601,91.398,90.728,103.659,89.464,109.712,100.379,100.445,99.732,113.044,100.012,120.803,113.761,113.868,124.217,123.906,122.268,114.848,112.22,112.019,109.381,107.3,112.51,99.638,100.373,105.723,104.113,113.525,120.573,121.057
"95","87","    Insurance services","Y823RA3",20.454,20.752,21.328,22.259,23.277,25.3,28.199,31.624,36.074,38.672,40.843,42.558,43.378,44.967,46.61,48.2,47.125,48.584,50.651,53.341,57.204,58.019,56.418,63.345,55.517,56.277,63.427,64.123,70.785,71.489,72.911,73.343,81.432,79.774,86.592,81.645,89.08,93.678,98.36,107.132,103.933,100.954,98.075,97.038,91.597,94.812,96.16,90.915,82.272,86.566,88.744,83.922,84.32,86.448,86.873,84.919,81.148,82.581,83.418,79.372,75.061,76.368,75.43,75.817,74.811,74.297
"96","88","    Financial services","Y824RA3",42.444,48.526,54.109,55.568,66.732,70.523,72.789,70.956,75.06,78.257,71.503,70.974,73.702,71.777,66.702,69.499,68.721,65.539,68.26,75.606,80.481,82.745,83.036,89.379,84.391,85.657,86.096,88.676,90.761,100.461,101.405,110.04,120.225,130.351,126.008,122.184,122.852,114.049,109.672,101.489,90.44,104.408,100.604,104.547,96.362,98.357,100.234,108.375,109.175,109.965,104.142,106.102,101.764,98.306,97.975,105.03,101.451,104.285,101.643,109.114,99.819,105.369,105.192,102.919,104.932,108.24
"97","89","    Telecommunications, computer, and information services","Y825RA3",9.882,9.692,10.943,12.454,12.117,12.426,11.206,12.801,12.814,14.013,14.446,14.424,14.738,11.541,13.941,17.653,19.088,19.899,19.848,24.677,27.061,27.458,27.328,33.283,35.042,38.752,42.818,47.079,51.195,59.781,57.617,71.201,74.815,93.489,88.65,103.031,97.787,105.655,99.778,99.596,91.559,100.204,97.67,110.568,118.595,122.823,142.732,158.022,154.892,163.494,175.601,173.166,170.913,169.497,172.838,169.937,172.528,184.01,179.217,175.07,177.425,183.603,183.829,183.388,182.252,184.39
