"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"56","38","        Wage and salary accruals","B1659C1","10,171.0","11,736.0","12,524.0","13,538.0","14,908.0","16,783.0","18,536.0","19,761.0","20,927.0","22,882.0","24,998.0","28,246.0","31,691.0","33,137.0","35,299.0","38,107.0","40,821.0","42,467.0","44,964.0","48,286.0","50,563.0","54,674.0","57,112.0","60,060.0","60,705.0","63,347.0","65,064.0","67,181.0","69,403.0","72,026.0","74,554.0","79,906.0","82,207.0","85,410.0","86,936.0","91,633.0","93,003.0","96,211.0","99,699.0","102,020.0","101,002.0","100,248.0","100,790.0"
"57","39","        Supplements to wages and salaries","B1660C1","805.0","1,082.0","1,520.0","1,671.0","1,859.0","2,518.0","3,688.0","4,287.0","5,010.0","5,451.0","6,384.0","7,538.0","8,930.0","9,660.0","10,675.0","11,181.0","12,620.0","13,104.0","13,926.0","15,736.0","16,700.0","18,819.0","20,108.0","21,723.0","22,334.0","23,436.0","23,928.0","24,493.0","25,380.0","26,007.0","27,074.0","28,387.0","29,958.0","30,874.0","29,560.0","33,578.0","35,064.0","36,773.0","37,963.0","39,126.0","38,942.0","39,756.0","40,878.0"
"58","40","      Current surplus of government enterprises \1\","A108RC1","1,020.0","-32.0","-240.0","477.0","-367.0","-929.0","-3,241.0","-1,802.0","-2,687.0","-2,201.0","-2,882.0","-5,093.0","-5,576.0","-4,480.0","-3,180.0","-1,911.0","563.0","879.0","157.0","2,573.0","4,929.0","1,567.0","5,673.0","8,232.0","8,681.0","9,600.0","13,130.0","14,354.0","14,104.0","13,294.0","14,096.0","9,144.0","4,047.0","6,345.0","6,970.0","1,243.0","-3,491.0","-4,215.0","-11,776.0","-15,980.0","-15,572.0","-19,485.0","-26,539.0"
"59","41","Households and institutions","W503RC1","72,810.0","79,077.0","87,276.0","94,813.0","102,825.0","111,875.0","122,791.0","133,366.0","144,817.0","161,320.0","179,845.0","206,628.0","235,489.0","263,587.0","290,030.0","318,777.0","345,308.0","373,072.0","408,679.0","450,171.0","488,974.0","533,382.0","571,089.0","612,164.0","646,862.0","688,482.0","733,399.0","772,806.0","818,006.0","870,622.0","932,523.0","994,660.0","1,057,850.0","1,112,521.0","1,146,715.0","1,201,626.0","1,261,335.0","1,334,746.0","1,400,338.0","1,511,070.0","1,552,113.0","1,556,336.0","1,590,383.0"
"60","42","  Households","W504RC1","46,500.0","49,691.0","54,416.0","58,539.0","62,527.0","67,053.0","72,834.0","78,975.0","85,373.0","94,984.0","105,444.0","121,524.0","138,987.0","155,255.0","169,524.0","185,522.0","202,423.0","216,750.0","233,105.0","254,210.0","274,352.0","296,957.0","314,859.0","333,964.0","352,440.0","380,444.0","405,589.0","428,570.0","454,264.0","481,588.0","518,373.0","554,945.0","591,855.0","611,019.0","616,464.0","642,593.0","682,973.0","725,600.0","760,040.0","833,286.0","843,787.0","833,001.0","845,732.0"
"61","43","    Compensation of employees","W151RC1","4,439.0","4,501.0","4,556.0","4,637.0","4,819.0","4,588.0","4,635.0","5,412.0","5,932.0","6,538.0","6,378.0","6,103.0","6,163.0","6,250.0","6,283.0","7,292.0","7,341.0","7,739.0","7,729.0","8,344.0","8,963.0","9,428.0","9,191.0","10,219.0","10,843.0","11,236.0","12,029.0","12,153.0","12,193.0","14,129.0","12,880.0","13,759.0","13,057.0","12,816.0","14,228.0","15,162.0","15,339.0","16,474.0","18,061.0","19,121.0","17,479.0","15,376.0","16,509.0"
"62","44","      Wage and salary accruals","B1661C1","4,376.0","4,440.0","4,492.0","4,572.0","4,746.0","4,513.0","4,555.0","5,326.0","5,845.0","6,434.0","6,271.0","5,999.0","6,036.0","6,135.0","6,166.0","7,147.0","7,192.0","7,586.0","7,572.0","8,170.0","8,778.0","9,223.0","8,971.0","9,956.0","10,533.0","10,915.0","11,693.0","11,814.0","11,856.0","13,782.0","12,547.0","13,419.0","12,761.0","12,523.0","13,909.0","14,827.0","15,000.0","16,118.0","17,680.0","18,571.0","16,748.0","14,773.0","15,874.0"
"63","45","      Supplements to wages and salaries","B1662C1","63.0","61.0","63.0","65.0","73.0","75.0","79.0","85.0","86.0","104.0","107.0","104.0","127.0","115.0","117.0","145.0","149.0","153.0","157.0","174.0","185.0","205.0","220.0","263.0","310.0","321.0","336.0","339.0","337.0","347.0","333.0","340.0","296.0","293.0","319.0","335.0","339.0","356.0","381.0","550.0","732.0","603.0","635.0"
"64","46","    Rental income of persons with CCAdj","B1156C1","14,871.0","14,839.0","15,767.0","15,658.0","15,112.0","15,458.0","14,608.0","13,281.0","9,928.0","10,521.0","10,988.0","13,758.0","15,722.0","12,978.0","11,395.0","10,550.0","8,196.0","3,732.0","5,680.0","13,402.0","16,000.0","19,426.0","25,921.0","40,937.0","64,789.0","88,756.0","95,888.0","109,226.0","112,118.0","127,272.0","143,984.0","150,958.0","163,905.0","155,962.0","145,520.0","139,536.0","117,854.0","83,385.0","68,081.0","130,040.0","189,452.0","236,153.0","283,861.0"
"65","47","    Net interest","A2015C1","14,515.0","15,944.0","18,181.0","20,978.0","24,021.0","27,512.0","32,055.0","36,082.0","42,616.0","50,308.0","60,191.0","71,539.0","83,270.0","99,280.0","112,734.0","125,568.0","142,241.0","156,564.0","165,931.0","176,170.0","190,150.0","205,045.0","211,933.0","213,628.0","204,712.0","204,917.0","221,901.0","231,330.0","246,223.0","257,675.0","276,056.0","303,248.0","324,928.0","341,164.0","348,211.0","371,936.0","423,854.0","491,151.0","538,911.0","547,243.0","488,845.0","434,003.0","401,107.0"
"66","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1","12,675.0","14,407.0","15,913.0","17,265.0","18,575.0","19,495.0","21,537.0","24,200.0","26,898.0","27,617.0","27,886.0","30,124.0","33,832.0","36,747.0","39,112.0","42,111.0","44,645.0","48,715.0","53,765.0","56,293.0","59,240.0","63,058.0","67,814.0","69,180.0","72,096.0","75,535.0","75,771.0","75,861.0","83,730.0","82,512.0","85,452.0","86,980.0","89,965.0","101,078.0","108,505.0","115,960.0","125,926.0","134,589.0","134,987.0","136,883.0","148,011.0","147,469.0","144,255.0"
"67","49","  Nonprofit institutions serving households","W505RC1","26,310.0","29,386.0","32,860.0","36,274.0","40,298.0","44,822.0","49,957.0","54,391.0","59,444.0","66,336.0","74,401.0","85,104.0","96,502.0","108,332.0","120,506.0","133,255.0","142,885.0","156,322.0","175,574.0","195,961.0","214,622.0","236,425.0","256,230.0","278,200.0","294,422.0","308,038.0","327,810.0","344,236.0","363,742.0","389,034.0","414,150.0","439,715.0","465,995.0","501,502.0","530,251.0","559,033.0","578,362.0","609,146.0","640,298.0","677,784.0","708,326.0","723,335.0","744,651.0"
"68","50","    Compensation of employees","W152RC1","25,038.0","27,899.0","31,041.0","34,308.0","38,191.0","42,555.0","47,331.0","51,646.0","56,439.0","62,960.0","70,547.0","80,426.0","90,681.0","101,073.0","111,845.0","122,622.0","132,198.0","144,378.0","163,306.0","182,506.0","200,241.0","221,365.0","240,108.0","261,092.0","275,263.0","289,430.0","307,965.0","322,953.0","341,193.0","365,480.0","389,938.0","415,445.0","441,039.0","476,539.0","506,353.0","535,581.0","555,804.0","587,033.0","616,537.0","652,407.0","683,406.0","699,570.0","720,461.0"
"69","51","      Wage and salary accruals","W481RC1","23,345.0","25,873.0","28,592.0","31,339.0","34,536.0","38,348.0","42,475.0","46,148.0","50,078.0","56,185.0","62,889.0","71,844.0","80,879.0","90,186.0","98,545.0","106,707.0","114,645.0","125,003.0","141,568.0","159,033.0","173,446.0","190,976.0","206,261.0","223,366.0","234,707.0","246,734.0","262,931.0","276,268.0","292,234.0","311,337.0","329,299.0","351,711.0","374,415.0","400,034.0","421,321.0","441,868.0","458,354.0","485,907.0","514,286.0","543,761.0","562,441.0","576,589.0","595,796.0"
"70","52","      Supplements to wages and salaries","W482RC1","1,693.0","2,026.0","2,449.0","2,969.0","3,655.0","4,207.0","4,856.0","5,498.0","6,361.0","6,775.0","7,659.0","8,581.0","9,803.0","10,887.0","13,299.0","15,915.0","17,554.0","19,375.0","21,737.0","23,473.0","26,796.0","30,389.0","33,847.0","37,726.0","40,556.0","42,696.0","45,034.0","46,685.0","48,959.0","54,143.0","60,639.0","63,734.0","66,624.0","76,505.0","85,032.0","93,713.0","97,451.0","101,126.0","102,251.0","108,647.0","120,965.0","122,981.0","124,665.0"
"71","53","    Rental income of persons","W159RC1","0.0","0.0","145.0","153.0","133.0","103.0","98.0","97.0","186.0","198.0","234.0","379.0","595.0","820.0","951.0","966.0","1,115.0","1,094.0","1,095.0","1,079.0","1,073.0","1,154.0","1,266.0","1,553.0","1,743.0","2,086.0","2,564.0","2,795.0","3,135.0","3,471.0","3,641.0","3,586.0","3,983.0","4,153.0","3,834.0","3,808.0","3,642.0","3,785.0","4,550.0","5,329.0","6,279.0","6,779.0","7,629.0"
"72","54","    Net interest","B1131C1","567.0","682.0","769.0","843.0","946.0","1,104.0","1,388.0","1,428.0","1,515.0","1,891.0","2,343.0","2,954.0","3,744.0","4,787.0","5,910.0","7,713.0","7,489.0","8,620.0","8,710.0","9,731.0","10,404.0","10,765.0","11,416.0","11,940.0","13,771.0","12,666.0","13,407.0","14,468.0","15,158.0","15,646.0","15,906.0","15,794.0","15,826.0","15,248.0","14,189.0","13,387.0","12,277.0","11,184.0","11,431.0","11,763.0","9,848.0","8,158.0","7,521.0"
"73","55","    Taxes on production and imports","B1320C1","705.0","805.0","905.0","969.0","1,028.0","1,059.0","1,140.0","1,221.0","1,304.0","1,287.0","1,277.0","1,345.0","1,482.0","1,652.0","1,801.0","1,953.0","2,083.0","2,230.0","2,464.0","2,646.0","2,904.0","3,141.0","3,441.0","3,615.0","3,645.0","3,855.0","3,875.0","4,020.0","4,257.0","4,437.0","4,665.0","4,890.0","5,147.0","5,563.0","5,875.0","6,257.0","6,639.0","7,144.0","7,780.0","8,285.0","8,793.0","8,828.0","9,040.0"
"74","56","General government","A194RC1","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,361,375.0","1,438,386.0","1,491,464.0","1,533,510.0","1,551,439.0"
"75","57","  Compensation of employees","A194RC1","107,461.0","119,393.0","130,895.0","143,077.0","155,418.0","169,739.0","189,598.0","206,353.0","224,995.0","244,672.0","266,104.0","295,502.0","325,184.0","352,719.0","375,280.0","410,428.0","443,689.0","470,632.0","499,549.0","532,319.0","567,101.0","609,736.0","647,510.0","677,261.0","700,654.0","724,077.0","743,537.0","766,762.0","792,176.0","820,664.0","863,055.0","911,960.0","967,138.0","1,034,139.0","1,109,423.0","1,165,924.0","1,227,786.0","1,287,273.0","1,361,375.0","1,438,386.0","1,491,464.0","1,533,510.0","1,551,439.0"
"76","58","    Wage and salary accruals","B1663C1","95,429.0","105,496.0","114,256.0","124,349.0","133,891.0","143,729.0","157,704.0","169,145.0","181,661.0","197,136.0","212,138.0","233,215.0","254,158.0","274,400.0","289,496.0","310,031.0","333,042.0","354,753.0","378,153.0","403,751.0","430,543.0","464,375.0","491,653.0","511,941.0","528,305.0","546,149.0","563,962.0","580,880.0","602,408.0","629,212.0","659,135.0","699,805.0","739,677.0","787,703.0","826,389.0","861,175.0","898,486.0","938,940.0","989,328.0","1,042,085.0","1,074,224.0","1,091,038.0","1,094,536.0"
"77","59","    Supplements to wages and salaries","B1664C1","12,032.0","13,897.0","16,639.0","18,728.0","21,527.0","26,010.0","31,894.0","37,208.0","43,334.0","47,536.0","53,966.0","62,287.0","71,026.0","78,319.0","85,784.0","100,397.0","110,647.0","115,879.0","121,396.0","128,568.0","136,558.0","145,361.0","155,857.0","165,320.0","172,349.0","177,928.0","179,575.0","185,882.0","189,768.0","191,452.0","203,920.0","212,155.0","227,461.0","246,436.0","283,034.0","304,749.0","329,300.0","348,333.0","372,047.0","396,301.0","417,240.0","442,472.0","456,903.0"
"78","60","Rest of the world","A192RC1","6,115.0","6,393.0","7,594.0","8,558.0","12,619.0","15,520.0","13,004.0","16,847.0","20,292.0","21,581.0","31,931.0","34,185.0","32,935.0","36,510.0","37,085.0","36,290.0","26,546.0","17,612.0","17,655.0","23,362.0","25,924.0","34,423.0","29,910.0","29,140.0","31,182.0","24,076.0","29,656.0","31,670.0","23,450.0","17,317.0","27,802.0","37,745.0","51,909.0","49,110.0","68,690.0","91,209.0","97,148.0","72,416.0","123,271.0","169,164.0","143,546.0","209,305.0","251,882.0"
"79","61","  Compensation of employees","A4187C1","22.0","23.0","21.0","-1.0","-13.0","-22.0","-43.0","-37.0","-62.0","-99.0","-71.0","-98.0","-156.0","-192.0","-173.0","-211.0","-215.0","-1,782.0","-1,356.0","-867.0","-1,285.0","-2,307.0","-2,751.0","-2,965.0","-3,320.0","-4,015.0","-4,090.0","-4,125.0","-4,402.0","-4,563.0","-5,213.0","-4,690.0","-5,215.0","-5,574.0","-5,704.0","-6,148.0","-6,407.0","-6,613.0","-7,094.0","-10,759.0","-7,841.0","-7,164.0","-8,014.0"
"80","62","  Corporate profits","B394RC1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0","169,701.0","157,887.0","165,751.0","205,027.0","239,442.0","256,841.0","350,879.0","406,586.0","352,803.0","401,568.0","438,892.0"
"81","63","  Net interest","A1627C1","-502.0","-730.0","-282.0","-971.0","-2,266.0","-1,926.0","-1,583.0","336.0","1,241.0","-1,189.0","-2,603.0","-1,188.0","3,412.0","4,116.0","2,202.0","-68.0","-11,344.0","-20,079.0","-29,000.0","-32,757.0","-39,923.0","-39,359.0","-43,809.0","-40,983.0","-42,425.0","-49,874.0","-59,200.0","-66,175.0","-79,702.0","-80,882.0","-88,501.0","-103,190.0","-112,571.0","-103,195.0","-91,359.0","-107,671.0","-135,886.0","-177,813.0","-220,508.0","-226,662.0","-201,416.0","-185,100.0","-178,998.0"
"82",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","64","    Corporate profits with IVA and CCAdj","A445RC1","87,876.0","75,406.0","88,219.0","101,892.0","109,607.0","97,658.0","118,679.0","145,056.0","172,729.0","195,558.0","190,742.0","165,952.0","193,589.0","173,133.0","224,772.0","282,041.0","294,440.0","274,652.0","319,830.0","369,634.0","358,433.0","358,361.0","380,806.0","423,136.0","466,773.0","550,259.0","623,239.0","699,531.0","777,276.0","709,659.0","734,757.0","673,598.0","614,464.0","714,306.0","812,032.0","1,041,903.0","1,216,644.0","1,351,471.0","1,159,763.0","841,799.0","989,542.0","1,300,881.0","1,388,061.0"
"85","65","      Profits before tax (without IVA and CCAdj)","E561RC1","84,776.0","73,892.0","85,024.0","98,688.0","120,073.0","130,307.0","130,911.0","163,190.0","191,395.0","223,267.0","237,522.0","218,071.0","214,063.0","166,029.0","198,940.0","232,042.0","219,358.0","206,487.0","275,087.0","332,939.0","323,326.0","335,598.0","348,916.0","401,309.0","442,090.0","521,066.0","591,350.0","638,764.0","694,205.0","620,119.0","658,996.0","626,835.0","543,021.0","607,460.0","737,721.0","1,024,377.0","1,400,717.0","1,565,879.0","1,387,477.0","953,347.0","1,087,686.0","1,414,744.0","1,415,241.0"
"86","66","      Inventory valuation adjustment","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","-2,566.0","-11,283.0","-34,255.0","-30,699.0","-38,033.0","-47,235.0","-44,456.0","3,154.0","-38,659.0","-62,566.0"
"87","67","      Corporate capital consumption adjustment","A059RC1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-67,093.0","-101,296.0","-75,204.0","35,386.0"
"88",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","68","    Proprietors' income with IVA and CCAdj","A1645C1","77,059.0","78,028.0","84,206.0","95,478.0","113,025.0","112,919.0","119,058.0","131,670.0","145,412.0","166,871.0","180,442.0","172,897.0","181,012.0","174,105.0","189,646.0","231,805.0","245,077.0","261,573.0","292,615.0","332,984.0","349,660.0","363,599.0","365,482.0","413,013.0","447,670.0","482,669.0","513,518.0","581,341.0","625,590.0","685,553.0","745,350.0","816,094.0","869,327.0","889,013.0","929,413.0","1,031,444.0","1,067,352.0","1,129,993.0","1,086,850.0","1,093,660.0","974,763.0","1,098,476.0","1,152,450.0"
"90","69","      Farm proprietors' income with IVA and CCAdj","B042RC1","12,833.0","12,894.0","13,386.0","17,023.0","29,075.0","23,468.0","21,999.0","17,210.0","15,964.0","19,922.0","22,150.0","11,707.0","19,028.0","13,314.0","6,173.0","20,938.0","20,976.0","22,837.0","28,907.0","26,802.0","33,022.0","32,168.0","27,504.0","35,809.0","32,027.0","35,596.0","23,437.0","38,436.0","32,588.0","28,880.0","28,495.0","29,632.0","30,523.0","18,452.0","36,535.0","49,663.0","43,876.0","29,335.0","37,779.0","51,752.0","39,873.0","44,309.0","54,567.0"
"91","70","        Proprietors' income with IVA","A043RC1","13,623.0","13,798.0","14,450.0","18,202.0","30,328.0","25,290.0","24,614.0","20,127.0","19,251.0","23,646.0","26,578.0","17,285.0","25,573.0","20,424.0","13,148.0","27,615.0","27,170.0","28,904.0","34,773.0","32,535.0","38,786.0","37,860.0","33,182.0","41,369.0","37,428.0","40,938.0","28,688.0","43,552.0","37,391.0","33,482.0","33,034.0","34,099.0","34,965.0","22,814.0","40,976.0","54,546.0","49,415.0","35,352.0","43,911.0","58,257.0","46,212.0","50,137.0","60,479.0"
"92","71","        Capital consumption adjustment","B044RC1","-790.0","-904.0","-1,064.0","-1,179.0","-1,253.0","-1,822.0","-2,615.0","-2,917.0","-3,287.0","-3,724.0","-4,428.0","-5,578.0","-6,545.0","-7,110.0","-6,975.0","-6,677.0","-6,194.0","-6,067.0","-5,866.0","-5,733.0","-5,764.0","-5,692.0","-5,678.0","-5,560.0","-5,401.0","-5,342.0","-5,251.0","-5,116.0","-4,803.0","-4,602.0","-4,539.0","-4,467.0","-4,442.0","-4,362.0","-4,441.0","-4,883.0","-5,539.0","-6,017.0","-6,132.0","-6,505.0","-6,339.0","-5,828.0","-5,912.0"
"93","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1","64,226.0","65,134.0","70,820.0","78,455.0","83,950.0","89,451.0","97,059.0","114,460.0","129,448.0","146,949.0","158,292.0","161,190.0","161,984.0","160,791.0","183,473.0","210,867.0","224,101.0","238,736.0","263,708.0","306,182.0","316,638.0","331,431.0","337,978.0","377,204.0","415,643.0","447,073.0","490,081.0","542,905.0","593,002.0","656,673.0","716,855.0","786,462.0","838,804.0","870,561.0","892,878.0","981,781.0","1,023,476.0","1,100,658.0","1,049,071.0","1,041,908.0","934,890.0","1,054,167.0","1,097,883.0"
"94","73","        Proprietor's income (without IVA and CCAdj)","A1647C1","65,021.0","66,088.0","72,029.0","79,262.0","85,829.0","93,054.0","98,658.0","115,763.0","130,398.0","148,154.0","159,078.0","161,604.0","156,646.0","153,640.0","167,311.0","184,422.0","188,856.0","198,240.0","227,406.0","269,262.0","278,872.0","303,039.0","311,760.0","348,336.0","384,726.0","419,711.0","462,264.0","508,429.0","547,918.0","606,269.0","655,691.0","715,377.0","742,944.0","761,797.0","773,149.0","858,850.0","933,251.0","1,000,555.0","955,586.0","880,550.0","777,362.0","892,297.0","896,759.0"
"95","74","          Inventory valuation adjustment","B179RC1","-464.0","-533.0","-557.0","-721.0","-1,887.0","-3,393.0","-1,105.0","-1,060.0","-1,111.0","-1,887.0","-2,637.0","-2,890.0","-1,255.0","-503.0","-516.0","-402.0","-186.0","-38.0","-811.0","-1,200.0","-1,320.0","-1,118.0","-120.0","-537.0","-431.0","-738.0","-1,469.0","-404.0","987.0","1,281.0","-885.0","-1,730.0","984.0","-392.0","-1,521.0","-4,228.0","-4,065.0","-3,633.0","-6,969.0","-6,303.0","975.0","-5,828.0","-8,884.0"
"96","75","          Capital consumption adjustment","A2205C1","-331.0","-421.0","-652.0","-86.0","8.0","-210.0","-494.0","-243.0","161.0","682.0","1,851.0","2,476.0","6,593.0","7,654.0","16,678.0","26,847.0","35,431.0","40,534.0","37,113.0","38,120.0","39,086.0","29,510.0","26,338.0","29,405.0","31,348.0","28,100.0","29,286.0","34,880.0","44,097.0","49,123.0","62,049.0","72,815.0","94,876.0","109,156.0","121,250.0","127,159.0","94,290.0","103,736.0","100,454.0","167,661.0","156,553.0","167,698.0","210,008.0"
"97",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","    Proprietors' income with IVA and CCAdj","A1654C1","449.0","449.0","477.0","558.0","602.0","564.0","550.0","570.0","617.0","633.0","668.0","570.0","604.0","728.0","1,004.0","1,264.0","1,026.0","990.0","1,632.0","1,855.0","1,916.0","1,545.0","1,799.0","1,908.0","1,946.0","2,436.0","2,507.0","2,342.0","2,643.0","1,978.0","1,452.0","1,364.0","1,398.0","1,279.0","1,233.0","2,312.0","2,430.0","2,968.0","3,512.0","4,227.0","4,643.0","4,889.0","4,878.0"
"99","77","      Proprietors' income with IVA","B1207C1","512.0","527.0","574.0","663.0","721.0","732.0","796.0","853.0","936.0","994.0","1,085.0","1,085.0","1,193.0","1,345.0","1,616.0","1,860.0","1,607.0","1,565.0","2,209.0","2,464.0","2,555.0","2,211.0","2,465.0","2,560.0","2,596.0","3,094.0","3,173.0","2,992.0","3,274.0","2,571.0","2,021.0","1,944.0","1,966.0","1,835.0","1,775.0","2,892.0","3,076.0","3,699.0","4,361.0","5,167.0","5,563.0","5,813.0","5,844.0"
"100","78","      Capital consumption adjustment","B1411C1","-63.0","-78.0","-97.0","-105.0","-119.0","-168.0","-246.0","-283.0","-319.0","-361.0","-417.0","-515.0","-589.0","-617.0","-612.0","-596.0","-581.0","-575.0","-577.0","-609.0","-639.0","-666.0","-666.0","-652.0","-650.0","-658.0","-666.0","-650.0","-631.0","-593.0","-569.0","-580.0","-568.0","-556.0","-542.0","-580.0","-646.0","-731.0","-849.0","-940.0","-920.0","-924.0","-966.0"
"101","79","    Rental income of persons with CCAdj","W155RC1","6,023.0","6,234.0","6,270.0","7,329.0","8,656.0","8,486.0","8,659.0","8,704.0","9,497.0","10,147.0","11,399.0","14,333.0","20,115.0","24,221.0","25,808.0","28,516.0","32,540.0","29,002.0","27,409.0","25,750.0","25,342.0","29,221.0","34,394.0","42,145.0","47,557.0","52,074.0","56,108.0","58,412.0","61,293.0","60,718.0","60,537.0","60,731.0","64,576.0","58,774.0","55,013.0","55,040.0","56,773.0","59,351.0","71,116.0","96,249.0","93,989.0","106,265.0","118,195.0"
"102","80","      Rental income of persons (without CCAdj)","W488RC1","6,959.0","7,236.0","7,419.0","8,640.0","10,217.0","10,390.0","10,927.0","11,220.0","12,431.0","13,688.0","15,563.0","19,209.0","25,583.0","30,055.0","31,709.0","34,564.0","38,678.0","35,413.0","34,116.0","32,729.0","32,566.0","36,622.0","41,842.0","49,608.0","55,326.0","60,120.0","64,524.0","67,027.0","70,209.0","69,956.0","70,265.0","71,080.0","75,556.0","70,052.0","67,002.0","68,410.0","71,593.0","75,594.0","87,674.0","112,451.0","109,074.0","120,992.0","132,908.0"
"103","81","      Capital consumption adjustment","B050RC1","-936.0","-1,002.0","-1,149.0","-1,311.0","-1,561.0","-1,904.0","-2,268.0","-2,516.0","-2,934.0","-3,541.0","-4,164.0","-4,876.0","-5,468.0","-5,834.0","-5,901.0","-6,048.0","-6,138.0","-6,411.0","-6,707.0","-6,979.0","-7,224.0","-7,401.0","-7,448.0","-7,463.0","-7,769.0","-8,046.0","-8,416.0","-8,615.0","-8,916.0","-9,238.0","-9,728.0","-10,349.0","-10,980.0","-11,278.0","-11,989.0","-13,370.0","-14,820.0","-16,243.0","-16,558.0","-16,202.0","-15,085.0","-14,727.0","-14,713.0"
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","separately; the current surplus of government enterprises is included in line 17, taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","on production and imports less subsidies plus business current transfer payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
