"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141"
"24","5","  Services-producing industries","N233RC1","3,095,179.0","3,115,806.0","3,122,777.0","3,098,606.0","3,089,724.0","3,087,897.0","3,074,555.0","3,074,280.0","3,068,238.0","3,064,116.0","3,069,851.0","3,076,988.0","3,080,108.0","3,082,504.0","3,094,587.0","3,104,785.0","3,110,998.0","3,128,824.0","3,111,944.0","3,120,813.0","3,127,317.0","3,126,656.0","3,131,250.0","3,132,209.0","3,130,536.0","3,141,685.0","3,157,873.0","3,171,065.0","3,198,254.0","3,208,458.0","3,223,614.0","3,241,272.0","3,252,049.0","3,270,026.0","3,294,217.0","3,293,483.0","3,307,858.0","3,315,411.0","3,330,601.0","3,352,902.0","3,395,417.0","3,408,375.0","3,443,292.0","3,465,615.0","3,481,800.0","3,505,914.0","3,501,212.0","3,513,375.0","3,513,882.0","3,520,870.0","3,524,716.0","3,552,115.0","3,566,392.0","3,591,644.0","3,633,612.0","3,641,575.0","3,660,656.0","3,674,175.0","3,688,335.0","3,705,062.0","3,762,895.0","3,792,928.0","3,809,211.0","3,829,899.0","3,806,595.0","3,824,098.0","3,847,950.0","3,857,660.0","3,888,413.0","3,919,540.0","3,953,489.0","4,000,678.0","4,035,917.0","4,078,688.0","4,095,606.0","4,082,972.0","4,082,081.0","4,102,431.0","4,113,833.0","4,116,161.0","4,144,220.0","4,162,662.0","4,192,016.0","4,224,681.0","4,230,774.0","4,244,561.0","4,245,739.0","4,209,078.0","4,196,757.0","4,189,882.0","4,190,797.0","4,200,382.0","4,201,773.0","4,199,591.0","4,166,674.0","4,112,310.0","4,039,782.0","3,998,457.0","3,984,682.0","4,020,436.0","4,047,877.0","4,045,965.0","4,030,350.0","4,029,934.0","4,030,360.0","4,039,375.0","4,056,668.0","4,058,049.0","4,071,145.0","4,066,605.0","4,087,240.0","4,121,649.0","4,149,091.0","4,155,003.0","4,178,683.0","4,195,790.0","4,198,635.0","4,217,748.0","4,207,507.0","4,220,528.0","4,300,980.0","4,329,844.0","4,335,568.0","4,349,399.0","4,344,520.0","4,358,940.0","4,369,230.0","4,357,114.0","4,365,709.0","4,405,650.0","4,384,694.0","4,387,138.0","4,441,945.0","4,481,086.0","4,509,862.0","4,512,872.0","4,528,954.0","4,553,240.0"
"25","6","    Trade, transportation, and utilities","N234RC1","852,535.0","852,914.0","854,075.0","849,627.0","848,493.0","848,692.0","844,350.0","842,771.0","841,634.0","838,456.0","840,045.0","839,783.0","840,754.0","840,857.0","845,812.0","844,684.0","848,008.0","850,963.0","848,603.0","848,330.0","848,604.0","844,958.0","847,317.0","849,530.0","849,749.0","853,669.0","858,208.0","856,320.0","857,926.0","857,344.0","858,240.0","864,991.0","868,773.0","877,471.0","880,756.0","875,945.0","878,345.0","879,773.0","881,660.0","890,632.0","900,495.0","904,613.0","913,162.0","917,774.0","922,740.0","926,438.0","922,292.0","926,175.0","927,663.0","929,686.0","928,712.0","936,120.0","938,000.0","942,710.0","953,390.0","952,807.0","953,140.0","955,098.0","956,545.0","961,498.0","974,949.0","984,923.0","987,735.0","993,069.0","985,426.0","989,634.0","996,302.0","996,496.0","1,000,521.0","1,007,892.0","1,013,236.0","1,021,689.0","1,022,469.0","1,033,423.0","1,042,313.0","1,044,260.0","1,044,972.0","1,050,664.0","1,046,055.0","1,039,808.0","1,045,240.0","1,052,595.0","1,059,629.0","1,060,542.0","1,060,693.0","1,065,157.0","1,065,354.0","1,056,409.0","1,051,764.0","1,051,717.0","1,047,896.0","1,047,079.0","1,047,794.0","1,043,966.0","1,034,948.0","1,023,808.0","1,013,046.0","1,002,389.0","990,158.0","989,450.0","991,479.0","984,631.0","978,983.0","983,654.0","985,361.0","982,854.0","983,882.0","983,669.0","987,084.0","984,845.0","989,246.0","998,343.0","1,005,855.0","1,006,495.0","1,015,117.0","1,013,659.0","1,017,207.0","1,018,672.0","1,013,416.0","1,016,471.0","1,038,316.0","1,043,961.0","1,046,912.0","1,047,583.0","1,044,326.0","1,048,400.0","1,056,589.0","1,052,226.0","1,053,662.0","1,058,371.0","1,055,636.0","1,055,699.0","1,075,020.0","1,086,859.0","1,089,187.0","1,092,294.0","1,096,813.0","1,103,676.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,242,644.0","2,262,892.0","2,268,703.0","2,248,979.0","2,241,231.0","2,239,205.0","2,230,206.0","2,231,509.0","2,226,605.0","2,225,660.0","2,229,805.0","2,237,205.0","2,239,354.0","2,241,648.0","2,248,775.0","2,260,101.0","2,262,990.0","2,277,861.0","2,263,341.0","2,272,483.0","2,278,713.0","2,281,698.0","2,283,934.0","2,282,679.0","2,280,787.0","2,288,016.0","2,299,665.0","2,314,745.0","2,340,328.0","2,351,113.0","2,365,374.0","2,376,281.0","2,383,276.0","2,392,554.0","2,413,461.0","2,417,538.0","2,429,512.0","2,435,637.0","2,448,941.0","2,462,270.0","2,494,922.0","2,503,762.0","2,530,130.0","2,547,841.0","2,559,060.0","2,579,476.0","2,578,920.0","2,587,200.0","2,586,219.0","2,591,184.0","2,596,004.0","2,615,996.0","2,628,392.0","2,648,934.0","2,680,222.0","2,688,768.0","2,707,515.0","2,719,078.0","2,731,791.0","2,743,564.0","2,787,946.0","2,808,005.0","2,821,476.0","2,836,830.0","2,821,169.0","2,834,465.0","2,851,648.0","2,861,165.0","2,887,892.0","2,911,648.0","2,940,253.0","2,978,989.0","3,013,448.0","3,045,265.0","3,053,293.0","3,038,712.0","3,037,109.0","3,051,767.0","3,067,778.0","3,076,352.0","3,098,980.0","3,110,066.0","3,132,387.0","3,164,139.0","3,170,081.0","3,179,404.0","3,180,384.0","3,152,669.0","3,144,994.0","3,138,165.0","3,142,902.0","3,153,303.0","3,153,979.0","3,155,626.0","3,131,726.0","3,088,502.0","3,026,736.0","2,996,068.0","2,994,524.0","3,030,986.0","3,056,398.0","3,061,335.0","3,051,366.0","3,046,280.0","3,045,000.0","3,056,520.0","3,072,786.0","3,074,379.0","3,084,061.0","3,081,760.0","3,097,994.0","3,123,306.0","3,143,236.0","3,148,509.0","3,163,566.0","3,182,131.0","3,181,429.0","3,199,076.0","3,194,091.0","3,204,057.0","3,262,663.0","3,285,883.0","3,288,656.0","3,301,816.0","3,300,194.0","3,310,539.0","3,312,641.0","3,304,888.0","3,312,047.0","3,347,279.0","3,329,058.0","3,331,438.0","3,366,925.0","3,394,227.0","3,420,674.0","3,420,578.0","3,432,141.0","3,449,565.0"
"27","8","Government","B202RC1","799,788.0","805,224.0","808,200.0","811,476.0","814,644.0","820,152.0","824,820.0","828,504.0","831,972.0","835,500.0","839,748.0","842,580.0","858,756.0","861,840.0","864,132.0","866,628.0","870,756.0","873,732.0","875,448.0","878,844.0","879,144.0","880,680.0","882,840.0","884,556.0","899,012.0","904,139.0","907,111.0","908,875.0","913,266.0","919,317.0","916,788.0","915,372.0","914,700.0","918,276.0","919,896.0","923,148.0","935,995.0","939,912.0","945,376.0","953,402.0","950,885.0","952,373.0","953,869.0","956,004.0","957,648.0","960,264.0","963,372.0","964,596.0","980,880.0","982,884.0","983,556.0","985,584.0","987,720.0","989,532.0","992,796.0","993,888.0","996,684.0","997,788.0","1,001,652.0","1,004,904.0","1,015,512.0","1,019,052.0","1,022,484.0","1,025,484.0","1,028,172.0","1,031,292.0","1,036,032.0","1,040,076.0","1,046,832.0","1,049,448.0","1,052,388.0","1,055,040.0","1,072,080.0","1,077,264.0","1,079,784.0","1,080,744.0","1,082,220.0","1,084,992.0","1,087,536.0","1,092,492.0","1,097,712.0","1,100,184.0","1,104,036.0","1,109,292.0","1,121,856.0","1,128,564.0","1,132,332.0","1,134,864.0","1,137,312.0","1,141,416.0","1,145,820.0","1,151,364.0","1,155,828.0","1,159,320.0","1,160,280.0","1,160,304.0","1,166,883.0","1,166,465.0","1,167,544.0","1,173,606.0","1,176,485.0","1,178,104.0","1,177,752.0","1,177,986.0","1,177,550.0","1,179,113.0","1,180,002.0","1,181,234.0","1,186,496.0","1,187,724.0","1,189,895.0","1,191,193.0","1,200,084.0","1,196,071.0","1,193,932.0","1,189,678.0","1,186,799.0","1,191,298.0","1,191,043.0","1,191,219.0","1,193,369.0","1,193,338.0","1,194,679.0","1,196,646.0","1,196,650.0","1,198,757.0","1,197,171.0","1,198,864.0","1,197,048.0","1,193,571.0","1,192,051.0","1,191,769.0","1,197,635.0","1,199,440.0","1,200,214.0","1,200,119.0","1,199,473.0","1,200,101.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","estate and rental and leasing; professional, scientific, and technical services; management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","of companies and enterprises; administrative and support and waste management and remediation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","services; educational services; health care and social assistance; arts, entertainment, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","recreation; accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
