"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"100","8","       Employer contributions for government social insurance","B039RC1","154,104.0","154,788.0","156,204.0","155,736.0","156,276.0","157,152.0","157,956.0","158,880.0","159,324.0","160,524.0","161,640.0","161,844.0","161,808.0","163,032.0","163,836.0","163,896.0","164,964.0","165,324.0","165,792.0","167,556.0","167,592.0","169,020.0","169,956.0","172,344.0","178,620.0","179,700.0","180,576.0","182,424.0","183,180.0","184,572.0","185,904.0","185,832.0","186,876.0","189,036.0","188,796.0","190,080.0","190,512.0","190,440.0","191,616.0","192,792.0","191,784.0","192,624.0","194,172.0","193,812.0","194,820.0","197,064.0","196,872.0","197,580.0","201,336.0","203,292.0","204,456.0","206,064.0","205,560.0","207,072.0","208,368.0","207,648.0","208,896.0","207,636.0","207,804.0","209,280.0","212,052.0","211,800.0","212,076.0","212,688.0","213,372.0","215,448.0","215,436.0","216,108.0","217,776.0","217,044.0","217,728.0","220,056.0","223,080.0","225,816.0","226,428.0","226,908.0","228,036.0","228,480.0","228,924.0","230,544.0","230,448.0","231,036.0","232,548.0","228,528.0","234,552.0","235,104.0","234,588.0","237,828.0","239,772.0","239,028.0","240,156.0","241,584.0","241,224.0","241,944.0","242,496.0","247,872.0","249,480.0","248,592.0","250,032.0","252,276.0","254,016.0","253,752.0","254,808.0","254,952.0","256,032.0","258,636.0","258,180.0","258,912.0","260,052.0","260,892.0","261,588.0","262,716.0","262,404.0","263,448.0","264,684.0","265,212.0","265,944.0","267,180.0","267,636.0","267,684.0","267,468.0","270,120.0","271,128.0","271,836.0","273,000.0","275,340.0","275,112.0","276,432.0","278,076.0","278,232.0","279,648.0","281,268.0","281,856.0","283,956.0","285,588.0","286,056.0","287,004.0","288,168.0","289,224.0","291,336.0","292,560.0","294,324.0","297,072.0","297,972.0","299,520.0","301,260.0","302,568.0","303,684.0","305,484.0","306,408.0","307,524.0","309,852.0","310,620.0","311,700.0","313,716.0","314,508.0","317,976.0","319,908.0","319,896.0","320,292.0","321,312.0","321,432.0","322,452.0","323,856.0","324,612.0","326,664.0","328,992.0","332,676.0","339,912.0","341,496.0","342,156.0","342,048.0","340,260.0","342,576.0","346,980.0","347,508.0","349,176.0","350,088.0","350,100.0","350,340.0","357,456.0","359,808.0","360,756.0","358,980.0","358,308.0","357,936.0","357,576.0","356,868.0","356,616.0","356,484.0","357,012.0","358,032.0","362,460.0","363,108.0","364,452.0","365,400.0","366,180.0","367,872.0","366,216.0","366,744.0","367,464.0","367,284.0","367,656.0","368,496.0"
"101","9","   Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","245,514.0","249,023.0","253,982.0","255,487.0","256,165.0","259,915.0","265,163.0","270,072.0","279,182.0","270,099.0","268,094.0","278,067.0","279,781.0","282,645.0","285,573.0","286,228.0","290,403.0","292,502.0","294,976.0","297,290.0","299,294.0","303,424.0","305,995.0","312,854.0","324,228.0","327,797.0","330,566.0","333,460.0","331,897.0","335,921.0","342,250.0","344,846.0","341,783.0","332,904.0","330,575.0","341,843.0","354,181.0","358,831.0","357,839.0","348,595.0","347,029.0","349,496.0","344,868.0","349,521.0","349,038.0","350,426.0","353,643.0","355,439.0","361,993.0","361,166.0","358,554.0","361,850.0","365,675.0","365,243.0","366,381.0","371,087.0","370,097.0","366,147.0","369,006.0","364,526.0","356,281.0","358,375.0","358,879.0","363,489.0","365,179.0","366,817.0","366,744.0","366,401.0","370,062.0","373,615.0","376,793.0","384,726.0","394,820.0","396,760.0","397,690.0","405,622.0","410,604.0","415,005.0","420,176.0","422,573.0","420,034.0","433,046.0","434,749.0","427,965.0","436,317.0","436,229.0","434,871.0","447,626.0","452,177.0","450,554.0","453,428.0","444,582.0","442,959.0","454,583.0","466,194.0","475,868.0","470,645.0","477,527.0","481,886.0","478,844.0","482,987.0","483,687.0","479,992.0","486,205.0","491,069.0","494,094.0","496,664.0","497,658.0","499,930.0","499,652.0","501,758.0","501,239.0","506,251.0","511,284.0","514,283.0","520,532.0","525,133.0","531,238.0","537,560.0","543,438.0","547,920.0","561,404.0","571,412.0","578,489.0","589,668.0","591,414.0","587,376.0","586,363.0","592,065.0","598,037.0","599,309.0","600,737.0","616,323.0","620,691.0","621,869.0","616,613.0","619,519.0","622,010.0","630,408.0","631,602.0","636,502.0","641,637.0","637,803.0","643,822.0","658,518.0","662,267.0","670,142.0","671,574.0","674,686.0","684,854.0","691,418.0","691,038.0","696,158.0","709,558.0","716,314.0","723,844.0","728,906.0","727,952.0","731,973.0","736,220.0","733,874.0","746,537.0","748,751.0","756,680.0","746,507.0","756,964.0","770,294.0","776,973.0","766,262.0","783,947.0","800,942.0","809,482.0","819,288.0","829,313.0","816,084.0","826,842.0","837,046.0","830,590.0","836,895.0","852,800.0","865,270.0","865,641.0","871,416.0","866,779.0","871,424.0","876,623.0","878,287.0","886,531.0","869,430.0","867,353.0","864,818.0","865,120.0","879,968.0","881,732.0","879,939.0","881,826.0","883,168.0","887,471.0","894,579.0","892,694.0","892,548.0","899,700.0","903,493.0","906,391.0"
"102","10","     Farm","B042RC1","18,616.0","18,022.0","18,086.0","18,341.0","19,497.0","21,228.0","25,314.0","26,963.0","27,798.0","26,669.0","26,708.0","26,807.0","26,452.0","27,339.0","28,083.0","28,745.0","29,124.0","29,281.0","28,681.0","28,792.0","29,076.0","29,656.0","29,349.0","32,309.0","33,702.0","33,535.0","32,859.0","30,833.0","26,368.0","25,129.0","30,507.0","30,384.0","25,402.0","17,263.0","14,443.0","21,200.0","31,174.0","39,970.0","39,096.0","33,739.0","32,227.0","31,288.0","30,382.0","30,287.0","30,528.0","31,996.0","32,514.0","33,051.0","34,208.0","34,532.0","34,415.0","33,115.0","32,636.0","32,252.0","32,257.0","31,851.0","31,323.0","30,641.0","29,851.0","28,928.0","27,007.0","26,506.0","26,554.0","28,648.0","28,706.0","28,223.0","25,249.0","25,007.0","25,571.0","28,092.0","29,496.0","30,980.0","33,299.0","34,563.0","33,977.0","34,683.0","35,372.0","39,233.0","37,930.0","38,076.0","37,402.0","36,550.0","35,075.0","33,543.0","29,325.0","28,897.0","29,791.0","34,716.0","35,946.0","36,104.0","32,990.0","22,633.0","24,473.0","29,810.0","38,569.0","41,067.0","42,617.0","42,899.0","42,170.0","39,172.0","37,516.0","35,947.0","34,468.0","33,075.0","31,767.0","31,082.0","29,334.0","27,109.0","23,249.0","21,376.0","20,189.0","19,650.0","19,625.0","20,115.0","21,295.0","22,696.0","24,487.0","27,029.0","29,425.0","32,113.0","35,454.0","38,293.0","40,857.0","45,684.0","46,004.0","44,468.0","36,421.0","34,182.0","33,206.0","35,011.0","35,485.0","36,160.0","39,256.0","38,627.0","36,599.0","29,394.0","27,731.0","27,654.0","31,908.0","32,761.0","32,974.0","32,093.0","31,459.0","30,606.0","30,964.0","27,616.0","25,988.0","26,575.0","26,784.0","27,125.0","26,050.0","26,792.0","28,315.0","32,042.0","33,713.0","34,593.0","35,302.0","34,563.0","33,092.0","29,701.0","28,558.0","27,973.0","28,295.0","27,360.0","24,094.0","24,620.0","24,124.0","24,255.0","24,410.0","25,502.0","27,387.0","30,964.0","32,160.0","31,583.0","29,368.0","29,246.0","30,593.0","29,477.0","31,038.0","33,853.0","32,818.0","32,019.0","31,373.0","30,877.0","30,681.0","30,781.0","31,087.0","31,226.0","31,115.0","30,714.0","28,662.0","24,927.0","20,131.0","15,867.0","12,777.0","10,842.0","10,917.0","13,005.0","17,109.0","20,394.0","22,860.0","24,575.0","25,943.0","27,002.0"
"103","11","     Nonfarm","A045RC1","226,898.0","231,001.0","235,896.0","237,146.0","236,667.0","238,686.0","239,850.0","243,109.0","251,385.0","243,430.0","241,387.0","251,261.0","253,329.0","255,306.0","257,491.0","257,483.0","261,280.0","263,221.0","266,295.0","268,498.0","270,218.0","273,769.0","276,647.0","280,546.0","290,526.0","294,262.0","297,706.0","302,627.0","305,529.0","310,793.0","311,743.0","314,462.0","316,381.0","315,641.0","316,132.0","320,643.0","323,006.0","318,860.0","318,742.0","314,856.0","314,801.0","318,207.0","314,486.0","319,234.0","318,511.0","318,430.0","321,129.0","322,388.0","327,785.0","326,634.0","324,139.0","328,735.0","333,039.0","332,991.0","334,124.0","339,236.0","338,775.0","335,506.0","339,155.0","335,598.0","329,274.0","331,869.0","332,325.0","334,841.0","336,473.0","338,594.0","341,495.0","341,394.0","344,491.0","345,523.0","347,297.0","353,746.0","361,521.0","362,197.0","363,714.0","370,939.0","375,231.0","375,772.0","382,246.0","384,496.0","382,632.0","396,496.0","399,674.0","394,422.0","406,992.0","407,332.0","405,080.0","412,910.0","416,231.0","414,450.0","420,437.0","421,949.0","418,486.0","424,773.0","427,625.0","434,801.0","428,028.0","434,628.0","439,716.0","439,671.0","445,470.0","447,740.0","445,523.0","453,130.0","459,302.0","463,013.0","467,331.0","470,549.0","476,681.0","478,276.0","481,569.0","481,589.0","486,626.0","491,169.0","492,988.0","497,836.0","500,646.0","504,209.0","508,135.0","511,325.0","512,467.0","523,111.0","530,555.0","532,805.0","543,663.0","546,945.0","550,955.0","552,181.0","558,859.0","563,026.0","563,824.0","564,577.0","577,067.0","582,064.0","585,270.0","587,218.0","591,788.0","594,356.0","598,500.0","598,841.0","603,528.0","609,543.0","606,344.0","613,215.0","627,554.0","634,651.0","644,155.0","644,998.0","647,902.0","657,729.0","665,368.0","664,245.0","667,843.0","677,516.0","682,601.0","689,251.0","693,604.0","693,389.0","698,881.0","706,518.0","705,316.0","718,564.0","720,456.0","729,320.0","722,413.0","732,344.0","746,170.0","752,718.0","741,852.0","758,445.0","773,555.0","778,518.0","787,128.0","797,730.0","786,716.0","797,596.0","806,454.0","801,113.0","805,857.0","818,947.0","832,453.0","833,622.0","840,043.0","835,902.0","840,744.0","845,843.0","847,200.0","855,306.0","838,315.0","836,640.0","836,156.0","840,193.0","859,837.0","865,865.0","867,162.0","870,984.0","872,252.0","874,465.0","877,471.0","872,300.0","869,688.0","875,125.0","877,550.0","879,388.0"
"104","12","   Rental income of persons with capital consumption adjustment","A048RC1","37,675.0","36,590.0","36,064.0","36,107.0","35,719.0","34,902.0","33,655.0","32,506.0","31,457.0","30,505.0","30,201.0","30,544.0","31,528.0","31,792.0","31,331.0","30,148.0","30,099.0","31,184.0","33,404.0","35,412.0","37,205.0","38,785.0","39,617.0","39,699.0","39,036.0","38,396.0","37,781.0","37,194.0","36,839.0","36,716.0","36,824.0","38,316.0","41,193.0","45,454.0","47,551.0","47,480.0","45,258.0","43,906.0","43,436.0","43,844.0","43,693.0","42,978.0","41,705.0","40,956.0","40,714.0","40,147.0","40,798.0","41,536.0","42,253.0","43,113.0","44,483.0","46,266.0","48,198.0","50,185.0","52,213.0","53,554.0","54,201.0","54,117.0","54,310.0","54,750.0","55,519.0","56,139.0","56,695.0","57,170.0","57,982.0","59,112.0","60,508.0","62,523.0","65,102.0","68,200.0","69,488.0","70,530.0","70,128.0","71,056.0","73,607.0","77,783.0","81,449.0","84,611.0","87,281.0","89,629.0","90,980.0","93,521.0","95,862.0","99,523.0","102,518.0","105,484.0","108,382.0","111,956.0","113,864.0","114,710.0","114,481.0","114,972.0","116,605.0","118,912.0","121,844.0","125,336.0","129,945.0","133,141.0","136,241.0","138,795.0","141,639.0","144,433.0","147,328.0","148,952.0","149,317.0","148,347.0","148,156.0","148,670.0","149,847.0","150,985.0","152,069.0","153,004.0","153,255.0","152,779.0","151,573.0","152,171.0","154,576.0","158,458.0","161,784.0","164,298.0","165,885.0","166,885.0","167,457.0","167,654.0","168,257.0","169,323.0","170,892.0","172,184.0","173,238.0","174,062.0","174,596.0","174,845.0","174,775.0","174,896.0","175,168.0","175,675.0","175,938.0","176,036.0","175,864.0","176,265.0","177,136.0","178,396.0","179,140.0","179,288.0","180,988.0","182,732.0","184,498.0","186,306.0","188,477.0","191,029.0","193,964.0","195,988.0","197,102.0","197,945.0","198,669.0","199,916.0","201,370.0","203,026.0","204,575.0","205,962.0","207,055.0","207,799.0","208,118.0","209,024.0","210,328.0","211,904.0","213,927.0","214,779.0","214,966.0","214,754.0","214,011.0","212,762.0","211,963.0","211,640.0","211,714.0","212,948.0","215,267.0","218,775.0","221,365.0","223,141.0","224,185.0","225,257.0","226,440.0","227,841.0","230,211.0","233,654.0","238,254.0","240,342.0","240,002.0","236,721.0","234,053.0","231,491.0","228,987.0","228,527.0","230,068.0","233,683.0","233,104.0","228,410.0","219,622.0","212,207.0","206,193.0","201,644.0","200,269.0","202,138.0"
"105","13","   Personal income receipts on assets","W210RC1","681,989.0","688,334.0","692,706.0","694,566.0","696,504.0","697,980.0","697,731.0","697,726.0","697,544.0","696,199.0","696,064.0","695,938.0","697,728.0","698,099.0","699,208.0","699,405.0","702,998.0","707,390.0","714,557.0","720,730.0","727,266.0","736,547.0","741,532.0","744,129.0","744,483.0","745,087.0","746,339.0","746,005.0","749,742.0","755,459.0","764,563.0","772,977.0","781,343.0","788,418.0","799,104.0","810,924.0","834,578.0","847,595.0","858,590.0","865,373.0","872,248.0","877,911.0","881,303.0","884,977.0","888,824.0","891,746.0","896,010.0","898,396.0","904,288.0","908,133.0","912,324.0","917,527.0","918,078.0","922,223.0","925,820.0","928,178.0","929,077.0","929,581.0","928,033.0","925,978.0","925,629.0","928,219.0","927,920.0","930,672.0","931,518.0","931,839.0","932,249.0","931,564.0","930,623.0","927,424.0","924,504.0","920,702.0","917,260.0","915,357.0","913,952.0","914,273.0","912,946.0","911,199.0","907,813.0","906,139.0","904,958.0","904,256.0","904,082.0","904,417.0","907,380.0","907,425.0","906,672.0","904,428.0","902,596.0","900,487.0","896,450.0","895,021.0","894,553.0","894,586.0","896,374.0","899,464.0","903,275.0","908,824.0","915,531.0","924,069.0","932,570.0","941,703.0","952,961.0","962,211.0","970,953.0","981,278.0","987,349.0","991,269.0","991,206.0","992,972.0","994,734.0","996,015.0","998,158.0","1,000,681.0","1,003,036.0","1,006,766.0","1,011,323.0","1,017,277.0","1,023,020.0","1,029,120.0","1,034,262.0","1,041,479.0","1,049,457.0","1,059,291.0","1,067,970.0","1,076,583.0","1,084,943.0","1,093,549.0","1,102,214.0","1,112,754.0","1,120,151.0","1,126,227.0","1,129,058.0","1,134,205.0","1,139,750.0","1,145,661.0","1,152,027.0","1,158,818.0","1,165,732.0","1,173,611.0","1,182,154.0","1,189,721.0","1,200,830.0","1,213,845.0","1,232,412.0","1,245,862.0","1,257,822.0","1,269,537.0","1,277,570.0","1,283,165.0","1,287,131.0","1,287,245.0","1,284,313.0","1,277,693.0","1,269,162.0","1,258,081.0","1,236,067.0","1,227,752.0","1,224,725.0","1,233,648.0","1,236,158.0","1,238,937.0","1,239,167.0","1,244,605.0","1,252,427.0","1,261,325.0","1,274,882.0","1,291,786.0","1,318,757.0","1,335,463.0","1,348,623.0","1,355,910.0","1,363,736.0","1,369,769.0","1,374,475.0","1,376,579.0","1,376,554.0","1,373,632.0","1,369,944.0","1,364,718.0","1,360,778.0","1,357,604.0","1,355,146.0","1,353,400.0","1,350,658.0","1,347,624.0","1,343,529.0","1,340,387.0","1,337,993.0","1,337,486.0","1,335,105.0","1,331,917.0","1,324,191.0","1,318,678.0","1,314,341.0","1,318,306.0","1,315,692.0","1,312,193.0","1,308,446.0","1,303,553.0","1,299,517.0","1,300,532.0","1,299,862.0","1,299,503.0"
"106","14","     Personal interest income","A064RC1","580,349.0","585,062.0","588,342.0","589,074.0","590,328.0","590,988.0","590,547.0","590,398.0","590,036.0","588,763.0","588,496.0","588,538.0","588,876.0","589,547.0","590,536.0","590,757.0","593,198.0","596,774.0","602,717.0","607,630.0","612,750.0","620,699.0","624,256.0","626,049.0","623,679.0","623,743.0","623,843.0","621,685.0","623,574.0","627,215.0","634,291.0","640,173.0","646,547.0","651,462.0","660,276.0","671,040.0","689,450.0","699,839.0","707,906.0","711,953.0","716,656.0","720,315.0","722,063.0","724,285.0","726,116.0","726,206.0","728,262.0","730,936.0","734,848.0","738,297.0","741,900.0","746,299.0","749,730.0","752,831.0","755,816.0","758,102.0","759,901.0","762,457.0","762,349.0","760,822.0","754,101.0","751,819.0","750,200.0","751,944.0","751,122.0","750,435.0","749,897.0","748,720.0","746,915.0","744,004.0","741,300.0","738,326.0","734,034.0","731,294.0","729,067.0","728,580.0","726,461.0","723,934.0","719,785.0","717,360.0","715,445.0","714,022.0","713,141.0","712,785.0","715,070.0","714,174.0","712,213.0","708,497.0","704,930.0","700,820.0","694,517.0","690,558.0","687,295.0","684,268.0","682,733.0","682,233.0","682,190.0","684,193.0","687,660.0","693,265.0","699,139.0","705,952.0","715,198.0","722,742.0","730,085.0","739,317.0","744,603.0","748,044.0","747,809.0","749,021.0","749,848.0","749,812.0","750,255.0","750,698.0","750,591.0","751,477.0","752,807.0","755,154.0","756,907.0","758,636.0","759,025.0","761,699.0","765,345.0","771,056.0","775,823.0","780,734.0","785,602.0","790,927.0","796,520.0","804,198.0","808,944.0","812,579.0","813,179.0","816,031.0","819,216.0","822,704.0","826,582.0","830,821.0","835,119.0","840,317.0","846,115.0","850,873.0","859,109.0","869,187.0","884,755.0","895,806.0","905,969.0","916,490.0","923,929.0","929,533.0","934,108.0","935,433.0","934,313.0","930,108.0","924,592.0","917,128.0","899,334.0","894,299.0","893,614.0","903,940.0","906,914.0","909,219.0","908,035.0","911,122.0","915,654.0","920,323.0","928,713.0","939,512.0","959,438.0","970,004.0","977,927.0","980,884.0","985,282.0","988,793.0","991,879.0","993,269.0","993,434.0","991,606.0","989,917.0","987,594.0","987,462.0","987,377.0","987,290.0","987,196.0","985,388.0","982,570.0","977,972.0","973,609.0","969,276.0","966,112.0","960,354.0","953,072.0","940,534.0","930,730.0","922,622.0","923,338.0","917,996.0","912,291.0","906,858.0","900,801.0","896,122.0","897,015.0","896,745.0","897,306.0"
"107","15","     Personal dividend income","B703RC1","101,640.0","103,272.0","104,364.0","105,492.0","106,176.0","106,992.0","107,184.0","107,328.0","107,508.0","107,436.0","107,568.0","107,400.0","108,852.0","108,552.0","108,672.0","108,648.0","109,800.0","110,616.0","111,840.0","113,100.0","114,516.0","115,848.0","117,276.0","118,080.0","120,804.0","121,344.0","122,496.0","124,320.0","126,168.0","128,244.0","130,272.0","132,804.0","134,796.0","136,956.0","138,828.0","139,884.0","145,128.0","147,756.0","150,684.0","153,420.0","155,592.0","157,596.0","159,240.0","160,692.0","162,708.0","165,540.0","167,748.0","167,460.0","169,440.0","169,836.0","170,424.0","171,228.0","168,348.0","169,392.0","170,004.0","170,076.0","169,176.0","167,124.0","165,684.0","165,156.0","171,528.0","176,400.0","177,720.0","178,728.0","180,396.0","181,404.0","182,352.0","182,844.0","183,708.0","183,420.0","183,204.0","182,376.0","183,227.0","184,063.0","184,885.0","185,693.0","186,486.0","187,264.0","188,028.0","188,778.0","189,513.0","190,234.0","190,940.0","191,632.0","192,310.0","193,252.0","194,459.0","195,930.0","197,666.0","199,667.0","201,933.0","204,463.0","207,258.0","210,317.0","213,642.0","217,231.0","221,084.0","224,631.0","227,871.0","230,804.0","233,431.0","235,750.0","237,763.0","239,469.0","240,868.0","241,961.0","242,746.0","243,225.0","243,397.0","243,951.0","244,886.0","246,203.0","247,902.0","249,983.0","252,445.0","255,290.0","258,515.0","262,123.0","266,113.0","270,484.0","275,237.0","279,780.0","284,112.0","288,235.0","292,147.0","295,849.0","299,341.0","302,623.0","305,694.0","308,556.0","311,207.0","313,648.0","315,879.0","318,174.0","320,534.0","322,957.0","325,445.0","327,997.0","330,614.0","333,294.0","336,039.0","338,848.0","341,721.0","344,658.0","347,658.0","350,056.0","351,852.0","353,047.0","353,641.0","353,633.0","353,023.0","351,812.0","349,999.0","347,585.0","344,569.0","340,952.0","336,733.0","333,453.0","331,111.0","329,708.0","329,244.0","329,718.0","331,131.0","333,483.0","336,773.0","341,001.0","346,169.0","352,275.0","359,319.0","365,459.0","370,695.0","375,027.0","378,454.0","380,977.0","382,596.0","383,310.0","383,120.0","382,025.0","380,027.0","377,124.0","373,316.0","370,227.0","367,857.0","366,204.0","365,270.0","365,054.0","365,557.0","366,778.0","368,717.0","371,375.0","374,751.0","378,845.0","383,657.0","387,949.0","391,719.0","394,968.0","397,696.0","399,902.0","401,588.0","402,752.0","403,395.0","403,517.0","403,118.0","402,197.0"
"108","16","   Personal current transfer receipts","A577RC1","440,813.0","441,945.0","445,186.0","445,988.0","448,674.0","450,793.0","457,784.0","453,447.0","455,233.0","456,480.0","456,609.0","458,643.0","460,762.0","463,272.0","463,784.0","464,659.0","471,126.0","466,907.0","468,543.0","468,439.0","468,965.0","471,275.0","470,824.0","472,785.0","485,756.0","486,291.0","494,737.0","491,264.0","492,271.0","494,043.0","496,162.0","498,917.0","500,751.0","502,899.0","505,912.0","508,502.0","524,338.0","527,791.0","537,292.0","535,245.0","536,088.0","540,156.0","542,536.0","546,036.0","550,139.0","554,357.0","558,980.0","558,263.0","574,901.0","577,259.0","580,436.0","585,446.0","587,276.0","592,787.0","594,178.0","595,751.0","604,203.0","610,734.0","613,773.0","622,140.0","634,146.0","639,262.0","644,678.0","654,894.0","659,685.0","662,793.0","662,966.0","668,189.0","674,351.0","691,758.0","691,010.0","706,666.0","720,636.0","723,360.0","730,191.0","739,501.0","743,660.0","746,799.0","751,292.0","755,515.0","759,174.0","762,189.0","754,544.0","762,331.0","777,636.0","777,495.0","783,069.0","782,408.0","781,461.0","787,594.0","793,720.0","798,929.0","800,532.0","798,541.0","800,151.0","807,668.0","813,806.0","815,384.0","817,538.0","820,940.0","819,585.0","820,339.0","820,559.0","824,881.0","827,487.0","840,880.0","843,821.0","851,514.0","864,895.0","869,196.0","874,244.0","874,975.0","881,126.0","880,758.0","885,438.0","886,262.0","885,940.0","880,931.0","878,163.0","885,433.0","902,959.0","910,244.0","919,527.0","929,635.0","931,021.0","933,118.0","928,030.0","926,170.0","925,774.0","925,236.0","927,525.0","929,676.0","945,166.0","941,399.0","947,115.0","944,135.0","942,939.0","945,907.0","947,481.0","950,548.0","953,486.0","954,579.0","956,268.0","961,332.0","965,048.0","968,201.0","972,827.0","973,696.0","974,377.0","977,152.0","976,078.0","977,795.0","981,669.0","984,264.0","989,316.0","994,581.0","1,007,317.0","1,008,131.0","1,014,438.0","1,009,577.0","1,013,088.0","1,017,073.0","1,020,140.0","1,027,941.0","1,030,924.0","1,034,595.0","1,034,904.0","1,040,886.0","1,048,110.0","1,052,624.0","1,056,553.0","1,065,068.0","1,090,508.0","1,082,702.0","1,087,082.0","1,094,434.0","1,099,635.0","1,101,855.0","1,099,280.0","1,118,299.0","1,141,979.0","1,149,049.0","1,158,888.0","1,176,693.0","1,183,945.0","1,187,174.0","1,188,763.0","1,182,418.0","1,193,302.0","1,222,302.0","1,230,771.0","1,241,988.0","1,257,088.0","1,258,624.0","1,257,331.0","1,278,584.0","1,280,346.0","1,282,219.0","1,285,202.0","1,286,712.0","1,293,982.0","1,297,065.0","1,298,778.0","1,309,785.0"
"109","17","     Government social benefits to persons","A063RC1","417,792.0","418,548.0","421,584.0","422,436.0","425,208.0","427,440.0","434,592.0","430,416.0","432,432.0","434,052.0","434,604.0","437,112.0","439,296.0","442,008.0","442,692.0","443,848.0","450,592.0","446,572.0","448,572.0","448,728.0","449,460.0","451,904.0","451,496.0","453,440.0","466,288.0","466,684.0","475,012.0","471,332.0","472,172.0","473,744.0","475,656.0","478,164.0","479,724.0","481,496.0","484,172.0","485,912.0","501,488.0","504,392.0","513,728.0","511,936.0","512,992.0","517,168.0","519,400.0","522,808.0","526,924.0","531,188.0","535,892.0","535,256.0","551,540.0","553,976.0","557,240.0","562,316.0","564,320.0","570,044.0","571,880.0","573,884.0","582,752.0","589,640.0","593,060.0","601,916.0","614,520.0","620,124.0","625,980.0","636,612.0","641,772.0","645,192.0","645,688.0","651,184.0","657,556.0","675,232.0","674,608.0","690,304.0","704,144.0","706,856.0","713,684.0","723,000.0","727,188.0","730,392.0","734,932.0","739,240.0","742,996.0","746,096.0","738,608.0","746,612.0","762,264.0","762,372.0","768,204.0","767,796.0","767,100.0","773,484.0","779,832.0","785,268.0","787,068.0","785,304.0","787,092.0","794,772.0","800,916.0","802,596.0","804,792.0","808,224.0","806,808.0","807,468.0","807,528.0","811,644.0","814,008.0","827,076.0","829,668.0","836,952.0","849,528.0","853,176.0","857,592.0","857,736.0","863,280.0","862,320.0","866,388.0","866,616.0","865,704.0","860,100.0","856,752.0","863,436.0","880,596.0","887,400.0","896,340.0","906,192.0","907,464.0","909,540.0","904,560.0","902,892.0","902,796.0","902,676.0","905,520.0","908,400.0","924,792.0","921,744.0","927,984.0","925,272.0","924,252.0","927,276.0","928,764.0","931,632.0","934,260.0","934,884.0","935,940.0","940,200.0","943,044.0","945,324.0","949,176.0","949,320.0","949,296.0","951,348.0","949,620.0","950,676.0","953,904.0","955,920.0","960,372.0","965,064.0","976,608.0","976,968.0","982,764.0","977,340.0","980,256.0","983,652.0","986,028.0","993,144.0","995,412.0","998,520.0","997,848.0","1,002,804.0","1,008,792.0","1,012,812.0","1,016,220.0","1,024,188.0","1,049,052.0","1,040,652.0","1,044,408.0","1,051,128.0","1,055,712.0","1,057,140.0","1,054,128.0","1,072,716.0","1,096,092.0","1,102,284.0","1,111,464.0","1,128,840.0","1,135,872.0","1,139,076.0","1,140,852.0","1,134,912.0","1,146,408.0","1,176,228.0","1,185,756.0","1,198,272.0","1,214,940.0","1,217,844.0","1,217,904.0","1,241,052.0","1,244,280.0","1,247,628.0","1,252,188.0","1,254,936.0","1,263,444.0","1,267,704.0","1,270,620.0","1,282,848.0"
