"","Table 7#16# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Plus: Adjustment for misreporting on income tax returns","B1633C1","6,499.0","7,603.0","7,256.0","7,231.0","9,618.0","10,430.0","9,985.0","11,629.0","12,170.0","14,762.0","16,455.0","20,072.0","26,250.0","29,803.0","41,404.0","41,179.0","48,796.0","53,831.0","56,592.0","60,921.0","66,732.0","65,154.0","67,596.0","70,677.0","72,549.0","78,086.0","85,743.0","94,083.0","107,698.0","119,484.0","136,050.0","146,808.0","168,183.0","186,465.0","187,101.0","217,107.0","264,945.0","300,000.0","287,540.0","286,821.0","313,517.0",".....","....."
"21","3","      Posttabulation amendments and revisions \1\","B1175C1","988.0","1,013.0","1,841.0","1,817.0","1,546.0","2,648.0","2,997.0","2,418.0","570.0","-930.0","1,581.0","4,825.0","7,852.0","18,064.0","15,952.0","8,856.0","5,074.0","4,899.0","-15,684.0","-14,955.0","-12,570.0","-11,723.0","2,053.0","6,795.0","10,832.0","744.0","7,838.0","9,702.0","23,905.0","30,981.0","51,975.0","70,196.0","65,788.0","42,032.0","22,006.0","34,139.0","10,717.0","18,508.0","74,221.0","84,378.0","91,608.0",".....","....."
"22","4","      Income of organizations not filing corporation income tax returns","A1629C1","3,380.0","3,844.0","3,649.0","3,729.0","5,043.0","6,413.0","6,200.0","6,622.0","6,979.0","8,817.0","10,606.0","12,809.0","15,950.0","17,398.0","16,470.0","19,032.0","18,160.0","15,890.0","17,617.0","20,308.0","23,373.0","25,013.0","24,629.0","24,479.0","23,389.0","24,523.0","28,849.0","29,564.0","30,471.0","33,392.0","34,728.0","40,234.0","37,751.0","33,547.0","27,598.0","33,653.0","37,371.0","45,991.0","47,899.0","45,963.0","59,450.0",".....","....."
"23","5","        Federal Reserve banks","B1630C1","3,075.0","3,526.0","3,312.0","3,344.0","4,476.0","5,681.0","5,610.0","5,872.0","6,109.0","7,645.0","9,433.0","11,798.0","14,393.0","15,245.0","14,586.0","16,433.0","16,346.0","15,516.0","16,247.0","18,087.0","20,671.0","21,851.0","20,776.0","18,358.0","16,770.0","18,610.0","23,055.0","22,664.0","24,424.0","25,753.0","26,837.0","31,418.0","29,185.0","23,911.0","20,533.0","20,537.0","27,135.0","34,376.0","36,532.0","35,352.0","47,615.0",".....","....."
"24","6","        Federally sponsored credit agencies \2\","B1631C1","103.0","71.0","90.0","88.0","239.0","376.0","318.0","328.0","392.0","614.0","822.0","819.0","1,002.0","1,621.0","1,182.0","1,356.0","702.0","-18.0","645.0","1,495.0","2,207.0","2,035.0","2,023.0","1,886.0","2,137.0","2,077.0","2,581.0","2,673.0","3,066.0","3,388.0","3,710.0","3,855.0","3,912.0","3,537.0","3,940.0","3,974.0","4,715.0","5,109.0","5,752.0","6,708.0","8,256.0",".....","....."
"25","7","        Other \3\","B1632C1","202.0","247.0","247.0","297.0","328.0","356.0","272.0","422.0","478.0","558.0","351.0","192.0","555.0","532.0","702.0","1,243.0","1,112.0","392.0","725.0","726.0","495.0","1,127.0","1,830.0","4,235.0","4,482.0","3,836.0","3,213.0","4,227.0","2,981.0","4,251.0","4,181.0","4,961.0","4,654.0","6,099.0","3,125.0","9,142.0","5,521.0","6,506.0","5,615.0","3,903.0","3,579.0",".....","....."
"26","8","      Depletion on domestic minerals","B1176C1","4,236.0","3,959.0","4,216.0","4,529.0","5,828.0","9,341.0","4,526.0","4,809.0","4,990.0","5,683.0","6,755.0","7,612.0","6,691.0","5,845.0","6,218.0","6,548.0","6,411.0","7,577.0","6,883.0","6,887.0","7,312.0","7,550.0","6,794.0","7,268.0","6,875.0","7,588.0","8,076.0","8,216.0","8,368.0","8,047.0","8,028.0","8,423.0","7,933.0","7,503.0","7,935.0","9,229.0","12,300.0","11,570.0","14,395.0","16,330.0","16,145.0",".....","....."
"27","9","      Adjustment to depreciate expenditures for mining exploration, shafts, and wells","B1177C1","321.0","231.0","46.0","281.0","634.0","1,731.0","2,740.0","3,485.0","4,314.0","6,753.0","9,762.0","13,448.0","19,609.0","19,867.0","10,185.0","11,215.0","7,538.0","-3,939.0","-7,163.0","-5,079.0","-7,661.0","-4,886.0","-8,092.0","-7,431.0","-6,270.0","-3,777.0","-2,098.0","630.0","6,438.0","3,652.0","534.0","5,058.0","10,550.0","2,523.0","5,710.0","9,931.0","13,921.0","30,181.0","41,340.0","48,862.0","23,423.0",".....","....."
"28","10","      State and local taxes on corporate income","B1179C1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0","57,786.0","47,363.0","45,521.0",".....","....."
"29","11","      Interest payments of regulated investment companies","B1181C1","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-57,127.0","-59,615.0","-77,344.0","-79,150.0","-86,362.0","-96,076.0","-118,978.0","-118,175.0","-143,454.0","-124,059.0","-100,749.0","-71,334.0","-75,271.0","-106,193.0","-165,477.0","-205,815.0","-176,750.0","-120,363.0",".....","....."
"30","12","      Bad debt expense","B1182C1","5,875.0","6,480.0","7,808.0","8,252.0","10,501.0","12,756.0","13,781.0","13,812.0","14,249.0","15,661.0","17,432.0","18,770.0","22,287.0","26,691.0","30,543.0","33,803.0","43,334.0","53,419.0","54,578.0","58,645.0","68,806.0","83,692.0","100,876.0","89,582.0","80,671.0","67,852.0","67,769.0","74,657.0","83,565.0","86,371.0","100,203.0","107,680.0","142,201.0","168,046.0","151,142.0","139,664.0","119,041.0","105,860.0","130,037.0","253,945.0","379,382.0",".....","....."
"31","13","      Disaster adjustments (net) \4\","W779RC1",".....",".....","16.0","414.0","123.0","17.0","0.0","36.0","96.0","0.0","213.0","46.0","0.0","70.0","101.0","0.0","29.0","0.0","0.0","0.0","3,900.0","0.0","1,284.0","13,227.0","2,641.0","12,728.0","1,966.0","0.0","0.0","0.0","1,826.0","0.0","7,376.0","0.0","0.0","17,982.0","28,657.0","0.0","0.0","7,330.0","0.0",".....","....."
"32",NA,"Less: Tax-return measures of:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","14","        Gains, net of losses, from sale of property","B1183C1","7,775.0","5,228.0","7,383.0","10,121.0","9,492.0","7,710.0","8,903.0","10,637.0","13,994.0","16,742.0","20,982.0","27,130.0","28,773.0","29,143.0","42,037.0","46,669.0","75,248.0","124,030.0","82,850.0","80,058.0","82,877.0","62,830.0","62,204.0","70,878.0","90,750.0","70,984.0","115,541.0","132,767.0","200,818.0","200,964.0","269,362.0","286,349.0","156,584.0","96,385.0","123,324.0","170,757.0","246,148.0","281,493.0","324,507.0","69,390.0","59,320.0",".....","....."
"34","15","        Dividends received from domestic corporations","B1184C1","5,031.0","5,238.0","5,500.0","6,501.0","9,442.0","13,792.0","8,818.0","11,969.0","13,032.0","13,321.0","16,825.0","18,655.0","17,441.0","18,156.0","19,697.0","21,194.0","16,967.0","15,157.0","13,862.0","22,349.0","24,800.0","23,382.0","23,519.0","25,262.0","28,796.0","33,011.0","38,712.0","47,222.0","57,678.0","64,164.0","67,319.0","69,647.0","67,617.0","68,069.0","76,053.0","98,702.0","122,297.0","156,203.0","197,018.0","206,682.0","155,378.0",".....","....."
"35","16","        Income on equities in foreign corporations and branches (to U.S. corporations)","B1185C1","7,808.0","8,450.0","10,723.0","13,253.0","20,599.0","43,633.0","41,886.0","49,830.0","52,310.0","53,557.0","77,808.0","52,187.0","44,132.0","44,776.0","41,616.0","44,761.0","45,696.0","41,741.0","48,413.0","64,939.0","54,970.0","61,920.0","54,193.0","67,160.0","77,062.0","79,226.0","92,324.0","107,090.0","113,785.0","107,276.0","123,372.0","131,392.0","115,541.0","108,084.0","132,163.0","167,914.0","514,139.0","250,220.0","286,273.0","287,982.0","282,921.0",".....","....."
"36","17","      Costs of trading or issuing corporate securities \5\","B1186C1","1,411.0","1,652.0","2,137.0","1,994.0","1,543.0","1,676.0","1,978.0","2,451.0","2,108.0","1,547.0","1,819.0","3,221.0","3,842.0","5,280.0","6,975.0","5,551.0","8,014.0","12,911.0","8,252.0","11,120.0","12,290.0","14,324.0","21,769.0","22,241.0","27,225.0","21,203.0","30,496.0","35,297.0","37,491.0","39,883.0","57,328.0","70,157.0","51,788.0","40,782.0","43,875.0","42,100.0","44,425.0","52,304.0","40,796.0","-115.0","52,145.0",".....","....."
"37","18","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","B1187C1","6,595.0","7,100.0","7,855.0","9,534.0","14,898.0","17,469.0","14,631.0","16,548.0","19,113.0","22,869.0","34,611.0","35,471.0","29,679.0","32,583.0","35,059.0","36,566.0","38,105.0","39,474.0","48,012.0","56,984.0","67,129.0","76,088.0","76,469.0","73,090.0","76,930.0","77,966.0","92,947.0","101,971.0","107,556.0","102,762.0","121,516.0","145,624.0","169,701.0","157,887.0","165,751.0","205,027.0","239,442.0","256,841.0","350,879.0","406,586.0","352,803.0",".....","....."
"38","19","Equals: Profits before taxes, NIPAs","A053RC1","91,371.0","80,992.0","92,879.0","108,224.0","134,972.0","147,776.0","145,542.0","179,739.0","210,510.0","246,136.0","272,134.0","253,542.0","243,742.0","198,612.0","233,999.0","268,608.0","257,464.0","245,961.0","323,099.0","389,923.0","390,453.0","411,687.0","425,386.0","474,401.0","519,023.0","599,031.0","684,296.0","740,737.0","801,763.0","722,888.0","780,514.0","772,471.0","712,723.0","765,347.0","903,474.0","1,229,403.0","1,640,158.0","1,822,720.0","1,738,355.0","1,359,934.0","1,440,487.0","1,816,312.0","1,854,134.0"
"39","20","Federal income and excess profits taxes, IRS","B1188C1","39,374.0","33,293.0","37,510.0","42,890.0","52,439.0","66,113.0","66,146.0","83,005.0","96,340.0","107,888.0","120,047.0","105,142.0","102,260.0","86,763.0","92,219.0","107,972.0","111,341.0","111,138.0","118,485.0","131,505.0","127,899.0","128,324.0","121,291.0","131,406.0","154,635.0","172,777.0","198,787.0","223,713.0","239,394.0","231,400.0","241,988.0","266,282.0","220,872.0","209,689.0","243,820.0","299,555.0","419,209.0","453,082.0","437,076.0","342,381.0","313,464.0",".....","....."
"40","21","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","B1189C1","-432.0","-756.0","-120.0","-171.0","-138.0","-1,566.0","-1,516.0","-951.0","-1,057.0","7.0","-739.0","-4,362.0","-6,771.0","-13,231.0","-4,747.0","-4,809.0","-4,880.0","-7,852.0","-1,539.0","-2,264.0","-724.0","-2,024.0","-3,589.0","332.0","2,358.0","733.0","-463.0","-83.0","-1,840.0","-3,865.0","-5,475.0","-9,947.0","-29,134.0","-27,651.0","-1,724.0","7,769.0","7,404.0","12,875.0","-3,134.0","-26,734.0","-52,050.0",".....","....."
"41","22","      Amounts paid to U.S. Treasury by Federal Reserve banks","B1190C1","3,019.0","3,494.0","3,357.0","3,231.0","4,341.0","5,550.0","5,382.0","5,870.0","5,937.0","7,006.0","9,279.0","11,706.0","14,024.0","15,205.0","14,229.0","16,054.0","17,796.0","17,804.0","17,739.0","17,364.0","21,646.0","23,608.0","20,778.0","16,774.0","15,987.0","20,470.0","23,389.0","20,083.0","20,659.0","26,561.0","25,410.0","25,344.0","27,089.0","24,495.0","22,022.0","18,078.0","21,468.0","29,052.0","34,598.0","31,689.0","47,430.0",".....","....."
"42","23","      State and local taxes on corporate income","B1179C1","3,610.0","3,740.0","4,284.0","5,252.0","6,028.0","6,679.0","7,347.0","9,636.0","11,429.0","12,106.0","13,568.0","14,466.0","15,442.0","14,034.0","15,896.0","18,799.0","20,247.0","22,661.0","23,901.0","26,032.0","24,239.0","22,486.0","23,641.0","24,380.0","26,906.0","29,970.0","31,656.0","33,023.0","34,145.0","34,934.0","35,796.0","35,231.0","28,853.0","30,864.0","33,997.0","41,708.0","54,943.0","59,150.0","57,786.0","47,363.0","45,521.0",".....","....."
"43","24","      Taxes paid by domestic corporations to foreign governments on income earned abroad","B1199C1","303.0","401.0","425.0","482.0","685.0","991.0","740.0","1,075.0","1,397.0","1,352.0","2,020.0","2,405.0","3,196.0","3,418.0","3,407.0","3,494.0","2,894.0","3,188.0","3,352.0","4,472.0","4,615.0","4,818.0","5,013.0","5,540.0","5,659.0","6,448.0","6,862.0","7,824.0","8,281.0","9,190.0","10,021.0","10,421.0","9,773.0","11,014.0","11,965.0","14,103.0","16,483.0","19,107.0","24,841.0","28,016.0","23,456.0",".....","....."
"44","25","Less: U.S. tax credits claimed for foreign taxes paid","B1191C1","3,988.0","4,549.0","5,657.0","6,316.0","9,620.0","20,753.0","19,988.0","24,250.0","26,844.0","27,492.0","38,203.0","26,427.0","23,774.0","21,164.0","21,534.0","23,054.0","26,714.0","24,388.0","23,480.0","29,386.0","26,791.0","28,183.0","24,566.0","25,262.0","27,619.0","29,194.0","33,476.0","43,303.0","44,922.0","39,789.0","39,875.0","49,945.0","42,330.0","43,213.0","51,123.0","57,814.0","82,935.0","78,764.0","86,589.0","100,446.0","93,574.0",".....","....."
"45","26","      Investment tax credit \6\","B1192C1","1,909.0","866.0","1,634.0","3,025.0","3,753.0","4,221.0","6,460.0","9,088.0","11,038.0","12,897.0","14,635.0","15,103.0","18,888.0","17,314.0","16,145.0","0.0","0.0","0.0","0.0","0.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"46","27","      Other tax credits \6\","B1193C1",".....",".....",".....","2.0","9.0","8.0","5.0","9.0","1,723.0","3,112.0","1,321.0","637.0","1,150.0","1,212.0","2,677.0","20,925.0","21,278.0","12,876.0","8,017.0","6,093.0","4,816.0","3,605.0","3,977.0","4,482.0","6,892.0","8,063.0","8,917.0","9,788.0","10,296.0","10,065.0","9,081.0","12,294.0","11,827.0","12,862.0","15,190.0","17,306.0","24,188.0","21,235.0","19,113.0","13,240.0","14,878.0",".....","....."
"47","28","Equals: Taxes on corporate income, NIPAs","A054RC1","39,977.0","34,757.0","38,165.0","42,341.0","49,973.0","52,785.0","51,646.0","65,288.0","74,441.0","84,858.0","90,016.0","87,190.0","84,339.0","66,499.0","80,648.0","97,531.0","99,406.0","109,675.0","130,441.0","141,630.0","146,068.0","145,424.0","138,591.0","148,688.0","171,034.0","193,141.0","217,838.0","231,469.0","245,421.0","248,366.0","258,784.0","265,092.0","203,296.0","192,336.0","243,767.0","306,093.0","412,384.0","473,267.0","445,465.0","309,029.0","269,369.0","373,322.0","379,043.0"
"48","29","Profits after tax, NIPAs (19-28)","A055RC1","51,394.0","46,235.0","54,714.0","65,883.0","84,999.0","94,991.0","93,896.0","114,451.0","136,069.0","161,278.0","182,118.0","166,352.0","159,403.0","132,113.0","153,351.0","171,077.0","158,058.0","136,286.0","192,658.0","248,293.0","244,385.0","266,263.0","286,795.0","325,713.0","347,989.0","405,890.0","466,458.0","509,268.0","556,342.0","474,522.0","521,730.0","507,379.0","509,427.0","573,011.0","659,707.0","923,310.0","1,227,774.0","1,349,453.0","1,292,890.0","1,050,905.0","1,171,118.0","1,442,990.0","1,475,091.0"
"49","30","Dividends paid in cash or assets, IRS","B1194C1","32,951.0","32,013.0","32,593.0","36,039.0","41,830.0","49,281.0","44,585.0","53,397.0","61,537.0","68,643.0","82,607.0","97,379.0","120,295.0","131,179.0","128,298.0","144,931.0","161,462.0","190,715.0","197,457.0","223,957.0","263,178.0","283,172.0","290,721.0","304,135.0","341,705.0","380,887.0","445,102.0","530,828.0","655,101.0","718,333.0","769,846.0","910,343.0","724,945.0","581,456.0","614,496.0","785,026.0","976,043.0","1,275,065.0","1,529,626.0","1,420,862.0","854,077.0",".....","....."
"50","31","Plus: Posttabulation amendments and revisions \7\","B1195C1","-2,710.0","-1,068.0","-518.0","-749.0","23.0","761.0","255.0","1,106.0","-125.0","615.0","1,006.0","-735.0","-4,454.0","-6,388.0","-1,692.0","-5,127.0","-9,538.0","-30,956.0","-13,987.0","-3,083.0","-10,308.0","-14,020.0","-21,223.0","-26,008.0","-41,164.0","-39,989.0","-68,213.0","-91,828.0","-164,561.0","-176,551.0","-235,685.0","-291,198.0","-156,142.0","-18,885.0","-23,157.0","-59,441.0","-87,896.0","-256,278.0","-390,168.0","-336,928.0","-5,883.0",".....","....."
"51","32","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","B1196C1","117.0","103.0","95.0","92.0","158.0","201.0","199.0","189.0","209.0","267.0","301.0","376.0","342.0","656.0","583.0","724.0","898.0","697.0","490.0","575.0","709.0","646.0","512.0","848.0","968.0","1,072.0","1,262.0","1,428.0","1,638.0","1,881.0","1,508.0","1,788.0","1,833.0","1,616.0","1,525.0","1,245.0","1,852.0","2,540.0","3,041.0","3,129.0","2,681.0",".....","....."
"52","33","      U.S. receipts of dividends from abroad, net of payments to abroad","B1197C1","3,836.0","3,936.0","4,690.0","4,894.0","6,800.0","9,765.0","6,556.0","8,959.0","11,079.0","11,184.0","16,041.0","16,748.0","15,445.0","16,385.0","12,145.0","12,292.0","11,843.0","17,883.0","16,705.0","31,894.0","31,600.0","24,974.0","24,327.0","28,034.0","20,582.0","38,166.0","32,772.0","40,391.0","47,210.0","42,270.0","41,697.0","29,417.0","40,862.0","48,079.0","32,095.0","62,317.0","260,861.0","77,901.0","144,774.0","180,512.0","111,874.0",".....","....."
"53","34","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","B1634C1","124.0","121.0","229.0","311.0","259.0","113.0","211.0","658.0","319.0","543.0","812.0","976.0","951.0","953.0","1,194.0","1,015.0","1,056.0","1,427.0","1,486.0","1,309.0","1,684.0","1,421.0","2,007.0","1,912.0","2,742.0","2,759.0","2,754.0","3,741.0","3,518.0","3,455.0","5,284.0","4,070.0","3,885.0","6,384.0","3,250.0","3,795.0","4,142.0","4,636.0","4,098.0","10,712.0","6,050.0",".....","....."
"54","35","      Interest payments of regulated investment companies","B1635C1","-237.0","-408.0","-294.0","-424.0","-817.0","-1,054.0","-1,036.0","-958.0","-1,479.0","-1,824.0","-4,379.0","-8,703.0","-18,339.0","-23,218.0","-17,541.0","-21,708.0","-24,439.0","-28,457.0","-45,077.0","-53,480.0","-67,499.0","-68,043.0","-60,286.0","-57,127.0","-59,615.0","-77,344.0","-79,150.0","-86,362.0","-96,076.0","-118,978.0","-118,175.0","-143,454.0","-124,059.0","-100,749.0","-71,334.0","-75,271.0","-106,193.0","-165,477.0","-205,815.0","-176,750.0","-120,363.0",".....","....."
"55","36","Less: Dividends received by U.S. corporations","B1198C1","7,935.0","8,705.0","9,685.0","11,110.0","14,883.0","21,235.0","14,286.0","19,461.0","21,308.0","22,599.0","29,538.0","33,219.0","31,232.0","32,107.0","33,589.0","36,568.0","37,737.0","37,907.0","39,045.0","64,631.0","58,305.0","56,638.0","52,282.0","54,141.0","54,704.0","63,333.0","74,130.0","93,467.0","108,687.0","113,397.0","118,829.0","129,850.0","117,616.0","113,651.0","120,975.0","157,113.0","485,242.0","228,623.0","285,328.0","311,218.0","292,625.0",".....","....."
"56","37","      Earnings of U.S. residents remitted by their unincorporated foreign affiliates","B1636C1","1,907.0","1,685.0","2,083.0","2,217.0","3,463.0","4,613.0","3,524.0","4,876.0","5,463.0","6,036.0","9,330.0","8,752.0","9,252.0","9,746.0","5,934.0","4,752.0","5,993.0","7,222.0","5,717.0","6,622.0","3,085.0","2,450.0","3,093.0","9,626.0","7,584.0","6,495.0","5,993.0","7,009.0","6,938.0","5,559.0","8,249.0","3,243.0","2,790.0","4,994.0","11,040.0","10,223.0","6,248.0","4,986.0","5,731.0","3,462.0","1,684.0",".....","....."
"57","38","Equals: Net corporate dividend payments, NIPAs","B056RC1","24,239.0","24,307.0","25,027.0","26,836.0","29,907.0","33,219.0","32,960.0","39,014.0","44,769.0","50,793.0","57,520.0","64,070.0","73,756.0","77,714.0","83,464.0","90,807.0","97,552.0","106,180.0","112,312.0","129,919.0","157,974.0","169,062.0","180,683.0","188,027.0","202,930.0","235,723.0","254,404.0","297,722.0","331,205.0","351,454.0","337,397.0","377,873.0","370,918.0","399,256.0","424,861.0","550,335.0","557,320.0","704,778.0","794,497.0","786,856.0","554,127.0","600,934.0","697,208.0"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
