"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29491,29258,29308,29557,28938,28332,27314,26786,26427,26165,25290,24492,24063,23775,23509,23299,23415,23086,23394,23919,23681,23758,23601,23596,23455,23326,23391,23540,23213,23109,22931,22860,23091,22907,22458,22993,22863,23629,24120,24434,24769,24874,25001
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11528,11443,11391,11254,11142,11190,11141,11311,11273,11196,11105,11022,11037,10844,10822,10664,10820,10784,10836,10824,10884,10790,10774,10868,10871,11175,11232,11067,10990,10917,10943,10784,10794,10849,10859,10839,10817,10818,10835,10810,10999,11042,11152
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52432,52405,52464,51949,52724,52176,51631,50924,50753,50511,49518,48993,48937,48323,47885,47233,46577,46544,46909,46655,46304,45896,45871,46317,45905,46056,45944,45873,45627,45270,44957,44867,44602,44426,44516,44103,44230,44452,43933,43884,44091,44858,45015
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21557,21285,21335,21265,21600,20274,20294,20060,20009,19948,20080,19950,19941,19854,19841,19920,19363,19407,19102,19272,19200,19345,19162,19225,19329,19497,19457,19745,19528,19366,19547,19370,19791,19869,19838,20115,19613,19032,19086,18868,19060,19324,19758
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113112,113623,114417,116063,117961,119291,118732,119882,120291,118861,119709,119882,120233,119646,120228,119357,120239,121306,122103,121083,120673,119118,118919,120674,120695,119612,120160,120039,120154,120369,121488,121668,122531,122337,122135,121364,120094,121046,120750,120168,120303,121040,122758
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8954,8853,8846,8868,8786,8703,8673,8692,8681,8605,8520,8473,8390,8364,8343,8451,8592,8485,8476,8505,8419,8490,8474,8409,8562,8505,8522,8498,8508,8546,8577,8549,8632,8646,8823,8763,8744,8795,8760,8659,8931,9104
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23666,23460,24425,25148,26302,26974,26787,27861,29154,28844,29723,30373,30265,30012,30106,29590,29429,29780,29324,29200,29801,30429,30328,31385,31408,31866,32424,32629,32891,32421,33052,33272,32882,32525,32826,31772,30961,31923,32157,31429,31825,32001,32165
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12107,12479,12616,12836,13088,13143,12855,12825,12799,12777,12332,11938,12125,11897,11733,11347,11394,11603,11757,12035,12383,12037,11907,11959,11896,11643,11879,11890,11729,11810,11790,11652,11481,11225,11381,11282,11172,11271,11351,11224,11264,10983,11095
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,19955,19773,19618,19598,19336,19442,19055,19268,19052,18606,18943,19048,18979,18815,19116,19370,19964,20461,20639,20858,20279,20690,20425,20331,20699,20556,20270,19913,19569,19474,19686,19670,19936,19454,19467,19989,19535,19755,19926,19954,19974,19937,20208
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13964,14070,13969,14197,14716,14791,15076,15030,14825,14068,14395,14558,14744,15014,15299,15187,15241,15421,16077,15118,14377,12693,12918,13117,13002,12846,12971,13101,13217,13507,13652,13791,13994,14955,14302,14074,14252,14574,14626,14385,13906,13796,13530
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,5004,4894,5048,5237,5154,5195,5197,5209,5305,5352,5288,5283,5257,5274,5264,5208,5234,5194,5064,5256,5282,5271,5305,5251,5358,5192,5048,4990,5004,5044,5080,5004,5040,5025,4939,5116,4857,4837,4752,4741,4725,4714,4749
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5311,5475,5533,5535,5598,5694,5945,5925,5817,6230,6560,6797,7226,7243,7046,6821,6721,6631,6653,6483,6496,6154,6114,6436,6263,5679,5534,5637,6178,6360,6251,6367,6554,6580,6537,6429,6238,6143,5993,5951,5954,6097,6825
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6189,6142,6050,6073,6036,6185,6076,6109,6118,6082,5967,6044,6160,6103,6258,6359,6334,6252,6285,6178,6323,6430,6507,6579,6649,6595,6606,6552,6613,6624,6686,6577,6686,6654,6876,6766,6722,6616,6492,6657,6705,6861,6970
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18075,18337,18272,18547,18824,19028,19002,18934,18484,18244,17974,17455,17246,17136,17184,17197,17483,17353,17711,17421,17250,17208,17074,17255,17119,16850,17109,16949,16574,16690,16795,16791,17390,17112,17099,17070,17469,17034,16533,16962,17313,17754,18110
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406498,403530,402859,404204,405027,404331,404424,405972,405660,396546,391915,396311,401107,401098,401299,402685,406433,409280,410640,409853,413922,416083,421241,422575,424487,427960,429582,429207,427882,429862,431635,428188,433288,435421,437727,435627,435480,436074,442028,446671,446524,449493,451635
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,133024,130099,128961,130295,131286,131338,132708,132445,133080,123296,120537,125404,129502,129829,130340,131340,133402,135501,135288,134404,136846,140375,144671,144330,146260,148922,149537,149042,148509,149716,150670,147611,150783,152488,153430,150556,150857,150856,155238,158848,157597,159502,162326
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26479,26093,26428,26458,26189,25804,25604,25637,25464,25615,25751,25844,26469,26643,26781,26817,27298,27143,27505,27413,27782,27677,27606,27540,27644,27780,27705,27872,28069,28634,28703,28890,29132,29708,29978,30181,29983,29953,30475,30659,31028,31032,31110
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40230,40116,40084,40163,40380,40174,39776,40157,40102,40216,40035,40016,40364,40468,41005,41270,41243,41228,41283,41254,41552,42231,41996,42367,42038,42905,43204,42949,43186,43614,43856,44219,45157,45073,45343,45819,46091,46559,46975,47363,47890,48122,48533
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31963,32132,32143,32272,32216,32317,32297,32324,32201,32486,32591,32485,32342,32322,32218,32302,32411,32463,32385,32618,32883,32403,32724,33153,33000,33123,33228,33164,33167,33077,33257,33251,33272,32947,32879,32739,32879,32772,32818,32893,33132,33227,33268
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32371,32535,32398,32235,32093,32227,32021,32027,32262,32563,31735,31460,31579,31143,30905,31270,31340,31728,32111,32161,32493,32395,32532,32984,33546,33618,33834,33560,33521,33399,33275,33313,33206,32916,33230,33183,33139,33296,33386,33588,33651,33575,33118
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64096,64190,65236,64854,65255,65315,64517,65395,64851,64770,64118,63551,63107,63153,62796,62648,63177,62996,63735,63899,63912,63833,64887,65107,64743,64345,64846,65634,64785,64848,64800,64281,64990,65449,65274,65803,65896,65979,66548,66667,66689,67235,66880
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41933,41764,42183,41956,41997,41838,41032,41639,41485,40877,40258,39701,38956,38836,38477,38118,38030,37979,38214,38176,37998,37657,38276,38166,37836,37329,37560,38102,37318,37106,36857,36533,36721,36902,36420,36279,36415,36194,36302,36252,36056,36005,35901
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22163,22424,23050,22896,23254,23471,23474,23747,23360,23878,23843,23830,24124,24288,24289,24495,25105,24975,25475,25676,25863,26119,26554,26879,26843,26947,27216,27463,27393,27662,27859,27663,28177,28453,28751,29408,29366,29662,30117,30281,30492,31074,30828
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78327,78355,77608,77923,77593,77128,77468,77952,77664,77549,77093,77518,77756,77563,77291,77080,77633,78302,78424,78170,78552,77341,77055,77289,77508,77572,77528,77293,76971,76965,77474,76958,77163,77384,78180,77825,77113,77120,77257,77482,77285,77604,77340
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2000 equals the current-dollar change in inventories for 2000 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 1999 and 2000 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2000) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2000 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formual for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
