"","Table 5#8#6B# Real Gross Government Fixed Investment by Type, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"29","11","        Industrial","B817RX1","652.0","339.0","310.0","352.0","500.0","374.0","949.0","678.0","627.0","547.0","345.0","490.0","593.0","628.0","790.0"
"30","12","        Military facilities \3\","B818RX1","5,913.0","5,812.0","5,183.0","5,085.0","4,529.0","5,091.0","5,831.0","5,701.0","5,239.0","5,530.0","6,859.0","9,237.0","12,318.0","11,845.0","8,933.0"
"31","13","      Net purchases of used structures","B819RX1","-6.0","-5.0","-5.0","-5.0","-5.0","-5.0","-5.0","-4.0","-4.0","-4.0","-3.0","-3.0","-3.0","-3.0","-3.0"
"32","14","    Nondefense","A830RX1","13,789.0","14,526.0","13,976.0","10,371.0","9,840.0","11,769.0","11,900.0","9,909.0","8,267.0","8,845.0","9,763.0","9,564.0","10,149.0","14,020.0","13,208.0"
"33","15","      New","A831RX1","14,150.0","13,341.0","12,782.0","11,844.0","11,105.0","11,682.0","11,957.0","12,068.0","10,606.0","9,631.0","9,733.0","8,666.0","9,873.0","12,278.0","13,583.0"
"34","16","        Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","17","        Office","W182RX1","2,677.0","2,573.0","2,317.0","2,002.0","1,812.0","1,706.0","2,125.0","2,745.0","2,022.0","1,647.0","1,762.0","1,159.0","1,000.0","1,403.0","2,125.0"
"36","18","        Commercial","W183RX1","948.0","1,071.0","1,113.0","943.0","793.0","552.0","682.0","1,471.0","1,198.0","1,087.0","1,022.0","777.0","682.0","615.0","971.0"
"37","19","        Health care","W184RX1","1,911.0","1,396.0","1,122.0","974.0","871.0","1,035.0","765.0","714.0","759.0","686.0","894.0","822.0","1,609.0","2,012.0","2,436.0"
"38","20","        Educational","W185RX1","499.0","411.0","358.0","454.0","642.0","873.0","859.0","812.0","259.0","270.0","328.0","317.0","332.0","291.0","323.0"
"39","21","        Public safety","W186RX1","2,903.0","2,805.0","2,509.0","2,094.0","1,451.0","1,587.0","918.0","500.0","299.0","228.0","457.0","464.0","411.0","424.0","681.0"
"40","22","        Amusement and recreation","W187RX1","887.0","861.0","844.0","770.0","540.0","460.0","695.0","279.0","207.0","132.0","166.0","199.0","228.0","606.0","451.0"
"41","23","        Transportation","W188RX1","538.0","515.0","525.0","493.0","507.0","732.0","361.0","454.0","186.0","163.0","231.0","221.0","228.0","204.0","251.0"
"42","24","        Power","W189RX1","86.0","78.0","72.0","86.0","239.0","350.0","1,333.0","959.0","795.0","721.0","387.0","617.0","748.0","740.0","954.0"
"43","25","        Highways and streets","W190RX1","709.0","648.0","600.0","746.0","684.0","692.0","638.0","835.0","582.0","451.0","539.0","437.0","408.0","619.0","359.0"
"44","26","        Conservation and development","W191RX1","2,260.0","2,268.0","2,544.0","2,480.0","2,707.0","2,932.0","2,647.0","2,571.0","2,666.0","2,964.0","2,766.0","2,645.0","3,258.0","4,419.0","4,135.0"
"45","27","        Other \4\","W192RX1","837.0","803.0","835.0","850.0","885.0","789.0","925.0","751.0","1,633.0","1,286.0","1,161.0","996.0","1,005.0","1,005.0","1,076.0"
"46","28","      Net purchases of used structures","B841RX1","-380.0","1,171.0","1,182.0","-1,490.0","-1,310.0","43.0","-99.0","-2,163.0","-2,339.0","-782.0","31.0","872.0","263.0","1,708.0","-406.0"
"47","29","  State and local","A842RX1","196,736.0","196,483.0","210,868.0","222,196.0","234,763.0","244,222.0","245,536.0","241,321.0","230,758.0","231,435.0","227,601.0","227,889.0","224,829.0","214,829.0","192,908.0"
"48","30","    New","A843RX1","192,453.0","191,428.0","205,480.0","216,974.0","232,998.0","237,829.0","238,670.0","234,953.0","225,810.0","226,426.0","221,384.0","221,500.0","218,694.0","208,832.0","187,052.0"
"49","31","      Residential","W147RX1","6,478.0","6,309.0","6,405.0","5,647.0","6,332.0","6,557.0","6,379.0","6,446.0","6,091.0","4,196.0","4,512.0","4,669.0","5,805.0","7,789.0","6,350.0"
"50","32","      Office","W193RX1","15,831.0","16,862.0","18,001.0","19,632.0","21,737.0","23,327.0","22,548.0","22,439.0","20,659.0","16,496.0","16,708.0","16,858.0","17,205.0","16,928.0","14,763.0"
"51","33","      Commercial","W194RX1","236.0","337.0","336.0","308.0","373.0","384.0","319.0","343.0","388.0","349.0","387.0","437.0","451.0","303.0","197.0"
"52","34","      Health care","W195RX1","4,591.0","4,369.0","3,911.0","3,829.0","3,999.0","4,869.0","4,808.0","4,797.0","4,982.0","4,237.0","5,012.0","5,330.0","5,423.0","5,257.0","5,412.0"
"53","35","      Educational","W148RX1","47,325.0","47,131.0","53,179.0","56,795.0","61,423.0","63,491.0","64,588.0","64,564.0","63,487.0","67,316.0","65,529.0","67,100.0","62,573.0","54,315.0","49,497.0"
"54","36","      Public safety","W196RX1","5,627.0","5,721.0","5,878.0","5,806.0","5,555.0","5,111.0","4,480.0","4,379.0","4,014.0","3,529.0","4,139.0","4,115.0","4,235.0","3,489.0","3,190.0"
"55","37","      Amusement and recreation","W197RX1","6,574.0","6,445.0","6,641.0","7,799.0","8,313.0","8,258.0","7,204.0","7,006.0","6,963.0","5,701.0","6,488.0","6,685.0","6,886.0","6,561.0","5,842.0"
"56","38","      Transportation","W198RX1","14,719.0","13,858.0","15,193.0","19,202.0","20,434.0","21,071.0","21,437.0","20,178.0","17,623.0","13,231.0","13,448.0","14,439.0","15,696.0","15,690.0","14,286.0"
"57","39","      Power","W199RX1","4,037.0","3,123.0","4,050.0","4,729.0","4,655.0","4,838.0","7,342.0","6,048.0","6,294.0","7,440.0","9,606.0","8,354.0","8,971.0","7,984.0","5,998.0"
"58","40","      Highways and streets","W149RX1","61,475.0","62,725.0","66,552.0","68,343.0","73,500.0","70,568.0","68,841.0","68,351.0","65,199.0","65,963.0","58,785.0","57,164.0","57,024.0","56,608.0","51,870.0"
"59","41","      Sewer systems","W150RX1","12,769.0","11,648.0","11,676.0","10,924.0","12,185.0","13,416.0","14,148.0","14,519.0","14,624.0","19,419.0","18,328.0","18,723.0","18,061.0","18,150.0","15,428.0"
"60","42","      Water systems","W168RX1","10,197.0","10,384.0","10,997.0","10,463.0","11,586.0","12,775.0","12,880.0","12,725.0","12,595.0","15,928.0","14,881.0","14,815.0","14,367.0","14,088.0","11,936.0"
"61","43","      Conservation and development","W169RX1","2,420.0","2,406.0","2,744.0","3,363.0","2,969.0","2,591.0","2,526.0","2,732.0","2,579.0","2,354.0","2,991.0","2,959.0","2,611.0","2,325.0","2,298.0"
"62","44","      Other \5\","W200RX1","447.0","514.0","230.0","393.0","237.0","764.0","1,201.0","475.0","311.0","471.0","1,092.0","469.0","90.0","437.0","778.0"
"63","45","    Net purchases of used structures","B870RX1","4,290.0","5,095.0","5,429.0","5,249.0","1,668.0","6,376.0","6,855.0","6,359.0","4,948.0","5,009.0","6,270.0","6,460.0","6,176.0","6,064.0","6,026.0"
"64","46","Equipment and software \2\","A871RX1","88,465.0","96,743.0","106,255.0","109,814.0","113,542.0","121,386.0","127,187.0","136,552.0","145,538.0","157,347.0","166,426.0","184,444.0","187,315.0","192,788.0","188,950.0"
"65","47","  Federal","A872RX1","55,449.0","58,897.0","64,252.0","65,248.0","68,009.0","75,460.0","79,981.0","87,925.0","94,743.0","102,192.0","104,869.0","119,993.0","124,552.0","129,965.0","125,301.0"
"66","48","    National defense","A873RX1","38,893.0","40,078.0","42,427.0","43,641.0","46,307.0","52,705.0","56,989.0","63,323.0","66,758.0","71,940.0","75,146.0","86,959.0","90,727.0","93,699.0","89,056.0"
"67","49","      Aircraft","B874RX1","5,347.0","5,382.0","5,605.0","6,533.0","7,634.0","8,801.0","8,736.0","10,778.0","13,520.0","13,735.0","13,083.0","13,304.0","14,055.0","16,429.0","18,673.0"
"68","50","      Missiles","B875RX1","2,934.0","3,302.0","2,995.0","2,822.0","3,541.0","3,537.0","3,647.0","4,143.0","4,011.0","4,478.0","4,224.0","4,255.0","4,951.0","5,356.0","4,980.0"
"69","51","      Ships","B876RX1","7,311.0","7,730.0","8,190.0","7,795.0","8,542.0","10,214.0","11,067.0","10,643.0","9,812.0","9,674.0","9,011.0","8,964.0","9,578.0","9,652.0","9,070.0"
"70","52","      Vehicles","B877RX1","1,338.0","1,489.0","1,658.0","1,845.0","1,974.0","2,677.0","3,172.0","2,812.0","3,869.0","4,965.0","6,020.0","8,862.0","8,549.0","8,843.0","6,513.0"
"71","53","      Electronics and software","B878RX1","7,481.0","7,934.0","8,722.0","9,029.0","8,922.0","9,388.0","10,167.0","11,318.0","12,643.0","14,386.0","16,774.0","21,126.0","21,656.0","21,650.0","19,808.0"
"72","54","      Other equipment","B879RX1","14,897.0","14,630.0","15,633.0","15,679.0","15,745.0","18,253.0","20,454.0","23,741.0","22,903.0","24,742.0","26,208.0","30,921.0","32,376.0","32,188.0","30,387.0"
"73","55","    Nondefense","B880RX1","16,563.0","18,736.0","21,666.0","21,467.0","21,595.0","22,705.0","22,983.0","24,609.0","27,985.0","30,252.0","29,693.0","32,953.0","33,712.0","36,216.0","36,302.0"
"74","56","  State and local","B881RX1","33,106.0","37,737.0","41,844.0","44,322.0","45,315.0","45,844.0","47,156.0","48,620.0","50,795.0","55,158.0","61,642.0","64,417.0","62,647.0","62,650.0","63,568.0"
"75","57","Residual","A967RX1","-5,600.0","-3,000.0","-2,100.0","-1,600.0","-1,900.0","-2,300.0","-1,500.0","-500.0","-100.0","-500.0","-1,700.0","-4,000.0","-4,300.0","-6,300.0","-8,400.0"
"76",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","58","  Government enterprise gross fixed investment","A882RX1","62,878.0","64,487.0","70,392.0","70,076.0","75,104.0","81,303.0","88,280.0","83,245.0","80,323.0","82,278.0","84,027.0","86,714.0","89,599.0","92,646.0","81,133.0"
"78","59","    Federal","A883RX1","6,136.0","7,889.0","8,613.0","6,005.0","5,744.0","5,878.0","6,939.0","5,875.0","7,446.0","7,223.0","6,785.0","7,640.0","7,294.0","9,728.0","7,780.0"
"79","60","      Structures","B884RX1","3,434.0","4,086.0","4,534.0","1,887.0","2,680.0","2,436.0","2,899.0","1,630.0","2,366.0","2,256.0","2,014.0","3,206.0","2,605.0","4,527.0","2,716.0"
"80","61","      Equipment and software","B885RX1","3,043.0","4,125.0","4,453.0","4,046.0","3,200.0","3,520.0","4,137.0","4,236.0","5,080.0","4,968.0","4,783.0","4,298.0","4,642.0","4,946.0","5,030.0"
"81","62","    State and local","A886RX1","56,599.0","55,968.0","61,091.0","63,954.0","69,359.0","75,473.0","81,331.0","77,409.0","72,877.0","75,049.0","77,204.0","79,094.0","82,260.0","83,121.0","73,438.0"
"82","63","      Structures","B887RX1","52,182.0","49,935.0","53,930.0","57,159.0","62,020.0","66,076.0","70,075.0","66,289.0","62,245.0","64,335.0","65,926.0","66,335.0","68,406.0","69,117.0","59,682.0"
"83","64","      Equipment and software","B888RX1","5,209.0","6,326.0","7,327.0","7,134.0","7,713.0","9,572.0","11,300.0","11,125.0","10,631.0","10,707.0","11,295.0","12,965.0","14,168.0","14,322.0","14,314.0"
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","index and the 2005 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","difference between the first line and the sum of the most detailed lines, excluding the lines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","in the addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
