"","Table 1#1#6D# Real Gross Domestic Product, Chained (1987) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87"
"34","15","  Exports","A020DX1","219,776.0","225,701.0","227,449.0","220,149.0","225,335.0","248,819.0","251,547.0","261,535.0","261,752.0","262,443.0","271,895.0","289,005.0","297,071.0","302,671.0","302,029.0","300,198.0","305,869.0","307,523.0","300,980.0","302,372.0","289,264.0","291,008.0","278,116.0","265,379.0","269,666.0","270,479.0","274,554.0","280,091.0","285,943.0","293,054.0","299,526.0","305,610.0","305,822.0","304,721.0","300,255.0","309,295.0","319,073.0","322,546.0","329,917.0","342,205.0","342,467.0","356,056.0","371,399.0","385,132.0","406,469.0","417,720.0","425,462.0","438,451.0","451,347.0","470,988.0","476,147.0","483,634.0","504,764.0","511,624.0","515,360.0","519,683.0","523,404.0","542,249.0","554,664.0","567,310.0","577,427.0","577,444.0","589,988.0","593,000.0","594,346.0","601,617.0","599,652.0","618,836.0","624,760.0","645,363.0","670,020.0","684,853.0","697,440.0","707,053.0","737,801.0","748,451.0","757,879.0","770,584.0","776,817.0","825,514.0","841,238.0","874,552.0","894,871.0","893,241.0"
"35","16","    Goods","A253DX1","159,891.0","164,014.0","165,672.0","158,845.0","161,018.0","183,383.0","184,527.0","191,973.0","192,134.0","193,527.0","202,514.0","217,901.0","224,751.0","228,785.0","224,781.0","223,819.0","225,815.0","225,480.0","218,725.0","222,345.0","209,255.0","211,655.0","201,046.0","189,765.0","192,579.0","193,855.0","197,155.0","204,781.0","203,816.0","208,663.0","215,640.0","222,576.0","220,693.0","220,091.0","217,394.0","223,890.0","224,453.0","228,743.0","232,360.0","241,821.0","239,243.0","249,392.0","264,377.0","277,173.0","294,075.0","302,215.0","306,892.0","321,119.0","326,626.0","345,295.0","346,485.0","351,784.0","367,723.0","370,922.0","372,746.0","374,100.0","384,219.0","392,982.0","402,246.0","408,556.0","418,203.0","419,501.0","431,848.0","437,262.0","432,924.0","438,431.0","435,293.0","455,779.0","455,882.0","472,170.0","496,281.0","509,539.0","521,412.0","530,154.0","550,501.0","558,106.0","569,831.0","575,895.0","586,583.0","618,385.0","639,778.0","669,563.0","689,152.0","690,158.0"
"36","17","    Services","A646DX1","59,601.0","61,448.0","61,413.0","61,371.0","64,802.0","64,434.0","66,252.0","68,734.0","68,796.0","67,795.0","67,517.0","68,244.0","69,172.0","70,762.0","75,213.0","74,204.0","78,533.0","80,988.0","81,795.0","78,846.0","79,787.0","78,862.0","76,858.0","75,779.0","77,290.0","76,709.0","77,406.0","74,705.0","82,370.0","84,654.0","83,772.0","82,617.0","84,963.0","84,480.0","82,694.0","85,241.0","94,621.0","93,793.0","97,548.0","100,400.0","103,223.0","106,673.0","107,034.0","107,939.0","112,303.0","115,383.0","118,479.0","116,983.0","124,571.0","125,366.0","129,428.0","131,628.0","136,821.0","140,464.0","142,356.0","145,245.0","139,281.0","149,028.0","152,170.0","158,209.0","158,846.0","157,669.0","158,216.0","156,215.0","161,247.0","163,051.0","164,009.0","163,569.0","168,821.0","173,290.0","174,637.0","176,526.0","177,580.0","178,665.0","188,797.0","191,820.0","190,227.0","196,361.0","192,883.0","209,007.0","205,158.0","209,662.0","211,291.0","209,120.0"
"37","18","  Imports","A021DX1","282,957.0","285,566.0","281,586.0","285,581.0","304,740.0","305,705.0","309,697.0","313,944.0","313,084.0","314,775.0","309,974.0","316,747.0","316,982.0","293,979.0","272,836.0","287,477.0","299,756.0","300,210.0","296,786.0","305,299.0","296,597.0","291,751.0","305,287.0","293,304.0","300,019.0","323,084.0","348,249.0","365,332.0","394,703.0","411,238.0","421,880.0","434,241.0","424,661.0","445,523.0","441,224.0","458,516.0","458,099.0","477,609.0","490,843.0","494,622.0","491,664.0","503,925.0","513,726.0","525,536.0","523,079.0","517,066.0","529,272.0","545,397.0","547,928.0","550,523.0","549,774.0","559,723.0","577,475.0","576,509.0","574,184.0","558,787.0","552,422.0","562,239.0","578,063.0","590,834.0","595,130.0","604,916.0","614,457.0","629,161.0","642,784.0","656,067.0","664,705.0","691,412.0","707,523.0","733,883.0","754,526.0","775,758.0","792,769.0","800,307.0","803,058.0","813,319.0","839,759.0","858,555.0","886,395.0","903,878.0","942,483.0","974,122.0","1,010,019.0","1,031,820.0"
"38","19","    Goods","A255DX1","234,237.0","235,969.0","233,138.0","236,476.0","252,921.0","253,974.0","256,957.0","260,253.0","259,762.0","261,396.0","256,979.0","263,536.0","263,887.0","242,745.0","222,559.0","235,154.0","245,135.0","245,271.0","242,950.0","250,855.0","241,464.0","234,712.0","248,223.0","235,089.0","242,126.0","262,278.0","284,743.0","300,669.0","322,726.0","335,926.0","342,965.0","351,860.0","340,851.0","360,922.0","359,646.0","376,735.0","373,814.0","397,481.0","405,806.0","408,467.0","401,958.0","410,005.0","419,849.0","427,261.0","425,932.0","421,693.0","432,160.0","446,483.0","447,835.0","449,695.0","446,909.0","456,169.0","469,728.0","467,980.0","464,613.0","450,715.0","447,938.0","455,368.0","473,388.0","484,729.0","491,664.0","503,813.0","514,060.0","527,364.0","541,643.0","553,925.0","560,963.0","584,206.0","598,598.0","625,091.0","646,738.0","669,531.0","682,439.0","691,853.0","693,336.0","701,137.0","726,088.0","744,350.0","769,577.0","788,282.0","822,212.0","853,485.0","884,560.0","904,468.0"
"39","20","    Services","B656DX1","48,057.0","48,949.0","47,780.0","48,426.0","51,072.0","50,975.0","51,992.0","52,947.0","52,588.0","52,629.0","52,272.0","52,345.0","52,167.0","50,666.0","50,200.0","52,118.0","54,422.0","54,800.0","53,632.0","54,119.0","55,169.0","57,462.0","57,158.0","58,742.0","58,203.0","60,951.0","63,435.0","64,397.0","71,930.0","75,298.0","79,062.0","82,623.0","84,372.0","84,784.0","81,584.0","81,673.0","84,252.0","80,424.0","85,189.0","86,297.0","89,703.0","93,916.0","93,874.0","98,285.0","97,159.0","95,381.0","97,110.0","98,897.0","100,065.0","100,800.0","102,921.0","103,591.0","107,817.0","108,594.0","109,576.0","108,016.0","104,482.0","106,806.0","104,971.0","106,473.0","104,140.0","102,177.0","101,740.0","103,292.0","102,999.0","104,172.0","105,768.0","109,394.0","111,251.0","111,740.0","111,342.0","110,507.0","114,496.0","113,033.0","114,187.0","116,533.0","118,470.0","119,421.0","122,383.0","121,938.0","126,938.0","128,296.0","133,325.0","135,571.0"
"40","21","Government consumption expenditures and gross investment","A822DX1","725,485.0","733,018.0","734,366.0","731,999.0","733,183.0","752,980.0","758,988.0","765,869.0","758,986.0","766,997.0","768,120.0","773,126.0","785,552.0","787,996.0","777,126.0","776,340.0","786,643.0","788,402.0","786,625.0","793,857.0","793,066.0","797,693.0","803,151.0","817,018.0","823,144.0","830,188.0","844,588.0","830,316.0","838,678.0","856,754.0","863,077.0","881,586.0","891,687.0","911,688.0","935,357.0","940,952.0","951,125.0","971,334.0","993,316.0","987,618.0","991,655.0","997,931.0","997,956.0","1,010,028.0","1,005,137.0","1,007,765.0","1,007,191.0","1,027,655.0","1,021,332.0","1,037,158.0","1,046,932.0","1,052,488.0","1,068,731.0","1,070,313.0","1,069,995.0","1,080,624.0","1,085,012.0","1,088,793.0","1,083,626.0","1,079,083.0","1,087,277.0","1,085,997.0","1,091,562.0","1,091,881.0","1,080,372.0","1,079,571.0","1,078,497.0","1,083,813.0","1,070,021.0","1,074,526.0","1,093,366.0","1,083,932.0","1,088,245.0","1,091,877.0","1,089,475.0","1,077,286.0","1,084,188.0","1,099,765.0","1,098,702.0","1,108,004.0","1,109,990.0","1,119,596.0","1,120,853.0","1,122,714.0"
"41","22","  Federal","A823DX1","292,326.0","297,142.0","298,859.0","295,929.0","296,967.0","304,047.0","305,123.0","307,800.0","308,216.0","312,025.0","311,541.0","311,470.0","321,438.0","329,523.0","325,082.0","326,177.0","332,935.0","342,869.0","342,503.0","346,168.0","346,709.0","349,848.0","355,095.0","365,590.0","369,992.0","377,860.0","388,464.0","374,860.0","378,066.0","389,929.0","388,442.0","401,329.0","405,608.0","415,506.0","429,440.0","429,275.0","426,992.0","440,609.0","457,285.0","450,190.0","452,870.0","459,155.0","459,642.0","466,481.0","453,801.0","449,181.0","445,820.0","459,206.0","449,807.0","459,930.0","464,356.0","462,025.0","468,961.0","469,517.0","465,327.0","469,417.0","473,055.0","474,399.0","465,557.0","456,425.0","456,568.0","456,108.0","461,316.0","461,554.0","447,356.0","441,040.0","436,388.0","438,671.0","422,973.0","420,586.0","432,124.0","420,264.0","419,236.0","417,575.0","414,737.0","399,166.0","407,479.0","413,285.0","405,999.0","404,829.0","399,379.0","406,459.0","405,132.0","404,575.0"
"42","23","    National defense","A824DX1","206,689.0","209,838.0","209,939.0","204,143.0","205,435.0","210,068.0","210,632.0","211,567.0","212,608.0","216,881.0","216,240.0","217,452.0","223,852.0","224,391.0","224,806.0","227,765.0","232,089.0","239,097.0","241,137.0","245,531.0","248,301.0","255,209.0","259,651.0","267,076.0","268,662.0","274,872.0","276,751.0","283,872.0","284,759.0","287,786.0","286,638.0","298,857.0","300,925.0","309,610.0","322,091.0","323,552.0","321,017.0","333,119.0","346,092.0","336,405.0","341,362.0","349,570.0","354,741.0","354,243.0","350,438.0","347,452.0","344,074.0","351,326.0","339,948.0","347,192.0","351,409.0","347,894.0","348,653.0","347,670.0","341,722.0","347,971.0","351,000.0","350,040.0","340,665.0","329,089.0","323,958.0","324,192.0","328,641.0","326,124.0","313,289.0","308,673.0","304,475.0","307,396.0","291,996.0","292,144.0","301,767.0","287,502.0","286,731.0","286,222.0","282,797.0","273,894.0","279,236.0","283,042.0","277,038.0","275,256.0","266,414.0","272,691.0","271,370.0","272,861.0"
"43","24","    Nondefense","A825DX1","86,028.0","87,687.0","89,248.0","91,931.0","91,711.0","94,162.0","94,675.0","96,399.0","95,793.0","95,367.0","95,516.0","94,247.0","97,811.0","105,308.0","100,483.0","98,645.0","101,085.0","104,020.0","101,622.0","100,895.0","98,661.0","94,885.0","95,707.0","98,810.0","101,656.0","103,317.0","112,034.0","91,110.0","93,357.0","102,409.0","102,016.0","102,543.0","104,823.0","106,008.0","107,413.0","105,743.0","106,019.0","107,508.0","111,212.0","113,816.0","111,523.0","109,585.0","104,901.0","112,224.0","103,397.0","101,771.0","101,776.0","107,884.0","109,815.0","112,677.0","112,893.0","114,043.0","120,138.0","121,661.0","123,380.0","121,289.0","121,914.0","124,157.0","124,604.0","126,933.0","132,112.0","131,417.0","132,178.0","134,877.0","133,435.0","131,744.0","131,260.0","130,680.0","130,196.0","127,754.0","129,725.0","131,848.0","131,580.0","130,459.0","130,968.0","124,445.0","127,374.0","129,347.0","128,027.0","128,583.0","131,713.0","132,572.0","132,543.0","130,619.0"
"44","25","  State and local","A829DX1","435,703.0","438,285.0","437,828.0","438,547.0","438,649.0","451,513.0","456,577.0","460,821.0","453,237.0","457,432.0","459,108.0","464,346.0","466,499.0","460,400.0","453,930.0","451,950.0","455,345.0","446,629.0","445,193.0","448,735.0","447,335.0","448,749.0","448,785.0","451,899.0","453,523.0","452,423.0","456,004.0","455,721.0","460,938.0","466,903.0","475,038.0","480,359.0","486,197.0","496,243.0","505,805.0","511,684.0","524,430.0","530,846.0","535,938.0","537,432.0","538,787.0","538,760.0","538,309.0","543,566.0","551,292.0","558,522.0","561,288.0","568,421.0","571,403.0","577,133.0","582,480.0","590,270.0","599,581.0","600,610.0","604,362.0","610,879.0","611,662.0","614,089.0","617,623.0","622,076.0","630,088.0","629,282.0","629,683.0","629,783.0","632,345.0","637,783.0","641,317.0","644,343.0","646,149.0","652,997.0","660,322.0","662,637.0","667,946.0","673,209.0","673,631.0","676,953.0","675,557.0","685,327.0","691,508.0","701,937.0","709,337.0","711,867.0","714,441.0","716,851.0"
"45","26","Residual","A960DX1","-12,000.0","-10,900.0","-8,800.0","-8,800.0","-9,900.0","1,800.0","2,500.0","2,300.0","7,900.0","4,700.0","7,300.0","6,800.0","10,500.0","9,600.0","10,500.0","11,500.0","15,500.0","10,100.0","18,500.0","14,700.0","5,000.0","8,200.0","500.0","-5,800.0","-5,800.0","-8,600.0","-5,900.0","-2,000.0","300.0","3,100.0","3,300.0","4,400.0","2,700.0","-400.0","200.0","1,300.0","1,100.0","800.0","2,800.0","-1,300.0","-1,000.0","200.0","2,000.0","-1,200.0","1,500.0","1,700.0","5,800.0","4,000.0","4,300.0","3,800.0","4,700.0","6,700.0","4,300.0","6,800.0","6,900.0","9,300.0","11,600.0","12,700.0","10,400.0","9,800.0","11,300.0","10,900.0","8,500.0","6,100.0","7,800.0","5,400.0","9,400.0","3,900.0","0.0","-2,400.0","-1,000.0","-8,000.0","-9,200.0","-7,300.0","-7,500.0","-11,700.0","-12,200.0","-17,600.0","-22,900.0","-24,300.0","-32,200.0","-43,100.0","-49,400.0","-48,600.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (1987) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index rebased with the reference year 1987 equal to 100 and of the 1987 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","value of the corresponding series, divided by 100.  Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","estimates are usually not additive.  The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
