"","Table 7# Current-Cost Net Stock of Private Nonresidential Fixed ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"57","38","        Equipment and software","k1n31gd3eq000",15.9,17.1,18.7,20.4,22.4,24.4,26,27.5,28.5,29.4,30.7
"58","39","        Structures","k1n31gd3st000",9.9,10.4,10.8,11.5,12.4,13.4,14.2,15,15.8,16.2,16.4
"59","40","      Nonfarm nonmanufacturing","k1nnoma3es000",1491.2,1567.4,1628,1692.2,1786,1915.4,2028.8,2150.8,2256.3,2335.2,2424.6
"60","41","        Equipment and software","k1nnoma3eq000",290.7,302.1,313.6,324.3,336.9,376,400.5,424.2,436.4,449.8,473.5
"61","42","        Structures","k1nnoma3st000",1200.5,1265.3,1314.3,1367.8,1449,1539.4,1628.3,1726.6,1819.9,1885.5,1951.1
"62",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,"    By noncorporate legal form of organization:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","43","      Sole proprietorships","k1ntotl4es000",538.8,562.4,581.8,601.7,628.1,673.8,702,733.5,757.4,774.7,798.4
"65","44","        Equipment and software","k1ntotl4eq000",184.4,192.6,201.3,208.6,216.7,242.6,251.7,260,264,270.4,283.6
"66","45","        Structures","k1ntotl4st000",354.4,369.8,380.5,393,411.3,431.1,450.3,473.5,493.4,504.3,514.8
"67","46","      Partnerships","k1ntotl7es000",554.2,578.2,598.4,619.7,649.2,687.7,721.4,758,786.8,805.7,827.1
"68","47","        Equipment and software","k1ntotl7eq000",126.9,131,136,140.9,146.1,158.4,167,175,179.1,183.5,191.5
"69","48","        Structures","k1ntotl7st000",427.3,447.2,462.4,478.7,503,529.3,554.4,583,607.7,622.2,635.6
"70","49","      Nonprofit institutions","k1ntotl8es000",609,645.4,672.1,702.1,749.9,806.5,864.1,925.6,986.2,1035.2,1089.1
"71","50","        Equipment and software","k1ntotl8eq000",75.7,78.2,80.9,83.2,88.4,95.5,102.9,111.5,118.4,125.1,134
"72","51","        Structures","k1ntotl8st000",533.2,567.1,591.2,618.9,661.4,710.9,761.1,814.1,867.8,910.1,955.1
"73","52","      Households","k1ntotl5es000",22.1,23.2,24.1,25.1,26.6,28.6,30.5,32.2,33.5,34.4,35.3
"74","53","        Equipment and software","k1ntotl5eq000",2.2,2.3,2.2,2.3,2.3,2.5,2.8,2.9,3,3.1,3.2
"75","54","        Structures","k1ntotl5st000",19.9,21,21.8,22.9,24.3,26.1,27.8,29.3,30.5,31.4,32.1
"76","55","      Tax-exempt cooperatives","k1ntotl6es000",47.1,47.9,48.7,48.6,49.2,49.2,50.1,52,53.2,53.9,54.5
"77","56","        Equipment and software","k1ntotl6eq000",12.9,12.9,12.9,12.7,12.6,12.5,12.6,13.1,13.2,13.1,13.1
"78","57","        Structures","k1ntotl6st000",34.2,35,35.8,35.9,36.6,36.7,37.5,38.9,40,40.8,41.4
