"","Table 5# Current-Cost Net Stock of Private Fixed Assets by Indus","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"59","43","  Warehousing and storage","k1n49301es000",7.4,8.3,9.1,9.7,10.8,11.6,12.4,13.6,14.4,15.1,15.8
"60",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","44","Information","k1n51001es000",530.1,560.6,597.2,633.7,667.9,701.8,755,840.3,889.9,924.5,962.6
"62","45","  Publishing industries (includes software)","k1n51101es000",37.2,38.3,39,39.5,41.2,43.9,48,51.6,53.9,55.1,56.5
"63","46","  Motion picture and sound recording industries","k1n51201es000",33.3,36.5,38.9,40,40.8,42.3,43.2,43.9,44.2,44.1,44.2
"64","47","  Broadcasting and telecommunications","k1n51301es000",453.1,479,511.9,546.1,576.5,604.1,648.6,726.3,771.2,803.1,838.3
"65","48","  Information and data processing services","k1n51401es000",6.4,6.7,7.3,8,9.4,11.6,15.1,18.4,20.6,22.1,23.6
"66",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","49","Finance and insurance","k1n52001es000",516.3,550.3,582.1,620.9,669.6,733.3,805.6,865.6,903.5,932.6,974.5
"68","50","  Federal Reserve banks","k1n52101es000",0.8,1.1,1.8,2.8,4,5.6,8.2,9.6,10.5,11.3,12.4
"69","51","  Credit intermediation and related activities","k1n52201es000",326.5,342.2,355.5,380.3,408.3,443.5,484.8,515.7,532.9,545.1,568.5
"70","52","  Securities, commodity contracts, and investments","k1n52301es000",34.5,36.4,38.5,41.5,46.5,53.8,62.4,72.8,77.7,84.1,90.8
"71","53","  Insurance carriers and related activities","k1n52401es000",95.5,106.1,116.8,121.8,129.1,139.5,151.6,161.8,169.4,173.8,179.5
"72","54","  Funds, trusts, and other financial vehicles","k1n52501es000",59.1,64.5,69.5,74.5,81.6,90.9,98.6,105.7,113,118.2,123.2
"73",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","55","Real estate and rental and leasing","k1p53001es000",7559.2,8097.7,8468.9,8940.8,9451.6,10084.4,10855,11620.1,12449.3,13217.2,14199.4
"75","56","  Real estate","k1p53101es000",7429.7,7952.9,8305.7,8758.2,9243.8,9848,10568.7,11287.7,12094.6,12841.6,13784.4
"76","57","  Rental and leasing services and lessors of intangible assets \3\","k1n53201es000",129.5,144.9,163.2,182.7,207.8,236.4,286.3,332.3,354.7,375.5,415
"77",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","58","Professional, scientific, and technical services","k1n54001es000",89.5,94.2,100.7,108.5,122.7,139.7,167.4,193.4,210,221.4,234.5
"79","59","  Legal services","k1n54111es000",13.9,14.2,14.4,14.7,15.3,16.2,17.2,18,18.4,18.8,19.3
"80","60","  Computer systems design and related services","k1n54151es000",17.2,17.8,19.3,21.1,25,30.8,40.6,49.7,54.8,58.4,62.5
"81","61","  Miscellaneous professional, scientific, and technical services \4\","k1n54121es000",58.4,62.1,66.9,72.7,82.4,92.7,109.6,125.7,136.7,144.2,152.6
"82",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","62","Management of companies and enterprises \5\","k1n55001es000",194.7,203.7,212.2,221.9,234,249.6,265.3,277.9,287.7,294.3,300.7
"84",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","63","Administrative and waste management services","k1n56001es000",76.8,83,90.6,96.8,105.2,115.2,128.8,142.7,152.4,159.9,167.1
"86","64","  Administrative and support services","k1n56101es000",26.3,29.2,33.4,37.8,43.9,52.2,62.9,73.7,81.3,87.4,93.7
"87","65","  Waste management and remediation services","k1n56201es000",50.5,53.9,57.2,59,61.3,63,65.9,69.1,71.1,72.4,73.5
"88",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","66","Educational services","k1n61001es000",126.6,135.3,142.3,151.1,164.2,179.6,194.7,211.8,230.5,246.8,262.6
"90",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","67","Health care and social assistance","k1n62001es000",434,460.1,476.2,491.8,516.1,547.2,580.4,616,649.9,679.3,714.6
"92","68","  Ambulatory health care services","k1n62101es000",153.3,159.9,162,161.9,161.4,164.4,167.7,171.1,174.7,177.8,182.2
"93","69","  Hospitals","k1n622h1es000",223.6,238.4,248.8,260.6,278.9,299.7,321.8,346.2,368.9,388.8,412.7
"94","70","  Nursing and residential care facilities","k1n62301es000",42.2,46,48.8,51.8,56.4,61.8,67.5,73.3,78.8,83.6,89
"95","71","  Social assistance","k1n62401es000",14.9,15.8,16.6,17.5,19.3,21.4,23.5,25.4,27.5,29.1,30.7
"96",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","72","Arts, entertainment, and recreation","k1n71001es000",42.3,47,51.9,57.6,65.5,73.9,86.8,103.4,115.7,124.9,134.1
"98","73","  Performing arts, spectator sports, museums, and related activities","k1n711a1es000",20.9,22.8,24.7,26.6,29.1,31.8,36,41.8,45.9,49,52
"99","74","  Amusements, gambling, and recreation industries","k1n71301es000",21.4,24.2,27.2,31,36.4,42.1,50.8,61.7,69.8,75.9,82.1
"100",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","75","Accommodation and food services","k1n72001es000",188.8,200.9,213.1,230.3,247.3,265.4,284,301.6,316.2,325.2,334.4
"102","76","  Accommodation","k1n72101es000",117.9,123.7,129.2,139,149,158.5,169.1,177.2,184,186.8,190.6
"103","77","  Food services and drinking places","k1n72201es000",70.9,77.1,83.9,91.3,98.3,106.9,114.9,124.3,132.2,138.3,143.8
"104",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","78","Other services, except government","k1n81001es000",243,255.8,265,274,288.3,306.9,325.6,345.4,362.8,375.5,390.2
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107"," 1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108"," 2. Consists of scenic and sightseeing transportation; tranportation support activities; and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109"," 3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110"," 4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111"," services; specialized design services; management, scientific, and technical consulting services; scientific research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112"," and development services; advertising and related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113"," 5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114"," Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
