"","Table 6# Chain-Type Quantity Indexes for Net Stock of Private Fi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"57","41","  Pipeline transportation","kcn48601es000",83.468,85.461,87.54,90.067,92.426,94.564,97.44,100,101.922,103.214,104.231
"58","42","  Other transportation and support activites \2\","kcn487S1es000",78.247,81.056,84.296,85.624,88.814,92.789,95.592,100,102.971,105.086,107.091
"59","43","  Warehousing and storage","kcn49301es000",62.571,67.95,73.786,77.313,84.932,88.973,93.543,100,103.68,106.205,108.709
"60",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","44","Information","kcn51001es000",65.988,68.629,71.694,75.093,79.226,84.069,90.726,100,105.706,109.538,112.671
"62","45","  Publishing industries (includes software)","kcn51101es000",78.267,78.687,79.155,79.721,82.847,87.216,94.232,100,103.401,105.003,106.898
"63","46","  Motion picture and sound recording industries","kcn51201es000",88.455,93.842,98.697,100.478,100.632,101.81,101.42,100,98.211,96.223,94.428
"64","47","  Broadcasting and telecommunications","kcn51301es000",64.705,67.364,70.492,74.143,78.455,83.328,90.056,100,106.157,110.394,113.792
"65","48","  Information and data processing services","kcn51401es000",32.736,34.572,38.057,42.294,50.385,63.261,82.202,100,112.51,121.085,129.599
"66",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","49","Finance and insurance","kcn52001es000",66.01,68.418,71.289,75.578,81.054,87.674,94.611,100,103.496,105.394,107.083
"68","50","  Federal Reserve banks","kcn52101es000",7.151,10.009,17.027,26.762,40.709,57.228,84.281,100,111.38,119.407,126.729
"69","51","  Credit intermediation and related activities","kcn52201es000",68.173,69.667,71.247,75.959,81.702,88.316,95.269,100,103.008,104.186,105.267
"70","52","  Securities, commodity contracts, and investments","kcn52301es000",49.352,51.045,53.878,58.351,65.216,75.127,86.209,100,106.647,114.819,122.644
"71","53","  Insurance carriers and related activities","kcn52401es000",67.011,72.288,78.455,81.253,85.153,90.167,95.69,100,103.069,104.026,104.782
"72","54","  Funds, trusts, and other financial vehicles","kcn52501es000",71.37,74.578,78.635,82.18,86.711,92.419,96.536,100,103.655,105.676,107.139
"73",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","55","Real estate and rental and leasing","kcp53001es000",82.1,84.222,86.329,88.724,91.181,93.937,97.003,100,102.726,105.538,108.629
"75","56","  Real estate","kcp53101es000",83.609,85.658,87.662,89.919,92.148,94.673,97.356,100,102.521,105.231,108.258
"76","57","  Rental and leasing services and lessors of intangible assets \3\","kcn53201es000",37.201,41.064,45.763,51.748,60.591,70.17,85.34,100,109.915,116.533,122.025
"77",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","58","Professional, scientific, and technical services","kcn54001es000",44.187,46.177,49.646,54.372,62.733,72.437,86.742,100,109.195,115.362,122.089
"79","59","  Legal services","kcn54111es000",76.937,77.238,78.419,80.391,84.925,90.631,96.199,100,102.315,103.866,106.083
"80","60","  Computer systems design and related services","kcn54151es000",27.811,29.473,32.989,37.603,46.671,59.943,80.334,100,113.465,122.849,133.076
"81","61","  Miscellaneous professional, scientific, and technical services \4\","kcn54121es000",46.417,48.764,52.488,57.61,66.159,74.903,87.956,100,108.514,114.118,120.178
"82",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","62","Management of companies and enterprises \5\","kcn55001es000",83.722,84.548,86.223,88.55,91.169,94.503,97.933,100,101.245,101.513,101.815
"84",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","63","Administrative and waste management services","kcn56001es000",60.352,63.403,67.576,71.433,76.584,83.481,91.877,100,105.69,109.853,113.78
"86","64","  Administrative and support services","kcn56101es000",35.222,38.595,44.142,50.17,59.041,70.935,85.616,100,110.453,118.683,126.744
"87","65","  Waste management and remediation services","kcn56201es000",89.895,92.346,94.592,95.65,96.261,97.328,98.663,100,100.669,100.627,100.336
"88",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","66","Educational services","kcn61001es000",74.177,76.171,78.476,81.464,85.817,90.578,94.901,100,105.16,109.998,114.75
"90",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","67","Health care and social assistance","kcn62001es000",83.799,85.968,87.522,89,91.298,94.197,97.092,100,102.74,105.565,108.757
"92","68","  Ambulatory health care services","kcn62101es000",101.134,102.922,103.147,102.375,100.572,100.143,100.018,100,100.119,100.227,100.878
"93","69","  Hospitals","kcn622h1es000",78.326,80.525,82.45,84.72,88.395,92.313,96.125,100,103.51,107.287,111.456
"94","70","  Nursing and residential care facilities","kcn62301es000",71.881,75.187,78.096,80.959,85.59,90.514,95.449,100,104.291,108.509,112.786
"95","71","  Social assistance","kcn62401es000",71.809,73.247,75.462,78.129,83.665,89.927,95.166,100,105.345,109.286,112.943
"96",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","72","Arts, entertainment, and recreation","kcn71001es000",49.353,52.988,57.32,62.37,69.167,76.008,86.583,100,108.985,115.568,121.659
"98","73","  Performing arts, spectator sports, museums, and related activities","kcn711a1es000",60.103,63.61,67.411,71.238,76.07,81.026,89.05,100,107.129,112.125,116.775
"99","74","  Amusements, gambling, and recreation industries","kcn71301es000",42.064,45.787,50.483,56.363,64.492,72.611,84.912,100,110.243,117.901,124.969
"100",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","75","Accommodation and food services","kcn72001es000",76.72,78.552,81.383,85.964,89.832,93.617,97.225,100,102.002,102.945,103.719
"102","76","  Accommodation","kcn72101es000",84.026,84.582,86.281,90.55,94.001,96.581,99.24,100,100.508,100.09,99.584
"103","77","  Food services and drinking places","kcn72201es000",66.779,70.298,74.629,79.615,84.036,89.458,94.379,100,104.146,107.052,109.68
"104",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","78","Other services, except government","kcn81001es000",87.01,88.063,89.285,90.394,92.448,95.225,97.607,100,101.962,103.466,104.92
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107"," 1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108"," 2. Consists of scenic and sightseeing transportation; tranportation support activities; and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109"," 3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110"," 4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural, engineering, and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111"," services; specialized design services; management, scientific, and technical consulting services; scientific research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112"," and development services; advertising and related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113"," 5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114"," Note. Estimates in this table are based on the 1997 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
