"","Table 3# Current-Cost Net Stock of Private Fixed Assets, Equipme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"56","41","        Commercial \3\","k1ntotl1scxx0",700.5,745.7,783.3,829.9,889.7,960.2,1022.4,1095.6,1165.7,1224.1,1273.1
"57","42","      Hospitals and special care","k1ntotl1sb300",277,298.1,312,327.8,348.5,371.2,396.1,423,447.7,468,492.3
"58","43","    Manufacturing","k1ntotl1si000",651.7,688.9,718.3,753.2,793.6,843,878.7,912.2,945.5,954.3,955
"59","44","    Power and communication","k1ntotl1suxx0",841.4,879.2,920.8,946.4,975.8,992.2,1032.2,1091,1139.7,1193,1241.2
"60","45","      Power","k1ntotl1su6x0",638.1,662.8,685.5,696.2,718.5,730.4,758.6,797.2,827.4,864.6,895.1
"61","46","        Electric","k1ntotl1su300",445.4,459.6,477.9,485.1,501.3,507.5,524.9,555.8,583.5,609.8,629.7
"62","47","        Other power","k1ntotl1su4x0",192.7,203.1,207.5,211.1,217.3,222.9,233.7,241.4,243.9,254.8,265.4
"63","48","      Communication","k1ntotl1su200",203.4,216.4,235.3,250.2,257.2,261.8,273.6,293.8,312.3,328.4,346.1
"64","49","    Mining exploration, shafts, and wells","k1ntotl1sm000",245.8,253.4,273.3,289.4,329.7,340.5,328.3,373.8,432,422.8,411.9
"65","50","      Petroleum and natural gas","k1ntotl1sm010",215.6,221.4,240.7,256,295.3,305.3,292.2,336.4,393.8,384.5,373.1
"66","51","      Mining","k1ntotl1sm020",30.2,32,32.5,33.4,34.5,35.3,36.1,37.3,38.2,38.2,38.8
"67","52","    Other structures","k1ntotl1sb0x0",1051.6,1104,1149,1204.7,1270.3,1345.6,1428.5,1522.1,1604.6,1660.3,1722.6
"68","53","      Religious","k1ntotl1sb100",128,135.2,140,145.6,153.7,163.3,174.3,186.5,197.9,206.3,216.1
"69","54","      Educational","k1ntotl1sb200",113.9,122.5,129.3,138.1,150.5,165.1,179.4,195.6,214,230.3,245.7
"70","55","      Other buildings \4\","k1ntotl1sb400",289.5,306.2,319.9,341.1,369.1,402.6,440.2,479.3,511.3,530.3,551.7
"71","56","      Railroads","k1ntotl1su100",195.5,198.6,203.4,211.6,213.6,219.4,222.5,228.1,235.2,238.9,245
"72","57","      Farm","k1ntotl1sn000",202.6,210.6,214.1,219.1,226.5,235.5,245.9,258,266.6,271.9,278.4
"73","58","      Other \5\","k1ntotl1so000",122.1,131,142.3,149.3,156.9,159.7,166.1,174.7,179.7,182.6,185.6
"74",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","59","  Residential structures","k1rtotl1st000",6971,7470.5,7804.2,8234,8694.2,9263.3,9949.3,10636.8,11425,12155.6,13085
"76",NA,NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","60","    Housing units","k1rtotl1hh000",5677.1,6100.1,6354,6691.4,7072.5,7545.6,8106.3,8662.5,9319.6,9924.6,10679.1
"78","61","      Permanent site","k1rtotl1ps000",5567,5976.7,6220.1,6547.9,6920.1,7382.3,7931.7,8482.3,9134.6,9738.5,10488
"79","62","        1-to-4-unit","k1rtotl1sf000",4843.4,5237.9,5463.3,5755.8,6067,6458,6968.2,7472.4,8074.8,8624.5,9319.6
"80","63","        5-or-more-unit","k1rtotl1mf000",723.6,738.8,756.8,792.1,853.1,924.3,963.5,1009.9,1059.7,1114,1168.4
"81","64","      Manufactured homes","k1rtotl1mh000",110.1,123.5,133.9,143.4,152.3,163.3,174.6,180.2,185,186.1,191.1
"82","65","    Improvements","k1rtotl1im000",1266.6,1341.9,1421.4,1513.2,1591.3,1686,1809.3,1938.6,2067.1,2190.7,2362.8
"83","66","    Other residential \6\","k1rtotl1os000",27.3,28.5,28.8,29.5,30.4,31.7,33.8,35.7,38.3,40.3,43
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Excludes software ""embedded"" or bundled in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86"," 2. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," for their own use. Also includes medical buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88"," 3. Consists of stores, restaurants, garages, service stations, warehouses, beauty and trade schools, mobile structures, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," other buildings used for commercial purposes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90"," 4. Consists of hotels and motels, buildings used primarily for social and recreational activities, and buildings not elsewhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91"," classified, such as passenger terminals, greenhouses, and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92"," 5. Consists primarily of streets, dams and reservoirs, sewer and water facilities, parks, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93"," 6. Consists primarily of dormitories and of fraternity and sorority houses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94"," n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
