"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"83","2","Goods","DGDSRC0",572316,581809,587069,590902,593199,594678,601547,603177,606981,615904,627269,629756,615444,629740,642540,652308,662687,668002,665980,676152,674949,682193,691779,701024,699483,708312,715809,711768,723765,730968,737328,755566,766941,762051,770064,773195,793785,793143,789076,777519,774952,781022,797015,803337,805234,824312,825447,832681,849682,861633,868958,863176,860328,867849,871720,890157,881279,870680,870638,876320,878257,892706,887914,882359,895408,886076,900319,895597,909561,910585,923048,929655,923367,919707,934658,947027,961565,979304,989705,989369,993320,1007469,1012388,1027519,1047339,1030217,1036129,1052598,1061331,1077001,1061707,1061597,1076621,1071786,1095119,1092960,1102522,1110608,1118045,1119710,1138213,1120109,1131554,1151478,1187775,1145205,1156020,1170066,1185808,1166034,1160789,1165398,1182809,1176019,1187497,1202844,1259906,1213207,1195202,1252009,1182623,1232752,1232263,1246606,1246370,1261171,1269696,1291372,1282524,1267227,1273586,1289378,1302472,1301340,1322667,1316911,1329043,1334334,1337030,1341772,1344697,1361730,1369811,1385908,1398761,1381753,1386415,1420999,1417817,1424462,1429987,1453728,1442062,1436891,1438704,1454074,1501718,1481661,1485322,1482177,1472724,1482881,1487404,1493482,1509143,1502454,1506188,1490465,1465662,1477844,1514016,1491650,1500287,1499103,1510538,1506149,1509497,1492584,1499959,1501920,1535562,1539879,1526104,1533312,1550356,1560953,1563463,1573180,1582781,1596604,1585588,1611430,1616634,1605619,1598690,1625424,1643649,1633433,1650457,1641929,1655111,1669024,1681375,1686816,1689568,1711062,1716375,1733097,1712820,1734527,1741363,1766968,1768343,1790736,1794237,1799548
"84","3","  Durable goods","DDURRC0",177810,184060,189923,188852,188579,190238,191717,194205,196055,197128,200813,204178,191238,198523,204743,213489,216969,218103,215252,221847,213121,220330,222327,224239,220543,223984,225307,222654,224355,219293,226043,231341,235411,228264,228981,229901,239583,232935,223647,212350,208522,214878,226688,223958,225442,236285,236703,235704,239899,247343,250898,241690,239765,241351,245207,260392,250176,237256,236954,236323,241002,249303,249012,244854,256797,246028,247762,248589,259970,254134,268086,270846,268310,266842,271571,281694,288823,298234,303363,301169,302552,313652,315864,328294,336814,328742,328760,336004,341679,346123,341511,339745,344967,343041,358422,360056,365512,364877,373632,365736,384336,369681,376334,390290,422727,379244,380844,391166,401416,389362,384098,404020,414173,403679,415927,434383,486811,434902,420002,468495,399744,426955,428793,437584,433996,445723,452400,468892,460332,443069,447359,459420,470251,468671,472395,467753,474662,477253,472352,470143,468671,477859,481776,498851,496183,481276,481895,500427,487630,491975,497396,518683,500834,493929,490096,491631,536412,505922,503848,505671,495280,494270,496322,489313,495076,486124,482735,473982,452701,466975,495396,474416,473542,477787,485355,479764,487889,474135,477336,480896,495581,501260,491699,490006,501940,511021,507248,511889,517140,522696,514089,532408,538135,524197,521225,542978,551989,548560,558589,551506,559819,568851,574189,578349,579642,593267,593563,606989,588862,600311,602087,612008,613836,629639,635145,630706
"85","4","    Motor vehicles and parts","DMOTRC0",75991,77766,81099,78157,78173,79858,78697,80109,80831,80602,82074,84196,76471,80323,84610,91184,92447,93697,90485,96047,87007,92742,92705,92355,91908,93140,92992,89177,89318,81864,89613,90982,94808,88178,88822,91297,98338,91417,85550,75621,71292,77168,86151,84039,82279,88298,86474,86538,91105,98425,100671,89889,89783,89810,91589,106664,98046,86730,87360,86121,93429,99728,98378,93254,104679,92816,93688,95986,106283,99262,111426,111238,105926,105406,106742,116467,120357,127823,129403,126622,125242,134051,132741,144566,147453,141147,141589,144201,148765,148736,148199,144352,145749,143663,156262,156183,163082,157959,167502,158243,175234,163522,169990,178953,207311,162816,163215,172957,180819,168027,159801,179415,186921,174565,182322,196924,244954,187730,173205,215545,155225,174242,179111,185101,181197,192649,195070,212180,205514,187204,189974,200706,208962,206010,202722,198495,203820,204640,198742,198053,193702,198149,201817,211450,211086,202851,204353,216902,201947,204180,211727,228880,209892,205256,196751,199429,240164,207778,207267,211177,202821,204654,204198,200129,204472,195984,192817,189963,167099,176429,201566,180654,178067,185609,192130,187295,195631,182819,188196,193483,197700,202486,195039,192394,204165,210291,203428,206257,209964,213320,205335,217206,216499,208907,207249,222617,224199,224124,228866,222550,226467,236055,238271,240782,245688,251140,244475,256903,236924,243184,244548,249744,248908,256923,262575,257108
"86","5","    Furnishings and durable household equipment","DFDHRC0",49426,51373,52586,52884,52308,52480,53921,53899,53891,54969,55860,56665,54243,55575,56147,58280,59318,59503,59330,59786,60432,60804,61679,62955,62016,62187,63427,63512,64357,65144,65847,67432,67325,67278,67353,67174,67748,68032,66558,65758,66219,65936,67190,67082,67778,70034,71390,70397,71005,71655,71693,71728,71298,72389,72010,72000,71987,70650,70632,70484,69085,70640,70553,71220,71258,71375,72373,71474,71928,73014,73397,75411,75677,75236,77337,76722,77962,78905,80565,81131,82009,83293,84225,84181,86987,85158,85261,87648,88189,90471,88015,88876,91285,90654,91760,91686,90797,92641,92488,93217,93891,93197,93617,95650,96131,97567,97909,98333,99766,99827,100776,100878,102398,102537,104367,105522,105855,106483,105985,107056,106175,109269,108166,108778,109028,108869,110528,110681,110799,110567,110817,110759,111488,111490,113882,114043,114333,115246,115432,114408,115883,117339,118390,119921,122580,119017,118722,120977,121141,121703,121276,122214,121884,121632,123377,122139,124736,124699,124257,121927,121509,120297,120067,119398,119965,119004,118162,117263,116711,118511,119965,120350,120609,118677,119436,118999,118402,118282,117685,117786,121693,122474,121773,122105,122748,124051,124312,125346,125724,126357,126636,128238,129926,128418,126650,129855,131429,131179,132752,131992,132955,133180,133913,134153,131766,135564,138261,138155,138907,140723,140791,142983,143670,144958,144751,145604
"87","6","    Recreational goods and vehicles","DREQRC0",34619,36202,36745,37582,37531,36802,37606,38339,39182,38594,39502,40056,38572,40216,41351,41028,42024,41594,41942,42041,41103,42899,43393,44250,43154,45161,45100,45879,45804,47291,45325,47007,46961,46508,46457,45369,45894,46242,44482,44447,44409,45060,46149,45668,47784,49195,49452,49103,48605,47603,49386,50360,49170,49397,51239,51791,50464,50410,49799,50318,49519,49507,50752,50235,51276,51847,51734,51161,51708,51527,52700,53472,54732,54493,55384,55791,57632,58189,59379,59290,60412,61107,63142,64309,65800,66073,65574,66537,66812,68042,66815,68281,68771,69688,69985,71742,71950,73841,73206,73840,73964,72234,71398,73140,76579,75802,76368,76576,76828,77582,78812,78724,79341,80808,82851,84185,87780,87622,88566,93094,88201,91112,90004,91740,91767,91556,94096,93497,91427,91779,92742,93704,94540,95750,98522,98270,99577,99963,100227,100134,100229,103044,101862,106400,102128,100120,100060,102260,103561,105103,103191,106050,106448,105073,106565,106307,107039,106880,106191,107114,105879,104253,105637,104243,105790,105717,105996,101957,104232,106565,107680,107247,108345,108564,108927,108736,109865,108963,107358,106102,110084,109968,108325,109104,108253,109336,111305,111101,111629,113093,112395,117346,120444,117045,118241,120335,125472,120854,123315,123955,127003,126445,128753,129818,128096,131441,135829,136536,138175,140607,140294,141970,143753,148935,149366,149077
"88","7","    Other durable goods","DODGRC0",17775,18718,19493,20229,20568,21098,21493,21858,22151,22963,23378,23261,21953,22408,22636,22998,23181,23309,23495,23973,24579,23885,24549,24679,23464,23496,23789,24086,24876,24994,25259,25920,26317,26299,26349,26061,27603,27244,27057,26524,26603,26715,27198,27169,27601,28757,29386,29665,29184,29661,29149,29712,29515,29756,30369,29937,29680,29467,29163,29399,28970,29428,29328,30146,29583,29989,29966,29968,30051,30332,30564,30724,31975,31707,32109,32714,32871,33317,34016,34126,34890,35202,35756,35238,36574,36363,36336,37619,37913,38874,38482,38236,39162,39036,40415,40445,39683,40436,40436,40436,41247,40727,41330,42547,42706,43060,43352,43300,44003,43927,44710,45003,45514,45768,46388,47752,48222,53067,52246,52800,50143,52333,51512,51965,52004,52648,52706,52535,52592,53519,53825,54250,55261,55420,57269,56945,56931,57404,57951,57548,58857,59327,59706,61080,60390,59288,58760,60288,60981,60989,61202,61539,62610,61968,63404,63756,64472,66565,66132,65454,65072,65066,66419,65543,64849,65418,65760,64799,64659,65470,66185,66164,66521,64937,64862,64734,63991,64072,64096,63526,66105,66333,66562,66403,66775,67344,68203,69185,69822,69926,69722,69618,71266,69828,69085,70171,70889,72403,73657,73009,73394,73170,73252,73596,74093,75122,74998,75394,74856,75797,76454,77312,77505,78823,78453,78918
"89","8","  Nondurable goods","DNDGRC0",394506,397749,397146,402050,404620,404440,409831,408972,410926,418776,426457,425578,424206,431217,437797,438819,445718,449899,450728,454305,461828,461863,469453,476785,478941,484329,490502,489114,499411,511675,511285,524225,531530,533787,541083,543293,554202,560208,565429,565169,566429,566144,570327,579379,579792,588027,588744,596977,609783,614290,618060,621485,620563,626498,626512,629765,631103,633424,633684,639998,637255,643403,638902,637504,638611,640048,652557,647009,649591,656450,654961,658809,655056,652865,663087,665333,672743,681070,686342,688200,690768,693817,696524,699224,710525,701476,707370,716594,719652,730877,720196,721852,731653,728744,736696,732903,737010,745731,744413,753974,753878,750428,755220,761188,765047,765961,775175,778899,784392,776671,776691,761378,768636,772341,771570,768461,773095,778306,775201,783514,782879,805797,803470,809022,812374,815448,817295,822481,822192,824159,826227,829959,832221,832669,850272,849158,854381,857081,864678,871629,876026,883871,888035,887056,902578,900478,904520,920572,930187,932487,932591,935045,941227,942962,948608,962443,965306,975739,981473,976505,977443,988611,991082,1004169,1014067,1016331,1023452,1016483,1012961,1010869,1018620,1017234,1026746,1021315,1025183,1026385,1021608,1018449,1022624,1021024,1039980,1038618,1034405,1043306,1048416,1049932,1056215,1061291,1065641,1073908,1071499,1079021,1078499,1081422,1077465,1082446,1091661,1084873,1091868,1090423,1095292,1100173,1107186,1108467,1109926,1117796,1122812,1126108,1123958,1134216,1139276,1154960,1154507,1161097,1159092,1168841
"90","9","    Food and beverages purchased for off-premises consumption","DFXARC0",175566,175152,174395,176172,180079,180412,181177,179819,179849,182700,187551,184374,185402,189062,191436,191324,193491,196558,196121,197904,201410,200348,203916,206372,209797,210433,212534,210292,214702,222108,216570,220031,223628,223485,228341,228516,231537,232338,234509,234847,236591,236452,238008,242887,242961,245261,246448,248165,250458,250696,250669,253278,254003,254670,255896,258010,256190,259347,258739,262103,261315,263371,262086,264867,266393,266360,269573,267305,268879,272385,269430,273723,268209,271435,273102,274893,274884,277388,279677,279213,280469,280482,282427,282256,284207,284599,287517,289018,289546,293274,291955,293130,295463,293937,296054,294522,297383,298247,297837,301141,300363,300116,300957,302888,307473,306034,309987,313011,314534,313505,315510,312330,314328,315699,316993,314162,317673,320468,320321,321452,320224,323323,322131,323921,323300,324766,323873,326479,325361,325827,325587,326959,329083,331341,338530,337834,340981,340837,344793,348840,347627,349824,352322,351664,356902,357786,358628,359130,363305,363551,365517,367050,370915,370266,373509,378098,378323,382686,387970,387660,388585,393762,392527,394865,399873,394162,398679,395018,398126,397861,405704,402920,408986,406983,406233,405834,403140,401428,402479,395746,405225,402571,400380,403001,402169,401578,404164,405515,404871,408835,407705,407558,405741,410302,408823,409474,413203,411576,413823,412602,416877,417638,419869,421738,421278,424414,426134,428760,428646,433047,431396,436039,438287,438384,438845,440084
"91","10","    Clothing and footwear","DCLORC0",74056,76683,76347,77557,77205,77407,79781,79718,80042,83095,84792,84977,83012,84671,86443,87956,89087,90181,89168,90149,92174,91627,92740,94602,92738,91788,95001,93767,95032,95208,97030,98997,98299,98957,100239,99395,101359,100295,99002,99744,100709,101315,102361,105015,104420,107322,106837,107647,109772,111495,111496,112818,110938,113602,114178,114725,115278,114796,114007,115027,114259,117851,116087,115096,115644,113878,118234,116748,116555,117856,117986,120748,120108,119851,121536,123228,125137,127534,127336,127931,128449,130424,132776,133037,136301,134647,132193,135460,137494,141633,136318,136263,139277,138642,141702,141534,140862,144223,144125,145660,146735,144585,146307,148443,149266,149221,152388,150328,152375,152843,155083,155993,157544,157401,157348,160065,159214,159903,157762,160869,159002,167359,166188,165841,166221,168000,169188,169757,169427,169531,169584,172631,172389,170756,175097,173345,175931,175801,178085,178373,181428,185630,185368,186366,191133,183352,184120,189743,188978,190025,189936,191066,193445,193396,194541,195026,195005,194658,197347,193804,195477,197766,197596,195124,195064,193804,193822,193468,192682,196968,199029,202047,200303,198531,201894,203170,198939,198100,199593,197920,204232,208585,204446,206699,208847,211077,210522,213985,215851,216180,215821,218556,220839,214002,211461,216428,218756,218570,220064,219533,220959,222026,223422,222577,221578,224352,228713,226759,223617,225978,226458,229238,227345,231657,231584,231937
"92","11","    Gasoline and other energy goods","DGOERC0",57834,56236,55617,57681,57352,56936,57662,57658,58379,58856,59055,60536,59985,59904,60723,60264,61813,59709,61272,61070,61156,62693,64038,64808,65831,70369,70197,72415,74887,77928,81461,86813,90045,91162,89966,93579,96717,101113,107115,104827,102182,101636,101316,100864,100743,101239,100368,104652,111464,112590,116286,114523,113528,115168,112045,111885,113867,112699,113444,113815,113689,112122,110082,106221,104907,107118,109793,108356,107888,107686,108991,103347,105940,98941,104011,101917,105953,108057,108931,110126,108788,109305,106242,109262,111154,103966,109002,110005,109144,109604,106888,105815,108273,108582,109272,106704,106573,109062,108787,112106,111614,110808,111640,111892,109615,109891,110363,114029,113698,106251,99868,87920,89553,91124,87319,83319,83776,83428,82919,85121,87130,93316,94514,94893,97761,96034,96928,97668,99180,99153,100671,99176,99689,97310,98259,99681,98559,100613,100041,101207,101370,101003,101020,99451,99665,104743,106099,114333,117596,116725,112703,110993,108323,110703,108594,114786,114499,118976,115773,114618,112696,114086,115941,128398,132021,141456,141921,140006,132867,123722,117597,117634,120703,120410,119828,119195,120302,119463,118650,123171,120816,117271,122232,122862,124918,124520,126837,125924,127785,127611,128674,130644,126126,130112,129698,127222,128386,123721,124009,126165,124993,127759,128587,125809,129009,128872,124233,124997,124143,125328,130103,134400,132198,132331,129936,135217
"93","12","    Other nondurable goods","DONGRC0",87051,89679,90788,90640,89984,89685,91210,91777,92656,94125,95058,95691,95807,97579,99194,99274,101328,103451,104167,105181,107087,107196,108758,111002,110575,111738,112770,112640,114790,116432,116224,118384,119557,120184,122537,121804,124589,126462,124802,125750,126948,126740,128642,130613,131667,134206,135090,136514,138089,139509,139609,140866,142093,143058,144393,145146,145769,146582,147494,149053,147993,150059,150647,151321,151667,152692,154957,154599,156269,158523,158554,160992,160799,162638,164438,165295,166770,168091,170399,170931,173061,173605,175080,174669,178863,178264,178658,182111,183468,186367,185035,186643,188640,187583,189669,190143,192192,194199,193665,195066,195166,194920,196316,197964,198693,200815,202437,201531,203786,204073,206230,205136,207211,208117,209910,210915,212433,214508,214199,216072,216523,221799,220638,224367,225091,226649,227307,228576,228225,229647,230385,231193,231060,233261,238387,238297,238910,239829,241759,243209,245602,247415,249325,249575,254878,254596,255674,257366,260308,262186,264435,265936,268545,268597,271964,274532,277480,279419,280384,280425,280686,282997,285018,285782,287109,286909,289030,287990,289286,292318,296290,294633,296754,295390,297229,298186,299227,299458,301902,304187,309708,310191,307347,310744,312483,312756,314692,315866,317134,321283,319299,322264,325793,327006,327484,329322,331316,331005,333972,332124,332463,332751,335308,338343,338060,340158,343733,345593,347552,349864,351319,355283,356678,358724,358727,361604
"94","13","Services","DSERRC0",645071,651842,653602,658831,666435,671582,681667,685317,690442,698431,702767,709504,717579,729118,738847,747927,753184,761770,764827,774829,781986,788808,792896,799497,806819,813332,819187,830547,838948,848654,852813,864110,871190,883944,891645,897489,907790,912450,923316,921935,929336,941994,954159,964376,978910,996113,1004722,1022784,1025013,1027719,1039136,1045966,1057846,1070608,1073983,1079632,1086968,1095515,1101738,1113542,1119146,1128655,1136510,1144801,1150506,1164126,1174761,1188090,1199361,1220076,1231649,1237769,1256702,1263348,1273899,1284734,1289394,1301507,1319276,1335461,1345793,1354294,1358049,1370373,1376414,1377897,1400257,1410005,1418492,1424240,1438767,1456769,1463666,1466417,1483489,1497044,1523789,1537994,1538719,1548689,1567678,1579198,1594383,1611206,1617832,1621943,1626681,1652712,1652489,1665187,1673887,1681101,1686239,1697529,1705932,1708288,1724737,1732705,1746492,1758770,1767253,1783740,1796121,1807485,1817494,1827276,1841003,1855609,1860378,1883852,1887286,1901535,1928209,1937178,1955115,1963461,1981925,2001245,2022253,2042539,2046702,2068676,2077229,2090441,2101141,2122114,2128044,2137649,2149699,2157940,2171727,2183077,2196080,2213065,2221011,2246576,2245473,2263114,2286205,2304514,2319804,2338389,2351061,2371517,2377598,2384651,2382211,2387375,2391906,2405502,2415727,2432266,2449734,2458034,2471817,2479253,2491663,2500266,2520688,2535792,2566329,2576900,2608232,2615704,2625709,2634036,2659552,2666125,2691123,2706933,2733872,2744140,2743093,2768699,2772730,2786932,2797602,2825324,2837245,2857971,2875381,2882945,2892055,2903851,2915256,2941226,2949071,2957602,2976358,2994239,2999428,3016055,3027180,3042563,3051809,3062781
"95","14","  Household consumption expenditures (for services)","DHCERC0",624926,631881,633777,638982,646738,651313,661230,664510,669415,676699,680860,687537,695334,707041,716665,725459,730654,738705,741546,751677,758592,764899,769089,775382,781733,787991,793614,804755,813147,822483,826885,838227,845288,857247,864417,869452,879616,884171,894798,893053,899957,911813,923848,933840,948265,964730,972764,990633,992954,994973,1006416,1013004,1024511,1036413,1039786,1045006,1052252,1059954,1065521,1077192,1082459,1091725,1099626,1107670,1113278,1126244,1136513,1149657,1160648,1180938,1192649,1198480,1216800,1223796,1234725,1244953,1249477,1260960,1278489,1294560,1304394,1312266,1315630,1327710,1333250,1334867,1357052,1365279,1373566,1379219,1393042,1411195,1416984,1419574,1435987,1448839,1476977,1491042,1491990,1501788,1520194,1531234,1546537,1562671,1569403,1573228,1577652,1603221,1602307,1614357,1622550,1628800,1633256,1644577,1653089,1655093,1671025,1679338,1692167,1705478,1713183,1729123,1741844,1753277,1762669,1772071,1785126,1799088,1803522,1827287,1829549,1843923,1868484,1876430,1894564,1902039,1919110,1938340,1958258,1978371,1981362,2002422,2011428,2024645,2034968,2057006,2062311,2070064,2082576,2090258,2102739,2114396,2126688,2142788,2151284,2176601,2175239,2191693,2213585,2230804,2245209,2262649,2274033,2293390,2298379,2305522,2302789,2308295,2313380,2326973,2336994,2353214,2370299,2378061,2391558,2398599,2410737,2419122,2438800,2453387,2483110,2492135,2522668,2529075,2538734,2546406,2571103,2576314,2600767,2616139,2643175,2653815,2653851,2680116,2684062,2698006,2708395,2735838,2747298,2767405,2784448,2791618,2800409,2811601,2822202,2847467,2854525,2862337,2880047,2896790,2900862,2916539,2926887,2941457,2950023,2961286
"96","15","    Housing and utilities","DHUTRC0",209463,211156,209868,211481,212182,216179,219157,221242,223016,226159,224930,228838,231259,235833,236307,238606,241310,243845,243667,246752,249776,251818,254222,257950,260823,264705,261661,265924,267903,270588,271598,276358,280009,285256,287314,288698,289914,296738,302696,301411,304894,312724,314920,318198,320146,325531,329095,333176,333239,332006,337293,338884,348300,356624,355245,357109,360559,366465,365274,373856,378057,377473,379893,381213,379855,385576,387163,388979,392404,397482,401549,400335,402186,405711,410076,417476,413497,416659,422087,429267,428240,429483,432571,447471,440274,432895,448900,451273,454078,454751,458484,463547,467138,467941,476721,474118,488163,489459,483475,484784,493416,496924,500755,504861,510253,510334,515252,529640,518461,525044,525278,529679,531909,537896,541266,538443,546329,547037,552783,549585,552419,555158,559281,562331,567267,570699,573731,578491,577413,588418,583668,589832,599703,598325,601504,601519,606528,613124,618052,623298,619078,631079,629314,631729,628037,648863,642352,644916,647772,647479,652627,658584,662311,666857,672618,689600,667111,675887,682673,688670,691675,696896,699237,707160,712681,711983,708735,715767,719860,715858,723308,727204,739051,734659,738900,737626,743389,742395,753878,746845,749955,749150,764922,767111,765103,767702,771903,770587,780899,781545,794133,790333,785352,804549,804036,803246,801705,815577,815885,823073,828120,830193,826904,840632,843362,848897,849206,851010,858686,871865,862520,870217,871582,876211,877113,879446
"97","16","    Health care","DHLCRC0",108763,109430,110967,112359,115637,116416,117498,118214,118226,119106,120030,121645,123617,125294,126836,128543,129306,130726,131664,132761,133926,136193,136945,138613,141014,141365,142601,144284,146182,147766,150258,150900,151858,155365,156199,158280,161892,161899,163529,164412,165183,167446,170445,174066,179509,180960,183527,187058,187735,191881,194623,196762,199003,201311,203888,206533,208076,208571,211971,212599,213483,215450,217156,219101,221042,223147,226064,228326,230450,232836,235740,239395,241525,243150,246055,247731,250704,252080,253750,257052,257935,260839,262767,263906,268641,268763,270132,272048,273809,275055,277520,277962,280732,282684,283677,286695,287869,291693,293390,296045,297151,299927,303196,305689,309373,311366,313688,316957,318696,321050,322018,323743,325531,328256,329743,332429,335728,338683,341789,344246,346062,350533,355186,357016,360813,365104,368537,372092,375154,377843,381560,382237,388647,392157,397235,400412,404999,407846,413538,417727,418939,422243,426350,430527,435038,436822,439473,443017,444250,447179,451570,454046,457864,464380,468418,472443,479374,482234,487647,493001,499400,505729,511756,515759,518201,523363,527351,530592,532756,537525,538687,545232,546584,552460,556275,561852,565857,571859,576313,583715,588594,591765,598945,604082,607614,611634,616187,620517,624699,627014,628614,633757,635669,641249,639433,641928,645193,647807,652532,652166,653720,656376,659310,660319,663814,667319,670213,672118,677405,676875,681793,684258,688002,691102,695107,697525
"98","17","    Transportation services","DTRSRC0",38315,39632,40365,40543,41072,40883,41643,42435,42863,42780,43061,43155,42824,43750,44586,45007,44717,45253,45386,45823,46281,46937,45958,45876,46903,48266,49250,49460,49909,50382,50686,51220,52025,52727,53941,53696,54722,54039,53803,54002,52962,54535,55542,56029,56533,57118,56428,58688,59504,59228,59164,59323,58638,58542,60279,60190,61023,60703,60670,60209,59861,60101,60149,60640,60655,61458,61913,62461,62815,63000,63545,64147,64702,64413,65796,65788,67534,67998,69319,70345,71360,72362,72983,74190,76027,76850,77374,78124,79620,79766,79672,80905,80503,82891,83951,84510,86605,87224,88236,88914,89614,90368,90305,91227,91597,92855,91824,92970,93127,93149,93847,93673,93804,94663,95120,95495,95692,96231,97086,98217,98709,99777,100018,101436,101442,102533,103307,104142,105894,106217,106689,107006,108345,109357,110435,111191,112726,113935,114706,116236,116767,117845,119383,118870,120060,121179,122084,121512,122158,121782,121253,122147,122580,123146,122967,121300,123296,124734,125936,126429,127167,126619,126198,126991,127397,128732,127806,125159,123376,122871,122411,122265,123013,123024,123800,123555,124271,125051,123796,126651,128462,129496,129964,130954,130283,131222,137822,133011,135230,137115,139089,140817,140798,141655,142741,143354,143594,145357,145948,147373,148588,149733,152054,151994,153130,154668,158830,158952,160182,161134,162666,164375,165479,167175,168255,167911
"99","18","    Recreation services","DRCARC0",28325,28015,28191,28355,29436,29275,29683,29973,30414,30720,31074,31286,31329,31689,31974,31927,32232,32677,33300,33249,33595,33758,33987,34487,35020,35099,35669,36135,36342,36555,37003,37337,37503,38017,38082,37938,38642,39045,39510,39590,39899,40209,40632,41226,41906,42455,42991,43940,44625,44698,44724,45523,46366,47755,48145,48096,48356,48666,49282,49276,49924,50755,51350,51064,51531,52368,52666,53373,53385,54127,54392,54759,56537,55773,56817,57844,59114,59486,59886,60134,60978,61883,62255,62444,63289,63580,64053,64572,65171,65601,66159,67174,67569,67825,68771,69640,69781,71038,72143,72675,73124,73640,74555,75116,74695,76349,76612,77765,78563,78198,78540,78350,79537,79909,80247,80772,80918,82668,83116,83621,83738,85225,84770,85782,86218,86378,86892,88062,88926,90240,90308,90782,92816,93789,94828,96263,97724,98871,99751,100892,102181,103572,104683,105435,108050,107430,107852,108327,109770,111104,111799,111563,112720,112851,112529,113990,115466,117019,119161,120225,120550,121880,122478,123869,124040,124520,125985,126013,123204,125531,125830,124937,125966,127085,127735,127058,128327,128810,129676,132023,133807,134996,136412,137024,138989,139022,140151,140956,142046,143482,144994,145723,147247,147711,148729,151375,150640,152531,154937,156388,157047,157989,157333,158577,159500,160563,161622,161949,162708,164680,166944,166286,166023,166846,169005,169791
"100","19","    Food services and accommodations","DFSARC0",82932,86041,85426,85168,86305,85321,86199,85551,85246,85212,87439,87136,87950,89766,92978,94221,94625,96712,98674,100028,101274,101635,103033,104347,104151,106567,110485,108390,107988,109207,109431,111577,113285,114158,117520,118294,120313,116712,118354,118766,119412,120248,120811,122131,123368,125230,126296,129016,131112,131209,132590,133334,134239,134010,133579,134374,135820,136269,134935,135516,134509,138931,137946,139670,141073,142307,144065,144812,144822,147155,147295,147516,149291,149876,151127,151131,151721,153062,154584,154237,156418,157246,159034,154867,161611,162051,161190,161993,162316,163749,165237,167276,168514,165628,169107,170320,168415,170563,172662,173205,175063,175439,175113,174864,176119,177373,177081,175690,180463,181411,182194,184724,185643,185407,186693,188245,188495,190515,191141,195314,195498,199493,199287,201443,202123,202979,204215,205195,205948,208789,212593,214987,212376,213583,218725,219684,222266,225369,227542,231077,232363,233527,236263,237389,238763,235630,238096,238271,240070,241045,243175,244112,247120,247989,248608,248280,254133,257156,259712,260915,261198,264077,266488,266904,266633,265889,265746,263967,264079,267713,267535,271476,274040,276756,276435,276206,274762,275298,277272,279168,284955,285438,284833,281367,282989,277513,280546,285499,286712,292144,296843,296909,295499,293272,291386,296230,297136,299387,298674,301341,304517,301144,301069,301215,293170,304637,307644,306181,306404,310069,311988,309309,311215,312059,312666,314237
"101","20","    Financial services and insurance","DIFSRC0",62974,62972,63332,64722,65734,66774,68890,69313,70203,71703,73200,73683,75170,76173,78097,80730,81392,80859,80373,82246,82165,83347,83623,83432,81534,78666,80136,86256,89791,91696,90777,91014,91026,90677,89038,90965,90651,92365,92755,90044,91703,93112,94414,95481,97843,101081,103568,104286,105369,103356,103718,103940,102769,101872,101449,100493,98748,98516,101439,102407,103287,104029,106815,107790,110199,111232,114056,120021,123029,129872,132344,133344,140837,142604,140935,138641,138100,141570,148119,152747,156863,154515,149165,146575,142545,148653,150849,153562,154367,154746,159045,164282,162040,160003,160825,167933,179160,182229,182600,182673,185692,187176,192956,196895,193388,190130,190077,194151,195975,200617,203625,201219,198210,199700,198462,197060,198927,198212,201624,204012,203992,203642,204503,205598,204453,203376,205225,205823,205173,208456,205598,207767,211636,212922,213668,214590,215335,219251,222064,223715,225006,225696,225654,228159,232609,234227,235169,237486,238269,240022,239686,239670,239320,241045,240525,242482,243606,244032,243856,244839,245948,246828,247034,249403,249126,250393,251199,252412,255516,259261,260828,263253,263320,265262,268178,271057,271347,272553,273029,277860,286459,287542,288058,290672,290969,292402,294578,295700,297789,301996,304677,310250,315267,318768,320041,324310,330226,332388,334534,339262,341244,346368,344913,343711,346213,345637,348279,347382,347110,344802,344191,345121,345689,347134,349082,351852
