"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"35","28","S1 PN447ZZZMG     Gasoline stations","T070283",55.259,55.007,55.14,55.985,59.145,59.483,53.577,58.187,71.582,69.872,66.852,75.651,86.207,100,109.773,117.57,131.663,108.272
"36","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",107.255,107.765,108.625,108.76,109.385,108.795,107.672,105.698,104.688,104.205,102.867,101.541,100.896,100,99.134,97.877,98.304,98.095
"37","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",117.105,117.256,118.122,117.944,118.089,117.041,114.632,111.463,109.315,107.538,104.868,102.585,101.368,100,98.892,97.051,97.331,97.152
"38","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",88.854,89.965,90.801,91.447,92.842,93.014,94.032,94.125,95.177,97.163,98.488,99.18,99.796,100,99.756,100.15,101.023,100.735
"39","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",90.281,91.531,93.173,95.407,97.123,98.109,98.571,99.515,100.191,100.14,99.526,98.419,99.027,100,100.652,101.394,103.746,104.695
"40","33","S3 PN4531ZZMG       Florists","T070333",94.953,93.436,93.869,96.431,94.176,91.873,92.978,91.324,94.828,97.544,97.65,97.212,99.91,100,100.74,101.8,105.312,104.596
"41","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",104.041,105.513,107.189,110.036,112.718,114.678,114.971,113.349,111.714,109.757,107.317,103.963,101.264,100,98.634,97.801,97.438,95.277
"42","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.131,107.579,108.106,107.845,108.115,107.679,106.386,105.669,105.585,104.513,102.634,100.732,100.421,100,99.667,99.083,99.263,98.033
"43","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",76.272,78.125,80.159,82.279,84.242,85.38,86.115,89.394,91.352,92.418,93.251,93.848,96.866,100,102.48,104.762,109.627,113.829
"44","37","S1 PN454ZZZMG     Nonstore retailers","T070373",91.465,92.34,93.05,93.512,96.525,96.729,94.77,94.844,99.684,98.743,96.046,96.315,97.56,100,100.193,99.777,102.596,95.447
"45","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",109.546,110.917,112.238,112.579,113.283,113.084,112.446,111.689,111.02,109.663,107.316,104.001,102.317,100,97.653,95.492,93.393,90.59
"46","39","S4 PN4542ZZMG       Vending machine operators","T070393",73.782,75.147,76.363,77.967,80.722,82.594,84.274,86.348,88.346,91.236,92.896,94.83,97.957,100,102.016,106.048,112.436,114.249
"47","40","S4 PN4543ZZMG       Direct selling establishments","T070403",66.361,66.689,66.804,67.113,71.412,71.699,68.156,68.874,80.858,80.06,76.459,81.982,87.999,100,105.995,109.736,126.793,104.861
"48","41","S1 PN722ZZZMG Food services and drinking places","T070413",72.469,73.798,74.992,76.641,78.54,80.713,82.719,84.804,87.03,89.815,92.235,94.142,96.984,100,103.147,106.931,111.619,115.309
"49","42","S4 PN7221ZZMG   Full-service restaurants","T070423",72.299,73.669,74.884,76.55,78.489,80.679,82.818,85.045,87.225,90.099,92.421,94.408,97.085,100,103.307,107.1,111.423,114.503
"50","43","S4 PN7222ZZMG   Limited-service eating places","T070433",73.017,74.239,75.386,76.99,78.809,80.936,82.762,84.634,86.9,89.548,92.074,93.839,96.871,100,102.899,106.62,111.793,116.369
"51","44","S4 PN7223ZZMG   Special food Services","T070443",73.153,74.427,75.596,77.234,79.099,81.235,83.357,85.549,87.67,90.418,92.629,94.522,97.131,100,103.158,106.851,111.089,113.957
"52","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",68.407,70.26,71.699,73.571,75.845,78.299,80.461,82.889,85.356,88.553,91.327,93.727,96.829,100,103.885,108.294,112.869,116.057
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",85.706,87.03,87.94,88.659,90.387,91.264,90.284,91.442,94.168,94.491,93.907,94.955,97.565,100,101.735,103.352,106.857,104.082
"55","47","S1 PN44GZZZMG   Retail trade except motor vehicle and parts dealers","T070473",87.8,89.12,89.976,90.534,92.23,92.891,91.426,92.438,95.24,95.186,94.151,95.072,97.648,100,101.535,102.851,106.192,102.52
"56","48","S2 PN44BZZZMG   GAFO-Department store merchandise stores \1\","T070483",113.358,113.662,113.938,113.478,113.441,112.93,111.386,109.775,108.66,107.213,104.908,102.273,101.195,100,98.961,97.768,97.387,96.231
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries PN442ZZZMG, PN443ZZZMG, PN448ZZZMG, PN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PN452ZZZMG, and PN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
