"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160"
"27","19","    Textile mills","KP3130",4967,4946,4999,4843,4744,4718,4751,4615,4776,4743,4706,4764,5075,4898,4984,4682,4680,4676,4709,4645,4539,4572,4610,4521,4857,4605,4535,4668,4628,4599,4513,4530,4556,4539,4611,4635,4529,4505,4559,4502,4433,4502,4420,4393,4376,4306,4203,4214,4178,4226,4064,3891,3976,3926,3667,3908,3794,3765,3675,3843,3671,3926,3946,3991,4056,3996,4073,4076,4005,3983,4045,3862,3914,3920,3902,3758,3611,3720,3650,3647,3683,3757,3588,3589,3579,3489,3496,3560,3496,3338,3505,3506,3543,3479,3551,3734,3703,3748,3636,3653,3672,3643,3514,3414,3347,3326,3373,3371,3315,3302,3259,3200,3114,3092,3093,3080,3044,3038,2997,2914,3082,3029,2920,2942,2974,2867,2901,2859,2843,2842,2779,2792,2736,2670,2691,2665,2584,2609,2663,2590,2528,2438,2298,2164,2085,2040,2026,2055,2047,2027,2022,2062,2039,2024,2093,2064,2074
"28","20","    Textile product mills","KP3140",2709,2785,2804,2785,2758,2776,2833,2830,2851,2875,2876,2933,2915,2890,2709,2831,2750,2770,2802,2741,2819,2814,2817,2871,2917,2893,2841,2943,2937,2925,2986,2980,2997,3056,3063,2970,3098,3097,3132,3096,3066,3040,2998,3025,2935,2896,2871,2758,2863,2931,2794,2708,2824,2893,2852,2887,2853,2759,2774,2784,2687,2919,2884,2915,2960,2906,2792,2789,2800,2767,2762,2798,2649,2675,2697,2721,2643,2633,2715,2688,2770,2811,2773,3144,3025,2924,2979,2902,2856,2836,2884,2891,2869,2903,2886,2895,2983,2974,2917,2903,2859,2863,2875,2924,3053,2934,2932,2835,2848,2857,2821,2751,2782,2713,2713,2605,2607,2551,2529,2569,2551,2520,2471,2484,2489,2482,2430,2432,2369,2375,2333,2291,2273,2233,2220,2227,2235,2220,2140,2057,1985,1910,1819,1774,1748,1710,1644,1647,1612,1570,1584,1580,1594,1578,1612,1656,1638
"29","21","    Apparel manufacturing","KP3150",5415,5713,5544,5667,5684,5623,5800,5697,5907,5820,5933,5666,5583,5638,5471,5531,5388,5525,5424,5455,5361,5197,5190,5319,5350,5374,5245,5289,5239,5170,5215,5071,5085,5036,5051,5044,5157,5006,5247,5055,5008,4895,4875,5076,4875,4925,4786,4874,4851,4985,4954,4739,4646,4491,4351,4634,4366,4205,3938,4041,3896,3933,3594,3565,3503,3525,3421,3407,3303,3165,3329,3297,3290,3285,3201,3205,3220,3368,3355,3275,3232,3163,3101,2965,2903,2794,2879,2795,2763,2684,2714,2645,2654,2655,2632,2658,2687,2639,2606,2562,2563,2790,2602,2545,2543,2576,2688,2645,2476,2474,2700,2621,2683,2634,2539,2437,2460,2490,2412,2455,2439,2460,2400,2479,2391,2329,2387,2510,2488,2451,2545,2505,2544,2488,2532,2539,2580,2628,2644,2579,2549,2421,2406,2372,2271,2256,2098,2088,2026,2052,2016,1943,1965,2046,2046,2075,2048
"30","22","    Leather and allied product manufacturing","KP3160",973,1011,1019,994,973,990,974,955,950,928,934,1001,994,981,951,939,913,920,870,891,885,824,880,990,859,848,848,839,870,847,886,863,886,888,869,963,842,784,850,888,866,860,884,854,818,850,835,955,873,854,894,821,846,790,687,678,683,697,664,694,577,571,515,521,506,501,478,476,495,480,508,492,495,497,487,493,491,480,503,498,471,489,499,488,468,459,468,482,487,508,504,508,499,498,513,431,564,524,509,536,581,529,498,517,495,468,501,487,485,506,518,494,489,499,504,488,494,519,461,484,507,527,528,510,507,503,506,504,525,506,477,482,471,460,462,484,462,437,446,447,464,429,410,408,400,395,391,392,389,406,393,379,388,382,384,375,372
"31","23","    Paper manufacturing","KP3220",14084,14585,14561,14594,14436,14525,14275,14545,14588,14644,14877,14833,14697,14659,14607,14725,14751,14678,14609,14773,14511,14554,14420,14977,14904,15410,14422,14523,14453,14502,14471,15205,15010,14742,15245,15196,15086,14982,14915,14939,14319,14373,14517,14064,14482,14062,14405,14414,13912,14360,13804,13446,13492,13035,13821,14046,13716,13934,13727,13237,13601,13283,13525,13669,13908,13642,14050,14071,14245,14123,13845,13931,13864,13923,13994,13647,13479,13574,13476,13186,13239,13328,13229,13178,13790,13422,13655,13560,13401,13848,13621,13614,13375,13217,13332,13316,13647,13727,13761,13620,13583,13755,13356,13241,13020,13412,13513,13542,13894,13635,13659,13634,13748,13530,13312,13373,13140,13118,13023,13871,12997,12968,12926,13011,13001,12949,13112,12974,13068,12883,12918,12779,12968,12631,12752,12735,12489,12569,12743,12591,12367,12035,11766,11281,11161,11224,11070,11038,11106,11230,11314,11295,11259,11331,11354,11550,11451
"32","24","    Printing and related support activities","KP3230",8948,9115,8894,8960,9063,9087,8998,8930,9202,9142,9090,9075,9094,9091,9143,9160,9024,9005,9141,9154,9187,9230,9367,8862,9256,9243,9195,9133,8971,9153,9166,9145,9170,9082,9239,9285,9182,9105,9100,9170,9424,9434,9350,9169,9126,8992,8983,9117,9086,9154,9096,8791,8923,8735,8720,8719,8456,8531,8392,8350,8348,8239,8317,8249,8185,8190,8219,8401,8307,8462,8325,8300,8168,8243,8162,8244,8087,7898,7784,7879,7879,7753,7924,7955,7835,7756,7917,7838,7857,8198,8090,7828,8011,7972,7943,8122,8170,8181,8160,8098,8042,8098,7981,8062,8210,8112,7928,7949,8063,8103,8042,8144,8301,8239,8161,8090,8022,7954,8099,8117,8177,8183,8209,8165,8151,8105,8157,8141,8024,8255,8247,7977,7869,7632,7838,7938,7713,7716,7769,7534,7461,7445,7177,7123,7181,7112,7090,7081,6932,6865,6931,6828,6794,6688,6723,6794,6773
"33","25","    Petroleum and coal product manufacturing","KP3240",33164,33642,32030,33959,35104,35334,36441,36662,36083,35620,35238,33215,33298,34404,34582,35083,35306,34904,34386,35129,36365,34596,33897,35266,33663,36195,35329,33455,34362,35957,35331,34791,35505,36462,37076,34832,35565,34610,33538,34959,35288,34792,34449,34829,34134,35173,35186,33586,34096,33569,33523,34362,34807,32053,34721,35162,33519,36753,37303,40107,41344,37895,38341,35468,37408,36686,36011,35581,35366,34059,34152,35535,33965,29599,30051,32179,36453,34892,34777,34987,34005,35548,35022,34470,33882,34176,36943,36945,37316,37083,37183,37331,36167,36537,35960,38476,38685,37103,41334,40415,41931,41579,42238,41521,38126,34641,38328,38863,40347,37605,40738,39400,40323,39031,42125,38489,36603,36517,36166,37187,35718,34845,37026,36193,36727,37341,37641,35278,35068,35242,34847,35321,33748,31900,33982,37579,37143,37403,36449,35533,28281,29975,30463,32482,33101,31878,33061,29845,29656,28782,28560,27162,28921,30840,30746,32164,30427
"34","26","    Chemical manufacturing","KP3250",42438,43642,43230,43226,43359,43432,43234,43480,43480,43834,44162,43497,43876,44290,43172,43039,43082,43086,42450,42447,42795,41824,42322,43127,41907,43217,42736,43116,42482,43254,43046,43198,43532,43634,43615,43772,43967,43879,44073,45290,44200,45135,44900,44700,44999,44124,44027,45529,44055,44883,43373,42758,43174,41282,42413,42887,41570,42296,43227,43727,43699,43985,43988,44644,45850,48247,44240,44652,47748,46316,45983,46801,46260,46619,46953,44410,44360,45138,47600,45789,47089,47448,46740,46915,46960,46469,48424,47555,48374,49016,49215,49284,48551,50133,50797,49808,50437,49908,50780,50704,50488,50453,51046,52305,51084,50646,52324,51294,52879,51387,52138,52622,53045,52639,53255,53628,51384,50815,50877,50864,50554,51017,50941,51397,51519,51073,51211,50536,50336,50902,50070,50612,50160,49299,48551,49058,48779,49446,48087,47032,44313,44790,41551,40621,40805,41876,40712,40659,41047,41317,40869,41092,41222,41098,41403,41463,41372
"35","27","    Plastics and rubber product manufacturing","KP3260",14610,14833,15086,14988,14864,15163,15225,15254,15461,15456,15902,15868,15587,15656,15531,15639,15643,15459,15650,15867,15882,15937,16031,16082,16166,16640,16268,16211,16342,16360,16246,16479,16478,16659,16922,16912,17023,16394,16841,17406,16974,17183,16730,16544,16645,16407,16150,16093,15771,15968,15669,15378,15389,15149,16557,16373,16038,16005,15910,16087,16020,16133,16249,16520,16754,16095,16338,16244,16031,16264,16161,16127,16291,16181,16472,15863,16049,16106,16464,16114,16393,16473,15873,16339,16240,15501,16757,16530,16217,16507,16428,16481,16444,16287,16383,16703,16677,16564,16767,16467,16552,16424,16362,16600,17169,16983,17099,16963,16949,16984,16779,16575,16993,17167,16724,16949,16804,16346,16350,16650,16542,16405,16589,16712,16756,16571,16790,16516,16537,16789,16714,16179,16238,16119,15899,15931,16023,16207,16025,15471,15391,14851,14291,14080,13142,13695,13400,13327,13339,13455,13696,13639,13599,13634,13915,13994,13995
"36","28","Merchant wholesale industries","KP42W0",202373,208115,206625,206633,208879,209965,211117,210108,213977,212930,213844,213379,217942,218762,221344,222494,223099,223297,224528,226118,228035,228604,229449,232616,231138,235728,237864,237013,242227,244022,244584,244670,245624,249247,250853,250872,252586,249667,251398,254382,254279,257046,256336,258377,258600,258773,256938,260150,259472,259176,256338,255247,256720,252416,256311,256994,255943,254954,256780,256751,258491,260197,257695,262972,264422,265780,265221,266997,265151,262456,267754,265009,267441,263842,265582,265022,264906,268056,270738,268898,269738,272622,273764,274540,272886,278059,285631,283893,283651,284740,284906,286991,286187,285990,289454,294302,296001,294881,291292,295859,295849,295986,297224,298892,300149,303671,304221,306535,307869,310410,310728,308643,310455,310575,312434,312660,312785,312638,312572,316894,315049,314617,315960,316952,317574,317451,314969,318173,319458,320849,322219,320257,326240,320599,322222,324142,323000,324485,318492,316252,309750,310070,302844,303898,293981,296583,292579,290462,288274,283912,290588,286093,289961,288878,295554,298210,297174
"37","29","  Durable goods merchant wholesale industries","KP42WD0",89120,92460,91101,92436,92855,93711,94921,94013,96754,96356,97093,96679,98936,99665,100964,101824,101561,102261,102860,103359,103388,104003,104181,105374,106752,109579,110231,110561,112803,113780,114847,115175,116046,118148,118723,120381,121209,119995,120483,121674,121847,122095,121810,123222,123204,123564,122699,121936,122635,122989,122231,120759,121314,118788,120088,120979,119043,117848,119255,118860,119946,121461,120187,122122,123106,123947,123676,125075,124075,122221,123459,121606,123066,121206,123802,123375,123344,125167,126356,125290,127119,128111,129907,130159,129450,132932,137727,138772,138884,139334,139932,139932,138477,139833,141995,145105,144433,144448,143573,145453,145629,145979,146839,148168,149020,152777,152490,155954,156511,157603,156603,154965,157489,156770,158014,158853,158686,159989,160860,163509,162388,160952,161808,161599,160032,159546,158823,161119,161610,162532,165831,162700,166946,162875,165492,167673,165643,165036,163204,160307,159345,154912,150155,147595,138509,141559,137049,135127,134583,135540,136826,137646,139057,139890,143516,146937,146557
"38","30","    Motor vehicles, parts, and supplies wholesalers","KP42110",13920,14162,14146,13844,14428,14491,14310,13500,14543,14593,14455,13363,14621,14494,15073,15144,15215,15080,15290,15498,15676,15388,15565,15701,15715,17281,16633,16969,17243,17490,17900,17556,17970,18420,18111,18339,18186,18172,17920,18381,17921,18222,18010,18338,18274,18435,18424,18402,18677,18733,19015,19076,19618,19373,19467,19678,18837,19883,19966,19551,20016,20383,20390,20756,20823,20952,21268,22483,21593,20865,21893,21521,21637,20462,21156,21377,21416,21713,21785,21623,21872,21687,22575,23113,21584,22870,23268,24032,23424,23734,23400,23346,23593,23641,22975,23451,23111,23872,23920,23568,23735,24101,24697,25528,24730,25567,25407,26117,26525,27173,26330,26200,27102,26764,27573,27530,26923,28407,28222,29954,28054,28107,28206,28551,26524,26241,26376,27246,28154,27640,27470,26733,27186,26377,27429,26574,26539,24911,24506,23789,23969,22658,20575,18963,17788,18429,18300,17023,17802,18505,18825,20084,19685,20613,20875,21252,21672
"39","31","    Furniture and home furnishings wholesalers","KP42120",3665,3848,3594,3676,3556,3553,3602,3556,3911,3869,3781,3875,3970,3802,3913,3872,3860,3961,3911,3966,3973,3903,4083,4032,4053,4141,4103,4145,4213,4203,4420,4353,4320,4475,4418,4516,4573,4664,4625,4731,4801,4791,4741,4789,4888,4848,4797,4767,4773,4778,4801,4698,4613,4640,4619,4676,4603,4696,4713,4639,4753,4694,4794,4800,4790,4999,4771,4758,4739,4667,4794,4545,4728,4814,4790,4706,4797,4840,4896,4892,4889,4841,4846,4885,4915,4918,5011,5037,5115,4951,5017,5201,5162,4976,4970,5034,4989,4984,4934,5054,5008,5147,5081,5149,5089,5235,5090,5258,5288,5331,5310,5294,5324,5325,5350,5336,5394,5337,5455,5449,5410,5306,5349,5249,5446,5248,5180,5009,5003,5086,4958,4907,5150,4906,4809,5018,4774,4703,4730,4698,4702,4209,4177,4098,3933,3979,3868,3842,3867,3811,3890,3897,3942,3811,3764,3973,4046
"40","32","    Lumber and other construction materials wholesalers","KP42130",6913,7283,7192,7338,7047,7248,7246,7309,7297,7198,7084,7326,7413,7374,7305,7421,7494,7664,7824,7862,7833,7966,7994,8027,7811,7978,8083,8142,8261,8337,8270,8122,8295,8422,8638,8413,8457,8241,8329,8171,8263,8251,8088,8121,8182,8131,8117,8305,8284,8332,8376,8453,8516,8268,8480,8525,8359,8575,8686,8923,8989,9354,9166,9320,8993,9004,8733,8854,8966,8962,8829,8801,9398,9034,9385,9278,9281,9707,10045,10007,10409,10566,10575,9976,10161,10282,11105,11158,11157,10881,10948,11097,10762,10639,10874,11325,11787,11641,11353,11401,11436,11361,11619,11708,11958,12278,12453,12620,13599,12680,12443,12076,11843,11830,11771,11763,11346,11288,11261,11615,11444,10980,11442,11168,11244,11167,10667,10635,10434,10375,10503,10116,10190,10202,10150,10495,10335,10258,10076,9422,9340,9212,8484,7793,7638,7925,7589,7535,7642,7547,7466,7502,7349,7278,7334,6888,6883
"41","33","    Professional and commercial equipment wholesalers","KP42140",7769,8253,8126,8378,8581,8832,8785,8930,9307,9415,9806,9917,10182,10571,10732,11072,11020,11383,11565,12002,11992,12346,12184,12632,13128,13475,13843,14008,14461,14732,14980,15261,15209,15832,15900,16040,15873,15830,16086,16133,16009,15758,15865,16396,16398,16641,16237,15692,16740,17027,17003,17319,17556,17234,17503,17417,17285,17018,17365,17741,18004,18206,18215,18162,18871,19572,19363,19830,20169,19934,20106,19671,19779,20051,20400,20546,20132,20194,20549,20155,20282,20541,21165,21319,21939,22224,22310,22258,22417,23129,23822,22883,22775,23280,23909,24466,24234,24368,24474,24807,25512,25315,25709,26328,27066,26830,26815,27792,27467,27876,29006,28333,28408,28507,28730,29148,29519,30259,30294,30563,31110,31169,31383,31572,31912,32625,32571,32942,32295,33532,34467,34104,34696,34750,35310,35538,35391,35852,35845,35786,35797,35462,34948,34253,33240,34006,34400,34826,34273,34519,34973,34550,35080,36098,37065,38362,38614
"42","34","      Computers and software wholesalers","KP42430",2327,2471,2454,2599,2695,2807,2832,2969,3120,3131,3369,3389,3503,3720,3880,4129,4139,4345,4383,4510,4463,4590,4629,4758,5162,5429,5627,5693,5992,5918,6328,6529,6455,6895,6807,6960,6937,6874,7130,7173,7064,6710,6890,7268,7125,7343,7301,6762,7514,7528,7528,7487,7728,7554,7592,7680,7906,7654,7754,7987,8031,8122,8081,8019,8553,9014,9099,9483,9471,9424,9144,9103,9108,9363,9447,9832,9330,9317,9639,9309,9393,9854,9998,10144,10650,10756,10892,11053,10916,11428,12001,11134,11087,11417,12102,12506,12709,12786,12720,13102,13678,13220,13623,14102,14518,14180,14089,14377,14450,14873,15120,15254,14979,15263,15549,15862,16113,16750,17052,17082,17409,17343,17827,17839,18520,19681,19411,19450,18942,20275,21379,20763,20939,21217,21652,21827,21866,22509,22059,22261,22930,22070,21875,21698,20500,21665,22290,22346,22176,23063,23450,23083,24057,25451,26756,27825,28148
"43","35","      Other professional and commercial equipment wholesalers","KP424X0",8176,8705,8484,8434,8496,8608,8397,8150,8393,8606,8529,8704,8843,8871,8632,8460,8322,8361,8605,9056,9179,9455,9030,9476,9222,9099,9209,9321,9322,9970,9348,9319,9411,9371,9695,9567,9364,9449,9280,9261,9315,9709,9480,9478,9790,9703,9182,9483,9507,9887,9852,10369,10255,10123,10416,10144,9586,9659,9947,10058,10321,10433,10505,10532,10603,10778,10394,10403,10836,10619,11227,10764,10889,10863,11159,10820,11005,11094,11083,11059,11096,10806,11329,11319,11383,11567,11498,11246,11586,11758,11844,11835,11773,11932,11833,11975,11522,11584,11768,11709,11832,12099,12088,12231,12554,12650,12720,13390,13003,13004,13845,13096,13401,13247,13205,13323,13450,13594,13379,13594,13823,13927,13734,13884,13661,13407,13569,13859,13678,13765,13767,13897,14267,14122,14289,14361,14217,14168,14458,14283,13866,14151,13872,13438,13380,13261,13187,13484,13160,12825,12946,12838,12674,12641,12624,12990,12995
"44","36","    Metal and mineral (except petroleum) wholesalers","KP42150",9952,10203,9816,10312,10121,10417,10308,10309,10489,10497,10522,10569,10262,10256,10564,10304,10274,10282,10351,10461,10562,10455,10496,10517,11078,10912,10949,10635,10629,10533,10545,10290,10369,10781,11003,11291,11728,11265,11373,11134,11067,11051,11010,11032,10997,10950,11286,11400,10708,10869,10513,10643,10860,10717,10559,10812,10627,10304,10290,10039,10066,10001,9899,10241,10181,10511,10311,10036,9919,9997,9496,9270,9282,9023,9291,9202,9386,9384,9627,9466,9602,9540,9770,10023,10045,10276,11331,11136,10709,11095,10900,11191,10998,10784,10908,11291,11198,11119,10950,11153,11233,11378,11118,11329,11219,11905,11674,12255,11569,11677,11646,11379,11400,11608,11315,11229,11439,11428,11871,11666,11992,11779,11379,11176,10970,10691,10584,10686,10220,10706,10769,10850,11183,10448,10321,9818,9685,9284,9191,9462,9532,10296,10691,10993,9543,9188,8581,8254,7527,7533,7331,7050,6839,6691,6921,7179,7145
"45","37","    Electrical goods wholesalers","KP42160",13871,14094,14191,14249,14514,14501,14869,14922,14841,14526,14628,14877,14794,14975,15177,15242,15406,15234,15372,15276,15309,15710,15456,15466,15579,16068,16245,16433,16677,16962,17315,17516,17764,18132,18658,19360,19759,19437,19492,19811,20110,20734,20587,20993,20963,20574,20445,20791,20446,19777,19642,18777,18305,17254,17849,17696,17658,17712,18464,17696,17841,17996,17723,18109,18444,17865,18014,17866,17861,17610,17932,17879,17796,18035,18338,18063,17839,18482,18636,18358,18876,19439,19399,19142,19368,20169,20260,21022,22024,21370,21280,21514,21060,21010,21289,21649,22021,21226,21754,22473,22131,22079,22088,22212,22111,22832,22511,22660,23059,23524,23293,23028,23929,23672,24184,24818,24953,24736,25602,26048,25833,25698,25513,25154,24929,25160,25095,25437,26098,26258,27660,26506,27038,25796,26557,27534,27624,27626,27759,26906,26472,25833,24585,25043,24210,24800,23380,24451,24020,23521,24031,24430,24421,25726,27087,26447,26537
"46","38","    Hardware and plumbing and heating equipment wholesalers","KP42170",5776,5813,5832,6044,5855,5870,6042,5938,6015,6081,6044,6067,6221,6180,6040,6081,6197,6259,6296,6186,6167,6128,6314,6361,6384,6355,6435,6408,6454,6420,6471,6498,6411,6412,6448,6490,6583,6605,6693,6691,6800,6779,6660,6642,6693,6735,6579,6667,6511,6529,6406,6049,6358,6060,6209,6261,6237,6389,6451,6457,6485,6653,6544,6572,6399,6337,6352,6514,6312,6263,6251,6162,6397,6231,6419,6319,6418,6378,6430,6408,6504,6492,6539,6457,6496,6425,6877,6819,6788,6810,6754,6723,6732,6739,6807,6869,6932,6869,6813,6748,6752,6795,6791,6808,6843,7252,7374,7377,7156,7416,7420,7501,7744,7360,7279,7269,7063,7051,6926,7167,6881,6950,6745,7040,6790,6859,6731,6751,6683,6760,6745,6610,6708,6346,6586,6527,6435,6360,6379,5787,5760,5654,5476,5517,5402,5423,5296,5153,5217,5174,5296,5113,5136,5114,5138,5167,5371
"47","39","    Machinery, equipment, and supplies wholesalers","KP42180",19960,21191,20577,20820,20958,21183,21771,21225,21638,21901,21736,21925,22947,23095,22888,23285,23255,23160,22666,22778,22951,22414,22704,22847,22589,22624,23172,22777,23205,23334,23308,23397,23149,23216,23235,23231,23811,23439,23310,23773,23527,24031,24045,23959,23814,23997,24093,23171,23433,24007,23744,23089,22993,22495,22567,22991,22832,21058,21563,21235,20713,20736,20547,21180,21384,21179,20919,20393,20774,20519,20163,20224,20576,19936,20278,20399,20777,20948,21069,21231,21096,20873,20611,21102,20797,21517,22940,22433,22254,22355,22773,22874,22157,23218,23345,24418,23525,23553,22948,24119,23974,24148,24216,23788,24054,24752,24817,25249,25091,25469,25165,25458,25249,25294,25258,25656,25395,24940,25288,25142,25555,24759,25486,25023,25309,25244,25532,25698,26400,26243,26427,26612,26770,26946,26878,27430,27312,28024,26756,27161,26564,27174,26145,25372,22384,22944,22729,22139,21486,21435,21453,21525,21843,20635,21066,22522,21520
"48","40","    Miscellaneous durable goods wholesalers","KP42190",13892,14248,14024,14226,13864,13567,14211,14193,14598,14006,14371,13935,13688,13711,14057,13892,13290,13471,13688,13070,12664,13121,13041,13212,13728,13852,13713,13738,14249,14174,13878,14208,14672,14383,14265,14685,14508,14434,14691,14845,15428,14603,14864,14750,14796,14992,14695,14914,14580,14486,14101,13902,13747,14077,14019,14293,13904,13274,12632,13430,13872,14214,13565,13794,13790,14095,14470,14677,13948,13683,14064,13596,13609,13601,13758,13431,13395,13611,13421,13284,13748,14233,14480,14209,14154,14252,14860,15033,15065,15054,15042,15192,15307,15607,16935,16640,16669,16844,16441,16141,15849,15655,15505,15303,15945,16112,16326,16610,16727,16478,16095,15801,16571,16474,16686,16309,16800,16839,16207,16279,16404,16535,16714,17088,17306,16913,16721,17338,17015,16754,17661,17049,18555,17905,18371,19621,18698,19206,19234,18474,18372,15484,15859,16148,15501,16098,14398,13650,14462,15210,15339,15241,16440,16086,16525,17323,17136
"49","41","  Nondurable goods merchant wholesale industries","KP42WN0",115910,118072,118215,116355,118455,118549,118217,118302,119057,118369,118426,118450,120716,120666,121912,122067,123159,122400,123020,124211,126462,126268,127018,129110,125424,126926,128551,127098,130154,130930,130155,129823,129781,131181,132280,130182,131101,129371,130709,132565,132245,135021,134588,135123,135399,135174,134204,138614,137030,136289,134102,134655,135598,133906,136602,136291,137435,137782,138102,138547,139154,139210,137998,141445,141857,142339,142047,142340,141511,140755,144978,144144,145055,143313,142312,142180,142083,143369,144873,144116,142985,144913,144151,144684,143733,145361,148064,145155,144788,145433,144961,147116,147836,146188,147461,149155,151600,150435,147693,150392,150202,149984,150361,150698,151101,150936,151741,150656,151430,152869,154153,153680,153025,153828,154454,153882,154168,152780,151891,153597,152874,153809,154315,155466,157496,157823,156109,157078,157856,158350,156810,157621,159577,157783,157137,157116,157721,159526,155615,155898,150849,154670,152029,155288,154009,153730,154012,153678,152100,147204,152314,147398,149779,148065,151160,150762,150132
"50","42","    Paper and paper products wholesalers","KP42210",6398,6742,6610,6830,6406,6390,6471,6547,6519,6462,6506,6255,6306,6361,6556,6570,6569,6593,6557,6600,6771,6777,6822,7005,6997,7077,6750,7011,7097,7171,7112,7080,7067,7134,7058,6751,7010,6946,6914,6734,6670,6574,6683,6720,6736,6735,6723,6802,6783,6808,6726,6772,6820,6755,6694,6773,6582,6563,6678,6590,6542,6596,6553,6647,6660,6791,6809,6680,6648,6564,6659,6635,6674,6619,6749,6589,6523,6631,6666,6480,6758,6825,6741,6890,6804,7049,7199,7183,7178,7131,7046,6964,7083,7064,7206,7161,7238,7226,6975,7095,7120,7072,7189,7487,7669,7516,7448,7582,7475,7346,7377,7271,7265,7110,7007,6940,6815,6902,6921,6881,6956,7036,7023,7024,6996,7025,6976,6976,6998,6966,7020,7036,6950,6914,6844,7185,7016,6826,7031,6873,6512,6521,6308,6170,6044,6133,6142,6238,6302,6294,6319,6498,6522,6550,6528,6529,6598
"51","43","    Drugs and druggists' sundries wholesalers","KP42220",10333,10503,10791,10835,10985,11129,11350,11400,11385,11345,11464,11514,12147,12319,12138,11671,11758,11689,12035,12062,12302,12511,12628,13041,13305,13472,13671,14167,14298,14331,14433,14643,14498,14536,15023,15472,14956,15193,15788,15871,16191,16510,16629,16801,16727,17160,17299,17603,18358,18080,17866,18103,18584,19011,19277,19655,20515,21301,20876,21195,21704,21866,22171,22278,22117,22703,21960,22080,22538,22378,23297,22999,23095,23381,23625,23948,24308,24378,24956,25117,24570,25001,24849,24984,24517,24555,25269,25125,25384,25237,25915,25770,26197,26442,26659,25906,28184,27116,26490,27515,27219,27714,27129,26743,28251,27791,27994,27804,27712,28283,28198,28285,28475,28435,28106,28188,27946,27885,27924,28166,28104,27901,28004,27971,28099,27808,28104,28238,27443,28505,28601,28677,28743,28863,28898,28858,28852,28965,29232,29338,29187,29529,28154,28118,28963,29128,28800,28885,29155,27752,28569,28507,29644,29193,28782,27708,27809
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",6828,6980,6787,7001,6923,6785,7201,7031,7030,6859,6997,7072,7314,7334,7336,7137,7023,7004,7084,7146,6757,7370,7057,7105,7243,7145,7703,7479,7549,7455,7453,7457,7529,7474,7607,7584,7605,7780,7921,7994,8020,8214,7993,7954,7992,8092,8028,8311,8170,8120,7792,8001,8423,8152,8017,8158,8214,8434,8627,8385,8296,8696,8858,8919,9015,8944,9194,9270,8938,8738,9223,8499,8947,8606,8653,8539,8568,8561,8680,8724,8923,8767,8952,9087,8762,9217,9312,8973,9116,8934,8735,9021,9092,8888,8877,9466,9135,9219,9310,9592,9688,9490,9584,9092,9001,9650,9387,9843,9943,9485,9557,9626,9401,9845,9751,9666,9738,10180,10007,9866,9725,10145,9766,9716,9728,10047,9774,9989,9819,9630,10228,10048,10180,9660,9862,10232,10826,9791,10432,10320,10233,9887,9573,9418,9564,9920,9979,9872,9729,9444,9541,9606,9558,9956,9869,10112,9984
"53","45","    Grocery and related products wholesalers","KP42240",31243,31384,31947,31308,31620,31929,31644,31426,31104,30637,31394,31195,31761,32359,32049,32169,32457,32723,32761,32743,32789,32775,32701,32643,32070,32668,33017,32923,33737,33094,33376,33861,34263,34423,34894,34750,34885,34860,34791,35062,34965,35572,35501,35555,35070,34906,35142,36536,34986,34798,34683,35143,34451,34460,34758,34365,34079,34129,34503,34450,34438,34680,33682,35135,35061,35459,35649,36016,36222,36159,36345,36377,36067,36748,36740,36581,36632,36973,37271,36521,36062,35646,35400,34622,35364,35419,36063,34941,34256,34618,34981,35511,35085,34577,34828,35418,35212,35279,34716,35110,35633,35936,36394,36408,36091,36183,36430,35749,36045,36567,36563,36166,36364,36624,36683,37125,36680,36743,36790,37278,37576,37804,38043,37882,38364,38710,38459,38585,38753,38489,38664,38632,38626,38728,38044,38488,38515,37569,37616,37654,37105,37066,36830,36903,37236,37304,37112,36220,36728,35880,36070,35779,36082,35429,35161,35059,35879
