"","Table 5#4#4AU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"24","17","  Other structures","W004RG3",15.53,15.517,15.463,15.644,15.905,16.204,16.703,17.298,17.821,18.707,20.064,21.337,23.089,24.852,26.788,30.389,33.657,34.89,37.46,40.296,44.545,49.655,54.408,58.016,59.974,61.797,63.44,65.251,67.534,69.953,72.219,74.542,75.779,76.293,78.695,81.456,84.651,86.88,89.559
"25","18","    Religious","C309RG3",15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"26","19","    Educational","C310RG3",15.067,15.048,15,15.182,15.464,15.783,16.304,16.915,17.443,18.311,19.688,20.926,22.706,24.565,26.539,29.482,32.371,33.513,35.785,39.184,43.494,48.429,52.815,56.152,57.891,60.127,62.071,64.228,66.598,69.056,71.501,73.757,74.821,75.271,77.796,80.752,83.983,85.878,88.637
"27","20","    Other buildings\3\","B312RG3",15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"28","21","    Railroads","B573RG3",17.645,17.8,17.558,17.511,17.467,17.565,17.799,18.078,18.383,19.347,20.406,21.373,22.937,24.166,25.759,31.728,36.366,38.263,42.286,43.61,48.045,52.95,57.703,61.512,66.663,69.076,69.929,68.605,69.155,72.66,74.292,75.844,77.174,77.867,83.546,86.114,88.297,92.121,93.964
"29","22","    Farm","B316RG3",15.061,15.043,14.995,15.176,15.458,15.778,16.298,16.909,17.437,18.304,19.68,20.919,22.698,24.556,26.529,29.471,32.359,33.501,35.772,39.17,43.478,48.412,52.796,56.131,57.869,60.105,62.048,64.204,66.573,69.03,71.475,73.73,74.794,75.243,77.768,80.722,83.952,85.846,88.604
"30","23","    Other\4\","B317RG3",16.614,16.235,16.353,16.762,17.152,17.374,17.789,18.432,19.19,20.122,21.452,23.306,24.957,26.541,28.474,34.216,38.627,39.646,42.035,43.438,47.109,53.694,60.935,65.899,65.953,65.083,65.872,67.916,70.396,71.835,73.449,76.245,78.084,78.723,79.795,82.115,85.819,88.847,91.874
"31","24","    Brokers' commissions on sale of structures","B321RG3",15.362,15.352,15.312,15.464,15.752,16.044,16.473,17.181,17.673,18.443,20.189,21.491,23.341,25.15,27.236,30.302,33.166,34.443,37.144,40.487,45.052,49.843,54.114,58.093,60.878,63.838,67.029,70.532,74.333,78.626,81.647,84.676,85.914,86.405,87.811,90.2,92.745,94.36,96.147
"32","25","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","26","Residential","B012RG3",16.177,16.293,16.325,16.358,16.232,16.367,16.848,17.478,18.099,19.072,20.413,21.079,22.324,23.711,25.857,28.555,31.204,33.221,36.629,41.176,45.847,50.862,55.026,57.958,59.284,61.022,62.649,65.337,68.053,70.447,72.758,74.498,75.511,76.457,79.614,82.444,85.507,87.37,89.642
"34","27","  Permanent site","B943RG3",15.793,15.899,15.903,15.98,15.83,15.945,16.502,17.202,17.823,18.816,19.999,20.47,21.709,23.248,25.465,27.979,30.569,32.512,35.848,40.619,45.269,50.259,54.333,57.232,58.351,59.94,61.397,64.153,66.816,69.172,71.343,72.864,73.395,74.196,77.661,81.07,84.339,85.968,88.614
"35","28","    Single-family structures","B944RG3",16.043,16.157,16.16,16.242,16.089,16.199,16.757,17.475,18.099,19.109,20.308,20.817,22.062,23.626,25.867,28.455,31.1,33.05,36.49,41.32,46.3,51.576,55.664,57.894,58.339,59.9,61.089,63.616,66.291,68.744,71.271,73.203,73.574,74.318,77.96,81.601,85.019,86.58,89.091
"36","29","    Multifamily structures","B292RG3",15.808,15.879,15.885,15.951,15.801,15.935,16.513,17.191,17.832,18.82,20.012,20.424,21.69,23.226,25.461,27.911,30.462,32.537,35.576,40.455,43.919,48.17,52.34,57.143,60.29,62.021,64.384,68.004,70.684,72.57,72.773,71.993,73.513,74.774,76.414,77.195,79.121,81.302,84.966
"37","30","  Other structures","A863RG3",16.934,17.073,17.17,17.097,17.035,17.218,17.489,17.94,18.555,19.471,21.187,22.306,23.55,24.484,26.368,29.481,32.23,34.369,37.896,41.929,46.601,51.631,55.918,58.892,60.54,62.547,64.479,67.026,69.82,72.267,74.799,76.892,78.643,79.803,82.499,84.456,87.214,89.413,91.151
"38","31","    Manufactured homes","B945RG3",42.351,40.755,39.62,34.563,30.519,29.918,29.559,28.035,27.482,27.646,29.592,30.744,30.729,30.135,31.598,34.707,38.712,40.968,44.297,47.974,52.436,57.004,59.597,61.532,62.107,62.066,62.582,63.217,64.19,67.234,70.207,72.544,74.421,75.514,78.904,84.808,90.254,92.854,94.379
"39","32","    Dormitories","B295RG3",15.869,15.988,15.993,16.076,15.925,16.051,16.577,17.31,17.887,18.887,20.088,20.596,21.735,23.321,25.59,28.291,30.751,32.426,36.583,41.304,46.458,51.635,55.698,57.94,58.313,59.86,61.056,63.582,66.326,68.741,71.237,73.223,73.691,74.304,77.98,81.546,85.019,86.58,89.091
"40","33","    Improvements","B946RG3",15.604,15.803,15.951,16.027,16.171,16.441,16.75,17.359,18.14,19.201,20.904,22.191,23.793,25.093,27.168,30.632,33.423,35.587,39.024,42.946,47.539,52.978,57.92,61.132,62.812,64.952,66.501,68.315,70.316,72.602,74.951,77.357,79.436,80.631,82.933,83.646,86.265,88.523,90.839
"41","34","    Brokers' commissions on sale of structures","B758RG3",14.389,14.48,14.481,14.542,14.437,14.471,14.71,15.193,15.588,16.347,17.958,18.486,19.536,20.77,22.732,25.136,27.319,29.359,33.05,37.345,42.138,46.351,49.492,52.217,54.2,56.681,59.904,64.61,69.713,72.42,75.309,76.573,77.478,78.56,82.081,86.146,88.402,90.299,90.819
"42","35","    Net purchases of used structures","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","36","  Private fixed investment in new structures\5\","W040RG3",16.118,16.176,16.151,16.227,16.217,16.397,16.883,17.507,18.096,19.036,20.314,21.308,22.75,24.265,26.323,29.483,32.629,34.466,37.707,41.918,46.695,51.436,57.341,61.333,60.905,61.972,63.43,65.257,67.033,69.601,72.057,74.104,75.288,75.752,78.492,81.223,84.524,86.517,89.391
"45","37","    Nonresidential structures","A771RG3",15.918,15.898,15.803,15.933,16.078,16.31,16.783,17.388,17.934,18.826,20.061,21.377,23.025,24.687,26.601,30.277,33.895,35.556,38.634,42.365,47.294,51.719,58.86,63.543,61.91,62.435,63.901,65.121,66.141,68.948,71.636,73.938,75.277,75.252,77.53,80.318,83.814,85.982,89.327
"46","38","    Residential structures","A756RG3",16.377,16.495,16.529,16.561,16.433,16.575,17.074,17.72,18.357,19.35,20.677,21.353,22.617,24.024,26.195,28.921,31.62,33.632,37.003,41.576,46.226,51.332,55.608,58.555,59.802,61.46,62.909,65.36,67.804,70.162,72.407,74.202,75.223,76.15,79.264,81.954,85.112,86.968,89.467
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Also includes medical buildings; in table 5.4.4B, these buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Consists of stores, restaurants, garages, service stations, warehouses, beauty and trade schools, mobile structures, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","buildings used for commercial purposes.  Also includes financial buidings of two stories or less.  In table 5.4.4B, financial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","buildings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","of two stories or less are included in office; bus or truck garages are included in transportation; and beauty and trade schools ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","included in educational and vocational structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Consists of hotels and motels, buildings used primarily for social and recreational activities, and buildings not elsewhere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","classified, such as passenger terminals, greenhouses, and animal hospitals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","4. Consists primarily of streets, dams and reservoirs, sewer and water facilities, parks, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
