"","Reconciliation of Percent Change in the CPI with Percent Change ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"12","4","    Personal computers and peripheral equipment","W904RV2",-0.06,-0.03,-0.04,-0.07,-0.04,-0.06,-0.08,-0.03,-0.01,-0.01,-0.03,-0.05,-0.03,-0.03,-0.05,-0.05,-0.02,-0.03,-0.02,-0.02,-0.02,-0.02,-0.03,-0.04,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.04,-0.01,-0.01,-0.01,0,-0.01,-0.03,-0.02,-0.03,-0.03
"13","5","    Video and audio equipment","W905RV2",-0.01,-0.02,-0.04,-0.02,-0.04,-0.04,-0.04,-0.02,-0.02,-0.03,-0.02,-0.02,-0.04,-0.02,-0.04,-0.05,-0.03,-0.04,-0.07,-0.1,-0.07,-0.07,-0.09,-0.04,-0.04,-0.05,-0.05,-0.07,-0.07,-0.07,-0.09,-0.11,-0.05,-0.04,-0.04,-0.04,-0.03,-0.05,-0.06,-0.06
"14","6","    Tobacco","W906RV2",0,-0.02,-0.02,0.01,0,0.01,-0.01,0,0,0,-0.01,0,-0.01,0,-0.01,-0.01,0,0,0,0,-0.03,0,-0.01,-0.01,-0.01,-0.01,-0.01,0,-0.02,-0.09,-0.02,-0.01,0,0,-0.01,0,0,0,-0.01,-0.01
"15","7","    Health care","W907RV2",0,0.01,0.02,0.03,0,0.03,0.01,0.01,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,0.22,-0.25,-0.16,0.19,0.04,0.02,0.02,0.03,0.02,0.02,0.01,0,0.01,0.01,0.01,0.01
"16","8","    Electricity, gas, fuel oil, and other household fuels","W908RV2",0.02,-0.01,0,-0.01,-0.06,0.02,0.01,0.01,-0.01,-0.01,-0.02,-0.03,-0.01,-0.03,-0.09,-0.13,0.02,0.05,0,0.01,-0.02,-0.03,0,-0.09,-0.03,-0.1,-0.03,0.09,0.01,0,0,-0.01,0.01,0,0,0,-0.01,0,0.01,0
"17","9","    Housing","W909RV2",-0.01,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,0.01,0,0,0,-0.01,-0.01,-0.01,0,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0
"18","10","    Food and beverages purchased for off-premises consumption","W910RV2",0,0,0.01,-0.01,-0.01,-0.01,-0.02,-0.06,0,-0.01,0,-0.01,0,-0.01,0.01,-0.01,-0.01,0,-0.01,0,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,0.01,-0.01,0,0,-0.01,0.01,0.01,0,0,0,0,0,-0.01
"19","11","    Other","W911RV2",0,-0.05,-0.07,-0.04,-0.02,-0.08,-0.01,0,0,-0.01,-0.05,-0.05,-0.05,-0.1,-0.06,-0.03,-0.05,-0.06,-0.02,-0.08,-0.05,-0.12,-0.12,-0.03,-0.19,0.16,0.04,0,-0.06,-0.06,-0.08,-0.13,-0.02,-0.05,-0.03,-0.03,-0.08,-0.12,-0.08,-0.1
"20","12","Equals: PCE fixed-weight price index (percent change)","W912RV2",0.96,3.35,2.21,2.06,3.2,0.38,2.82,2,3.44,3.09,2.65,3.5,2.57,2.75,5.03,3.81,1.76,3.14,3.1,-0.08,4.24,3.9,2.52,4.61,4.02,4.9,4.76,-6.28,-1.65,2.15,3.37,3.09,1.9,0.4,1.06,2.07,4.14,3.52,2.51,1.34
"21","13","  Less: Weight effect (percentage points)","W913RV2",-0.27,-0.63,-0.49,-0.51,-1.01,0.06,-0.55,-0.26,-0.48,-0.77,-0.65,-1.1,-0.5,-0.47,-1.2,-1.42,-0.6,-0.61,-0.85,0.07,-0.94,-1.12,-0.6,-0.78,-0.69,-0.94,-1.29,2.47,0.98,0.06,-0.74,-0.59,-0.5,0.36,-0.28,-0.7,-1.33,-0.89,-0.72,-0.17
"22","14","    Rent of shelter","W914RV2",-0.55,-0.46,-0.41,-0.4,-0.37,-0.19,-0.27,-0.34,-0.31,-0.43,-0.36,-0.27,-0.39,-0.34,-0.34,-0.37,-0.48,-0.71,-0.69,-0.59,-0.53,-0.39,-0.4,-0.5,-0.43,-0.34,-0.37,-0.34,-0.32,-0.25,-0.05,0.07,0.09,0.02,-0.09,-0.16,-0.23,-0.18,-0.38,-0.38
"23","15","      Imputed rental of owner-occupied nonfarm housing","W915RV2",-0.42,-0.37,-0.32,-0.31,-0.27,-0.11,-0.2,-0.28,-0.24,-0.33,-0.27,-0.21,-0.3,-0.25,-0.25,-0.28,-0.4,-0.59,-0.56,-0.46,-0.39,-0.28,-0.31,-0.38,-0.33,-0.25,-0.26,-0.25,-0.25,-0.2,-0.04,0.05,0.08,0.03,-0.07,-0.12,-0.17,-0.15,-0.3,-0.29
"24","16","      Rental of tenant-occupied nonfarm housing","W916RV2",-0.12,-0.09,-0.08,-0.09,-0.1,-0.08,-0.08,-0.06,-0.07,-0.09,-0.09,-0.07,-0.09,-0.09,-0.09,-0.09,-0.08,-0.12,-0.13,-0.12,-0.13,-0.11,-0.09,-0.12,-0.1,-0.09,-0.11,-0.09,-0.07,-0.04,-0.01,0.01,0,-0.01,-0.02,-0.04,-0.06,-0.04,-0.08,-0.09
"25","17","    Hotels and motels","W917RV2",-0.1,0.02,0.02,-0.01,0.06,-0.01,-0.12,-0.11,0.01,-0.3,-0.06,-0.11,-0.11,-0.03,0.17,-0.24,-0.12,-0.11,0.01,-0.11,-0.09,-0.21,-0.13,0.05,-0.05,0.11,-0.03,0.14,0.22,0.14,0.08,-0.03,0,0,0,0,0,0,0,0
"26","18","    Gasoline and other motor fuel","W918RV2",0.11,-0.34,-0.08,-0.15,-0.49,0.49,-0.29,-0.04,-0.28,-0.08,-0.11,-0.39,0.04,-0.01,-0.89,-0.04,0.07,-0.2,-0.19,0.5,-0.2,-0.39,-0.04,-0.34,-0.38,-0.4,-0.58,2.18,0.75,-0.28,-0.73,-0.25,-0.26,0.38,-0.15,-0.54,-0.85,-0.31,-0.09,0.08
"27","19","    Electricity, gas, fuel oil, and other household fuels","W919RV2",0.05,0.02,0.02,-0.07,-0.19,-0.24,-0.03,0.05,-0.07,-0.05,-0.15,-0.09,-0.06,-0.16,-0.28,-0.77,-0.08,0.25,-0.03,0.02,-0.19,-0.1,0.06,-0.05,-0.1,-0.42,-0.32,0.22,0.13,0.32,0.12,-0.11,-0.07,0.02,0.02,0.02,-0.03,-0.07,-0.02,0.01
"28","20","    Other","W920RV2",0.21,0.14,-0.05,0.13,-0.03,0.01,0.16,0.19,0.17,0.09,0.02,-0.24,0.02,0.06,0.14,-0.01,0.01,0.14,0.05,0.24,0.06,-0.03,-0.08,0.07,0.27,0.11,0,0.27,0.2,0.11,-0.15,-0.26,-0.25,-0.06,-0.07,-0.01,-0.22,-0.33,-0.23,0.11
"29","21","  Less: Scope effect - PCE price index items out-of-scope of the CPI (percentage points)","W921RV2",0.39,0.98,0.81,0.43,0.27,1.01,0.67,0.92,1.08,1.04,0.93,0.51,1.08,0.92,0.71,0.9,0.29,0.75,0.7,0.85,1.48,0.69,0.96,0.86,0.44,0.83,0.15,-0.07,-0.2,0.44,0.75,1.28,0.82,0.77,0.11,0.46,0.5,0.42,0.26,0.18
"30","22","    Physician services","W922RV2",-0.12,0.02,0.05,0.04,-0.05,0.18,0.1,0.06,0.08,0.04,0.04,0.05,0.09,0.07,0.06,0.06,-0.07,0.07,0.1,0.04,0.44,0.02,0.08,0.01,0.03,0.03,0.07,0.08,0.11,0.1,0.09,0.09,0.08,0.1,0.12,0.06,-0.01,0.07,0.05,0.08
"31","23","    Hospital and nursing home services","W923RV2",0.21,0.27,0.46,0.38,0.43,0.43,0.32,0.38,0.46,0.35,0.26,0.27,0.32,0.27,0.29,0.44,0.27,0.34,0.36,0.23,0.3,0.26,0.25,0.47,0.16,0.21,0.19,0.16,0.29,0.26,0.27,0.35,0.21,0.21,0.12,0.08,0.17,0.22,0.2,0.07
"32","24","    Financial services furnished without payment","W924RV2",0.2,0.37,0.15,0.14,0.04,0.13,-0.01,-0.09,0.11,0.06,0.17,0.05,0.17,0.06,-0.15,-0.06,0.07,0.14,-0.03,0.17,-0.01,0.21,0.22,0.09,0.09,0.3,-0.09,0.13,-0.17,0.14,0.15,0.56,0.39,0.38,-0.31,-0.02,0.1,-0.08,-0.02,-0.06
"33","25","    Foreign travel by U.S. residents","W925RV2",-0.04,0.1,0.17,-0.03,0.08,0.13,0.02,0.1,0.07,0.09,0.1,0.09,0.06,0.16,0.05,-0.07,0.07,0.08,0.04,0.07,0.07,0.12,0.1,0.08,0.13,0.23,0.08,-0.21,-0.25,-0.14,0.04,0.17,0.09,0.07,-0.01,0.08,0.1,0.06,0.04,-0.03
"34","26","    Final consumption expenditures of nonprofit institutions serving households","W900RV2",0.08,0.09,-0.1,-0.09,-0.01,-0.14,0.01,-0.04,-0.12,0.1,0.07,-0.06,0.17,0.04,0.23,0.13,-0.03,0.03,-0.02,0.01,0.13,-0.01,0.07,-0.09,0.05,0.06,0.03,-0.15,-0.21,-0.06,0,-0.1,-0.06,-0.06,0.06,0.15,0.05,0.06,0.02,-0.01
"35","27","    Other","W926RV2",0.06,0.13,0.09,-0.01,-0.22,0.28,0.22,0.52,0.49,0.4,0.29,0.1,0.27,0.31,0.22,0.4,-0.02,0.1,0.25,0.34,0.54,0.1,0.24,0.3,-0.01,-0.01,-0.13,-0.08,0.03,0.14,0.21,0.21,0.12,0.07,0.12,0.11,0.09,0.09,-0.02,0.12
"36","28","  Plus: Scope effect - CPI items out-of-scope of the PCE price index (percentage points)","W927RV2",0.22,0.21,0.26,0.26,0.16,0.12,0.24,0.31,0.35,0.23,0.23,0.23,0.25,0.21,0.18,0.21,0.1,0.22,0.2,0.18,0.31,0.25,0.28,0.25,0.19,0.16,0.19,0.16,0.19,0.16,0.2,0.22,0.23,0.13,0.1,0.15,0.14,0.17,0.16,0.25
"37","29","    Physician services","W928RV2",0.03,0.01,0.08,0.06,0.02,0.03,0.03,0.05,0.09,0.08,0.05,0.05,0.05,0.06,0.04,0.03,-0.02,0.03,0.03,0.05,0.12,0.04,0.05,0.05,0.02,0.03,0.05,0.05,0.03,0.04,0.04,0.03,0.07,0.03,0.06,0.03,0.05,0.03,0.03,0.05
"38","30","    Hospital and nursing home services","W929RV2",0.13,0.14,0.11,0.14,0.09,0.06,0.13,0.09,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.1,0.11,0.13,0.1,0.07,0.08,0.12,0.14,0.16,0.09,0.07,0.08,0.07,0.1,0.11,0.11,0.1,0.14,0.11,0.07,0.12,0.07,0.1,0.09,0.09
"39","31","    Other","W930RV2",0.07,0.05,0.07,0.06,0.05,0.03,0.07,0.17,0.18,0.07,0.1,0.11,0.1,0.08,0.08,0.08,0,0.06,0.07,0.06,0.11,0.09,0.09,0.03,0.08,0.05,0.05,0.04,0.06,0.01,0.05,0.09,0.03,-0.02,-0.03,-0.01,0.03,0.04,0.04,0.11
"40","32","  Less: Other effects (percentage points)","W931RV2",-0.27,-0.03,0,0.02,-0.06,0.07,-0.02,0.07,-0.28,-0.09,0.04,-0.13,0.27,-0.29,-0.46,0.76,0.07,-0.51,-0.31,0.81,0.06,-0.02,-0.11,-0.23,0.09,-0.19,-0.29,0.46,0.29,-0.13,-0.03,-0.41,0.96,-0.27,-0.1,-0.5,0.57,-0.28,0.04,0.28
"41","33","    Seasonal adjustment","W932RV2",-0.1,-0.07,0.02,-0.04,-0.07,0.08,-0.05,0.01,-0.26,-0.03,-0.06,-0.15,0.2,-0.17,-0.43,0.61,-0.01,-0.44,-0.24,0.74,0.08,-0.01,-0.12,-0.26,0.13,-0.08,-0.08,0.32,0.3,-0.04,0.01,-0.46,0.98,-0.11,0.02,-0.45,0.53,-0.37,0.03,0.12
"42","34","    Price effects","W933RV2",-0.17,0.04,-0.03,0.06,0.01,-0.02,0.03,0.06,-0.02,-0.05,0.1,0.02,0.08,-0.11,-0.04,0.15,0.08,-0.08,-0.07,0.07,-0.02,-0.01,0,0.03,-0.04,-0.1,-0.21,0.15,-0.01,-0.09,-0.04,0.05,-0.01,-0.16,-0.12,-0.05,0.04,0.09,0,0.17
"43","35","      Gasoline and other motor fuel","W934RV2",0,-0.02,-0.01,0.03,0,-0.02,-0.01,0.04,0,-0.03,-0.01,0.04,0,-0.03,-0.02,0.05,0,-0.04,-0.02,0.05,0,-0.04,-0.01,0.08,0,-0.05,-0.02,0.05,0,-0.03,-0.02,0.09,0,-0.04,-0.01,0.05,0,-0.05,-0.02,0.06
"44","36","      Air transportation","W935RV2",-0.17,0.07,-0.02,0.03,0.01,0.01,0.04,0.03,-0.02,-0.02,0.11,-0.02,0.08,-0.08,-0.02,0.1,0.08,-0.04,-0.06,0.02,-0.02,0.03,0.02,-0.05,-0.01,-0.03,-0.12,0.15,-0.01,-0.04,-0.02,-0.1,0.11,-0.03,-0.05,-0.09,0.01,0.04,0,0.06
"45","37","      Other","W901RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.02,-0.07,-0.05,0,-0.02,-0.01,0.05,-0.12,-0.09,-0.05,-0.01,0.03,0.1,0.02,0.04
"46","38","    Other differences","W936RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","39","Equals: CPI (percent change)","SRSA0V1",1.3,3.2,2.2,2.4,4.2,-0.6,3,1.6,3.5,3.1,2.6,4.5,2,2.8,6.2,3.8,2.1,3.7,3.8,-1.6,4,4.6,2.6,5,4.4,5.4,6.4,-9,-2.5,1.9,3.6,3,0.9,-0.3,1.4,3,4.5,4.4,3.1,1.3
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CPI Consumer price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PCE Personal consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
