"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"19","1","Personal income","A065RC1","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,487,576.0","10,049,200.0","10,610,270.0","11,389,840.0","11,995,740.0","12,430,568.0","12,082,091.0","12,435,193.0","13,191,317.0","13,743,772.0"
"20","2","  Compensation of employees","W209RC1","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,365,393.0","6,740,484.0","7,087,759.0","7,503,178.0","7,899,138.0","8,079,199.0","7,787,813.0","7,967,302.0","8,278,491.0","8,611,627.0"
"21","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,155,132.0","1,224,912.0"
"22","4","  Rental income of persons with capital consumption adjustment","A048RC1","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","484,382.0","541,156.0"
"23","5","  Personal income receipts on assets","W210RC1","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,055.0","1,811,783.0","1,739,643.0","1,884,601.0","1,958,541.0"
"24","6","    Personal interest income","A064RC1","793,096.0","783,869.0","794,185.0","856,042.0","874,296.0","920,526.0","987,099.0","983,270.0","1,070,184.0","1,072,159.0","991,795.0","988,235.0","941,667.0","1,088,141.0","1,214,730.0","1,350,133.0","1,361,616.0","1,263,933.0","1,195,027.0","1,204,063.0","1,211,632.0"
"25","7","    Personal dividend income","B703RC1","189,051.0","204,734.0","235,217.0","257,987.0","302,175.0","337,927.0","355,442.0","346,399.0","383,329.0","369,155.0","398,629.0","432,253.0","562,072.0","578,311.0","723,672.0","816,515.0","805,439.0","547,850.0","544,616.0","680,538.0","746,909.0"
"26","8","  Personal current transfer receipts","A577RC1","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,013.0","1,188,106.0","1,280,347.0","1,342,861.0","1,416,684.0","1,512,006.0","1,609,645.0","1,722,772.0","1,883,971.0","2,140,206.0","2,276,908.0","2,306,921.0","2,358,265.0"
"27","9","    Government social benefits to persons","A063RC1","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,579.0","1,141,338.0","1,246,152.0","1,316,601.0","1,399,913.0","1,486,294.0","1,588,169.0","1,692,166.0","1,847,348.0","2,101,512.0","2,233,958.0","2,260,265.0","2,316,838.0"
"28","10","    Other current transfer receipts, from business (net)","B931RC1","16,287.0","14,054.0","13,255.0","18,728.0","22,878.0","19,446.0","25,995.0","33,972.0","42,434.0","46,768.0","34,195.0","26,260.0","16,771.0","25,712.0","21,476.0","30,606.0","36,623.0","38,694.0","42,950.0","46,656.0","41,427.0"
"29","11","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","918,210.0","950,729.0"
"30","12","Less: Personal current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,403,963.0","1,497,999.0"
"31","13","Equals: Disposable personal income","A067RC1","4,800,251.0","5,000,232.0","5,244,212.0","5,532,570.0","5,829,946.0","6,148,851.0","6,561,261.0","6,876,294.0","7,400,501.0","7,752,265.0","8,099,192.0","8,486,715.0","9,003,233.0","9,401,768.0","10,037,726.0","10,507,861.0","10,995,367.0","10,937,156.0","11,243,724.0","11,787,354.0","12,245,773.0"
"32","14","Less: Personal outlays","A068RC1","4,374,224.0","4,632,597.0","4,912,796.0","5,179,646.0","5,484,731.0","5,796,661.0","6,155,954.0","6,583,298.0","7,102,573.0","7,421,061.0","7,695,317.0","8,075,897.0","8,590,016.0","9,159,107.0","9,700,819.0","10,190,613.0","10,444,036.0","10,266,481.0","10,609,518.0","11,119,127.0","11,558,405.0"
"33","15","  Personal consumption expenditures","DPCERC1","4,215,654.0","4,471,002.0","4,741,018.0","4,984,178.0","5,268,071.0","5,560,720.0","5,903,033.0","6,316,895.0","6,801,630.0","7,106,864.0","7,385,297.0","7,764,356.0","8,257,757.0","8,790,344.0","9,297,459.0","9,744,444.0","10,005,501.0","9,842,938.0","10,201,880.0","10,711,793.0","11,149,602.0"
"34","16","  Personal interest payments \1\","B069RC1","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","247,965.0","248,401.0"
"35","17","  Personal current transfer payments","W211RC1","40,487.0","45,639.0","49,822.0","52,903.0","57,566.0","63,862.0","69,529.0","76,239.0","83,399.0","91,002.0","97,011.0","101,699.0","110,498.0","119,980.0","128,227.0","140,282.0","148,916.0","149,609.0","156,868.0","159,369.0","160,402.0"
"36","18","    To government","W062RC1","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,296.0","88,481.0"
"37","19","    To the rest of the world (net)","B070RC1","14,492.0","17,070.0","18,930.0","20,255.0","22,635.0","25,663.0","29,666.0","32,177.0","34,649.0","38,081.0","40,631.0","41,190.0","43,599.0","48,355.0","51,593.0","59,327.0","66,164.0","66,069.0","73,010.0","74,073.0","71,921.0"
"38","20","Equals: Personal saving","A071RC1","426,027.0","367,635.0","331,416.0","352,924.0","345,215.0","352,190.0","405,307.0","292,996.0","297,928.0","331,204.0","403,875.0","410,818.0","413,217.0","242,661.0","336,907.0","317,248.0","551,331.0","670,675.0","634,206.0","668,227.0","687,368.0"
"39","21","    Personal saving as a percentage of disposable personal income","A072RC1","8.9","7.4","6.3","6.4","5.9","5.7","6.2","4.3","4.0","4.3","5.0","4.8","4.6","2.6","3.4","3.0","5.0","6.1","5.6","5.7","5.6"
"40","22","Household income","W380RC1","5,384,609.0","5,622,660.0","5,909,627.0","6,246,909.0","6,634,418.0","7,044,731.0","7,564,602.0","7,957,884.0","8,603,638.0","8,968,081.0","9,139,014.0","9,482,426.0","10,045,518.0","10,602,803.0","11,381,748.0","11,989,937.0","12,435,406.0","12,084,905.0","12,440,088.0","13,196,094.0","13,750,960.0"
"41","23","  Compensation of employees","W209RC1","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,365,393.0","6,740,484.0","7,087,759.0","7,503,178.0","7,899,138.0","8,079,199.0","7,787,813.0","7,967,302.0","8,278,491.0","8,611,627.0"
"42","24","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,155,132.0","1,224,912.0"
"43","25","  Rental income of households with capital consumption adjustment","W381RC1","62,755.0","91,853.0","115,352.0","126,562.0","144,051.0","148,809.0","166,204.0","179,287.0","183,949.0","203,256.0","212,625.0","233,331.0","250,598.0","233,575.0","202,499.0","183,808.0","255,949.0","326,392.0","394,760.0","475,031.0","530,886.0"
"44","26","  Household income receipts on assets","W382RC1","950,347.0","957,765.0","996,583.0","1,078,240.0","1,139,728.0","1,217,285.0","1,305,751.0","1,288,784.0","1,407,502.0","1,402,209.0","1,356,814.0","1,389,645.0","1,471,041.0","1,629,683.0","1,895,938.0","2,123,073.0","2,134,016.0","1,779,947.0","1,710,819.0","1,853,631.0","1,928,650.0"
"45","27","    Household interest income","W383RC1","771,576.0","763,312.0","771,649.0","830,536.0","847,838.0","889,644.0","960,596.0","952,673.0","1,034,462.0","1,043,344.0","968,476.0","967,684.0","919,261.0","1,061,666.0","1,182,561.0","1,316,854.0","1,338,874.0","1,242,395.0","1,176,500.0","1,183,393.0","1,192,042.0"
"46","28","    Household dividend income","W384RC1","178,770.0","194,452.0","224,934.0","247,703.0","291,890.0","327,641.0","345,155.0","336,111.0","373,040.0","358,865.0","388,338.0","421,961.0","551,779.0","568,017.0","713,377.0","806,219.0","795,142.0","537,552.0","534,317.0","670,238.0","736,608.0"
"47","29","  Household current transfer receipts","W385RC1","752,965.0","799,287.0","836,243.0","887,802.0","936,235.0","963,331.0","995,281.0","1,040,351.0","1,103,675.0","1,212,481.0","1,308,124.0","1,373,246.0","1,450,520.0","1,546,174.0","1,649,039.0","1,766,146.0","1,928,005.0","2,182,164.0","2,318,623.0","2,352,019.0","2,405,614.0"
"48","30","    Government social benefits","W401RC1","721,307.0","767,537.0","803,615.0","850,299.0","890,991.0","919,562.0","940,990.0","975,979.0","1,028,289.0","1,127,260.0","1,230,589.0","1,299,931.0","1,382,477.0","1,468,823.0","1,570,560.0","1,674,659.0","1,828,577.0","2,081,185.0","2,212,841.0","2,238,796.0","2,294,420.0"
"49","31","    From business (net)","W379RC1","10,438.0","7,957.0","6,657.0","11,653.0","15,202.0","11,506.0","17,080.0","22,848.0","31,268.0","34,022.0","23,328.0","16,099.0","6,542.0","10,696.0","8,903.0","18,060.0","25,412.0","26,535.0","27,358.0","32,382.0","26,393.0"
"50","32","    From nonprofit institutions \2\","W386RC1","21,220.0","23,793.0","25,972.0","25,850.0","30,043.0","32,263.0","37,211.0","41,524.0","44,118.0","51,200.0","54,208.0","57,215.0","61,501.0","66,655.0","69,575.0","73,427.0","74,016.0","74,444.0","78,424.0","80,841.0","84,801.0"
"51","33","  Less: Contributions for government social insurance, domestic","A061RC1","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","918,210.0","950,729.0"
"52","34","Less: Household current taxes","W055RC1","610,531.0","646,533.0","690,504.0","743,898.0","831,955.0","926,151.0","1,026,427.0","1,107,526.0","1,232,259.0","1,234,832.0","1,050,332.0","1,000,861.0","1,045,967.0","1,208,502.0","1,352,114.0","1,487,879.0","1,435,201.0","1,144,935.0","1,191,469.0","1,403,963.0","1,497,999.0"
"53","35","Equals: Disposable household income","W388RC1","4,774,078.0","4,976,127.0","5,219,123.0","5,503,011.0","5,802,463.0","6,118,580.0","6,538,175.0","6,850,358.0","7,371,379.0","7,733,249.0","8,088,682.0","8,481,565.0","8,999,551.0","9,394,301.0","10,029,634.0","10,502,058.0","11,000,205.0","10,939,970.0","11,248,619.0","11,792,131.0","12,252,961.0"
"54","36","Less: Household outlays","W389RC1","4,370,313.0","4,627,166.0","4,903,862.0","5,166,056.0","5,480,071.0","5,812,669.0","6,164,188.0","6,596,204.0","7,117,796.0","7,411,919.0","7,671,975.0","8,047,320.0","8,583,672.0","9,166,475.0","9,682,824.0","10,172,333.0","10,382,215.0","10,174,950.0","10,534,661.0","11,041,035.0","11,484,190.0"
"55","37","  Household consumption expenditures","W390RC1","4,127,720.0","4,380,937.0","4,643,256.0","4,881,850.0","5,158,027.0","5,455,132.0","5,779,226.0","6,178,666.0","6,643,589.0","6,927,782.0","7,186,955.0","7,558,844.0","8,051,385.0","8,580,076.0","9,058,274.0","9,495,664.0","9,723,357.0","9,566,921.0","9,926,530.0","10,433,891.0","10,859,113.0"
"56","38","    Purchases from business and government","W391RC1","3,819,264.0","4,052,256.0","4,300,942.0","4,525,634.0","4,784,936.0","5,058,096.0","5,360,512.0","5,740,576.0","6,179,989.0","6,430,423.0","6,648,237.0","6,989,713.0","7,438,763.0","7,921,888.0","8,365,233.0","8,761,303.0","8,964,589.0","8,770,374.0","9,095,987.0","9,570,201.0","9,955,476.0"
"57","39","    Purchases from nonprofit institutions \3\","W392RC1","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","863,690.0","903,637.0"
"58","40","  Household interest payments \1\","B069RC1","118,083.0","115,956.0","121,956.0","142,565.0","159,094.0","172,079.0","183,392.0","190,164.0","217,544.0","223,195.0","213,009.0","209,842.0","221,761.0","248,783.0","275,133.0","305,887.0","289,619.0","273,934.0","250,770.0","247,965.0","248,401.0"
"59","41","  Household transfer payments","W394RC1","124,510.0","130,273.0","138,650.0","141,641.0","162,950.0","185,458.0","201,570.0","227,374.0","256,663.0","260,942.0","272,011.0","278,634.0","310,526.0","337,616.0","349,417.0","370,782.0","369,239.0","334,095.0","357,361.0","359,179.0","376,676.0"
"60","42","    To government","W395RC1","25,808.0","28,366.0","30,704.0","32,369.0","34,562.0","37,697.0","39,340.0","43,332.0","48,125.0","52,616.0","56,146.0","60,181.0","66,430.0","71,001.0","75,838.0","80,065.0","82,463.0","83,319.0","83,447.0","84,877.0","88,047.0"
"61","43","    To the rest of the world (net)","W396RC1","12,747.0","14,829.0","16,523.0","17,713.0","19,559.0","21,711.0","23,745.0","25,666.0","27,740.0","30,870.0","33,171.0","33,139.0","35,792.0","38,557.0","41,845.0","46,365.0","48,304.0","46,357.0","48,047.0","49,296.0","48,064.0"
"62","44","    To nonprofit institutions \4\","W397RC1","85,955.0","87,078.0","91,424.0","91,559.0","108,829.0","126,051.0","138,485.0","158,376.0","180,797.0","177,456.0","182,695.0","185,314.0","208,304.0","228,058.0","231,734.0","244,351.0","238,473.0","204,419.0","225,867.0","225,006.0","240,566.0"
"63","45","Equals: Household saving","W398RC1","403,766.0","348,962.0","315,261.0","336,955.0","322,392.0","305,910.0","373,987.0","254,154.0","253,583.0","321,330.0","416,707.0","434,245.0","415,879.0","227,826.0","346,809.0","329,725.0","617,989.0","765,019.0","713,959.0","751,095.0","768,771.0"
"64","46","    Household saving as a percentage of household disposable income","W399RC1","8.5","7.0","6.0","6.1","5.6","5.0","5.7","3.7","3.4","4.2","5.2","5.1","4.6","2.4","3.5","3.1","5.6","7.0","6.3","6.4","6.3"
"65","47","Nonprofit institution income","W400RC1","133,348.0","134,976.0","142,485.0","146,968.0","166,355.0","188,585.0","198,782.0","225,836.0","254,037.0","247,672.0","247,412.0","247,679.0","273,487.0","302,180.0","309,402.0","323,582.0","307,650.0","276,050.0","299,396.0","301,070.0","318,178.0"
"66","48","  Rental income of nonprofit institutions with capital consumption adjustment","W159RC1","1,571.0","1,786.0","2,118.0","2,625.0","2,900.0","3,238.0","3,660.0","3,818.0","3,773.0","4,286.0","4,677.0","4,692.0","4,820.0","4,866.0","5,022.0","5,602.0","6,157.0","7,308.0","7,995.0","9,351.0","10,270.0"
"67","49","  Nonprofit institution income receipts on assets","W402RC1","31,800.0","30,838.0","32,819.0","35,789.0","36,743.0","41,168.0","36,790.0","40,885.0","46,011.0","39,105.0","33,610.0","30,843.0","32,698.0","36,769.0","42,464.0","43,575.0","33,039.0","31,836.0","28,825.0","30,970.0","29,891.0"
"68","50","    Nonprofit institution interest income","W403RC1","21,520.0","20,557.0","22,536.0","25,506.0","26,458.0","30,882.0","26,503.0","30,597.0","35,722.0","28,815.0","23,319.0","20,551.0","22,406.0","26,475.0","32,169.0","33,279.0","22,742.0","21,538.0","18,527.0","20,670.0","19,590.0"
"69","51","    Nonprofit institution dividend income","W404RC1","10,281.0","10,282.0","10,283.0","10,284.0","10,285.0","10,286.0","10,287.0","10,288.0","10,289.0","10,290.0","10,291.0","10,292.0","10,293.0","10,294.0","10,295.0","10,296.0","10,297.0","10,298.0","10,299.0","10,300.0","10,301.0"
"70","52","  Nonprofit institution transfer receipts","W405RC1","99,976.0","102,351.0","107,547.0","108,554.0","126,712.0","144,179.0","158,332.0","181,133.0","204,253.0","204,281.0","209,125.0","212,144.0","235,968.0","260,545.0","261,916.0","274,405.0","268,454.0","236,906.0","262,576.0","260,749.0","278,018.0"
"71","53","    From government","W406RC1","8,172.0","9,176.0","9,525.0","9,920.0","10,207.0","10,188.0","10,932.0","11,633.0","12,290.0","14,078.0","15,563.0","16,670.0","17,436.0","17,471.0","17,609.0","17,507.0","18,771.0","20,327.0","21,116.0","21,469.0","22,418.0"
"72","54","    From business (net)","W407RC1","5,849.0","6,097.0","6,598.0","7,075.0","7,676.0","7,940.0","8,915.0","11,124.0","11,166.0","12,746.0","10,867.0","10,161.0","10,229.0","15,016.0","12,573.0","12,546.0","11,211.0","12,159.0","15,592.0","14,274.0","15,034.0"
"73","55","    From households \4\","W397RC1","85,955.0","87,078.0","91,424.0","91,559.0","108,829.0","126,051.0","138,485.0","158,376.0","180,797.0","177,456.0","182,695.0","185,314.0","208,304.0","228,058.0","231,734.0","244,351.0","238,473.0","204,419.0","225,867.0","225,006.0","240,566.0"
"74","56","Less: Nonprofit institution outlays","W412RC1","111,087.0","116,302.0","126,329.0","130,999.0","143,532.0","142,305.0","167,462.0","186,994.0","209,693.0","237,798.0","260,244.0","271,106.0","276,149.0","287,345.0","319,304.0","336,059.0","374,309.0","370,394.0","379,149.0","383,939.0","399,581.0"
"75","57","  Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRC1","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","277,902.0","290,489.0"
"76","58","    Gross output of nonprofit institutions \5\","DNPERC1","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,141,592.0","1,194,126.0"
"77","59","      Health","DHLGRC1","227,991.0","242,831.0","252,657.0","262,264.0","272,820.0","286,514.0","306,977.0","323,094.0","340,569.0","367,030.0","401,266.0","428,254.0","455,657.0","490,401.0","525,656.0","552,132.0","581,823.0","614,721.0","636,098.0","665,583.0","696,027.0"
"78","60","      Recreation","DRCGRC1","14,575.0","15,563.0","16,154.0","16,823.0","17,220.0","17,968.0","19,024.0","20,921.0","23,079.0","25,072.0","26,548.0","28,565.0","30,226.0","32,645.0","35,259.0","37,841.0","40,230.0","39,663.0","38,817.0","39,197.0","41,367.0"
"79","61","      Education","DEDGRC1","53,626.0","56,823.0","60,054.0","63,748.0","67,803.0","69,848.0","75,579.0","81,041.0","88,353.0","97,631.0","104,876.0","108,186.0","112,128.0","117,313.0","125,688.0","135,673.0","143,350.0","147,407.0","151,232.0","158,053.0","167,386.0"
"80","62","      Social services","DSSGRC1","31,032.0","33,384.0","35,334.0","38,283.0","40,715.0","44,591.0","49,342.0","55,059.0","63,055.0","72,109.0","78,587.0","83,123.0","85,146.0","90,119.0","94,400.0","99,277.0","105,326.0","108,863.0","113,897.0","115,512.0","115,205.0"
"81","63","      Religious organizations","DREORC1","31,372.0","33,017.0","36,624.0","38,628.0","42,630.0","44,223.0","47,751.0","49,766.0","53,557.0","58,066.0","61,716.0","62,815.0","66,742.0","69,601.0","72,131.0","77,273.0","76,509.0","75,973.0","74,454.0","73,188.0","73,042.0"
"82","64","      Foundations and grantmaking and giving establishments","DFXORC1","8,816.0","9,230.0","8,665.0","8,556.0","8,245.0","7,558.0","8,652.0","10,619.0","12,643.0","15,890.0","17,205.0","17,463.0","18,181.0","19,379.0","22,516.0","24,762.0","27,675.0","26,381.0","26,440.0","27,931.0","28,491.0"
"83","65","      Social advocacy establishments","DSAORC1","3,823.0","4,124.0","4,349.0","4,702.0","4,972.0","5,268.0","5,527.0","6,046.0","6,757.0","7,554.0","9,405.0","9,995.0","10,315.0","11,300.0","13,136.0","15,212.0","16,986.0","17,359.0","18,008.0","18,675.0","19,281.0"
"84","66","      Civic and social organizations","DCIORC1","5,233.0","5,494.0","5,605.0","5,811.0","5,871.0","5,898.0","6,529.0","7,037.0","7,797.0","8,487.0","9,260.0","9,696.0","9,561.0","9,196.0","9,257.0","9,086.0","9,492.0","9,303.0","9,312.0","9,421.0","9,517.0"
"85","67","      Professional advocacy","DSNGRC1","19,921.0","18,279.0","20,634.0","19,731.0","22,860.0","20,756.0","23,142.0","22,736.0","25,831.0","24,603.0","28,198.0","26,546.0","31,038.0","28,501.0","34,182.0","31,886.0","39,522.0","32,895.0","37,635.0","34,033.0","43,810.0"
"86","68","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","863,690.0","903,637.0"
"87","69","      Health","DHLRRC1","228,609.0","243,504.0","252,105.0","259,939.0","270,103.0","287,104.0","301,962.0","314,873.0","331,743.0","355,999.0","392,928.0","416,041.0","451,331.0","487,582.0","513,796.0","545,777.0","563,518.0","597,519.0","625,034.0","652,016.0","684,721.0"
"88","70","      Recreation","DRCRRC1","7,420.0","8,089.0","8,554.0","9,064.0","9,358.0","9,812.0","10,176.0","10,955.0","11,529.0","12,148.0","12,180.0","13,148.0","14,574.0","16,723.0","18,014.0","18,686.0","18,430.0","17,520.0","17,495.0","17,048.0","17,745.0"
"89","71","      Education","DEDRRC1","32,079.0","34,100.0","36,168.0","38,470.0","41,888.0","44,634.0","47,579.0","50,412.0","54,181.0","58,526.0","59,625.0","62,648.0","66,235.0","70,371.0","74,620.0","79,298.0","83,993.0","87,367.0","90,995.0","95,878.0","101,028.0"
"90","72","      Social services","DSSRRC1","14,321.0","15,757.0","17,207.0","19,101.0","20,858.0","23,352.0","25,791.0","28,106.0","31,823.0","35,975.0","39,148.0","40,907.0","42,959.0","44,940.0","45,989.0","47,825.0","49,413.0","50,621.0","52,957.0","54,127.0","54,284.0"
"91","73","      Religious organizations","DRELRC1","3,356.0","3,490.0","3,801.0","3,968.0","4,364.0","4,569.0","4,711.0","4,776.0","4,906.0","4,965.0","4,931.0","5,025.0","5,263.0","5,418.0","5,615.0","6,017.0","5,957.0","5,916.0","5,797.0","5,699.0","5,687.0"
"92","74","      Foundations and grantmaking and giving establishments","DGIVRC1","830.0","868.0","817.0","808.0","783.0","917.0","859.0","785.0","702.0","554.0","434.0","505.0","636.0","739.0","982.0","1,281.0","1,159.0","1,064.0","1,146.0","1,193.0","1,208.0"
"93","75","      Social advocacy establishments","DSASRC1","922.0","1,011.0","1,098.0","1,214.0","1,288.0","1,278.0","1,400.0","1,530.0","1,592.0","1,603.0","1,654.0","1,900.0","1,954.0","2,063.0","2,330.0","2,555.0","2,731.0","2,765.0","2,957.0","3,142.0","3,226.0"
"94","76","      Civic and social organizations","DCISRC1","3,881.0","4,173.0","4,394.0","4,692.0","4,881.0","4,917.0","5,365.0","5,557.0","5,866.0","5,960.0","6,120.0","6,332.0","6,286.0","6,094.0","6,113.0","6,223.0","6,110.0","5,943.0","6,061.0","6,020.0","6,348.0"
"95","77","      Professional advocacy","DSNRRC1","17,038.0","17,689.0","18,171.0","18,963.0","19,568.0","20,453.0","20,872.0","21,097.0","21,259.0","21,627.0","21,696.0","22,627.0","23,384.0","24,257.0","25,583.0","26,700.0","27,458.0","27,832.0","28,102.0","28,568.0","29,388.0"
