"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"33","10","    Command-basis gross domestic product","C191RX1","4,802,293.0","4,814,931.0","4,845,772.0","4,825,900.0","4,816,119.0","4,824,391.0","4,860,254.0","4,809,171.0","4,939,275.0","4,965,687.0","5,000,426.0","5,013,057.0","5,101,571.0","5,214,962.0","5,262,270.0","5,357,196.0","5,482,212.0","5,526,679.0","5,502,291.0","5,559,785.0","5,475,463.0","5,464,978.0","5,406,095.0","5,388,123.0","5,329,553.0","5,369,780.0","5,465,441.0","5,540,951.0","5,663,484.0","5,705,227.0","5,729,786.0","5,781,822.0","5,838,052.0","5,936,319.0","6,023,630.0","6,051,259.0","6,062,578.0","6,292,973.0","6,350,198.0","6,447,510.0","6,451,265.0","6,454,039.0","6,476,837.0","6,467,081.0","6,448,160.0","6,304,096.0","6,295,331.0","6,419,350.0","6,546,225.0","6,504,230.0","6,592,984.0","6,521,707.0","6,421,751.0","6,465,128.0","6,447,469.0","6,457,726.0","6,554,604.0","6,706,992.0","6,841,299.0","6,993,031.0","7,133,600.0","7,256,566.0","7,335,798.0","7,402,226.0","7,486,836.0","7,555,337.0","7,665,928.0","7,712,364.0","7,780,888.0","7,840,154.0","7,906,795.0","7,940,158.0","7,990,356.0","8,070,314.0","8,137,570.0","8,274,473.0","8,318,819.0","8,427,187.0","8,493,607.0","8,594,397.0","8,682,535.0","8,742,158.0","8,818,360.0","8,833,205.0","8,916,639.0","8,970,343.0","8,954,106.0","8,838,643.0","8,829,711.0","8,920,183.0","8,972,311.0","9,010,264.0","9,108,586.0","9,206,956.0","9,285,502.0","9,383,532.0","9,404,980.0","9,460,937.0","9,524,475.0","9,651,960.0","9,748,842.0","9,877,215.0","9,926,388.0","10,040,059.0","10,073,339.0","10,099,585.0","10,196,270.0","10,276,561.0","10,348,220.0","10,532,683.0","10,616,923.0","10,727,445.0","10,830,356.0","11,000,072.0","11,153,512.0","11,244,621.0","11,380,247.0","11,499,479.0","11,660,871.0","11,855,270.0","11,971,068.0","12,046,603.0","12,185,954.0","12,377,219.0","12,395,410.0","12,641,062.0","12,654,969.0","12,720,244.0","12,690,572.0","12,789,353.0","12,771,025.0","12,827,818.0","12,952,715.0","12,992,850.0","13,056,306.0","13,061,461.0","13,092,413.0","13,243,270.0","13,465,801.0","13,618,549.0","13,684,589.0","13,786,081.0","13,889,689.0","13,981,661.0","14,150,133.0","14,215,102.0","14,302,175.0","14,358,643.0","14,544,313.0","14,589,499.0","14,602,835.0","14,744,838.0","14,764,723.0","14,858,502.0","14,933,913.0","14,926,574.0","14,777,055.0","14,781,966.0","14,671,500.0","14,509,079.0","14,431,727.0","14,382,343.0","14,378,559.0","14,478,747.0","14,522,048.0","14,690,422.0","14,811,409.0","14,906,280.0","14,813,342.0","14,897,076.0","14,967,249.0","15,131,956.0","15,259,717.0","15,335,015.0","15,467,884.0","15,469,019.0","15,530,987.0","15,640,267.0","15,804,960.0"
"34","11","    Command-basis net domestic product \1\","C362RX1","4,376,168.0","4,381,855.0","4,406,492.0","4,378,883.0","4,362,152.0","4,364,386.0","4,395,429.0","4,336,981.0","4,466,459.0","4,488,548.0","4,519,093.0","4,526,919.0","4,612,699.0","4,723,403.0","4,764,613.0","4,854,281.0","4,974,343.0","5,011,379.0","4,977,711.0","5,029,081.0","4,934,047.0","4,915,965.0","4,848,028.0","4,822,906.0","4,756,318.0","4,792,311.0","4,886,011.0","4,958,773.0","5,080,439.0","5,117,466.0","5,136,198.0","5,182,751.0","5,233,089.0","5,326,787.0","5,408,621.0","5,427,950.0","5,430,123.0","5,659,850.0","5,708,719.0","5,798,881.0","5,790,933.0","5,782,144.0","5,794,579.0","5,773,393.0","5,742,939.0","5,582,571.0","5,563,567.0","5,683,182.0","5,806,223.0","5,752,927.0","5,835,449.0","5,750,730.0","5,635,647.0","5,670,743.0","5,642,914.0","5,644,883.0","5,737,648.0","5,887,255.0","6,017,275.0","6,164,298.0","6,298,882.0","6,413,879.0","6,482,128.0","6,535,738.0","6,606,995.0","6,661,988.0","6,761,024.0","6,794,388.0","6,851,132.0","6,897,835.0","6,952,077.0","6,971,641.0","7,008,498.0","7,076,462.0","7,131,754.0","7,259,224.0","7,291,730.0","7,390,175.0","7,445,311.0","7,535,672.0","7,612,894.0","7,660,926.0","7,726,017.0","7,728,226.0","7,801,110.0","7,844,116.0","7,816,184.0","7,687,506.0","7,668,580.0","7,751,722.0","7,795,899.0","7,825,900.0","7,917,852.0","8,009,298.0","8,079,875.0","8,169,746.0","8,181,028.0","8,227,151.0","8,280,682.0","8,399,122.0","8,486,029.0","8,604,221.0","8,640,980.0","8,742,570.0","8,761,570.0","8,773,186.0","8,856,191.0","8,922,261.0","8,979,299.0","9,150,054.0","9,218,060.0","9,311,893.0","9,397,416.0","9,549,298.0","9,683,119.0","9,752,243.0","9,864,910.0","9,961,596.0","10,101,706.0","10,275,931.0","10,371,342.0","10,419,574.0","10,525,522.0","10,677,007.0","10,697,762.0","10,903,474.0","10,882,965.0","10,923,654.0","10,873,280.0","10,956,379.0","10,922,618.0","10,964,309.0","11,072,264.0","11,096,565.0","11,144,083.0","11,134,164.0","11,151,582.0","11,289,249.0","11,497,646.0","11,633,964.0","11,681,376.0","11,766,281.0","11,851,411.0","11,923,508.0","12,071,415.0","12,116,553.0","12,183,017.0","12,218,082.0","12,382,779.0","12,405,779.0","12,397,713.0","12,518,254.0","12,517,024.0","12,591,730.0","12,649,256.0","12,625,115.0","12,460,596.0","12,450,202.0","12,324,713.0","12,148,502.0","12,064,239.0","12,012,944.0","12,009,778.0","12,110,872.0","12,150,275.0","12,312,570.0","12,426,810.0","12,514,673.0","12,415,850.0","12,491,612.0","12,552,867.0","12,707,173.0","12,823,732.0","12,887,104.0","13,008,901.0","12,998,876.0","13,048,194.0","13,144,395.0","13,296,263.0"
"35","12","    Command-basis gross national product","CB22RX1","4,832,850.0","4,844,263.0","4,873,701.0","4,853,801.0","4,844,859.0","4,854,313.0","4,889,653.0","4,835,890.0","4,971,459.0","4,999,845.0","5,031,183.0","5,045,515.0","5,135,373.0","5,248,285.0","5,298,545.0","5,393,485.0","5,524,579.0","5,572,005.0","5,555,433.0","5,613,546.0","5,537,986.0","5,523,385.0","5,458,922.0","5,432,958.0","5,367,054.0","5,407,565.0","5,506,893.0","5,591,049.0","5,712,362.0","5,756,367.0","5,781,670.0","5,835,144.0","5,898,892.0","5,996,107.0","6,082,904.0","6,103,629.0","6,123,220.0","6,343,469.0","6,405,497.0","6,511,386.0","6,516,706.0","6,527,261.0","6,564,381.0","6,553,519.0","6,535,754.0","6,384,725.0","6,371,081.0","6,480,522.0","6,611,865.0","6,565,864.0","6,659,079.0","6,596,445.0","6,492,351.0","6,544,559.0","6,514,541.0","6,522,332.0","6,618,733.0","6,775,751.0","6,911,462.0","7,066,128.0","7,201,130.0","7,324,413.0","7,402,842.0","7,461,521.0","7,532,233.0","7,603,928.0","7,705,167.0","7,756,708.0","7,819,065.0","7,866,822.0","7,937,909.0","7,960,557.0","8,014,596.0","8,100,665.0","8,167,070.0","8,306,901.0","8,359,654.0","8,464,109.0","8,525,920.0","8,630,382.0","8,717,715.0","8,775,810.0","8,855,873.0","8,880,409.0","8,961,320.0","9,017,823.0","8,994,407.0","8,912,728.0","8,887,251.0","8,961,647.0","9,008,542.0","9,057,933.0","9,155,313.0","9,252,416.0","9,326,682.0","9,425,996.0","9,457,958.0","9,504,546.0","9,575,538.0","9,681,446.0","9,787,449.0","9,909,517.0","9,956,348.0","10,068,574.0","10,114,258.0","10,143,978.0","10,222,253.0","10,317,821.0","10,398,250.0","10,571,786.0","10,651,728.0","10,769,247.0","10,861,214.0","11,040,551.0","11,184,126.0","11,266,552.0","11,413,759.0","11,529,301.0","11,674,115.0","11,871,852.0","11,999,046.0","12,081,107.0","12,216,722.0","12,420,232.0","12,433,417.0","12,682,638.0","12,690,731.0","12,785,992.0","12,739,466.0","12,849,097.0","12,803,211.0","12,935,898.0","13,013,893.0","13,031,510.0","13,111,689.0","13,136,535.0","13,151,895.0","13,318,755.0","13,540,969.0","13,723,904.0","13,809,987.0","13,882,108.0","13,997,050.0","14,059,551.0","14,264,803.0","14,316,699.0","14,414,049.0","14,438,260.0","14,625,639.0","14,664,818.0","14,663,644.0","14,816,397.0","14,836,825.0","14,952,989.0","15,086,506.0","15,125,434.0","14,960,073.0","14,966,809.0","14,872,095.0","14,630,608.0","14,554,688.0","14,502,287.0","14,545,005.0","14,657,756.0","14,723,401.0","14,892,997.0","15,007,980.0","15,117,197.0","15,054,681.0","15,138,146.0","15,228,217.0","15,392,446.0","15,495,657.0","15,580,540.0","15,702,056.0","15,711,140.0","15,753,976.0","15,871,981.0","16,050,676.0"
"36","13","    Command-basis net national product \1\","C027RX1","4,407,848.0","4,412,260.0","4,435,430.0","4,407,789.0","4,391,919.0","4,395,370.0","4,425,886.0","4,364,664.0","4,499,799.0","4,523,926.0","4,550,946.0","4,560,540.0","4,647,690.0","4,757,905.0","4,802,172.0","4,891,846.0","5,018,192.0","5,058,270.0","5,032,691.0","5,084,730.0","4,998,773.0","4,976,453.0","4,902,766.0","4,869,392.0","4,795,260.0","4,831,608.0","4,929,134.0","5,010,878.0","5,131,271.0","5,170,666.0","5,190,181.0","5,238,235.0","5,296,400.0","5,389,018.0","5,470,340.0","5,482,493.0","5,493,305.0","5,712,465.0","5,766,361.0","5,865,470.0","5,859,169.0","5,858,458.0","5,885,789.0","5,863,436.0","5,834,135.0","5,666,518.0","5,642,461.0","5,746,874.0","5,874,551.0","5,817,138.0","5,904,354.0","5,828,644.0","5,709,293.0","5,753,627.0","5,712,829.0","5,712,147.0","5,804,351.0","5,958,708.0","6,090,099.0","6,240,137.0","6,368,888.0","6,484,162.0","6,551,543.0","6,597,104.0","6,653,924.0","6,712,196.0","6,801,553.0","6,840,173.0","6,890,551.0","6,925,391.0","6,984,219.0","6,992,706.0","7,033,508.0","7,107,757.0","7,162,160.0","7,292,644.0","7,333,820.0","7,428,220.0","7,478,594.0","7,572,720.0","7,649,086.0","7,695,515.0","7,764,572.0","7,776,724.0","7,846,960.0","7,892,813.0","7,857,481.0","7,763,336.0","7,727,476.0","7,794,164.0","7,832,962.0","7,874,618.0","7,965,553.0","8,055,662.0","8,121,844.0","8,213,008.0","8,234,995.0","8,271,561.0","8,332,677.0","8,429,141.0","8,525,324.0","8,637,092.0","8,671,466.0","8,771,592.0","8,803,232.0","8,818,381.0","8,882,642.0","8,964,244.0","9,030,160.0","9,189,781.0","9,253,400.0","9,354,307.0","9,428,715.0","9,590,350.0","9,714,155.0","9,774,463.0","9,898,855.0","9,991,795.0","10,115,113.0","10,292,715.0","10,399,657.0","10,454,474.0","10,556,617.0","10,720,431.0","10,736,244.0","10,945,502.0","10,919,038.0","10,989,838.0","10,922,532.0","11,016,608.0","10,955,073.0","11,073,291.0","11,133,887.0","11,135,458.0","11,199,776.0","11,209,617.0","11,211,295.0","11,365,036.0","11,573,083.0","11,739,666.0","11,807,117.0","11,862,569.0","11,959,087.0","12,001,651.0","12,186,498.0","12,218,554.0","12,295,332.0","12,298,053.0","12,464,482.0","12,481,440.0","12,458,793.0","12,590,209.0","12,589,489.0","12,686,629.0","12,802,435.0","12,824,535.0","12,644,023.0","12,635,277.0","12,525,392.0","12,270,294.0","12,187,472.0","12,132,929.0","12,176,023.0","12,289,645.0","12,351,195.0","12,514,604.0","12,622,752.0","12,724,855.0","12,656,264.0","12,731,695.0","12,812,778.0","12,966,669.0","13,058,745.0","13,131,801.0","13,242,309.0","13,240,174.0","13,270,550.0","13,375,665.0","13,541,548.0"
"37",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","14","    Disposable personal income","A067RX1","3,197,022.0","3,232,315.0","3,300,615.0","3,326,458.0","3,359,104.0","3,398,517.0","3,451,814.0","3,442,941.0","3,511,986.0","3,563,381.0","3,582,192.0","3,623,955.0","3,640,627.0","3,677,764.0","3,748,494.0","3,897,247.0","3,924,912.0","3,956,225.0","3,973,557.0","4,017,065.0","3,950,863.0","3,913,970.0","3,917,747.0","3,912,896.0","3,906,657.0","4,087,984.0","4,028,577.0","4,059,234.0","4,106,855.0","4,128,180.0","4,158,585.0","4,183,351.0","4,182,191.0","4,234,188.0","4,299,086.0","4,382,062.0","4,413,034.0","4,456,770.0","4,488,809.0","4,524,277.0","4,572,251.0","4,532,798.0","4,554,249.0","4,574,296.0","4,589,891.0","4,523,217.0","4,578,413.0","4,668,252.0","4,655,723.0","4,654,620.0","4,749,874.0","4,759,131.0","4,764,925.0","4,792,392.0","4,817,995.0","4,839,776.0","4,881,256.0","4,915,988.0","4,990,147.0","5,097,712.0","5,201,785.0","5,288,348.0","5,360,901.0","5,405,044.0","5,392,014.0","5,495,909.0","5,477,364.0","5,540,411.0","5,609,465.0","5,683,976.0","5,724,206.0","5,734,474.0","5,781,729.0","5,725,633.0","5,829,572.0","5,907,609.0","5,993,787.0","6,055,317.0","6,113,628.0","6,172,673.0","6,248,909.0","6,230,466.0","6,272,942.0","6,323,338.0","6,376,564.0","6,414,748.0","6,417,126.0","6,366,261.0","6,379,817.0","6,423,956.0","6,447,309.0","6,502,425.0","6,642,022.0","6,711,451.0","6,740,760.0","6,763,905.0","6,801,915.0","6,813,785.0","6,817,799.0","6,862,624.0","6,910,708.0","6,983,912.0","7,025,410.0","7,123,033.0","7,190,991.0","7,207,346.0","7,271,837.0","7,313,852.0","7,383,811.0","7,454,397.0","7,513,828.0","7,552,985.0","7,628,888.0","7,694,016.0","7,785,654.0","7,897,163.0","8,065,530.0","8,178,110.0","8,261,466.0","8,328,585.0","8,403,185.0","8,424,000.0","8,480,407.0","8,605,082.0","8,774,676.0","8,865,942.0","8,969,588.0","9,000,038.0","9,076,766.0","9,068,881.0","9,283,069.0","9,168,102.0","9,391,144.0","9,438,669.0","9,426,252.0","9,471,728.0","9,499,200.0","9,636,403.0","9,794,392.0","9,834,035.0","9,905,628.0","10,003,339.0","10,056,026.0","10,181,651.0","10,083,458.0","10,163,348.0","10,215,612.0","10,299,699.0","10,534,904.0","10,550,848.0","10,581,022.0","10,719,123.0","10,789,579.0","10,810,880.0","10,838,876.0","10,848,230.0","10,926,857.0","11,156,203.0","10,901,498.0","10,969,490.0","10,932,253.0","11,014,685.0","10,902,878.0","10,899,831.0","10,909,101.0","11,052,229.0","11,104,423.0","11,177,286.0","11,315,380.0","11,303,889.0","11,348,421.0","11,332,275.0","11,459,150.0","11,510,241.0","11,493,571.0","11,742,976.0","11,502,411.0","11,618,467.0","11,704,056.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. In this table, net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. The command-basis estimates (lines 10-13) measure the purchasing power of the income generated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by the sale of goods and services produced; they reflect gains or losses in real income",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","resulting from changes in the terms of trade for exports and imports.  For more detail on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","command-basis estimates, see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
