"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"32","13","    Government enterprises","A266RC1","2,112.0","2,167.0","2,223.0","2,297.0","2,358.0","2,432.0","2,507.0","2,579.0","2,656.0","2,743.0","2,830.0","2,921.0","3,008.0","3,072.0","3,153.0","3,232.0","3,341.0","3,453.0","3,560.0","3,673.0","3,852.0","4,096.0","4,428.0","4,672.0","4,876.0","5,007.0","5,126.0","5,255.0","5,349.0","5,483.0","5,572.0","5,677.0","5,791.0","5,915.0","6,093.0","6,216.0","6,342.0","6,555.0","6,767.0","6,955.0","7,156.0","7,417.0","7,711.0","8,016.0","8,299.0","8,596.0","8,947.0","9,265.0","9,559.0","9,840.0","10,147.0","10,330.0","10,489.0","10,767.0","11,023.0","11,156.0","11,298.0","11,437.0","11,577.0","11,678.0","11,848.0","12,066.0","12,271.0","12,459.0","12,683.0","12,846.0","12,977.0","13,195.0","13,401.0","13,657.0","13,874.0","14,127.0","14,281.0","14,494.0","14,741.0","14,937.0","15,167.0","15,481.0","15,780.0","16,043.0","16,259.0","16,573.0","16,912.0","17,137.0","17,385.0","17,741.0","18,084.0","18,259.0","18,465.0","18,716.0","18,999.0","19,143.0","19,301.0","19,626.0","19,933.0","20,266.0","20,663.0","21,041.0","21,214.0","21,556.0","21,969.0","22,253.0","22,527.0","22,795.0","23,128.0","23,447.0","23,771.0","24,119.0","24,307.0","24,499.0","24,739.0","24,994.0","24,952.0","25,225.0","25,422.0","25,660.0","25,893.0","26,167.0","26,532.0","26,952.0","27,361.0","27,807.0","28,184.0","28,721.0","29,195.0","29,782.0","30,228.0","30,651.0","30,970.0","31,260.0","31,556.0","31,885.0","32,295.0","32,695.0","33,061.0","33,387.0","33,912.0","34,347.0","34,770.0","35,270.0","35,872.0","36,895.0","38,058.0","39,176.0","39,679.0","40,587.0","41,587.0","42,307.0","42,905.0","44,053.0","44,830.0","45,944.0","46,777.0","47,533.0","48,329.0","49,169.0","49,903.0","50,502.0","51,278.0","52,130.0","52,424.0","52,251.0","52,402.0","52,823.0","53,262.0","53,949.0","54,682.0","55,324.0","55,847.0","56,583.0","57,374.0","58,099.0","58,659.0","59,224.0","59,720.0","60,156.0","61,288.0","61,854.0","62,321.0"
"33","14","Equals: Net national product","A027RC1","881,296.0","894,060.0","911,676.0","917,513.0","927,633.0","941,534.0","956,752.0","956,083.0","1,000,657.0","1,019,802.0","1,037,260.0","1,048,261.0","1,085,855.0","1,119,216.0","1,140,368.0","1,174,997.0","1,221,108.0","1,254,144.0","1,270,260.0","1,306,802.0","1,318,095.0","1,349,011.0","1,368,326.0","1,397,253.0","1,403,269.0","1,433,141.0","1,485,715.0","1,535,424.0","1,589,484.0","1,617,784.0","1,645,900.0","1,687,746.0","1,737,123.0","1,796,813.0","1,851,086.0","1,886,614.0","1,920,856.0","2,035,626.0","2,089,773.0","2,166,091.0","2,205,042.0","2,260,885.0","2,329,145.0","2,376,685.0","2,430,296.0","2,417,281.0","2,461,272.0","2,573,887.0","2,699,876.0","2,718,998.0","2,801,495.0","2,814,951.0","2,790,243.0","2,841,136.0","2,862,100.0","2,895,244.0","2,963,058.0","3,063,973.0","3,166,737.0","3,264,907.0","3,369,791.0","3,463,280.0","3,525,752.0","3,571,725.0","3,642,616.0","3,699,069.0","3,774,913.0","3,825,186.0","3,873,540.0","3,894,131.0","3,949,974.0","3,982,099.0","4,040,773.0","4,118,353.0","4,184,565.0","4,295,276.0","4,354,007.0","4,454,882.0","4,530,271.0","4,632,385.0","4,733,325.0","4,820,346.0","4,893,044.0","4,938,711.0","5,052,088.0","5,125,517.0","5,163,348.0","5,168,748.0","5,177,067.0","5,244,380.0","5,306,911.0","5,369,591.0","5,466,077.0","5,569,747.0","5,652,716.0","5,753,960.0","5,800,385.0","5,863,304.0","5,931,910.0","6,032,727.0","6,131,323.0","6,246,826.0","6,311,984.0","6,417,942.0","6,476,394.0","6,522,242.0","6,594,878.0","6,686,497.0","6,775,261.0","6,923,081.0","7,003,417.0","7,121,949.0","7,211,724.0","7,351,716.0","7,467,110.0","7,539,969.0","7,633,928.0","7,717,887.0","7,837,533.0","7,999,005.0","8,112,236.0","8,203,769.0","8,330,479.0","8,521,377.0","8,585,737.0","8,808,606.0","8,864,957.0","8,990,748.0","8,982,194.0","9,092,544.0","9,055,176.0","9,162,405.0","9,248,296.0","9,318,031.0","9,417,370.0","9,483,195.0","9,579,814.0","9,719,699.0","9,958,283.0","10,154,464.0","10,318,060.0","10,455,198.0","10,618,930.0","10,749,515.0","10,997,986.0","11,109,074.0","11,308,921.0","11,411,994.0","11,643,951.0","11,755,091.0","11,815,649.0","11,946,604.0","12,077,027.0","12,262,553.0","12,444,279.0","12,585,836.0","12,526,890.0","12,649,382.0","12,667,570.0","12,275,514.0","12,118,117.0","12,094,725.0","12,195,716.0","12,378,411.0","12,506,100.0","12,709,395.0","12,867,027.0","13,048,075.0","13,073,361.0","13,268,752.0","13,418,962.0","13,607,079.0","13,782,000.0","13,885,476.0","14,048,519.0","14,102,305.0","14,168,904.0","14,275,981.0","14,516,254.0"
"34","15","Less: Statistical discrepancy","A030RC1","5,570.0","1,935.0","830.0","-1,871.0","3,712.0","5,719.0","6,488.0","5,497.0","13,268.0","12,512.0","11,798.0","346.0","4,620.0","17,565.0","8,951.0","-2,608.0","6,421.0","14,740.0","2,437.0","791.0","-70.0","10,084.0","3,377.0","16,174.0","15,279.0","14,354.0","8,710.0","14,578.0","18,187.0","20,854.0","16,952.0","25,858.0","31,551.0","20,857.0","18,295.0","6,315.0","512.0","21,298.0","29,456.0","41,340.0","23,902.0","41,318.0","58,423.0","55,502.0","63,738.0","59,263.0","35,608.0","17,114.0","57,258.0","34,789.0","27,879.0","26,875.0","-1,692.0","3,058.0","4,096.0","21,543.0","28,635.0","49,661.0","72,202.0","66,107.0","38,448.0","44,960.0","41,099.0","29,969.0","35,181.0","43,640.0","58,711.0","67,482.0","64,456.0","73,701.0","90,088.0","78,683.0","65,600.0","44,908.0","17,289.0","34,386.0","2,350.0","10,382.0","-5,807.0","-8,863.0","10,133.0","65,109.0","86,497.0","94,903.0","99,866.0","90,719.0","98,621.0","76,103.0","56,184.0","88,023.0","102,204.0","107,047.0","73,714.0","93,152.0","136,482.0","140,158.0","180,501.0","140,611.0","163,426.0","124,650.0","157,163.0","145,439.0","121,799.0","122,749.0","114,350.0","98,142.0","71,568.0","78,055.0","45,446.0","65,505.0","64,869.0","50,321.0","19,291.0","47,455.0","14,159.0","-31,861.0","-39,217.0","-81,140.0","-92,665.0","-27,784.0","-66,330.0","-46,348.0","-13,078.0","-3,984.0","-180,461.0","-47,716.0","-111,892.0","-37,953.0","-189,301.0","-116,249.0","-110,338.0","-30,318.0","-69,308.0","-76,437.0","-38,097.0","-96,541.0","-58,324.0","-59,301.0","24,346.0","45,031.0","24,801.0","-12,284.0","-41,326.0","2,924.0","15,381.0","-10,452.0","-16,451.0","-123,607.0","-221,154.0","-200,829.0","-246,743.0","-192,349.0","-149,651.0","-61,343.0","115,455.0","176,231.0","50,982.0","133,858.0","122,245.0","88,961.0","111,532.0","98,367.0","74,231.0","4,847.0","45,073.0","85,428.0","-746.0","42,702.0","-83,336.0","-51,660.0","-83,037.0","3,438.0","-62,970.0","10,138.0","86,433.0","-101,742.0","-155,588.0","-186,751.0","-92,638.0"
"35","16","Equals: National income","A032RC1","875,726.0","892,125.0","910,846.0","919,384.0","923,921.0","935,815.0","950,264.0","950,586.0","987,389.0","1,007,290.0","1,025,462.0","1,047,915.0","1,081,235.0","1,101,651.0","1,131,417.0","1,177,605.0","1,214,687.0","1,239,404.0","1,267,823.0","1,306,011.0","1,318,165.0","1,338,927.0","1,364,949.0","1,381,079.0","1,387,990.0","1,418,787.0","1,477,005.0","1,520,846.0","1,571,297.0","1,596,930.0","1,628,948.0","1,661,888.0","1,705,572.0","1,775,956.0","1,832,791.0","1,880,299.0","1,920,344.0","2,014,328.0","2,060,317.0","2,124,751.0","2,181,140.0","2,219,567.0","2,270,722.0","2,321,183.0","2,366,558.0","2,358,018.0","2,425,664.0","2,556,773.0","2,642,618.0","2,684,209.0","2,773,616.0","2,788,076.0","2,791,935.0","2,838,078.0","2,858,004.0","2,873,701.0","2,934,423.0","3,014,312.0","3,094,535.0","3,198,800.0","3,331,343.0","3,418,320.0","3,484,653.0","3,541,756.0","3,607,435.0","3,655,429.0","3,716,202.0","3,757,704.0","3,809,084.0","3,820,430.0","3,859,886.0","3,903,416.0","3,975,173.0","4,073,445.0","4,167,276.0","4,260,890.0","4,351,657.0","4,444,500.0","4,536,078.0","4,641,248.0","4,723,192.0","4,755,237.0","4,806,547.0","4,843,808.0","4,952,222.0","5,034,798.0","5,064,727.0","5,092,645.0","5,120,883.0","5,156,357.0","5,204,707.0","5,262,544.0","5,392,363.0","5,476,595.0","5,516,234.0","5,613,802.0","5,619,884.0","5,722,693.0","5,768,484.0","5,908,077.0","5,974,160.0","6,101,387.0","6,190,185.0","6,295,193.0","6,362,044.0","6,424,100.0","6,523,310.0","6,608,442.0","6,729,815.0","6,857,576.0","6,938,548.0","7,071,628.0","7,192,433.0","7,304,261.0","7,452,951.0","7,571,830.0","7,673,145.0","7,799,027.0","7,930,198.0","8,026,789.0","8,178,566.0","8,250,117.0","8,343,557.0","8,525,361.0","8,766,198.0","8,856,322.0","8,976,849.0","9,028,701.0","9,171,495.0","9,208,793.0","9,165,514.0","9,192,723.0","9,317,604.0","9,394,468.0","9,455,467.0","9,579,736.0","9,638,138.0","9,779,000.0","9,933,937.0","10,109,433.0","10,293,259.0","10,467,482.0","10,660,256.0","10,746,591.0","10,982,605.0","11,119,526.0","11,325,372.0","11,535,601.0","11,865,105.0","11,955,920.0","12,062,392.0","12,138,953.0","12,226,678.0","12,323,896.0","12,328,824.0","12,409,605.0","12,475,908.0","12,515,524.0","12,545,325.0","12,186,553.0","12,006,585.0","11,996,358.0","12,121,485.0","12,373,564.0","12,461,027.0","12,623,967.0","12,867,773.0","13,005,373.0","13,156,697.0","13,320,412.0","13,501,999.0","13,603,641.0","13,844,970.0","13,875,338.0","13,962,086.0","14,204,047.0","14,324,492.0","14,462,732.0","14,608,892.0"
"36",NA,"Less:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","103,476.0","100,332.0","97,418.0","92,440.0","84,663.0","88,470.0","88,383.0","83,458.0","96,622.0","98,738.0","101,436.0","105,790.0","111,518.0","113,410.0","118,171.0","125,749.0","133,496.0","131,250.0","133,028.0","135,784.0","130,296.0","128,925.0","124,284.0","119,314.0","117,750.0","128,940.0","149,762.0","158,982.0","175,111.0","173,151.0","174,747.0","174,343.0","184,122.0","204,910.0","219,642.0","214,458.0","209,938.0","239,724.0","246,224.0","258,389.0","249,692.0","252,142.0","250,072.0","244,013.0","237,466.0","207,046.0","214,614.0","235,113.0","244,352.0","240,843.0","257,842.0","246,938.0","221,847.0","236,213.0","233,675.0","227,695.0","244,581.0","274,689.0","291,244.0","308,555.0","336,608.0","338,227.0","333,584.0","343,107.0","347,882.0","351,531.0","368,854.0","349,685.0","340,696.0","326,569.0","315,553.0","314,677.0","325,851.0","362,888.0","386,385.0","388,804.0","394,495.0","409,066.0","415,729.0","440,227.0","423,892.0","415,852.0","416,482.0","400,739.0","413,498.0","433,404.0","407,100.0","414,607.0","453,969.0","451,488.0","449,372.0","450,488.0","476,546.0","477,827.0","463,208.0","483,503.0","481,265.0","509,386.0","523,613.0","573,729.0","581,572.0","604,480.0","638,544.0","663,060.0","664,687.0","689,236.0","723,155.0","734,986.0","768,943.0","781,398.0","786,566.0","807,306.0","835,260.0","857,730.0","892,617.0","877,468.0","808,482.0","805,150.0","813,248.0","789,562.0","842,186.0","835,620.0","819,168.0","823,944.0","803,288.0","792,760.0","775,771.0","752,991.0","743,624.0","774,045.0","742,296.0","756,190.0","850,714.0","881,025.0","910,082.0","986,845.0","988,174.0","1,028,859.0","1,076,363.0","1,132,103.0","1,238,712.0","1,266,792.0","1,325,678.0","1,302,198.0","1,427,763.0","1,445,994.0","1,474,257.0","1,562,902.0","1,627,434.0","1,649,195.0","1,693,540.0","1,615,854.0","1,530,945.0","1,596,852.0","1,518,143.0","1,470,026.0","1,383,404.0","1,367,628.0","1,371,312.0","1,017,898.0","1,252,689.0","1,295,522.0","1,449,623.0","1,572,499.0","1,655,213.0","1,660,840.0","1,807,021.0","1,839,182.0","1,755,046.0","1,868,673.0","1,893,817.0","1,993,384.0","1,979,856.0","1,998,417.0","2,012,317.0","2,047,238.0","2,020,569.0","2,087,436.0","2,126,583.0"
"38","18","  Taxes on production and imports less subsidies \1\","W254RC1","76,249.0","78,437.0","80,549.0","82,053.0","83,730.0","85,715.0","87,772.0","89,327.0","92,888.0","94,135.0","97,162.0","99,087.0","98,457.0","100,583.0","101,687.0","104,441.0","108,656.0","110,481.0","113,680.0","115,143.0","117,250.0","121,176.0","123,882.0","124,072.0","124,601.0","128,747.0","133,635.0","136,209.0","136,538.0","140,020.0","142,625.0","145,869.0","149,016.0","152,172.0","155,116.0","153,952.0","158,232.0","164,691.0","161,423.0","163,502.0","168,089.0","169,717.0","172,770.0","175,704.0","180,313.0","187,272.0","194,222.0","200,313.0","220,286.0","224,792.0","226,346.0","225,260.0","223,405.0","224,658.0","228,737.0","226,864.0","230,764.0","239,655.0","245,298.0","252,191.0","260,420.0","266,752.0","271,292.0","276,368.0","279,928.0","284,707.0","290,518.0","291,939.0","294,390.0","295,288.0","300,704.0","303,530.0","307,754.0","313,926.0","321,072.0","326,300.0","334,724.0","342,745.0","348,398.0","353,981.0","363,143.0","369,983.0","376,749.0","375,881.0","392,238.0","392,552.0","399,948.0","407,250.0","417,134.0","424,390.0","433,663.0","443,225.0","447,672.0","451,842.0","455,517.0","458,121.0","454,336.0","460,386.0","467,298.0","483,756.0","498,333.0","511,798.0","518,224.0","522,545.0","520,918.0","519,061.0","524,019.0","528,366.0","535,255.0","542,279.0","546,436.0","558,110.0","561,270.0","576,613.0","583,128.0","590,209.0","595,315.0","600,518.0","606,207.0","610,380.0","615,044.0","622,031.0","632,570.0","643,859.0","653,496.0","661,831.0","665,489.0","670,048.0","668,840.0","662,060.0","654,238.0","690,734.0","702,329.0","716,765.0","730,475.0","735,279.0","743,599.0","743,614.0","767,837.0","780,736.0","798,630.0","811,824.0","823,443.0","836,318.0","851,868.0","868,762.0","882,542.0","891,310.0","919,950.0","936,723.0","946,939.0","958,300.0","972,474.0","973,794.0","982,817.0","990,826.0","986,243.0","996,295.0","997,191.0","977,708.0","958,866.0","963,947.0","963,079.0","985,301.0","987,341.0","998,721.0","1,006,877.0","1,012,057.0","1,026,495.0","1,039,971.0","1,035,407.0","1,046,874.0","1,066,567.0","1,064,609.0","1,062,763.0","1,068,577.0","1,082,739.0","1,079,888.0","1,089,942.0"
"39","19","  Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,600.0","227,212.0","232,632.0","250,972.0","255,828.0","259,944.0","263,136.0","275,416.0","278,840.0","282,832.0","288,392.0","297,932.0","300,712.0","305,048.0","310,060.0","316,452.0","320,220.0","324,532.0","331,248.0","352,108.0","359,128.0","364,396.0","370,296.0","379,840.0","382,832.0","386,388.0","391,864.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","745,360.0","752,148.0","753,484.0","754,996.0","764,352.0","774,192.0","783,440.0","795,040.0","810,376.0","823,936.0","838,704.0","843,696.0","859,808.0","867,128.0","879,124.0","887,320.0","915,364.0","918,804.0","921,928.0","934,268.0","957,688.0","957,980.0","959,844.0","970,080.0","986,488.0","987,200.0","990,700.0","988,560.0","961,272.0","966,288.0","963,432.0","966,636.0","972,016.0","984,012.0","988,372.0","992,032.0","912,591.0","916,443.0","924,735.0","919,071.0","942,492.0","945,100.0","947,416.0","967,908.0","1,093,724.0","1,103,284.0","1,109,088.0"
"40","20","  Net interest and miscellaneous payments on assets","W255RC1","31,168.0","32,871.0","34,600.0","35,694.0","37,370.0","39,484.0","41,771.0","43,237.0","44,318.0","45,292.0","45,527.0","45,769.0","46,644.0","47,887.0","50,183.0","52,441.0","53,019.0","54,794.0","58,863.0","62,317.0","66,762.0","71,596.0","75,229.0","80,423.0","84,428.0","85,087.0","86,691.0","87,300.0","86,849.0","89,307.0","90,902.0","92,560.0","95,238.0","103,630.0","110,142.0","114,544.0","115,652.0","117,823.0","118,892.0","122,710.0","128,696.0","134,901.0","143,153.0","157,338.0","172,994.0","180,130.0","186,598.0","205,016.0","208,572.0","228,368.0","255,621.0","260,887.0","272,667.0","283,231.0","277,973.0","276,068.0","281,139.0","282,913.0","295,788.0","307,193.0","313,846.0","332,572.0","348,301.0","349,719.0","349,314.0","346,852.0","344,479.0","351,525.0","366,350.0","367,167.0","366,440.0","360,847.0","359,876.0","366,111.0","373,116.0","378,920.0","386,321.0","383,635.0","396,874.0","412,119.0","432,855.0","442,511.0","449,238.0","446,037.0","451,016.0","449,336.0","446,964.0","452,927.0","424,187.0","410,283.0","407,276.0","392,277.0","387,767.0","385,595.0","379,087.0","382,439.0","382,510.0","375,071.0","367,505.0","360,365.0","358,476.0","361,804.0","364,929.0","378,585.0","383,136.0","376,596.0","373,143.0","373,098.0","370,251.0","378,505.0","384,668.0","393,966.0","403,778.0","409,877.0","415,972.0","429,123.0","460,739.0","479,552.0","489,026.0","482,085.0","473,184.0","478,725.0","490,329.0","509,597.0","547,128.0","565,329.0","573,339.0","574,138.0","577,426.0","575,540.0","564,782.0","548,029.0","521,344.0","490,507.0","475,465.0","474,827.0","487,988.0","477,920.0","458,863.0","439,937.0","409,588.0","398,518.0","394,372.0","411,487.0","460,418.0","481,251.0","516,471.0","528,907.0","553,133.0","571,070.0","583,516.0","616,059.0","634,180.0","639,890.0","682,085.0","697,627.0","691,383.0","688,465.0","678,115.0","715,644.0","667,960.0","560,158.0","514,403.0","509,766.0","507,964.0","485,847.0","482,209.0","481,565.0","473,814.0","436,742.0","459,674.0","457,535.0","453,860.0","419,044.0","455,301.0","430,250.0","477,023.0","443,954.0","467,154.0"
"41","21","  Business current transfer payments (net)","B029RC1","4,716.0","4,827.0","4,837.0","4,812.0","4,617.0","4,463.0","4,225.0","4,123.0","4,131.0","4,104.0","4,153.0","4,240.0","4,540.0","4,695.0","4,874.0","5,007.0","5,576.0","5,889.0","5,647.0","5,848.0","6,298.0","6,570.0","6,972.0","7,312.0","8,356.0","9,097.0","9,276.0","9,415.0","9,549.0","9,394.0","9,050.0","8,551.0","8,160.0","7,823.0","8,029.0","8,312.0","9,352.0","10,034.0","10,731.0","11,379.0","12,282.0","12,699.0","12,958.0","13,069.0","13,159.0","13,392.0","13,709.0","15,728.0","16,441.0","16,559.0","17,105.0","17,547.0","18,640.0","19,151.0","19,520.0","19,953.0","20,300.0","20,905.0","21,883.0","23,636.0","26,684.0","28,647.0","30,140.0","31,161.0","32,203.0","38,146.0","32,787.0","33,104.0","42,051.0","34,517.0","33,249.0","34,028.0","34,013.0","34,352.0","32,482.0","32,328.0","31,116.0","31,674.0","33,165.0","35,064.0","37,232.0","37,664.0","39,129.0","39,038.0","39,374.0","38,969.0","38,872.0","39,501.0","39,752.0","38,654.0","38,482.0","38,666.0","38,624.0","38,362.0","38,879.0","43,011.0","40,205.0","39,303.0","38,701.0","39,347.0","40,709.0","39,701.0","41,264.0","41,180.0","43,616.0","44,899.0","45,834.0","45,510.0","46,812.0","48,199.0","48,927.0","66,659.0","46,901.0","47,356.0","53,498.0","52,490.0","58,940.0","60,415.0","62,614.0","74,347.0","65,241.0","66,388.0","67,863.0","71,765.0","79,077.0","83,277.0","87,208.0","91,698.0","98,485.0","100,489.0","100,127.0","97,483.0","87,767.0","81,411.0","77,489.0","75,983.0","77,740.0","76,370.0","75,946.0","74,979.0","77,841.0","79,467.0","78,523.0","89,568.0","94,525.0","97,437.0","92,968.0","90,703.0","80,803.0","79,107.0","84,029.0","86,425.0","101,484.0","98,804.0","99,635.0","94,317.0","112,612.0","110,369.0","110,137.0","132,622.0","130,900.0","136,251.0","117,735.0","123,761.0","129,320.0","126,495.0","131,081.0","126,962.0","142,648.0","125,617.0","128,261.0","121,831.0","115,728.0","109,966.0","102,552.0","99,510.0","121,857.0","125,836.0","120,072.0"
"42","22","  Current surplus of government enterprises \1\","A108RC1","13.0","-4.0","-32.0","42.0","-677.0","-1,294.0","-1,276.0","-1,549.0","-1,942.0","-1,425.0","-1,754.0","-1,671.0","-1,589.0","-1,256.0","-1,124.0","-654.0","-1,597.0","-2,004.0","-2,423.0","-2,792.0","-2,704.0","-2,134.0","-2,688.0","-3,205.0","-3,952.0","-4,169.0","-4,569.0","-4,729.0","-2,734.0","-2,738.0","-2,634.0","-2,717.0","-2,955.0","-3,082.0","-3,604.0","-3,695.0","-3,646.0","-3,184.0","-1,861.0","-2,698.0","-2,781.0","-2,939.0","-3,117.0","-4,011.0","-4,126.0","-4,768.0","-5,092.0","-6,218.0","-6,649.0","-4,601.0","-5,078.0","-4,358.0","-3,823.0","-3,720.0","-3,871.0","-3,764.0","-2,986.0","-2,490.0","-2,145.0","-1,628.0","-2,118.0","-1,611.0","-1,291.0","-483.0","228.0","1,544.0","1,843.0","1,613.0","1,888.0","1,950.0","1,953.0","2,062.0","2,463.0","2,248.0","1,994.0","1,961.0","1,687.0","5,925.0","6,046.0","6,503.0","6,544.0","6,724.0","6,624.0","6,799.0","4,648.0","3,255.0","2,841.0","2,190.0","5,535.0","7,969.0","8,216.0","9,635.0","9,409.0","10,193.0","10,724.0","9,387.0","9,113.0","11,329.0","11,050.0","11,592.0","12,172.0","12,111.0","11,742.0","11,292.0","15,663.0","15,434.0","15,564.0","15,812.0","16,486.0","16,658.0","17,155.0","17,260.0","17,364.0","18,058.0","17,306.0","17,086.0","16,399.0","16,662.0","16,569.0","15,416.0","17,320.0","16,664.0","16,158.0","14,542.0","14,212.0","12,796.0","9,396.0","6,507.0","5,767.0","3,961.0","8,767.0","2,151.0","4,326.0","4,806.0","9,777.0","9,061.0","6,082.0","4,493.0","2,980.0","2,000.0","107.0","-937.0","-2,706.0","-3,652.0","-4,932.0","-5,729.0","-7,341.0","-7,591.0","-5,923.0","-8,107.0","-10,395.0","-12,825.0","-15,682.0","-15,749.0","-15,587.0","-18,750.0","-20,217.0","-21,204.0","-21,458.0","-21,948.0","-21,830.0","-20,415.0","-19,531.0","-20,743.0","-21,179.0","-22,587.0","-23,466.0","-24,313.0","-23,823.0","-23,129.0","-23,697.0","-24,404.0","-24,462.0","-26,122.0","-28,505.0","-31,797.0","-35,508.0","-38,982.0","-41,418.0"
