"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"29","11","      Equipment","Y033RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","662,433.0","726,935.0","695,657.0","658,024.0","679,021.0","731,182.0","801,604.0","870,793.0","898,336.0","836,092.0","644,308.0","746,702.0","841,719.0","905,920.0"
"30","12","      Intellectual property products","Y001RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","391,133.0","426,053.0","427,987.0","425,913.0","442,175.0","464,888.0","494,997.0","517,462.0","542,355.0","558,803.0","550,922.0","561,320.0","586,113.0","605,803.0"
"31","13","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","633,775.0","637,946.0","643,682.0","682,669.0","744,535.0","818,897.0","872,611.0","806,571.0","654,784.0","497,703.0","392,243.0","382,423.0","384,256.0","433,745.0"
"32","14","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","33,617.0","57,632.0"
"33","15","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-382,311.0","-482,688.0","-504,188.0","-584,865.0","-641,579.0","-731,875.0","-777,126.0","-786,197.0","-703,554.0","-546,869.0","-392,202.0","-462,551.0","-445,874.0","-430,768.0"
"34","16","  Exports","A020RX1","168,372.0","186,472.0","189,636.0","203,869.0","242,300.0","261,450.0","259,796.0","271,139.0","277,665.0","306,940.0","337,365.0","373,703.0","378,296.0","349,389.0","340,380.0","368,157.0","380,467.0","409,723.0","454,371.0","528,026.0","589,107.0","641,082.0","683,553.0","730,905.0","754,807.0","821,478.0","905,867.0","979,989.0","1,096,767.0","1,122,405.0","1,174,094.0","1,272,383.0","1,200,474.0","1,178,104.0","1,197,217.0","1,309,281.0","1,388,396.0","1,512,416.0","1,647,305.0","1,741,846.0","1,583,801.0","1,765,564.0","1,890,542.0","1,957,422.0"
"35","17","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","819,029.0","902,030.0","846,503.0","817,084.0","832,403.0","902,756.0","969,170.0","1,060,515.0","1,140,385.0","1,210,446.0","1,064,687.0","1,217,159.0","1,303,926.0","1,353,212.0"
"36","18","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","354,404.0","368,160.0","352,310.0","360,492.0","364,127.0","406,312.0","418,373.0","450,799.0","506,225.0","530,490.0","519,115.0","548,112.0","586,285.0","603,716.0"
"37","19","  Imports","A021RX1","243,722.0","254,119.0","267,682.0","297,805.0","311,624.0","304,564.0","270,715.0","323,649.0","359,030.0","390,137.0","396,616.0","370,280.0","380,009.0","375,232.0","422,571.0","525,435.0","559,534.0","607,349.0","643,286.0","668,565.0","698,008.0","722,985.0","721,911.0","772,526.0","839,327.0","939,453.0","1,014,618.0","1,102,862.0","1,251,400.0","1,397,662.0","1,556,404.0","1,755,071.0","1,704,662.0","1,762,968.0","1,838,796.0","2,041,156.0","2,165,523.0","2,298,613.0","2,350,859.0","2,288,715.0","1,976,003.0","2,228,116.0","2,336,416.0","2,388,190.0"
"38","20","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,286,052.0","1,454,385.0","1,407,291.0","1,459,850.0","1,531,273.0","1,701,362.0","1,814,654.0","1,922,204.0","1,957,461.0","1,885,089.0","1,587,314.0","1,827,975.0","1,923,435.0","1,964,302.0"
"39","21","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","267,726.0","297,249.0","294,691.0","299,969.0","303,848.0","335,669.0","346,079.0","371,570.0","388,967.0","401,059.0","388,690.0","399,384.0","411,754.0","422,812.0"
"40","22","Government consumption expenditures and gross investment","A822RX1","1,488,033.0","1,457,705.0","1,430,975.0","1,424,172.0","1,419,573.0","1,451,842.0","1,483,810.0","1,491,561.0","1,509,209.0","1,553,728.0","1,582,609.0","1,612,462.0","1,628,045.0","1,658,035.0","1,721,586.0","1,783,249.0","1,904,020.0","2,007,667.0","2,066,928.0","2,094,763.0","2,155,063.0","2,224,271.0","2,250,877.0","2,262,087.0","2,243,309.0","2,245,543.0","2,257,498.0","2,279,158.0","2,322,024.0","2,370,494.0","2,451,696.0","2,498,199.0","2,592,406.0","2,705,762.0","2,764,268.0","2,808,188.0","2,826,176.0","2,869,282.0","2,914,409.0","2,994,753.0","3,089,091.0","3,091,387.0","2,992,339.0","2,963,077.0"
"41","23","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","815,349.0","817,722.0","849,843.0","910,844.0","972,960.0","1,017,116.0","1,034,809.0","1,060,889.0","1,078,696.0","1,152,313.0","1,217,685.0","1,270,652.0","1,237,899.0","1,220,262.0"
"42","24","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","516,945.0","512,250.0","529,992.0","567,302.0","615,433.0","652,654.0","665,519.0","678,819.0","695,617.0","748,072.0","788,276.0","813,526.0","794,600.0","769,055.0"
"43","25","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","298,499.0","305,384.0","319,689.0","343,348.0","357,486.0","364,516.0","369,354.0","382,142.0","383,116.0","404,224.0","429,409.0","457,093.0","443,278.0","451,170.0"
"44","26","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,643,634.0","1,689,147.0","1,751,460.0","1,802,393.0","1,795,291.0","1,792,764.0","1,792,327.0","1,808,844.0","1,836,138.0","1,842,436.0","1,871,406.0","1,820,750.0","1,754,471.0","1,742,805.0"
"45","27","Residual","A960RX1","-164,200.0","-160,700.0","-139,300.0","-118,400.0","-86,200.0","-92,100.0","-122,100.0","-107,400.0","-92,300.0","-68,000.0","-48,200.0","-45,300.0","-25,200.0","-90,000.0","-108,800.0","-80,700.0","-110,800.0","-133,400.0","-132,200.0","-113,100.0","-100,800.0","-110,300.0","-118,200.0","-104,100.0","-92,600.0","-73,200.0","-63,600.0","-49,200.0","-33,500.0","-24,900.0","-114,000.0","-84,300.0","-90,500.0","-70,300.0","-45,400.0","-19,200.0","-1,700.0","-3,500.0","-9,500.0","-13,400.0","100.0","-1,200.0","-9,000.0","-13,000.0"
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","index and the 2009 current-dollar value of the corresponding series, divided by 100. Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","corresponding chained-dollar estimates are usually not additive. The residual line is the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
