"","Table 1#12# National Income by Type of Income                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Wages and salaries","A034RC1","50,460.0","46,214.0","39,157.0","30,514.0","29,027.0","33,734.0","36,722.0","41,954.0","46,139.0","43,013.0","45,985.0","49,860.0","62,085.0","82,098.0","105,786.0","116,749.0","117,493.0","112,005.0","123,097.0","135,550.0","134,733.0","147,253.0","171,607.0","185,636.0","198,989.0","197,263.0","212,151.0","229,026.0","239,951.0","241,317.0","259,842.0","272,855.0","280,519.0","299,358.0","314,851.0","337,788.0","363,757.0","400,321.0","429,009.0","471,972.0","518,333.0"
"22","4","    Government","A553RC1","4,961.0","5,179.0","5,284.0","4,992.0","5,163.0","6,097.0","6,527.0","7,895.0","7,524.0","8,258.0","8,241.0","8,464.0","10,190.0","15,976.0","26,617.0","32,968.0","34,902.0","20,700.0","17,513.0","19,020.0","20,827.0","22,633.0","29,229.0","33,378.0","34,338.0","34,905.0","36,596.0","38,802.0","41,013.0","44,122.0","46,054.0","49,182.0","52,471.0","56,347.0","60,026.0","64,925.0","69,910.0","78,389.0","86,483.0","96,689.0","105,600.0"
"23","5","    Other","B203RC1","45,499.0","41,035.0","33,873.0","25,522.0","23,864.0","27,637.0","30,195.0","34,059.0","38,615.0","34,755.0","37,744.0","41,396.0","51,895.0","66,122.0","79,169.0","83,781.0","82,591.0","91,305.0","105,584.0","116,530.0","113,906.0","124,620.0","142,378.0","152,258.0","164,651.0","162,358.0","175,555.0","190,224.0","198,938.0","197,195.0","213,788.0","223,673.0","228,048.0","243,011.0","254,825.0","272,863.0","293,847.0","321,932.0","342,526.0","375,283.0","412,733.0"
"24","6","  Supplements to wages and salaries","A038RC1","984.0","993.0","955.0","864.0","796.0","855.0","986.0","1,379.0","2,220.0","2,454.0","2,624.0","2,948.0","4,164.0","6,005.0","6,984.0","7,651.0","8,900.0","10,585.0","9,394.0","8,920.0","9,779.0","11,212.0","14,320.0","15,705.0","16,533.0","17,180.0","18,748.0","20,614.0","23,029.0","23,802.0","26,467.0","28,996.0","30,569.0","33,554.0","36,328.0","39,033.0","42,590.0","49,965.0","53,934.0","60,129.0","67,683.0"
"25","7","    Employer contributions for employee pension and insurance funds \1\","B040RC1","976.0","986.0","950.0","856.0","792.0","848.0","974.0","1,137.0","1,190.0","1,255.0","1,320.0","1,572.0","2,448.0","3,997.0","4,656.0","5,114.0","5,437.0","5,519.0","5,463.0","5,916.0","6,430.0","7,839.0","10,226.0","11,562.0","12,323.0","12,568.0","13,574.0","14,946.0","16,661.0","17,453.0","18,612.0","19,746.0","20,959.0","22,372.0","23,923.0","26,401.0","29,497.0","33,119.0","35,915.0","40,179.0","44,929.0"
"26","8","    Employer contributions for government social insurance","B039RC1","8.0","7.0","5.0","8.0","4.0","7.0","12.0","242.0","1,030.0","1,199.0","1,304.0","1,376.0","1,716.0","2,008.0","2,328.0","2,537.0","3,463.0","5,066.0","3,931.0","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"27","9","Proprietors' income with IVA and CCAdj","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"28","10","  Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"29","11","  Nonfarm","A045RC1","8,356.0","6,975.0","5,281.0","3,262.0","3,044.0","4,427.0","5,230.0","6,446.0","6,883.0","6,587.0","7,097.0","8,169.0","10,624.0","13,653.0","16,682.0","17,908.0","19,000.0","21,460.0","20,237.0","22,575.0","22,701.0","24,642.0","27,291.0","28,727.0","29,848.0","30,506.0","33,556.0","35,231.0","37,235.0","37,736.0","40,302.0","39,939.0","41,950.0","44,017.0","45,388.0","49,351.0","51,633.0","54,915.0","57,833.0","62,172.0","64,172.0"
"30","12","Rental income of persons with CCAdj","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"31","13","Corporate profits with IVA and CCAdj","A051RC1","10,833.0","7,498.0","2,951.0","-190.0","-175.0","2,517.0","4,018.0","6,230.0","7,052.0","5,008.0","6,592.0","9,872.0","15,693.0","20,789.0","24,900.0","24,972.0","20,452.0","18,243.0","24,164.0","31,393.0","29,058.0","36,059.0","41,198.0","39,665.0","40,294.0","39,460.0","50,168.0","49,646.0","49,140.0","43,857.0","55,514.0","54,680.0","55,945.0","64,043.0","70,508.0","77,708.0","89,289.0","96,122.0","93,866.0","101,747.0","98,416.0"
"32","14","  Taxes on corporate income","A054RC1","1,369.0","842.0","498.0","385.0","521.0","744.0","951.0","1,409.0","1,502.0","1,029.0","1,441.0","2,834.0","7,610.0","11,415.0","14,074.0","12,949.0","10,689.0","9,104.0","11,268.0","12,421.0","10,203.0","17,925.0","22,559.0","19,399.0","20,287.0","17,624.0","22,041.0","21,993.0","21,423.0","18,964.0","23,727.0","22,782.0","22,890.0","24,095.0","26,371.0","28,155.0","31,065.0","33,881.0","32,899.0","39,628.0","39,977.0"
"33","15","  Profits after tax with IVA and CCAdj","A551RC1","9,464.0","6,656.0","2,453.0","-575.0","-696.0","1,773.0","3,067.0","4,821.0","5,550.0","3,979.0","5,151.0","7,038.0","8,083.0","9,374.0","10,826.0","12,023.0","9,763.0","9,139.0","12,896.0","18,972.0","18,855.0","18,134.0","18,639.0","20,266.0","20,007.0","21,836.0","28,127.0","27,653.0","27,717.0","24,893.0","31,787.0","31,898.0","33,055.0","39,948.0","44,137.0","49,553.0","58,224.0","62,241.0","60,967.0","62,119.0","58,439.0"
"34","16","    Net dividends","B056RC1","5,801.0","5,468.0","4,066.0","2,544.0","2,038.0","2,567.0","2,844.0","4,523.0","4,660.0","3,165.0","3,766.0","4,016.0","4,431.0","4,254.0","4,446.0","4,617.0","4,600.0","5,574.0","6,321.0","7,036.0","7,238.0","8,838.0","8,570.0","8,560.0","8,886.0","9,282.0","10,478.0","11,280.0","11,742.0","11,566.0","12,570.0","13,366.0","13,901.0","15,027.0","16,236.0","18,194.0","20,205.0","20,670.0","21,510.0","23,535.0","24,239.0"
"35","17","    Undistributed profits with IVA and CCAdj","A127RC1","3,663.0","1,188.0","-1,613.0","-3,119.0","-2,734.0","-794.0","223.0","298.0","890.0","814.0","1,385.0","3,022.0","3,652.0","5,120.0","6,380.0","7,406.0","5,163.0","3,565.0","6,575.0","11,936.0","11,617.0","9,296.0","10,069.0","11,706.0","11,121.0","12,554.0","17,649.0","16,373.0","15,975.0","13,327.0","19,217.0","18,532.0","19,154.0","24,921.0","27,901.0","31,359.0","38,019.0","41,571.0","39,457.0","38,584.0","34,200.0"
"36","18","Net interest and miscellaneous payments","W255RC1","4,572.0","4,827.0","4,816.0","4,483.0","3,975.0","4,025.0","4,062.0","3,808.0","3,685.0","3,648.0","3,649.0","3,337.0","3,274.0","3,203.0","2,873.0","2,438.0","2,333.0","1,906.0","2,454.0","2,617.0","2,893.0","3,207.0","3,709.0","4,116.0","4,785.0","5,680.0","6,299.0","6,944.0","8,112.0","9,641.0","9,705.0","10,672.0","12,571.0","14,349.0","15,282.0","17,541.0","19,753.0","22,515.0","25,658.0","27,557.0","33,584.0"
"37","19","Taxes on production and imports","W056RC1","6,824.0","6,971.0","6,669.0","6,570.0","6,864.0","7,625.0","7,990.0","8,461.0","8,941.0","8,932.0","9,146.0","9,795.0","11,054.0","11,512.0","12,431.0","13,711.0","15,095.0","16,832.0","18,106.0","19,726.0","20,904.0","22,950.0","24,745.0","27,121.0","29,101.0","28,889.0","31,467.0","34,237.0","36,616.0","37,720.0","41,052.0","44,547.0","46,968.0","50,382.0","53,386.0","57,269.0","60,709.0","63,211.0","67,937.0","76,407.0","83,856.0"
"38","20","Less: Subsidies \2\","A107RC1","46.0","74.0","145.0","118.0","166.0","467.0","599.0","288.0","347.0","480.0","797.0","750.0","458.0","523.0","585.0","1,045.0","1,148.0","1,362.0","395.0","537.0","495.0","839.0","1,044.0","770.0","510.0","322.0","196.0","736.0","1,125.0","1,360.0","1,058.0","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"39","21","Business current transfer payments (net)","B029RC1","511.0","467.0","538.0","579.0","515.0","502.0","506.0","533.0","524.0","410.0","435.0","451.0","527.0","545.0","642.0","812.0","891.0","692.0","715.0","708.0","689.0","824.0","1,160.0","1,197.0","1,154.0","915.0","1,297.0","1,651.0","1,823.0","1,703.0","1,658.0","1,742.0","1,901.0","2,117.0","2,529.0","3,004.0","3,485.0","3,392.0","3,628.0","4,183.0","4,798.0"
"40","22","  To persons (net)","B931RC1","398.0","352.0","427.0","471.0","417.0","405.0","392.0","394.0","375.0","257.0","281.0","287.0","350.0","342.0","387.0","433.0","500.0","428.0","392.0","371.0","355.0","555.0","873.0","888.0","842.0","567.0","930.0","1,235.0","1,395.0","1,240.0","1,322.0","1,312.0","1,361.0","1,549.0","1,868.0","2,187.0","2,265.0","2,113.0","2,262.0","2,788.0","3,331.0"
"41","23","  To government (net)","W061RC1","113.0","115.0","111.0","108.0","98.0","97.0","114.0","139.0","149.0","153.0","154.0","164.0","177.0","203.0","255.0","379.0","391.0","264.0","323.0","337.0","334.0","269.0","287.0","309.0","312.0","348.0","367.0","416.0","428.0","463.0","336.0","430.0","540.0","568.0","661.0","817.0","1,220.0","1,279.0","1,366.0","1,395.0","1,467.0"
"42","24","  To the rest of the world (net)","W237RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"43","25","Current surplus of government enterprises \2\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","544.0","463.0","335.0","379.0","799.0","763.0","680.0","272.0","155.0","304.0","5.0"
"44",NA,"Addenda for corporate cash flow:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","26","  Net cash flow with IVA","A904RC1","8,891.0","6,268.0","3,139.0","1,121.0","1,274.0","3,310.0","4,407.0","4,546.0","5,634.0","5,634.0","6,209.0","8,062.0","9,236.0","11,508.0","12,932.0","14,154.0","12,131.0","11,565.0","16,371.0","23,424.0","24,029.0","22,584.0","25,205.0","27,822.0","28,421.0","30,894.0","37,217.0","38,479.0","40,563.0","39,752.0","46,886.0","47,113.0","48,801.0","55,883.0","60,405.0","65,852.0","75,240.0","82,514.0","84,638.0","88,688.0","89,981.0"
"46","27","    Undistributed profits with IVA and CCAdj","A127RC1","3,663.0","1,188.0","-1,613.0","-3,119.0","-2,734.0","-794.0","223.0","298.0","890.0","814.0","1,385.0","3,022.0","3,652.0","5,120.0","6,380.0","7,406.0","5,163.0","3,565.0","6,575.0","11,936.0","11,617.0","9,296.0","10,069.0","11,706.0","11,121.0","12,554.0","17,649.0","16,373.0","15,975.0","13,327.0","19,217.0","18,532.0","19,154.0","24,921.0","27,901.0","31,359.0","38,019.0","41,571.0","39,457.0","38,584.0","34,200.0"
"47","28","    Consumption of fixed capital","A438RC1","5,228.0","5,080.0","4,752.0","4,240.0","4,008.0","4,104.0","4,184.0","4,248.0","4,744.0","4,820.0","4,824.0","5,040.0","5,584.0","6,388.0","6,552.0","6,748.0","6,968.0","8,000.0","9,796.0","11,488.0","12,412.0","13,288.0","15,136.0","16,116.0","17,300.0","18,340.0","19,560.0","22,088.0","24,564.0","26,396.0","27,620.0","28,488.0","29,524.0","30,836.0","32,416.0","34,412.0","37,140.0","40,860.0","45,096.0","49,992.0","55,704.0"
"48","29","    Less: Capital transfers paid (net)","W976RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-8.0","-18.0","-24.0","-29.0","-49.0","-93.0","-123.0","-126.0","-88.0","-81.0","-81.0","-83.0","-85.0","-112.0","-77.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Proprietors' income with IVA and CCAdj","A041RC1","14,015.0","10,872.0","8,315.0","5,012.0","5,268.0","7,007.0","10,124.0","10,393.0","12,521.0","10,598.0","11,120.0","12,234.0","16,650.0","23,341.0","28,225.0","29,346.0","30,824.0","35,671.0","34,579.0","39,279.0","34,690.0","37,514.0","42,594.0","43,040.0","42,017.0","42,255.0","44,272.0","45,819.0","47,785.0","50,158.0","50,346.0","50,587.0","53,199.0","55,234.0","56,398.0","59,132.0","63,662.0","67,933.0","69,475.0","73,832.0","77,005.0"
"51","31","    Farm","B042RC1","5,659.0","3,897.0","3,034.0","1,750.0","2,224.0","2,580.0","4,894.0","3,947.0","5,638.0","4,011.0","4,023.0","4,065.0","6,026.0","9,688.0","11,543.0","11,438.0","11,824.0","14,211.0","14,342.0","16,704.0","11,989.0","12,872.0","15,303.0","14,313.0","12,169.0","11,749.0","10,716.0","10,588.0","10,550.0","12,422.0","10,044.0","10,648.0","11,249.0","11,217.0","11,010.0","9,781.0","12,029.0","13,018.0","11,642.0","11,660.0","12,833.0"
"52","32","      Proprietors' income with IVA","A043RC1","5,717.0","3,938.0","3,042.0","1,732.0","2,213.0","2,595.0","4,900.0","3,959.0","5,669.0","4,054.0","4,047.0","4,085.0","6,079.0","9,837.0","11,696.0","11,628.0","12,009.0","14,426.0","14,643.0","17,108.0","12,421.0","13,292.0","15,828.0","14,878.0","12,701.0","12,237.0","11,157.0","11,111.0","11,140.0","13,028.0","10,653.0","11,204.0","11,776.0","11,734.0","11,509.0","10,276.0","12,547.0","13,573.0","12,257.0","12,344.0","13,629.0"
"53","33","      Capital consumption adjustment","B044RC1","-58.0","-41.0","-8.0","18.0","11.0","-15.0","-6.0","-12.0","-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-215.0","-301.0","-404.0","-432.0","-420.0","-525.0","-565.0","-532.0","-488.0","-441.0","-523.0","-590.0","-606.0","-609.0","-556.0","-527.0","-517.0","-499.0","-495.0","-518.0","-555.0","-615.0","-684.0","-796.0"
"54","34","    Nonfarm","A045RC1","8,356.0","6,975.0","5,281.0","3,262.0","3,044.0","4,427.0","5,230.0","6,446.0","6,883.0","6,587.0","7,097.0","8,169.0","10,624.0","13,653.0","16,682.0","17,908.0","19,000.0","21,460.0","20,237.0","22,575.0","22,701.0","24,642.0","27,291.0","28,727.0","29,848.0","30,506.0","33,556.0","35,231.0","37,235.0","37,736.0","40,302.0","39,939.0","41,950.0","44,017.0","45,388.0","49,351.0","51,633.0","54,915.0","57,833.0","62,172.0","64,172.0"
"55","35","      Proprietors' income (without IVA and CCAdj)","B046RC1","9,009.0","7,007.0","5,323.0","3,450.0","4,012.0","4,927.0","5,679.0","6,929.0","7,362.0","6,816.0","7,700.0","8,650.0","11,701.0","14,507.0","17,191.0","18,332.0","19,430.0","23,495.0","21,992.0","23,322.0","22,340.0","25,810.0","27,828.0","28,630.0","30,029.0","30,523.0","33,799.0","35,633.0","37,498.0","37,935.0","40,509.0","40,085.0","42,206.0","44,163.0","45,478.0","49,399.0","52,074.0","55,590.0","58,551.0","63,016.0","64,995.0"
"56","36","      Inventory valuation adjustment","B179RC1","142.0","755.0","611.0","295.0","-525.0","-54.0","-50.0","-120.0","-29.0","221.0","-166.0","-45.0","-615.0","-367.0","-156.0","-69.0","-106.0","-1,705.0","-1,471.0","-410.0","463.0","-1,094.0","-327.0","201.0","-168.0","-49.0","-198.0","-502.0","-300.0","-56.0","-32.0","25.0","3.0","-4.0","-44.0","-56.0","-166.0","-224.0","-204.0","-413.0","-464.0"
"57","37","      Capital consumption adjustment","B047RC1","-795.0","-787.0","-653.0","-483.0","-443.0","-446.0","-399.0","-363.0","-450.0","-450.0","-437.0","-436.0","-462.0","-487.0","-353.0","-355.0","-324.0","-330.0","-284.0","-337.0","-102.0","-74.0","-210.0","-104.0","-13.0","32.0","-45.0","100.0","37.0","-143.0","-175.0","-171.0","-259.0","-142.0","-46.0","8.0","-275.0","-451.0","-514.0","-431.0","-359.0"
"58","38","  Rental income of persons with CCAdj","A048RC1","6,062.0","5,369.0","4,438.0","3,598.0","2,857.0","2,515.0","2,563.0","2,683.0","2,965.0","3,479.0","3,715.0","3,846.0","4,414.0","5,453.0","6,024.0","6,337.0","6,578.0","6,898.0","6,889.0","7,484.0","7,798.0","8,779.0","9,719.0","10,816.0","12,028.0","13,061.0","13,422.0","13,668.0","14,053.0","14,796.0","15,557.0","16,463.0","17,200.0","18,046.0","18,727.0","18,831.0","19,337.0","19,910.0","20,346.0","20,111.0","20,374.0"
"59","39","    Rental income of persons (without CCAdj)","B049RC1","6,200.0","5,495.0","4,519.0","3,600.0","2,857.0","2,555.0","2,599.0","2,737.0","3,061.0","3,586.0","3,822.0","3,967.0","4,575.0","5,647.0","6,254.0","6,612.0","6,889.0","7,260.0","7,388.0","8,040.0","8,346.0","9,333.0","10,331.0","11,438.0","12,641.0","13,661.0","14,030.0","14,293.0","14,671.0","15,400.0","16,156.0","17,035.0","17,739.0","18,558.0","19,221.0","19,331.0","19,883.0","20,521.0","21,028.0","20,917.0","21,354.0"
"60","40","    Capital consumption adjustment","B050RC1","-138.0","-126.0","-81.0","-2.0","0.0","-40.0","-36.0","-54.0","-96.0","-107.0","-107.0","-121.0","-161.0","-194.0","-230.0","-275.0","-311.0","-362.0","-499.0","-556.0","-548.0","-554.0","-612.0","-622.0","-613.0","-600.0","-608.0","-625.0","-618.0","-604.0","-599.0","-572.0","-539.0","-512.0","-494.0","-500.0","-546.0","-611.0","-682.0","-806.0","-980.0"
"61","41","  Corporate profits with IVA and CCAdj","A051RC1","10,833.0","7,498.0","2,951.0","-190.0","-175.0","2,517.0","4,018.0","6,230.0","7,052.0","5,008.0","6,592.0","9,872.0","15,693.0","20,789.0","24,900.0","24,972.0","20,452.0","18,243.0","24,164.0","31,393.0","29,058.0","36,059.0","41,198.0","39,665.0","40,294.0","39,460.0","50,168.0","49,646.0","49,140.0","43,857.0","55,514.0","54,680.0","55,945.0","64,043.0","70,508.0","77,708.0","89,289.0","96,122.0","93,866.0","101,747.0","98,416.0"
"62","42","    Corporate profits with IVA","A052RC1","11,383.0","7,819.0","2,976.0","-299.0","-311.0","2,590.0","4,144.0","6,369.0","7,598.0","5,566.0","7,064.0","10,436.0","16,291.0","21,272.0","25,073.0","24,499.0","19,829.0","20,300.0","26,737.0","34,350.0","31,898.0","38,816.0","44,181.0","42,263.0","42,152.0","40,475.0","49,705.0","49,932.0","49,655.0","44,775.0","55,677.0","53,680.0","54,175.0","59,230.0","64,470.0","70,952.0","81,865.0","88,277.0","86,050.0","94,255.0","90,782.0"
