"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"31","12","    Change in private inventories \1\","A357RC1","5,441.0","5,190.0","3,114.0","-913.0","3,011.0","4,997.0","-485.0","1,396.0","5,586.0","8,167.0","4,668.0","2,949.0","579.0","6,766.0","6,151.0","-2,501.0","-886.0","4,562.0","-4,023.0","11,797.0","4,747.0","12,300.0","-3,806.0","-742.0","-2,200.0","-7,122.0","4,968.0","9,216.0","10,121.0","9,760.0","7,515.0","-2,138.0","7,094.0","12,373.0","18,256.0","13,653.0","4,897.0","7,045.0","13,690.0","4,671.0","1,900.0","6,733.0","8,415.0","3,637.0","7,663.0","9,802.0","-17,143.0","-16,262.0","27,891.0","1,613.0","33,900.0","26,535.0","166.0","-4,550.0","7,790.0","1,076.0","-3,172.0","-10,224.0","-17,092.0","-2,336.0","29,070.0","28,157.0","29,754.0","8,907.0","14,038.0","13,674.0","19,771.0","22,251.0","14,089.0","9,495.0","7,805.0","2,345.0","-419.0","-5,772.0","5,513.0","17,486.0","8,416.0","4,700.0","-13,363.0","-16,797.0","9,171.0","18,041.0","8,020.0","-4,583.0","12,556.0","11,249.0","4,749.0","-1,163.0","15,930.0","8,007.0","-2,834.0","31,749.0","17,261.0","14,203.0","21,455.0","24,213.0","11,518.0","10,631.0","-5,174.0","-2,167.0","20,214.0","39,658.0","22,138.0","30,307.0","13,144.0","1,213.0","-11,946.0","-11,937.0","-3,295.0","11,701.0","12,396.0","26,088.0","21,251.0","35,394.0","35,678.0","31,462.0","35,165.0","14,632.0","20,639.0","27,222.0","31,887.0","23,576.0","14,220.0","23,978.0","-1,030.0","32,494.0","24,885.0","19,516.0","13,889.0","13,335.0","3,709.0","-6,274.0","-8,751.0","1,824.0","10,019.0","-1,703.0","2,693.0","-3,637.0","15,054.0","4,361.0","14,528.0","27,285.0","24,264.0","35,880.0","33,126.0","10,068.0","-1,748.0","29,247.0","48,422.0","32,612.0","24,576.0","23,815.0","3,606.0","43,174.0","34,553.0","-5,952.0","-1,567.0","23,141.0","-9,696.0","-40,353.0","-5,572.0","-43,611.0","-71,166.0","-1,929.0","-10,880.0","14,202.0","54,889.0","31,757.0","-27,271.0","-3,273.0","-53,232.0","44,702.0","32,760.0","-4,301.0","3,800.0","-26,321.0","41,429.0","46,577.0","81,097.0"
"32","13","Services \2\","A341RC1","461,801.0","475,431.0","486,976.0","498,411.0","508,648.0","517,293.0","529,012.0","539,280.0","553,896.0","565,588.0","576,404.0","589,352.0","608,472.0","619,207.0","629,397.0","642,681.0","655,019.0","670,224.0","683,689.0","700,090.0","715,600.0","737,899.0","759,622.0","787,408.0","813,092.0","838,725.0","852,048.0","877,359.0","896,222.0","911,723.0","932,988.0","960,204.0","986,658.0","1,010,268.0","1,037,756.0","1,064,421.0","1,096,350.0","1,129,014.0","1,154,552.0","1,184,364.0","1,213,247.0","1,245,805.0","1,274,863.0","1,318,864.0","1,356,013.0","1,392,355.0","1,435,999.0","1,493,443.0","1,533,884.0","1,578,025.0","1,608,438.0","1,646,522.0","1,681,773.0","1,713,040.0","1,760,393.0","1,817,800.0","1,866,134.0","1,900,102.0","1,952,976.0","1,964,982.0","2,004,376.0","2,055,990.0","2,099,298.0","2,137,949.0","2,208,607.0","2,251,483.0","2,311,854.0","2,350,665.0","2,390,596.0","2,432,647.0","2,470,972.0","2,510,942.0","2,556,930.0","2,602,187.0","2,642,450.0","2,695,688.0","2,756,570.0","2,812,139.0","2,877,059.0","2,939,384.0","2,996,737.0","3,054,749.0","3,103,172.0","3,162,060.0","3,223,452.0","3,293,411.0","3,349,549.0","3,397,105.0","3,436,142.0","3,494,620.0","3,541,152.0","3,589,331.0","3,672,381.0","3,729,589.0","3,796,020.0","3,857,418.0","3,892,508.0","3,939,285.0","4,005,392.0","4,044,625.0","4,094,846.0","4,153,161.0","4,211,012.0","4,254,057.0","4,307,617.0","4,375,725.0","4,434,490.0","4,472,192.0","4,528,510.0","4,595,608.0","4,635,947.0","4,718,344.0","4,766,208.0","4,842,413.0","4,908,333.0","4,981,195.0","5,034,387.0","5,127,559.0","5,190,556.0","5,261,787.0","5,328,544.0","5,405,363.0","5,506,910.0","5,619,641.0","5,720,951.0","5,829,259.0","5,907,974.0","6,006,364.0","6,109,188.0","6,167,699.0","6,212,385.0","6,269,048.0","6,365,819.0","6,463,886.0","6,538,646.0","6,625,877.0","6,710,182.0","6,816,544.0","6,890,143.0","6,987,856.0","7,125,214.0","7,226,086.0","7,345,111.0","7,454,458.0","7,586,499.0","7,694,468.0","7,832,458.0","7,947,626.0","8,068,366.0","8,187,448.0","8,285,960.0","8,408,144.0","8,551,723.0","8,647,842.0","8,771,782.0","8,899,616.0","9,011,035.0","9,130,476.0","9,207,849.0","9,186,155.0","9,138,882.0","9,180,274.0","9,232,876.0","9,315,893.0","9,379,572.0","9,483,083.0","9,561,477.0","9,638,262.0","9,697,045.0","9,806,059.0","9,891,175.0","9,915,576.0","10,040,144.0","10,110,660.0","10,186,582.0","10,223,074.0","10,279,906.0","10,326,989.0","10,380,220.0"
"33","14","Structures","A755RC1","109,018.0","110,534.0","111,911.0","108,629.0","108,719.0","108,896.0","112,192.0","117,167.0","121,830.0","129,305.0","133,635.0","138,398.0","145,355.0","146,608.0","149,188.0","157,412.0","164,436.0","164,626.0","167,315.0","167,309.0","167,071.0","171,607.0","171,631.0","166,250.0","166,378.0","164,587.0","171,830.0","179,978.0","191,976.0","193,382.0","192,271.0","204,100.0","213,609.0","233,211.0","238,188.0","241,781.0","247,397.0","276,640.0","292,962.0","304,402.0","301,154.0","313,657.0","329,547.0","336,399.0","336,506.0","311,132.0","319,634.0","343,221.0","354,736.0","358,245.0","355,293.0","365,876.0","356,648.0","350,694.0","342,561.0","348,920.0","358,327.0","364,636.0","386,791.0","398,069.0","416,366.0","433,839.0","442,887.0","449,109.0","460,928.0","468,146.0","472,251.0","481,293.0","493,242.0","492,491.0","495,434.0","498,137.0","501,184.0","507,826.0","518,054.0","527,721.0","518,761.0","533,909.0","533,689.0","541,351.0","542,991.0","539,972.0","549,465.0","549,771.0","566,178.0","556,317.0","546,142.0","528,158.0","512,931.0","517,522.0","515,876.0","517,641.0","531,890.0","539,287.0","538,183.0","555,186.0","557,466.0","567,755.0","583,392.0","607,239.0","606,321.0","630,271.0","636,302.0","643,397.0","649,725.0","650,431.0","665,203.0","673,681.0","688,525.0","716,121.0","729,733.0","748,400.0","762,085.0","766,624.0","783,277.0","788,563.0","798,155.0","839,361.0","868,160.0","884,015.0","895,143.0","905,830.0","917,266.0","938,750.0","965,200.0","978,971.0","992,899.0","1,005,364.0","1,014,830.0","1,052,267.0","1,055,183.0","1,040,631.0","1,049,250.0","1,051,325.0","1,047,269.0","1,069,791.0","1,094,712.0","1,111,671.0","1,159,209.0","1,190,580.0","1,214,248.0","1,266,553.0","1,300,522.0","1,331,438.0","1,374,842.0","1,415,828.0","1,463,199.0","1,501,560.0","1,530,981.0","1,529,892.0","1,501,300.0","1,483,491.0","1,482,691.0","1,485,093.0","1,469,000.0","1,436,224.0","1,395,064.0","1,390,971.0","1,372,751.0","1,318,187.0","1,225,692.0","1,146,616.0","1,117,374.0","1,074,557.0","1,029,950.0","1,075,158.0","1,039,372.0","1,047,191.0","1,009,830.0","1,038,096.0","1,069,062.0","1,097,373.0","1,119,176.0","1,137,459.0","1,156,366.0","1,198,401.0","1,182,978.0","1,230,361.0","1,275,409.0"
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","15","  Motor vehicle output","A953RC1","45,644.0","42,813.0","47,061.0","43,200.0","38,287.0","41,992.0","41,066.0","27,410.0","51,660.0","48,977.0","47,676.0","50,809.0","54,618.0","54,866.0","50,577.0","59,865.0","67,989.0","63,942.0","62,275.0","60,143.0","55,671.0","55,085.0","63,735.0","60,224.0","48,200.0","53,794.0","63,125.0","64,207.0","74,446.0","78,805.0","78,614.0","83,354.0","94,034.0","94,441.0","97,581.0","99,531.0","96,879.0","108,306.0","106,126.0","114,797.0","120,008.0","107,990.0","101,473.0","95,222.0","91,659.0","75,922.0","82,944.0","97,798.0","98,798.0","106,238.0","102,789.0","93,910.0","87,190.0","102,148.0","104,090.0","92,811.0","108,211.0","116,173.0","136,075.0","154,637.0","159,327.0","152,662.0","156,341.0","174,921.0","171,102.0","179,373.0","191,644.0","187,041.0","179,707.0","186,270.0","193,217.0","190,191.0","186,747.0","186,135.0","187,669.0","194,987.0","190,783.0","204,079.0","198,108.0","210,816.0","221,195.0","211,489.0","207,743.0","201,188.0","199,320.0","201,687.0","202,427.0","176,397.0","165,144.0","177,906.0","193,774.0","185,816.0","188,468.0","203,997.0","207,678.0","222,146.0","223,615.0","229,520.0","225,599.0","251,709.0","269,886.0","263,956.0","274,055.0","283,321.0","281,084.0","275,229.0","272,053.0","290,979.0","265,776.0","302,204.0","304,954.0","293,612.0","306,782.0","304,650.0","325,571.0","339,953.0","330,454.0","327,698.0","330,503.0","374,475.0","365,259.0","367,538.0","379,232.0","387,672.0","391,830.0","378,869.0","359,360.0","345,879.0","329,446.0","353,455.0","348,828.0","364,672.0","380,377.0","385,042.0","396,632.0","385,351.0","368,783.0","383,363.0","384,116.0","388,781.0","392,446.0","388,344.0","401,931.0","404,353.0","409,465.0","417,292.0","432,606.0","402,819.0","418,020.0","407,661.0","409,827.0","397,534.0","408,032.0","413,372.0","410,728.0","391,734.0","369,331.0","344,013.0","318,876.0","249,445.0","203,213.0","220,417.0","272,963.0","290,704.0","316,200.0","331,075.0","350,497.0","339,302.0","364,623.0","364,833.0","379,382.0","401,764.0","429,460.0","438,763.0","439,161.0","436,956.0","447,832.0","463,717.0","450,551.0"
"36","16","  Gross domestic product excluding motor vehicle output","A962RC1","949,775.0","968,548.0","984,955.0","997,541.0","1,015,241.0","1,028,118.0","1,047,395.0","1,064,052.0","1,086,152.0","1,110,378.0","1,132,637.0","1,142,776.0","1,179,189.0","1,215,256.0","1,243,260.0","1,272,158.0","1,312,691.0","1,353,653.0","1,374,538.0","1,418,926.0","1,438,983.0","1,479,135.0","1,499,661.0","1,542,780.0","1,571,353.0","1,602,654.0","1,650,687.0","1,701,660.0","1,750,063.0","1,778,139.0","1,811,886.0","1,855,059.0","1,898,500.0","1,965,724.0","2,024,806.0","2,069,185.0","2,111,809.0","2,228,257.0","2,292,740.0","2,367,362.0","2,411,548.0","2,487,920.0","2,568,916.0","2,635,484.0","2,704,864.0","2,724,016.0","2,777,099.0","2,895,727.0","3,032,994.0","3,061,007.0","3,158,408.0","3,189,619.0","3,186,612.0","3,229,127.0","3,262,976.0","3,314,992.0","3,372,104.0","3,467,665.0","3,556,175.0","3,641,479.0","3,753,439.0","3,862,329.0","3,931,028.0","3,972,678.0","4,065,899.0","4,122,915.0","4,202,910.0","4,266,055.0","4,336,627.0","4,368,965.0","4,426,397.0","4,479,195.0","4,549,474.0","4,635,314.0","4,712,828.0","4,827,671.0","4,899,818.0","5,003,614.0","5,101,363.0","5,201,882.0","5,306,140.0","5,416,923.0","5,503,795.0","5,562,237.0","5,691,493.0","5,772,957.0","5,827,056.0","5,846,912.0","5,889,702.0","5,965,682.0","6,024,626.0","6,093,454.0","6,192,305.0","6,288,275.0","6,378,843.0","6,475,379.0","6,524,540.0","6,600,045.0","6,678,594.0","6,781,106.0","6,866,345.0","7,005,862.0","7,078,171.0","7,193,309.0","7,264,181.0","7,329,664.0","7,434,446.0","7,508,480.0","7,627,337.0","7,759,294.0","7,854,053.0","7,993,429.0","8,095,242.0","8,247,254.0","8,366,148.0","8,448,329.0","8,559,243.0","8,667,004.0","8,815,984.0","8,951,138.0","9,085,087.0","9,193,928.0","9,339,483.0","9,544,580.0","9,644,304.0","9,904,833.0","10,004,449.0","10,129,455.0","10,183,055.0","10,288,104.0","10,295,474.0","10,337,985.0","10,456,900.0","10,552,956.0","10,643,184.0","10,720,330.0","10,861,972.0","10,988,010.0","11,244,260.0","11,429,676.0","11,598,985.0","11,795,160.0","11,967,471.0","12,159,461.0","12,406,686.0","12,558,373.0","12,773,938.0","12,980,508.0","13,231,819.0","13,395,242.0","13,500,648.0","13,670,835.0","13,826,919.0","14,011,120.0","14,161,128.0","14,298,220.0","14,303,575.0","14,473,089.0","14,525,436.0","14,297,274.0","14,178,010.0","14,121,650.0","14,111,405.0","14,273,415.0","14,356,288.0","14,548,088.0","14,699,258.0","14,892,380.0","14,878,282.0","15,097,102.0","15,232,457.0","15,416,935.0","15,612,121.0","15,721,678.0","15,916,874.0","15,983,346.0","16,087,489.0","16,197,303.0","16,462,385.0"
"37","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,803.0","11,279.0","12,422.0","13,508.0","14,486.0","14,947.0","16,038.0","17,439.0","17,857.0","19,277.0","21,438.0","22,115.0","23,935.0","24,269.0","25,909.0","28,785.0","29,593.0","27,682.0","27,675.0","27,962.0","30,752.0","33,018.0","35,489.0","35,900.0","37,924.0","40,716.0","44,505.0","47,608.0","45,672.0","47,362.0","43,810.0","45,077.0","44,713.0","46,032.0","44,956.0","46,801.0","47,271.0","47,628.0","49,167.0","50,087.0","52,208.0","53,176.0","54,356.0","56,212.0","54,261.0","58,286.0","58,007.0","55,031.0","54,006.0","51,664.0","51,222.0","52,499.0","51,441.0","51,789.0","51,906.0","55,266.0","54,025.0","55,990.0","55,854.0","55,139.0","57,018.0","54,611.0","56,698.0","56,993.0","58,787.0","59,036.0","60,616.0","63,053.0","68,933.0","74,036.0","75,198.0","81,359.0","84,196.0","83,241.0","85,724.0","85,876.0","88,614.0","93,047.0","98,173.0","96,634.0","96,281.0","97,446.0","96,130.0","97,092.0","99,124.0","103,913.0","105,366.0","98,862.0","105,455.0","111,526.0","110,132.0","112,337.0","110,139.0","101,688.0","91,821.0","91,622.0","85,775.0","82,454.0","83,053.0","81,282.0","80,968.0","78,277.0","85,331.0","87,736.0","80,918.0","80,627.0","79,432.0","80,693.0","77,975.0","79,277.0","78,895.0","80,305.0","83,218.0","83,108.0","82,525.0","83,632.0","81,258.0","79,194.0","82,222.0","85,944.0","83,236.0","83,793.0","79,943.0","77,389.0","80,231.0","76,102.0","68,164.0","65,459.0","68,092.0","62,137.0","59,367.0","63,190.0","64,495.0","63,770.0","60,888.0","65,475.0","70,569.0","65,329.0","63,642.0","68,251.0","69,519.0","70,458.0","66,783.0"
"38","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,198,885.0","2,325,284.0","2,386,444.0","2,468,651.0","2,517,070.0","2,580,963.0","2,654,351.0","2,713,267.0","2,778,666.0","2,780,661.0","2,838,605.0","2,971,410.0","3,107,857.0","3,142,976.0","3,235,288.0","3,254,744.0","3,244,209.0","3,303,593.0","3,339,391.0","3,379,841.0","3,449,563.0","3,550,820.0","3,656,761.0","3,760,216.0","3,874,842.0","3,974,275.0","4,042,864.0","4,099,991.0","4,191,329.0","4,254,926.0","4,350,744.0","4,408,019.0","4,471,621.0","4,509,203.0","4,574,658.0","4,622,585.0","4,688,950.0","4,773,821.0","4,851,330.0","4,972,571.0","5,038,393.0","5,154,517.0","5,245,115.0","5,356,486.0","5,473,074.0","5,570,126.0","5,653,531.0","5,708,394.0","5,836,807.0","5,922,980.0","5,978,261.0","5,970,810.0","6,003,405.0","6,091,799.0","6,166,494.0","6,224,004.0","6,326,748.0","6,436,282.0","6,530,667.0","6,642,386.0","6,691,137.0","6,774,954.0","6,847,495.0","6,975,822.0","7,077,444.0","7,210,782.0","7,291,610.0","7,413,577.0","7,476,332.0","7,530,857.0","7,631,301.0","7,718,100.0","7,808,917.0","7,978,257.0","8,073,283.0","8,201,165.0","8,313,410.0","8,458,857.0","8,593,546.0","8,691,648.0","8,793,416.0","8,897,256.0","9,050,357.0","9,228,521.0","9,351,222.0","9,457,553.0","9,613,349.0","9,833,390.0","9,930,679.0","10,172,176.0","10,253,677.0","10,362,997.0","10,402,362.0","10,539,871.0","10,552,481.0","10,611,035.0","10,751,502.0","10,855,544.0","10,956,763.0","11,024,399.0","11,149,787.0","11,293,096.0","11,543,045.0","11,730,721.0","11,910,513.0","12,102,877.0","12,289,970.0","12,483,121.0","12,738,176.0","12,896,388.0","13,127,649.0","13,303,022.0","13,566,621.0","13,719,795.0","13,827,950.0","13,984,737.0","14,153,693.0","14,345,298.0","14,489,634.0","14,604,010.0","14,589,670.0","14,733,309.0","14,764,369.0","14,469,330.0","14,300,992.0","14,265,965.0","14,316,204.0","14,498,660.0","14,604,396.0","14,817,026.0","14,990,388.0","15,168,492.0","15,178,410.0","15,398,165.0","15,550,951.0","15,753,224.0","15,971,012.0","16,095,112.0","16,292,393.0","16,352,051.0","16,465,802.0","16,590,562.0","16,846,153.0"
"39","19","  Research and development","Y694RC1","27,719.0","28,102.0","28,368.0","28,475.0","28,366.0","28,254.0","28,304.0","28,310.0","28,613.0","28,941.0","29,270.0","29,738.0","30,422.0","30,984.0","31,470.0","32,155.0","32,823.0","33,451.0","34,081.0","34,756.0","35,348.0","36,093.0","36,842.0","37,384.0","37,741.0","38,357.0","39,362.0","40,452.0","41,656.0","42,648.0","43,654.0","44,632.0","45,606.0","46,897.0","48,144.0","49,464.0","50,824.0","52,648.0","54,268.0","56,076.0","57,907.0","59,730.0","61,863.0","64,095.0","66,515.0","68,459.0","70,701.0","73,672.0","76,262.0","78,667.0","81,279.0","83,540.0","85,812.0","87,984.0","90,148.0","91,996.0","94,149.0","96,836.0","99,705.0","103,085.0","106,183.0","109,613.0","113,154.0","116,832.0","120,761.0","124,005.0","126,630.0","128,891.0","129,964.0","130,927.0","132,510.0","134,620.0","136,987.0","139,042.0","141,081.0","143,545.0","144,991.0","147,283.0","149,208.0","151,317.0","153,184.0","154,740.0","156,614.0","159,114.0","161,787.0","164,117.0","165,540.0","165,461.0","167,506.0","170,446.0","170,182.0","172,013.0","171,518.0","171,886.0","171,383.0","172,642.0","172,062.0","172,616.0","171,528.0","171,954.0","172,153.0","173,285.0","175,934.0","178,537.0","183,160.0","186,084.0","189,327.0","191,464.0","195,304.0","198,266.0","201,512.0","204,263.0","209,175.0","211,426.0","213,890.0","213,672.0","217,351.0","220,668.0","224,393.0","227,067.0","229,740.0","234,728.0","239,577.0","244,711.0","251,334.0","253,718.0","257,965.0","259,301.0","262,785.0","263,629.0","262,972.0","263,324.0","262,054.0","264,515.0","266,182.0","269,923.0","272,195.0","276,359.0","279,425.0","282,347.0","284,544.0","288,388.0","293,310.0","298,665.0","306,836.0","311,627.0","316,777.0","317,350.0","323,416.0","329,192.0","339,166.0","346,675.0","351,232.0","356,830.0","360,329.0","371,422.0","377,985.0","383,191.0","381,337.0","379,330.0","370,795.0","373,190.0","373,224.0","382,023.0","385,551.0","388,494.0","393,644.0","400,650.0","403,554.0","408,705.0","411,206.0","410,512.0","413,516.0","416,426.0","420,284.0","420,620.0","423,415.0","426,132.0","431,100.0"
"40","20","  Gross domestic product excluding research and development","Y695RC1","967,700.0","983,259.0","1,003,648.0","1,012,266.0","1,025,162.0","1,041,856.0","1,060,157.0","1,063,152.0","1,109,199.0","1,130,414.0","1,151,043.0","1,163,847.0","1,203,385.0","1,239,138.0","1,262,367.0","1,299,868.0","1,347,857.0","1,384,144.0","1,402,732.0","1,444,313.0","1,459,306.0","1,498,127.0","1,526,554.0","1,565,620.0","1,581,812.0","1,618,091.0","1,674,450.0","1,725,415.0","1,782,853.0","1,814,296.0","1,846,846.0","1,893,781.0","1,946,928.0","2,013,268.0","2,074,243.0","2,119,252.0","2,157,864.0","2,283,915.0","2,344,598.0","2,426,083.0","2,473,649.0","2,536,180.0","2,608,526.0","2,666,611.0","2,730,008.0","2,731,479.0","2,789,342.0","2,919,853.0","3,055,530.0","3,088,578.0","3,179,918.0","3,199,989.0","3,187,990.0","3,243,291.0","3,276,918.0","3,315,807.0","3,386,166.0","3,487,002.0","3,592,545.0","3,693,031.0","3,806,583.0","3,905,378.0","3,974,215.0","4,030,767.0","4,116,240.0","4,178,283.0","4,267,924.0","4,324,205.0","4,386,370.0","4,424,308.0","4,487,104.0","4,534,766.0","4,599,234.0","4,682,407.0","4,759,416.0","4,879,113.0","4,945,610.0","5,060,410.0","5,150,263.0","5,261,381.0","5,374,151.0","5,473,672.0","5,554,924.0","5,604,311.0","5,729,026.0","5,810,527.0","5,863,943.0","5,857,848.0","5,887,340.0","5,973,142.0","6,048,218.0","6,107,257.0","6,209,255.0","6,320,386.0","6,415,138.0","6,524,883.0","6,576,093.0","6,656,949.0","6,732,665.0","6,860,861.0","6,964,078.0","7,096,533.0","7,176,292.0","7,298,093.0","7,362,105.0","7,418,809.0","7,517,172.0","7,607,995.0","7,697,809.0","7,863,232.0","7,957,495.0","8,082,778.0","8,192,849.0","8,340,478.0","8,477,829.0","8,574,610.0","8,672,346.0","8,774,034.0","8,922,094.0","9,098,546.0","9,220,606.0","9,326,738.0","9,479,138.0","9,687,541.0","9,784,800.0","10,029,984.0","10,105,844.0","10,216,033.0","10,249,716.0","10,377,930.0","10,381,330.0","10,439,333.0","10,575,223.0","10,673,483.0","10,773,634.0","10,835,758.0","10,958,560.0","11,095,014.0","11,348,951.0","11,536,110.0","11,706,887.0","11,895,116.0","12,076,092.0","12,265,149.0","12,509,315.0","12,664,038.0","12,889,767.0","13,065,977.0","13,326,423.0","13,473,711.0","13,571,309.0","13,721,694.0","13,883,719.0","14,067,662.0","14,211,527.0","14,318,532.0","14,294,921.0","14,433,911.0","14,462,975.0","14,167,389.0","14,010,428.0","13,968,877.0","14,011,144.0","14,182,096.0","14,286,937.0","14,490,669.0","14,656,111.0","14,831,032.0","14,839,351.0","15,053,230.0","15,200,633.0","15,408,187.0","15,628,065.0","15,744,015.0","15,935,751.0","15,999,682.0","16,111,906.0","16,234,888.0","16,481,836.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
